English	Polish
Crab Nebula	Mgławica Kraba
Crane (bird)	Żurawie (ptaki)
Crater (constellation)	Puchar (gwiazdozbiór)
Cremona	Cremona
Cretaceous	Kreda (okres)
Crete	Kreta
Cricket	Krykiet
Cricket (insect)	Świerszczowate
Crime	Przestępstwo
Crimea	Autonomiczna Republika Krymu
Crimean War	Wojna krymska
Criminal law	Kategoria:Prawo karne
Criminal law	Prawo karne
Criminology	Kryminologia
Criminology	Kategoria:Kryminologia
Croatia	Chorwacja
Croatia	Kategoria:Chorwacja
Crocodile	Krokodylowate
Crocodilia	Krokodyle
Cronus	Kronos
Cross	Krzyż
Cross product	Iloczyn wektorowy
Crossbow	Kusza
Crossword	Krzyżówka (zagadka)
Crucifixion	Ukrzyżowanie
Cruiser	Krążownik
Crust (geology)	Skorupa ziemska
Crustacean	Skorupiaki
Crux	Krzyż Południa (gwiazdozbiór)
Cryptography	Kategoria:Kryptografia
Crystal	Ciało krystaliczne
Crystallography	Krystalografia
Crystallography	Kategoria:Krystalografia
Ctenophore	Żebropławy
Cuba	Kuba
Cuba	Kategoria:Kuba
Cube	Sześcian (geometria)
Cubic metre	Metr sześcienny
Cubism	Kubizm
Cuculiformes	Kukułkowe
Cucumber	Ogórek
Cucurbitaceae	Dyniowate
Cultural Revolution	Rewolucja kulturalna
Culture	Kultura
Culture	Kategoria:Kultura
Cumbria	Cumbria
Cumulus cloud	Cumulus
Cupressaceae	Cyprysowate
Curitiba	Kurytyba
Curium	Kiur (pierwiastek)
Curling	Curling
Currency	Kategoria:Waluty
Currency	Waluta
Curry	Curry
Cusco	Cuzco
Cyan	Cyjan (kolor)
Cyanide	Cyjanki
Cyanobacteria	Sinice
Cybele	Kybele
Cybernetics	Cybernetyka
Cyberpunk	Cyberpunk
Cyclades	Cyklady
Cycling	Kolarstwo
Cycling	Kategoria:Rower
Cyclone	Cyklon
Cyclops	Cyklop
Cygnus (constellation)	Łabędź (gwiazdozbiór)
Cylinder (geometry)	Walec (bryła)
Cyperaceae	Ciborowate
Cyprinid	Karpiowate
Cypriniformes	Karpiokształtne
Cyprus	Cypr (państwo)
Cyprus	Kategoria:Cypr
Cyrillic alphabet	Cyrylica
Cyrus the Great	Cyrus II Wielki
Cystic fibrosis	Mukowiscydoza
Cytoplasm	Cytoplazma
Cytosine	Cytozyna
Cytoskeleton	Cytoszkielet
Czech Republic	Czechy
Czech Republic	Kategoria:Czechy
Czechoslovakia	Czechosłowacja
Czechoslovakia	Kategoria:Czechosłowacja
D	D
D. H. Lawrence	David Herbert Lawrence
D. W. Griffith	D.W.Griffith
DDT	Dichlorodifenylotrichloroetan
DNA	Kwas deoksyrybonukleinowy
DOS	DOS
DVD	DVD
Dachshund	Jamnik
Dada	Dadaizm
Daedalus	Dedal
Dagger	Sztylet
Daguerreotype	Dagerotyp
Dahlia	Dalia (roślina)
Dakar	Dakar
Dalai Lama	Dalajlama
Dallas	Dallas
Dalmatia	Dalmacja
Dam	Zapora wodna
Damascus	Damaszek
Dance	Taniec
Dance	Kategoria:Taniec
Dandelion	Mniszek (roślina)
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
Daniel Ortega	Daniel Ortega Saavedra
Danish krone	Korona duńska
Dante Alighieri	Dante Alighieri
Danube	Dunaj
Daphne	Dafne (mitologia)
Dar es Salaam	Dar es Salaam
Dardanelles	Dardanele
Darfur	Darfur
Darjeeling	Dardżyling
Dark matter	Ciemna materia
Darmstadtium	Darmsztadt
Darwin	Darwin
Darwin	Darwin (ujednoznacznienie)
Das Kapital	Kapitał (Marks)
Data	Dane
Data mining	Eksploracja danych
Data structure	Struktura danych
Database	Baza danych
Database management system	System zarządzania bazą danych
Date Palm	Palma daktylowa
Dative case	Celownik (przypadek)
Daugavpils	Dyneburg
David	Dawid (król Izraela)
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
David Ricardo	David Ricardo
Davis Cup	Puchar Davisa
Day	Dzień
De facto	Standard de facto
Deacon	Diakonat
Dead Sea	Morze Martwe
Dead Sea scrolls	Rękopisy z Qumran
Deadly nightshade	Pokrzyk wilcza jagoda
Death	Śmierć
Death	Kategoria:Śmierć
Decade	Dziesięciolecie
December	Grudzień
December 31	31 grudnia
December 8	8 grudnia
Decibel	Decybel
Decimal	Dziesiętny system liczbowy
Decius (emperor)	Trajan Decjusz
Declination	Deklinacja (astronomia)
Deco	Deco
Deconstruction	Dekonstrukcja
Deductive reasoning	Rozumowanie dedukcyjne
Deer	Jeleniowate
Definition	Definicja
Deflation	Deflacja (ekonomia)
Degree	Stopień
Degree (angle)	Stopień (kąt)
Deimos (moon)	Deimos (księżyc)
Deism	Deizm
Delaware	Delaware
Delaware	Kategoria:Delaware
Delft	Delft
Delhi	Delhi
Dell	Dell
Delphi	Delfy
Delphinus	Delfin (gwiazdozbiór)
Delta	Delta (ujednoznacznienie)
Delta (letter)	Delta
Deluge (mythology)	Potop
Demagogy	Demagogia
Dementia	Demencja
Demeter	Demeter
Democracy	Demokracja
Democratic Party (United States)	Partia Demokratyczna (USA)
Democratic Republic of the Congo	Demokratyczna Republika Konga
Democratic Republic of the Congo	Kategoria:Demokratyczna Republika Konga
Democritus	Demokryt
Demography	Demografia
Demography	Kategoria:Demografia
Demon	Demon
Demosthenes	Demostenes (mówca grecki)
Deng Xiaoping	Deng Xiaoping
Dengue fever	Denga
Denis Diderot	Denis Diderot
Denmark	Dania
Denmark	Kategoria:Dania
Dennis Gabor	Dennis Gabor
Density	Gęstość
Dental caries	Próchnica zębów
Dentistry	Kategoria:Stomatologia
Dentistry	Dentystyka
Denver	Denver
Derivative	Pochodna funkcji
Dermatology	Dermatologia
Des Moines	Des Moines (Iowa)
Desert	Pustynia
Deserts	Kategoria:Pustynie
Desiderius Erasmus	Erazm z Rotterdamu
Design	Design
Desmond Tutu	Desmond Tutu
Destroyer	Niszczyciel
Determinant	Wyznacznik
Determinism	Determinizm
Detroit	Detroit
Deuterium	Deuter
Deuteronomy	Księga Powtórzonego Prawa
Developmental psychology	Psychologia rozwoju człowieka
Device driver	Sterownik urządzenia
Devon	Devon
Devonian	Dewon
Dew	Rosa
Dew point	Temperatura punktu rosy
Dewey Decimal Classification	Klasyfikacja Dziesiętna Deweya
Dhaka	Dhaka
Dharma	Dharma
Dhaulagiri	Dhaulagiri
Dhole	Cyjon
Diabetes mellitus	Cukrzyca
Diacritic	Znaki diakrytyczne
Dialect	Dialekt
Dialectic	Dialektyka
Dialectical materialism	Materializm dialektyczny
Diameter	Średnica
Diamond	Diament
Diana	Diana Spencer
Diana (mythology)	Diana (bogini)
Diarrhea	Biegunka
Diaspora	Diaspora
Diatom	Okrzemki
Dice	Kość do gry
Dicotyledon	Dwuliścienne
Dictatorship	Dyktatura
Dictionary	Słownik
Diego Rivera	Diego Rivera
Diesel	Olej napędowy
Diesel engine	Silnik o zapłonie samoczynnym
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Differential equation	Równanie różniczkowe
Diffraction	Dyfrakcja
Diffusion	Dyfuzja
Digestion	Trawienie
Digestive system	Kategoria:Układ pokarmowy człowieka
Digital camera	Cyfrowy aparat fotograficzny
Digital photography	Fotografia cyfrowa
Digital subscriber line	DSL
Dijon	Dijon
Dill	Koper (roślina)
Dimension	Wymiar (matematyka)
Dingo	Dingo
Dinosaur	Dinozaury
Diocese	Diecezja
Diocletian	Dioklecjan
Diode	Dioda
Dionysus	Dionizos
Diphtheria	Błonica
Diphthong	Dwugłoska
Diplodocus	Diplodok
Diplomacy	Dyplomacja
Diplomacy	Kategoria:Dyplomacja
Dire Straits	Dire Straits
Direct current	Prąd stały
Disaccharide	Disacharydy
Disambiguation	Kategoria:Strony ujednoznaczniające
Disc jockey	DJ
Discourse	Dyskurs
Discrimination	Dyskryminacja (psychologia społeczna)
Disease	Choroba
Distance	Odległość
Distillation	Destylacja
Divergence	Dywergencja
Division (mathematics)	Dzielenie
Division (military)	Dywizja
Divorce	Rozwód
Dizzy Gillespie	Dizzy Gillespie
Djibouti	Kategoria:Dżibuti
Djibouti (city)	Dżibuti (miasto)
Dmitri Mendeleev	Dmitrij Mendelejew
Dmitri Shostakovich	Dymitr Szostakowicz
Dnieper River	Dniepr
Dnipropetrovsk	Dniepropietrowsk
Doberman Pinscher	Doberman
Doctor of the Church	Doktor Kościoła
Document	Dokument
Dodecahedron	Dwunastościan foremny
Dodecanese	Dodekanez
Dodo	Dront dodo
Dodoma	Dodoma
Dog	Pies domowy
Dogma	Dogmat
Doha	Ad-Dauha
Dollar	Dolar
Dolly (sheep)	Owca Dolly
Dolmen	Dolmen
Dolphin	Delfin
Domain (biology)	Domena (biologia)
Domain name	Domena internetowa
Dome	Kopuła (architektura)
Domesday Book	Domesday Book
Domestication	Domestykacja zwierząt
Dominica	Dominika
Dominica	Kategoria:Dominika
Dominican Order	Dominikanie
Dominican Republic	Dominikana
Dominican Republic	Kategoria:Dominikana
Domitian	Domicjan
Don Quixote	Don Kichot (powieść)
Don River (Russia)	Don
Donald Duck	Kaczor Donald
Donatello	Donatello
Donato Bramante	Donato Bramante
Donetsk	Donieck
Donkey	Osioł
Door	Drzwi
Dopamine	Dopamina
Doppler effect	Efekt Dopplera
Dorado	Złota Ryba (gwiazdozbiór)
Doric order	Porządek dorycki
Doris Lessing	Doris Lessing
Dortmund	Dortmund
Douala	Duala (miasto)
Double bass	Kontrabas
Douglas MacArthur	Douglas MacArthur
Dover	Dover (Delaware)
Dover	Dover
Down syndrome	Zespół Downa
Draco (constellation)	Smok (gwiazdozbiór)
Dracula	Drakula (powieść)
Dragon	Smok
Drainage basin	Dorzecze
Drama	Dramat
Draughts	Warcaby
Dream	Marzenia senne
Dresden	Drezno
Drink	Napój
Dromedary	Dromader
Drought	Susza
Drug addiction	Narkomania
Druid	Druid
Drum	Bęben (muzyka)
Dualism	Dualizm (religia)
Dualism (philosophy of mind)	Dualizm (religia)
Dubai	Dubaj
Dublin	Dublin
Dubnium	Dubn
Dubrovnik	Dubrownik
Dugong	Diugoń
Duke	Diuk
Duke Ellington	Duke Ellington
Duke University	Uniwersytet Duke'a
Dune	Wydma
Dunkirk	Dunkierka
Duodenum	Dwunastnica
Durban	Durban
Dushanbe	Duszanbe
Dustin Hoffman	Dustin Hoffman
Dutch people	Kategoria:Holendrzy
Dwight D. Eisenhower	Dwight D. Eisenhower
Dynamics (physics)	Dynamika (fizyka)
Dynamite	Dynamit
Dynasty	Dynastia
Dyslexia	Dysleksja
Dysprosium	Dysproz
Dystopia	Antyutopia
E	E
E (mathematical constant)	Podstawa logarytmu naturalnego
E-mail	Poczta elektroniczna
E. T. A. Hoffmann	Ernst Theodor Amadeus Hoffmann
ETA	ETA
Eagle	Orły
Ear	Ucho
Eared seal	Uchatkowate
Earless seal	Fokowate
Earth	Ziemia
Earth	Kategoria:Ziemia
Earth science	Nauki o Ziemi
Earthquake	Trzęsienie ziemi
East	Wschód
East Africa	Afryka Wschodnia
East China Sea	Morze Wschodniochińskie
East Germany	Niemiecka Republika Demokratyczna
East Sussex	East Sussex
East Timor	Timor Wschodni
East Timor	Kategoria:Timor Wschodni
Easter	Wielkanoc
Eastern Orthodox Church	Cerkiew prawosławna
Ebola	Gorączka krwotoczna Ebola
Ebro	Ebro
Eccentricity (mathematics)	Ekscentryczność (fizyka)
Ecclesiastes	Księga Koheleta
Echidna (mythology)	Echidna
Echinoderm	Szkarłupnie
Eclipse	Zaćmienie
Eclipse (software)	Eclipse
Ecliptic	Ekliptyka
Ecological niche	Nisza ekologiczna
Ecology	Ekologia
Ecology	Kategoria:Ekologia
Econometrics	Ekonometria
Economics	Ekonomia
Economics	Kategoria:Ekonomia
Economy	Ekonomia
Ecosystem	Ekosystem
Ecuador	Ekwador
Ecuador	Kategoria:Ekwador
Ecumenical council	Sobór powszechny
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edgar Rice Burroughs	Edgar Rice Burroughs
Edinburgh	Edynburg
Edirne	Adrianopol
Edmond Halley	Edmund Halley
Edmonton	Edmonton
Edmund Burke	Edmund Burke
Edmund Hillary	Edmund Hillary
Edmund Husserl	Edmund Husserl
Edo	Edo (miasto)
Eduard Buchner	Eduard Buchner
Education	Edukacja
Education	Kategoria:Oświata
Edvard Grieg	Edvard Hagerup Grieg
Edvard Munch	Edvard Munch
Edward Gibbon	Edward Gibbon
Edward Jenner	Edward Jenner
Edward Teller	Edward Teller
Edward the Confessor	Edward Wyznawca
Edwin Hubble	Edwin Hubble
Eel	Węgorzokształtne
Egg (biology)	Jajo (biologia)
Eggplant	Psianka podłużna
Egypt	Egipt
Egypt	Kategoria:Egipt
Egyptian pound	Funt egipski
Egyptology	Egiptologia
Eiffel Tower	Wieża Eiffla
Eindhoven	Eindhoven
Einsteinium	Einstein (pierwiastek)
Ejaculation	Ejakulacja
El Cid	Cyd
El Greco	El Greco
El Paso	El Paso (Teksas)
El Salvador	Salwador
El Salvador	Kategoria:Salwador
Elam	Elam
Elbe	Łaba
Eleanor Roosevelt	Eleanor Roosevelt
Election	Wybory
Electric charge	Ładunek elektryczny
Electric current	Natężenie prądu elektrycznego
Electric field	Pole elektryczne
Electric guitar	Gitara elektryczna
Electric motor	Silnik elektryczny
Electrical engineering	Kategoria:Elektrotechnika
Electrical engineering	Elektrotechnika
Electrical resistance	Rezystancja
Electricity	Elektryczność
Electricity	Kategoria:Elektryczność
Electrocardiogram	Elektrokardiografia
Electrochemistry	Elektrochemia
Electrochemistry	Kategoria:Elektrochemia
Electrolysis	Elektroliza
Electrolyte	Elektrolit
Electromagnetic radiation	Promieniowanie elektromagnetyczne
Electromagnetism	Elektrodynamika klasyczna
Electromagnetism	Kategoria:Elektromagnetyzm
Electron	Elektron
Electron microscope	Mikroskop elektronowy
Electronegativity	Elektroujemność
Electronics	Elektronika
Electronics	Kategoria:Elektronika
Elegy	Elegia
Element	Pierwiastek
Elementary particle	Cząstka elementarna
Elephant	Słoniowate
Elevator	Winda
Elf	Elf (fantastyka)
Elia Kazan	Elia Kazan
Elias Canetti	Elias Canetti
Elijah	Eliasz (postać biblijna)
Elizabeth Taylor	Elizabeth Taylor
Ella Fitzgerald	Ella Fitzgerald
Ellipse	Elipsa (matematyka)
Ellipsis	Wielokropek
Elm	Wiąz
Elvis Presley	Elvis Presley
Embryo	Embrion
Embryology	Embriologia
Emerald	Szmaragd
Emilia-Romagna	Emilia-Romania
Emiliano Zapata	Emiliano Zapata
Emily Dickinson	Emily Dickinson
Emir	Emir
Emma Goldman	Emma Goldman
Emoticon	Emotikon
Emotion	Emocja
Empathy	Empatia
Empedocles	Empedokles
Emperor	Cesarz
Emperor Penguin	Pingwin cesarski
Empire	Imperium
Empire State Building	Empire State Building
Empiricism	Empiryzm
Emu	Emu
Emulator	Emulator
Emulsion	Emulsja
Encyclopedia	Encyklopedia
Endemism	Endemit
Endocrine system	Układ hormonalny
Endocrinology	Endokrynologia
Endocrinology	Kategoria:Endokrynologia
Energy	Energia (fizyka)
Energy	Kategoria:Energetyka
Energy (society)	Energia
Engine	Silnik
Engineer	Inżynier
Engineering	Inżynieria
England	Anglia
England	Kategoria:Anglia
English Channel	Kanał La Manche
English Civil War	Angielska wojna domowa
English language	Język angielski
English language	Kategoria:Język angielski
English people	Kategoria:Anglicy
English people	Anglicy
Enki	Enki
Enrico Caruso	Enrico Caruso
Enrico Fermi	Enrico Fermi
Entertainment	Kategoria:Rozrywki
Enthalpy	Entalpia
Entomology	Entomologia
Entomology	Kategoria:Entomologia
Entropy	Entropia
Environment	Kategoria:Ochrona przyrody
Environment	Środowisko
Enzyme	Enzymy
Eocene	Eocen
Eon (geology)	Eon
Eos	Eos
Ephesus	Efez
Epic poetry	Epos
Epicenter	Epicentrum
Epictetus	Epiktet
Epicurus	Epikur
Epidemic	Epidemia
Epidemiology	Epidemiologia
Epigraphy	Epigrafika
Epilepsy	Padaczka
Epimetheus (mythology)	Epimeteusz
Epinephrine	Adrenalina
Epiphany (Christian)	Epifania
Epirus (periphery)	Epir
Epistemology	Epistemologia
Epistle to the Galatians	List do Galatów
Epistle to the Romans	List do Rzymian
Epithelium	Tkanka nabłonkowa
Epsilon	Epsilon
Equation	Równanie (matematyka)
Equator	Równik
Equatorial Guinea	Gwinea Równikowa
Equatorial Guinea	Kategoria:Gwinea Równikowa
Equidae	Koniowate
Equinox	Równonoc
Equisetum	Skrzyp
Erasure	Erasure
Erato	Erato
Eratosthenes	Eratostenes
Erbium	Erb
Erebus	Ereb
Erectile dysfunction	Impotencja
Erection	Erekcja (fizjologia)
Ericaceae	Wrzosowate
Ericales	Wrzosowce
Eridanus (constellation)	Erydan (gwiazdozbiór)
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Erik Satie	Erik Satie
Eris (dwarf planet)	136199 Eris
Eris (mythology)	Eris
Eritrea	Kategoria:Erytrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Ernst Werner von Siemens	Werner von Siemens
Eros (mythology)	Eros
Erosion	Erozja
Erotica	Erotyka
Erwin Rommel	Erwin Rommel
Escape velocity	Prędkość ucieczki
Eschatology	Eschatologia
Escherichia coli	Pałeczka okrężnicy
Esfahan	Isfahan (miasto)
Esophagus	Przełyk
Esperanto	Esperanto
Esperanto	Kategoria:Esperanto
Espionage	Szpiegostwo
Espoo	Espoo
Espresso	Espresso
Essay	Esej
Essen	Essen
Essential oil	Olejek eteryczny
Essex	Essex
Ester	Estry
Estonia	Kategoria:Estonia
Estrogen	Estrogeny
Eta (letter)	Eta
Etching	Akwaforta
Ethane	Etan
Ethanol	Alkohol etylowy
Ether	Etery
Ethernet	Ethernet
Ethics	Etyka
Ethics	Kategoria:Etyka
Ethiopia	Etiopia
Ethiopia	Kategoria:Etiopia
Ethnic group	Grupa etniczna
Ethnography	Etnografia
Ethnology	Kategoria:Etnologia
Ethology	Etologia
Ethylene	Eten
Etymology	Etymologia
Eucalyptus	Eukaliptus
Eucharist	Eucharystia (sakrament)
Euclid	Euklides
Euclidean geometry	Geometria euklidesowa
Eugene O'Neill	Eugene O'Neill
Eukaryote	Jądrowce
Eunuch	Eunuch
Euphemism	Eufemizm
Euphrates	Eufrat
Eurasia	Eurazja
Eurasian Badger	Borsuk
Euripides	Eurypides
Euro	Euro
Europa (moon)	Europa (księżyc)
Europa (mythology)	Europa (mitologia grecka)
Europe	Europa
Europe	Kategoria:Europa
European Central Bank	Europejski Bank Centralny
European Community	Wspólnota Europejska
European Magpie	Sroka
European Union	Unia Europejska
European Union	Kategoria:Unia Europejska
Europium	Europ
Eusebius of Caesarea	Euzebiusz z Cezarei
Euterpe	Euterpe
Euthanasia	Eutanazja
Eva Braun	Eva Braun
Evanescence	Evanescence
Evangelista Torricelli	Evangelista Torricelli
Evaporation	Parowanie
Even-toed ungulate	Parzystokopytne
Evolution	Ewolucja biologiczna
Excalibur	Excalibur
Exchange rate	Kurs walutowy
Exclamation mark	Wykrzyknik
Excommunication	Ekskomunika
Executive (government)	Władza wykonawcza
Exhibitionism	Ekshibicjonizm
Existentialism	Egzystencjalizm (filozofia)
Exodus	Księga Wyjścia
Expected value	Wartość oczekiwana
Experiment	Eksperyment
Explosion	Wybuch
Expo (exhibition)	Wystawa światowa
Exponential function	Funkcja wykładnicza
Exponentiation	Potęga
Expressionism	Ekspresjonizm
Extinction	Wyginięcie
Eye	Oko
Eye	Kategoria:Oko
Ezra Pound	Ezra Pound
F	F
F. Scott Fitzgerald	Francis Scott Fitzgerald
Fabaceae	Bobowate
Fable	Bajka
Face	Twarz
Fact	Szablon:Fakt
Factorial	Silnia
Factory	Fabryka
Facula	Plama słoneczna
Fado	Fado
Fagaceae	Kategoria:Bukowate
Fagales	Bukowce
Fahrenheit	Skala Fahrenheita
Fair use	Dozwolony użytek
Fairy tale	Baśń
Falcon	Sokoły
Falconiformes	Szponiaste
Falkland Islands	Falklandy
Fallacy	Sofizmat
Fallopian tube	Jajowód
Fallow Deer	Daniel (zwierzę)
Falun Gong	Falun Gong
Family	Kategoria:Rodzina
Family (biology)	Rodzina (biologia)
Family history	Genealogia
Family name	Nazwisko
Fantasy	Fantasy
Farad	Farad
Faroe Islands	Kategoria:Wyspy Owcze
Fascism	Faszyzm
Fascism	Kategoria:Faszyzm
Fashion	Kategoria:Moda
Fashion	Moda (styl)
Fast food	Fast food
Fasting	Post
Fatah	Al-Fatah
Fatty acid	Kwasy tłuszczowe
Fault (geology)	Uskok
Fauna	Fauna
Fauvism	Fowizm
Fax	Telefaks
Fear	Strach
Feather	Pióro
February	Luty
February 12	12 lutego
February 14	14 lutego
February 2	2 lutego
February 22	22 lutego
February 29	29 lutego
February Revolution	Rewolucja lutowa 1917
Feces	Kał
Federal Bureau of Investigation	Federal Bureau of Investigation
Federal Reserve System	System Rezerwy Federalnej USA
Federated States of Micronesia	Mikronezja
Federated States of Micronesia	Kategoria:Mikronezja
Federation	Federacja
Federico Fellini	Federico Fellini
Fedora (Linux distribution)	Fedora Core
Feedback	Sprzężenie zwrotne
Feldspar	Skaleń
Felidae	Kotowate
Felix Mendelssohn	Felix Mendelssohn-Bartholdy
Feminism	Feminizm
Feminism	Kategoria:Feminizm
Fencing	Szermierka
Feng shui	Feng shui
Fennel	Fenkuł włoski
Fenrir	Fenrir
Fenugreek	Kozieradka pospolita
Ferdinand II	Ferdynand II Habsburg
Ferdinand Magellan	Ferdynand Magellan
Ferdinand de Saussure	Ferdinand de Saussure
Fermentation (biochemistry)	Fermentacja
Fermentation (food)	Fermentacja
Fermion	Fermion
Fermium	Ferm (pierwiastek)
Fern	Paprotniki
Ferrara	Ferrara
Ferry	Prom
Fertile Crescent	Żyzny Półksiężyc
Fertilisation	Zapłodnienie
Fertilizer	Nawozy
Fetus	Płód
Feudalism	Feudalizm
Fever	Gorączka
Fiat	Fiat
Fibonacci number	Ciąg Fibonacciego
Fictional character	Postać literacka
Fidel Castro	Fidel Castro
Field (mathematics)	Ciało (matematyka)
Field hockey	Hokej na trawie
Fighter aircraft	Samolot myśliwski
Figure skating	Łyżwiarstwo figurowe
Fiji	Fidżi
Fiji	Kategoria:Fidżi
File Allocation Table	File Allocation Table
File Transfer Protocol	FTP
File system	System plików
Filippo Brunelleschi	Filippo Brunelleschi
Film	Kategoria:Kinematografia
Film	Film
Film	Portal:Film
Film director	Reżyser
Fin Whale	Finwal
Finance	Kategoria:Finanse
Finance	Finanse
Finger	Palec ręki
Finland	Finlandia
Finland	Kategoria:Finlandia
Fir	Jodła
Fire	Ogień
Firearm	Broń palna
Firefighter	Straż pożarna
Firewall (networking)	Zapora sieciowa
Firmware	Oprogramowanie wbudowane w urządzenie
First Council of Constantinople	Sobór Konstantynopolitański I
First Council of Nicaea	Sobór Nicejski I
First Crusade	I wyprawa krzyżowa
First Epistle to the Corinthians	1. List do Koryntian
First aid	Pierwsza pomoc
First language	Język ojczysty
Fish	Ryby
Fishing	Wędkarstwo
Fishing	Kategoria:Wędkarstwo
Fjord	Fiord
Flag	Flaga
Flagellum	Wić
Flamenco	Flamenco
Flamingo	Flamingi
Flanders	Flandria
Flash memory	Pamięć Flash
Flatulence	Gazy jelitowe
Flatworm	Płazińce
Flea	Pchły
Flemish (linguistics)	Język flamandzki
Flint	Krzemień
Flip-flop (electronics)	Przerzutnik
Flood	Powódź
Floppy disk	Dyskietka
Florence	Florencja
Florence Nightingale	Florence Nightingale
Florida	Floryda
Florida	Kategoria:Floryda
Flour	Mąka
Flower	Kwiat
Flowering plant	Okrytonasienne
Fluid	Płyn
Fluid mechanics	Mechanika płynów
Fluorite	Fluoryt
Flute	Flet
Fly	Muchówki
Fog	Mgła
Folic acid	Kwas foliowy
Folk music	Muzyka folkowa
Folklore	Folklor
Food	Pokarm
Food additive	Dodatek do żywności
Food and Agriculture Organization	Organizacja Narodów Zjednoczonych do spraw Wyżywienia i Rolnictwa
Food chain	Łańcuch pokarmowy
Foot	Stopa (anatomia)
Foot (unit of length)	Stopa angielska
Football (soccer)	Piłka nożna
Football (soccer)	Kategoria:Piłka nożna
Football (soccer) by country	Kategoria:Piłka nożna w krajach świata
Football (soccer) clubs	Kategoria:Kluby piłkarskie
Football (soccer) managers	Kategoria:Trenerzy piłkarscy
Football (soccer) players	Kategoria:Piłkarze
Forbidden City	Zakazane Miasto
Force	Siła
Forest	Las
Forestry	Leśnictwo (nauka)
Fork	Widelec
Formaldehyde	Aldehyd mrówkowy
Formic acid	Kwas mrówkowy
Fornax	Piec (gwiazdozbiór)
Fort Worth	Fort Worth
Fortification	Fortyfikacja
Fortran	Fortran
Fossil	Skamieniałości
Fossil fuel	Paliwa kopalne
Foucault pendulum	Wahadło Foucaulta
Fountain	Fontanna
Fourier series	Szereg Fouriera
Fourth Crusade	IV wyprawa krzyżowa
Fox	Lis
Fractal	Fraktal
Fraction (mathematics)	Ułamek
France	Francja
France	Kategoria:Francja
Francis Bacon	Francis Bacon (filozof)
Francis Crick	Francis Crick
Francis Drake	Francis Drake
Francis Ford Coppola	Francis Ford Coppola
Francis II	Franciszek II Habsburg
Francis Poulenc	Francis Poulenc
Francis of Assisi	Franciszek z Asyżu
Franciscan	Bracia mniejsi
Francisco Franco	Francisco Franco
Francisco Goya	Francisco Goya
Francisco Pizarro	Francisco Pizarro
Francium	Frans (pierwiastek)
Franco-Prussian War	Wojna francusko-pruska
Frank Lloyd Wright	Frank Lloyd Wright
Frank Sinatra	Frank Sinatra
Frankfort	Frankfort (Kentucky)
Frankfurt	Frankfurt nad Menem
Frankfurt	Kategoria:Frankfurt nad Menem
Frankfurt (Oder)	Frankfurt nad Odrą
Frankfurt (disambiguation)	Frankfurt
Franklin Pierce	Franklin Pierce
Frans Hals	Frans Hals
Franz Kafka	Franz Kafka
Franz Liszt	Ferenc Liszt
Franz Schubert	Franz Schubert
Fred Astaire	Fred Astaire
Frederick I	Fryderyk I Barbarossa
Frederick II	Fryderyk II Hohenstauf
Frederick Sanger	Frederick Sanger
Frederick Soddy	Frederick Soddy
Fredericton	Fredericton
Free State	Wolne Państwo
Free will	Wolna wola
Freedom (philosophy)	Wolność
Freedom of speech	Wolność słowa
Freemasonry	Wolnomularstwo
Freetown	Freetown
Freeware	Freeware
French Polynesia	Polinezja Francuska
French Polynesia	Kategoria:Polinezja Francuska
French Revolution	Rewolucja francuska
French Revolution	Kategoria:Rewolucja francuska
French franc	Frank francuski
French people	Kategoria:Francuzi
Frequency	Częstotliwość
Fresco	Fresk
Freshwater	Woda słodka
Fresno	Fresno (Kalifornia)
Freyja	Freja
Freyr	Frejr
Friction	Tarcie (pojęcie fizyczne)
Friday	Piątek
Fridtjof Nansen	Fridtjof Nansen
Friedrich Engels	Fryderyk Engels
Friesland	Fryzja (prowincja)
Frigate	Fregata (okręt)
Frigg	Frigg
Fritz Haber	Fritz Haber
Friuli-Venezia Giulia	Friuli-Wenecja Julijska
Frog	Płazy bezogonowe
Fructose	Fruktoza
Fruit	Owoc
Fruit	Kategoria:Owoce
Fucking	Fucking
Fuel	Paliwo
Fuel cell	Ogniwo paliwowe
Fugue	Fuga (muzyka)
Fukuoka	Fukuoka
Funafuti	Funafuti
Function (mathematics)	Funkcja
Fundamental	Kategoria:Strona główna
Fundamental interaction	Oddziaływania podstawowe
Fundamentalism	Fundamentalizm
Fungi	Kategoria:Grzyby
Fungus	Grzyby
Funicular	Kolej linowo-terenowa
Funk	Funk
Furniture	Kategoria:Meble
Furniture	Meble
Future	Przyszłość
Futurism (art)	Futuryzm
Fuzzy logic	Logika rozmyta
Fyodor Dostoevsky	Fiodor Dostojewski
G	G
GIMP	GIMP
GNOME	GNOME
GNU	GNU
Gabon	Gabon
Gabon	Kategoria:Gabon
Gaborone	Gaborone
Gabriel	Archanioł Gabriel
