English	Norwegian
Boletus edulis	Steinsopp
Bolivia	Bolivia
Bolivia	Kategori:Bolivia
Bollywood	Bollywood
Bologna	Bologna
Bolshevik	Bolsjevik
Bolzano	Bolzano
Bomb	Bombe
Bomber	Bombefly
Bombyx mori	Silkeorm
Bond (finance)	Obligasjon
Bone marrow	Benmarg
Bonn	Bonn
Bonsai	Bonsai
Book	Bok
Book of Esther	Esters bok
Book of Joshua	Josvas bok
Book of Judges	Dommernes bok
Book of Mormon	Mormons bok
Book of Numbers	Fjerde Mosebok
Book of Revelation	Johannes' åpenbaring
Book of Ruth	Ruts bok
Boolean algebra (structure)	Boolsk algebra
Boomerang	Bumerang
Bordeaux	Bordeaux
Boris Godunov	Boris Godunov
Boris Pasternak	Boris Pasternak
Boris Spassky	Boris Spasskij
Borneo	Borneo
Boron	Bor (grunnstoff)
Bosnia and Herzegovina	Bosnia-Hercegovina
Bosnia and Herzegovina	Kategori:Bosnia-Hercegovina
Boson	Boson
Bosporus	Bosporos
Boston	Boston
Boston Tea Party	Teselskapet i Boston
Bot	Mal:Bot
Botanical garden	Botanisk hage
Botany	Botanikk
Botany	Kategori:Botanikk
Botswana	Botswana
Botswana	Kategori:Botswana
Bottle	Flaske
Bottlenose Dolphin	Tumlere
Bourgeoisie	Borgerskap
Bourgogne	Burgund
Bouvet Island	Bouvetøya
Bovid	Okser
Bow (weapon)	Bue (våpen)
Bowling	Bowling
Boxer (dog)	Boxer
Boxers	Kategori:Boksere
Boxing	Boksing
Boxing	Kategori:Boksing
Bracket	Parentes
Braga	Braga
Brahma	Brahma
Brahmaputra River	Brahmaputra
Braille	Punktskrift
Brain	Hjernen
Brainstorming	Idédugnad
Bram Stoker	Bram Stoker
Brandenburg	Brandenburg
Brandy	Brandy
Brass	Messing
Brassicaceae	Korsblomstfamilien
Brassiere	Brystholder
Bratislava	Bratislava
Braunschweig	Braunschweig
Brazil	Brasil
Brazil	Kategori:Brasil
Brazzaville	Brazzaville
Bread	Brød
Breast	Bryst
Breast cancer	Brystkreft
Bremen	Bremen
Bremen (state)	Bremen
Bremerhaven	Bremerhaven
Brescia	Brescia
Brest	Brest (Frankrike)
Brest	Brest (Hviterussland)
Brest	Brest
Bretagne	Bretagne
Brick	Murstein
Bridge	Bro
Bridges	Kategori:Broer
Bridgetown	Bridgetown
Brigade	Brigade
Brighton	Brighton
Brindisi	Brindisi
Brisbane	Brisbane
Bristol	Bristol
British Columbia	Britisk Columbia
British Empire	Det britiske imperiet
British Isles	De britiske øyer
British Virgin Islands	De britiske jomfruøyene
British people	Kategori:Briter
Brno	Brno
Broadway (New York City)	Broadway
Broccoli	Brokkoli
Bromine	Brom
Bronze	Bronse
Bronze Age	Bronsealderen
Brooklyn	Brooklyn
Brooklyn Bridge	Brooklyn Bridge
Brown	Brun
Brown Bear	Brunbjørn
Brownian motion	Brownsk bevegelse
Bruce Lee	Bruce Lee
Bruges	Brugge
Brunei	Brunei
Brunei	Kategori:Brunei
Brussels	Brussel
Bubonic plague	Pest
Bucharest	Bucureşti
Buckingham Palace	Buckingham Palace
Buckminster Fuller	Richard Buckminster Fuller
Buckwheat	Bokhvete
Budapest	Budapest
Buddhism	Buddhisme
Buddhism	Kategori:Buddhisme
Buddy Holly	Buddy Holly
Buenos Aires	Buenos Aires
Buffalo	Buffalo
Building	Bygning
Bujumbura	Bujumbura
Bulgaria	Bulgaria
Bulgaria	Kategori:Bulgaria
Bumblebee	Humler
Bureaucracy	Byråkrati
Burgomaster	Borgermester
Burkina Faso	Burkina Faso
Burkina Faso	Kategori:Burkina Faso
Burma	Burma
Burma	Kategori:Burma
Burqa	Burka
Bursa	Bursa
Burundi	Kategori:Burundi
Bus	Buss
Business	Næringsliv
Businesspeople	Kategori:Forretningsfolk
Buster Keaton	Buster Keaton
Butane	Butan
Butter	Smør
Butterfly	Rhopalocera
Butterfly effect	Sommerfugleffekt
Bydgoszcz	Bydgoszcz
Byte	Byte
C	C
C (programming language)	C (programmeringsspråk)
C. S. Lewis	C.S. Lewis
CD (disambiguation)	CD (andre betydninger)
CHAOS (Linux distribution)	CHAOS
CN Tower	CN Tower
COBOL	COBOL
Cabaret	Kabaret
Cacao	Kakaotre
Cactus	Kaktusfamilien
Cadmium	Kadmium
Caesium	Cesium
Caffeine	Koffein
Cairo	Kairo
Cake	Kake
Calabria	Calabria
Calais	Calais
Calcite	Kalk (mineral)
Calcium	Kalsium
Calcium carbonate	Kalsiumkarbonat
Calculator	Kalkulator
Calculus	Matematisk analyse
Caldera	Kaldera
Calendar	Kalender
Caliber	Kaliber
California	California
California	Kategori:California
Californium	Californium
Caligula	Caligula
Caliph	Kalif
Calligraphy	Kalligrafi
Calliope	Kalliope
Callisto (moon)	Callisto (måne)
Callisto (mythology)	Callisto (mytologi)
Calorie	Kalori
Calvados	Calvados (departement)
Calvary	Golgata
Calvin Coolidge	Calvin Coolidge
Calvinism	Kalvinisme
Calypso (mythology)	Kalypso
Cambodia	Kambodsja
Cambodia	Kategori:Kambodsja
Cambrian	Kambrium
Cambridge	Cambridge
Cambridge	Cambridge (Massachusetts)
Cambridge (disambiguation)	Cambridge (andre betydninger)
Camel	Kameler
Camera	Kamera
Cameroon	Kamerun
Cameroon	Kategori:Kamerun
Campania	Campania
Canada	Canada
Canada	Kategori:Canada
Canadian dollar	Canadisk dollar
Canal	Kanal (farvann)
Canary Islands	Kanariøyene
Canary Islands	Kategori:Kanariøyene
Canberra	Canberra
Cancer	Kreft
Candela	Candela
Candle	Levende lys
Canidae	Hundefamilien
Cannabis	Hamp
Cannabis (drug)	Cannabis (rusmiddel)
Cannes	Cannes
Cannibalism	Kannibalisme
Cannon	Kanon
Canoe	Kano
Canon (company)	Canon
Canopus	Canopus
Cantata	Kantate
Canterbury	Canterbury (Kent)
Cantonese (linguistics)	Kantonesisk
Canute the Great	Knut II av Danmark
Capacitance	Kapasitans
Capacitor	Kondensator (elektrisk)
Cape Canaveral	Cape Canaveral
Cape Horn	Kapp Horn
Cape Town	Cape Town
Cape Verde	Kapp Verde
Cape Verde	Kategori:Kapp Verde
Cape of Good Hope	Kapp det gode håp
Capital	Hovedstad
Capital (economics)	Kapital (økonomi)
Capital punishment	Dødsstraff
Capitalism	Kapitalisme
Cappadocia	Kappadokia
Capricornus	Steinbukken
Capsicum	Chilipepper
Caracal	Caracal
Caracas	Caracas
Carambola	Stjernefrukt
Carat (mass)	Karat (masse)
Carat (purity)	Karat (masse)
Caravaggio	Caravaggio
Carbohydrate	Karbohydrat
Carbon	Karbon
Carbon cycle	Karbonkretsløpet
Carbon dioxide	Karbondioksid
Carbon monoxide	Karbonmonoksid
Carbonic acid	Karbonsyre
Carboniferous	Karbon (geologi)
Carboxylic acid	Karboksylsyre
Carburetor	Forgasser
Card game	Kortspill
Cardamom	Kardemomme
Cardiff	Cardiff
Cardinal (Catholicism)	Kardinal
Cardinal Richelieu	Armand-Jean du Plessis de Richelieu
Cardiology	Kardiologi
Cardiology	Kategori:Kardiologi
Caribbean	Karibien
Caribbean	Kategori:Karibien
Caribbean Sea	Det karibiske hav
Caricature	Karikatur
Carl David Anderson	Carl David Anderson
Carl Jung	Carl Gustav Jung
Carl Lewis	Carl Lewis
Carl Maria von Weber	Carl Maria von Weber
Carl Orff	Carl Orff
Carnival	Karneval
Carnivora	Rovdyr
Carnivorous plant	Kjøttetende plante
Carolingian dynasty	Karolingerne
Carolus Linnaeus	Carl von Linné
Carpathian Mountains	Karpatene
Carrot	Gulrot
Carson City	Carson City (Nevada)
Cartagena	Cartagena (Spania)
Cartesian coordinate system	Kartesisk koordinatsystem
Cartesian product	Kartesisk produkt
Carthage	Karthago
Cartography	Kartografi
Cartography	Kategori:Kartografi
Cary Grant	Cary Grant
Caryophyllales	Caryophyllales
Casablanca	Casablanca
Casino	Kasino
Caspian Sea	Det kaspiske hav
Cassandra	Kassandra
Cassiopeia (constellation)	Kassiopeia
Cast iron	Støpejern
Caste	Kaste
Castile (historical region)	Castilla
Castling	Rokade
Castries	Castries
Casus belli	Casus belli
Cat	Tamkatt
Catalonia	Catalonia
Catalonia	Kategori:Catalonia
Catalysis	Katalysator
Cataphract	Katafrakt
Cataract	Katarakt
Catfish	Maller
Catharism	Katarer
Cathedral	Katedral
Catherine Parr	Katarina Parr
Catherine of Aragon	Katarina av Aragon
Cathode	Katode
Catholicism	Katolisisme
Cattle	Tamfe
Cattle Egret	Kuhegre
Catullus	Catullus
Caucasus	Kaukasia
Caucasus	Kategori:Kaukasia
Cauliflower	Blomkål
Causality	Kausalitet
Cavalry	Kavaleri
Cave	Grotte
Caviar	Kaviar
Cayenne	Cayenne
Cayman Islands	Caymanøyene
Cecil Rhodes	Cecil Rhodes
Cedar	Sedere
Celery	Selleri
Celestial equator	Himmelekvator
Celestial mechanics	Kategori:Himmelmekanikk
Celestial mechanics	Himmelmekanikk
Celestial sphere	Himmelhvelving
Celibacy	Sølibat
Cell (biology)	Celle
Cell membrane	Cellemembran
Cell nucleus	Cellekjerne
Cell wall	Cellevegg
Cello	Cello
Cellulose	Cellulose
Celsius	Celsiusskalaen
Cement	Sement
Cemetery	Gravlund
Cenozoic	Kenozoikum
Census	Folketelling
Centaur	Kentaur
Centimetre	Centimeter
Central Africa	Sentral-Afrika
Central African Republic	Den sentralafrikanske republikk
Central African Republic	Kategori:Den sentralafrikanske republikk
Central America	Mellom-Amerika
Central America	Kategori:Sentral-Amerika
Central Intelligence Agency	Central Intelligence Agency
Central Park	Central Park
Central Powers	Sentralmaktene
Central bank	Sentralbank
Central nervous system	Sentralnervesystemet
Central processing unit	CPU
Centre	Centre
Century	Århundre
Cephalopod	Blekkspruter
Ceramic	Keramikk
Cerberus	Kerberos
Cereal	Korn
Cerebellum	Lillehjernen
Ceres	Ceres
Ceres (dwarf planet)	Ceres (dvergplanet)
Ceres (mythology)	Ceres (gudinne)
Cerium	Cerium
Cesare Borgia	César de Borja
Cestoda	Bendelormer
Cetacea	Hvaler
Chad	Tsjad
Chad	Kategori:Tsjad
Chaffinch	Bokfink
Chair	Stol
Chalcedony	Kalsedon
Chamois	Gemse
Champagne (wine)	Champagne
Champagne-Ardenne	Champagne-Ardenne
Channel Tunnel	Kanaltunnelen
Charadriiformes	Vade-, måse- og alkefugler
Charlemagne	Karl den store
Charleroi	Charleroi
Charles	Charles, prins av Wales
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Fourier	Charles Fourier
Charles Lindbergh	Charles Lindbergh
Charles Peirce	Charles S. Peirce
Charles Thomson Rees Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
Charles the Bald	Karl II av Det tysk-romerske rike
Charleston	Charleston (Vest-Virginia)
Charlie Chaplin	Charlie Chaplin
Charlie Parker	Charlie Parker
Charlotte	Charlotte
Charmed	Charmed
Charon (moon)	Charon (måne)
Charon (mythology)	Charon
Chartres	Chartres
Che Guevara	Che Guevara
Chechnya	Tsjetsjenia
Chechnya	Kategori:Tsjetsjenia
Cheese	Ost
Cheetah	Gepard
Chelyabinsk	Tsjeljabinsk
Chemical bond	Kjemiske bindinger
Chemical compound	Kjemisk forbindelse
Chemical element	Grunnstoff
Chemical formula	Kjemisk formel
Chemical reaction	Kjemisk reaksjon
Chemical warfare	Kjemisk krigføring
Chemistry	Kjemi
Chemistry	Kategori:Kjemi
Chemnitz	Chemnitz
Chemotherapy	Kjemoterapi
Chennai	Chennai
Cheque	Sjekk
Chernobyl	Tsjernobyl
Chert	Flint
Cherub	Kjeruber
Chess	Sjakk
Chess	Kategori:Sjakk
Chess opening	Sjakkåpning
Chester A. Arthur	Chester A. Arthur
Chewing gum	Tyggegummi
Cheyenne	Cheyenne
Chi (letter)	Khi
Chiang Kai-shek	Chiang Kai-shek
Chicago	Chicago
Chicken	Høne
Chickenpox	Vannkopper
Chickpea	Kikert
Chihuahua	Chihuahua (delstat)
Child	Barn
Chile	Chile
Chile	Kategori:Chile
Chimborazo (volcano)	Chimborazo
Chimpanzee	Sjimpanse
China	Kategori:Kina
China	Kina
Chios	Khios
Chitin	Kitin
Chlorine	Klor
Chloroform	Kloroform
Chlorophyll	Klorofyll
Chloroplast	Kloroplast
Chocolate	Sjokolade
Choir	Sangkor
Cholera	Kolera
Cholesterol	Kolesterol
Chondrichthyes	Bruskfisker
Chongqing	Chóngqìng
Chord (music)	Akkord (musikk)
Chordate	Ryggstrengdyr
Christchurch	Christchurch
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Christianity	Kristendom
Christianity	Kategori:Kristendom
Christmas	Jul
Christmas	Kategori:Jul
Christmas Eve	Julaften
Christmas tree	Juletre
Christopher Columbus	Christofer Columbus
Christopher Marlowe	Christopher Marlowe
Chromatography	Kromatografi
Chromium	Krom
Chromosome	Kromosom
Chuck Berry	Chuck Berry
Chukchi Sea	Tsjuktsjerhavet
Church	Kirke
Church of England	Den engelske kirke
Cicero	Marcus Tullius Cicero
Ciconiiformes	Storkefugler
Cider	Sider
Cigarette	Sigarett
Cinderella	Askepott
Cinnabar	Sinober (mineral)
Circe	Kirke (gresk mytologi)
Circle	Sirkel
Circulatory system	Sirkulasjonssystem
Circus	Sirkus
Cirrhosis	Skrumplever
Citizenship	statsborgerskap
Citric acid	Sitronsyre
Citric acid cycle	Sitronsyresyklus
Citrus	Sitrusfrukt
City-state	Bystat
Civil war	Borgerkrig
Civilization	Sivilisasjon
Civilization (computer game)	Sid Meier's Civilization
Clarinet	Klarinett
Clark Gable	Clark Gable
Class	Klasse
Class (biology)	Klasse (biologi)
Classical mechanics	Klassisk mekanikk
Classical music	Klassisk musikk
Classical music	Kategori:Klassisk musikk
Classicism	Klassisismen
Claude Monet	Claude Monet
Claude Shannon	Claude Elwood Shannon
Claudio Monteverdi	Claudio Monteverdi
Claudius	Claudius
Clavicle	Kragebein
Clay	Leire
Clef	Nøkkel (musikk)
Clement Attlee	Clement Attlee
Cleopatra (disambiguation)	Kleopatra
Clergy	Presteskap
Cleveland	Cleveland
Climate	Klima
Climate	Kategori:Klima
Climate change	Klimaendring
Climatology	Klimatologi
Clinical depression	Depresjon (sykdom)
Clio	Kleio
Clitoris	Klitoris
Clock	Klokke
Clock Tower	Big Ben
Cloning	Kloning
Clothing	Kategori:Klær
Clothing	Klær
Cloud	Sky
Clove	Kryddernellik
Clover	Kløvere
Clovis I	Klodvig I
Cnidaria	Nesledyr
Coal	Kull
Coast	Kyst
Coat of arms	Våpen (heraldikk)
Cobalt	Kobolt
Cocaine	Kokain
Coccinellidae	Marihøner
Cockatoo	Kakaduer
Cockroach	Kakerlakker
Cocktail	Cocktail
Coconut	Kokosnøtt
Cocos (Keeling) Islands	Kokosøyene
Codeine	Kodein
Coffea	Kaffeplanter
Coffee	Kaffe
Coffee	Kategori:Kaffe
Cognac (drink)	Konjakk
Cognitive psychology	Kognitiv psykologi
Cognitive science	Kognitiv vitenskap
Coin	Mynt
Cola	Cola
Cold War	Den kalde krigen
Cold War	Kategori:Den kalde krigen
Colin Powell	Colin Powell
Collage	Collage
Collagen	Kollagen
Cologne	Köln
Colombia	Colombia
Colombia	Kategori:Colombia
Colombo	Colombo
Colonel	Oberst
Colony	Koloni
Color	Farge
Color blindness	Fargeblindhet
Colorado	Colorado
Colorado	Kategori:Colorado
Colorado River	Coloradoelven
Colosseum	Colosseum
Colossus of Rhodes	Kolossen på Rhodos
Colubrid	Snoker
Columbia	Columbia (Sør-Carolina)
Columbia River	Columbia River
Columbia University	Columbia University
Columbidae	Duer
Columbiformes	Kategori:Duefugler
Columbiformes	Duefugler
Columbus	Columbus (Ohio)
Columbus	Columbus
Coma	Koma
Coma Berenices	Berenikes hår
Combustion	Forbrenning
Comedy	Komedie
Comenius	Johann Amos Comenius
Comet	Komet
Comma (punctuation)	Komma
Commedia dell'arte	Commedia dell'arte
Common cold	Forkjølelse
Commonwealth of Independent States	Samveldet av uavhengige stater
Commonwealth of Nations	Samveldet av nasjoner
Communication	Kategori:Kommunikasjon
Communication	Kommunikasjon
Communism	Kommunisme
Communism	Kategori:Kommunisme
Comoros	Komorene
Comoros	Kategori:Komorene
Compact Disc	CD
Company (military unit)	Kompani
Compass	Kompass
Compass (drafting)	Passer
Compiler	Kompilator
Complex number	Komplekst tall
Composer	Komponist
Composite material	Komposittmateriale
Composite number	Sammensatt tall
Computed tomography	Computertomografi
Computer	Datamaskin
Computer display	Skjerm (monitor)
Computer file	Datafil
Computer graphics	Kategori:Datagrafikk
Computer hardware	Maskinvare
Computer network	Datanett
Computer programming	Programmering
Computer programming	Kategori:Programmering
Computer science	Informatikk
Computer science	Kategori:Informatikk
Computer software	Dataprogram
Computer virus	Datavirus
Computer-aided design	Computer-aided design
Computing	Kategori:Informatikk
Conakry	Conakry
Concord	Concord
Concrete	Betong
Condom	Kondom
Cone (geometry)	Kjegle
Confederate States of America	Amerikas konfødererte stater
Confederation	Konføderasjon
Confession	Skriftemål
Confirmation	Konfirmasjon
Conflict	Konflikt
Confucianism	Konfucianisme
Confucius	Konfucius
Congo	Kongo
Congo River	Kongo (elv)
Conic section	Kjeglesnitt
Connecticut	Connecticut
Connecticut	Kategori:Connecticut
Connective tissue	Støttevev
Conquistador	Conquistador
Consensus	Konsensus
Conservatism	Konservatisme
Consonant	Konsonant
Constantine I	Konstantin den store
Constantinople	Konstantinopel
Constellation	Stjernebilde
Constitution (political)	Konstitusjon
Consul	Romersk konsul
Consumption (economics)	Konsum
Contact lens	Kontaktlinse
Continent	Kontinent
Continental drift	Kontinentaldrift
Continental shelf	Kontinentalsokkel
Contract	Avtale
Contract bridge	Bridge
Convection	Konveksjon
Cooking	Matlaging
Cooperative	Samvirke
Coordinate system	Koordinatsystem
Coordinated Universal Time	UTC
Copenhagen	København
Copper	Kobber
Copyright	Opphavsrett
Cor anglais	Engelsk horn
Coraciiformes	Råkefugler
Coral Sea	Korallhavet
Coral reef	Korallrev
Coriander	Koriander
Corinth	Korint
Coriolis effect	Corioliskraft
Cork (city)	Cork
Cormorant	Skarver
Cornea	Hornhinne
Cornell University	Cornell University
Cornwall	Cornwall
Corona Borealis	Den nordlige krone
Corporation	Aksjeselskap
Corrosion	Korrosjon
Corsica	Korsika
Corundum	Korund
Corvette	Korvett
Corvidae	Kråkefugler
Corvus (constellation)	Ravnen
Cosmic ray	Kosmisk stråling
Cosmology	Kosmologi
Cosmology	Kategori:Kosmologi
Costa Rica	Costa Rica
Costa Rica	Kategori:Costa Rica
Cotonou	Cotonou
Cotopaxi	Cotopaxi
Cotton	Bomull
Cougar	Fjelløve
Coulomb	Coulomb
Coulomb's law	Coulombs lov
Council of Chalcedon	Konsilet i Kalkedon
Council of Ephesus	Konsilet i Efesos
Council of Trent	Konsilet i Trient
Counterpoint	Kontrapunkt
Country music	Country
Court	Domstol
Covalent bond	Kovalent binding
Coventry	Coventry
Coyote	Prærieulv
Crab	Krabber
Crab Nebula	Krabbetåken
Crane (bird)	Traner
Crater (constellation)	Begeret
Creationism	Kreasjonisme
Cremona	Cremona
Cretaceous	Kritt (geologi)
Crete	Kreta
Cricket	Cricket
Cricket (insect)	Ekte sirisser
Crime	Kriminalitet
Crimea	Krim
Crimean War	Krimkrigen
Criminal law	Kategori:Strafferett
Criminology	Kriminologi
Criminology	Kategori:Kriminologi
Croatia	Kroatia
Croatia	Kategori:Kroatia
Crocodilia	Krokodiller
Cronus	Kronos
Cross	Kors
Crossbow	Armbrøst
Crossword	Kryssord
Crucifixion	Korsfestelse
Cruiser	Krysser
Crustacean	Krepsdyr
Cryptography	Kryptografi
Cryptography	Kategori:Kryptografi
Crystal	Krystall
Crystallography	Krystallografi
Crystallography	Kategori:Krystallografi
Ctenophore	Ribbemaneter
Cuba	Cuba
Cuba	Kategori:Cuba
Cube	Terning
Cubic metre	Kubikkmeter
Cubism	Kubisme
Cuculiformes	Gjøkefugler
Cucumber	Agurk
Cucurbitaceae	Gresskarfamilien
Cultural Revolution	Kulturrevolusjonen
Culture	Kultur
Culture	Kategori:Kultur
Cumbria	Cumbria
Cumulus cloud	Cumulus
Cupressaceae	Sypressfamilien
Curitiba	Curitiba
Curium	Curium
Curling	Curling
Currency	Kategori:Valuta
Currency	Valuta
Curry	Curry
Curve	Kurve
Cusco	Cuzco
Cyan	Turkis
Cyanide	Cyanid
Cyanobacteria	Cyanobakterier
Cybele	Kybele
Cybernetics	Kybernetikk
Cyberpunk	Cyberpunk
Cyclades	Kykladene
Cycling	Sykling
Cycling	Kategori:Sykling
Cyclone	Syklon
Cyclops	Kyklop
Cylinder (geometry)	Sylinder
Cyperaceae	Halvgrasfamilien
Cyprinid	Karpefamilien
Cypriniformes	Karpefisker
Cyprus	Kypros
Cyprus	Kategori:Kypros
Cyrillic alphabet	Det kyrilliske alfabetet
Cyrus the Great	Kyros den store
Cystic fibrosis	Cystisk fibrose
Cytoplasm	Cytoplasma
Cytosine	Cytosin
Czech Republic	Tsjekkia
Czech Republic	Kategori:Tsjekkia
Czechoslovakia	Tsjekkoslovakia
Czechoslovakia	Kategori:Tsjekkoslovakia
D	D
D. H. Lawrence	D.H. Lawrence
D. W. Griffith	D. W. Griffith
DDT	DDT
DNA	DNA
DOS	DOS
DVD	DVD
Dachshund	Dachs
Dada	Dadaisme
Daedalus	Daidalos
Dagger	Daggert
Daguerreotype	Daguerrotypi
Dahlia	Georginer
Dakar	Dakar
Dalai Lama	Dalai Lama
Dallas	Dallas
Dalmatia	Dalmatia
Dam	Demning
Damascus	Damaskus
Dance	Dans
Dance	Kategori:Dans
Dandelion	Løvetanner
Daniel Defoe	Daniel Defoe
Daniel Ortega	Daniel Ortega
Danish krone	Dansk krone
Dante Alighieri	Dante Alighieri
Danube	Donau
Dar es Salaam	Dar-es-Salaam
Dardanelles	Dardanellene
Darfur	Darfur
Darjeeling	Darjeeling
Dark matter	Mørk materie
Darmstadtium	Darmstadtium
Darwin	Darwin (Australia)
Darwin	Darwin
Das Kapital	Das Kapital
Data mining	Data mining
Data structure	Datastruktur
Database	Database
Database management system	Databasehåndteringssystem
Date Palm	Daddelpalme
Dative case	Dativ
Daugavpils	Daugavpils
David	David av Israel
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
David Ricardo	David Ricardo
Davis Cup	Davis Cup
Day	Dag
Days	Kategori:Dager i året
De facto	De facto
Deacon	Diakon
Dead Sea	Dødehavet
Dead Sea scrolls	Dødehavsrullene
Deadly nightshade	Belladonnaurt
Death	Død
Death	Kategori:Døden
Decade	Tiår
December	Desember
December 31	31. desember
December 8	8. desember
Decibel	Desibel
Decimal	Titallsystemet
Decius (emperor)	Decius
Declination	Deklinasjon
Deco	Deco
Deconstruction	Dekonstruksjon
Deductive reasoning	Deduksjon (filosofi)
Deer	Hjortedyr
Definition	Definisjon
Deflation	Deflasjon
Degree	Grad
Degree (angle)	Grad (vinkel)
Deimos (moon)	Deimos
Deism	Deisme
Delaware	Delaware
Delaware	Kategori:Delaware
Delft	Delft
Delhi	Delhi
Dell	Dell
Delphi	Delfi
Delta	Delta
Delta (letter)	Delta (bokstav)
Demagogy	Demagogi
Dementia	Demens
Demeter	Demeter
Democracy	Demokrati
Democratic Party (United States)	Det demokratiske parti
Democratic Republic of the Congo	Den demokratiske republikken Kongo
Democratic Republic of the Congo	Kategori:Den demokratiske republikken Kongo
Democritus	Demokrit
Demography	Demografi
Demography	Kategori:Demografi
Demon	Demon
Demosthenes	Demostenes (taler)
Deng Xiaoping	Dèng Xiǎopíng
Dengue fever	Dengue
Denis Diderot	Denis Diderot
Denmark	Danmark
Denmark	Kategori:Danmark
Dennis Gabor	Dennis Gabor
Density	Tetthet
Dental caries	Karies
Dentistry	Kategori:Odontologi
Dentistry	Odontologi
Denver	Denver
Derivative	Derivasjon
Dermatology	Dermatologi
Des Moines	Des Moines
Desert	Ørken
Deserts	Kategori:Ørken
Desiderius Erasmus	Erasmus
Design	Design
Design	Kategori:Design
Desmond Tutu	Desmond Tutu
Destroyer	Jager
Determinism	Determinisme
Detroit	Detroit
Deuterium	Deuterium
Deuteronomy	Femte Mosebok
Developmental psychology	Utviklingspsykologi
Device driver	Driver
Devon	Devon
Devonian	Devon (geologi)
Dew	Dugg
Dew point	Duggpunkt
Dewey Decimal Classification	Deweys desimalklassifikasjon
Dhaka	Dhaka
Dharma	Dharma
Dhaulagiri	Dhaulagiri
Dhole	Asiatisk villhund
Diabetes mellitus	Diabetes mellitus
Diacritic	Diakritisk tegn
Dialect	Dialekt
Dialectic	Dialektikk
Dialectical materialism	Dialektisk materialisme
Diameter	Diameter
Diamond	Diamant
Diana	Diana, prinsesse av Wales
Diana (mythology)	Diana (gudinne)
Diarrhea	Diaré
Diaspora	Diaspora
Diatom	Kiselalger
Dice	Spillterning
Dicotyledon	Tofrøbladede planter
Dictatorship	Diktatur
Dictionary	Ordbok
Diego Rivera	Diego Rivera
Diesel	Diesel
Diesel engine	Dieselmotor
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Differential equation	Differensialligning
Diffusion	Diffusjon
Digestion	Fordøyelse
Digestive system	Kategori:Fordøyelsessystemet
Digital	Digital informasjon
Digital camera	Digitalkamera
Digital photography	Digital fotografi
Digital subscriber line	DSL
Dijon	Dijon
Dill	Dill
Dimension	Dimensjon
Dingo	Dingo
Dinosaur	Dinosaurer
Diocese	Bispedømme
Diocletian	Diokletian
Diode	Diode
Dionysus	Dionysos
Diphtheria	Difteri
Diphthong	Diftong
Diplodocus	Diplodocus
Diplomacy	Diplomati
Diplomacy	Kategori:Diplomati
Dire Straits	Dire Straits
Direct current	Likestrøm
Disaccharide	Disakkarid
Disambiguation	Kategori:Pekere
Disc jockey	Disc jockey
Discourse	Diskurs
Disease	Sykdom
Distillation	Destillasjon
Division (mathematics)	Divisjon (matematikk)
Division (military)	Divisjon (forband)
Divorce	Skilsmisse
Dizzy Gillespie	Dizzy Gillespie
Djibouti	Kategori:Djibouti
Djibouti (city)	Djibouti (by)
Dmitri Mendeleev	Dmitrij Mendelejev
Dmitri Shostakovich	Dmitrij Sjostakovitsj
Dnieper River	Dnepr
Dnipropetrovsk	Dnipropetrovsk
Doberman Pinscher	Dobermann
Doctor of the Church	Kirkelærer
Document	Dokument
Dodecahedron	Dodekaeder
Dodecanese	Dodekanesene
Dodo	Dodo
Dodoma	Dodoma
Dog	Tamhund
Dogma	Dogme
Doha	Doha
Dollar	Dollar
Dolmen	Dysse
Dolomite	Dolomitt
Dolphin	Delfiner
Domain (biology)	Domene (biologi)
Domain name	Domenenavn
Dome	Kuppel
Domesday Book	Domesday Book
Domestication	Domestisering
Dominica	Dominica
Dominica	Kategori:Dominica
Dominican Order	Dominikanerordenen
Dominican Republic	Den dominikanske republikk
Dominican Republic	Kategori:Den dominikanske republikk
Domitian	Domitian
Don Quixote	Don Quijote
Don River (Russia)	Don
Donald Duck	Donald Duck
Donatello	Donatello
Donato Bramante	Donato Bramante
Donetsk	Donetsk
Donkey	Esel
Door	Dør
Dopamine	Dopamin
Doppler effect	Dopplereffekten
Doric order	Dorisk søyleorden
Doris Lessing	Doris Lessing
Dortmund	Dortmund
Douala	Douala
Double bass	Kontrabass
Douglas MacArthur	Douglas MacArthur
Dover	Dover (Delaware)
Dover	Dover
Down syndrome	Down syndrom
Draco (constellation)	Dragen
Dracula	Dracula
Dragon	Drage
Drainage basin	Tilsigsfelt
Drama	Drama
Draughts	Dam (spill)
Dream	Drøm
Dresden	Dresden
Drink	Drikke
Dromedary	Dromedar
Drought	Tørke
Drug addiction	Narkomani
Druid	Druide
Drum	Tromme
Dualism	Dualisme
Dualism (philosophy of mind)	Dualisme
Dubai	Dubai
Dublin	Dublin
Dubnium	Dubnium
Dubrovnik	Dubrovnik
Dugong	Dugong
Duke	Hertug
