English	Finnish
Grammar	Kielioppi
Grammar	Luokka:Kielioppi
Grammatical gender	Suku (kielioppi)
Granada	Granada
Grand Canyon	Grand Canyon
Grand Slam (tennis)	Grand Slam
Grandmaster (chess)	Suurmestari (shakki)
Granite	Graniitti
Grape	Viinirypäle
Grapefruit	Greippi
Graphic design	Luokka:Graafinen suunnittelu
Graphic design	Graafinen suunnittelu
Graphical user interface	Graafinen käyttöliittymä
Graphite	Grafiitti
Gravitation	Painovoima
Gravitational constant	Gravitaatiovakio
Graviton	Gravitoni
Gray (unit)	Gray
Gray Wolf	Susi
Graz	Graz
Great Barrier Reef	Iso Valliriutta
Great Britain	Iso-Britannia (saari)
Great Crested Grebe	Silkkiuikku
Great Depression	1930-luvun lama
Great Lakes	Suuret järvet
Great Rift Valley	Itä-Afrikan hautavajoama
Great Wall of China	Kiinan muuri
Great white shark	Valkohai
Greater Antilles	Isot Antillit
Greater London	Suur-Lontoo
Greatest common divisor	Suurin yhteinen tekijä
Grebe	Uikut
Greece	Kreikka
Greece	Luokka:Kreikka
Greek alphabet	Kreikkalainen kirjaimisto
Greek alphabet	Luokka:Kreikkalaiset kirjaimet
Greek fire	Kreikkalainen tuli
Greek mythology	Kreikkalainen mytologia
Greek mythology	Luokka:Kreikkalainen mytologia
Green	Vihreä
Greenhouse	Kasvihuone
Greenhouse effect	Kasvihuoneilmiö
Greenhouse gas	Kasvihuonekaasu
Greenland	Grönlanti
Greenland	Luokka:Grönlanti
Greenland Sea	Grönlanninmeri
Greenpeace	Greenpeace
Greenwich	Greenwich
Gregor Mendel	Gregor Mendel
Gregorian calendar	Gregoriaaninen kalenteri
Grenada	Luokka:Grenada
Grenoble	Grenoble
Greta Garbo	Greta Garbo
Grey	Harmaa
Greylag Goose	Merihanhi
Griffin	Aarnikotka
Griffon Vulture	Hanhikorppikotka
Gross domestic product	Bruttokansantuote
Group	Ryhmä
Group (mathematics)	Ryhmä (algebra)
Group (periodic table)	Ryhmä (jaksollinen järjestelmä)
Group theory	Ryhmäteoria
Grover Cleveland	Grover Cleveland
Grozny	Groznyi
Gruiformes	Kurkilinnut
Grus (constellation)	Kurki (tähdistö)
Guadalajara	Guadalajara (Meksiko)
Guadeloupe	Guadeloupe
Guam	Guam
Guangdong	Guangdong
Guangzhou	Guangzhou
Guanine	Guaniini
Guano	Guano
Guatemala	Luokka:Guatemala
Guatemala City	Guatemala (kaupunki)
Guayaquil	Guayaquil
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Guild	Kiltalaitos
Guillaume Apollinaire	Guillaume Apollinaire
Guillotine	Giljotiini
Guinea	Guinea
Guinea	Luokka:Guinea
Guinea pig	Marsu
Guinea-Bissau	Guinea-Bissau
Guinea-Bissau	Luokka:Guinea-Bissau
Guitar	Kitara
Gujarat	Gujarat
Gulag	Gulag
Gulf Stream	Golfvirta
Gulf War	Persianlahden sota
Gulf of Aden	Adeninlahti
Gulf of Aqaba	Akabanlahti
Gulf of Bothnia	Pohjanlahti
Gulf of Finland	Suomenlahti
Gulf of Guinea	Guineanlahti
Gulf of Mexico	Meksikonlahti
Gulf of Oman	Omaninlahti
Gulf of Riga	Riianlahti
Gull	Lokit
Gunpowder	Ruuti
Gunpowder Plot	Ruutisalaliitto
Guppy	Miljoonakala
Gustav Klimt	Gustav Klimt
Gustav Ludwig Hertz	Gustav Ludwig Hertz
Gustav Mahler	Gustav Mahler
Gustave Courbet	Gustave Courbet
Gustave Flaubert	Gustave Flaubert
Guy Fawkes	Guy Fawkes
Guy de Maupassant	Guy de Maupassant
Guyana	Luokka:Guyana
Gynaecology	Gynekologia
Gyroscope	Gyroskooppi
H	H
H. G. Wells	H. G. Wells
HIV	HIV
HTML	HTML
Hacker	Hakkeri
Hadean	Hadeinen eoni
Hades	Haades
Hadith	Hadith
Hadrian	Hadrianus
Hadrian's Wall	Hadrianuksen valli
Hadron	Hadroni
Haemophilia	Verenvuototauti
Hafnium	Hafnium
Hagia Sophia	Hagia Sofia
Haifa	Haifa
Haiku	Haiku
Hail	Rae
Hail Mary	Ave Maria
Hair	Karva
Haiti	Haiti
Haiti	Luokka:Haiti
Hajj	Hadž
Halal	Halal
Halberd	Hilpari
Half-life	Puoliintumisaika
Halle	Halle
Halloween	Halloween
Hallucination	Hallusinaatio
Halogen	Halogeeni
Hamas	Hamas
Hamburg	Hampuri
Hamburg	Luokka:Hampuri
Hamburger	Hampurilainen
Hamlet	Hamlet – Tanskan prinssi
Hammer	Vasara
Hammer and sickle	Sirppi ja vasara
Hammurabi	Hammurabi
Hampshire	Hampshire
Hamster	Hamsterit
Han Dynasty	Han-dynastia
Hand	Käsi
Hand grenade	Käsikranaatti
Handgun	Pistooli
Hanging	Hirttäminen
Hanging Gardens of Babylon	Babylonin riippuvat puutarhat
Hannah Arendt	Hannah Arendt
Hannibal	Hannibal
Hanoi	Hanoi
Hanover	Hannover
Hans Bethe	Hans Bethe
Hans Christian Andersen	H. C. Andersen
Hanseatic League	Hansaliitto
Hanukkah	Hanukka
Hanuman	Hanuman
Happiness	Onnellisuus
Harare	Harare
Hardness	Kovuus
Harem	Haaremi
Harlem	Harlem
Harmonica	Huuliharppu
Harmony	Harmonia (musiikki)
Harold Pinter	Harold Pinter
Harp	Harppu
Harpsichord	Cembalo
Harpy	Harpyijat
Harriet Beecher Stowe	Harriet Beecher-Stowe
Harriet Tubman	Harriet Tubman
Harrisburg	Harrisburg
Harry Houdini	Harry Houdini
Hartford	Hartford
Hassium	Hassium
Hatred	Viha
Haute-Normandie	Haute-Normandie
Havana	Havanna
Hawaii	Havaiji
Hawaii	Luokka:Havaiji
Hazel	Pähkinäpensaat
Head	Pää
Head of state	Valtionpäämies
Health	Terveys
Health	Luokka:Terveys
Heart	Sydän
Heat	Lämpö
Heaven	Taivas (uskonto)
Heavy metal	Luokka:Metallimusiikki
Heavy metal music	Metallimusiikki
Heavy water	Raskas vesi
Hebe (mythology)	Hebe
Hebei	Hebei
Hebrew alphabet	Heprealainen kirjaimisto
Hebrew calendar	Juutalainen kalenteri
Hebrides	Hebridit
Hecate	Hekate
Hectare	Hehtaari
Hector	Hektor
Hector Berlioz	Hector Berlioz
Hedgehog	Varsinaiset siilit
Hedonism	Hedonismi
Heimdall	Heimdall
Heinrich Hertz	Heinrich Hertz
Heinrich Himmler	Heinrich Himmler
Heinrich Schliemann	Heinrich Schliemann
Hel (being)	Hel
Helen	Helena (mytologia)
Helen Keller	Helen Keller
Helena	Helena (Montana)
Helicopter	Helikopteri
Helios	Helios
Helium	Helium
Hell	Helvetti
Helmut Schmidt	Helmut Schmidt
Helsinki	Helsinki
Hematite	Hematiitti
Hematology	Hematologia
Hemoglobin	Hemoglobiini
Hemorrhoid	Peräpukama
Henri Becquerel	Henri Becquerel
Henri Bergson	Henri Bergson
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henry (unit)	Henry
Henry Cavendish	Henry Cavendish
Henry David Thoreau	Henry Thoreau
Henry Fonda	Henry Fonda
Henry Ford	Henry Ford
Henry James	Henry James
Henry Kissinger	Henry Kissinger
Henry Miller	Henry Miller
Henry Moore	Henry Moore
Henry Purcell	Henry Purcell
Hepatitis	Hepatiitti
Hephaestus	Hefaistos
Hera	Hera (mytologia)
Heracles	Herakles
Heraclitus	Herakleitos
Heraldry	Heraldiikka
Heraldry	Luokka:Heraldiikka
Herat	Herat
Herbert Hoover	Herbert Hoover
Herbert Marcuse	Herbert Marcuse
Herbert Spencer	Herbert Spencer
Hercules	Herakles
Hercules (constellation)	Herkules (tähdistö)
Heresy	Kerettiläisyys
Herman Melville	Herman Melville
Hermann Hesse	Hermann Hesse
Hermann Minkowski	Hermann Minkowski
Hermann von Helmholtz	Hermann von Helmholtz
Hermaphrodite	Hermafrodiitti
Hermeneutics	Hermeneutiikka
Hermes	Hermes
Hero	Sankari
Hero of Alexandria	Heron Aleksandrialainen
Herod the Great	Herodes
Herodotus	Herodotos
Heroin	Heroiini
Herring Gull	Harmaalokki
Hertfordshire	Hertfordshire
Hertz	Hertsi
Hesiod	Hesiodos
Hesperides	Hesperidit
Hesse	Hessen
Hestia	Hestia
Heterosexuality	Heteroseksuaalisuus
Heterotroph	Toisenvaraisuus
Hexadecimal	Heksadesimaalijärjestelmä
Hexagon	Kuusikulmio
Hezbollah	Hizbollah
Hibernation	Talvihorros
Hideki Yukawa	Hideki Yukawa
Hieronymus Bosch	Hieronymus Bosch
Hilbert space	Hilbertin avaruus
Himalayas	Himalaja
Hindu Kush	Hindukuš
Hinduism	Hindulaisuus
Hinduism	Luokka:Hindulaisuus
Hipparchus	Hipparkhos
Hippie	Hippiliike
Hippocrates	Hippokrates
Hippocratic Oath	Hippokrateen vala
Hippopotamus	Virtahepo
Hirohito	Hirohito
Hiroshima	Hiroshima
Hispaniola	Hispaniola
Histidine	Histidiini
Histology	Kudosoppi
Histology	Luokka:Histologia
Histone	Histoni
History	Historia
History	Luokka:Historia
History	Teemasivu:Historia
Ho Chi Minh	Hồ Chí Minh
Ho Chi Minh City	Hồ Chí Minhin kaupunki
Hobart	Hobart
Hobbit	Hobitti
Hobby	Harrastus
Hokusai	Hokusai
Holiday	Loma
Hollywood	Hollywood
Holmium	Holmium
Holocene	Holoseeni
Holography	Holografia
Holy Grail	Graalin malja
Holy Roman Empire	Pyhä saksalais-roomalainen keisarikunta
Holy Roman Empire	Luokka:Pyhä saksalais-roomalainen keisarikunta
Holy Spirit	Pyhä Henki
Homeopathy	Homeopatia
Homeostasis	Homeostaasi
Homer	Homeros
Hominidae	Ihmisapinat
Homo (genus)	Homo (suku)
Homo erectus	Homo erectus
Homo habilis	Homo habilis
Homonym	Homonyymi
Homophobia	Homofobia
Homosexuality	Homoseksuaalisuus
Honduras	Honduras
Honduras	Luokka:Honduras
Honey	Hunaja
Honey Buzzard	Mehiläishaukka
Hong Kong	Hongkong
Hong Kong	Luokka:Hongkong
Honiara	Honiara
Honolulu	Honolulu
Hookah	Hookah
Hooke's law	Hooken laki
Hoopoe	Harjalintu
Horace	Horatius
Horatio Nelson	Horatio Nelson
Hormone	Hormoni
Horn (anatomy)	Sarvi
Horn (instrument)	Käyrätorvi
Horn of Africa	Afrikan sarvi
Horoscope	Horoskooppi
Horse	Hevonen
Horsepower	Hevosvoima
Horus	Horus
Hosni Mubarak	Husni Mubarak
Hospital	Sairaala
Hotel	Hotelli
Hour	Tunti
Hourglass	Tiimalasi
House (TV series)	House (televisiosarja)
House Mouse	Kotihiiri
House Sparrow	Varpunen
Houston	Houston
Hovercraft	Ilmatyynyalus
Howard Carter (archaeologist)	Howard Carter
Hubble's law	Hubblen laki
Hudson Bay	Hudsoninlahti
Hudson River	Hudson (joki)
Hugh Capet	Hugo Capet
Hugo Grotius	Hugo Grotius
Huguenot	Hugenotit
Human	Ihminen
Humanism	Humanismi
Humanities	Luokka:Humanistiset tieteet
Humerus	Olkaluu
Hummingbird	Kolibrit
Humor	Luokka:Huumori
Humour	Huumori
Humpback Whale	Ryhävalas
Humphrey Bogart	Humphrey Bogart
Humus	Humus
Hunan	Hu'nan
Hundred Years' War	Satavuotinen sota
Hungary	Unkari
Hungary	Luokka:Unkari
Hunger	Nälkä
Hunting	Metsästys
Hutu	Hutut
Hybrid	Risteymä
Hyderabad	Hyderabad (Intia)
Hydra (constellation)	Vesikäärme (tähdistö)
Hydrocarbon	Hiilivety
Hydrochloric acid	Suolahappo
Hydroelectricity	Vesivoima
Hydrogen	Vety
Hydrogen bond	Vetysidos
Hydrogen cyanide	Sinihappo
Hydrogen peroxide	Vetyperoksidi
Hydrology	Hydrologia
Hydrology	Luokka:Hydrologia
Hydrolysis	Hydrolyysi
Hydrosphere	Vesikehä
Hydroxide	Hydroksidi
Hydrus	Etelän vesikäärme
Hyena	Hyeenat
Hygiene	Luokka:Hygienia
Hymen	Immenkalvo
Hymenoptera	Luokka:Pistiäiset
Hymenoptera	Pistiäiset
Hymn	Virsi
Hyperbola	Hyperbeli
Hyperbole	Hype
Hyperion (moon)	Hyperion (kuu)
Hyperion (mythology)	Hyperion (mytologia)
Hypertext	Hyperteksti
Hypertext Transfer Protocol	HTTP
Hypnos	Hypnos
Hypnosis	Hypnoosi
Hypothalamus	Hypotalamus
Hypothesis	Hypoteesi
I	I
I. M. Pei	I. M. Pei
IPod	IPod
Ian Fleming	Ian Fleming
Iapetus (moon)	Japetus
Iapetus (mythology)	Iapetos
Iberian Peninsula	Pyreneiden niemimaa
Ibuprofen	Ibuprofeeni
Ice	Jää
Ice age	Jääkausi
Ice cream	Jäätelö
Ice hockey	Jääkiekko
Ice hockey	Luokka:Jääkiekko
Iceberg	Jäävuori
Iceland	Islanti
Iceland	Luokka:Islanti
Icon	Ikoni
Iconoclasm	Ikonoklasmi
Idaho	Idaho
Idaho	Luokka:Idaho
Ideal gas	Ideaalikaasu
Idealism	Idealismi
Identity element	Neutraalialkio
Identity matrix	Yksikkömatriisi
Ideology	Ideologia
Ido	Ido
Igloo	Iglu
Ignatius of Loyola	Ignatius Loyola
Igneous rock	Magmakivi
Igor Stravinsky	Igor Stravinsky
Iguazu Falls	Iguassun putoukset
Iliad	Ilias
Illinois	Illinois
Illinois	Luokka:Illinois
Illyria	Illyria
Image scanner	Kuvanlukija
Imam	Imaami
Immanuel Kant	Immanuel Kant
Immune system	Immuunijärjestelmä
Immunology	Immunologia
Immunology	Luokka:Immunologia
Imperialism	Imperialismi
Impressionism	Impressionismi
Incest	Insesti
Inch	Tuuma
Incheon	Incheon
Inclined plane	Kalteva taso
Independence	Itsenäisyys
India	Intia
India	Luokka:Intia
Indian Ocean	Intian valtameri
Indian Ocean	Luokka:Intian valtameri
Indiana	Indiana
Indiana	Luokka:Indiana
Indianapolis	Indianapolis
Indira Gandhi	Indira Gandhi
Indium	Indium
Indochina	Indokiina
Indonesia	Indonesia
Indonesia	Luokka:Indonesia
Indra	Indra
Inductance	Induktanssi
Inductor	Kela (komponentti)
Indulgence	Anekauppa
Indus (constellation)	Intiaani (tähdistö)
Indus River	Indus
Industrial Revolution	Teollinen vallankumous
Industry	Teollisuus
Industry	Luokka:Teollisuus
Inequality	Epäyhtälö
Infantry	Jalkaväki
Infectious disease	Tartuntatauti
Infinitive	Infinitiivi
Infinity	Äärettömyys
Inflammation	Tulehdus
Inflation	Inflaatio
Influenza	Influenssa
Information	Informaatio
Information technology	Ohjelmistotekniikka
Information theory	Informaatioteoria
Infrared	Infrapunasäteily
Infrastructure	Infrastruktuuri
Ingmar Bergman	Ingmar Bergman
Ingrid Bergman	Ingrid Bergman
Inner Mongolia	Sisä-Mongolia
Innovation	Innovaatio
Innsbruck	Innsbruck
Inorganic chemistry	Epäorgaaninen kemia
Inorganic chemistry	Luokka:Epäorgaaninen kemia
Inquisition	Inkvisitio
Insect	Hyönteiset
Insecticide	Insektisidi
Insectivora	Hyönteissyöjät
Institution	Instituutio
Insulin	Insuliini
Insurance	Vakuutus
Integer	Kokonaisluku
Integral	Integraali
Integrated circuit	Mikropiiri
Intellectual property	Immateriaalioikeus
Intelligence	Älykkyys
Intelligence quotient	Älykkyysosamäärä
Intercontinental ballistic missile	ICBM
Interest	Korko
Interference	Interferenssi
Interlingua	Interlingua
International Atomic Energy Agency	Kansainvälinen atomienergiajärjestö
International Civil Aviation Organization	Kansainvälinen siviili-ilmailujärjestö
International Court of Justice	Kansainvälinen tuomioistuin
International Labour Organization	Kansainvälinen työjärjestö
International Monetary Fund	Kansainvälinen valuuttarahasto
International System of Units	Kansainvälinen yksikköjärjestelmä
International organization	Kansainvälinen järjestö
Internet	Internet
Internet	Luokka:Internet
Internet Explorer	Internet Explorer
Internment	Keskitysleiri
Interpreter (computing)	Ohjelmointikielen tulkki
Intersection (set theory)	Leikkaus (matematiikka)
Interval (music)	Intervalli
Intestine	Suolisto
Intranet	Intranet
Invention	Keksintö
Invertebrate	Selkärangattomat
Io (moon)	Io (kuu)
Io (mythology)	Io (mytologia)
Iodine	Jodi
Ion	Ioni
Ionia	Joonia
Ionian Sea	Joonianmeri
Ionic bond	Ionisidos
Ionosphere	Ionosfääri
Iota	Ioota
Iowa	Iowa
Iowa	Luokka:Iowa
Iran	Iran
Iran	Luokka:Iran
Iran-Iraq War	Irakin–Iranin sota
Iraq	Irak
Iraq	Luokka:Irak
Ireland	Irlanti (saari)
Ireland	Luokka:Irlanti
Irenaeus	Irenaeus
Iridium	Iridium
Iris (anatomy)	Värikalvo
Iris (mythology)	Iris (mytologia)
Irish Republican Army	Irlannin tasavaltalaisarmeija
Irish Sea	Irlanninmeri
Irish people	Luokka:Irlantilaiset henkilöt
Iron	Rauta
Iron Age	Rautakausi
Iron Curtain	Rautaesirippu
Iron Maiden	Iron Maiden
Irony	Ironia
Irrational number	Irrationaaliluku
Irredentism	Irredentismi
Irtysh River	Irtyš
Isaac	Iisak
Isaac Asimov	Isaac Asimov
Isaac Bashevis Singer	Isaac Bashevis Singer
Isaac Newton	Isaac Newton
Isadora Duncan	Isadora Duncan
Ishmael	Ismael
Isis	Isis
Islam	Islam
Islam	Luokka:Islam
Islamabad	Islamabad
Islamic calendar	Islamilainen kalenteri
Island	Saari
Isle of Man	Mansaari
Isle of Man	Luokka:Mansaari
Isle of Wight	Wightsaari
Isomer	Isomeria
Isoroku Yamamoto	Isoroku Yamamoto
Isotope	Isotooppi
Israel	Israel
Israel	Luokka:Israel
Istanbul	Istanbul
Istanbul	Luokka:Istanbul
Isthmus	Kannas
Isthmus of Panama	Panaman kannas
Italian Peninsula	Apenniinien niemimaa
Italo Calvino	Italo Calvino
Italy	Italia
Italy	Luokka:Italia
Ithaca	Ithaka
Ivan Lendl	Ivan Lendl
Ivan Pavlov	Ivan Pavlov
Ivan Turgenev	Ivan Turgenev
Ivory	Norsunluu
Ivy League	Ivy League
Iwo Jima	Iwo Jima
J	J
J. D. Salinger	J. D. Salinger
J. M. Barrie	J. M. Barrie
Jack Kerouac	Jack Kerouac
Jack Lemmon	Jack Lemmon
Jack London	Jack London
Jack the Ripper	Viiltäjä-Jack
Jackdaw	Naakka
Jackson	Jackson (Mississippi)
Jackson Pollock	Jackson Pollock
Jacksonville	Jacksonville (Florida)
Jacques Cartier	Jacques Cartier
Jacques Derrida	Jacques Derrida
Jacques Offenbach	Jacques Offenbach
Jade	Jade
Jaguar	Jaguaari
Jainism	Jainalaisuus
Jakarta	Jakarta
Jalalabad	Jalalabad
Jamaica	Jamaika
Jamaica	Luokka:Jamaika
James	Jaakob vanhempi
James A. Garfield	James Garfield
James Bond	James Bond
James Buchanan	James Buchanan
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Franck	James Franck
James Joyce	James Joyce
James K. Polk	James Knox Polk
James Madison	James Madison
James Monroe	James Monroe
James Naismith	James Naismith
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Jammu and Kashmir	Jammu ja Kashmir
Jan Hus	Jan Hus
Jan van Eyck	Jan van Eyck
Jane Austen	Jane Austen
Jane Fonda	Jane Fonda
Jane Seymour	Jane Seymour
Janis Joplin	Janis Joplin
Janissary	Janitsaarit
January	Tammikuu
January 1	1. tammikuuta
January 19	19. tammikuuta
January 20	20. tammikuuta
January 6	6. tammikuuta
Janus (moon)	Janus (kuu)
Janus (mythology)	Janus
Japan	Japani
Japan	Luokka:Japani
Jason	Iason
Jaundice	Keltaisuus
Java	Jaava
Java (disambiguation)	Jaava (täsmennyssivu)
Java (programming language)	Java
Jawaharlal Nehru	Jawaharlal Nehru
Jazz	Jazz
Jazz	Luokka:Jazz
Jean Auguste Dominique Ingres	Jean Auguste Dominique Ingres
Jean Cocteau	Jean Cocteau
Jean Piaget	Jean Piaget
Jean Racine	Jean Racine
Jean Sibelius	Jean Sibelius
Jean de La Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jean-Philippe Rameau	Jean-Philippe Rameau
Jeddah	Jedda
Jefferson City	Jefferson City
Jefferson Davis	Jefferson Davis
Jehovah	Jahve
Jehovah's Witnesses	Jehovan todistajat
Jellyfish	Meduusat
Jena	Jena
Jeremy Bentham	Jeremy Bentham
Jerez de la Frontera	Jerez de la Frontera
Jericho	Jeriko
Jerome	Hieronymus
Jersey	Jersey
Jerusalem	Jerusalem
Jerusalem	Luokka:Jerusalem
Jesus	Jeesus
Jet engine	Suihkumoottori
Jew	Juutalaiset
Jew's harp	Munniharppu
Jihad	Jihad
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Joan of Arc	Jeanne d'Arc
Johann Bernoulli	Johann Bernoulli
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Diderik van der Waals	Johannes Diderik van der Waals
Johannes Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
Johannes Vilhelm Jensen	Johannes Vilhelm Jensen
Johannesburg	Johannesburg
John Adams	John Adams
John Bardeen	John Bardeen
John Cage	John Cage
John Calvin	Jean Calvin
John Chrysostom	Johannes Krysostomos
John Dalton	John Dalton
John Dewey	John Dewey
John Galsworthy	John Galsworthy
John Herschel	John Herschel
John Keats	John Keats
John Lennon	John Lennon
John Locke	John Locke
John Major	John Major
John Maynard Keynes	John Maynard Keynes
John Milton	John Milton
John Napier	John Napier
John Quincy Adams	John Quincy Adams
John Ruskin	John Ruskin
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Tyler	John Tyler
John Wayne	John Wayne
John Wycliffe	John Wycliffe
John the Baptist	Johannes Kastaja
John von Neumann	John von Neumann
Johnny Cash	Johnny Cash
Joint	Nivel
Jonathan Swift	Jonathan Swift
Jordan	Jordania
Jordan	Luokka:Jordania
Jordan River	Jordan
Jorge Luis Borges	Jorge Luis Borges
Joseph Conrad	Joseph Conrad
Joseph Goebbels	Joseph Goebbels
Joseph Haydn	Joseph Haydn
Joseph Louis Gay-Lussac	Louis-Joseph Gay-Lussac
Joseph McCarthy	Joseph McCarthy
Joseph Priestley	Joseph Priestley
Joseph Pulitzer	Joseph Pulitzer
Joseph Schumpeter	Joseph Schumpeter
Joseph Smith	Joseph Smith
Joseph Stalin	Josif Stalin
Josephus	Josephus
Joule	Joule
Journalism	Luokka:Journalismi
Journalism	Journalismi
Journalist	Toimittaja
Jovian	Jovianus
Joystick	Joystick
Judaism	Juutalaisuus
Judaism	Luokka:Juutalaisuus
Judas Iscariot	Juudas Iskariot
Judea	Juudea
Judo	Judo
Judy Garland	Judy Garland
Jujutsu	Jūjutsu
Jules Verne	Jules Verne
Julian calendar	Juliaaninen kalenteri
Julian the Apostate	Julianus Apostata
Julius Caesar	Julius Caesar
July	Heinäkuu
July 1	1. heinäkuuta
July 4	4. heinäkuuta
June	Kesäkuu
June 14	14. kesäkuuta
June 21	21. kesäkuuta
June 23	23. kesäkuuta
June 24	24. kesäkuuta
June 29	29. kesäkuuta
June 3	3. kesäkuuta
Juneau	Juneau
Juniper	Katajat
Juno (mythology)	Juno
Jupiter	Jupiter
Jupiter	Luokka:Jupiter
Jupiter (disambiguation)	Jupiter (täsmennyssivu)
Jupiter (mythology)	Juppiter
Jurassic	Jurakausi
Justinian I	Justinianus I
Jutland	Jyllanti
K	K
K2	K2
KGB	KGB
Kaaba	Kaaba
Kabbalah	Kabbala
Kabul	Kabul
Kalahari Desert	Kalahari
Kamchatka Peninsula	Kamtšatkan niemimaa
Kamikaze	Kamikaze
Kampala	Kampala
Kandahar	Kandahar
Kangaroo	Kengurut
Kansas	Kansas
Kansas	Luokka:Kansas
Kansas City	Kansas City (Missouri)
Kappa	Kappa (kirjain)
Kara Sea	Karanmeri
Karachi	Karachi
Karakoram	Karakorum
Karaoke	Karaoke
Karate	Karate
Karen Blixen	Karen Blixen
Karl Barth	Karl Barth
Karl Jaspers	Karl Jaspers
Karl Marx	Karl Marx
Karl Popper	Karl Popper
Karma	Karma
Karnataka	Karnataka
Katharine Hepburn	Katharine Hepburn
Kathmandu	Kathmandu
Katowice	Katowice
Kaunas	Kaunas
Kayak	Kajakki
Kazakhstan	Kazakstan
Kazakhstan	Luokka:Kazakstan
Kazan	Kazan
Kazimir Malevich	Kazimir Malevitš
Kelvin	Kelvin
Kent	Kent (kreivikunta)
Kentucky	Kentucky
Kentucky	Luokka:Kentucky
Kenya	Kenia
Kenya	Luokka:Kenia
Kernel (computer science)	Käyttöjärjestelmän ydin
Kerosene	Petroli
Ketchup	Ketsuppi
Ketone	Ketoni
Keyboard (computing)	Näppäimistö
Keyboard instrument	Kosketinsoitin
Khabarovsk	Habarovsk
Khan	Kaani
Kharkiv	Harkova
Khartoum	Khartum
Khmer Rouge	Punaiset khmerit
Khufu	Khufu
Kibbutz	Kibbutz
Kidney	Munuainen
Kiev	Kiova
Kigali	Kigali
Kilogram	Kilogramma
Kilometres per hour	Kilometriä tunnissa
Kimono	Kimono
Kindergarten	Esikoulu
Kinematics	Kinematiikka
Kinetic energy	Liike-energia
King Arthur	Kuningas Arthur
King Lear	Kuningas Lear
Kingdom (biology)	Kunta (biologia)
Kingston	Kingston (Jamaika)
Kingstown	Kingstown
Kinshasa	Kinshasa
Kiribati	Kiribati
Kiribati	Luokka:Kiribati
Kirkuk	Kirkuk
Kiss	Suuteleminen
Kite	Leija
Kiwi	Kiivit
Knee	Polvinivel
Knesset	Knesset
Knife	Veitsi
Knight	Ritari
Knossos	Knossos
Knot (speed)	Solmu (nopeusyksikkö)
Knowledge	Tieto
Knut Hamsun	Knut Hamsun
Koala	Koala
Kobe	Kōbe
Kola Peninsula	Kuolan niemimaa
Kolkata	Kalkutta
Komodo dragon	Komodonvaraani
Konqueror	Konqueror
Konrad Adenauer	Konrad Adenauer
Korea	Korea
Korea	Luokka:Korea
Korean War	Korean sota
Kosovo	Kosovo
Kosovo	Luokka:Kosovo
Krakatoa	Krakatau
Kremlin	Kreml
Krishna	Krishna
Krypton	Krypton
Ku Klux Klan	Ku Klux Klan
Kuala Lumpur	Kuala Lumpur
Kublai Khan	Kublai-kaani
Kuiper belt	Kuiperin vyöhyke
Kumquat	Kumkvatti
Kung fu (term)	Kung fu
Kunlun Mountains	Kunlun
Kuomintang	Guomindang
Kura River	Kura
Kurdistan	Kurdistan
Kurdistan	Luokka:Kurdistan
Kurdistan Workers Party	Kurdistanin työväenpuolue
Kursk	Kursk
Kurt Vonnegut	Kurt Vonnegut
Kurt Waldheim	Kurt Waldheim
Kuwait	Kuwait
Kuwait	Luokka:Kuwait
Kuwait City	Kuwait (kaupunki)
KwaZulu-Natal	KwaZulu-Natal
Kyoto	Kioto
Kyrgyzstan	Kirgisia
Kyrgyzstan	Luokka:Kirgisia
L	L
L'Aquila	L'Aquila
LAMP (software bundle)	LAMP (tietotekniikka)
La Paz	La Paz
La Spezia	La Spezia
LaTeX	LaTeX
Laboratory	Laboratorio
Labour Party (UK)	Työväenpuolue (Yhdistynyt kuningaskunta)
Labrador Retriever	Labradorinnoutaja
Lacerta	Sisilisko (tähdistö)
Lactic acid	Maitohappo
Lactose	Laktoosi
Lady Jane Grey	Jane Grey
Lagomorpha	Jäniseläimet
Lagos	Lagos
Lahore	Lahore
Laissez-faire	Laissez-faire
Lake	Järvi
Lake Baikal	Baikaljärvi
Lake Balaton	Balaton
Lake Chad	Tšadjärvi
Lake Constance	Bodenjärvi
Lake Erie	Eriejärvi
Lake Eyre	Eyrejärvi
Lake Geneva	Genevenjärvi
Lake Huron	Huronjärvi
Lake Ilmen	Ilmajärvi
Lake Ladoga	Laatokka
Lake Malawi	Njassajärvi
Lake Michigan	Michiganjärvi
Lake Onega	Ääninen
Lake Ontario	Ontariojärvi
Lake Superior	Yläjärvi
Lake Tanganyika	Tanganjikajärvi
