English	Vietnamese
Color	Màu sắc
Colorado	Colorado
Colosseum	Đấu trường La Mã
Colossus of Rhodes	Tượng thần Mặt Trời ở Rhodes
Colubrid	Họ Rắn nước
Columba (constellation)	Thiên Cáp
Columbia	Columbia
Columbia River	Sông Columbia
Columbia University	Đại học Columbia
Columbidae	Chim bồ câu
Columbus	Columbus, Ohio
Columbus	Columbus
Coma Berenices	Hậu Phát
Comet	Sao chổi
Commonwealth of Independent States	Cộng đồng các Quốc gia Độc lập
Commonwealth of Nations	Khối Thịnh vượng chung Anh
Communication	Thể loại:Truyền thông
Communism	Chủ nghĩa cộng sản
Communism	Thể loại:Cộng sản
Comoros	Comoros
Compact Disc	Đĩa CD
Compass	La bàn
Compiler	Trình biên dịch
Complex number	Trường số phức
Composer	Nhà soạn nhạc
Composite material	Vật liệu composite
Composite number	Hợp số
Computer	Máy tính
Computer architecture	Kiến trúc máy tính
Computer display	Màn hình máy tính
Computer file	Tập tin
Computer graphics	Thể loại:Đồ họa máy tính
Computer hardware	Phần cứng
Computer hardware	Thể loại:Phần cứng
Computer network	Mạng máy tính
Computer programming	Lập trình
Computer programming	Thể loại:Lập trình
Computer science	Khoa học máy tính
Computer science	Thể loại:Khoa học máy tính
Computer software	Phần mềm
Computer virus	Virus (máy tính)
Computer-aided design	CAD
Computing	Category:Khoa học máy tính
Concentration	Nồng độ
Concerto	Concerto
Concord	Concord, New Hampshire
Concrete	Bê tông
Condom	Bao cao su
Cone (geometry)	Mặt nón
Confederate States of America	Liên minh miền Nam
Confucianism	Nho giáo
Confucius	Khổng Tử
Congo	Congo
Congo River	Sông Congo
Conic section	Đường cô-nic
Connecticut	Connecticut
Connective tissue	Mô liên kết
Conservation of energy	Bảo toàn năng lượng
Constantine I	Constantine I
Constantinople	Constantinople
Constellation	Chòm sao
Constitution (political)	Hiến pháp
Contact lens	Kính áp tròng
Continent	Lục địa
Continental drift	Trôi dạt lục địa
Continental shelf	Thềm lục địa
Coordinated Universal Time	Giờ phối hợp quốc tế
Copenhagen	Copenhagen
Copper	Đồng (nguyên tố)
Copyright	Quyền tác giả
Coraciiformes	Bộ Sả
Coral	San hô
Coral reef	Rạn san hô
Coriolis effect	Hiệu ứng Coriolis
Cornell University	Đại học Cornell
Corona Borealis	Bắc Miện
Corsica	Corse
Corvidae	Họ Quạ
Corvus (constellation)	Ô Nha
Cosmic microwave background radiation	Bức xạ phông vi sóng vũ trụ
Cosmic ray	Bức xạ vũ trụ
Costa Rica	Costa Rica
Cotonou	Cotonou
Cougar	Báo sư tử
Coulomb	Coulomb (đơn vị)
Coulomb's law	Lực tĩnh điện
Country music	Nhạc đồng quê
Court	Tòa án
Covalent bond	Liên kết cộng hóa trị
Coventry	Coventry
Coyote	Chó sói đồng cỏ Bắc Mỹ
Crab	Cận bộ Cua
Crater (constellation)	Cự Tước
Cretaceous	Kỷ Creta
Crete	Crete
Cricket	Cricket
Cricket (insect)	Dế mèn
Crime	Tội phạm
Crimean War	Chiến tranh Crimea
Criminology	Thể loại:Tội phạm học
Croatia	Croatia
Crocodile	Họ Cá sấu đích thực
Crocodilia	Bộ Cá sấu
Cronus	Cronus
Cross product	Nhân vectơ
Crossbow	Nỏ
Cruiser	Tuần dương hạm
Crust (geology)	Lớp vỏ (địa chất)
Crustacean	Động vật giáp xác
Crux	Nam Thập Tự
Cryptography	Mật mã học
Cryptography	Thể loại:Mật mã học
Crystal	Tinh thể
Ctenophore	Sứa lược
Cuba	Cuba
Cuba	Thể loại:Cuba
Cube	Khối lập phương
Cubic metre	Mét khối
Cubism	Lập thể
Cuculiformes	Bộ Cu cu
Cucumber	Dưa chuột
Cucurbitaceae	Họ Bầu bí
Cultural Revolution	Cách mạng văn hóa
Culture	Văn hóa
Culture	Thể loại:Văn hóa
Cumulus cloud	Mây tích
Cupressaceae	Họ Hoàng đàn
Curitiba	Curitiba
Currency	Thể loại:Tiền tệ
Currency	Tiền tệ
Curry	Cà ri
Cyan	Xanh lơ
Cyanobacteria	Vi khuẩn lam
Cybernetics	Điều khiển học
Cygnus (constellation)	Thiên Nga (chòm sao)
Cylinder (geometry)	Hình trụ tròn
Cyperaceae	Họ Cói
Cyprinid	Họ Cá chép
Cypriniformes	Bộ Cá chép
Cyprus	Cộng hòa Síp
Cyrus the Great	Cyrus Đại đế
Cytoplasm	Tế bào chất
Cytosine	Cytosine
Czech Republic	Cộng hòa Séc
Czech Republic	Thể loại:Cộng hòa Séc
Czechoslovakia	Tiệp Khắc
Czechoslovakia	Thể loại:Tiệp Khắc
D	D
DNA	ADN
DVD	Đĩa DVD
Dahlia	Thược dược
Dakar	Dakar
Dalai Lama	Đạt-lại Lạt-ma
Dallas	Dallas, Texas
Damascus	Damascus
Dance	Thể loại:Khiêu vũ
Dandelion	Bồ công anh
Daniel Defoe	Daniel Defoe
Dante Alighieri	Dante Alighieri
Danube	Sông Donau
Dar es Salaam	Dar es Salaam
Darfur	Darfur (địa lý)
Darjeeling	Darjiling
Dark matter	Vật chất tối
Darwin	Darwin (Úc)
Darwin	Darwin (định hướng)
Das Kapital	Tư Bản (Karl Marx)
Data	Dữ liệu
Data mining	Khai phá dữ liệu
Data structure	Cấu trúc dữ liệu
Database	Cơ sở dữ liệu
Database management system	Hệ quản trị cơ sở dữ liệu
Date Palm	Chi Chà là
David	David
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
David Ricardo	David Ricardo
De facto	De facto
Dead Sea	Biển Chết
Death	Chết
Death	Thể loại:Chết
December	Tháng mười hai
December 31	31 tháng 12
December 8	8 tháng 12
Decibel	Decibel
Decimal	Hệ thập phân
Decius (emperor)	Decius (hoàng đế)
Declination	Xích vĩ
Deco	Deco
Deductive reasoning	Suy diễn logic
Definition	Định nghĩa
Deflation	Giảm phát
Degree	Độ (định hướng)
Degree (angle)	Độ (góc)
Deimos (moon)	Deimos (vệ tinh)
Delaware	Delaware
Delft	Delft
Delhi	Delhi
Dell	Dell
Delphi	Delphi
Delphinus	Hải Đồn
Deluge (mythology)	Đại hồng thủy
Dementia	Chứng mất trí
Demeter	Demeter
Democracy	Dân chủ
Democratic Party (United States)	Đảng Dân chủ Hoa Kỳ
Democratic Republic of the Congo	Cộng hòa Dân chủ Congo
Democratic Republic of the Congo	Thể loại:Cộng hòa Dân chủ Congo
Democritus	Democritus
Demon	Quỷ
Deng Xiaoping	Đặng Tiểu Bình
Dengue fever	Sốt xuất huyết Dengue
Denmark	Đan Mạch
Denmark	Thể loại:Đan Mạch
Density	Mật độ
Dentistry	Thể loại:Nha khoa
Dentistry	Nha khoa
Denver	Denver, Colorado
Derivative	Đạo hàm và vi phân của hàm số
Des Moines	Des Moines, Iowa
Desert	Sa mạc
Deserts	Thể loại:Sa mạc
Design	Thể loại:Thiết kế
Destroyer	Tàu khu trục
Determinant	Định thức
Detroit	Detroit, Michigan
Device driver	Chương trình điều khiển
Devonian	Kỷ Devon
Dew	Sương
Dew point	Điểm sương
Dhaka	Dhaka
Dharma	Pháp (Phật giáo)
Diabetes mellitus	Đái tháo đường
Dialect	Phương ngữ
Dialectic	Biện chứng
Diameter	Đường kính
Diamond	Kim cương
Diana	Diana, công nương xứ Wales
Dice	Xúc xắc
Dicotyledon	Thực vật hai lá mầm
Dictatorship	Độc tài
Dictionary	Từ điển
Diesel	Dầu diesel
Diesel engine	Động cơ Diesel
Diffraction	Nhiễu xạ
Digestive system	Thể loại:Hệ tiêu hoá
Digital	Kỹ thuật số
Digital camera	Máy ảnh số
Digital subscriber line	DSL
Dijon	Dijon
Dinosaur	Khủng long
Diocese	Giáo phận
Diode	Điốt bán dẫn
Diphtheria	Bệnh bạch hầu
Diplodocus	Diplodocus
Diplomacy	Ngoại giao
Dire Straits	Dire Straits
Direct current	Điện một chiều
Disambiguation	Thể loại:Trang định hướng
Distance	Khoảng cách
Distillation	Chưng cất
Divergence	Toán tử div
Division (military)	Sư đoàn
Djibouti (city)	Djibouti (thành phố)
Dmitri Mendeleev	Dmitri Ivanovich Mendeleev
Dnieper River	Sông Dnepr
Dnipropetrovsk	Dnipropetrovsk
Doberman Pinscher	Dobermann
Doctor of the Church	Tiến sĩ Hội thánh
Document	Văn kiện
Dodoma	Dodoma
Dog	Chó
Doha	Doha
Dollar	Đô la
Domain (biology)	Vực (sinh học)
Domain name	Tên miền
Dome	Kiến trúc vòm
Dominica	Dominica
Dominican Republic	Cộng hòa Dominicana
Don Quixote	Đôn Kihôtê
Don River (Russia)	Sông Đông
Donald Duck	Vịt Donald
Donetsk	Donetsk
Doppler effect	Hiệu ứng Doppler
Dorado	Kiếm Ngư
Doric order	Thức cột Doric
Doris Lessing	Doris Lessing
Dortmund	Dortmund
Douala	Douala
Double bass	Đại hồ cầm
Douglas MacArthur	Douglas MacArthur
Down syndrome	Hội chứng Down
Draco (constellation)	Thiên Long
Dragon	Rồng
Drainage basin	Lưu vực
Dresden	Dresden
Dromedary	Lạc đà một bướu
Drum	Trống
Dualism	Thuyết nhị nguyên
Dubai	Dubai
Dublin	Dublin
Dugong	Bò biển
Duke University	Đại học Duke
Dunkirk	Dunkerque
Dushanbe	Dushanbe
Dustin Hoffman	Dustin Hoffman
Dutch people	Thể loại:Người Hà Lan
Dwight D. Eisenhower	Dwight D. Eisenhower
Dynamics (physics)	Động lực học
Dynamite	Dynamit
Dyslexia	Chứng khó đọc
E	E
E (mathematical constant)	Số e
E-mail	Thư điện tử
ETA	ETA
Ear	Tai
Earless seal	Họ Hải cẩu thật sự
Earth	Trái Đất
Earth	Thể loại:Trái Đất
Earth science	Khoa học Trái Đất
Earthquake	Động đất
East	Hướng Đông
East China Sea	Đông Hải (biển Trung Quốc)
East Germany	Cộng hòa Dân chủ Đức
East Timor	Đông Timor
Easter	Lễ Phục Sinh
Eastern Orthodox Church	Chính Thống giáo Đông phương
Eclipse	Nhật thực
Eclipse (software)	Eclipse (môi trường phát triển tích hợp)
Ecliptic	Mặt phẳng hoàng đạo
Ecology	Sinh thái học
Ecology	Thể loại:Sinh thái học
Econometrics	Kinh tế lượng
Economics	Kinh tế học
Economics	Thể loại:Kinh tế học
Economy	Kinh tế
Ecosystem	Hệ sinh thái
Ecuador	Ecuador
Ecuador	Thể loại:Ecuador
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edinburgh	Edinburgh
Edmond Halley	Edmund Halley
Edmonton	Edmonton, Alberta
Edmund Hillary	Edmund Hillary
Edo	Edo
Education	Giáo dục
Education	Thể loại:Giáo dục
Edvard Munch	Edvard Munch
Edward Gibbon	Edward Gibbon
Edward Jenner	Edward Jenner
Edwin Hubble	Edwin Hubble
Eel	Bộ Cá chình
Egg (biology)	Trứng gà
Eggplant	Cà tím
Egypt	Ai Cập
Egypt	Thể loại:Ai Cập
Eiffel Tower	Tháp Eiffel
Ejaculation	Xuất tinh
El Salvador	El Salvador
El Salvador	Thể loại:El Salvador
Elam	Elam
Eleanor Roosevelt	Eleanor Roosevelt
Election	Bầu cử
Electric charge	Điện tích
Electric current	Dòng điện
Electric field	Điện trường
Electric motor	Động cơ điện
Electrical engineering	Thể loại:Kỹ thuật điện
Electrical resistance	Điện trở
Electricity	Điện
Electricity	Thể loại:Điện học
Electrocardiogram	Điện tâm đồ
Electrochemistry	Điện hóa
Electrochemistry	Thể loại:Điện hóa
Electrolysis	Điện phân
Electromagnetic radiation	Bức xạ điện từ
Electromagnetism	Thể loại:Điện từ học
Electron	Điện tử
Electron microscope	Kính hiển vi điện tử
Electronegativity	Độ âm điện
Electronics	Điện tử học
Electronics	Thể loại:Điện tử học
Element	Nguyên tố
Elementary particle	Hạt sơ cấp
Elephant	Voi
Elias Canetti	Elias Canetti
Ellipse	Elíp
Elvis Presley	Elvis Presley
Emerald	Ngọc lục bảo
Emily Dickinson	Emily Dickinson
Emperor	Hoàng đế
Empire	Đế quốc
Empire State Building	Tòa nhà Empire State
Empiricism	Chủ nghĩa kinh nghiệm
Emulsion	Nhũ tương
Encyclopedia	Bách khoa toàn thư
Endemism	Đặc hữu
Endocrinology	Thể loại:Nội tiết học
Energy	Năng lượng
Energy (society)	Năng lượng
Engineer	Kỹ sư
England	Anh
English Channel	Biển Manche
English Civil War	Cách mạng Anh
English language	Tiếng Anh
English language	Thể loại:Tiếng Anh
Enrico Fermi	Enrico Fermi
Entertainment	Thể loại:Giải trí
Enthalpy	Enthalpy
Entomology	Côn trùng học
Entropy	Entropy
Environment	Môi trường
Enzyme	Enzym
Eocene	Thế Eocen
Eon (geology)	Liên đại địa chất
Epic poetry	Sử thi
Epicenter	Chấn tâm
Epicurus	Epicurus
Epidemiology	Dịch tễ học
Epinephrine	Adrenaline
Epistle to the Romans	Thư gởi các tín hữu tại Rôma
Epithelium	Biểu mô
Equation	Phương trình
Equator	Xích đạo
Equatorial Guinea	Guinea Xích Đạo
Equidae	Họ Ngựa
Eratosthenes	Eratosthenes
Erectile dysfunction	Liệt dương
Erection	Cương cứng
Ericaceae	Họ Thạch nam
Ericales	Bộ Thạch nam
Eridanus (constellation)	Ba Giang
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Eris (dwarf planet)	Eris (hành tinh lùn)
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Ernst Werner von Siemens	Verner Von Siemens
Eros (mythology)	Eros (thần thoại)
Erwin Rommel	Erwin Rommel
Escape velocity	Tốc độ vũ trụ cấp 2
Escherichia coli	E. coli
Esperanto	Quốc tế ngữ
Espoo	Espoo
Espresso	Cà phê espresso
Essential oil	Tinh dầu
Ester	Este
Estonia	Thể loại:Estonia
Estrogen	Estrogen
Ethane	Êtan
Ethanol	Êtanol
Ether	Ete
Ethernet	Ethernet
Ethics	Luân lý học
Ethics	Thể loại:Luân lý học
Ethiopia	Ethiopia
Ethiopia	Thể loại:Ethiopia
Ethology	Tập tính học
Ethylene	Êtilen
Eucharist	Tiệc Thánh
Euclid	Euclid
Euclidean geometry	Hình học Euclide
Eugene O'Neill	Eugene O'Neill
Eukaryote	Sinh vật nhân chuẩn
Eunuch	Hoạn quan
Euphemism	Khinh từ
Euphrates	Euphrates
Eurasia	Lục địa Á-Âu
Euro	Euro
Europe	Châu Âu
Europe	Thể loại:Châu Âu
European Central Bank	Ngân hàng Trung ương Châu Âu
European Magpie	Ác là
European Union	Liên minh châu Âu
European Union	Thể loại:Liên Minh Châu Âu
Evanescence	Evanescence
Evangelista Torricelli	Evangelista Torricelli
Even-toed ungulate	Bộ Guốc chẵn
Evolution	Tiến hóa
Excalibur	Excalibur
Exchange rate	Tỷ giá hối đoái
Executive (government)	Quyền hành pháp
Exodus	Sách Xuất hành
Expected value	Giá trị kỳ vọng
Explosion	Nổ
Expo (exhibition)	Triển lãm thế giới
Exponentiation	Lũy thừa
Expressionism	Chủ nghĩa biểu hiện
Extinction	Tuyệt chủng
Eye	Mắt
Eye	Thể loại:Mắt
F	F
F. Scott Fitzgerald	F. Scott Fitzgerald
Fabaceae	Họ Đậu
Fable	Ngụ ngôn
Fact	Tiêu bản:Cần chú thích
Factorial	Giai thừa
Facula	Vết đen Mặt Trời
Fagales	Bộ Dẻ gai
Fahrenheit	Độ Fahrenheit
Fair use	Sử dụng hợp lý
Falcon	Chi Cắt
Falkland Islands	Quần đảo Falkland
Falun Gong	Pháp Luân Công
Family	Thể loại:Gia đình
Family (biology)	Họ (sinh học)
Family history	Gia phả
Family name	Họ
Far East	Viễn Đông
Farad	Farad
Fascism	Chủ nghĩa phát xít
Fascism	Thể loại:Chủ nghĩa phát xít
Fashion	Thể loại:Thời trang
Fashion	Thời trang
Fauvism	Trường phái dã thú
February	Tháng hai
February 12	12 tháng 2
February 14	14 tháng 2
February 2	2 tháng 2
February 22	22 tháng 2
February 29	29 tháng 2
February Revolution	Cách mạng Tháng Hai
Feces	Phân
Federal Bureau of Investigation	Cục Điều tra Liên bang
Federal Reserve System	Cục Dự trữ Liên bang Hoa Kỳ
Federico Fellini	Federico Fellini
Fedora (Linux distribution)	Fedora Core
Felidae	Họ Mèo
Felix Mendelssohn	Felix Mendelssohn
Feng shui	Phong thủy
Fenugreek	Cỏ ca ri
Ferdinand Magellan	Ferdinand Magellan
Ferdinand de Saussure	Ferdinand de Saussure
Fermion	Fermion
Ferry	Phà
Fertile Crescent	Trăng lưỡi liềm mầu mỡ
Fertilizer	Phân bón
Feudalism	Phong kiến
Fibonacci number	Dãy Fibonacci
Fidel Castro	Fidel Castro
Field (mathematics)	Trường (toán học)
Fighter aircraft	Máy bay tiêm kích
Fiji	Fiji
File Allocation Table	FAT
File Transfer Protocol	FTP
Film	Thể loại:Phim
Film	Điện ảnh
Film	Chủ đề:Điện ảnh
Finance	Thể loại:Tài chính
Finland	Phần Lan
Finland	Thể loại:Phần Lan
Fir	Chi Linh sam
Fire	Lửa
Firewall (networking)	Tường lửa (mạng máy tính)
First Crusade	Thập tự chinh thứ nhất
First Epistle to the Corinthians	Thư thứ nhất gởi các tín hữu tại Côrintô
Fish	Cá
Fish	Thể loại:Cá
Flamingo	Hồng hạc
Flash memory	Bộ nhớ flash
Flatulence	Trung tiện
Flatworm	Giun dẹp
Flea	Bọ chét
Flint	Đá lửa (lịch sử)
Floppy disk	Ổ đĩa mềm
Florence	Firenze
Florence Nightingale	Florence Nightingale
Florida	Florida
Flower	Hoa
Flowering plant	Thực vật có hoa
Fluid mechanics	Cơ học chất lưu
Flute	Sáo ngang
Fog	Sương mù
Folic acid	Axít folic
Food additive	Phụ gia thực phẩm
Food chain	Chuỗi thức ăn
Football (soccer)	Bóng đá
Football (soccer)	Thể loại:Bóng đá
Football (soccer) by country	Thể loại:Bóng đá theo quốc gia
Football (soccer) clubs	Thể loại:Câu lạc bộ bóng đá
Football (soccer) players	Thể loại:Cầu thủ bóng đá
Forbidden City	Cố Cung
Force	Lực
Forest	Rừng
Forestry	Lâm nghiệp
Fork	Dĩa
Form of government	Hình thức chính thể
Formaldehyde	Fomanđêhít
Formic acid	Axít formic
Fornax	Thiên Lô
Fort Worth	Forth Worth, Texas
Fortran	Fortran
Foucault pendulum	Con lắc Foucault
Fourier series	Chuỗi Fourier
Fractal	Phân dạng
France	Pháp
France	Thể loại:Pháp
Francis Bacon	Francis Bacon
Francis Crick	Francis Crick
Francis Drake	Francis Drake
Francis Ford Coppola	Francis Ford Coppola
Francis of Assisi	Francis thành Assisi
Francisco Franco	Francisco Franco
Francisco Goya	Francisco Goya
Francisco Pizarro	Francisco Pizarro
Francium	Franxi
Franco-Prussian War	Chiến tranh Pháp-Phổ
Frank Lloyd Wright	Frank Lloyd Wright
Frankfurt	Frankfurt am Main
Frankfurt	Thể loại:Frankfurt am Main
Frankfurt (Oder)	Frankfurt (Oder)
Frankfurt (disambiguation)	Frankfurt (định hướng)
Franklin Pierce	Franklin Pierce
Franz Kafka	Franz Kafka
Franz Liszt	Franz Liszt
Franz Schubert	Franz Schubert
Fred Astaire	Fred Astaire
Freedom of speech	Tự do ngôn luận
Freeware	Phần mềm miễn phí
French Polynesia	Polynésie thuộc Pháp
French Revolution	Cách mạng Pháp
French Revolution	Thể loại:Cách mạng Pháp
French people	Thể loại:Người Pháp
Frequency	Tần số
Freshwater	Nước ngọt
Fresno	Fresno, California
Freyja	Freyja
Freyr	Freyr
Friction	Ma sát
Friday	Thứ Sáu
Fridtjof Nansen	Fridtjof Nansen
Friedrich Engels	Friedrich Engels
Frigg	Frigg
Frog	Ếch
Fruit	Thể loại:Trái cây
Fuel	Nhiên liệu
Fuel cell	Tế bào nhiên liệu
Fugue	Tẩu pháp
Fukuoka	Fukuoka (thành phố)
Function (mathematics)	Hàm số
Fundamental	Thể loại:Căn bản
Fundamental interaction	Lực cơ bản
Fungi	Thể loại:Nấm
Fungus	Nấm
Futurism (art)	Chủ nghĩa vị lai
Fuzzy logic	Lôgic mờ
Fyodor Dostoevsky	Fyodor Mikhailovich Dostoevsky
G	G
GIMP	GIMP
GNOME	GNOME
Gabon	Gabon
Gaborone	Gaborone
Gabriel Lippmann	Gabriel Lippmann
Gaia (mythology)	Gaia (thần thoại)
Galaxy	Thiên hà
Galilee	Galilea
Galileo Galilei	Galileo Galilei
Galliformes	Bộ Gà
Gallium	Gali
Gallon	Gallon
Gamal Abdel Nasser	Gamal Abdel Nasser
Gambling	Đánh bạc
Game theory	Lý thuyết trò chơi
Gamma ray	Tia gamma
Ganges	Sông Hằng
Gansu	Cam Túc
Gap	Gap, Hautes-Alpes
Garden	Vườn cảnh
Garfield	Garfield
Garlic	Tỏi
Gas	Chất khí
Gas constant	Hằng số khí
Gasoline	Xăng
Gastrointestinal tract	Hệ tiêu hóa
Gaul	Gaule
Gautama Buddha	Thích-ca Mâu-ni
Gaza Strip	Dải Gaza
Geisha	Geisha
Gemini (constellation)	Song Tử (chòm sao)
Gemstone	Ngọc
Gene	Gene
Genealogy	Gia phả học
General Agreement on Tariffs and Trade	Hiệp ước chung về thuế quan và mậu dịch
General Officer	Đại tướng
General relativity	Lý thuyết tương đối rộng
Genesis	Sách Sáng thế
Genetic code	Mã di truyền
Genetic engineering	Kỹ thuật di truyền
Genetics	Di truyền học
Genetics	Thể loại:Di truyền học
Geneva	Genève
Genoa	Genova
Genome	Bộ gene
Genus	Chi (sinh học)
Geochemistry	Địa hóa học
Geography	Địa lý học
Geography	Thể loại:Địa lý học
Geography	Wikipedia:Trang chính Địa lý
Geology	Thể loại:Địa chất học
Geology	Địa chất học
Geometric progression	Cấp số nhân
Geometry	Hình học
Geometry	Thể loại:Hình học
Geomorphology	Thể loại:Địa mạo học
Geophysics	Địa vật lý
Geophysics	Thể loại:Địa vật lý
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Berkeley	George Berkeley
George Bernard Shaw	George Bernard Shaw
George Boole	George Boole
George Bush	George Bush
George Frideric Handel	George Frideric Handel
George Gershwin	George Gershwin
George Marshall	George Marshall
George Orwell	George Orwell
George W. Bush	George W. Bush
George Washington	George Washington
Georges Braque	Georges Braque
Georgia (U.S. state)	Georgia
Georgia (country)	Gruzia
Gerald Ford	Gerald Ford
German language	Tiếng Đức
Germanium	Gecmani
Germany	Đức
Germany	Thể loại:Đức
Gestapo	Gestapo
Ghana	Ghana
Ghana	Thể loại:Ghana
Ghost	Ma
Giacomo Puccini	Giacomo Puccini
Giant Panda	Gấu trúc lớn
Gibraltar	Gibraltar
Ginkgo	Bạch quả
Giordano Bruno	Giordano Bruno
Giotto di Bondone	Giotto di Bondone
Giovanni Boccaccio	Giovanni Boccaccio
Giraffe	Hươu cao cổ
Giraffidae	Họ Hươu cao cổ
Gironde	Gironde
Giuseppe Garibaldi	Giuseppe Garibaldi
Giuseppe Verdi	Giuseppe Verdi
Glacier	Sông băng
Glasgow	Glasgow
Glass	Thủy tinh
Global Positioning System	Hệ thống định vị toàn cầu
Global warming	Sự nóng lên của khí hậu toàn cầu
Globalization	Toàn cầu hóa
Globe artichoke	Atisô
Glycerol	Glyxêrin
Gnathostomata	Động vật có quai hàm
Go (board game)	Cờ vây
Goa	Goa
Gobi Desert	Sa mạc Gobi
God	Thiên Chúa
Gold	Vàng
Golden Gate Bridge	Cầu Cổng Vàng
Golden Horde	Kim Trướng hãn quốc
Golf	Golf
Golgi apparatus	Bộ máy Golgi
Gomel	Gomel
Good Friday	Thứ sáu Tuần Thánh
Google	Google
Google	Thể loại:Google
Gospel of Luke	Phúc âm Luca
Gothic	Gothic
Gothic architecture	Kiến trúc Gothic
Government	Chính phủ
Grace Kelly	Grace Kelly
Gradient	Gradient
Graffiti	Graffiti
Graham Greene	Graham Greene
Gram	Gam
Grammar	Ngữ pháp
Granada	Granada
Grand Canyon	Grand Canyon
Grand Slam (tennis)	Grand Slam quần vợt
Granite	Granat
Grape	Nho
Grapefruit	Bưởi chùm
Graphic design	Thể loại:Đồ họa
Graphic design	Đồ họa
Graphical user interface	GUI
Graphite	Than chì
Gravitation	Lực hấp dẫn
Gravitational constant	Hằng số hấp dẫn
Gray Wolf	Chó sói xám
Graz	Graz
Great Barrier Reef	Rạn san hô Great Barrier
Great Britain	Đảo Anh
Great Depression	Đại khủng hoảng
Great Lakes	Ngũ Đại Hồ
Great Rift Valley	Thung lũng lớn do vết nứt Trái Đất
Great Wall of China	Vạn Lý Trường Thành
Great white shark	Cá mập trắng lớn
Greatest common divisor	Ước số chung lớn nhất
Greece	Hy Lạp
Greek mythology	Thần thoại Hy Lạp
Greek mythology	Thể loại:Thần thoại Hy Lạp
Green	Xanh lá cây
Greenhouse effect	Hiệu ứng nhà kính
Greenhouse gas	Khí nhà kính
Greenland	Greenland
Greenland Sea	Biển Greenland
Greenpeace	Hòa bình xanh
Gregor Mendel	Gregor Mendel
Gregorian calendar	Lịch Gregory
Grenoble	Grenoble
Greta Garbo	Greta Garbo
Grey	Xám
Gross domestic product	Tổng sản phẩm nội địa
Group (periodic table)	Nhóm tuần hoàn
Group theory	Lý thuyết nhóm
Grover Cleveland	Grover Cleveland
Gruiformes	Bộ Sếu
Grus (constellation)	Thiên Hạc
Guadeloupe	Guadeloupe
Guam	Guam
Guangdong	Quảng Đông
Guangzhou	Quảng Châu
Guanine	Guanine
Guatemala City	Thành phố Guatemala
Guayaquil	Guayaquil
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Guillaume Apollinaire	Guillaume Apollinaire
Guinea-Bissau	Guiné-Bissau
Guitar	Ghi-ta
Gujarat	Gujarat
Gulf Stream	Hải lưu Gulf Stream
Gulf War	Chiến tranh vùng Vịnh
Gulf of Bothnia	Vịnh Bothnia
Gulf of Finland	Vịnh Phần Lan
Gulf of Mexico	Vịnh Mexico
Gulf of Thailand	Vịnh Thái Lan
Gunpowder Plot	Âm mưu thuốc súng
Guppy	Cá bảy màu
Gustav Klimt	Gustav Klimt
Gustav Mahler	Gustav Mahler
Gustave Flaubert	Gustave Flaubert
Guy Fawkes	Guy Fawkes
Guy de Maupassant	Guy de Maupassant
Gymnosperm	Thực vật hạt trần
Gypsum	Thạch cao
H	H
H. G. Wells	H. G. Wells
HTML	HTML
Habitat	Hệ sinh thái tự nhiên
Hacker	Hacker
Hadean	Liên đại Hỏa Thành
Hades	Hades (thần thoại)
Hadron	Hadron
Hagia Sophia	Hagia Sophia
Haifa	Haifa
Haiku	Haiku
Hail	Mưa đá
Hair	Lông
Haiti	Haiti
Haiti	Thể loại:Haiti
Halal	Halal
Half-life	Chu kỳ bán rã
Halle	Halle (Saale)
Halloween	Halloween
Halogen	Halogen
Hamas	Hamas
Hamburg	Hamburg
Hamburg	Thể loại:Hamburg
Hamburger	Hamburger
Hamlet	Hamlet
Hammurabi	Hammurabi
Han Dynasty	Nhà Hán
Hand grenade	Lựu đạn
Handgun	Súng ngắn
Hanging Gardens of Babylon	Vườn treo Babylon
Hannibal	Hannibal
Hanoi	Hà Nội
Hanover	Hannover
Hans Christian Andersen	Hans Christian Andersen
Hanseatic League	Hanse
Hanukkah	Hanukkah
Happiness	Hạnh phúc
Harare	Harare
Harold Pinter	Harold Pinter
Harriet Beecher Stowe	Harriet Beecher Stowe
Haute-Normandie	Haute-Normandie
Havana	La Habana
Hawaii	Hawaii
Hawaii	Thể loại:Hawaii
Head of state	Nguyên thủ quốc gia
Health	Thể loại:Sức khỏe
Heart	Tim
Hebei	Hà Bắc (Trung Quốc)
Hectare	Hecta
Hector	Hector (thần thoại)
Hector Berlioz	Hector Berlioz
Heimdall	Heimdall
Heinrich Himmler	Heinrich Himmler
Hel (being)	Hel (thần thoại)
Helen Keller	Helen Keller
Helicopter	Máy bay trực thăng
Helios	Helios (thần thoại)
Helium	Heli
Hell	địa ngục
Helsinki	Helsinki
Hematology	Thể loại:Huyết học
Hemoglobin	Hemoglobin
Henri Becquerel	Henri Becquerel
Henri Bergson	Henri Bergson
