English	Czech
Brescia	Brescia
Brest	Brest (Francie)
Brest	Brest (Bělorusko)
Brest	Brest
Bretagne	Bretaň
Brick	Cihla
Bridge	Most
Bridges	Kategorie:Mosty
Bridgetown	Bridgetown
Brigade	Brigáda (jednotka)
Brighton	Brighton
Brindisi	Brindisi
Brisbane	Brisbane
Bristol	Bristol
British Columbia	Britská Kolumbie
British Empire	Britské impérium
British Isles	Britské ostrovy
British Virgin Islands	Britské Panenské ostrovy
British people	Kategorie:Britové
Brno	Brno
Broadway (New York City)	Broadway
Broccoli	Brokolice
Bromine	Brom
Bronze	Bronz
Bronze Age	Doba bronzová
Brooklyn	Brooklyn
Brooklyn Bridge	Brooklyn Bridge
Brown	Hnědá
Brown Bear	Medvěd hnědý
Brownian motion	Brownův pohyb
Bruce Lee	Bruce Lee
Bruges	Bruggy
Brunei	Brunej
Brunei	Kategorie:Brunej
Brussels	Brusel
Bubonic plague	Mor
Bucharest	Bukurešť
Buckingham Palace	Buckinghamský palác
Buckminster Fuller	Buckminster Fuller
Budapest	Budapešť
Buddha	Buddha
Buddhism	Buddhismus
Buddhism	Kategorie:Buddhismus
Buddy Holly	Buddy Holly
Buenos Aires	Buenos Aires
Buffalo	Buffalo
Building	Budova
Bujumbura	Bujumbura
Bulgaria	Bulharsko
Bulgaria	Kategorie:Bulharsko
Buoyancy	Archimédův zákon
Bureaucracy	Byrokracie
Burgomaster	Starosta
Burkina Faso	Burkina Faso
Burkina Faso	Kategorie:Burkina Faso
Burma	Myanmar
Burma	Kategorie:Myanmar
Burqa	Burka
Bursa	Bursa
Burundi	Kategorie:Burundi
Bus	Autobus
Bus (computing)	Sběrnice
Business	Podnikání
Businesspeople	Kategorie:Podnikatelé
Buster Keaton	Buster Keaton
Butter	Máslo
Butterfly effect	Motýlí efekt
Bydgoszcz	Bydhošť
Byte	Byte
Byzantine Empire	Kategorie:Byzantská říše
C	C
C (programming language)	C (programovací jazyk)
C. S. Lewis	Clive Staples Lewis
CD (disambiguation)	CD
CHAOS (Linux distribution)	CHAOS
CN Tower	CN Tower
COBOL	COBOL
Cabaret	Kabaret
Cache	Cache
Cactus	Kaktusovité
Cadmium	Kadmium
Cadmus	Kadmos
Caelum	Souhvězdí Rydla
Caesium	Cesium
Caffeine	Kofein
Cairo	Káhira
Calabria	Kalábrie
Calais	Calais
Calcite	Kalcit
Calcium	Vápník
Calcium carbonate	Uhličitan vápenatý
Calcium oxide	Oxid vápenatý
Calculator	Kalkulačka
Caldera	Kaldera
Calendar	Kalendář
Caliber	Ráže
California	Kalifornie
California	Kategorie:Kalifornie
Californium	Kalifornium
Caligula	Caligula
Caliph	Chalífa
Caliphate	Chalífát
Calligraphy	Kaligrafie
Calliope	Kalliopé
Callisto (moon)	Callisto (měsíc)
Callisto (mythology)	Kallistó
Calorie	Kalorie
Calvados	Calvados (departement)
Calvary	Golgota
Calvin Coolidge	Calvin Coolidge
Calvinism	Kalvinismus
Cambodia	Kambodža
Cambodia	Kategorie:Kambodža
Cambrian	Kambrium
Cambridge	Cambridge
Camel	Velbloud
Camembert (cheese)	Camembert
Camera	Fotoaparát
Cameroon	Kamerun
Cameroon	Kategorie:Kamerun
Campania	Kampánie
Canada	Kanada
Canada	Kategorie:Kanada
Canadian dollar	Kanadský dolar
Canal	Průplav
Canary Islands	Kanárské ostrovy
Canary Islands	Kategorie:Kanárské ostrovy
Canberra	Canberra
Cancer	Rakovina
Cancer (constellation)	Souhvězdí Raka
Candela	Kandela
Candle	Svíčka
Canidae	Psovití
Canis Major	Souhvězdí Velkého psa
Canis Minor	Souhvězdí Malého psa
Cannabis (drug)	Marihuana
Cannes	Cannes
Cannibalism	Kanibalismus
Cannon	Kanón
Canoe	Kánoe
Canon (company)	Canon
Canopus	Canopus
Cantata	Kantáta
Canterbury	Canterbury
Capacitance	Elektrická kapacita
Capacitor	Kondenzátor
Cape Canaveral	Mys Canaveral
Cape Horn	Mys Horn
Cape Town	Kapské Město
Cape Verde	Kapverdy
Cape Verde	Kategorie:Kapverdy
Cape of Good Hope	Mys Dobré naděje
Capital	Hlavní město
Capital (economics)	Kapitál
Capital punishment	Trest smrti
Capitalism	Kapitalismus
Cappadocia	Kappadokie
Capricornus	Souhvězdí Kozoroha
Caracal	Karakal
Caracas	Caracas
Carambola	Karambola
Carat (mass)	Karát
Carat (purity)	Karát
Caravaggio	Caravaggio
Carbohydrate	Sacharidy
Carbon	Uhlík
Carbon cycle	Koloběh uhlíku
Carbon dioxide	Oxid uhličitý
Carbon monoxide	Oxid uhelnatý
Carbonic acid	Kyselina uhličitá
Carboniferous	Karbon
Carboxylic acid	Karboxylové kyseliny
Carburetor	Karburátor
Card game	Karetní hra
Cardamom	Kardamovník obecný
Cardiff	Cardiff
Cardinal (Catholicism)	Kardinál
Cardinal Richelieu	Armand-Jean du Plessis de Richelieu
Cardiovascular system	Kategorie:Oběhová soustava
Caribbean	Karibik
Caribbean	Kategorie:Karibské moře
Caribbean Sea	Karibské moře
Caricature	Karikatura
Carina (constellation)	Souhvězdí Lodního kýlu
Carl David Anderson	Carl David Anderson
Carl Jung	Carl Gustav Jung
Carl Lewis	Carl Lewis
Carl Maria von Weber	Carl Maria von Weber
Carl Orff	Carl Orff
Carnival	Karneval
Carnivora	Šelmy
Carnivore	Masožravci
Carnivorous plant	Masožravé rostliny
Carolingian dynasty	Karlovci
Carolus Linnaeus	Carl Linné
Carpathian Mountains	Karpaty
Carrot	Mrkev obecná
Carson City	Carson City
Cartagena	Cartagena
Cartesian coordinate system	Kartézská soustava souřadnic
Cartesian product	Kartézský součin
Carthage	Kartágo
Cartography	Kartografie
Cartography	Kategorie:Kartografie
Casablanca	Casablanca
Cashew	Anacardium occidentale
Casino	Kasino
Caspian Sea	Kaspické moře
Cassandra	Kassandra
Cassiopeia (constellation)	Souhvězdí Kasiopeji
Cast iron	Litina
Caste	Kastovní systém
Castile (historical region)	Kastilie
Castle	Hrad
Castling	Rošáda
Casus belli	Casus belli
Cat	Kočka domácí
Catalonia	Katalánsko
Catalonia	Kategorie:Katalánsko
Catalysis	Katalyzátor
Cataphract	Cataphract
Cataract	Šedý zákal
Catharism	Albigenští
Cathedral	Katedrála
Catherine Parr	Kateřina Parrová
Catherine of Aragon	Kateřina Aragonská
Cathode	Katoda
Catholicism	Katolictví
Cattle	Tur domácí
Cattle Egret	Volavka rusohlavá
Catullus	Gaius Valerius Catullus
Caucasus	Kavkaz
Caucasus	Kategorie:Kavkaz
Caucasus Mountains	Kavkaz
Cauliflower	Květák
Causality	Kauzalita
Cavalry	Jezdectvo
Cave	Jeskyně
Caviar	Kaviár
Cayenne	Cayenne
Cayman Islands	Kajmanské ostrovy
Cecil Rhodes	Cecil Rhodes
Celery	Miřík celer
Celestial mechanics	Kategorie:Nebeská mechanika
Celestial mechanics	Nebeská mechanika
Celestial sphere	Nebeská sféra
Celibacy	Celibát
Cell (biology)	Buňka
Cell membrane	Cytoplazmatická membrána
Cell nucleus	Buněčné jádro
Cell wall	Buněčná stěna
Cello	Violoncello
Cellulose	Celulóza
Celsius	Stupeň Celsia
Cement	Cement
Cemetery	Hřbitov
Cenozoic	Kenozoikum
Census	Sčítání lidu
Centaur	Kentaur
Centaurus	Souhvězdí Kentaura
Center of mass	Těžiště
Central Africa	Střední Afrika
Central African Republic	Středoafrická republika
Central African Republic	Kategorie:Středoafrická republika
Central America	Střední Amerika
Central America	Kategorie:Střední Amerika
Central Intelligence Agency	Central Intelligence Agency
Central Park	Central Park
Central Powers	Centrální mocnosti
Central bank	Centrální banka
Central nervous system	Centrální nervová soustava
Central processing unit	Procesor
Centre	Centre
Centriole	Centriola
Century	Století
Cephalopod	Hlavonožci
Cepheus (constellation)	Souhvězdí Cefea
Ceramic	Keramika
Cerberus	Kerberos
Cerebellum	Mozeček
Ceres	Ceres
Ceres (dwarf planet)	Ceres (trpasličí planeta)
Ceres (mythology)	Ceres (mytologie)
Cerium	Cer
Cestoda	Tasemnice
Cetacea	Kytovci
Cetus	Souhvězdí Velryby
Chad	Čad
Chad	Kategorie:Čad
Chaffinch	Pěnkava obecná
Chair	Židle
Chalcedony	Chalcedon
Chamaeleon	Souhvězdí Chameleona
Chamois	Kamzík horský
Champagne (wine)	Šampaňské víno
Champagne-Ardenne	Champagne-Ardenne
Channel Tunnel	Eurotunel
Chaos (mythology)	Chaos (mytologie)
Charadriiformes	Dlouhokřídlí
Charlemagne	Karel Veliký
Charleroi	Charleroi
Charles	Charles, princ z Walesu
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Fourier	Charles Fourier
Charles Lindbergh	Charles Lindbergh
Charles Peirce	Charles Peirce
Charles Thomson Rees Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
Charles the Bald	Karel II. Holý
Charlie Chaplin	Charlie Chaplin
Charlie Parker	Charlie Parker
Charlotte	Charlotte
Charmed	Čarodějky (seriál)
Charon (moon)	Charon (měsíc)
Charon (mythology)	Charón
Chartres	Chartres
Chauvinism	Šovinismus
Che Guevara	Che Guevara
Chechnya	Čečensko
Chechnya	Kategorie:Čečensko
Cheese	Sýr
Cheetah	Gepard štíhlý
Chelyabinsk	Čeljabinsk
Chemical bond	Chemická vazba
Chemical compound	Chemická sloučenina
Chemical element	Chemický prvek
Chemical engineering	Chemické inženýrství
Chemical formula	Chemický vzorec
Chemical reaction	Chemická reakce
Chemical warfare	Chemické zbraně
Chemistry	Chemie
Chemistry	Kategorie:Chemie
Chemistry	Portál:Chemie
Chemnitz	Chemnitz
Chemotherapy	Chemoterapie
Cheque	Šek
Chernobyl	Černobyl
Cherry	Třešně
Chert	Rohovec
Cherub	Cherub
Chess	Šachy
Chess	Kategorie:Šachy
Chess opening	Šachové zahájení
Chester A. Arthur	Chester A. Arthur
Chewing gum	Žvýkačka
Cheyenne	Cheyenne
Chiang Kai-shek	Čankajšek
Chicago	Chicago
Chicken	Kur domácí
Chickenpox	Plané neštovice
Chihuahua	Chihuahua (stát)
Child	Dítě
Childbirth	Porod
Chile	Chile
Chile	Kategorie:Chile
Chimborazo (volcano)	Chimborazo
Chimera (mythology)	Chiméra (mytologie)
China	Kategorie:Čína
China	Čína
Chios	Chios
Chiron	Cheirón
Chitin	Chitin
Chlorine	Chlór
Chloroform	Chloroform
Chlorophyll	Chlorofyl
Chocolate	Čokoláda
Choir	Pěvecký sbor
Cholera	Cholera
Cholesterol	Cholesterol
Chondrichthyes	Paryby
Chongqing	Čchung-čching
Chord (music)	Akord
Chordate	Strunatci
Christchurch	Christchurch
Christiaan Huygens	Christiaan Huygens
Christianity	Křesťanství
Christianity	Kategorie:Křesťanství
Christmas	Vánoce
Christmas	Kategorie:Vánoce
Christmas Eve	Štědrý den
Christmas tree	Vánoční stromek
Christopher Columbus	Kryštof Kolumbus
Christopher Marlowe	Christopher Marlowe
Chromatin	Chromatin
Chromatography	Chromatografie
Chromium	Chróm
Chromosome	Chromozóm
Chronology	Kategorie:Chronologie
Chuck Berry	Chuck Berry
Church	Církev
Church (building)	Kostel
Church of England	Anglikánská církev
Cicero	Marcus Tullius Cicero
Ciconiiformes	Brodiví
Cider	Sidra
Cigarette	Cigareta
Cinderella	Popelka
Cinnabar	Cinabarit
Cinnamon	Skořice
Circe	Kirké
Circinus	Souhvězdí Kružítka
Circle	Kružnice
Circulatory system	Oběhová soustava
Circumcision	Obřízka
Circus	Cirkus
Citizenship	Občanství
Citric acid	Kyselina citronová
Citric acid cycle	Citrátový cyklus
Citrus	Citrus
Civil war	Občanská válka
Civilization	Civilizace
Clarinet	Klarinet
Clark Gable	Clark Gable
Class	Třída
Class (biology)	Třída (biologie)
Class (computer science)	Třída (programování)
Classical mechanics	Klasická mechanika
Classical music	Vážná hudba
Classical music	Kategorie:Vážná hudba
Classicism	Klasicismus
Claude Monet	Claude Monet
Claude Shannon	Claude Shannon
Claudio Monteverdi	Claudio Monteverdi
Claudius	Claudius
Clay	Jíl
Clef	Klíč (hudba)
Clement Attlee	Clement Attlee
Cleopatra (disambiguation)	Kleopatra
Clergy	Duchovenstvo
Cleveland	Cleveland (Ohio)
Client-server	Klient-server
Climate	Podnebí
Climatology	Klimatologie
Climatology	Kategorie:Klimatologie
Clinical depression	Deprese (psychologie)
Clio	Kleió
Clitoris	Klitoris
Clock	Hodiny
Clock Tower	Big Ben
Cloning	Klonování
Clothing	Kategorie:Oděvy
Clothing	Oděv
Cloud	Oblak
Clove	Hřebíček
Clovis I	Chlodvík I.
Cnidaria	Žahavci
Coal	Uhlí
Coast	Pobřeží
Coat of arms	Znak (heraldika)
Cobalt	Kobalt
Cocaine	Kokain
Coccinellidae	Coccinellidae
Cockatoo	Kakaduovití
Cockroach	Švábi
Coconut	Kokosovník ořechoplodý
Cocos (Keeling) Islands	Kokosové ostrovy
Coffea	Kávovník
Coffee	Káva
Coffee	Kategorie:Káva
Cognac (drink)	Koňak
Cognitive psychology	Kognitivní psychologie
Cognitive science	Kognitivní věda
Cola	Kola (nápoj)
Colchis	Kolchida
Cold War	Studená válka
Cold War	Kategorie:Studená válka
Colin Powell	Colin Powell
Collage	Koláž
Collagen	Kolagen
Colloid	Koloid
Cologne	Kolín nad Rýnem
Colombia	Kolumbie
Colombia	Kategorie:Kolumbie
Colombo	Kolombo
Colonel	Plukovník
Colony	Kolonie
Color	Barva
Colorado	Colorado
Colorado	Kategorie:Colorado
Colorado River	Colorado (přítok Kalifornského zálivu)
Colosseum	Koloseum
Colossus of Rhodes	Rhódský kolos
Colubrid	Užovkovití
Columba (constellation)	Souhvězdí Holubice
Columbia	Columbia
Columbia River	Columbia (řeka)
Columbia University	Columbia University
Columbidae	Holub
Columbiformes	Kategorie:Měkkozobí
Columbiformes	Měkkozobí
Columbus	Columbus (Ohio)
Columbus	Columbus
Coma Berenices	Souhvězdí Vlasů Bereniky
Combustion	Hoření
Comedy	Komedie
Comenius	Jan Amos Komenský
Comet	Kometa
Comma (punctuation)	Čárka (interpunkce)
Commedia dell'arte	Komedie dell'arte
Commerce	Kategorie:Obchod
Common cold	Nachlazení
Commonwealth of Independent States	Společenství nezávislých států
Commonwealth of Nations	Commonwealth
Communication	Kategorie:Dorozumívání
Communication	Dorozumívání
Communism	Komunismus
Communism	Kategorie:Komunismus
Comoros	Komory
Comoros	Kategorie:Komory
Compact Disc	Kompaktní disk
Compass	Kompas
Compass (drafting)	Kružítko
Competition	Kompetice
Compiler	Překladač
Complex instruction set computer	CISC
Complex number	Komplexní číslo
Composer	Hudební skladatel
Composite material	Kompozitní materiál
Composite number	Složené číslo
Computed tomography	Počítačová tomografie
Computer	Počítač
Computer display	Monitor (obrazovka)
Computer file	Soubor
Computer graphics	Kategorie:Počítačová grafika
Computer hardware	Hardware
Computer hardware	Kategorie:Hardware
Computer network	Počítačová síť
Computer program	Počítačový program
Computer programming	Programování
Computer programming	Kategorie:Programování
Computer science	Informatika (počítačová věda)
Computer science	Kategorie:Informatika
Computer software	Software
Computer virus	Počítačový virus
Computer-aided design	Computer aided design
Computing	Kategorie:Počítače
Conakry	Conakry
Concentration	Koncentrace (chemie)
Concrete	Beton
Condom	Kondom
Conducting	Dirigent
Cone (geometry)	Kužel
Confederate States of America	Konfederované státy americké
Confederation	Konfederace
Confession	Svátost smíření
Confirmation	Biřmování
Conflict	Konflikt
Confucianism	Konfucianismus
Confucius	Konfucius
Congo	Kongo
Congo River	Kongo (řeka)
Conic section	Kuželosečka
Connecticut	Connecticut
Connective tissue	Pojivová tkáň
Consensus	Konsenzus
Conservation of energy	První termodynamický zákon
Conservatism	Konzervatismus
Consonant	Souhláska
Constantine I	Constantinus I.
Constantinople	Konstantinopol
Constellation	Souhvězdí
Constitution (political)	Ústava
Consul	Konzul (antický Řím)
Consumption (economics)	Spotřeba
Contact lens	Kontaktní čočka
Continent	Kontinent
Continental drift	Kontinentální drift
Continental shelf	Kontinentální šelf
Contract	Smlouva
Contract bridge	Bridž
Convection	Proudění tepla
Cooperative	Družstvo
Coordinate system	Soustava souřadnic
Coordinated Universal Time	Coordinated Universal Time
Copenhagen	Kodaň
Copper	Měď
Copyright	Autorské právo
Cor anglais	Anglický roh
Coraciiformes	Srostloprstí
Coral	Korál
Coral Sea	Korálové moře
Coral reef	Korálový útes
Coriander	Koriandr setý
Corinth	Korint
Coriolis effect	Coriolisova síla
Cork (city)	Cork
Cornell University	Cornell University
Cornwall	Cornwall
Corona Borealis	Souhvězdí Severní koruny
Corporation	Obchodní společnost
Corrosion	Koroze
Corsica	Korsika
Corundum	Korund
Corvette	Korveta
Corvidae	Krkavcovití
Corvus (constellation)	Souhvězdí Havrana
Cosmic microwave background radiation	Reliktní záření
Cosmic ray	Kosmické záření
Cosmology	Kosmologie
Cosmology	Kategorie:Kosmologie
Costa Rica	Kostarika
Costa Rica	Kategorie:Kostarika
Cotonou	Cotonou
Cotopaxi	Cotopaxi
Cotton	Bavlna
Cougar	Puma americká
Coulomb	Coulomb
Coulomb's law	Coulombův zákon
Council of Chalcedon	Chalkedonský koncil
Council of Ephesus	Efeský koncil
Council of Trent	Tridentský koncil
Counterpoint	Kontrapunkt
Country music	Country
Court	Soud
Covalent bond	Kovalentní vazba
Coventry	Coventry
Coyote	Kojot prériový
Crab	Krabi
Crab Nebula	Krabí mlhovina
Crater (constellation)	Souhvězdí Poháru
Creationism	Kreacionismus
Cremona	Cremona
Cretaceous	Křída
Crete	Kréta
Cricket	Kriket
Crime	Zločin
Crimea	Krym
Crimean War	Krymská válka
Criminal law	Kategorie:Trestní právo
Criminal law	Trestní právo
Criminology	Kriminologie
Croatia	Chorvatsko
Croatia	Kategorie:Chorvatsko
Crocodilia	Krokodýli
Cronus	Kronos
Cross	Kříž
Cross product	Vektorový součin
Crossbow	Kuše
Crucifixion	Ukřižování
Cruiser	Křižník
Crust (geology)	Zemská kůra
Crustacean	Korýši
Crux	Souhvězdí Jižního kříže
Cryptography	Kryptografie
Cryptography	Kategorie:Kryptografie
Crystal	Krystal
Crystallography	Krystalografie
Crystallography	Kategorie:Krystalografie
Ctenophore	Žebernatky
Cuba	Kuba
Cuba	Kategorie:Kuba
Cube	Krychle
Cubic metre	Metr krychlový
Cubism	Kubismus
Cuculiformes	Kukačky
Cucumber	Okurka setá
Cultural Revolution	Kulturní revoluce
Culture	Kultura (sociologie)
Culture	Kategorie:Kultura
Cumulus cloud	Cumulus
Curitiba	Curitiba
Curium	Curium
Curling	Curling
Currency	Kategorie:Měny
Currency	Měna
Curry	Curry
Curve	Křivka
Cusco	Cuzco
Cyanobacteria	Sinice
Cybele	Kybelé
Cybernetics	Kybernetika
Cyberpunk	Kyberpunk
Cyclades	Kyklady
Cycling	Cyklistika
Cycling	Kategorie:Cyklistika
Cyclone	Cyklóna
Cyclops	Kyklop
Cygnus (constellation)	Souhvězdí Labutě
Cylinder (geometry)	Válec
Cyperaceae	Šáchorovité
Cypriniformes	Máloostní
Cyprus	Kypr
Cyprus	Kategorie:Kypr
Cyrillic alphabet	Cyrilice
Cyrus the Great	Kýros II.
Cystic fibrosis	Cystická fibróza
Cytoplasm	Cytoplazma
Cytosine	Cytosin
Cytoskeleton	Cytoskelet
Czech Republic	Česko
Czech Republic	Kategorie:Česko
Czechoslovakia	Československo
Czechoslovakia	Kategorie:Československo
D	D
D. H. Lawrence	David Herbert Lawrence
D. W. Griffith	D. W. Griffith
DDT	DDT
DNA	DNA
DOS	Disk Operating System
DVD	DVD
Dada	Dadaismus
Daedalus	Daidalos
Dagger	Dýka
Daguerreotype	Daguerrotypie
Dakar	Dakar
Dalai Lama	Dalajláma
Dallas	Dallas
Dalmatia	Dalmácie
Dam	Hráz (stavba)
Damascus	Damašek
Dance	Tanec
Dance	Kategorie:Tanec
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
Daniel Ortega	Daniel Ortega
Danish krone	Dánská koruna
Dante Alighieri	Dante Alighieri
Danube	Dunaj
Daphne	Dafné
Dar es Salaam	Dar es Salaam
Dardanelles	Dardanely
Darfur	Dárfúr
Darjeeling	Darjeeling (město)
Dark matter	Temná hmota
Darmstadtium	Darmstadtium
Darwin	Darwin (Austrálie)
Darwin	Darwin
Das Kapital	Kapitál (kniha)
Data	Data
Data mining	Data mining
Database	Databáze
Database management system	Systém řízení báze dat
Dative case	Dativ
Daugavpils	Daugavpils
David	David (král Izraele)
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
David Ricardo	David Ricardo
Davis Cup	Davis Cup
Day	Den
De facto	De facto
Deacon	Jáhen
Dead Sea	Mrtvé moře
Dead Sea scrolls	Svitky od Mrtvého moře
Deadly nightshade	Rulík zlomocný
Death	Smrt
Death	Kategorie:Smrt
December	Prosinec
December 31	31. prosinec
December 8	8. prosinec
Decibel	Decibel
Decimal	Desítková soustava
Declination	Deklinace
Deco	Deco
Deconstruction	Dekonstrukce
Deductive reasoning	Dedukce
Deer	Jelenovití
Definition	Definice
Deflation	Deflace
Degree	Stupeň
Degree (angle)	Stupeň (úhel)
Deimos (moon)	Deimos (měsíc)
Deism	Deismus
Delaware	Delaware
Delaware	Kategorie:Delaware
Delhi	Dillí
Delphi	Delfy
Delphinus	Souhvězdí Delfína
Delta	Delta
Deluge (mythology)	Potopa světa
Demagogy	Demagogie
Dementia	Demence
Demeter	Démétér
Democracy	Demokracie
Democratic Party (United States)	Demokratická strana (USA)
Democratic Republic of the Congo	Demokratická republika Kongo
Democratic Republic of the Congo	Kategorie:Demokratická republika Kongo
Democritus	Démokritos
Demography	Demografie
Demography	Kategorie:Demografie
Demon	Démon
Demosthenes	Démosthenés
Deng Xiaoping	Teng Siao-pching
Dengue fever	Dengue
Denis Diderot	Denis Diderot
Denmark	Dánsko
Denmark	Kategorie:Dánsko
Dennis Gabor	Dénes Gábor
Density	Hustota
Dental caries	Zubní kaz
Dentistry	Kategorie:Stomatologie
Dentistry	Stomatologie
Denver	Denver
Derivative	Derivace
Dermatology	Dermatologie
Des Moines	Des Moines
Desert	Poušť
Deserts	Kategorie:Pouště
Desiderius Erasmus	Erasmus Rotterdamský
Design	Design
Design	Kategorie:Design
Desmond Tutu	Desmond Tutu
Destroyer	Torpédoborec
Determinant	Determinant
Determinism	Determinismus
Detroit	Detroit
Deuterium	Deuterium
Deuteronomy	Deuteronomium
Device driver	Ovladač zařízení
Devon	Devon (hrabství)
Devonian	Devon (geologie)
Dew	Rosa
Dew point	Rosný bod
Dewey Decimal Classification	Deweyův desetinný systém
Dhaka	Dháka
Dharma	Dharma
Dhaulagiri	Dhaulagiri
Dhole	Dhoul
Diabetes mellitus	Diabetes mellitus
Diacritic	Diakritické znaménko
Dialect	Nářečí
Dialectic	Dialektika
Dialectical materialism	Dialektický materialismus
Diameter	Průměr (geometrie)
Diamond	Diamant
Diana	Diana Frances Spencerová
Diarrhea	Průjem
Diaspora	Diaspora
Diatom	Rozsivky
Dice	Hrací kostka
Dicotyledon	Dvouděložné
Dictatorship	Diktatura
Dictionary	Slovník
Diesel	Motorová nafta
Diesel engine	Vznětový motor
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Differential equation	Diferenciální rovnice
Diffraction	Difrakce
Diffusion	Difuze
Digestion	Trávení
Digestive system	Kategorie:Trávicí soustava
Digital	Digitální
Digital camera	Digitální fotoaparát
Digital photography	Digitální fotografie
Digital subscriber line	Digital Subscriber Line
Dijon	Dijon
Dinosaur	Dinosauři
Diocese	Diecéze
Diocletian	Diocletianus
Diode	Dioda
Dionysus	Dionýsos
Diphtheria	Záškrt
Diphthong	Dvojhláska
Diplodocus	Diplodocus
Diplomacy	Diplomacie
Diplomacy	Kategorie:Diplomacie
Dire Straits	Dire Straits
Direct current	Stejnosměrný proud
Disaccharide	Disacharidy
Disambiguation	Kategorie:Rozcestníky
Disc jockey	Diskžokej
Discourse	Diskurz
Discrimination	Diskriminace
Disease	Nemoc
Distance	Vzdálenost
Distillation	Destilace
Divergence	Divergence
Division (mathematics)	Dělení
Division (military)	Divize (vojenství)
Divorce	Rozvod
Dizzy Gillespie	Dizzy Gillespie
Djibouti	Kategorie:Džibutsko
Djibouti (city)	Džíbútí
Dmitri Mendeleev	Dmitrij Ivanovič Mendělejev
Dmitri Shostakovich	Dmitrij Dmitrijevič Šostakovič
Dnieper River	Dněpr
Dnipropetrovsk	Dněpropetrovsk
Doberman Pinscher	Dobrman
Doctor of the Church	Učitel církve
Dodecahedron	Dvanáctistěn
Dodecanese	Dodekanés
Dodo	Dronte mauricijský
Dodoma	Dodoma
Dog	Pes domácí
Dogma	Dogma
Doha	Dauhá
Dollar	Dolar
Dolly (sheep)	Dolly (ovce)
Dolmen	Dolmen
Dolomite	Dolomit
Domain (biology)	Doména (biologie)
Domain name	Internetová doména
Dome	Kupole
Domesday Book	Domesday Book
Domestication	Domestikace
Dominica	Dominika
Dominica	Kategorie:Dominika
Dominican Order	Řád bratří kazatelů
Dominican Republic	Dominikánská republika
Dominican Republic	Kategorie:Dominikánská republika
Domitian	Domitianus
Don Quixote	Důmyslný rytíř Don Quijote de la Mancha
Don River (Russia)	Don
Donald Duck	Kačer Donald
Donatello	Donatello
Donato Bramante	Donato Bramante
Donetsk	Doněck
Donkey	Osel domácí
Door	Dveře
Dopamine	Dopamin
Doppler effect	Dopplerův jev
Dorado	Souhvězdí Mečouna
Doric order	Dórský řád
Doris Lessing	Doris Lessingová
Dortmund	Dortmund
Douala	Douala
Double bass	Kontrabas
Douglas MacArthur	Douglas MacArthur
Down syndrome	Downův syndrom
Draco (constellation)	Souhvězdí Draka
Dracula	Drákula (kniha)
Dragon	Drak
Drainage basin	Povodí
Drama	Drama
Draughts	Dáma (hra)
Dream	Sen
Dresden	Drážďany
Drink	Nápoj
Dromedary	Velbloud jednohrbý
Drought	Sucho
Drug addiction	Závislost
Druid	Druid
Drum	Buben
Dualism	Dualismus (filosofie)
Dubai	Dubaj
Dublin	Dublin
Dubnium	Dubnium
Dubrovnik	Dubrovnik
Duck	Kachna
Duke	Vévoda
Duke Ellington	Duke Ellington
Duke University	Duke University
Dune	Písečná duna
Dunkirk	Dunkerque
Durban	Durban
Dushanbe	Dušanbe
Dustin Hoffman	Dustin Hoffman
Dutch people	Kategorie:Nizozemci
Dwight D. Eisenhower	Dwight D. Eisenhower
Dynamics (physics)	Dynamika
Dynamite	Dynamit
Dynasty	Dynastie
Dyslexia	Dyslexie
Dysprosium	Dysprosium
Dystopia	Antiutopie
E	E
E (mathematical constant)	Eulerovo číslo
E-mail	E-mail
E. T. A. Hoffmann	Ernst Theodor Wilhelm Hoffmann
ETA	Euskadi Ta Askatasuna
Eagle	Orel
Ear	Ucho
Eared seal	Lachtanovití
Earless seal	Tuleňovití
Earth	Země
Earth	Kategorie:Země
Earth science	Vědy o Zemi
Earthquake	Zemětřesení
East	Východ
East Africa	Východní Afrika
East China Sea	Východočínské moře
East Germany	Německá demokratická republika
East Timor	Východní Timor
East Timor	Kategorie:Východní Timor
Easter	Velikonoce
Eastern Orthodox Church	Pravoslaví
Ebola	Ebola
Ebro	Ebro
Eccentricity (mathematics)	Excentricita dráhy
Ecclesiastes	Kniha Kazatel
Echidna (mythology)	Echidna
Echinoderm	Ostnokožci
Eclipse	Zatmění Slunce
Eclipse (software)	Eclipse (vývojové prostředí)
Ecliptic	Ekliptika
Ecological niche	Ekologická nika
Ecology	Ekologie
Ecology	Kategorie:Ekologie
Econometrics	Ekonometrie
Economics	Ekonomie
Economics	Kategorie:Ekonomie
Economy	Ekonomika
Ecosystem	Ekosystém
Ecuador	Ekvádor
Ecuador	Kategorie:Ekvádor
Ecumenical council	Ekumenický koncil
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edgar Rice Burroughs	Edgar Rice Burroughs
