Estonian	English
Suur Vallrahu	Great Barrier Reef
Suurbritannia saar	Great Britain
Tuttpütt	Great Crested Grebe
Suur depressioon	Great Depression
Suur järvistu	Great Lakes
Ida-Aafrika riftivöönd	Great Rift Valley
Suur Hiina müür	Great Wall of China
Mõrtsukhai	Great white shark
Suured Antillid	Greater Antilles
Pütlased	Grebe
Kreeka	Greece
Kategooria:Kreeka	Greece
Kreeka tähestik	Greek alphabet
Vanakreeka mütoloogia	Greek mythology
Roheline	Green
Kasvuhoone	Greenhouse
Kasvuhoonegaasid	Greenhouse gas
Gröönimaa	Greenland
Kategooria:Gröönimaa	Greenland
Grööni meri	Greenland Sea
Greenpeace	Greenpeace
Gregor Mendel	Gregor Mendel
Gregoriuse kalender	Gregorian calendar
Grenoble	Grenoble
Greta Garbo	Greta Garbo
Hallhani	Greylag Goose
Sisemajanduse kogutoodang	Gross domestic product
Rühm (matemaatika)	Group (mathematics)
Grover Cleveland	Grover Cleveland
Groznõi	Grozny
Guadeloupe	Guadeloupe
Guam	Guam
Guangdong	Guangdong
Guaano	Guano
Kategooria:Guatemala	Guatemala
Guatemala (linn)	Guatemala City
Guayaquil	Guayaquil
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Tsunft	Guild
Guillaume Apollinaire	Guillaume Apollinaire
Guinea	Guinea
Merisiga	Guinea pig
Guinea-Bissau	Guinea-Bissau
Kitarr	Guitar
Gujarat	Gujarat
GULAG	Gulag
Golfi hoovus	Gulf Stream
Adeni laht	Gulf of Aden
Al-‘Aqabah' laht	Gulf of Aqaba
Põhjalaht	Gulf of Bothnia
Soome laht	Gulf of Finland
Guinea laht	Gulf of Guinea
Mehhiko laht	Gulf of Mexico
Omaani laht	Gulf of Oman
Liivi laht	Gulf of Riga
Tai laht	Gulf of Thailand
Kajaklased	Gull
Gupi	Guppy
Gustav Klimt	Gustav Klimt
Gustav Mahler	Gustav Mahler
Gustave Courbet	Gustave Courbet
Gustave Flaubert	Gustave Flaubert
Guy de Maupassant	Guy de Maupassant
Kategooria:Guyana	Guyana
Günekoloogia	Gynaecology
Kips	Gypsum
Güroskoop	Gyroscope
H	H
Herbert George Wells	H. G. Wells
HIV	HIV
HTML	HTML
Häkker	Hacker
Hadaikum	Hadean
Hades	Hades
Hadrianus	Hadrian
Hafnium	Hafnium
Hagia Sophia	Hagia Sophia
Haifa	Haifa
Haiku	Haiku
Rahe	Hail
Ave Maria	Hail Mary
Haiti	Haiti
Kategooria:Haiti	Haiti
Hadž	Hajj
Poolestusaeg	Half-life
Halle	Halle
Halloween	Halloween
Hallutsinatsioon	Hallucination
Halogeenid	Halogen
Ḩamās	Hamas
Hamburg	Hamburg
Kategooria:Hamburg	Hamburg
Hamlet	Hamlet
Vasar	Hammer
Sirp ja vasar	Hammer and sickle
Hammurapi	Hammurabi
Hampshire	Hampshire
Hamster	Hamster
Hani dünastia	Han Dynasty
Poomine	Hanging
Semiramise rippaiad	Hanging Gardens of Babylon
Hannah Arendt	Hannah Arendt
Hannibal	Hannibal
Hanoi	Hanoi
Hannover	Hanover
Hans Christian Andersen	Hans Christian Andersen
Hansa Liit	Hanseatic League
Harare	Harare
Kõvadus	Hardness
Harlem	Harlem
Suupill	Harmonica
Harold Pinter	Harold Pinter
Harf	Harp
Harriet Beecher Stowe	Harriet Beecher Stowe
Harriet Tubman	Harriet Tubman
Harrisburg	Harrisburg
Hartford	Hartford
Hassium	Hassium
Vihkamine	Hatred
Ülem-Normandia	Haute-Normandie
Havanna	Havana
Hawaii osariik	Hawaii
Kategooria:Hawaii	Hawaii
Sarapuu	Hazel
Riigipea	Head of state
Tervis	Health
Süda	Heart
Soojus	Heat
Soojusmasin	Heat engine
Kategooria:Heavy-metal	Heavy metal
Heavy metal	Heavy metal music
Hebei	Hebei
Hebriidid	Hebrides
Hektar	Hectare
Hector Berlioz	Hector Berlioz
Hedonism	Hedonism
Hel	Hel (being)
Helena	Helen
Helen Keller	Helen Keller
Helena (Montana)	Helena
Helikopter	Helicopter
Heelium	Helium
Põrgu	Hell
Helmut Schmidt	Helmut Schmidt
Helsingi	Helsinki
Hematiit	Hematite
Hemoglobiin	Hemoglobin
Hemorroidid	Hemorrhoid
Henri Becquerel	Henri Becquerel
Henri Bergson	Henri Bergson
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henri	Henry (unit)
Henry Cavendish	Henry Cavendish
Henry David Thoreau	Henry David Thoreau
Henry Fonda	Henry Fonda
Henry Ford	Henry Ford
Henry Kissinger	Henry Kissinger
Henry Miller	Henry Miller
Hephaistos	Hephaestus
Hera	Hera
Herakles	Heracles
Herakleitos	Heraclitus
Heraldika	Heraldry
Herāt	Herat
Herbert Hoover	Herbert Hoover
Herbert Marcuse	Herbert Marcuse
Herakles	Hercules
Hereesia	Heresy
Herman Melville	Herman Melville
Hermann Hesse	Hermann Hesse
Hermann Ludwig Ferdinand von Helmholtz	Hermann von Helmholtz
Hermafrodiit	Hermaphrodite
Hermeneutika	Hermeneutics
Hermes	Hermes
Heron	Hero of Alexandria
Herodotos	Herodotus
Heroiin	Heroin
Hõbekajakas	Herring Gull
Hertfordshire	Hertfordshire
Herts	Hertz
Hesperiidid	Hesperides
Hessen	Hesse
Kategooria:Hessen	Hesse
Hestia	Hestia
Heteroseksuaalsus	Heterosexuality
Heterotroof	Heterotroph
Ḩizb Allāh	Hezbollah
Himaalaja	Himalayas
Hindukuš	Hindu Kush
Hinduism	Hinduism
Kategooria:Hinduism	Hinduism
Hipiliikumine	Hippie
Hippokrates	Hippocrates
Hippokratese vanne	Hippocratic Oath
Jõehobu	Hippopotamus
Hirohito	Hirohito
Hiroshima	Hiroshima
Haiti saar	Hispaniola
Histoloogia	Histology
Ajalugu	History
Kategooria:Ajalugu	History
Hobart	Hobart
Harrastus	Hobby
Katsushika Hokusai	Hokusai
Holmium	Holmium
Holotseen	Holocene
Püha Graal	Holy Grail
Saksa-Rooma riik	Holy Roman Empire
Püha Vaim	Holy Spirit
Homöopaatia	Homeopathy
Homöostaas	Homeostasis
Homeros	Homer
Inimlased	Hominidae
Inimene (perekond)	Homo (genus)
Homo habilis	Homo habilis
Homofoobia	Homophobia
Homoseksuaalsus	Homosexuality
Honduras	Honduras
Kategooria:Honduras	Honduras
Mesi	Honey
Hongkong	Hong Kong
Honiara	Honiara
Honolulu	Honolulu
Hooke'i seadus	Hooke's law
Vaenukägu	Hoopoe
Horatius	Horace
Metsasarv	Horn (instrument)
Aafrika Sarv	Horn of Africa
Horoskoop	Horoscope
Hobune	Horse
Hobujõud	Horsepower
Horos	Horus
Ḩusnī Mubārak	Hosni Mubarak
Haigla	Hospital
Hotell	Hotel
Tund	Hour
Dr. House	House (TV series)
Koduvarblane	House Sparrow
Houston	Houston
Hubble'i seadus	Hubble's law
Hudsoni laht	Hudson Bay
Hugo Grotius	Hugo Grotius
Inimene	Human
Humanism	Humanism
Kategooria:Humanitaarteadused	Humanities
Koolibrilased	Hummingbird
Huumor	Humour
Küürvaal	Humpback Whale
Huumus	Humus
Hunan	Hunan
Saja-aastane sõda	Hundred Years' War
Ungari	Hungary
Kategooria:Ungari	Hungary
Jahipidamine	Hunting
Süsivesinikud	Hydrocarbon
Vesinikkloriidhape	Hydrochloric acid
Hüdroelektrijaam	Hydroelectricity
Vesinik	Hydrogen
Hüdroloogia	Hydrology
Kategooria:Hüdroloogia	Hydrology
Hüdrosfäär	Hydrosphere
Kategooria:Hügieen	Hygiene
Neitsinahk	Hymen
Kategooria:Kiletiivalised	Hymenoptera
Kiletiivalised	Hymenoptera
Hümn	Hymn
Hüperbool	Hyperbola
Hyperion	Hyperion (mythology)
Hüpertensioon	Hypertension
Hypertext Transfer Protocol	Hypertext Transfer Protocol
Hypnos	Hypnos
Hüpnoos	Hypnosis
Hüpotees	Hypothesis
Iapetos	Iapetus (mythology)
Pürenee poolsaar	Iberian Peninsula
Ibuprofeen	Ibuprofen
Jää	Ice
Jääaeg	Ice age
Jäähoki	Ice hockey
Jäämägi	Iceberg
Island	Iceland
Kategooria:Island	Iceland
Ihtüoloogia	Ichthyology
Idaho	Idaho
Kategooria:Idaho	Idaho
Ideaalne gaas	Ideal gas
Idealism	Idealism
Ühikelement	Identity element
Ühikmaatriks	Identity matrix
Ideoloogia	Ideology
Ido	Ido
Ignatius Loyola	Ignatius of Loyola
Tardkivim	Igneous rock
Igor Stravinski	Igor Stravinsky
Iguaçu juga	Iguazu Falls
Ilias	Iliad
Illinois	Illinois
Kategooria:Illinois	Illinois
Illüüria	Illyria
Skanner	Image scanner
Imaam	Imam
Immanuel Kant	Immanuel Kant
Immuunsüsteem	Immune system
Immunoloogia	Immunology
Impressionism	Impressionism
Intsest	Incest
Toll (pikkusühik)	Inch
Incheon	Incheon
Iseseisvus	Independence
India	India
Kategooria:India	India
India ookean	Indian Ocean
Kategooria:India ookean	Indian Ocean
Indiana	Indiana
Kategooria:Indiana	Indiana
Indianapolis	Indianapolis
Indira Gandhi	Indira Gandhi
Indium	Indium
Indohiina poolsaar	Indochina
Indoneesia	Indonesia
Kategooria:Indoneesia	Indonesia
Indra	Indra
Induktor	Inductor
Indiaanlane (tähtkuju)	Indus (constellation)
Indus	Indus River
Tööstus	Industry
Inerts	Inertia
Lõpmatus	Infinity
Põletik	Inflammation
Inflatsioon	Inflation
Informatsioon	Information
Informatsiooniteooria	Information theory
Infrapunakiirgus	Infrared
Ingmar Bergman	Ingmar Bergman
Ingrid Bergman	Ingrid Bergman
Sise-Mongoolia	Inner Mongolia
Innsbruck	Innsbruck
Inkvisitsioon	Inquisition
Putukad	Insect
Insektitsiid	Insecticide
Insuliin	Insulin
Täisarv	Integer
Mikrokiip	Integrated circuit
Intelligentsus	Intelligence
Intelligentsuskvoot	Intelligence quotient
Intress	Interest
Interferents	Interference
Rahvusvaheline Aatomienergia Agentuur	International Atomic Energy Agency
Rahvusvaheline Kohus	International Court of Justice
Kuupäevaraja	International Date Line
Rahvusvaheline Valuutafond	International Monetary Fund
SI-süsteem	International System of Units
Kategooria:Rahvusvaheline õigus	International law
Rahvusvaheline organisatsioon	International organization
Internet	Internet
Kategooria:Internet	Internet
Internet Explorer	Internet Explorer
Interpretaator	Interpreter (computing)
Ühisosa	Intersection (set theory)
Intervall (muusika)	Interval (music)
Intranet	Intranet
Selgrootud	Invertebrate
Io (Jupiter)	Io (moon)
Io	Io (mythology)
Jood	Iodine
Ioon	Ion
Joonia	Ionia
Joonia meri	Ionian Sea
Iooniline side	Ionic bond
Iowa	Iowa
Kategooria:Iowa	Iowa
Iraan	Iran
Kategooria:Iraan	Iran
Iraak	Iraq
Kategooria:Iraak	Iraq
Iirimaa saar	Ireland
Kategooria:Iirimaa	Ireland
Iriidium	Iridium
Iris	Iris (mythology)
Iiri meri	Irish Sea
Kategooria:Iirimaa inimesed	Irish people
Raud	Iron
Rauaaeg	Iron Age
Raudne eesriie	Iron Curtain
Iron Maiden	Iron Maiden
Irratsionaalarvud	Irrational number
Irtõš	Irtysh River
Iisak	Isaac
Isaac Asimov	Isaac Asimov
Isaac Bashevis Singer	Isaac Bashevis Singer
Isaac Newton	Isaac Newton
Isis	Isis
Islam	Islam
Kategooria:Islam	Islam
Islamabad	Islamabad
Islami kalender	Islamic calendar
Saar	Island
Man	Isle of Man
Wight	Isle of Wight
Isomeerid	Isomer
Isotoop	Isotope
Iisrael	Israel
Kategooria:Iisrael	Israel
İstanbul	Istanbul
Maakitsus	Isthmus
Panama maakitsus	Isthmus of Panama
Apenniini poolsaar	Italian Peninsula
Itaalia	Italy
Kategooria:Itaalia	Italy
Ithaka	Ithaca
Ivan Lendl	Ivan Lendl
Ivan Pavlov	Ivan Pavlov
Ivan Turgenev	Ivan Turgenev
Jerome David Salinger	J. D. Salinger
Jack London	Jack London
Jackson	Jackson
Jackson Pollock	Jackson Pollock
Jacksonville	Jacksonville
Jacques Cartier	Jacques Cartier
Jacques Derrida	Jacques Derrida
Jacques Offenbach	Jacques Offenbach
Jaaguar	Jaguar
Džainism	Jainism
Jakarta	Jakarta
Jalālābād	Jalalabad
Jamaica	Jamaica
Kategooria:Jamaica	Jamaica
James Garfield	James A. Garfield
James Bond	James Bond
James Buchanan	James Buchanan
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Joyce	James Joyce
James Knox Polk	James K. Polk
James Madison	James Madison
James Monroe	James Monroe
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Jammu ja Kashmir	Jammu and Kashmir
Jan Hus	Jan Hus
Jane Austen	Jane Austen
Jane Fonda	Jane Fonda
Jane Seymour	Jane Seymour
Janis Joplin	Janis Joplin
Jaanuar	January
1. jaanuar	January 1
19. jaanuar	January 19
20. jaanuar	January 20
6. jaanuar	January 6
Janus (jumal)	Janus (mythology)
Jaapan	Japan
Kategooria:Jaapan	Japan
Jaava	Java
Java	Java (programming language)
Džäss	Jazz
Kategooria:Džäss	Jazz
Jean Piaget	Jean Piaget
Jean Racine	Jean Racine
Jean Sibelius	Jean Sibelius
Jean de La Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jiddah	Jeddah
Jefferson City	Jefferson City
Jefferson Davis	Jefferson Davis
Jahve	Jehovah
Jehoova tunnistajad	Jehovah's Witnesses
Jena	Jena
Jeremy Bentham	Jeremy Bentham
Jerez de la Frontera	Jerez de la Frontera
Jeeriko	Jericho
Hieronymus	Jerome
Jersey	Jersey
Jeruusalemm	Jerusalem
Jeesus	Jesus
Juudid	Jew
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Jeanne d'Arc	Joan of Arc
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
Johannes Vilhelm Jensen	Johannes Vilhelm Jensen
Johannesburg	Johannesburg
John Adams	John Adams
John Cage	John Cage
John Dalton	John Dalton
John Galsworthy	John Galsworthy
John Keats	John Keats
John Lennon	John Lennon
John Locke	John Locke
John Maynard Keynes	John Maynard Keynes
John Quincy Adams	John Quincy Adams
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Tyler	John Tyler
John Wayne	John Wayne
Johnny Cash	Johnny Cash
Jordaania	Jordan
Kategooria:Jordaania	Jordan
Jordani jõgi	Jordan River
Jorge Luis Borges	Jorge Luis Borges
Joseph Conrad	Joseph Conrad
Joseph Goebbels	Joseph Goebbels
Joseph Haydn	Joseph Haydn
Joseph Louis Gay-Lussac	Joseph Louis Gay-Lussac
Joseph Priestley	Joseph Priestley
Joseph Pulitzer	Joseph Pulitzer
Jossif Stalin	Joseph Stalin
Džaul	Joule
Ajakirjandus	Journalism
Judaism	Judaism
Kategooria:Judaism	Judaism
Juudas Iskariot	Judas Iscariot
Judo	Judo
Jules Verne	Jules Verne
Juliuse kalender	Julian calendar
Julianus Apostata	Julian the Apostate
Julius Caesar	Julius Caesar
Juuli	July
1. juuli	July 1
4. juuli	July 4
Juuni	June
14. juuni	June 14
21. juuni	June 21
23. juuni	June 23
24. juuni	June 24
29. juuni	June 29
3. juuni	June 3
Juneau	Juneau
Kadakas	Juniper
Jupiter (planeet)	Jupiter
Kategooria:Jupiter	Jupiter
Jupiter	Jupiter (mythology)
Juura (geoloogia)	Jurassic
Justinianus I	Justinian I
Jüütimaa	Jutland
K2	K2
KGB	KGB
Kaaba	Kaaba
Kabala	Kabbalah
Kabul	Kabul
Kamtšatka poolsaar	Kamchatka Peninsula
Kampala	Kampala
Kandahār	Kandahar
Kansas	Kansas
Kategooria:Kansas	Kansas
Kansas City	Kansas City
Kara meri	Kara Sea
Karachi	Karachi
Karakoram	Karakoram
Karate	Karate
Karen Blixen	Karen Blixen
Karl Barth	Karl Barth
Karl Jaspers	Karl Jaspers
Karl Marx	Karl Marx
Karl Popper	Karl Popper
Karma	Karma
Karnataka	Karnataka
Katharine Hepburn	Katharine Hepburn
Katmandu	Kathmandu
Katowice	Katowice
Kaunas	Kaunas
Kasahstan	Kazakhstan
Kategooria:Kasahstan	Kazakhstan
Kaasan	Kazan
Kazimir Malevitš	Kazimir Malevich
Kelvin	Kelvin
Kent	Kent
Kentucky	Kentucky
Kategooria:Kentucky	Kentucky
Kenya	Kenya
Kategooria:Kenya	Kenya
Ketoonid	Ketone
Sõrmistik	Keyboard (computing)
Klahvpillid	Keyboard instrument
Habarovsk	Khabarovsk
Khaan	Khan
Harkiv	Kharkiv
Hartum	Khartoum
Punased khmeerid	Khmer Rouge
Hufu	Khufu
Kibuts	Kibbutz
Neerud	Kidney
Kiiev	Kiev
Kigali	Kigali
Kilogramm	Kilogram
Kilomeeter	Kilometre
Lasteaed	Kindergarten
Riik (bioloogia)	Kingdom (biology)
Kingston	Kingston
Kinshasa	Kinshasa
Kiribati	Kiribati
Kirkūk	Kirkuk
Knesset	Knesset
Nuga	Knife
Ratsu	Knight (chess)
Sõlm (kiirusühik)	Knot (speed)
Teadmine	Knowledge
Knut Hamsun	Knut Hamsun
Kōbe	Kobe
Koola poolsaar	Kola Peninsula
Kolkata	Kolkata
Konqueror	Konqueror
Konrad Adenauer	Konrad Adenauer
Korea	Korea
Kategooria:Korea	Korea
Korea sõda	Korean War
Kosovo	Kosovo
Kategooria:Kosovo	Kosovo
Krüptoon	Krypton
Kuala Lumpur	Kuala Lumpur
Hubilai	Kublai Khan
Kuiperi vöö	Kuiper belt
Kung-fu	Kung fu (term)
Kunlun	Kunlun Mountains
Guomindang	Kuomintang
Kura jõgi	Kura River
Kategooria:Kurdistan	Kurdistan
Kursk	Kursk
Kurt Vonnegut	Kurt Vonnegut
Kurt Waldheim	Kurt Waldheim
Kuveit	Kuwait
Kategooria:Kuveit	Kuwait
Al-Kuwayt	Kuwait City
KwaZulu-Natal	KwaZulu-Natal
Kyōto	Kyoto
Kõrgõzstan	Kyrgyzstan
Kategooria:Kõrgõzstan	Kyrgyzstan
L'Aquila	L'Aquila
LAMP-platvorm	LAMP (software bundle)
La Paz	La Paz
La Plata	La Plata
La Spezia	La Spezia
Labradori retriiver	Labrador Retriever
Piimhape	Lactic acid
Jane Grey	Lady Jane Grey
Jäneselised	Lagomorpha
Lagos	Lagos
Lahore	Lahore
Laissez faire	Laissez-faire
Järv	Lake
Baikali järv	Lake Baikal
Balaton	Lake Balaton
Tšaadi järv	Lake Chad
Bodeni järv	Lake Constance
Erie järv	Lake Erie
Eyre'i järv	Lake Eyre
Genfi järv	Lake Geneva
Huroni järv	Lake Huron
Ilmjärv	Lake Ilmen
Laadoga järv	Lake Ladoga
Njassa järv	Lake Malawi
Michigani järv	Lake Michigan
Äänisjärv	Lake Onega
Ontario järv	Lake Ontario
Ülemjärv	Lake Superior
Tanganjika järv	Lake Tanganyika
Victoria järv	Lake Victoria
Huulõielised	Lamiaceae
Silmulised	Lamprey
Lancashire	Lancashire
Süstikkalad	Lancelet
Keel (keeleteadus)	Language
Languedoc-Roussillon	Languedoc-Roussillon
Lansing	Lansing
Lantanoidid	Lanthanide
Lantaan	Lanthanum
Laos	Laos
Kategooria:Laos	Laos
Laptevite meri	Laptev Sea
Sülearvuti	Laptop
Lehis	Larch
Kõri	Larynx
Las Vegas	Las Vegas
Laser	Laser
Treipink	Lathe
Ladina keel	Latin
Ladina-Ameerika	Latin America
Ladina kiri	Latin alphabet
Laiuskraad	Latitude
Läti	Latvia
Kategooria:Läti	Latvia
Lauraasia	Laurasia
Lausanne	Lausanne
Laava	Lava
Kategooria:Õigusteadus	Law
Kategooria:Politsei	Law enforcement
Lavrentsium	Lawrencium
Advokaat	Lawyer
Lazio	Lazio
Le Corbusier	Le Corbusier
Le Havre	Le Havre
Plii	Lead
Leht	Leaf
Rahvasteliit	League of Nations
Liigaasta	Leap year
Õppimine	Learning
Liibanon	Lebanon
Kategooria:Liibanon	Lebanon
Leda	Leda (mythology)
Lee Harvey Oswald	Lee Harvey Oswald
Leeds	Leeds
Legend	Legend
Seadusandlik võim	Legislature
Leiden	Leiden
Leipzig	Leipzig
Harilik sidrunipuu	Lemon
Sidrunmeliss	Lemon balm
Leena	Lena River
Pikkus	Length
Lääts	Lens (optics)
Leo I (keiser)	Leo I (emperor)
Lev Trotski	Leon Trotsky
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Leonid Brežnev	Leonid Brezhnev
Leopard	Leopard
Liblikalised	Lepidoptera
Leptonid	Lepton
Jänes (tähtkuju)	Lepus (constellation)
Lesbi	Lesbian
Lesotho	Lesotho
Väikesed Antillid	Lesser Antilles
Leto	Leto
Täht (kiri)	Letter (alphabet)
Levant	Levant
Kang	Lever
Lewis Carroll	Lewis Carroll
Lhasa	Lhasa
Lhotse	Lhotse
Liberalism	Liberalism
Tamili Eelami Vabastustiigrid	Liberation Tigers of Tamil Eelam
Libeeria	Liberia
Kaalud (tähtkuju)	Libra (constellation)
Raamatukogu	Library
Raamatukoguteadus	Library science
Libreto	Libretto
Libreville	Libreville
Liibüa	Libya
Samblikud	Lichen
Valetamine	Lie
Liechtenstein	Liechtenstein
Kategooria:Liechtenstein	Liechtenstein
Leitnant	Lieutenant
Elu	Life
Kategooria:Elu	Life
Valgus	Light
Valgusdiood	Light-emitting diode
Valgusaasta	Light-year
Tuletorn	Lighthouse
Liguuria	Liguria
Liguuria meri	Ligurian Sea
Liilialised	Liliaceae
Lilith	Lilith
Lilongwe	Lilongwe
Lima (Peruu)	Lima
Lubjakivi	Limestone
Limnoloogia	Limnology
Limousin	Limousin (region)
Lincoln (Nebraska)	Lincoln
Lincoln	Lincoln
Sirge	Line (mathematics)
Lineaarvõrrand	Linear equation
Keeleteadus	Linguistics
Kategooria:Keeleteadus	Linguistics
Linus Pauling	Linus Pauling
Linux	Linux
Kategooria:Linux	Linux
Linz	Linz
Lõvi	Lion
Liköör	Liqueur
Vedelik	Liquid
Lissabon	Lisbon
Lise Meitner	Lise Meitner
LISP	Lisp (programming language)
Kirjandus	Literature
Kategooria:Kirjandus	Literature
Liitium	Lithium
Litograafia	Lithography
Litosfäär	Lithosphere
Leedu	Lithuania
Kategooria:Leedu	Lithuania
Liiter	Litre
Liverpool	Liverpool
Liivimaa	Livonia
Ljubljana	Ljubljana
Laama (loom)	Llama
Kohtvõrk	Local area network
Loch Ness	Loch Ness
Nessie	Loch Ness Monster
Loogika	Logic
Kategooria:Loogika	Logic
Logistika	Logistics
Logo	Logo
Loire'i departemang	Loire
Loire	Loire River
Loki	Loki
Lombardia	Lombardy
London	London
Kategooria:London	London
Long Island	Long Island
Kaugushüpe	Long jump
Kõrvukräts	Long-eared Owl
Lope de Vega	Lope de Vega
Meieisapalve	Lord's Prayer
Lorraine	Lorraine (region)
Los Angeles	Los Angeles
Loti departemang	Lot (department)
Kõlar	Loudspeaker
Louis Armstrong	Louis Armstrong
Louis Pasteur	Louis Pasteur
Ludwig Vaga	Louis the Pious
Louis II (Lääne-Frangi kuningas)	Louis the Stammerer
Louisiana osariik	Louisiana
Kategooria:Louisiana	Louisiana
Louvre	Louvre
Armastus	Love
Alamsaksa keel	Low German
Alam-Saksi	Lower Saxony
Luanda	Luanda
Lublin	Lublin
Luciano Pavarotti	Luciano Pavarotti
Lucifer	Lucifer
Ludwig Boltzmann	Ludwig Boltzmann
Ludwig Wittgenstein	Ludwig Wittgenstein
Ludwig van Beethoven	Ludwig van Beethoven
Luigi Pirandello	Luigi Pirandello
Luminestsents	Luminescence
Lund	Lund
Kopskalad	Lungfish
Lusaka	Lusaka
Lauto	Lute
Luteetsium	Lutetium
Luterlus	Lutheranism
Luksemburg	Luxembourg
Kategooria:Luksemburg	Luxembourg
Luxembourg	Luxembourg (city)
Luxor	Luxor
Luzon	Luzon
Lüüdia	Lydia
Lynx (brauser)	Lynx (web browser)
Lyon	Lyon
LSD	Lysergic acid diethylamide
M	M
MESSENGER	MESSENGER
MS-DOS	MS-DOS
Aomen	Macau
Vana-Makedoonia	Macedon
Masin	Machine
Masinkood	Machine code
Macintosh	Macintosh
Makroökonoomika	Macroeconomics
Madagaskar	Madagascar
Kategooria:Madagaskar	Madagascar
Madeira	Madeira
Madison	Madison
Madonna (laulja)	Madonna (entertainer)
Madrid	Madrid
Madridi autonoomne piirkond	Madrid (autonomous community)
Maagia	Magic (paranormal)
Magma	Magma
Magna Carta	Magna Carta
Magneesium	Magnesium
Magnetväli	Magnetic field
Magnetresonantstomograafia	Magnetic resonance imaging
Magnetiit	Magnetite
Luup	Magnifying glass
Maharashtra	Maharashtra
Mahatma Gandhi	Mahatma Gandhi
Mahajaana	Mahayana
Main	Main
Maine	Maine
Kategooria:Maine	Maine
Mais	Maize
Major	Major
Mažoor	Major scale
Mallorca	Majorca
Makalu	Makalu
Malahhiit	Malachite
Kõrgemad vähid	Malacostraca
Malaaria	Malaria
Kategooria:Malawi	Malawi
Malaka poolsaar	Malay Peninsula
Aasia taapir	Malayan Tapir
Malaisia	Malaysia
Kategooria:Malaisia	Malaysia
Malcolm X	Malcolm X
Maldiivid	Maldives
Kategooria:Maldiivid	Maldives
Mali	Mali
Kategooria:Mali	Mali
Sinikael-part	Mallard
Malta	Malta
Kategooria:Malta	Malta
Malta keel	Maltese language
Maltoos	Maltose
Imetajad	Mammal
Mammut	Mammoth
Managua	Managua
Al-Manāmah	Manama
Manchester	Manchester
Mandžuuria	Manchuria
Mandala	Mandala
Harilik mandariinipuu	Mandarin orange
Mangaan	Manganese
Mangroov	Mangrove
Manhattan	Manhattan
Manhattani projekt	Manhattan Project
Manila	Manila
Manipur	Manipur
Manitoba provints	Manitoba
Mannheim	Mannheim
Vahevöö	Mantle (geology)
Mantra	Mantra
Mantova	Mantua
Manuel de Falla	Manuel de Falla
Mao Zedong	Mao Zedong
Kaart (kartograafia)	Map
Maputo	Maputo
Maraton	Marathon
Marmor	Marble
Marc Chagall	Marc Chagall
Marcel Duchamp	Marcel Duchamp
Marcel Proust	Marcel Proust
Märts	March
17. märts	March 17
19. märts	March 19
2. märts	March 2
25. märts	March 25
Marche	Marche
Marco Polo	Marco Polo
Marcus Aurelius	Marcus Aurelius
Marduk	Marduk
Margaret Mead	Margaret Mead
Margaret Mitchell	Margaret Mitchell
Margaret Thatcher	Margaret Thatcher
Maria Callas	Maria Callas
Mariaanid	Mariana Islands
Marie Antoinette	Marie Antoinette
Marie Curie	Marie Curie
Mariehamn	Mariehamn
Marilyn Monroe	Marilyn Monroe
Marcus Antonius	Mark Antony
Mark Twain	Mark Twain
Turg	Market
Turundus	Marketing
Marlene Dietrich	Marlene Dietrich
Markii de Sade	Marquis de Sade
Abiellumine	Marriage
Kategooria:Marss	Mars
Marseille	Marseille
Marshalli Saared	Marshall Islands
Marshalli plaan	Marshall Plan
Martin Buber	Martin Buber
Martin Heidegger	Martin Heidegger
Martin Luther	Martin Luther
Martin Luther King	Martin Luther King
Martin Scorsese	Martin Scorsese
Martin Van Buren	Martin Van Buren
Martina Navrátilová	Martina Navratilova
Martinique	Martinique
Märter	Martyr
Marksism	Marxism
Mary Shelley	Mary Shelley
Mary Wollstonecraft	Mary Wollstonecraft
Maryland	Maryland
Kategooria:Maryland	Maryland
Mashhad	Mashhad
Mass	Mass
Missa	Mass (liturgy)
Massiarv	Mass number
Massachusetts	Massachusetts
Kategooria:Massachusetts	Massachusetts
Massachusettsi Tehnoloogiainstituut	Massachusetts Institute of Technology
Mata Hari	Mata Hari
Tuletikk	Match
Matemaatiline loogika	Mathematical logic
Matemaatika	Mathematics
Kategooria:Matemaatika	Mathematics
Maatriks	Matrix (mathematics)
Aine (füüsika)	Matter
Matterhorn	Matterhorn
Mauna Kea	Mauna Kea
Mauna Loa	Mauna Loa
