Georgian	English
დეიზმი	Deism
დელავერი (შტატი)	Delaware
დელი	Delhi
დელფინი (თანავარსკვლავედი)	Delphinus
დელტა (ასო)	Delta (letter)
წარღვნა	Deluge (mythology)
დემეტრა	Demeter
დემოკრატია	Democracy
დემოკრატიული პარტია (აშშ)	Democratic Party (United States)
კონგოს დემოკრატიული რესპუბლიკა	Democratic Republic of the Congo
კატეგორია:კონგოს დემოკრატიული რესპუბლიკა	Democratic Republic of the Congo
დემოსთენე	Demosthenes
დენი დიდრო	Denis Diderot
დანია	Denmark
კატეგორია:დანია	Denmark
დენვერი	Denver
კატეგორია:უდაბნოები	Deserts
დიზაინი	Design
დეზმონდ ტუტუ	Desmond Tutu
დეტროიტი	Detroit
ნამი	Dew
დაკა	Dhaka
დჰარმა	Dharma
წითელი მგელი	Dhole
შაქრის დიაბეტი	Diabetes mellitus
დიალექტიკა	Dialectic
დიალექტიკური მატერიალიზმი	Dialectical materialism
ბრილიანტი	Diamond
დიასპორა	Diaspora
კაჟოვანი წყალმცენარეები	Diatom
დიქტატურა	Dictatorship
დიეგო რივერა	Diego Rivera
დიფერენციალური განტოლებები	Differential equation
კამა (მცენარე)	Dill
დინგო	Dingo
დინოზავრები	Dinosaur
დიოკლეტიანე	Diocletian
დიოდი	Diode
დიონისე	Dionysus
დიპლოდოკი	Diplodocus
კატეგორია:დიპლომატია	Diplomacy
კატეგორია:მრავალმნიშვნელოვანი	Disambiguation
დისკ-ჟოკეი	Disc jockey
დისკრიმინაცია	Discrimination
დიმიტრი მენდელეევი	Dmitri Mendeleev
დიმიტრი შოსტაკოვიჩი	Dmitri Shostakovich
ძაღლი	Dog
დოჰა	Doha
დოლი (ცხვარი)	Dolly (sheep)
დოლმენი	Dolmen
დომენური სახელი	Domain name
კამარა	Dome
დომინიკელთა რესპუბლიკა	Dominican Republic
კატეგორია:დომინიკელთა რესპუბლიკა	Dominican Republic
დომიციანე	Domitian
დონალდ დაკი	Donald Duck
დონატელო	Donatello
დონეცკი	Donetsk
ვირი	Donkey
დორის ლესინგი	Doris Lessing
დორტმუნდი	Dortmund
კონტრაბასი	Double bass
დაუნის სინდრომი	Down syndrome
დრამა	Drama
დრეზდენი	Dresden
ნარკომანია	Drug addiction
დრუიდები	Druid
დუალიზმი	Dualism
დუბლინი	Dublin
იხვები	Duck
დიუკ ელინგტონი	Duke Ellington
დუშანბე	Dushanbe
დასტინ ჰოფმანი	Dustin Hoffman
კატეგორია:ჰოლანდიელები	Dutch people
დუაიტ ეიზენჰაუერი	Dwight D. Eisenhower
E	E
არწივი	Eagle
ყურებიანი სელაპი	Eared seal
სელაპისებრნი	Earless seal
დედამიწა	Earth
კატეგორია:დედამიწა	Earth
დედამიწის მეცნიერებები	Earth science
მიწისძვრა	Earthquake
აღმოსავლეთი აფრიკა	East Africa
აღმოსავლეთ ჩინეთის ზღვა	East China Sea
გერმანიის დემოკრატიული რესპუბლიკა	East Germany
აღმოსავლეთი ტიმორი	East Timor
აღდგომა	Easter
კანეკლიანები	Echinoderm
ეკოლოგია	Ecology
კატეგორია:ეკოლოგია	Ecology
ეკონომიკა	Economics
კატეგორია:ეკონომიკა	Economics
ეკვადორი	Ecuador
ედგარ ალან პო	Edgar Allan Poe
ედგარ დეგა	Edgar Degas
ედინბურგი	Edinburgh
ედმუნდ ჰალეი	Edmond Halley
ედმუნდ ჰილარი	Edmund Hillary
ედმუნდ ჰუსერლი	Edmund Husserl
განათლება	Education
კატეგორია:განათლება	Education
ედვარდ მუნკი	Edvard Munch
ედუარდ აღმსარებელი	Edward the Confessor
ედუინ ჰაბლი	Edwin Hubble
გველთევზასნაირნი	Eel
ბადრიჯანი	Eggplant
ეგვიპტე	Egypt
კატეგორია:ეგვიპტე	Egypt
ეგვიპტოლოგია	Egyptology
ეიფელის კოშკი	Eiffel Tower
აინშტაინიუმი	Einsteinium
ელ გრეკო	El Greco
ელ-პასო	El Paso
სალვადორი	El Salvador
ელამი	Elam
ელექტროგიტარა	Electric guitar
ელექტრობა	Electricity
კატეგორია:ელექტროენერგია	Electricity
ელექტრონი	Electron
ელექტრონიკა	Electronics
ელეგია (პოეზია)	Elegy
სპილოსებრნი	Elephant
ელია კაზანი	Elia Kazan
ელიას კანეტი	Elias Canetti
ელა ფიცჯერალდი	Ella Fitzgerald
ელიფსი	Ellipse
ელვის პრესლი	Elvis Presley
ემბრიოლოგია	Embryology
ემილია-რომანია	Emilia-Romagna
ემილიანო საპატა	Emiliano Zapata
ამირა	Emir
სიცილაკი	Emoticon
იმპერატორი	Emperor
იმპერია	Empire
ემპაია სტეიტ ბილდინგი	Empire State Building
ენციკლოპედია	Encyclopedia
ენდემები	Endemism
ენდოკრინოლოგია	Endocrinology
ენერგია	Energy
კატეგორია:ენერგია	Energy
საინჟინრო მეცნიერება	Engineering
კატეგორია:საინჟინრო მეცნიერება	Engineering
ინგლისი	England
კატეგორია:ინგლისი	England
ლა-მანშის სრუტე	English Channel
ინგლისური ენა	English language
კატეგორია:ინგლისური ენა	English language
კატეგორია:ინგლისელები	English people
ენრიკო კარუზო	Enrico Caruso
კატეგორია:გართობა	Entertainment
ენტომოლოგია	Entomology
კატეგორია:ენტომოლოგია	Entomology
ფერმენტები	Enzyme
ნათლისღება	Epiphany (Christian)
ეპისტემოლოგია	Epistemology
ეფსილონი (ასო)	Epsilon
განტოლება	Equation
ეკვატორი	Equator
ეკვატორული გვინეა	Equatorial Guinea
ბუნიაობა	Equinox
ერატოსთენე	Eratosthenes
მანანასებრნი	Ericaceae
ერისი	Eris (dwarf planet)
ერნესტ ჰემინგუეი	Ernest Hemingway
ერნესტ რეზერფორდი	Ernest Rutherford
ეროსი (ღვთაება)	Eros (mythology)
ერვინ რომელი	Erwin Rommel
ისპაჰანი	Esfahan
ესპერანტო	Esperanto
შპიონაჟი	Espionage
ესპოო	Espoo
ესეი	Essay
კატეგორია:ესტონეთი	Estonia
ეტა (ასო)	Eta (letter)
კატეგორია:ეთიკა	Ethics
ეთიოპია	Ethiopia
კატეგორია:ეთიოპია	Ethiopia
ეტიმოლოგია	Etymology
ევკალიპტი	Eucalyptus
ზიარება	Eucharist
ევკლიდე	Euclid
ევფემიზმი	Euphemism
ევრაზია	Eurasia
მაჩვი	Eurasian Badger
ევრო	Euro
ევროპა	Europe
კატეგორია:ევროპა	Europe
ევროპის ცენტრალური ბანკი	European Central Bank
კაჭკაჭი	European Magpie
ევროპის კავშირი	European Union
კატეგორია:ევროპის კავშირი	European Union
ევანჯელისტა ტორიჩელი	Evangelista Torricelli
ევოლუცია	Evolution
ექსჰიბიციონიზმი	Exhibitionism
ეგზისტენციალიზმი	Existentialism
მსოფლიო ექსპოზიცია	Expo (exhibition)
მაჩვენებლიანი ფუნქცია	Exponential function
ექსპრესიონიზმი	Expressionism
თვალი	Eye
F	F
თარგი:ფაქტი	Fact
ზღაპარი	Fairy tale
ბაზი (ფრინველი)	Falcon
შავარდნისნაირნი	Falconiformes
ოჯახი (ბიოლოგია)	Family (biology)
გენეალოგია	Family history
ფაშიზმი	Fascism
კატეგორია:ფაშიზმი	Fascism
კატეგორია:მოდა	Fashion
მოდა	Fashion
ფასტფუდი	Fast food
მარხვა	Fasting
ფოვიზმი	Fauvism
თებერვალი	February
12 თებერვალი	February 12
14 თებერვალი	February 14
2 თებერვალი	February 2
22 თებერვალი	February 22
29 თებერვალი	February 29
ფედერალური სარეზერვო სისტემა	Federal Reserve System
Fedora Core	Fedora (Linux distribution)
კატისებრნი	Felidae
ფელიქს მენდელსონ-ბართოლდი	Felix Mendelssohn
ფემინიზმი	Feminism
ფარიკაობა	Fencing
უცხო სუნელი	Fenugreek
ფერნანდო მაგელანი	Ferdinand Magellan
ფერდინანდ დე სოსიური	Ferdinand de Saussure
ფეოდალიზმი	Feudalism
კატეგორია:გამონაგონი	Fiction
პერსონაჟი	Fictional character
ფიდელ კასტრო	Fidel Castro
ფიჯი	Fiji
FTP	File Transfer Protocol
კატეგორია:კინო	Film
პორტალი:კინო	Film
კატეგორია:ფინანსები	Finance
ფინეთი	Finland
კატეგორია:ფინეთი	Finland
პირველი ჯვაროსნული ლაშქრობა	First Crusade
პირველადი სამედიცინო დახმარება	First aid
დედაენა	First language
თევზები	Fish
კატეგორია:თევზები	Fish
ფიორდი	Fjord
ბრტყელი ჭიები	Flatworm
ფლორენცია	Florence
ფლორიდა (შტატი)	Florida
კატეგორია:ფლორიდა	Florida
ნისლი	Fog
ფუტი	Foot (unit of length)
ფეხბურთი	Football (soccer)
კატეგორია:ფეხბურთი	Football (soccer)
კატეგორია:ფეხბურთი ქვეყნების მიხედვით	Football (soccer) by country
კატეგორია:საფეხბურთო კლუბები	Football (soccer) clubs
კატეგორია:ფეხბურთის მწვრთნელები	Football (soccer) managers
კატეგორია:ფეხბურთელები	Football (soccer) players
კატეგორია:საფეხბურთო სტადიონები	Football (soccer) venues
აკრძალული ქალაქი	Forbidden City
ძალა	Force
ტყე	Forest
ფორტ უორზი	Fort Worth
მელა	Fox
ფრაქტალი	Fractal
საფრანგეთი	France
კატეგორია:საფრანგეთი	France
ფრენსის დრეიკი	Francis Drake
ფრანც II (სრი)	Francis II
ფრანსისკო ფრანკო	Francisco Franco
ფრანსისკო გოია	Francisco Goya
ფრანსისკო პისარო	Francisco Pizarro
ფრანციუმი	Francium
ფრენკ ლოიდ რაიტი	Frank Lloyd Wright
ფრენკ სინატრა	Frank Sinatra
მაინის ფრანკფურტი	Frankfurt
ფრანკფურტ-ან-დერ-ოდერი	Frankfurt (Oder)
ფრანკფურტი	Frankfurt (disambiguation)
ფრანკლინ პირსი	Franklin Pierce
ფრანს ჰალსი	Frans Hals
ფრანც კაფკა	Franz Kafka
ფერენც ლისტი	Franz Liszt
ფრანც შუბერტი	Franz Schubert
ფრედ ასტერი	Fred Astaire
საფრანგეთის რევოლუცია	French Revolution
კატეგორია:საფრანგეთის რევოლუცია	French Revolution
კატეგორია:ფრანგები	French people
სიხშირე	Frequency
ფრესნო	Fresno
პარასკევი	Friday
ფრიდრიხ ენგელსი	Friedrich Engels
ფრეგატი	Frigate
ფრიული-ვენეცია-ჯულია	Friuli-Venezia Giulia
კატეგორია:ხილი	Fruit
საწვავი	Fuel
სავსე მთვარე	Full moon
ფუნქცია (მათემატიკა)	Function (mathematics)
კატეგორია:ძირითადი კატეგორიები	Fundamental
კატეგორია:სოკოები	Fungi
სოკოები	Fungus
კატეგორია:ავეჯი	Furniture
ფუტურიზმი	Futurism (art)
თედორე დოსტოევსკი	Fyodor Dostoevsky
G	G
გაბონი	Gabon
გაბრიელ მთავარანგელოზი	Gabriel
გეა	Gaia (mythology)
გალისია	Galicia (Spain)
გალილეო გალილეი	Galileo Galilei
ქათმისნაირნი	Galliformes
თამაში	Game
გამა (ასო)	Gamma
განეშა	Ganesha
განჯა	Ganja
გრანატები	Garnet
აირი	Gas
გეი	Gay
ღაზის სექტორი	Gaza Strip
გეიშა	Geisha
მარჩბივი (თანავარსკვლავედი)	Gemini (constellation)
გენი	Gene
გენეალოგია	Genealogy
კატეგორია:გენეალოგია	Genealogy
გენერალი	General Officer
ჯენესისი	Genesis
გენეტიკა	Genetics
კატეგორია:გენეტიკა	Genetics
ჟენევა	Geneva
გენუა	Genoa
გენოციდი	Genocide
კატეგორია:გენოციდი	Genocide
კატეგორია:გეოდეზია	Geodesy
გეოგრაფია	Geography
კატეგორია:გეოგრაფია	Geography
პორტალი:გეოგრაფია	Geography
კატეგორია:გეოლოგია	Geology
გეომეტრიული პროგრესია	Geometric progression
გეომეტრია	Geometry
კატეგორია:გეომეტრია	Geometry
კატეგორია:გეომორფოლოგია	Geomorphology
კატეგორია:გეოფიზიკა	Geophysics
გეოპოლიტიკა	Geopolitics
გეორგ ვილჰელმ ფრიდრიხ ჰეგელი	Georg Wilhelm Friedrich Hegel
ჯორჯ ბერნარდ შოუ	George Bernard Shaw
ჯორჯ ბუში	George Bush
გეორგ ფრიდრიხ ჰენდელი	George Frideric Handel
ჯორჯ გერშვინი	George Gershwin
ჯორჯ ჰარისონი	George Harrison
ჯორჯ მარშალი	George Marshall
ჯორჯ ორუელი	George Orwell
ჯორჯ უოლკერ ბუში	George W. Bush
ჯორჯ ვაშინგტონი	George Washington
ჟორჟ სიმენონი	Georges Simenon
ჯორჯია	Georgia (U.S. state)
საქართველო	Georgia (country)
კატეგორია:საქართველო	Georgia (country)
ჯერალდ ფორდი	Gerald Ford
გერმანული ენა	German language
კატეგორია:გერმანული ენა	German language
გერმანია	Germany
კატეგორია:გერმანია	Germany
ჯერონიმო	Geronimo
გესტაპო	Gestapo
გეიზერი	Geyser
განა	Ghana
კატეგორია:განა	Ghana
გენტი	Ghent
გეტო	Ghetto
ჯაკომო პუჩინი	Giacomo Puccini
ბამბუკის დათვი	Giant Panda
გიბონისებრნი	Gibbon
გიბრალტარი	Gibraltar
გილგამეში	Gilgamesh
გინკგო	Ginkgo
ჯორდანო ბრუნო	Giordano Bruno
ჯოვანი ბოკაჩო	Giovanni Boccaccio
ჟირაფი	Giraffe
ჯუზეპე გარიბალდი	Giuseppe Garibaldi
ჯუზეპე ვერდი	Giuseppe Verdi
გლაზგო	Glasgow
გლობალური დათბობა	Global warming
გლობალიზაცია	Globalization
გლუკოზა	Glucose
გოა (შტატი)	Goa
თხა	Goat
გობი (უდაბნო)	Gobi Desert
ღმერთი	God
ოქრო	Gold
გოლდა მეირი	Golda Meir
მთის არწივი	Golden Eagle
გოლდენ გეიტი (ხიდი)	Golden Gate Bridge
დიდი პარასკევი	Good Friday
გუგლი	Google
გორგონები	Gorgon
გორილა	Gorilla
გოთიკა (მრავალმნიშვნელოვანი)	Gothic
გოტიკური არქიტექტურა	Gothic architecture
გოტჰოლდ ეფრაიმ ლესინგი	Gotthold Ephraim Lessing
გრეის კელი	Grace Kelly
გრაფიტი	Graffiti
გრამატიკა	Grammar
კატეგორია:გრამატიკა	Grammar
კატეგორია:გრაფიკული დიზაინი	Graphic design
გრაფიზმი	Graphic design
მგელი	Gray Wolf
გრაცი	Graz
დიდი ბრიტანეთი (კუნძული)	Great Britain
დიდი დეპრესია	Great Depression
ჩინეთის დიდი კედელი	Great Wall of China
თეთრი ზვიგენი	Great white shark
საბერძნეთი	Greece
კატეგორია:საბერძნეთი	Greece
ბერძნული დამწერლობა	Greek alphabet
კატეგორია:ბერძნული ანბანი	Greek alphabet
ბერძნული მითოლოგია	Greek mythology
კატეგორია:ბერძნული მითოლოგია	Greek mythology
სათბურის ეფექტი	Greenhouse effect
სათბურის აირები	Greenhouse gas
გრენლანდია	Greenland
კატეგორია:გრენლანდია	Greenland
გრიგორიანული კალენდარი	Gregorian calendar
გრეტა გარბო	Greta Garbo
ჯგუფი	Group
ჯგუფი (მათემატიკა)	Group (mathematics)
ჯგუფთა თეორია	Group theory
გროვერ კლივლენდი	Grover Cleveland
გროზნო	Grozny
წეროსნაირნი	Gruiformes
გვადალახარა	Guadalajara
გერნსი	Guernsey
გიიომ აპოლინერი	Guillaume Apollinaire
გვინეა	Guinea
გვინეა-ბისაუ	Guinea-Bissau
გუჯარათი	Gujarat
გულაგი	Gulag
სპარსეთის ყურის ომი (1990-1991)	Gulf War
გუსტავ კლიმტი	Gustav Klimt
გუსტავ მალერი	Gustav Mahler
გუსტავ კურბე	Gustave Courbet
გუსტავ ფლობერი	Gustave Flaubert
გი დე მოპასანი	Guy de Maupassant
ტანვარჯიში	Gymnastics
H	H
ჰიპერტექსტური მარკირების ენა	HTML
ჰაკერი	Hacker
ჰადესი	Hades
ადრიანე	Hadrian
ადრიანეს კედელი	Hadrian's Wall
აია-სოფიას ტაძარი	Hagia Sophia
ჰაიფა	Haifa
ჰაიკუ	Haiku
თმა	Hair
ჰაიტი	Haiti
კატეგორია:ჰაიტი	Haiti
ჰალე (ზაალე)	Halle
ჰალუცინაცია	Hallucination
ჰამასი	Hamas
ჰამბურგი	Hamburg
ჰამლეტი	Hamlet
ხამურაბი	Hammurabi
ჩამოხრჩობა	Hanging
ბაბილონის დაკიდული ბაღები	Hanging Gardens of Babylon
ჰანიბალი	Hannibal
ჰანოი	Hanoi
ჰანოვერი	Hanover
ჰანს კრისტიან ანდერსენი	Hans Christian Andersen
ჰანუმანი	Hanuman
ბედნიერება	Happiness
ჰარლემი	Harlem
ჰაროლდ პინტერი	Harold Pinter
ზემო ნორმანდია	Haute-Normandie
ჰავანა	Havana
ჰავაი (შტატი)	Hawaii
თხილი	Hazel
კატეგორია:ჯანმრთელობა	Health
გული (ორგანო)	Heart
კატეგორია:ჰევი მეტალი	Heavy metal
ებრაული დამწერლობა	Hebrew alphabet
ჰეკატე	Hecate
ჰექტარი	Hectare
ჰექტორ ბერლიოზი	Hector Berlioz
ჰაინრიხ რუდოლფ ჰერცი	Heinrich Hertz
ჰაინრიხ ჰიმლერი	Heinrich Himmler
ჰაინრიხ შლიმანი	Heinrich Schliemann
ჰელიოსი	Helios
ჰელიუმი	Helium
ჰელმუტ შმიდტი	Helmut Schmidt
ჰელსინკი	Helsinki
ანრი მატისი	Henri Matisse
ჰენრიკ იბსენი	Henrik Ibsen
ჰენრი ჯეიმსი	Henry James
ჰენრი მური	Henry Moore
ჰეფესტოსი	Hephaestus
ჰერა	Hera
ჰერაკლე (მითოლოგია)	Heracles
ჰერალდიკა	Heraldry
კატეგორია:ჰერალდიკა	Heraldry
ჰერბერტ ჰუვერი	Herbert Hoover
ჰერაკლე (მითოლოგია)	Hercules
ჰერმან მელვილი	Herman Melville
ჰერმან ჰესე	Hermann Hesse
ჰერმესი (მითოლოგია)	Hermes
ჰესენი	Hesse
კატეგორია:ჰესენი	Hesse
ჰესტია	Hestia
ჰეტეროსექსუალობა	Heterosexuality
ჰიდეკი იუკავა	Hideki Yukawa
ჰიერონიმუს ბოსხი	Hieronymus Bosch
ჰიმალაი	Himalayas
ინდუიზმი	Hinduism
კატეგორია:ინდუიზმი	Hinduism
ჰიპოკრატე	Hippocrates
ბეჰემოთი	Hippopotamus
ჰიროჰიტო	Hirohito
ჰიროსიმა	Hiroshima
ჰაიტი (კუნძული)	Hispaniola
ჰისტოლოგია	Histology
ისტორიოგრაფია	Historiography
ისტორია	History
კატეგორია:ისტორია	History
პორტალი:ისტორია	History
ხო ში მინი	Ho Chi Minh
ჰობი	Hobby
დღესასწაული	Holiday
ჰოლივუდი	Hollywood
საღვთო რომის იმპერია	Holy Roman Empire
კატეგორია:საღვთო რომის იმპერია	Holy Roman Empire
ჰომეროსი	Homer
ადამიანის მსგავსი მაიმუნები	Hominidae
ომონიმია	Homonym
ჰომოფობია	Homophobia
ჰომოსექსუალობა	Homosexuality
ჰონდურასი	Honduras
ბოლოკარკაზი	Honey Buzzard
ჰონკონგი	Hong Kong
კატეგორია:ჰონკონგი	Hong Kong
ჰონოლულუ	Honolulu
ჰორაციუსი	Horace
ჰორაციო ნელსონი	Horatio Nelson
ჰორმონი	Hormone
ჰოროსკოპი	Horoscope
ცხენი	Horse
ჰორი	Horus
სახლი	House
ჰიუსტონი	Houston
ჰოუარდ კარტერი	Howard Carter (archaeologist)
ჰუდზონი (მდინარე)	Hudson River
ჰუგო კაპეტი	Hugh Capet
ჰუგენოტები	Huguenot
ადამიანი	Human
კოლიბრები	Hummingbird
კატეგორია:იუმორი	Humor
იუმორი	Humour
ასწლიანი ომი	Hundred Years' War
უნგრეთი	Hungary
კატეგორია:უნგრეთი	Hungary
წყალბადი	Hydrogen
კატეგორია:ჰიდროლოგია	Hydrology
აფთარი	Hyena
კატეგორია:სიფრიფანაფრთიანები	Hymenoptera
ჰიპერბოლა	Hyperbola
ჰიპერტექსტი	Hypertext
I	I
იუჰ მინ პეი	I. M. Pei
აიპოდი	IPod
პირენეის ნახევარკუნძული	Iberian Peninsula
ყინული	Ice
ისლანდია	Iceland
კატეგორია:ისლანდია	Iceland
იქთიოლოგია	Ichthyology
ხატი	Icon
აიდაჰო	Idaho
იდეალიზმი	Idealism
იდეოლოგია	Ideology
იდო	Ido
იგლუ	Igloo
იგნასიო ლოიოლა	Ignatius of Loyola
იგორ სტრავინსკი	Igor Stravinsky
ილინოისი (შტატი)	Illinois
კატეგორია:ილინოისი	Illinois
ილირია	Illyria
იმამი	Imam
იმანუელ კანტი	Immanuel Kant
იმპერიალიზმი	Imperialism
იმპრესიონიზმი	Impressionism
ინდოეთი	India
კატეგორია:ინდოეთი	India
ინდოეთის ოკეანე	Indian Ocean
კატეგორია:ინდოეთის ოკეანე	Indian Ocean
ინდიანა	Indiana
ინდიანაპოლისი	Indianapolis
ინდირა განდი	Indira Gandhi
ინდონეზია	Indonesia
კატეგორია:ინდონეზია	Indonesia
ინდრა	Indra
ინდულგენცია	Indulgence
ინდოელი (თანავარსკვლავედი)	Indus (constellation)
კატეგორია:ინდუსტრია	Industry
ინფექციური დაავადებები	Infectious disease
ინფლაცია	Inflation
გრიპი	Influenza
ინფორმაცია	Information
საინფორმაციო ტექნოლოგია	Information technology
ინფორმაციის თეორია	Information theory
ინგმარ ბერგმანი	Ingmar Bergman
ინგრიდ ბერგმანი	Ingrid Bergman
შიგა მონღოლეთი	Inner Mongolia
ინსბრუკი	Innsbruck
კატეგორია:არაორგანული ქიმია	Inorganic chemistry
ინტეგრალი	Integral
საკონტინენტთაშორისო ბალისტიკური რაკეტა	Intercontinental ballistic missile
ინტერლინგუა	Interlingua
გაეროს საერთაშორისო სასამართლო	International Court of Justice
საერთაშორისო სავალუტო ფონდი	International Monetary Fund
ერთეულთა საერთაშოირისო სისტემა	International System of Units
კატეგორია:საერთაშორისო სამართალი	International law
საერთაშორისო ორგანიზაცია	International organization
ინტერნეტი	Internet
კატეგორია:ინტერნეტი	Internet
Internet Explorer	Internet Explorer
ინტერვალი (მუსიკა)	Interval (music)
უხერხემლოები	Invertebrate
იო (თანამგზავრი)	Io (moon)
იო (მითოლოგია)	Io (mythology)
იოტა (ასო)	Iota
აიოვა	Iowa
ირანი	Iran
კატეგორია:ირანი	Iran
ირან-ერაყის ომი	Iran-Iraq War
ერაყი	Iraq
კატეგორია:ერაყი	Iraq
კატეგორია:ირლანდია	Ireland
კატეგორია:ირლანდიელები	Irish people
რკინა	Iron
რკინის ხანა	Iron Age
რკინის ფარდა	Iron Curtain
ირონია	Irony
ირაციონალური რიცხვი	Irrational number
ისააკ ნიუტონი	Isaac Newton
აისედორა დუნკანი	Isadora Duncan
ისიდა	Isis
ისლამი	Islam
კატეგორია:ისლამი	Islam
ისლამაბადი	Islamabad
ჰიჯრა (კალენდარი)	Islamic calendar
კუნძული	Island
კუნძული მენი	Isle of Man
ისრაელი	Israel
კატეგორია:ისრაელი	Israel
სტამბოლი	Istanbul
კატეგორია:სტამბოლი	Istanbul
აპენინის ნახევარკუნძული	Italian Peninsula
იტალია	Italy
კატეგორია:იტალია	Italy
ივანე პავლოვი	Ivan Pavlov
აივი ლიგა	Ivy League
J	J
ჯერომ სელინჯერი	J. D. Salinger
ჯეკ კერუაკი	Jack Kerouac
ჯეკ ლონდონი	Jack London
ჭკა	Jackdaw
ჯექსონ პოლოკი	Jackson Pollock
ჯექსონვილი	Jacksonville
ჟაკ დერიდა	Jacques Derrida
ჟაკ ოფენბახი	Jacques Offenbach
ჯაკარტა	Jakarta
იამაიკა	Jamaica
კატეგორია:იამაიკა	Jamaica
ჯეიმზ გარფილდი	James A. Garfield
ჯეიმზ ბიუკენენი	James Buchanan
ჯეიმზ კუკი	James Cook
ჯეიმზ ჯოისი	James Joyce
ჯეიმზ ნოქს პოლკი	James K. Polk
ჯეიმზ მედისონი	James Madison
ჯეიმზ მონრო	James Monroe
ჯეიმზ პრესკოტ ჯოული	James Prescott Joule
ჯამუ და ქაშმირი	Jammu and Kashmir
იან ჰუსი	Jan Hus
იან ვან ეიკი	Jan van Eyck
ჯეინ ოსტინი	Jane Austen
ჯენის ჯოპლინი	Janis Joplin
იანვარი	January
1 იანვარი	January 1
19 იანვარი	January 19
20 იანვარი	January 20
6 იანვარი	January 6
იანუსი (ღმერთი)	Janus (mythology)
იაპონია	Japan
კატეგორია:იაპონია	Japan
იასონი	Jason
ჯავა (პროგრამირების ენა)	Java (programming language)
ჯავაჰარლალ ნერუ	Jawaharlal Nehru
ჯაზი	Jazz
კატეგორია:ჯაზი	Jazz
ჟან-ჟაკ რუსო	Jean-Jacques Rousseau
ჟან-პოლ სარტრი	Jean-Paul Sartre
ჯიდა	Jeddah
ჯერსი	Jersey
იერუსალიმი	Jerusalem
კატეგორია:იერუსალიმი	Jerusalem
იესო ქრისტე	Jesus
ებრაელები	Jew
ჯიმი ჰენდრიქსი	Jimi Hendrix
ჯიმი კარტერი	Jimmy Carter
ჟან დ'არკი	Joan of Arc
იოჰან სებასტიან ბახი	Johann Sebastian Bach
იოჰან ვოლფგანგ ფონ გოეთე	Johann Wolfgang von Goethe
იოჰანეს ბრამსი	Johannes Brahms
იოჰან გუტენბერგი	Johannes Gutenberg
იოჰანეს კეპლერი	Johannes Kepler
იოჰანესბურგი	Johannesburg
ჯონ ადამსი	John Adams
ჟან კალვინი	John Calvin
იოანე ოქროპირი (ბიზანტია)	John Chrysostom
ჯონ დალტონი	John Dalton
ჯონ დიუი	John Dewey
ჯონ გოლზუორთი	John Galsworthy
ჯონ ლენონი	John Lennon
ჯონ მეინარდ კეინსი	John Maynard Keynes
ჯონ მილტონი	John Milton
ჯონ კუინსი ადამსი	John Quincy Adams
ჯონ რესკინი	John Ruskin
ჯონ სტაინბეკი	John Steinbeck
ჯონ ტაილერი	John Tyler
ჯონ უიკლიფი	John Wycliffe
იოანე ნათლისმცემელი	John the Baptist
ჯონ ფონ ნოიმანი	John von Neumann
ჯონი კეში	Johnny Cash
იორდანია	Jordan
კატეგორია:იორდანია	Jordan
ხორხე ლუის ბორხესი	Jorge Luis Borges
იოზეფ გებელსი	Joseph Goebbels
იოზეფ ჰაიდნი	Joseph Haydn
იოსებ სტალინი	Joseph Stalin
კატეგორია:ჟურნალისტიკა	Journalism
იუდაიზმი	Judaism
კატეგორია:იუდაიზმი	Judaism
იუდეა	Judea
ძიუდო	Judo
ჯუდი გარლანდი	Judy Garland
იულიუსის კალენდარი	Julian calendar
იულიან განდგომილი	Julian the Apostate
იულიუს კეისარი	Julius Caesar
ივლისი	July
1 ივლისი	July 1
4 ივლისი	July 4
ივნისი	June
14 ივნისი	June 14
21 ივნისი	June 21
23 ივნისი	June 23
24 ივნისი	June 24
29 ივნისი	June 29
3 ივნისი	June 3
ჯუნო	Juneau
იუნონა	Juno (mythology)
იუპიტერი (პლანეტა)	Jupiter
კატეგორია:იუპიტერი	Jupiter
იუპიტერი (ღმერთი)	Jupiter (mythology)
იურული სისტემა	Jurassic
K	K
კ2	K2
ქაბული	Kabul
კალაჰარი	Kalahari Desert
კამიკაძე	Kamikaze
კანდაგარი	Kandahar
კანზასი	Kansas
კანზას-სიტი	Kansas City
კაპა (ასო)	Kappa
კარაჩი	Karachi
კარაოკე	Karaoke
კარლ მარქსი	Karl Marx
კარმა	Karma
კარნატაკა	Karnataka
ქეთრინ ჰეპბერნი	Katharine Hepburn
კატმანდუ	Kathmandu
კატოვიცე	Katowice
კაუნასი	Kaunas
ყაზახეთი	Kazakhstan
კატეგორია:ყაზახეთი	Kazakhstan
ყაზანი	Kazan
კაზიმირ მალევიჩი	Kazimir Malevich
კელვინი	Kelvin
კენტუკი (შტატი)	Kentucky
კენია	Kenya
ხარკოვი	Kharkiv
წითელი ქმერები	Khmer Rouge
ხეოფსი	Khufu
კიევი	Kiev
კიგალი	Kigali
კილოგრამი	Kilogram
კინემატიკა	Kinematics
მეფე ლირი	King Lear
კინშასა	Kinshasa
კირიბატი	Kiribati
კნუტ ჰამსუნი	Knut Hamsun
კობე	Kobe
კოლკატა	Kolkata
