Esperanto	English
Bridgetown	Bridgetown
Brajtono	Brighton
Brindisi	Brindisi
Brisbano	Brisbane
Bristol	Bristol
Brita Kolumbio	British Columbia
Brita imperio	British Empire
Britaj Insuloj	British Isles
Britaj Virgulininsuloj	British Virgin Islands
Kategorio:Britoj	British people
Brno	Brno
Broadway	Broadway (New York City)
Brokolo	Broccoli
Bromo	Bromine
Bronzo	Bronze
Bronzepoko	Bronze Age
Broklino	Brooklyn
Bruna	Brown
Bruna urso	Brown Bear
Bruce Lee	Bruce Lee
Bruĝo	Bruges
Brunejo	Brunei
Kategorio:Brunejo	Brunei
Bruselo	Brussels
Pesto	Bubonic plague
Bukareŝto	Bucharest
Palaco Buckingham	Buckingham Palace
Buckminster Fuller	Buckminster Fuller
Budapeŝto	Budapest
Budho	Buddha
Budhismo	Buddhism
Kategorio:Budhismo	Buddhism
Buddy Holly	Buddy Holly
Bonaero	Buenos Aires
Bufalo	Buffalo
Konstruaĵo	Building
Buĵumburo	Bujumbura
Bulgario	Bulgaria
Kategorio:Bulgario	Bulgaria
Burdo	Bumblebee
Flosemo	Buoyancy
Urbestro	Burgomaster
Burkino	Burkina Faso
Kategorio:Burkino	Burkina Faso
Birmo	Burma
Kategorio:Birmo	Burma
Burĥo	Burqa
Bursa	Bursa
Kategorio:Burundo	Burundi
Aŭtobuso	Bus
Kategorio:Entreprenistoj	Businesspeople
Buster Keaton	Buster Keaton
Butano (kemio)	Butane
Butero	Butter
Papilio	Butterfly
Bydgoszcz	Bydgoszcz
Bitoko	Byte
C	C
C (programlingvo)	C (programming language)
C. S. Lewis	C. S. Lewis
Cd	CD (disambiguation)
COBOL	COBOL
Kabaredo	Cabaret
Kaŝmemoro	Cache
Kakto	Cactus
Kadmio	Cadmium
Kadmo	Cadmus
Ĉizilo (konstelacio)	Caelum
Cezio	Caesium
Kafeino	Caffeine
Kairo	Cairo
Kuko	Cake
Kalabrio	Calabria
Calais	Calais
Kalcito	Calcite
Kalcio	Calcium
Kalko	Calcium oxide
Kalkulilo	Calculator
Infinitezima kalkulo	Calculus
Kaldero	Caldera
Kalendaro	Calendar
Kalibro	Caliber
Kalifornio	California
Kategorio:Kalifornio	California
Kaliforniumo	Californium
Kaligulo	Caligula
Kalifo	Caliph
Araba imperio	Caliphate
Kaligrafio	Calligraphy
Kaliopo	Calliope
Kalistoo	Callisto (moon)
Kalorio	Calorie
Calvados	Calvados
Golgoto	Calvary
Calvin Coolidge	Calvin Coolidge
Kalvinismo	Calvinism
Kalipso	Calypso (mythology)
Kamboĝo	Cambodia
Kategorio:Kamboĝo	Cambodia
Kambrio	Cambrian
Kembriĝo (Britio)	Cambridge
Kembriĝo (Masaĉuseco)	Cambridge
Kembriĝo	Cambridge (disambiguation)
Kamelo	Camel
Fotilo	Camera
Kameruno	Cameroon
Kategorio:Kameruno	Cameroon
Kampanio	Campania
Kanado	Canada
Kategorio:Kanado	Canada
Kanalo	Canal
Kanarioj	Canary Islands
Kategorio:Kanarioj	Canary Islands
Kanbero	Canberra
Kancero (medicino)	Cancer
Kankro (konstelacio)	Cancer (constellation)
Kandelo (mezurunuo)	Candela
Kandelo	Candle
Kanisedoj	Canidae
Granda Hundo	Canis Major
Malgranda Hundo (konstelacio)	Canis Minor
Kanabo	Cannabis
Mariĥuano	Cannabis (drug)
Cannes	Cannes
Kanibalismo	Cannibalism
Kanono	Cannon
Kanuo	Canoe
Canon	Canon (company)
Kantato	Cantata
Canterbury	Canterbury
Kantona lingvo	Cantonese (linguistics)
Kapacitanco	Capacitance
Kondensatoro	Capacitor
Cape Canaveral	Cape Canaveral
Kaburbo	Cape Town
Kabo-Verdo	Cape Verde
Kategorio:Kabo-Verdo	Cape Verde
Bonespera Kabo	Cape of Good Hope
Ĉefurbo	Capital
Kapitalo	Capital (economics)
Mortpuno	Capital punishment
Kapitalismo	Capitalism
Kapadokio	Cappadocia
Kaprikorno (konstelacio)	Capricornus
Kapsiko	Capsicum
Karakalo (besto)	Caracal
Karakaso	Caracas
Karambolfrukto	Carambola
Karato	Carat (mass)
Karato	Carat (purity)
Karbonhidrato	Carbohydrate
Karbono	Carbon
Karbona dioksido	Carbon dioxide
Karbona monooksido	Carbon monoxide
Karbonata acido	Carbonic acid
Karbonio	Carboniferous
Karburilo	Carburetor
Kartludo	Card game
Kardamomo	Cardamom
Cardiff	Cardiff
Kardinalo	Cardinal (Catholicism)
Armand Jean du Plessis de Richelieu	Cardinal Richelieu
Karibio	Caribbean
Kategorio:Karibio	Caribbean
Kariba Maro	Caribbean Sea
Karikaturo	Caricature
Kareno (konstelacio)	Carina (constellation)
Carl David Anderson	Carl David Anderson
Carl Gustav Jung	Carl Jung
Carl Lewis	Carl Lewis
Carl Maria von Weber	Carl Maria von Weber
Karnavalo	Carnival
Karnomanĝuloj	Carnivora
Karnovoraj plantoj	Carnivorous plant
Karolidoj	Carolingian dynasty
Linnaeus	Carolus Linnaeus
Karpatoj	Carpathian Mountains
Karoto	Carrot
Carson City (Nevado)	Carson City
Kartaĥeno (Hispanio)	Cartagena
Kartezia koordinato	Cartesian coordinate system
Cilindro (algebro)	Cartesian product
Kartago	Carthage
Kartografio	Cartography
Kategorio:Kartografio	Cartography
Cary Grant	Cary Grant
Kazablanko	Casablanca
Akaĵuo	Cashew
Kazino	Casino
Kaspio	Caspian Sea
Kasandra	Cassandra
Kasiopeo (konstelacio)	Cassiopeia (constellation)
Gisfero	Cast iron
Kasto	Caste
Kastilio	Castile (historical region)
Burgo	Castle
Aroko	Castling
Castries (Sankta Lucia)	Castries
Militkazo	Casus belli
Hejma kato	Cat
Katalunio	Catalonia
Kategorio:Katalunio	Catalonia
Katalizilo	Catalysis
Katarakto	Cataract
Katarismo	Catharism
Katedralo	Cathedral
Katodo	Cathode
Bovo	Cattle
Bovardeo	Cattle Egret
Katulo	Catullus
Kaŭkazio	Caucasus
Kategorio:Kaŭkazio	Caucasus
Kaŭkazo	Caucasus Mountains
Florbrasiko	Cauliflower
Kavalerio	Cavalry
Kaverno	Cave
Kaviaro	Caviar
Cayenne	Cayenne
Kajmaninsuloj	Cayman Islands
Cecil Rhodes	Cecil Rhodes
Cedro	Cedar
Celerio	Celery
Ĉielekvatoro	Celestial equator
Kategorio:Ĉiela mekaniko	Celestial mechanics
Ĉielosfero	Celestial sphere
Celibato	Celibacy
Biologia ĉelo	Cell (biology)
Ĉelmembrano	Cell membrane
Ĉelkerno	Cell nucleus
Ĉela muro	Cell wall
Violonĉelo	Cello
Celulozo	Cellulose
Grado celsia	Celsius
Cemento	Cement
Tombejo	Cemetery
Kenozoiko	Cenozoic
Popolnombrado	Census
Centaŭro	Centaur
Centaŭro (konstelacio)	Centaurus
Centimetro	Centimetre
Centra Afriko	Central Africa
Centr-Afrika Respubliko	Central African Republic
Kategorio:Centr-Afrika Respubliko	Central African Republic
Centra Ameriko	Central America
Kategorio:Mezameriko	Central America
CIA	Central Intelligence Agency
Centraj Potencoj	Central Powers
Centra banko	Central bank
Procesoro	Central processing unit
Centro (Francio)	Centre
Centriolo	Centriole
Jarcento	Century
Kapopieduloj	Cephalopod
Cefeo (konstelacio)	Cepheus (constellation)
Ceramiko	Ceramic
Kerbero	Cerberus
Cerealo	Cereal
Cerbeto	Cerebellum
Cereso	Ceres (dwarf planet)
Cereso (mitologio)	Ceres (mythology)
Cerio	Cerium
Cezaro Borgia	Cesare Borgia
Cetacoj	Cetacea
Baleno (konstelacio)	Cetus
Ĉado	Chad
Kategorio:Ĉado	Chad
Fringo	Chaffinch
Seĝo	Chair
Kalcedono	Chalcedony
Ĥameleono (konstelacio)	Chamaeleon
Ĉamo	Chamois
Ĉampano	Champagne (wine)
Ĉampanjo-Ardenoj	Champagne-Ardenne
Manika Tunelo	Channel Tunnel
Ĥaradrioformaj	Charadriiformes
Karolo la Granda	Charlemagne
Charleroi	Charleroi
Princo Karlo	Charles
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Fourier	Charles Fourier
Charles Lindbergh	Charles Lindbergh
Charles Thomson Rees Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
Karlo la 2-a (Francio)	Charles the Bald
Charleston (Okcidenta Virginio)	Charleston
Charlie Chaplin	Charlie Chaplin
Charlie Parker	Charlie Parker
Karono (luno)	Charon (moon)
Karono (mitologio)	Charon (mythology)
Chartres	Chartres
Ŝovinismo	Chauvinism
Che Guevara	Che Guevara
Ĉeĉenio	Chechnya
Kategorio:Ĉeĉenio	Chechnya
Fromaĝo	Cheese
Gepardo	Cheetah
Ĉelabinsk	Chelyabinsk
Kemia ligo	Chemical bond
Kemia kombinaĵo	Chemical compound
Kemia elemento	Chemical element
Kemia inĝenierarto	Chemical engineering
Kemia formulo	Chemical formula
Kemia reakcio	Chemical reaction
Kemia armilo	Chemical warfare
Kemio	Chemistry
Kategorio:Kemio	Chemistry
Chemnitz	Chemnitz
Ĉenajo	Chennai
Ĉeko	Cheque
Ĉernobilo	Chernobyl
Ĉerizo	Cherry
Siliko	Chert
Ŝako	Chess
Kategorio:Ŝako	Chess
Debuto	Chess opening
Chester A. Arthur	Chester A. Arthur
Kastaneo	Chestnut
Maĉgumo	Chewing gum
Cheyenne	Cheyenne
Ĥio (litero)	Chi (letter)
Jiang Jieshi	Chiang Kai-shek
Ĉikago	Chicago
Koko (birdo)	Chicken
Varioleto	Chickenpox
Kikero	Chickpea
Chihuahua	Chihuahua
Infano	Child
Nasko	Childbirth
Ĉilio	Chile
Kategorio:Ĉilio	Chile
Ĉimborazo	Chimborazo (volcano)
Ĥimero	Chimera (mythology)
Ĉimpanzo	Chimpanzee
Kategorio:Ĉinio	China
Ĥios	Chios
Kirono	Chiron
Kitino	Chitin
Kloro	Chlorine
Klorofilo	Chlorophyll
Kloroplasto	Chloroplast
Ĉokolado	Chocolate
Ĥoro	Choir
Ĥolero	Cholera
Kolesterolo	Cholesterol
Kartilagaj fiŝoj	Chondrichthyes
Chongqing	Chongqing
Akordo (muziko)	Chord (music)
Ĥorduloj	Chordate
Christchurch	Christchurch
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Kristanismo	Christianity
Kategorio:Kristanismo	Christianity
Kristnasko	Christmas
Kristnaska arbo	Christmas tree
Kristoforo Kolumbo	Christopher Columbus
Christopher Marlowe	Christopher Marlowe
Kromo	Chromium
Kromosomo	Chromosome
Chuck Berry	Chuck Berry
Ĉukĉa Maro	Chukchi Sea
Eklezio	Church
Preĝejo	Church (building)
Eklezio de Anglio	Church of England
Cicerono	Cicero
Cikonioformaj birdoj	Ciconiiformes
Cigaredo	Cigarette
Cinamo	Cinnamon
Kirke	Circe
Cirkelo (konstelacio)	Circinus
Cirklo	Circle
Kardiovaskula sistemo	Circulatory system
Cirkumcido	Circumcision
Cirkartoj	Circus
Cirozo	Cirrhosis
civito	Citizenship
Ciklo de Krebs	Citric acid cycle
Citruso	Citrus
Urboŝtato	City-state
Interna milito	Civil war
Civilizo	Civilization
Klarneto	Clarinet
Clark Gable	Clark Gable
Klaso	Class
Klaso (biologio)	Class (biology)
Klaso (objektema programado)	Class (computer science)
Klasika Meĥaniko	Classical mechanics
Klasika muziko	Classical music
Kategorio:Klasika muziko	Classical music
Klasikismo	Classicism
Claude Monet	Claude Monet
Claude Shannon	Claude Shannon
Claudio Monteverdi	Claudio Monteverdi
Klaŭdio	Claudius
Klaviklo	Clavicle
Argilo	Clay
Clement Attlee	Clement Attlee
Kleopatra (regantoj)	Cleopatra (disambiguation)
Kleriko	Clergy
Klevlando	Cleveland
Klimato	Climate
Klimata ŝanĝo	Climate change
Klimatscienco	Climatology
Kategorio:Klimato	Climatology
Deprimo	Clinical depression
Klio	Clio
Klitoro	Clitoris
Horloĝo	Clock
Klonado	Cloning
Kategorio:Vestoj	Clothing
Vesto	Clothing
Nubo	Cloud
Kariofilo	Clove
Trifolio	Clover
Kloviso la 1-a	Clovis I
Knidulo	Cnidaria
Terkarbo	Coal
Blazono	Coat of arms
Kobalto	Cobalt
Kokaino	Cocaine
Kokcinelo	Coccinellidae
Kakatuedoj	Cockatoo
Blato	Cockroach
Koktelo	Cocktail
Kokoso	Coconut
Kokosinsuloj	Cocos (Keeling) Islands
Kodeino	Codeine
Kafarbo	Coffea
Kafo	Coffee
Konjako	Cognac (drink)
Monero	Coin
Kolao	Cola
Kolĉido	Colchis
Malvarma milito	Cold War
Kategorio:Malvarma milito	Cold War
Colin Powell	Colin Powell
Kolaĝo	Collage
Kolageno	Collagen
Kolonjo	Cologne
Kolombio	Colombia
Kategorio:Kolombio	Colombia
Kolombo (urbo)	Colombo
Kolonelo	Colonel
Kolonio	Colony
Koloro	Color
Koloradio	Colorado
Kategorio:Koloradio	Colorado
Kolorado (rivero)	Colorado River
Koloseo (Romo)	Colosseum
Koloso de Rodiso	Colossus of Rhodes
Kolubredoj	Colubrid
Kolombo (konstelacio)	Columba (constellation)
Columbia (Suda Karolino)	Columbia
Kolumbio	Columbia
Kolumbio (rivero)	Columbia River
Universitato Kolumbio	Columbia University
Kolombedoj	Columbidae
Kolomboformaj birdoj	Columbiformes
Columbus (Ohio)	Columbus
Columbus	Columbus
Komato	Coma
Berenica Hararo (konstelacio)	Coma Berenices
Brulo	Combustion
Komedio	Comedy
Johano Amoso Komenio	Comenius
Kometo	Comet
Komo	Comma (punctuation)
Kategorio:Komerco	Commerce
Kataro (malsano)	Common cold
Komunumo de Sendependaj Ŝtatoj	Commonwealth of Independent States
Komunumo de Nacioj	Commonwealth of Nations
Kategorio:Komunikado	Communication
Komunikado	Communication
Komunismo	Communism
Kategorio:Komunismo	Communism
Komoroj	Comoros
Kategorio:Komoroj	Comoros
Kompakta disko	Compact Disc
Kompaso	Compass
Cirkelo	Compass (drafting)
Konkurso	Competition
Tradukilo	Compiler
Kompleksa nombro	Complex number
Komponisto	Composer
Komponigita nombro	Composite number
Komputila lingvistiko	Computational linguistics
Komputilo	Computer
Komputila monitoro	Computer display
Dosiero	Computer file
Kategorio:Komputila grafiko	Computer graphics
Aparataro	Computer hardware
Kategorio:Komputila aparataro	Computer hardware
Komputila reto	Computer network
Kategorio:Programado	Computer programming
Komputiko	Computer science
Kategorio:Komputiko	Computer science
Programaro	Computer software
Komputila viruso	Computer virus
Kategorio:Komputiko	Computing
Konakrio	Conakry
Koncentriteco	Concentration
Konĉerto	Concerto
Concord (Nov-Hampŝiro)	Concord
Betono	Concrete
Kondomo	Condom
Dirigento	Conducting
Konuso	Cone (geometry)
Konfederaciitaj ŝtatoj de Ameriko	Confederate States of America
Konfeso	Confession
Konfirmacio	Confirmation
Konfuceismo	Confucianism
Konfuceo	Confucius
Kongo	Congo
Kongo (rivero)	Congo River
Koniko	Conic section
Konektikuto	Connecticut
Kategorio:Konektikuto	Connecticut
Konkistadoro	Conquistador
Konservado de energio (fiziko)	Conservation of energy
Konservativismo	Conservatism
Konsonanto	Consonant
Konstantino la 1-a de la Romia Imperio	Constantine I
Konstantinopolo	Constantinople
Konstelacio	Constellation
Konstitucio	Constitution (political)
Konsulo (Romia historio)	Consul
Konsumo	Consumption (economics)
Kontaktlenso	Contact lens
Kontinento	Continent
Kontinenta drivo	Continental drift
Kontrakto	Contract
Briĝo	Contract bridge
Kuirado	Cooking
Kooperativo	Cooperative
Koordinatsistemo	Coordinate system
UTC	Coordinated Universal Time
Kopenhago	Copenhagen
Kupro	Copper
Kopirajto	Copyright
Koracioformaj birdoj	Coraciiformes
Koralo	Coral
Korala Maro	Coral Sea
Korinto	Corinth
Koriolisforto	Coriolis effect
Cork	Cork (city)
Kormoranoj	Cormorant
Korneo	Cornea
Universitato Cornell	Cornell University
Kornvalo	Cornwall
Boreala Krono (konstelacio)	Corona Borealis
Entrepreno	Corporation
Korsiko	Corsica
Korundo	Corundum
Korvedoj	Corvidae
Korvo (konstelacio)	Corvus (constellation)
Kosma radiado	Cosmic ray
Kosmologio	Cosmology
Kategorio:Kosmologio	Cosmology
Kostariko	Costa Rica
Kategorio:Kostariko	Costa Rica
Kotonuo	Cotonou
Kotono	Cotton
Pumo	Cougar
Kulombo	Coulomb
Kontrapunkto	Counterpoint
Lando	Country
Kontreo	Country music
Tribunalo (juro)	Court
Coventry	Coventry
Kojoto	Coyote
Krabo	Crab
M1	Crab Nebula
Gruo	Crane (bird)
Pokalo (konstelacio)	Crater (constellation)
Kreismo	Creationism
Kremono	Cremona
Kretaceo	Cretaceous
Kreto	Crete
Kriketo	Cricket
Grilo	Cricket (insect)
Krimo	Crime
Aŭtonoma Respubliko Krimeo	Crimea
Puna juro	Criminal law
Kriminologio	Criminology
Kroatio	Croatia
Kategorio:Kroatio	Croatia
Krokodilo	Crocodile
Krokodilulo	Crocodilia
Krono (dio)	Cronus
Vektora produto	Cross product
Arbalesto	Crossbow
Krucvortenigmo	Crossword
Korvo	Crow
Krucumado	Crucifixion
Terkrusto	Crust (geology)
Krustacoj	Crustacean
Suda Kruco (konstelacio)	Crux
Kategorio:Ĉifriko	Cryptography
Kristalo	Crystal
Kristalografio	Crystallography
Kategorio:Kristalografio	Crystallography
Kubo (lando)	Cuba
Kategorio:Kubo	Cuba
Kubo (geometrio)	Cube
Kubmetro	Cubic metre
Kubismo	Cubism
Kukoloformaj birdoj	Cuculiformes
Kukumo	Cucumber
Kukurbacoj	Cucurbitaceae
Kultura Revolucio	Cultural Revolution
Kulturo	Culture
Kategorio:Kulturo	Culture
Kumbrio	Cumbria
Kupresacoj	Cupressaceae
Curitiba	Curitiba
Kuriumo	Curium
Glitŝtonludo	Curling
Kategorio:Monunuoj	Currency
Valuto	Currency
Kareo	Curry
Kurbo	Curve
Kusko	Cusco
Cejana	Cyan
Cianido	Cyanide
Cianobakterio	Cyanobacteria
Cibernetiko	Cybernetics
Ciberpunko	Cyberpunk
Cikladoj	Cyclades
Biciklado	Cycling
Kategorio:Biciklado	Cycling
Ciklono	Cyclone
Ciklopo	Cyclops
Cigno (konstelacio)	Cygnus (constellation)
Cilindro	Cylinder (geometry)
Ciperacoj	Cyperaceae
Ciprinoformaj	Cypriniformes
Respubliko Kipro	Cyprus
Kategorio:Kipro	Cyprus
Cirila alfabeto	Cyrillic alphabet
Kiro la 2-a (Persio)	Cyrus the Great
Citoplasmo	Cytoplasm
Citozino	Cytosine
Ĉelskeleto	Cytoskeleton
Ĉeĥio	Czech Republic
Kategorio:Ĉeĥio	Czech Republic
Ĉeĥoslovakio	Czechoslovakia
Kategorio:Ĉeĥoslovakio	Czechoslovakia
D	D
D. H. Lawrence	D. H. Lawrence
DDT	DDT
DNA	DNA
DVD	DVD
Melhundo	Dachshund
Dadaismo	Dada
Dedalo kaj Ikaro	Daedalus
Ponardo	Dagger
Dalio	Dahlia
Dakaro	Dakar
Dalai-lamao	Dalai Lama
Dallas (Teksaso)	Dallas
Dalmatio	Dalmatia
Akvobaraĵo	Dam
Damasko	Damascus
Danco	Dance
Kategorio:Danco	Dance
Leontodo	Dandelion
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
Daniel Ortega	Daniel Ortega
Dana krono	Danish krone
Dante Alighieri	Dante Alighieri
Danubo	Danube
Dafna	Daphne
Daresalamo	Dar es Salaam
Dardaneloj	Dardanelles
Darfuro	Darfur
Darĝiling	Darjeeling
Malluma materio	Dark matter
Darmŝtatio	Darmstadtium
Darvino (Aŭstralio)	Darwin
Darwin (apartigilo)	Darwin
La Kapitalo	Das Kapital
Datumo	Data
Datumbazo	Database
Daktilopalmo	Date Palm
Dativo	Dative case
Daugavpils	Daugavpils
Davido	David
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
Tago	Day
Kategorio:Almanako	Days
Diakono	Deacon
Morta Maro	Dead Sea
Pergamenaro de Morta Maro	Dead Sea scrolls
Beladono	Deadly nightshade
Morto	Death
Kategorio:Morto	Death
Jardekoj	Decade
Decembro	December
31-a de decembro	December 31
8-a de decembro	December 8
Dekuma sistemo	Decimal
Decio	Decius (emperor)
Deklinacio (astronomio)	Declination
Anderson Luiz de Sousa	Deco
Cervedoj	Deer
Difino	Definition
Grado (apartigilo)	Degree
Grado	Degree (angle)
Dejmo	Deimos (moon)
Diismo	Deism
Delavaro	Delaware
Kategorio:Delavaro	Delaware
Delft	Delft
Delfo	Delphi
Delfeno (konstelacio)	Delphinus
Delto	Delta
Delto (litero)	Delta (letter)
Tutmonda diluvo	Deluge (mythology)
Demagogio	Demagogy
Demetra	Demeter
Demokratio	Democracy
Demokrata Partio (Usono)	Democratic Party (United States)
Kongo Kinŝasa	Democratic Republic of the Congo
Kategorio:Kongo Kinŝasa	Democratic Republic of the Congo
Demokrito	Democritus
Demografio	Demography
Demono	Demon
Demosteno	Demosthenes
Deng Xiaoping	Deng Xiaoping
Dengo	Dengue fever
Denis Diderot	Denis Diderot
Danio	Denmark
Kategorio:Danio	Denmark
Dennis Gabor	Dennis Gabor
Denseco	Density
Kario	Dental caries
Dentkuracado	Dentistry
Denvero (Koloradio)	Denver
Derivaĵo (matematiko)	Derivative
Haŭtmedicino	Dermatology
Des Moines (Iovao)	Des Moines
Dezerto	Desert
Kategorio:Dezertoj	Deserts
Erasmo de Roterdamo	Desiderius Erasmus
Dezajno	Design
Kategorio:Dezajno	Design
Desmond Tutu	Desmond Tutu
Destrojero	Destroyer
Determinanto	Determinant
Determinismo	Determinism
Detrojto (Miĉigano)	Detroit
Deŭterio	Deuterium
Readmono	Deuteronomy
Pelilo	Device driver
Devon	Devon
Devonio	Devonian
Roso	Dew
Rosopunkto	Dew point
Dewey dekuma klasifiko	Dewey Decimal Classification
Dako	Dhaka
Darmo	Dharma
Dhaulagiri	Dhaulagiri
Diabeto	Diabetes mellitus
Diakrita signo	Diacritic
Dialekto	Dialect
Dialektiko	Dialectic
Diametro	Diameter
Diamanto	Diamond
Diana Spencer	Diana
Diana	Diana (mythology)
Diareo	Diarrhea
Diasporo	Diaspora
Diatomo	Diatom
Ĵetpluredro	Dice
Dukotiledonaj plantoj	Dicotyledon
Diktatoreco	Dictatorship
Vortaro	Dictionary
Diego Rivera	Diego Rivera
Dizeloleo	Diesel
Dizelmotoro	Diesel engine
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Diferenciala ekvacio	Differential equation
Difrakto	Diffraction
Digestado	Digestion
Kategorio:Digesta sistemo	Digestive system
Cifereca	Digital
Cifereca fotilo	Digital camera
DSL	Digital subscriber line
Dijon	Dijon
Aneto	Dill
Dimensio	Dimension
Dingo	Dingo
Dinosaŭro	Dinosaur
Diocezo	Diocese
Diokleciano	Diocletian
Diodo	Diode
Dionizo	Dionysus
Difterio	Diphtheria
Diftongo	Diphthong
Diplomatio	Diplomacy
Kategorio:Diplomatio	Diplomacy
Kontinua kurento	Direct current
Disakarido	Disaccharide
Kategorio:Apartigiloj	Disambiguation
Diskĵokeo	Disc jockey
Diskriminacio	Discrimination
Malsano	Disease
Distanco	Distance
Distilado	Distillation
Diverĝenco	Divergence
Divido	Division (mathematics)
Divorco	Divorce
Dizzy Gillespie	Dizzy Gillespie
Kategorio:Ĝibutio	Djibouti
Ĝibuto	Djibouti (city)
Dmitrij Mendelejev	Dmitri Mendeleev
Dmitrij Ŝostakoviĉ	Dmitri Shostakovich
Dnepro	Dnieper River
Dnipropetrovsko	Dnipropetrovsk
Doktoro de eklezio	Doctor of the Church
Dokumento	Document
Dekduedro	Dodecahedron
Dodekanesoj	Dodecanese
Dido (birdo)	Dodo
Dodomao	Dodoma
Hundo	Dog
Dogmo	Dogma
Doho	Doha
Dolaro (monunuo)	Dollar
Dolly (ŝafino)	Dolly (sheep)
Dolmeno	Dolmen
Dolomito	Dolomite
Delfenoj	Dolphin
Domajno (biologio)	Domain (biology)
Domajna nomo	Domain name
Kupolo	Dome
Domesday Book	Domesday Book
Aldomigo	Domestication
Dominiko	Dominica
Kategorio:Dominiko	Dominica
Dominikanoj	Dominican Order
Domingo	Dominican Republic
Kategorio:Domingo	Dominican Republic
Domiciano	Domitian
Kiĥoto	Don Quixote
Don (rivero)	Don River (Russia)
Donaldo Anaso	Donald Duck
Donatello	Donatello
Donato Bramante	Donato Bramante
Donecko	Donetsk
Azeno	Donkey
Pordo	Door
Efiko de Doppler	Doppler effect
Orfiŝo (konstelacio)	Dorado
Doris Lessing	Doris Lessing
Dortmund	Dortmund
Dualao	Douala
Kontrabaso	Double bass
Dover (Delavaro)	Dover
Dovero	Dover
Down-sindromo	Down syndrome
Drako (konstelacio)	Draco (constellation)
Drakulo (literaturo)	Dracula
Drako (mitologio)	Dragon
Akvokolekta areo	Drainage basin
Dramo	Drama
Damludo	Draughts
Sonĝo	Dream
Dresdeno	Dresden
Trinkaĵo	Drink
Dromedaro	Dromedary
Trosekeco	Drought
Droga dependeco	Drug addiction
Druido	Druid
Tamburo	Drum
Dualismo	Dualism
Dualismo	Dualism (philosophy of mind)
Dubajo	Dubai
Dublino	Dublin
Dubnio	Dubnium
Dubrovnik	Dubrovnik
Anaso	Duck
Dugongo	Dugong
Duko	Duke
Duke Ellington	Duke Ellington
Universitato Duke	Duke University
Duno	Dune
Dunkerque	Dunkirk
Duodeno	Duodenum
Durban	Durban
Duŝanbeo	Dushanbe
Dustin Hoffman	Dustin Hoffman
Kategorio:Nederlandanoj	Dutch people
Dwight D. Eisenhower	Dwight D. Eisenhower
Dinamiko	Dynamics (physics)
Dinamito	Dynamite
Dinastio	Dynasty
Disleksio	Dyslexia
Disprozio	Dysprosium
Malutopio	Dystopia
E	E
℮ (matematiko)	E (mathematical constant)
Retpoŝto	E-mail
E. T. A. Hoffmann	E. T. A. Hoffmann
ETA	ETA
Aglo	Eagle
Orelo	Ear
Tero	Earth
Terscienco	Earth science
Tertremo	Earthquake
Oriento	East
Orientafriko	East Africa
Orientĉina Maro	East China Sea
Germana Demokratia Respubliko	East Germany
East Sussex	East Sussex
Orienta Timoro	East Timor
Kategorio:Orienta Timoro	East Timor
Pasko	Easter
Ortodoksismo	Eastern Orthodox Church
Ebro	Ebro
Discentreco	Eccentricity (mathematics)
Ekidno	Echidna
Ekinodermo	Echinoderm
Eklipso	Eclipse
Ekliptiko	Ecliptic
Ekologio	Ecology
Kategorio:Ekologio	Ecology
Ekonometrio	Econometrics
Ekonomiko	Economics
Kategorio:Ekonomio	Economics
Ekonomiko	Economy
Ekologia sistemo	Ecosystem
Ekvadoro	Ecuador
Kategorio:Ekvadoro	Ecuador
Koncilio	Ecumenical council
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edgar Rice Burroughs	Edgar Rice Burroughs
Edinburgo	Edinburgh
Edirne	Edirne
Edmontono (Alberto)	Edmonton
Edmund Burke	Edmund Burke
Edmund Hillary	Edmund Hillary
Edmund Husserl	Edmund Husserl
Edo	Edo
Eduard Buchner	Eduard Buchner
Eduko	Education
Kategorio:Edukado	Education
Edvard Grieg	Edvard Grieg
Edvard Munch	Edvard Munch
Edward Gibbon	Edward Gibbon
Edward Jenner	Edward Jenner
Edward Teller	Edward Teller
Eduardo la Konfesanto	Edward the Confessor
Edwin Hubble	Edwin Hubble
Ovo	Egg (biology)
Melongeno	Eggplant
Egiptio	Egypt
Kategorio:Egiptio	Egypt
Egipta pundo	Egyptian pound
Egiptologio	Egyptology
Eiffel-Turo	Eiffel Tower
Eindhoven	Eindhoven
Ejnŝtejnio	Einsteinium
Cido	El Cid
El Greco	El Greco
El Paso (Teksaso)	El Paso
Salvadoro	El Salvador
Kategorio:Salvadoro	El Salvador
Elamo	Elam
Elbo (rivero)	Elbe
Eleanor Roosevelt	Eleanor Roosevelt
Voĉdono	Election
Elektra ŝargo	Electric charge
Elektra kurento	Electric current
Kampo (elektro)	Electric field
Elektra gitaro	Electric guitar
Elektromotoro	Electric motor
