Italian	English
Partito politico	Political party
Scienze politiche	Political science
Categoria:Scienze politiche	Political science
Politico	Politician
Politica	Politics
Categoria:Politica	Politics
Polline	Pollen
Impollinazione	Pollination
Inquinamento	Pollution
Polo (sport)	Polo
Polonio	Polonium
Polietilene	Polyethylene
Poligamia	Polygamy
Poligono	Polygon
Poliedro	Polyhedron
Polimnia	Polyhymnia
Polimero	Polymer
Polinesia	Polynesia
Polinomio	Polynomial
Politeismo	Polytheism
Cloruro di polivinile	Polyvinyl chloride
Punica	Pomegranate
Citrus maxima	Pomelo
Scavi archeologici di Pompei	Pompeii
Gneo Pompeo Magno	Pompey
Ponzio Pilato	Pontius Pilate
Pop art	Pop art
Musica pop	Pop music
Papa	Pope
Papa Alessandro VI	Pope Alexander VI
Populus	Poplar
Popolazione	Population
Populismo	Populism
Porcellana	Porcelain
Pornografia	Pornography
Porto (struttura)	Port
Port Louis	Port Louis
Port Moresby	Port Moresby
Port Vila	Port Vila
Port of Spain	Port of Spain
Port-au-Prince	Port-au-Prince
Portland (Oregon)	Portland
Portland	Portland
Oporto	Porto
Ritratto	Portrait
Portsmouth	Portsmouth
Portogallo	Portugal
Categoria:Portogallo	Portugal
Poseidone	Poseidon
Positrone	Positron
Francobollo	Postage stamp
Codice postale	Postal code
Postmodernismo	Postmodernism
Potassio	Potassium
Nitrato di potassio	Potassium nitrate
Solanum tuberosum	Potato
Energia potenziale	Potential energy
Potsdam	Potsdam
Libbra (unità di massa)	Pound (mass)
Sterlina britannica	Pound sterling
Povertà	Poverty
Potenza (fisica)	Power (physics)
Centrale elettrica	Power station
Pretore (storia romana)	Praetor
Praga	Prague
Categoria:Praga	Prague
Praia	Praia
Praseodimio	Praseodymium
Preghiera	Prayer
Precambriano	Precambrian
Precessione	Precession
Precipitazione (meteorologia)	Precipitation (meteorology)
Gravidanza	Pregnancy
Preistoria	Prehistory
Categoria:Preistoria	Prehistory
Presidente	President
Presidente degli Stati Uniti	President of the United States
Pressione	Pressure
Pretoria	Pretoria
Priamo	Priam
Prezzo	Price
Sacerdote	Priest
Primates	Primate
Categoria:Primati	Primates
Meridiano di Greenwich	Prime Meridian
Primo ministro	Prime minister
Numero primo	Prime number
Isola del Principe Edoardo	Prince Edward Island
Principe Filippo, duca di Edimburgo	Prince Philip
Principe del Galles	Prince of Wales
Università di Princeton	Princeton University
Principio di relatività	Principle of relativity
Stampa	Printing
Prione	Prion
Prisma	Prism (geometry)
Prigione	Prison
Prigioniero di guerra	Prisoner of war
Premio Goncourt	Prix Goncourt
Probabilità	Probability
Teoria della probabilità	Probability theory
Procyonidae	Procyonidae
Professore	Professor
Profitto	Profit
Programmatore	Programmer
Linguaggio di programmazione	Programming language
Rock progressivo	Progressive rock
Progetto	Project
Prokaryota	Prokaryote
Prolog	Prolog
Prometeo (mitologia)	Prometheus
Promezio	Promethium
Pronome	Pronoun
Propaganda	Propaganda
Propano	Propane
Profeta	Prophet
Prosa	Prose
Prostata	Prostate
Protoattinio	Protactinium
Protettorato	Protectorate
Proteina	Protein
Proterozoico	Proterozoic
Riforma protestante	Protestant Reformation
Protestantesimo	Protestantism
Protista	Protist
Protocollo	Protocol
Protone	Proton
Protozoa	Protozoa
Providence (Rhode Island)	Providence
Proxima Centauri	Proxima Centauri
Prunus	Prunus
Prussia	Prussia
Salmi	Psalms
Pseudonimo	Pseudonym
Categoria:Pseudoscienza	Pseudoscience
Pseudoscienza	Pseudoscience
Psi (lettera)	Psi (letter)
Psoriasi	Psoriasis
Psichiatria	Psychiatry
Categoria:Psichiatria	Psychiatry
Psicoanalisi	Psychoanalysis
Psicologia	Psychology
Categoria:Psicologia	Psychology
Psicosi	Psychosis
Psicoterapia	Psychotherapy
Ptah	Ptah
Pterosauria	Pterosaur
Dinastia tolemaica	Ptolemaic dynasty
Claudio Tolomeo	Ptolemy
Pubertà	Puberty
Pubblico dominio	Public domain
Pubbliche relazioni	Public relations
Porto Rico	Puerto Rico
Categoria:Porto Rico	Puerto Rico
Pola	Pula
Carrucola	Pulley
Pulsar	Pulsar
Pompa	Pump
Punteggiatura	Punctuation
Punjab	Punjab (India)
Categoria:Punk	Punk
Punk rock	Punk rock
Pupilla (anatomia)	Pupil
Poppa (costellazione)	Puppis
Pyongyang	Pyongyang
Piramide	Pyramid
Piramide#Geometria	Pyramid (geometry)
Pirenei	Pyrenees
Pirite	Pyrite
Vittoria di Pirro	Pyrrhic victory
Pitagora	Pythagoras
Python	Python (programming language)
Bussola (costellazione)	Pyxis
Q	Q
Qatar	Qatar
Categoria:Qatar	Qatar
Dinastia Qin	Qin Dynasty
Dinastia Qing	Qing Dynasty
Equazione di secondo grado	Quadratic equation
Quadrilatero	Quadrilateral
Questore (storia romana)	Quaestor
Teoria quantistica dei campi	Quantum field theory
Meccanica quantistica	Quantum mechanics
Categoria:Meccanica quantistica	Quantum mechanics
Quarantena	Quarantine
Quark (particella)	Quark
Quarzo	Quartz
Quasar	Quasar
Quaternario (geologia)	Quaternary
Quaternione	Quaternion
Québec (provincia)	Quebec
Categoria:Québec	Quebec
Québec (città)	Quebec City
Lingua quechua	Quechua
Donna (scacchi)	Queen (chess)
Queens	Queens
Queensland	Queensland
Quentin Tarantino	Quentin Tarantino
Punto interrogativo	Question mark
Quetzalcoatl	Quetzalcoatl
Cydonia oblonga	Quince
Quito	Quito
R	R
RAF	RAF (disambiguation)
RAID	RAID
RNA	RNA
Ra	Ra
Rabat	Rabat
Rabbino	Rabbi
Rabindranath Tagore	Rabindranath Tagore
Nyctereutes procyonoides	Raccoon Dog
Razza	Race
Rachel Carson	Rachel Carson
Razzismo	Racism
Categoria:Razzismo	Racism
Radar	Radar
Radiante	Radian
Categoria:Radio	Radio
Radiotelescopio	Radio telescope
Radioattività	Radioactive decay
Metodo del carbonio-14	Radiocarbon dating
Radiologia	Radiology
Radio (elemento)	Radium
Raggio (geometria)	Radius
Radon	Radon
Pioggia	Rain
Arcobaleno	Rainbow
Rainer Maria Rilke	Rainer Maria Rilke
Raleigh (Carolina del Nord)	Raleigh
Ralph Waldo Emerson	Ralph Waldo Emerson
Rama	Rama
Ramadan	Ramadan
Ramayana	Ramayana
Ramesse II	Ramesses II
Random access memory	Random access memory
Ranunculaceae	Ranunculaceae
Stupro	Rape
Brassica napus	Rapeseed
Raffaello Sanzio	Raphael
Arcangelo Raffaele	Raphael (archangel)
Categoria:Metropolitane	Rapid transit
Rubus idaeus	Raspberry
Rattus	Rat
Numero razionale	Rational number
Struthioniformes	Ratite
Ravenna	Ravenna
Rawalpindi	Rawalpindi
Ray Bradbury	Ray Bradbury
Read only memory	Read-only memory
Numero reale	Real number
Recessione	Recession
Recife	Recife
Rettangolo	Rectangle
Raddrizzatore	Rectifier
Algoritmo ricorsivo	Recursion
Riciclaggio dei rifiuti	Recycling
Rosso	Red
Rote Armee Fraktion	Red Army Faction
Cervus elaphus	Red Deer
Vulpes vulpes	Red Fox
Ailurus fulgens	Red Panda
Mar Rosso	Red Sea
Rhodophyta	Red algae
Globulo rosso	Red blood cell
Nana rossa	Red dwarf
Gigante rossa	Red giant
Spostamento verso il rosso	Redshift
Spostamento verso il rosso	Redshift (disambiguation)
RISC	Reduced instruction set computer
Referendum	Referendum
Rifrazione	Refraction
Indice di rifrazione	Refractive index
Rifugiato	Refugee
Reggente	Regent
Reggae	Reggae
Reggimento	Regiment
Regina (Canada)	Regina
Regione (geografia)	Region
Reims	Reims
Reincarnazione	Reincarnation
Rangifer tarandus	Reindeer
Relazione (matematica)	Relation (mathematics)
Relativismo	Relativism
Categoria:Teorie relativistiche	Relativity
Relè	Relay
Religione	Religion
Categoria:Religione	Religion
Quaccherismo	Religious Society of Friends
Rembrandt Harmenszoon van Rijn	Rembrandt
Rinascimento	Renaissance
Categoria:Rinascimento	Renaissance
Riproduzione	Reproduction
Reptilia	Reptile
Repubblica	Republic
Repubblica di Cina	Republic of China
Irlanda	Republic of Ireland
Categoria:Repubblica d'Irlanda	Republic of Ireland
Repubblica del Congo	Republic of the Congo
Categoria:Repubblica del Congo	Republic of the Congo
Partito Repubblicano (Stati Uniti)	Republican Party (United States)
Requiem	Requiem
Resistore	Resistor
Apparato respiratorio	Respiratory system
Ristorante	Restaurant
Reticolo (costellazione)	Reticulum
Retina	Retina
Retinolo	Retinol
Rivoluzione (politica)	Revolution
Rivoltella	Revolver
Rea (astronomia)	Rhea (moon)
Rea (mitologia)	Rhea (mythology)
Renio	Rhenium
Retorica	Rhetoric
Categoria:Retorica	Rhetoric
Reno (Germania)	Rhine
Rhinocerotidae	Rhinoceros
Rho (lettera)	Rho (letter)
Rhode Island	Rhode Island
Categoria:Rhode Island	Rhode Island
Rodi	Rhodes
Rodio	Rhodium
Rombo (geometria)	Rhombus
Rima (linguistica)	Rhyme
Ritmo (musica)	Rhythm
Rhythm and blues	Rhythm and blues
Costola	Rib
Riboflavina	Riboflavin
Ribosoma	Ribosome
Oryza sativa	Rice
Richard Feynman	Richard Feynman
Richard Nixon	Richard Nixon
Richard Strauss	Richard Strauss
Richard Wagner	Richard Wagner
Richard Wright (musicista)	Richard Wright (musician)
Richmond (Virginia)	Richmond
Riga (Lettonia)	Riga
Rigel	Rigel
Ascensione Retta	Right ascension
Anello (algebra)	Ring (mathematics)
Ringo Starr	Ringo Starr
Rio Grande (fiume - Stati Uniti)	Rio Grande
Rio de Janeiro	Rio de Janeiro
Rio de Janeiro (stato)	Rio de Janeiro (state)
Fiume	River
Tamigi	River Thames
Riyad	Riyadh
Strada	Road
Roald Amundsen	Roald Amundsen
Robert Anson Heinlein	Robert A. Heinlein
Robert Millikan	Robert Andrews Millikan
Robert Boyle	Robert Boyle
Robert Burns	Robert Burns
Robert De Niro	Robert De Niro
Robert Edward Lee	Robert E. Lee
Robert Falcon Scott	Robert Falcon Scott
Robert Hooke	Robert Hooke
Robert Koch	Robert Koch
Robert Louis Stevenson	Robert Louis Stevenson
Robert Oppenheimer	Robert Oppenheimer
Robert Owen	Robert Owen
Robert Redford	Robert Redford
Robert Schumann	Robert Schumann
Robin Hood	Robin Hood
Robot	Robot
Morra cinese	Rock
Roccia	Rock (geology)
Rock and roll	Rock and roll
Rock	Rock music
Categoria:Generi musicali rock	Rock music
Razzo	Rocket
Montagne Rocciose	Rocky Mountains
Rococò	Rococo
Rodentia	Rodent
Capreolus capreolus	Roe Deer
Roentgenio	Roentgenium
Ruggero Bacone	Roger Bacon
Chiesa cattolica	Roman Catholic Church
Impero romano	Roman Empire
Repubblica Romana	Roman Republic
Calendario romano	Roman calendar
Diritto romano	Roman law
Legione romana	Roman legion
Mitologia romana	Roman mythology
Categoria:Mitologia romana	Roman mythology
Romania	Romania
Categoria:Romania	Romania
Lingua romancia	Romansh
Romanticismo	Romanticism
Roma	Rome
Categoria:Roma	Rome
Ronald Reagan	Ronald Reagan
Tetto	Roof
Corvus frugilegus	Rook (bird)
Torre (scacchi)	Rook (chess)
Roosevelt	Roosevelt
Radice (botanica)	Root
Rosa Parks	Rosa Parks
Rosaceae	Rosaceae
Rosales	Rosales
Rosario (Argentina)	Rosario
Rosario	Rosary
Rosa (botanica)	Rose
Roseau	Roseau
Rosmarinus officinalis	Rosemary
Stele di Rosetta	Rosetta Stone
Rosh haShana	Rosh Hashanah
Mare di Ross	Ross Sea
Rostock	Rostock
Rotifera	Rotifer
Rotterdam	Rotterdam
Router	Router
Canottaggio	Rowing (sport)
Royal Air Force	Royal Air Force
Royal Society	Royal Society
Gomma (materiale)	Rubber
Rubicone	Rubicon
Rubidio	Rubidium
Rublo	Ruble
Rubus idaeus	Rubus idaeus
Rubino	Ruby
Ruby	Ruby (programming language)
Rudolf Diesel	Rudolf Diesel
Rudolf Heß	Rudolf Hess
Rudolf Steiner	Rudolf Steiner
Rudyard Kipling	Rudyard Kipling
Rugby (sport)	Rugby football
Rupert Murdoch	Rupert Murdoch
Russia	Russia
Categoria:Russia	Russia
Chiesa ortodossa russa	Russian Orthodox Church
Rivoluzione russa	Russian Revolution (1917)
Guerra russo-giapponese	Russo-Japanese War
Rutenio	Ruthenium
Rutherford B. Hayes	Rutherford B. Hayes
Rutherfordio	Rutherfordium
Ruanda	Rwanda
Categoria:Ruanda	Rwanda
Secale cereale	Rye
S	S
SOAP	SOAP
SOS	SOS
Sacramento	Sacrament
Sacramento (California)	Sacramento
Saddam Hussein	Saddam Hussein
Safari (browser)	Safari (web browser)
Crocus sativus	Saffron
Freccia (costellazione)	Sagitta
Sagittario (costellazione)	Sagittarius (constellation)
Deserto del Sahara	Sahara
Vela (sistema di propulsione)	Sail
Santo	Saint
Andrea apostolo	Saint Andrew
San Giorgio	Saint George
Saint Kitts e Nevis	Saint Kitts and Nevis
Categoria:Saint Kitts e Nevis	Saint Kitts and Nevis
San Lorenzo (fiume)	Saint Lawrence River
Santa Lucia (stato)	Saint Lucia
Categoria:Santa Lucia	Saint Lucia
Saint-Martin (isola)	Saint Martin
San Nicola di Bari	Saint Nicholas
San Patrizio	Saint Patrick
Saint Paul (Minnesota)	Saint Paul
Pietro apostolo	Saint Peter
San Pietroburgo	Saint Petersburg
Categoria:San Pietroburgo	Saint Petersburg
Saint Vincent e Grenadine	Saint Vincent and the Grenadines
Categoria:Saint Vincent e Grenadine	Saint Vincent and the Grenadines
Sake	Sake
Saladino	Saladin
Ṣalāt	Salah
Urodela	Salamander
Salem (Oregon)	Salem
Salerno	Salerno
Saliva	Saliva
Salman Rushdie	Salman Rushdie
Salmonidae	Salmonidae
Sale da cucina	Salt
Sale	Salt (chemistry)
Salt Lake City	Salt Lake City
Salvador (città)	Salvador
Salisburgo	Salzburg
Salisburghese	Salzburg (state)
Samara (città)	Samara
Samario	Samarium
Samarcanda	Samarkand
Samoa	Samoa
Categoria:Samoa	Samoa
Saṃsāra	Samsara
Samuel Beckett	Samuel Beckett
Samuel Finley Breese Morse	Samuel F. B. Morse
Samuel Taylor Coleridge	Samuel Taylor Coleridge
Samurai	Samurai
San Antonio (Stati Uniti)	San Antonio
San Diego (California)	San Diego
San Francisco	San Francisco
San José (California)	San Jose
San Juan (Porto Rico)	San Juan
San Marino	San Marino
Categoria:San Marino	San Marino
Città di San Marino	San Marino
San Salvador (El Salvador)	San Salvador
Sabbia	Sand
Sandro Botticelli	Sandro Botticelli
Arenaria (roccia)	Sandstone
Sandwich (cucina)	Sandwich
Lingua sanscrita	Sanskrit
Babbo Natale	Santa Claus
Santa Fe (Nuovo Messico)	Santa Fe
Santiago del Cile	Santiago
Santiago (disambigua)	Santiago
Santiago di Cuba	Santiago de Cuba
Santo Domingo (città)	Santo Domingo
Santos	Santos (Săo Paulo)
Zaffiro	Sapphire
Saffo	Sappho
Sapporo	Sapporo
Sarah Bernhardt	Sarah Bernhardt
Sarajevo	Sarajevo
Saratov	Saratov
Sarcofago	Sarcophagus
Sardina pilchardus	Sardine
Sardegna	Sardinia
Sari	Sari
Sarin	Sarin
Saskatchewan	Saskatchewan
Satana	Satan
Satanismo	Satanism
Satellite artificiale	Satellite
Satira	Satire
Sabato	Saturday
Saturno (astronomia)	Saturn
Categoria:Saturno	Saturn
Saturno	Saturn (disambiguation)
Saturno (divinità)	Saturn (mythology)
Satiro (mitologia)	Satyr
Salsa (cucina)	Sauce
Arabia Saudita	Saudi Arabia
Categoria:Arabia Saudita	Saudi Arabia
Saul Bellow	Saul Bellow
Salume	Sausage
Savana	Savanna
Sassonia	Saxony
Categoria:Sassonia	Saxony
Sassofono	Saxophone
Scandinavia	Scandinavia
Penisola scandinava	Scandinavian Peninsula
Scandio	Scandium
Scapola	Scapula
Schelda	Scheldt
Scheme	Scheme (programming language)
Schizofrenia	Schizophrenia
Scolastica	Scholasticism
Scuola	School
Schutzstaffel	Schutzstaffel
Scienza	Science
Categoria:Scienza	Science
Fantascienza	Science fiction
Categoria:Fantascienza	Science fiction
Metodo scientifico	Scientific method
Scienziato	Scientist
Scientology	Scientology
Publio Cornelio Scipione	Scipio Africanus
Forbici	Scissors
Sciuridae	Sciuridae
Scorpiones	Scorpion
Scorpione (costellazione)	Scorpius
Scozia	Scotland
Categoria:Scozia	Scotland
Pinus sylvestris	Scots Pine
Lingua gaelica scozzese	Scottish Gaelic
Scautismo	Scouting
Scrabble	Scrabble
Vite (meccanica)	Screw
Giravite	Screwdriver
Scroto	Scrotum
Scultore (costellazione)	Sculptor (constellation)
Scultura	Sculpture
Categoria:Scultura	Sculpture
Mare	Sea
Enhydra lutris	Sea Otter
Actiniaria	Sea anemone
Holothuroidea	Sea cucumber
Livello del mare	Sea level
Mar d'Azov	Sea of Azov
Mar del Giappone	Sea of Japan
Mar di Marmara	Sea of Marmara
Mare di Ochotsk	Sea of Okhotsk
Echinoidea	Sea urchin
Seaborgio	Seaborgium
Hippocampus	Seahorse
Motore di ricerca	Search engine
Sears Tower	Sears Tower
Stagione	Season
Seattle	Seattle
Secondo	Second
Seconda crociata	Second Crusade
Concilio Vaticano II	Second Vatican Council
Secondo principio della termodinamica	Second law of thermodynamics
Setta	Sect
Roccia sedimentaria	Sedimentary rock
Seme	Seed
Segovia	Segovia
Senna	Seine
Sismologia	Seismology
Categoria:Sismologia	Seismology
Selene	Selene
Selenio	Selenium
Seleuco I	Seleucus I Nicator
Semantica	Semantics
Categoria:Semantica	Semantics
Sperma	Semen
Punto e virgola	Semicolon
Semiconduttore	Semiconductor
Semiotica	Semiotics
Semiti	Semitic
Senato	Senate
Senegal	Senegal
Categoria:Senegal	Senegal
Seoul	Seoul
Seppuku	Seppuku
Settembre	September
11 settembre	September 11
Attentati dell'11 settembre 2001	September 11
17 settembre	September 17
29 settembre	September 29
Septuaginta	Septuagint
Successione (matematica)	Sequence
Serbia	Serbia
Categoria:Serbia	Serbia
Serbia e Montenegro	Serbia and Montenegro
Categoria:Serbia e Montenegro	Serbia and Montenegro
Servitù della gleba	Serfdom
Sergej Michajlovič Ejzenštejn	Sergei Eisenstein
Sergej Vasil'evič Rachmaninov	Sergei Rachmaninoff
Serie	Series (mathematics)
Serina (chimica)	Serine
Serotonina	Serotonin
Serpente (costellazione)	Serpens
Server	Server (computing)
Insieme	Set
Seth	Set (mythology)
Teoria degli insiemi	Set theory
Categoria:Teoria degli insiemi	Set theory
Sebastopoli	Sevastopol
Guerra dei sette anni	Seven Years' War
SARS	Severe acute respiratory syndrome
Siviglia	Seville
Sesso (biologia)	Sex
Apparato genitale	Sex organ
Sessismo	Sexism
Sestante	Sextant
Attività sessuale	Sexual intercourse
Categoria:Sessualità	Sexuality
Malattia sessualmente trasmissibile	Sexually transmitted disease
Seychelles	Seychelles
Categoria:Seychelles	Seychelles
Scià	Shah
Shahada	Shahadah
Sciamanesimo	Shamanism
Shanghai	Shanghai
Azione (finanza)	Share (finance)
Shareware	Shareware
Shari'a	Sharia
Selachimorpha	Shark
Sheffield	Sheffield
Sherlock Holmes	Sherlock Holmes
Isole Shetland	Shetland
Scudo (difesa)	Shield
Shikoku	Shikoku
Shintoismo	Shinto
Nave	Ship
Shiva	Shiva
Shogi	Shogi
Shōgun	Shogun
Stenografia	Shorthand
Caridea	Shrimp
Arbusto	Shrub
Siberia	Siberia
Siberian Husky	Siberian Husky
Sichuan	Sichuan
Sicilia	Sicily
Categoria:Regione Sicilia	Sicily
Siemens (unità di misura)	Siemens (unit)
Sierra Leone	Sierra Leone
Categoria:Sierra Leone	Sierra Leone
Sigma (lettera greca)	Sigma
Sigmund Freud	Sigmund Freud
Lingua dei segni	Sign language
Sigrid Undset	Sigrid Undset
Sikhismo	Sikhism
Sikkim	Sikkim
Slesia	Silesia
Silicio	Silicon
Silicon Valley	Silicon Valley
Silice	Silicon dioxide
Seta	Silk
Via della seta	Silk Road
Siluriano	Silurian
Argento	Silver
Simone de Beauvoir	Simone de Beauvoir
Peccato	Sin
Penisola del Sinai	Sinai Peninsula
Sinclair Lewis	Sinclair Lewis
Singapore	Singapore
Categoria:Singapore	Singapore
Singolo	Single (music)
Sirena (mitologia)	Siren
Sirenia	Sirenia
Sirio	Sirius
Cappella Sistina	Sistine Chapel
Sisifo	Sisyphus
Toro Seduto	Sitting Bull
Situation comedy	Situation comedy
Guerra dei sei giorni	Six-Day War
Skagerrak	Skagerrak
Skateboard	Skateboard
Scetticismo	Skepticism
Pelle	Skin
Skinhead	Skinhead
Skopje	Skopje
Cranio	Skull
Skylab	Skylab
Grattacielo	Skyscraper
Slash	Slash (musician)
Schiavismo	Slavery
Slayer	Slayer
Sonno	Sleep
Slovacchia	Slovakia
Categoria:Slovacchia	Slovakia
Slovenia	Slovenia
Categoria:Slovenia	Slovenia
Intestino tenue	Small intestine
Smog	Smog
Smolensk	Smolensk
Serpentes	Snake
Snooker	Snooker
Neve	Snow
Sapone	Soap
Psicologia sociale	Social psychology
Socialismo	Socialism
Categoria:Socialismo	Socialism
Partito Socialista (Francia)	Socialist Party (France)
Categoria:Società	Society
Società	Society
Compagnia di Gesù	Society of Jesus
Sociolinguistica	Sociolinguistics
Sociologia	Sociology
Categoria:Sociologia	Sociology
Socrate	Socrates
Sodio	Sodium
Bicarbonato di sodio	Sodium bicarbonate
Cloruro di sodio	Sodium chloride
Idrossido di sodio	Sodium hydroxide
Sofia	Sofia
Softball	Softball
Categoria:Software	Software
Suolo	Soil
Solanaceae	Solanaceae
Categoria:Solanaceae	Solanaceae
Sistema solare	Solar System
Categoria:Sistema solare	Solar System
Eclissi solare	Solar eclipse
Energia solare	Solar energy
Vento solare	Solar wind
Solido	Solid
Solido	Solid state
Solidarność	Solidarity
Re Salomone	Solomon
Isole Salomone	Solomon Islands
Categoria:Isole Salomone	Solomon Islands
Solone	Solon
Solstizio	Solstice
Soluto	Solution
Solvente	Solvent
Somalia	Somalia
Categoria:Somalia	Somalia
Somerset	Somerset
Somme (dipartimento francese)	Somme
Sonata	Sonata
Canzone (musica)	Song
Cantico dei cantici	Song of Solomon
Sonetto	Sonnet
Sophia Loren	Sophia Loren
Sofistica	Sophism
Sofocle	Sophocles
Soprano	Soprano
Sorbona	Sorbonne
Sorghum	Sorghum
Algoritmo di ordinamento	Sorting algorithm
Anima	Soul
Suono	Sound
Minestra	Soup
Codice sorgente	Source code
Sud	South
Categoria:Sudafrica	South Africa
America meridionale	South America
Categoria:America meridionale	South America
Australia Meridionale	South Australia
Carolina del Sud	South Carolina
Categoria:Carolina del Sud	South Carolina
Mar Cinese meridionale	South China Sea
Dakota del Sud	South Dakota
Categoria:Dakota del Sud	South Dakota
Isola del Sud	South Island
Corea del Sud	South Korea
Categoria:Corea del Sud	South Korea
Polo Sud	South Pole
Vietnam del Sud	South Vietnam
Sud-est asiatico	Southeast Asia
Emisfero australe	Southern Hemisphere
Sovranità	Sovereignty
Unione Sovietica	Soviet Union
Categoria:Unione Sovietica	Soviet Union
Glycine max	Soybean
Spazio	Space
Space Shuttle	Space Shuttle
Stazione spaziale	Space station
Veicolo spaziale	Spacecraft
Spaghetti	Spaghetti
Spagna	Spain
Categoria:Spagna	Spain
Spam	Spam (electronic)
Guerra civile spagnola	Spanish Civil War
Categoria:Spagnoli	Spanish people
Guerra ispano-americana	Spanish-American War
Sparta	Sparta
Lancia (arma)	Spear
Relatività ristretta	Special relativity
Specie	Species
Spettroscopia	Spectroscopy
Velocità media	Speed
Velocità della luce	Speed of light
Speleologia	Speleology
Spencer Tracy	Spencer Tracy
Physeter macrocephalus	Sperm Whale
Spermatophyta	Spermatophyte
Spermatozoo	Spermatozoon
Sfera	Sphere
Sfinge#Mitologia greca	Sphinx
Spezia (alimento)	Spice
Araneae	Spider
Spin	Spin (physics)
Spinacia oleracea	Spinach
Midollo spinale	Spinal cord
Galassia spirale	Spiral galaxy
Milza	Spleen
Spalato	Split
Porifera	Sponge
Sport	Sport
Foglio elettronico	Spreadsheet
Sprea	Spree
Primavera	Spring (season)
Springfield (Illinois)	Springfield
Spyware	Spyware
Squamata	Squamata
Quadrato (geometria)	Square (geometry)
Metro quadro	Square metre
Radice quadrata	Square root
Squash	Squash (sport)
scoiattolo	Squirrel
Sri Lanka	Sri Lanka
Categoria:Sri Lanka	Sri Lanka
Saint Louis (Missouri)	St. Louis
Stadio	Stadium
Acciaio inox	Stainless steel
Stalinismo	Stalinism
Standard Generalized Markup Language	Standard Generalized Markup Language
Deviazione standard	Standard deviation
Stanford University	Stanford University
Stanley Kubrick	Stanley Kubrick
Stella	Star
Maghen David	Star of David
Amido	Starch
Asteroidea	Starfish
Stato	State
Staten Island	Staten Island
Meccanica statistica	Statistical mechanics
Statistica	Statistics
Categoria:Statistica	Statistics
Statua della Libertà	Statue of Liberty
Stavanger	Stavanger
Vapore	Steam
Motore a vapore	Steam engine
Acciaio	Steel
Stefan Zweig	Stefan Zweig
Steffi Graf	Steffi Graf
Stegosaurus	Stegosaurus
Cellula staminale	Stem cell
Stendhal	Stendhal
Stephen Hawking	Stephen Hawking
Steppa	Steppe
Steradiante	Steradian
Sterno	Sternum
Steroide	Steroid
Steven Spielberg	Steven Spielberg
Sting	Sting
Borsa valori	Stock exchange
Stoccolma	Stockholm
Stoicismo	Stoicism
Stomaco	Stomach
Età della pietra	Stone Age
Stonehenge	Stonehenge
Ciconiidae	Stork
Tempesta	Storm
Stretto	Strait
Stretto di Gibilterra	Strait of Gibraltar
Stretto di Hormuz	Strait of Hormuz
Stretto di Magellano	Strait of Magellan
Stretto di Messina	Strait of Messina
Strasburgo	Strasbourg
Strategia	Strategy
Stratigrafia (geologia)	Stratigraphy
Stratosfera	Stratosphere
Fragaria	Strawberry
Stress (medicina)	Stress (medicine)
Teoria delle stringhe	String theory
Ictus	Stroke
Forza nucleare forte	Strong interaction
Stronzio	Strontium
Strutturalismo (filosofia)	Structuralism
Template:S	Stub
Studente	Student
Stupa	Stupa
Sturmabteilung	Sturmabteilung
Stoccarda	Stuttgart
Stige (fiume)	Styx
Africa subsahariana	Sub-Saharan Africa
Subcultura	Subculture
Sublimazione	Sublimation (chemistry)
Sottomarino	Submarine
Sottoinsieme	Subset
Sottrazione	Subtraction
Subversion	Subversion (software)
Sucre (città)	Sucre
Saccarosio	Sucrose
Sudan	Sudan
Categoria:Sudan	Sudan
Sudoku	Sudoku
Canale di Suez	Suez Canal
Suffisso	Suffix
Sufismo	Sufism
Zucchero	Sugar
Suharto	Suharto
Sukarno	Sukarno
Sulawesi	Sulawesi
Zolfo	Sulfur
Diossido di zolfo	Sulfur dioxide
Iprite	Sulfur mustard
Acido solforico	Sulfuric acid
Sultano	Sultan
Sumatra	Sumatra
Sumeri	Sumer
Estate	Summer
Sumo	Sumo
Sole	Sun
Categoria:Sole	Sun
Sun Yat-sen	Sun Yat-sen
Domenica	Sunday
Meridiana	Sundial
Helianthus annuus	Sunflower
Sunnismo	Sunni Islam
Macchia solare	Sunspot
Supercomputer	Supercomputer
Superconduttività	Superconductivity
Superman	Superman
Supernova	Supernova
Corte Suprema degli Stati Uniti	Supreme Court of the United States
Sura	Sura
Tensione superficiale	Surface tension
Chirurgia	Surgeon
Chirurgia	Surgery
Suriname	Suriname
Categoria:Suriname	Suriname
Surrealismo	Surrealism
Surrey	Surrey
Susan Sontag	Susan Sontag
Sushi	Sushi
Suva	Suva
Isole Svalbard	Svalbard
Hirundinidae	Swallow
Cygnus (uccelli)	Swan
Svastica	Swastika
Swaziland	Swaziland
Categoria:Swaziland	Swaziland
Svezia	Sweden
Categoria:Svezia	Sweden
Corona svedese	Swedish krona
Ipomoea batatas	Sweet potato
Nuoto	Swimming
Categoria:Nuoto	Swimming
Franco svizzero	Swiss franc
Categoria:Svizzeri	Swiss people
Svizzera	Switzerland
Categoria:Svizzera	Switzerland
Spada (arma)	Sword
Sydney	Sydney
Sillaba	Syllable
Sylvia Plath	Sylvia Plath
Simbiosi (ecologia)	Symbiosis
Simbolo	Symbol
Sinfonia	Symphony
Sintomo	Symptom
