English	Yiddish
Mary Magdalene	מערי מעגדעלין
Mass	מאסע
Massachusetts	מעסעטשוסעטס
Masturbation	מעסטובארטאציע
Mathematics	מאטעמאטיק
Mathematics	קאַטעגאָריע:מאטעמאטיק
Matter	מאטריאל
May	מאי
Mayor	בירגערמייסטער
Measurement	מאס
Meat	פלייש
Mechanics	מעכאניק
Medication	מעדיצין
Medicine	קאַטעגאָריע:מעדעצין
Mediterranean Sea	מיטלענדישער ים
Melon	מעלאן
Memory	זכרון
Menachem Begin	מנחם בעגין
Menelaus	מענעלאוס
Mentha	מענטא
Mercenary	שכיר חרב
Mercury (planet)	מערקור
Messiah	משיח
Metal	מעטאל
Metaphor	מעטאפאר
Meteorology	קאַטעגאָריע:מעטעאראלאגיע
Metre	מעטער
Mexico	מעקסיקא
Miami	מיאמי
Michigan	מישיגן
Microphone	מיקראפאן
Microscope	מיקראסקאפ
Microwave	מיקראכוואליע
Middle Ages	מיטל אלטער
Middle East	מיטל מזרח
Middle East	קאַטעגאָריע:מיטל מזרח
Milan	מילאן
Mile	מייל
Military	קאַטעגאָריע:מיליטער
Milk	מילך
Millard Fillmore	מילארד פילמאר
Million	מיליאן
Mineral	מינעראל
Minnesota	מינעסאטע
Minsk	מינסק
Minute	מינוט
Miracle	נס
Mirror	שפיגל
Mishnah	משניות
Missouri	מיזורי
Mobile phone	מאביל טעלעפאן
Modem	מאדעם
Moldova	מאלדאוויע
Moldova	קאַטעגאָריע:מאלדאוויע
Molecule	מאלעקול
Monarchy	קעניגרייך
Monday	מאנטיק
Money	געלט
Mongolia	מאנגאליי
Monotheism	מאנאטעיזם
Montana	מאנטענע
Month	מאנאט
Montreal	מאנטרעאל
Moon	לבנה
Morality	מוסר
Moravia	מעהרען
Morocco	מאראקא
Morocco	קאַטעגאָריע:מאראקא
Moscow	מאסקווע
Moses	משה רבינו
Mother	מוטער
Mouse	מויז
Mouse (computing)	מויז (קאמפיוטער)
Muhammad	מוחמד
Multiplication	טאפלונג
Munich	מינכן
Muscle	מוסקל
Museum	מוזעאום
Mushroom	שוועמל
Music	מוזיק
Music	קאַטעגאָריע:מוזיק
Musician	מוזיקער
Musicology	מוזיקאלאגיע
Mutation	מוטאציע
Myocardial infarction	הארץ אטאקע
Mysticism	מיסטיק
Mythology	מיטאלאגיע
Mythology	קאַטעגאָריע:מיטאלאגיע
Nail (anatomy)	נאגל (אנאטאמיע)
Nail (fastener)	נאגל (בויען)
Naples	נאפאלי
Nation	פאלק (נאציאן)
National Security Agency	NSA
Nationalism	נאציאנאליזם
Nationalism	קאַטעגאָריע:נאציאנאליזם
Natural number	נאטורלעכע צאל
Natural selection	נאטירלעכע סעלעקציע
Nature	נאטור
Nature	קאַטעגאָריע:נאטור
Navigation	קאַטעגאָריע:נאוויגאציע
Nebraska	נעבראסקא
Nebuchadrezzar II	נבוכדנאצר דער צווייטער
Neil Armstrong	ניל ארמסטראנג
Netherlands	האלאנד
Neuron	ניוראן
Nevada	נעוואדא
New Delhi	ניי דעלי
New Hampshire	ניו העמפשער
New Jersey	ניו זשערסי
New Jersey	קאַטעגאָריע:ניו זשערסי
New Mexico	ניו מעקסיקא
New Testament	ברית החדשה
New York	ניו יארק
New York	קאַטעגאָריע:ניו יארק
New York City	ניו יארק סיטי
New Zealand	ניו זילאנד
New Zealand	קאַטעגאָריע:ניו זילאנד
Niagara Falls	ניאגארא פאלס
Nickel	ניקל
Nicotine	ניקאטין
Niels Bohr	ניעלס באהר
Nigeria	ניזשעריא
Night	נאכט
Nile	נילוס
Noah	נח
Noam Chomsky	נועם כאמסקי
Nobel Prize	נאבעל־פריז
Nobel Prize	קאַטעגאָריע:נאבעל פריז
Nominative case	נאמינאטיוו
Nonmetal	נישט-מעטאל
North	צפון
North Dakota	נארט דעקאטע
North Korea	נארט קארעא
North Sea	צפון ים
Norway	נארוועגיע
Nose	נאז
Noun	סובסטאנטיוו
Novel	ראמאן
November	נאוועמבער
Nuclear physics	קערנפיזיק
Number	צאל
Numbers	קאַטעגאָריע:נומערן
Nuremberg	נירנבערג
Obesity	גראב
Ocean	אקעאן
Oceanus	אקעאנוס
October	אקטאבער
Oedipus	עדיפוס
Ohio	אהאיא
Ohio	קאַטעגאָריע:אהאיא
Oil	אויל
Oklahoma	אקלעהאומע
Oligarchy	אליגאראכיע
Olive	איילבירט
Oman	אמאן
Onion	צוויבל
Ontario	אנטעריא
Operating system	אפערירן סיסטעם
Optics	קאַטעגאָריע:אפטיק
Oral sex	ארעל סעקס
Orange (fruit)	מאראנץ
Oregon	ארעגאן
Organ (anatomy)	גליד
Organism	ארגאניזם
Organization	ארגענעזאציע
Orgasm	ארגאזם
Osama bin Laden	אסאמא בין לאדען
Ostrich	בת היענה
Ottawa	אטאווא
Ovum	איי
Oxygen	זויערשטאף
Pacific Ocean	פאציפישער אקעאן
Paganism	אפגאט
Pakistan	פאקיסטאן
Pakistan	קאַטעגאָריע:פאקיסטאן
Paleontology	פאליאנטאלאגיע
Palestine	פאלעסטינע
Palestine	קאַטעגאָריע:פאלעסטינע
Palestine Liberation Organization	פי.על.או.
Pancreas	קישקע
Parabola	פאראבעל
Paraguay	פאראגוויי
Paris	פאריז
Paris	קאַטעגאָריע:פאריז
Parliament	פארלאמענט
Parrot	פאפוגיי
Passover	פסח
Passport	פאספארט
Peace	פרידן
Peat	טארף
Pedophilia	פעדעפיליע
Penguin	פינגװין
Pennsylvania	פענסילוועניע
Pentagon	פינפעק
People	קאַטעגאָריע:פערזענלעכקייטן
People's Republic of China	כינע
Percentage	פראצענט
Periodic table	פעריאדישע טאבעלע
Peru	פערו
Petroleum	נאפט
Pharaoh	פרעה
Pharynx	פארינקס
Philippines	פיליפינען
Philosophy	פילאזאפיע
Philosophy	קאַטעגאָריע:פילאזאפיע
Phobia	פאביע
Phonetics	פאנעטיק
Phonetics	קאַטעגאָריע:פאנעטיק
Photography	פאטאגראפיע
Physician	דאקטער (מעדיצין)
Physics	פיזיק
Physics	קאַטעגאָריע:פיזיק
Physiology	קאַטעגאָריע:פיזיאלאגיע
Pine	סאסנע
Pizza	פיצא
Planet	פלאנעט
Plant	פלאנץ
Plato	פלאטו
Pluto	פלוטאן
Pneumonia	לונגען אנטצינדונג
Podcast	פאדקעסט
Poetry	דיכטונג
Poetry	קאַטעגאָריע:דיכטונג
Pogrom	פאגראם
Poker	פאקער
Poland	פוילן
Poland	קאַטעגאָריע:פוילן
Police	פאליציי
Political party	פאליטישע פארטיי
Political science	קאַטעגאָריע:פאליטישער וויסנשאפט
Politics	פאליטיק
Politics	קאַטעגאָריע:פאליטיק
Polygon	פילעק
Polynomial	פאלינאם
Pope	פויבסט
Population	באפעלקערונג
Pornography	פארנאגראפיע
Portugal	פארטוגאל
Potato	קארטאפל
Pound (mass)	פונט
Power (physics)	מאכט
Prague	פראג
Prayer	תפילה
Pregnancy	שוואנגערן
President	פרעזידענט
President of the United States	USA פרעזידענט
Pressure	דרוק
Prime minister	פרעמיער מיניסטער
Prime number	פרימצאל
Prison	טורמע
Professor	פראפעסאר
Prophet	נביא
Prose	פראזע (ליטעראטור)
Protein	פראטין
Psalms	ספר תהילים
Psychiatry	פסיכיאטריע
Psychology	פסיכאלאגיע
Psychology	קאַטעגאָריע:פסיכאלאגיע
Public relations	פובליק רילעישאנס
Pupil	אויג אפעל
Pyramid	פיראמיד
Pythagoras	פיטאגאראס
Quadratic equation	קוואדראטישע גלייכונג
Quebec	קוויבעק
Queens	קווינס
Question mark	פראגע צייכן
Rabbi	רב
Racism	ראסיזם
Radio	קאַטעגאָריע:ראדיאו
Rain	רעגן
Rainbow	רעגנבויגן
Ramadan	ראמאדאן
Random access memory	RAM
Rape	פארגעוואלדיגונג
Raphael	ראפאעל
Real number	רעאלע צאל
Recession	רעסעסיע
Red	רויט
Red Sea	ים סוף
Referendum	רעפערענדום
Refraction	ברעכונג
Reincarnation	גלגול
Religion	רעליגיע
Religion	קאַטעגאָריע:רעליגיע
Rembrandt	רעמבראנדט
Reproduction	ריפראדאקציע
Republic	רעפובליק
Republic of Ireland	אירלאנד
Republic of Ireland	קאַטעגאָריע:אירלאנד
Republican Party (United States)	רעפובליקאנער פארטיי
Restaurant	רעסטוראנט
Revolution	רעוואלוציע
Rhine	ריין (טייך)
Rhode Island	ראוד איילענד
Rhyme	גראמען
Rice	רייז
Richard Nixon	ריטשארד ניקסאן
Richard Wagner	ריכארד וואגנער
Riga	ריגע
Rio de Janeiro	ריא דע זשאנערא
River	טייך
Robot	ראבאט
Rock (geology)	שטיין
Rock music	קאַטעגאָריע:ראק
Roman mythology	קאַטעגאָריע:רוימישע מיטאלאגיע
Romania	ראמעניע
Romania	קאַטעגאָריע:רומעניע
Rome	רוים
Rome	קאַטעגאָריע:רוים
Ronald Reagan	ראנאלד רעיגען
Rosh Hashanah	ראש השנה
Router	רוטירער
Rubber	ראבער
Rupert Murdoch	רופארט מורדאק
Russia	רוסלאנד
Russia	קאַטעגאָריע:רוסלאנד
Rutherford B. Hayes	רוטערפארד בי. העיס
Saddam Hussein	סאדאם כוסעין
Safari (web browser)	סאפארי
Saliva	שפייאכץ
Salman Rushdie	סאלמאן ראשדי
Salt (chemistry)	זאלץ
Salzburg	זאלצבורג
Sarah Bernhardt	שרה בערנאר
Saskatchewan	סאסקאטשעווען
Satellite	סאטעליט
Saul Bellow	סאול בעלאו
Sausage	ווורשט
School	שולע
Schutzstaffel	עס.עס.
Science	וויסנשאפט
Science	קאַטעגאָריע:וויסנשאפט
Sculpture	סקולפטור
Sea	ים
Sea of Marmara	ים פון מארמארא
Seattle	סיאטל
Second	סעקונדע
Security	קאַטעגאָריע:זיכערהייט
Semen	זרע
September 11	9/11
Serbia	סערביע
Serbia	קאַטעגאָריע:סערביע
Set	סכום (מאטעמאטיק)
Set theory	סכומען טעאריע
Seven Years' War	זיבן יעריגער קריג
Share (finance)	אקציע (פינאנץ)
Shark	שארק
Ship	שיף
Sigmund Freud	זיגמונד פרויד
Silver	זילבער
Sin	זינד
Singapore	סינגאפור
Singapore	קאַטעגאָריע:סינגאפור
Six-Day War	זעקסטאגיקע מלחמה
Skin	הויט
Skinhead	סקינהעד
Skyscraper	וואלקן קראצער
Sleep	שלאף
Slovakia	סלאוואקיי
Slovakia	קאַטעגאָריע:סלאוואקיי
Slovenia	סלאוועניע
Slovenia	קאַטעגאָריע:סלאוועניע
Snake	שלאנג
Snow	שניי
Soap	זייף
Socialism	סאציאליזם
Socialism	קאַטעגאָריע:סאציאליזם
Society	קאַטעגאָריע:געזעלשאפט
Society	געזעלשאפט
Sociology	סאציאלאגיע
Sociology	קאַטעגאָריע:סאציאלאגיע
Sofia	סאפיע, בולגאריע
Software	קאַטעגאָריע:סאפטוועיר
Soil	באדן
Solar System	זון סיסטעם
Solar System	קאַטעגאָריע:סאלאר סיסטעם
Solomon	שלמה המלך
Somalia	סאמאליע
Song	ליד
Song of Solomon	שיר השירים
Soul	נשמה
Soup	זופ
South	דרום
South Africa	קאַטעגאָריע:דרום אפריקע
South America	דרום אמעריקע
South America	קאַטעגאָריע:דרום אמעריקע
South Carolina	סאוט קארעליינע
South Dakota	סאוט-דעקאטע
South Korea	דרום קארעע
South Pole	דרום פאלוס
Sovereignty	אויבערשאפט
Soviet Union	סאוועטן פארבאנד
Space Shuttle	ספעיס שאטעל
Spain	שפאניע
Spam (electronic)	ספעם
Special relativity	ספעציעלע טעאריע פון רעלאטיוויטעט
Species	זגאל
Spermatozoon	זרע
Sphinx	ספינקס
Spider	ספיידער
Sport	ספארט
Spreadsheet	ספרעדשיט
Spring (season)	פרילינג
Square (geometry)	קוואדראט
Square root	קוואדראט ווארצל
Star	שטערן
Star of David	מגן דוד
Starch	סטארטש
State	שטאט
Statistics	סטאטיסטיק
Statistics	קאַטעגאָריע:סטאטיסטיק
Statue of Liberty	סטעטשו אוו ליבערטי
Steam	פארע
Stem cell	סטעם צעל
Stephen Hawking	סטיווען האקינג
Steven Spielberg	סטיווען ספילבערג
Stock exchange	סטאק עקסטשעינזש
Stockholm	שטאקהאלם
Stomach	מאגן
Stone Age	שטיין עפאכע
Straits	קאַטעגאָריע:דורכגאסן
Strasbourg	שטראסבורג
Strawberry	טרוסקאווקע
Student	סטודענט
Stuttgart	שטוטגארט
Subtraction	אראפנעם
Sudan	סודאן
Sudoku	סודאקו
Suez Canal	סועץ קאנאל
Sugar	צוקער
Sulfur	שװעבל
Summer	זומער
Sun	זון
Sunday	זונטיק
Sunni Islam	סוניס
Suriname	סורינאם
Swastika	האקנקרייץ
Sweden	שוועדן
Sweden	קאַטעגאָריע:שוועדן
Switzerland	שווייץ
Syllable	ארויסזאג
Symptom	סימפטאם
Synagogue	שול
Syria	סיריע
System	סיסטעם
Table (furniture)	טיש
Taboo	טאבו
Taiwan	טייוואן
Tajikistan	טאדזשיקיסטאן
Taliban	טאליבאן
Tallinn	טאלין
Talmud	תלמוד
Tanakh	תנ"ך
Tango (dance)	טאנגא
Tank	טאנק
Tapir	טאפיר
Tashkent	טאשקענט
Taste	טעם
Tattoo	טאטו
Taxonomy	טאקסאנאמיע
Tbilisi	טביליסי
Teacher	לערער
Technology	טעכנאלאגיע
Technology	קאַטעגאָריע:טעכנעלאגיע
Tehran	טעהראן
Tel Aviv	תל אביב
Telephone	טעלעפאן
Telescope	טעלעסקאפ
Television	טעלעוויזיע
Television	קאַטעגאָריע:טעלעוויזיע
Temperature	טעמפעראטור
Ten Commandments	עשרת הדיברות
Tennessee	טענעסי
Terrorism	טעראריזם
Terrorism	קאַטעגאָריע:טעראר
Texas	טעקסעס
Thailand	טיילאנד
The Hague	דען האג
The Star-Spangled Banner	די סטאר ספענגלד בענער
Theatre	טעאטער
Theatre	קאַטעגאָריע:טעאטער
Theodore Roosevelt	טעאודער רוזעוועלט
Theology	טעאלאגיע
Theology	קאַטעגאָריע:טעאלאגיע
Theory	טעאריע
Thomas Edison	טאמעס עדיסאן
Thomas Jefferson	טאמעס זשעפערסאן
Thought	טראכטן
Thursday	דאנערשטיק
Thyroid	טיירויד
Tiger	טיגער
Time	צייט
Time	קאַטעגאָריע:צייט
Tin	צין
Tissue (biology)	ביאלאגישע טישו
Titanium	טיטאניום
Tobacco	טאבאקא
Tomato	טאמאטע
Ton	טאן
Tongue	צונג
Tonne	טאן
Tony Blair	טאני בלער
Tool	ווערקצייג
Tooth	ציין
Torah	תורה
Tornado	טארנאדא
Toronto	טאראנטא
Torque	טוירק
Toulouse	טולוז
Tour de France	טור דע פראנס
Tourism	טוריזם
Tourism	קאַטעגאָריע:טוריזם
Trade	האנדל
Tradition	טראדיציע
Tragedy	טראגעדיע
Train	באן
Train station	וואקזאל
Tram	טראמוויי
Transistor	טראנזיסטאר
Transportation	קאַטעגאָריע:טראנספארטאציע
Transsexualism	טרענסעקסואליזם
Transylvania	זיבנבורגן
Trapezoid	טראפעז
Treaty of Versailles	אפמאך פון ווערסיי
Tree	בוים
Triangle	דרייעק
Tripoli	טריפאלי
Trojan War	טרויאנישער קריג
Troll (Internet)	טראל (אינטערנעט)
Truck	לאסט אויטא
Truth	אמת
Tsunami	צונאמי
Tuberculosis	טובערקולאז
Tuesday	דינסטיק
Turkey	טערקיי
Turkey	קאַטעגאָריע:טערקיי
Turkmenistan	טורקמעניסטאן
Turkmenistan	קאַטעגאָריע:טורקמעניסטאן
Typewriter	שרייבמאשין
Ukraine	אוקריינא
Ukraine	קאַטעגאָריע:אוקריינע
Ulysses S. Grant	יוליסעס סימפסאן גרענט
Uncertainty principle	דער אימזיכערקייט פרינציפ
Unemployment	ארבעטסלאזיקײט
Unidentified flying object	אומאידענטיפיצירטער פליענדער אביעקט
United Kingdom	פאראייניגטע קעניגרייך
United Kingdom	קאַטעגאָריע:בריטאניע
United Nations	יו ען
United States	פאראייניקטע שטאטן פון אמעריקע
United States	קאַטעגאָריע:USA
United States Air Force	אמעריקאנער לופטפלאט
United States Congress	קאנגרעס
United States Navy	אמעריקאנער פלאט
United States Senate	סענאט
United States dollar	אמעריקאנער וואלוטע
Universe	אוניווערס
University	אוניווערסיטעט
Unix	יוניקס
Uranus	אוראנוס
Uranus (mythology)	אוראנוס (אפגאט)
Urine	יורינע
Uruguay	אורוגוויי
Utah	יוטא
Uterus	רחם
Uzbekistan	אוזבעקיסטאן
Uzbekistan	קאַטעגאָריע:אוזבעקיסטאן
Vacuum	וואקיום
Vagina	וועזשיינע
Valentine's Day	וועלענטיינס דעי
Vatican City	וואטיקאן
Vatican City	קאַטעגאָריע:וואטיקאן
Vector (spatial)	וועקטאר
Vegetable	גרינצייג
Venezuela	ווענעזועלע
Venezuela	קאַטעגאָריע:װענעזועלע
Venice	ווענעציע
Venus	ווענוס
Verb	צייטווארט
Vermont	ווערמאנט
Vertebral column	רוקן ביין
Vertebrate	ווערטייברעיטס
Video	ווידיאו
Vienna	וויען
Vilnius	ווילנע
Vincent van Gogh	ווינצענט וואן גאך
Vinegar	עסיג
Violin	פידל
Virginia	ווירזשיניע
Virtue	מעלות
Virus	ווירוס
Vitamin	וויטאמין
Vitamin C	וויטאמין C
Vitamin D	וויטאמין D
Vladimir Putin	וולאדימיר פוטין
Volcano	וואולקאן
Vowel	וואקאלן
Walrus	וואלראס
War	קריג
War	קאַטעגאָריע:מלחמות
Warsaw	ווארשע
Wart	חזיר ווארצל
Washington	וואשינגטאן די סי
Washington	וואשינגטאן
Washington	קאַטעגאָריע:וואשינגטאן
Waste	מיסט
Water	וואסער
Water	קאַטעגאָריע:וואסער
Watermelon	מעלאנע
Weather	וועטער
Web browser	בראוזער
Web page	וועב סייט
Website	וועב סייט
Wednesday	מיטוואך
Week	וואָך
Weight	וואג
Wellington	װעלינגטאן
West	מערב
West Bank	מערב ברעג
West Virginia	וועסט ווירדזשיניע
Whale	וואל-פיש
Wheat	ווייץ
Wheel	ראד
White House	ווייסע הויז
White blood cell	ווייסע בלוט צעל
William Henry Harrison	וויליאם הענרי העריסאן
William Howard Taft	וויליאם האווארד טעפט
William McKinley	וויליאם מעקינלי
William Shakespeare	וויליאם שייקספיר
Willow	ערבה
Wind instrument	בלאז אינסטרומענטן
Window	פענסטער
Wine	וויין
Winston Churchill	ווינסטאן טשערטשיל
Winter	ווינטער
Wisconsin	וויסקאנסין
Wolfgang Amadeus Mozart	וואלפגאנג אמאדעיוס מאצארט
Woman	פרוי
Wood	האלץ
Woodrow Wilson	טאמעס וואדראו ווילסאן
Woody Allen	וואדי עלען
Word	װאָרט
Word processor	ווארט פראצעסאר
World	וועלט
World Health Organization	װעלט געזונט ארגאניזאציע
World Trade Center	World Trade Center
World War I	ערשטע וועלט מלחמה
World War I	קאַטעגאָריע:ערשטע וועלט מלחמה
World War II	צווייטער וועלט קריג
World War II	קאַטעגאָריע:צווייטער וועלט קריג
Worm	וואָרעם
Writer	שרייבער
Wyoming	ווייאמינג
X-ray	עקס-רעי
Yasser Arafat	יאסיר אראפאט
Year	יאר
Years	קאַטעגאָריע:יארן
Yeast	הייוון
Yellow	געל
Yemen	תימן
Yerevan	יערעוואן
Yoga	יאגא
Yoghurt	יאגארט
Yom Kippur	יום כיפור
Yom Kippur War	יום כיפור מלחמה
Zachary Taylor	זאכארי טעילאר
Zeus	זעאוס
Zimbabwe	זימבאבװע
Zionism	ציוניזם
Zoology	זאאלאגיע
Zoology	קאַטעגאָריע:זאאלאגיע
