Portuguese	English
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Equação diferencial	Differential equation
Difração	Diffraction
Difusão molecular	Diffusion
Digestão	Digestion
Categoria:Sistema digestivo	Digestive system
Câmera digital	Digital camera
Fotografia digital	Digital photography
DSL	Digital subscriber line
Dijon	Dijon
Endro	Dill
Dimensão (matemática)	Dimension
Dingo	Dingo
Dinossauros	Dinosaur
Diocese	Diocese
Diocleciano	Diocletian
Diodo semicondutor	Diode
Dioniso	Dionysus
Difteria	Diphtheria
Ditongo	Diphthong
Diplodoco	Diplodocus
Diplomacia	Diplomacy
Categoria:Diplomacia	Diplomacy
Dire Straits	Dire Straits
Corrente contínua	Direct current
Dissacarídeo	Disaccharide
Categoria:Desambiguação	Disambiguation
DJ	Disc jockey
Discurso	Discourse
Discriminação	Discrimination
Doença	Disease
Distância	Distance
Destilação	Distillation
Divergente	Divergence
Divisão	Division (mathematics)
Divisão (militar)	Division (military)
Divórcio	Divorce
Dizzy Gillespie	Dizzy Gillespie
Categoria:Djibouti	Djibouti
Djibouti (cidade)	Djibouti (city)
Dmitri Mendeleiev	Dmitri Mendeleev
Dmitri Shostakovitch	Dmitri Shostakovich
Rio Dniepre	Dnieper River
Dnipropetrovsk	Dnipropetrovsk
Dobermann	Doberman Pinscher
Doutor da Igreja	Doctor of the Church
Documento	Document
Dodecaedro	Dodecahedron
Dodecaneso	Dodecanese
Dodó	Dodo
Dodoma	Dodoma
Cão	Dog
Dogma	Dogma
Doha	Doha
Ovelha Dolly	Dolly (sheep)
Dólmen	Dolmen
Dolomita	Dolomite
Golfinho	Dolphin
Domínio (biologia)	Domain (biology)
Domínio	Domain name
Cúpula	Dome
Domesday Book	Domesday Book
Domesticação	Domestication
Dominica	Dominica
Categoria:Dominica	Dominica
Ordem dos Pregadores	Dominican Order
República Dominicana	Dominican Republic
Categoria:República Dominicana	Dominican Republic
Domiciano	Domitian
Don Quixote de la Mancha	Don Quixote
Rio Don (Rússia)	Don River (Russia)
Pato Donald	Donald Duck
Donatello	Donatello
Donato di Angelo di Pascuccio	Donato Bramante
Donetsk	Donetsk
Asno	Donkey
Porta	Door
Dopamina	Dopamine
Efeito Doppler	Doppler effect
Dorado	Dorado
Ordem dórica	Doric order
Doris Lessing	Doris Lessing
Dortmund	Dortmund
Douala	Douala
Contrabaixo	Double bass
Douglas MacArthur	Douglas MacArthur
Dover (Delaware)	Dover
Dover (Inglaterra)	Dover
Síndrome de Down	Down syndrome
Draco	Draco (constellation)
Drácula	Dracula
Dragão	Dragon
Bacia hidrográfica	Drainage basin
Drama	Drama
Damas	Draughts
Sonho	Dream
Dresden	Dresden
Bebida	Drink
Dromedário	Dromedary
Seca	Drought
Toxicomania	Drug addiction
Druida	Druid
Tambor	Drum
Dualismo	Dualism
Dualismo	Dualism (philosophy of mind)
Dubai	Dubai
Dublin	Dublin
Dúbnio	Dubnium
Dubrovnik	Dubrovnik
Pato	Duck
Dugongo	Dugong
Duque	Duke
Duke Ellington	Duke Ellington
Universidade de Duke	Duke University
Duna	Dune
Dunquerque	Dunkirk
Duodeno	Duodenum
Durban	Durban
Duchambe	Dushanbe
Dustin Hoffman	Dustin Hoffman
Categoria:Neerlandeses	Dutch people
Dwight D. Eisenhower	Dwight D. Eisenhower
Dinâmica	Dynamics (physics)
Dinamite	Dynamite
Dinastia	Dynasty
Dislexia	Dyslexia
Disprósio	Dysprosium
Distopia	Dystopia
E	E
Número de Euler	E (mathematical constant)
E-mail	E-mail
Ernst Theodor Amadeus Wilhelm Hoffmann	E. T. A. Hoffmann
Euskadi Ta Askatasuna	ETA
Águia	Eagle
Orelha	Ear
Otariidae	Eared seal
Foca	Earless seal
Terra	Earth
Categoria:Terra	Earth
Ciências da Terra	Earth science
Sismo	Earthquake
Leste	East
África Oriental	East Africa
Mar da China Oriental	East China Sea
Alemanha Oriental	East Germany
East Sussex	East Sussex
Timor-Leste	East Timor
Categoria:Timor-Leste	East Timor
Páscoa	Easter
Igreja Ortodoxa	Eastern Orthodox Church
Ébola	Ebola
Rio Ebro	Ebro
Excentricidade (matemática)	Eccentricity (mathematics)
Eclesiastes	Ecclesiastes
Equidna	Echidna
Equídina	Echidna (mythology)
Equinoderme	Echinoderm
Eclipse	Eclipse
Eclipse (IDE)	Eclipse (software)
Eclíptica	Ecliptic
Nicho ecológico	Ecological niche
Ecologia	Ecology
Categoria:Ecologia	Ecology
Econometria	Econometrics
Economia	Economics
Categoria:Economia	Economics
Economia	Economy
Ecossistema	Ecosystem
Equador	Ecuador
Categoria:Equador	Ecuador
Concílios Ecuménicos Católicos	Ecumenical council
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edgar Rice Burroughs	Edgar Rice Burroughs
Edimburgo	Edinburgh
Edirne	Edirne
Edmond Halley	Edmond Halley
Edmonton	Edmonton
Edmund Burke	Edmund Burke
Edmund Hillary	Edmund Hillary
Edmund Husserl	Edmund Husserl
Eduard Buchner	Eduard Buchner
Educação	Education
Categoria:Educação	Education
Edvard Grieg	Edvard Grieg
Edvard Munch	Edvard Munch
Edward Gibbon	Edward Gibbon
Edward Jenner	Edward Jenner
Edward Teller	Edward Teller
Eduardo, o Confessor	Edward the Confessor
Edwin Powell Hubble	Edwin Hubble
Anguilliformes	Eel
Ovo	Egg (biology)
Beringela	Eggplant
Egipto	Egypt
Categoria:Egito	Egypt
Libra egípcia	Egyptian pound
Egiptologia	Egyptology
Torre Eiffel	Eiffel Tower
Eindhoven	Eindhoven
Einstênio	Einsteinium
Ejaculação	Ejaculation
El Cid	El Cid
El Greco	El Greco
El Paso	El Paso
El Salvador	El Salvador
Categoria:El Salvador	El Salvador
Elam	Elam
Rio Elba	Elbe
Eleanor Roosevelt	Eleanor Roosevelt
Eleição	Election
Electra	Electra
Carga elétrica	Electric charge
Corrente elétrica	Electric current
Campo eléctrico	Electric field
Guitarra elétrica	Electric guitar
Motor elétrico	Electric motor
Categoria:Engenharia elétrica	Electrical engineering
Engenharia eléctrica	Electrical engineering
Resistência elétrica	Electrical resistance
Electricidade	Electricity
Categoria:Eletricidade	Electricity
Eletrocardiograma	Electrocardiogram
Eletroquímica	Electrochemistry
Categoria:Eletroquímica	Electrochemistry
Eletrólise	Electrolysis
Eletrólito	Electrolyte
Radiação electromagnética	Electromagnetic radiation
Espectro eletromagnético	Electromagnetic spectrum
Electromagnetismo	Electromagnetism
Categoria:Eletromagnetismo	Electromagnetism
Elétron	Electron
Microscópio eletrônico	Electron microscope
Eletronegatividade	Electronegativity
Eletrônica	Electronics
Categoria:Eletrônica	Electronics
Elegia	Elegy
Elementos	Element
Partícula elementar	Elementary particle
Elefante	Elephant
Elevador	Elevator
Elfo	Elf
Elia Kazan	Elia Kazan
Elias Canetti	Elias Canetti
Elias (profeta)	Elijah
Elizabeth Taylor	Elizabeth Taylor
Ella Fitzgerald	Ella Fitzgerald
Elipse	Ellipse
Reticências	Ellipsis
Ulmeiro	Elm
Elvis Presley	Elvis Presley
Embrião	Embryo
Embriologia	Embryology
Esmeralda	Emerald
Emília-Romanha	Emilia-Romagna
Emiliano Zapata	Emiliano Zapata
Emily Dickinson	Emily Dickinson
Emir	Emir
Emma Goldman	Emma Goldman
Emoticon	Emoticon
Emoção	Emotion
Categoria:Emoções	Emotion
Empatia	Empathy
Empédocles	Empedocles
Imperador	Emperor
Pinguim-imperador	Emperor Penguin
Império	Empire
Empire State Building	Empire State Building
Empirismo	Empiricism
Emu	Emu
Emulador	Emulator
Emulsão	Emulsion
Enciclopédia	Encyclopedia
Endemismo	Endemism
Sistema endócrino	Endocrine system
Endocrinologia	Endocrinology
Categoria:Endocrinologia	Endocrinology
Energia	Energy
Categoria:Energia	Energy
Energia	Energy (society)
Motor	Engine
Engenharia	Engineering
Categoria:Engenharia	Engineering
Inglaterra	England
Categoria:Inglaterra	England
Canal da Mancha	English Channel
Guerra civil inglesa	English Civil War
Língua inglesa	English language
Categoria:Ingleses	English people
Ingleses	English people
Enki	Enki
Enrico Caruso	Enrico Caruso
Enrico Fermi	Enrico Fermi
Categoria:Entretenimento	Entertainment
Entalpia	Enthalpy
Entomologia	Entomology
Categoria:Entomologia	Entomology
Entropia	Entropy
Categoria:Ambiente	Environment
Ambiente	Environment
Enzima	Enzyme
Eoceno	Eocene
Éon geológico	Eon (geology)
Eos	Eos
Éfeso	Ephesus
Poesia épica	Epic poetry
Epicentro	Epicenter
Epiteto	Epictetus
Epicuro	Epicurus
Epidemia	Epidemic
Epidemiologia	Epidemiology
Epigrafia	Epigraphy
Epilepsia	Epilepsy
Epimeteu	Epimetheus (mythology)
Adrenalina	Epinephrine
Epifania	Epiphany (Christian)
Épiro	Epirus (periphery)
Epistemologia	Epistemology
Epístola aos Gálatas	Epistle to the Galatians
Epístola aos Romanos	Epistle to the Romans
Epitélio	Epithelium
Ε	Epsilon
Equação	Equation
Linha do Equador	Equator
Guiné Equatorial	Equatorial Guinea
Categoria:Guiné Equatorial	Equatorial Guinea
Equus	Equidae
Equinócio	Equinox
Cavalinha (planta)	Equisetum
Erasure	Erasure
Erato	Erato
Eratóstenes	Eratosthenes
Érbio	Erbium
Érebo	Erebus
Disfunção erétil	Erectile dysfunction
Ereção	Erection
Ericaceae	Ericaceae
Ericales	Ericales
Eridanus	Eridanus (constellation)
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Erik Satie	Erik Satie
Éris (planeta anão)	Eris (dwarf planet)
Éris	Eris (mythology)
Categoria:Eritreia	Eritrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Ernst Werner von Siemens	Ernst Werner von Siemens
Eros	Eros (mythology)
Erosão	Erosion
Erotismo	Erotica
Erwin Rommel	Erwin Rommel
Velocidade de escape	Escape velocity
Escatologia	Eschatology
Escherichia coli	Escherichia coli
Isfahan	Esfahan
Esófago	Esophagus
Esperanto	Esperanto
Categoria:Esperanto	Esperanto
Espionagem	Espionage
Espoo	Espoo
Café expresso	Espresso
Ensaio	Essay
Essen	Essen
Óleo essencial	Essential oil
Essex	Essex
Éster	Ester
Categoria:Estónia	Estonia
Estrogênio	Estrogen
Η	Eta (letter)
Água-forte	Etching
Etano	Ethane
Etanol	Ethanol
Éter	Ether
Ethernet	Ethernet
Ética	Ethics
Categoria:Ética	Ethics
Etiópia	Ethiopia
Categoria:Etiópia	Ethiopia
Etnografia	Ethnography
Categoria:Etnologia	Ethnology
Etologia	Ethology
Etileno	Ethylene
Etimologia	Etymology
Eucalipto	Eucalyptus
Eucaristia	Eucharist
Euclides	Euclid
Geometria euclidiana	Euclidean geometry
Eugene O'Neill	Eugene O'Neill
Eukaryota	Eukaryote
Eunuco	Eunuch
Eufemismo	Euphemism
Rio Eufrates	Euphrates
Eurásia	Eurasia
Texugo-europeu	Eurasian Badger
Eurípedes	Euripides
Euro	Euro
Europa (satélite)	Europa (moon)
Europa (mitologia)	Europa (mythology)
Europa	Europe
Categoria:Europa	Europe
Banco Central Europeu	European Central Bank
Comunidade Económica Europeia	European Community
Pega-rabuda	European Magpie
União Europeia	European Union
Categoria:União Europeia	European Union
Európio	Europium
Eusébio de Cesareia	Eusebius of Caesarea
Euterpe	Euterpe
Eutanásia	Euthanasia
Eva Braun	Eva Braun
Evanescence	Evanescence
Evangelista Torricelli	Evangelista Torricelli
Evaporação	Evaporation
Artiodátilos	Even-toed ungulate
Evolução	Evolution
Excalibur	Excalibur
Taxa de câmbio	Exchange rate
Ponto de exclamação	Exclamation mark
Excomunhão	Excommunication
Poder executivo	Executive (government)
Exibicionismo	Exhibitionism
Existencialismo	Existentialism
Livro do Êxodo	Exodus
Valor esperado	Expected value
Experiência científica	Experiment
Explosão	Explosion
Exposição mundial	Expo (exhibition)
Função exponencial	Exponential function
Exponenciação	Exponentiation
Expressionismo	Expressionism
Extinção	Extinction
Olho	Eye
Categoria:Olho	Eye
Ezra Pound	Ezra Pound
F	F
F. Scott Fitzgerald	F. Scott Fitzgerald
Fabaceae	Fabaceae
Fábula	Fable
Face	Face
Predefinição:Carece de fontes	Fact
Factorial	Factorial
Usina	Factory
Manchas solares	Facula
Fado	Fado
Categoria:Fagaceae	Fagaceae
Fagales	Fagales
Grau Fahrenheit	Fahrenheit
Fair use	Fair use
Fada	Fairy
Contos de fadas	Fairy tale
Falcão	Falcon
Falconiformes	Falconiformes
Ilhas Malvinas	Falkland Islands
Falácia	Fallacy
Trompas de Falópio	Fallopian tube
Gamo	Fallow Deer
Falun Gong	Falun Gong
Categoria:Família	Family
Família (biologia)	Family (biology)
Genealogia	Family history
Sobrenome	Family name
Fantasia (gênero)	Fantasy
Extremo Oriente	Far East
Farad	Farad
Categoria:Ilhas Feroé	Faroe Islands
Fascismo	Fascism
Categoria:Fascismo	Fascism
Categoria:Moda	Fashion
Moda	Fashion
Fast-food	Fast food
Jejum	Fasting
Fatah	Fatah
Ácido graxo	Fatty acid
Falha geológica	Fault (geology)
Fauna	Fauna
Fovismo	Fauvism
Fax	Fax
Medo	Fear
Pena	Feather
Fevereiro	February
12 de Fevereiro	February 12
14 de Fevereiro	February 14
2 de Fevereiro	February 2
22 de Fevereiro	February 22
29 de Fevereiro	February 29
Revolução de Fevereiro	February Revolution
Fezes	Feces
Federal Bureau of Investigation	Federal Bureau of Investigation
Reserva Federal dos Estados Unidos da América	Federal Reserve System
Estados Federados da Micronésia	Federated States of Micronesia
Categoria:Estados Federados da Micronésia	Federated States of Micronesia
Federação	Federation
Federico Fellini	Federico Fellini
Fedora Core	Fedora (Linux distribution)
Retroalimentação	Feedback
Feldspato	Feldspar
Felídeos	Felidae
Felix Mendelssohn Bartholdy	Felix Mendelssohn
Feminismo	Feminism
Categoria:Feminismo	Feminism
Esgrima	Fencing
Feng Shui	Feng shui
Funcho	Fennel
Fenris	Fenrir
Feno-grego	Fenugreek
Fernando II, Sacro Imperador Romano-Germânico	Ferdinand II
Fernão de Magalhães	Ferdinand Magellan
Ferdinand de Saussure	Ferdinand de Saussure
Fermentação	Fermentation (biochemistry)
Fermentação	Fermentation (food)
Férmion	Fermion
Férmio	Fermium
Samambaia	Fern
Ferrara	Ferrara
Balsa	Ferry
Crescente Fértil	Fertile Crescent
Fecundação	Fertilisation
Fertilizante	Fertilizer
Feto	Fetus
Feudalismo	Feudalism
Febre	Fever
FIAT	Fiat
Número de Fibonacci	Fibonacci number
Categoria:Ficção	Fiction
Personagem	Fictional character
Fidel Castro	Fidel Castro
Corpo (matemática)	Field (mathematics)
Hóquei em Campo	Field hockey
Caça (avião)	Fighter aircraft
Patinação artística	Figure skating
Fiji	Fiji
Categoria:Fiji	Fiji
FAT	File Allocation Table
File Transfer Protocol	File Transfer Protocol
Sistema de ficheiros	File system
Filippo Brunelleschi	Filippo Brunelleschi
Categoria:Cinema	Film
Film	Film
Portal:Cinema	Film
Diretor de cinema	Film director
Baleia-comum	Fin Whale
Categoria:Finanças	Finance
Finanças	Finance
Dedo	Finger
Impressão digital (anatomia)	Fingerprint
Finlândia	Finland
Categoria:Finlândia	Finland
Abies	Fir
Fogo	Fire
Arma de fogo	Firearm
Bombeiro	Firefighter
Firewall	Firewall (networking)
Firmware	Firmware
Primeiro Concílio de Constantinopla	First Council of Constantinople
Primeiro Concílio de Niceia	First Council of Nicaea
Primeira Cruzada	First Crusade
Primeira Epístola aos Coríntios	First Epistle to the Corinthians
Primeiros socorros	First aid
Língua materna	First language
Peixe	Fish
Categoria:Peixes	Fish
Pesca	Fishing
Categoria:Pesca	Fishing
Fiorde	Fjord
Bandeira	Flag
Flagelo	Flagellum
Flamenco	Flamenco
Flamingo	Flamingo
Flandres	Flanders
Memória flash	Flash memory
Flatulência	Flatulence
Platelmintos	Flatworm
Pulga	Flea
Língua flamenga	Flemish (linguistics)
Sílex	Flint
Flip-flop	Flip-flop (electronics)
Inundação	Flood
Disquete	Floppy disk
Florença	Florence
Florence Nightingale	Florence Nightingale
Flórida	Florida
Categoria:Flórida	Florida
Farinha	Flour
Flor	Flower
Angiosperma	Flowering plant
Fluido	Fluid
Mecânica dos fluidos	Fluid mechanics
Fluorita	Fluorite
Diptera	Fly
Neblina	Fog
Ácido fólico	Folic acid
Música folclórica	Folk music
Folclore	Folklore
Categoria:Folclore	Folklore
Alimento	Food
Aditivo alimentar	Food additive
Organização das Nações Unidas para a Agricultura e a Alimentação	Food and Agriculture Organization
Cadeia alimentar	Food chain
Pé	Foot
Pé (unidade)	Foot (unit of length)
Futebol	Football (soccer)
Categoria:Futebol	Football (soccer)
Categoria:Futebol por países	Football (soccer) by country
Categoria:Clubes de futebol	Football (soccer) clubs
Categoria:Treinadores de futebol	Football (soccer) managers
Categoria:Futebolistas	Football (soccer) players
Categoria:Estádios de futebol	Football (soccer) venues
Cidade Proibida	Forbidden City
Força	Force
Floresta	Forest
Engenharia florestal	Forestry
Garfo	Fork
Forma de governo	Form of government
Metanal	Formaldehyde
Ácido metanóico	Formic acid
Fornax	Fornax
Fort Worth	Fort Worth
Fortaleza (arquitetura militar)	Fortification
Fortran	Fortran
Fóssil	Fossil
Combustível fóssil	Fossil fuel
Pêndulo de Foucault	Foucault pendulum
Fonte	Fountain
Série de Fourier	Fourier series
Quarta Cruzada	Fourth Crusade
Raposa	Fox
Fractal	Fractal
Fração	Fraction (mathematics)
França	France
Categoria:França	France
Francis Bacon (filósofo)	Francis Bacon
Francis Crick	Francis Crick
Francis Drake	Francis Drake
Francis Ford Coppola	Francis Ford Coppola
Francisco I da Áustria	Francis II
Francis Poulenc	Francis Poulenc
Francisco de Assis	Francis of Assisi
Ordem dos Frades Menores	Franciscan
Francisco Franco	Francisco Franco
Francisco de Goya	Francisco Goya
Francisco Pizarro	Francisco Pizarro
Frâncio	Francium
Guerra franco-prussiana	Franco-Prussian War
Frank Lloyd Wright	Frank Lloyd Wright
Frank Sinatra	Frank Sinatra
Frankfort (Kentucky)	Frankfort
Frankfurt am Main	Frankfurt
Categoria:Frankfurt am Main	Frankfurt
Frankfurt an der Oder	Frankfurt (Oder)
Frankfurt (desambiguação)	Frankfurt (disambiguation)
Franklin Pierce	Franklin Pierce
Frans Hals	Frans Hals
Franz Kafka	Franz Kafka
Franz Liszt	Franz Liszt
Franz Schubert	Franz Schubert
Fred Astaire	Fred Astaire
Frederico I, Sacro Imperador Romano-Germânico	Frederick I
Frederico II, Sacro Imperador Romano-Germânico	Frederick II
Frederick Sanger	Frederick Sanger
Frederick Soddy	Frederick Soddy
Fredericton	Fredericton
Estado Livre	Free State
Livre-arbítrio	Free will
Liberdade	Freedom (philosophy)
Liberdade de expressão	Freedom of speech
Maçonaria	Freemasonry
Freetown	Freetown
Software gratuito	Freeware
Polinésia Francesa	French Polynesia
Revolução Francesa	French Revolution
Categoria:Revolução francesa	French Revolution
Franco francês	French franc
Categoria:Franceses	French people
Frequência	Frequency
Afresco	Fresco
Água doce	Freshwater
Fresno (Califórnia)	Fresno
Freya	Freyja
Frey	Freyr
Atrito	Friction
Sexta-feira	Friday
Fridtjof Nansen	Fridtjof Nansen
Friedrich Engels	Friedrich Engels
Frísia (província)	Friesland
Fragata	Frigate
Frigga	Frigg
Fritz Haber	Fritz Haber
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Anura	Frog
Frutose	Fructose
Fruto	Fruit
Categoria:Frutos	Fruit
Fucking (Áustria)	Fucking
Combustível	Fuel
Célula combustível	Fuel cell
Fuga	Fugue
Fukuoka (cidade)	Fukuoka
Lua cheia	Full moon
Funafuti	Funafuti
Função	Function (mathematics)
Categoria:Página principal	Fundamental
Força fundamental	Fundamental interaction
Fundamentalismo	Fundamentalism
Categoria:Fungos	Fungi
Fungos	Fungus
Funicular	Funicular
Funk	Funk
Categoria:Mobiliário	Furniture
Mobiliário	Furniture
Futuro	Future
Futurismo	Futurism (art)
Lógica difusa	Fuzzy logic
Fiódor Dostoiévski	Fyodor Dostoevsky
G	G
GIMP	GIMP
GNOME	GNOME
Gabão	Gabon
Categoria:Gabão	Gabon
Gaborone	Gaborone
Gabriel (arcanjo)	Gabriel
Gabriel Lippmann	Gabriel Lippmann
Gadolínio	Gadolinium
Gaetano Donizetti	Gaetano Donizetti
Gaia (mitologia)	Gaia (mythology)
Galácia	Galatia
Galáxia	Galaxy
Cláudio Galeno	Galen
Galena	Galena
Galícia (Europa Central)	Galicia (Central Europe)
Galiza	Galicia (Spain)
Galiléia	Galilee
Galileu (sonda espacial)	Galileo (spacecraft)
Galileu Galilei	Galileo Galilei
Vesícula biliar	Gallbladder
Galé	Galley
Galliformes	Galliformes
Categoria:Galiformes	Galliformes
Gálio	Gallium
Galão	Gallon
Galway	Galway
Gamal Abdel Nasser	Gamal Abdel Nasser
Jogo de azar	Gambling
Jogo	Game
Teoria dos jogos	Game theory
Γ	Gamma
Radiação gama	Gamma ray
Ganexa	Ganesha
Rio Ganges	Ganges
Gansu	Gansu
Ganímedes (mitologia)	Ganymede
Ganímedes (satélite)	Ganymede (moon)
Gap (Hautes-Alpes)	Gap
Jardim	Garden
Jardim do Éden	Garden of Eden
Jardinagem	Gardening
Garfield	Garfield
Gárgula	Gargoyle
Alho	Garlic
Granada (mineralogia)	Garnet
Rio Garona	Garonne
Gás	Gas
Constante universal dos gases perfeitos	Gas constant
Planeta gasoso	Gas giant
Gasolina	Gasoline
Aparelho digestivo	Gastrointestinal tract
Gastropoda	Gastropoda
Gália	Gaul
Siddhartha Gautama	Gautama Buddha
Gay	Gay
Gaza	Gaza
Faixa de Gaza	Gaza Strip
Engrenagem	Gear
Geb	Geb
Gueixa	Geisha
Gemini (constelação)	Gemini (constellation)
Gema (mineralogia)	Gemstone
Gene	Gene
Genealogia	Genealogy
Categoria:Genealogia	Genealogy
Acordo Geral de Tarifas e Comércio	General Agreement on Tariffs and Trade
General	General Officer
Relatividade geral	General relativity
Gênesis	Genesis
Código genético	Genetic code
Engenharia genética	Genetic engineering
Genética	Genetics
Categoria:Genética	Genetics
Genebra	Geneva
Gênio	Genie
Caso genitivo	Genitive case
Génova	Genoa
Genocídio	Genocide
Categoria:Genocídios	Genocide
Genoma	Genome
Genótipo	Genotype
Género (biologia)	Genus
Geoquímica	Geochemistry
Geodésia	Geodesy
Categoria:Geodésia	Geodesy
Geoffrey Chaucer	Geoffrey Chaucer
Geografia	Geography
Categoria:Geografia	Geography
Portal:Geografia	Geography
Categoria:Geologia	Geology
Geologia	Geology
Progressão geométrica	Geometric progression
Geometria	Geometry
Categoria:Geometria	Geometry
Geomorfologia	Geomorphology
Categoria:Geomorfologia	Geomorphology
Geofísica	Geophysics
Categoria:Geofísica	Geophysics
Geopolítica	Geopolitics
Georg Philipp Telemann	Georg Philipp Telemann
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Berkeley	George Berkeley
George Bernard Shaw	George Bernard Shaw
George Boole	George Boole
George Bush	George Bush
Georg Friedrich Händel	George Frideric Handel
George Gershwin	George Gershwin
George Harrison	George Harrison
George Lucas	George Lucas
George Marshall	George Marshall
George Orwell	George Orwell
George Paget Thomson	George Paget Thomson
George Sand	George Sand
George Stephenson	George Stephenson
George W. Bush	George W. Bush
George Washington	George Washington
Georges Bizet	Georges Bizet
Georges Braque	Georges Braque
George Clemenceau	Georges Clemenceau
Georges Simenon	Georges Simenon
Georgetown (Guiana)	Georgetown
Geórgia (Estados Unidos da América)	Georgia (U.S. state)
Categoria:Geórgia (EUA)	Georgia (U.S. state)
Geórgia	Georgia (country)
Categoria:Geórgia	Georgia (country)
Gerald Ford	Gerald Ford
Gerard Kuiper	Gerard Kuiper
Pastor alemão	German Shepherd Dog
Língua alemã	German language
Marco alemão	German mark
Germânio	Germanium
Alemanha	Germany
Categoria:Alemanha	Germany
Geronimo	Geronimo
Gestapo	Gestapo
Géiser	Geyser
Gana	Ghana
Categoria:Gana	Ghana
Gante	Ghent
Gueto	Ghetto
Fantasma	Ghost
Giacomo Puccini	Giacomo Puccini
Panda-gigante	Giant Panda
Gibão	Gibbon
Gibraltar	Gibraltar
Categoria:Gibraltar	Gibraltar
Gigabyte	Gigabyte
Gilgamesh	Gilgamesh
Gengibre	Ginger
Ginkgo	Ginkgo
Giordano Bruno	Giordano Bruno
Giorgio Vasari	Giorgio Vasari
Giorgio de Chirico	Giorgio de Chirico
Giotto di Bondone	Giotto di Bondone
Giovanni Boccaccio	Giovanni Boccaccio
Girafa	Giraffe
Giraffidae	Giraffidae
Girolamo Savonarola	Girolamo Savonarola
Gironda	Gironde
Giuseppe Garibaldi	Giuseppe Garibaldi
Giuseppe Verdi	Giuseppe Verdi
Guizé	Giza
Geleira	Glacier
Gladiador	Gladiator
Glândula	Gland
Glasgow	Glasgow
Glasnost	Glasnost
Vidro	Glass
Óculos	Glasses
Planador	Glider
Sistema de Posicionamento Global	Global Positioning System
Aquecimento global	Global warming
Globalização	Globalization
Alcachofra	Globe artichoke
Gloucestershire	Gloucestershire
Glucagon	Glucagon
Glicose	Glucose
Glúon	Gluon
Ácido glutâmico	Glutamic acid
Glicerol	Glycerol
Glicina	Glycine
Glicogénio	Glycogen
Glicólise	Glycolysis
Gnatostomados	Gnathostomata
Gnaisse	Gneiss
Gnosticismo	Gnosticism
Go	Go (board game)
Goa	Goa
Goleiro	Goalkeeper
Cabra	Goat
Deserto de Gobi	Gobi Desert
Deus	God
Colinas de Golã	Golan Heights
Ouro	Gold
Golda Meir	Golda Meir
Águia-real	Golden Eagle
Golden Gate Bridge	Golden Gate Bridge
Canato da Horda Dourada	Golden Horde
Golden Retriever	Golden Retriever
Golfe	Golf
Categoria:Golfe	Golf
Complexo de Golgi	Golgi apparatus
Sexta-Feira Santa	Good Friday
Google	Google
Categoria:Google	Google
Googol	Googol
Górgona	Gorgon
Gorila	Gorilla
Açor	Goshawk
Evangelho	Gospel
Evangelho segundo Lucas	Gospel of Luke
Gotemburgo	Gothenburg
Gótico	Gothic
Arquitectura do gótico	Gothic architecture
Gotthold Ephraim Lessing	Gotthold Ephraim Lessing
Gottlieb Daimler	Gottlieb Daimler
Gota (doença)	Gout
Governo	Government
Grace Kelly	Grace Kelly
Gradiente	Gradient
Grafite (arte)	Graffiti
Graham Greene	Graham Greene
Grama	Gram
Gramática	Grammar
Categoria:Gramática	Grammar
Gênero gramatical	Grammatical gender
Granada (Espanha)	Granada
Grand Canyon	Grand Canyon
Grand Slam de tênis	Grand Slam (tennis)
Grande Mestre de Xadrez	Grandmaster (chess)
Granito	Granite
Uva	Grape
Toronja	Grapefruit
Categoria:Design gráfico	Graphic design
Design gráfico	Graphic design
Interface gráfica do utilizador	Graphical user interface
Grafite	Graphite
Gravidade	Gravitation
Constante gravitacional universal	Gravitational constant
Gráviton	Graviton
Gray (unidade)	Gray (unit)
Lobo	Gray Wolf
Graz	Graz
Grande Barreira de Coral	Great Barrier Reef
Grã-Bretanha	Great Britain
Mergulhão-de-crista	Great Crested Grebe
Grande Depressão	Great Depression
Grandes Lagos	Great Lakes
Vale do Rift	Great Rift Valley
Muralha da China	Great Wall of China
Tubarão-branco	Great white shark
Grandes Antilhas	Greater Antilles
Grande Londres	Greater London
Máximo divisor comum	Greatest common divisor
Podicipedidae	Grebe
Grécia	Greece
Categoria:Grécia	Greece
Alfabeto grego	Greek alphabet
Categoria:Alfabeto grego	Greek alphabet
Fogo grego	Greek fire
Mitologia grega	Greek mythology
Categoria:Mitologia grega	Greek mythology
Verde	Green
Estufa	Greenhouse
Efeito estufa	Greenhouse effect
Gases do efeito estufa	Greenhouse gas
Gronelândia	Greenland
Categoria:Gronelândia	Greenland
Mar da Gronelândia	Greenland Sea
Greenpeace	Greenpeace
Greenwich (Reino Unido)	Greenwich
Greenwich Mean Time	Greenwich Mean Time
Gregor Mendel	Gregor Mendel
Calendário gregoriano	Gregorian calendar
Categoria:Granada	Grenada
Grenoble	Grenoble
