Indonesian	English
Kategori:Frankfurt	Frankfurt
Frankfurt an der Oder	Frankfurt (Oder)
Franklin Pierce	Franklin Pierce
Franz Kafka	Franz Kafka
Franz Schubert	Franz Schubert
Fred Astaire	Fred Astaire
Friedrich I, Kaisar Romawi Suci	Frederick I
Frederick II, Kaisar Romawi Suci	Frederick II
Frederick Sanger	Frederick Sanger
Frederick Soddy	Frederick Soddy
Fredericton	Fredericton
Free State	Free State
Freemasonry	Freemasonry
Freetown	Freetown
Freeware	Freeware
Polinesia Perancis	French Polynesia
Kategori:Polinesia Perancis	French Polynesia
Revolusi Perancis	French Revolution
Kategori:Revolusi Perancis	French Revolution
Kategori:Tokoh Perancis	French people
Frekuensi	Frequency
Fresko	Fresco
Air tawar	Freshwater
Fresno	Fresno
Freyja	Freyja
Gaya gesek	Friction
Jumat	Friday
Fridtjof Wedel-Jarlsberg Nansen	Fridtjof Nansen
Friedrich Engels	Friedrich Engels
Friesland	Friesland
Fregat	Frigate
Frigg	Frigg
Fritz Haber	Fritz Haber
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Kodok dan katak	Frog
Fruktosa	Fructose
Buah	Fruit
Kategori:Buah-buahan	Fruit
Fucking, Austria	Fucking
Bahan bakar	Fuel
Sel bahan bakar	Fuel cell
Fukuoka, Fukuoka	Fukuoka
Bulan purnama	Full moon
Fungsi	Function (mathematics)
Kategori:Utama	Fundamental
Interaksi dasar	Fundamental interaction
Fundamentalisme	Fundamentalism
Kategori:Fungi	Fungi
Fungi	Fungus
Funk	Funk
Kategori:Mebel	Furniture
Logika Fuzzy	Fuzzy logic
Fyodor Dostoyevsky	Fyodor Dostoevsky
GNOME	GNOME
GNU	GNU
Gabon	Gabon
Kategori:Gabon	Gabon
Gaborone	Gaborone
Jibril	Gabriel
Gabriel Lippmann	Gabriel Lippmann
Gadolinium	Gadolinium
Gaia	Gaia (mythology)
Galatia	Galatia
Galaksi	Galaxy
Galenus	Galen
Galisia (Eropa Tengah)	Galicia (Central Europe)
Galicia (Spanyol)	Galicia (Spain)
Galilea	Galilee
Galileo (wahana antariksa)	Galileo (spacecraft)
Galileo Galilei	Galileo Galilei
Kantung empedu	Gallbladder
Galliformes	Galliformes
Galium	Gallium
Galway	Galway
Gamal Abdul Nasir	Gamal Abdel Nasser
Permainan	Game
Teori permainan	Game theory
Gamma (huruf Yunani)	Gamma
Sinar gamma	Gamma ray
Ganesa	Ganesha
Sungai Gangga	Ganges
Ganja (kota)	Ganja
Gansu	Gansu
Gap, Hautes-Alpes	Gap
Taman	Garden
Taman Eden	Garden of Eden
Garfield	Garfield
Bawang putih	Garlic
Gas	Gas
Raksasa gas	Gas giant
Petrol	Gasoline
Saluran pencernaan	Gastrointestinal tract
Galia	Gaul
Siddhartha Gautama	Gautama Buddha
Gaza	Gaza
Jalur Gaza	Gaza Strip
Geisha	Geisha
Gemini	Gemini (constellation)
Batu permata	Gemstone
Gen	Gene
GATT	General Agreement on Tariffs and Trade
Jenderal	General Officer
Relativitas umum	General relativity
Kitab Kejadian	Genesis
Rekayasa genetika	Genetic engineering
Genetika	Genetics
Jenewa	Geneva
Jin	Genie
Genova	Genoa
Genosida	Genocide
Kategori:Genosida	Genocide
Genom	Genome
Genus	Genus
Geokimia	Geochemistry
Geoffrey Chaucer	Geoffrey Chaucer
Geografi	Geography
Kategori:Geografi	Geography
Portal:Geografi	Geography
Kategori:Geologi	Geology
Geologi	Geology
Deret ukur	Geometric progression
Geometri	Geometry
Kategori:Geometri	Geometry
Geomorfologi	Geomorphology
Kategori:Geomorfologi	Geomorphology
Geofisika	Geophysics
Kategori:Geofisika	Geophysics
Georg Philipp Telemann	Georg Philipp Telemann
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Bernard Shaw	George Bernard Shaw
Georg Friedrich Händel	George Frideric Handel
George Gershwin	George Gershwin
George Harrison	George Harrison
George Lucas	George Lucas
George C. Marshall	George Marshall
George Orwell	George Orwell
George Stephenson	George Stephenson
George W. Bush	George W. Bush
George Washington	George Washington
Georges Clemenceau	Georges Clemenceau
Georgetown, Guyana	Georgetown
Georgia, Amerika Serikat	Georgia (U.S. state)
Kategori:Georgia, Amerika Serikat	Georgia (U.S. state)
Georgia	Georgia (country)
Kategori:Georgia	Georgia (country)
Gerald Ford	Gerald Ford
Gerard Kuiper	Gerard Kuiper
Bahasa Jerman	German language
Kategori:Bahasa Jerman	German language
Deutsche Mark	German mark
Germanium	Germanium
Jerman	Germany
Kategori:Jerman	Germany
Geronimo	Geronimo
Gestapo	Gestapo
Geyser	Geyser
Ghana	Ghana
Kategori:Ghana	Ghana
Gent	Ghent
Hantu	Ghost
Giacomo Puccini	Giacomo Puccini
Panda	Giant Panda
Gibraltar	Gibraltar
Kategori:Gibraltar	Gibraltar
Gigabita	Gigabyte
Gilgames	Gilgamesh
Jahe	Ginger
Ginkgo	Ginkgo
Giordano Bruno	Giordano Bruno
Giorgio Vasari	Giorgio Vasari
Giotto di Bondone	Giotto di Bondone
Jerapah	Giraffe
Giraffidae	Giraffidae
Gironde	Gironde
Giuseppe Garibaldi	Giuseppe Garibaldi
Giuseppe Verdi	Giuseppe Verdi
Giza	Giza
Gletser	Glacier
Gladiator	Gladiator
Kelenjar	Gland
Glasgow	Glasgow
Kaca	Glass
Kacamata	Glasses
Glider	Glider
Global Positioning System	Global Positioning System
Pemanasan global	Global warming
Globalisasi	Globalization
Gloucestershire	Gloucestershire
Glukagon	Glucagon
Glukosa	Glucose
Asam glutamat	Glutamic acid
Glisin	Glycine
Glikogen	Glycogen
Glikolisis	Glycolysis
Igo	Go (board game)
Goa, India	Goa
Penjaga gawang	Goalkeeper
Kambing	Goat
Gurun Gobi	Gobi Desert
Tuhan	God
Dataran Tinggi Golan	Golan Heights
Emas	Gold
Golda Meir	Golda Meir
Elang emas	Golden Eagle
Jembatan Golden Gate	Golden Gate Bridge
Golf	Golf
Kategori:Golf	Golf
Badan Golgi	Golgi apparatus
Homyel	Gomel
Jumat Agung	Good Friday
Google	Google
Kategori:Google	Google
Googol	Googol
Gorila	Gorilla
Injil	Gospel
Injil Lukas	Gospel of Luke
Göteborg	Gothenburg
Gothik	Gothic
Arsitektur Gothik	Gothic architecture
Gottlieb Daimler	Gottlieb Daimler
Pirai	Gout
Pemerintah	Government
Grace Kelly	Grace Kelly
Gradien	Gradient
Grafiti	Graffiti
Tata bahasa	Grammar
Kategori:Tata bahasa	Grammar
Granada	Granada
Grand Canyon	Grand Canyon
Grand Slam	Grand Slam (tennis)
Grandmaster	Grandmaster (chess)
Granit	Granite
Anggur	Grape
Kategori:Desain grafis	Graphic design
Desain grafis	Graphic design
Antarmuka pengguna grafis	Graphical user interface
Grafit	Graphite
Gravitasi	Gravitation
Serigala abu-abu	Gray Wolf
Graz	Graz
Karang Penghalang Besar	Great Barrier Reef
Pulau Britania Raya	Great Britain
Depresi Besar	Great Depression
Danau-Danau Besar	Great Lakes
Great Rift Valley	Great Rift Valley
Tembok Raksasa Cina	Great Wall of China
Antilles Besar	Greater Antilles
Greater London	Greater London
Faktor persekutuan terbesar	Greatest common divisor
Yunani	Greece
Kategori:Yunani	Greece
Huruf Yunani	Greek alphabet
Api Yunani	Greek fire
Mitologi Yunani	Greek mythology
Kategori:Mitologi Yunani	Greek mythology
Hijau	Green
Rumah kaca	Greenhouse
Efek rumah kaca	Greenhouse effect
Gas rumah kaca	Greenhouse gas
Greenland	Greenland
Kategori:Greenland	Greenland
Laut Greenland	Greenland Sea
Greenpeace	Greenpeace
Greenwich	Greenwich
GMT	Greenwich Mean Time
Gregor Mendel	Gregor Mendel
Kalender Gregorian	Gregorian calendar
Kategori:Grenada	Grenada
Grenoble	Grenoble
Abu-abu	Grey
Griffin	Griffin
Produk domestik bruto	Gross domestic product
Grup (matematika)	Group (mathematics)
Golongan tabel periodik	Group (periodic table)
Grover Cleveland	Grover Cleveland
Grozny	Grozny
Guadalajara	Guadalajara
Guadeloupe	Guadeloupe
Guam	Guam
Guangdong	Guangdong
Guangzhou	Guangzhou
Guanin	Guanine
Kategori:Guatemala	Guatemala
Kota Guatemala	Guatemala City
Guayaquil	Guayaquil
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Guillotine	Guillotine
Guinea	Guinea
Kategori:Guinea	Guinea
Marmut	Guinea pig
Guinea-Bissau	Guinea-Bissau
Kategori:Guinea-Bissau	Guinea-Bissau
Gitar	Guitar
Gujarat	Gujarat
Gulag	Gulag
Perang Teluk I	Gulf War
Teluk Aden	Gulf of Aden
Teluk Aqaba	Gulf of Aqaba
Teluk Bothnia	Gulf of Bothnia
Teluk Finlandia	Gulf of Finland
Teluk Meksiko	Gulf of Mexico
Teluk Oman	Gulf of Oman
Teluk Thailand	Gulf of Thailand
Bubuk mesiu	Gunpowder
Plot Bubuk Mesiu	Gunpowder Plot
Guppy	Guppy
Gustav Klimt	Gustav Klimt
Gustav Hertz	Gustav Ludwig Hertz
Gustav Mahler	Gustav Mahler
Kategori:Guyana	Guyana
Tumbuhan berbiji terbuka	Gymnosperm
Ginekologi	Gynaecology
HIV	HIV
Hypertext markup language	HTML
Habitat	Habitat
Peretas	Hacker
Hadean	Hadean
Hades	Hades
Hadits	Hadith
Hadrian	Hadrian
Hemofilia	Haemophilia
Hafnium	Hafnium
Hagia Sophia	Hagia Sophia
Haifa	Haifa
Haiku	Haiku
Salam Maria	Hail Mary
Rambut	Hair
Haiti	Haiti
Kategori:Haiti	Haiti
Haji	Hajj
Halal	Halal
Waktu paruh	Half-life
Halle (Saale)	Halle
Halloween	Halloween
Halusinasi	Hallucination
Halogen	Halogen
Hamas	Hamas
Hamburg	Hamburg
Hamburger	Hamburger
Hamlet	Hamlet
Palu arit	Hammer and sickle
Hammurabi	Hammurabi
Hampshire	Hampshire
Hamster	Hamster
Dinasti Han	Han Dynasty
Tangan	Hand
Granat tangan	Hand grenade
Pistol	Handgun
Hukuman gantung	Hanging
Taman Gantung Babilonia	Hanging Gardens of Babylon
Hannah Arendt	Hannah Arendt
Hannibal	Hannibal
Hanoi	Hanoi
Hannover	Hanover
Hans Bethe	Hans Bethe
Hans Christian Andersen	Hans Christian Andersen
Hari raya Pentahbisan	Hanukkah
Hanoman	Hanuman
Harare	Harare
Harem	Harem
Harmonika	Harmonica
Harmoni (musik)	Harmony
Harold Pinter	Harold Pinter
Harpa	Harp
Harpy	Harpy
Harriet Beecher Stowe	Harriet Beecher Stowe
Harriet Tubman	Harriet Tubman
Harrisburg, Pennsylvania	Harrisburg
Harry Houdini	Harry Houdini
Hartford, Connecticut	Hartford
Benci	Hatred
Haute-Normandie	Haute-Normandie
Havana	Havana
Hawaii	Hawaii
Kategori:Hawaii	Hawaii
Kepala	Head
Kepala negara	Head of state
Kesehatan	Health
Kategori:Kesehatan	Health
Jantung	Heart
Panas	Heat
Mesin kalor	Heat engine
Sorga	Heaven
Kategori:Heavy metal	Heavy metal
Heavy metal	Heavy metal music
Air berat	Heavy water
Hebei	Hebei
Hektare	Hectare
Hector Berlioz	Hector Berlioz
Heinrich Rudolf Hertz	Heinrich Hertz
Heinrich Himmler	Heinrich Himmler
Helena (mitologi)	Helen
Helen Keller	Helen Keller
Helena, Montana	Helena
Helikopter	Helicopter
Helios	Helios
Helium	Helium
Neraka	Hell
Helmut Schmidt	Helmut Schmidt
Helsinki	Helsinki
Hematologi	Hematology
Kategori:Hematologi	Hematology
Hemoglobin	Hemoglobin
Wasir	Hemorrhoid
Henri Becquerel	Henri Becquerel
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henry (induktansi)	Henry (unit)
Henry Fonda	Henry Fonda
Henry Ford	Henry Ford
Henry Alfred Kissinger	Henry Kissinger
Henry Miller	Henry Miller
Hepatitis	Hepatitis
Hefestus	Hephaestus
Hera	Hera
Herakles	Heracles
Herakleitos	Heraclitus
Provinsi Herat	Herat
Herbert Hoover	Herbert Hoover
Herbert Spencer	Herbert Spencer
Hercules (tokoh)	Hercules
Hercules (rasi bintang)	Hercules (constellation)
Ajaran sesat	Heresy
Herman Melville	Herman Melville
Hermann Hesse	Hermann Hesse
Hermann Minkowski	Hermann Minkowski
Hermeneutika	Hermeneutics
Hermes	Hermes
Pahlawan	Hero
Herodes Agung	Herod the Great
Herodotus	Herodotus
Heroin	Heroin
Kuntul	Heron
Hertfordshire	Hertfordshire
Hertz	Hertz
Hessen	Hesse
Kategori:Hessen	Hesse
Heteroseksual	Heterosexuality
Heterotrof	Heterotroph
Heksadesimal	Hexadecimal
Hizbullah (Lebanon)	Hezbollah
Hideki Yukawa	Hideki Yukawa
Pegunungan Himalaya	Himalayas
Umat Hindu	Hinduism
Kategori:Hindu	Hinduism
Hipparchus	Hipparchus
Hippokrates	Hippocrates
Sumpah Hippokrates	Hippocratic Oath
Kuda Nil	Hippopotamus
Hirohito	Hirohito
Hiroshima, Hiroshima	Hiroshima
Hispaniola	Hispaniola
Histidin	Histidine
Histologi	Histology
Kategori:Histologi	Histology
Historiografi	Historiography
Sejarah	History
Kategori:Sejarah	History
Portal:Sejarah	History
Ho Chi Minh	Ho Chi Minh
Kota Ho Chi Minh	Ho Chi Minh City
Hobart	Hobart
Hobi	Hobby
Katsushika Hokusai	Hokusai
Hari raya	Holiday
Hollywood	Hollywood
Holmium	Holmium
Holosen	Holocene
Piala Suci	Holy Grail
Kekaisaran Romawi Suci	Holy Roman Empire
Kategori:Kekaisaran Romawi Suci	Holy Roman Empire
Allah Roh Kudus	Holy Spirit
Homeostasis	Homeostasis
Homerus	Homer
Homo (genus)	Homo (genus)
Homo erectus	Homo erectus
Homo habilis	Homo habilis
Homoseksualitas	Homosexuality
Honduras	Honduras
Kategori:Honduras	Honduras
Madu	Honey
Hong Kong	Hong Kong
Kategori:Hong Kong	Hong Kong
Honiara	Honiara
Honolulu	Honolulu
Horatius	Horace
Horatio Nelson	Horatio Nelson
Horizon	Horizon
Hormon	Hormone
Tanduk	Horn (anatomy)
Tanduk Afrika	Horn of Africa
Horoskop	Horoscope
Kuda	Horse
Pacuan kuda	Horse racing
Hosni Mubarak	Hosni Mubarak
Rumah sakit	Hospital
Hotel	Hotel
Rumah	House
House	House (TV series)
Mencit	House Mouse
Houston, Texas	Houston
Kapal bantalan udara	Hovercraft
Howard Carter	Howard Carter (archaeologist)
Hukum Hubble	Hubble's law
Teluk Hudson	Hudson Bay
Hugh Capet dari Perancis	Hugh Capet
Manusia	Human
Humanisme	Humanism
Tulang lengan atas	Humerus
Kelembapan	Humidity
Kategori:Humor	Humor
Paus Bungkuk	Humpback Whale
Humphrey Bogart	Humphrey Bogart
Hunan	Hunan
Perang Seratus Tahun	Hundred Years' War
Hongaria	Hungary
Kategori:Hongaria	Hungary
Kelaparan	Hunger
Perburuan	Hunting
Hutu	Hutu
Hibrida	Hybrid
Hyderabad	Hyderabad
Hidrokarbon	Hydrocarbon
Hidroelektrisitas	Hydroelectricity
Hidrogen	Hydrogen
Ikatan hidrogen	Hydrogen bond
Hidrogen peroksida	Hydrogen peroxide
Hidrologi	Hydrology
Kategori:Hidrologi	Hydrology
Hidroksida	Hydroxide
Hyena	Hyena
Selaput dara	Hymen
Hymenoptera	Hymenoptera
Himne	Hymn
Hiperbola (matematika)	Hyperbola
Hyperion (bulan)	Hyperion (moon)
Tekanan darah tinggi	Hypertension
Hiperteks	Hypertext
HTTP	Hypertext Transfer Protocol
Hipnosis	Hypnosis
Hipotesis	Hypothesis
IPod	IPod
Iapetus	Iapetus (moon)
Iberia	Iberian Peninsula
Ibuprofen	Ibuprofen
Es	Ice
Zaman es	Ice age
Es krim	Ice cream
Hoki es	Ice hockey
Gunung es	Iceberg
Islandia	Iceland
Kategori:Islandia	Iceland
Iktiologi	Ichthyology
Idaho	Idaho
Kategori:Idaho	Idaho
Ideologi	Ideology
Bahasa Ido	Ido
Igloo	Igloo
Ignatius Loyola	Ignatius of Loyola
Batuan beku	Igneous rock
Air terjun Iguazu	Iguazu Falls
Iliad	Iliad
Illinois	Illinois
Kategori:Illinois	Illinois
Pemindai	Image scanner
Imam	Imam
Immanuel Kant	Immanuel Kant
Imunitas	Immune system
Imunologi	Immunology
Kategori:Imunologi	Immunology
Imperialisme	Imperialism
Impresionisme	Impressionism
Hubungan sedarah	Incest
Inci	Inch
Incheon	Incheon
Bidang miring	Inclined plane
Kemerdekaan	Independence
India	India
Kategori:India	India
Samudra Hindia	Indian Ocean
Kategori:Samudra Hindia	Indian Ocean
Indiana	Indiana
Kategori:Indiana	Indiana
Indianapolis	Indianapolis
Indira Gandhi	Indira Gandhi
Indium	Indium
Indochina	Indochina
Indonesia	Indonesia
Kategori:Indonesia	Indonesia
Indra	Indra
Induktor	Inductor
Indulgensi	Indulgence
Sungai Sindhu	Indus River
Revolusi Industri	Industrial Revolution
Industri	Industry
Pertidaksamaan	Inequality
Infanteri	Infantry
Penyakit menular	Infectious disease
Tak hingga	Infinity
Radang	Inflammation
Inflasi	Inflation
Influensa	Influenza
Informasi	Information
Teknologi informasi	Information technology
Teori informasi	Information theory
Inframerah	Infrared
Ingmar Bergman	Ingmar Bergman
Ingrid Bergman	Ingrid Bergman
Mongolia Dalam	Inner Mongolia
Innsbruck	Innsbruck
Kimia anorganik	Inorganic chemistry
Kategori:Kimia anorganik	Inorganic chemistry
Inkuisisi	Inquisition
Serangga	Insect
Insulin	Insulin
Asuransi	Insurance
Bilangan bulat	Integer
Integral	Integral
Sirkuit terpadu	Integrated circuit
Kekayaan intelektual	Intellectual property
Kecerdasan	Intelligence
Suku bunga	Interest
Interferensi	Interference
Interjeksi	Interjection
Badan Tenaga Atom Internasional	International Atomic Energy Agency
International Civil Aviation Organization	International Civil Aviation Organization
Mahkamah Internasional	International Court of Justice
Batas penanggalan internasional	International Date Line
Organisasi Buruh Internasional	International Labour Organization
Dana Moneter Internasional	International Monetary Fund
Sistem Internasional Satuan	International System of Units
Kategori:Hukum internasional	International law
Internet	Internet
Kategori:Internet	Internet
Internet Explorer	Internet Explorer
Kamp konsentrasi	Internment
Interval (musik)	Interval (music)
Usus	Intestine
Intranet	Intranet
Penemuan	Invention
Invertebrata	Invertebrate
Yodium	Iodine
Ion	Ion
Laut Ionia	Ionian Sea
Ionosfer	Ionosphere
Iowa	Iowa
Kategori:Iowa	Iowa
Iran	Iran
Kategori:Iran	Iran
Perang Iran-Irak	Iran-Iraq War
Irak	Iraq
Kategori:Irak	Iraq
Pulau Irlandia	Ireland
Kategori:Irlandia	Ireland
Ireneus	Irenaeus
Iridium	Iridium
Kategori:Tokoh Republik Irlandia	Irish people
Besi	Iron
Zaman Besi	Iron Age
Iron Maiden	Iron Maiden
Ironi	Irony
Bilangan irasional	Irrational number
Ishak	Isaac
Isaac Asimov	Isaac Asimov
Isaac Bashevis Singer	Isaac Bashevis Singer
Isaac Newton	Isaac Newton
Isadora Duncan	Isadora Duncan
Isma'il	Ishmael
Islam	Islam
Kategori:Islam	Islam
Islamabad	Islamabad
Kalender Hijriyah	Islamic calendar
Pulau	Island
Pulau Man	Isle of Man
Kategori:Pulau Man	Isle of Man
Isle of Wight	Isle of Wight
Isomer	Isomer
Isoroku Yamamoto	Isoroku Yamamoto
Isotop	Isotope
Israel	Israel
Kategori:Israel	Israel
Istanbul	Istanbul
Tanah genting	Isthmus
Tanah Genting Panama	Isthmus of Panama
Semenanjung Italia	Italian Peninsula
Italia	Italy
Kategori:Italia	Italy
Ithaki	Ithaca
Ivan Lendl	Ivan Lendl
Ivan Pavlov	Ivan Pavlov
Ivan Turgenev	Ivan Turgenev
Ivy League	Ivy League
Iwo Jima	Iwo Jima
J. M. Barrie	J. M. Barrie
Jack Kerouac	Jack Kerouac
Jack Lemmon	Jack Lemmon
Jack London	Jack London
Jack the Ripper	Jack the Ripper
Jackson, Mississippi	Jackson
Paul Jackson Pollock	Jackson Pollock
Jacksonville, Florida	Jacksonville
Yakub	Jacob
Jacques Cartier	Jacques Cartier
Jacques Derrida	Jacques Derrida
Giok	Jade
Jainisme	Jainism
Daerah Khusus Ibukota Jakarta	Jakarta
Jalalabad	Jalalabad
Jamaika	Jamaica
Kategori:Jamaika	Jamaica
Yakobus	James
James A. Garfield	James A. Garfield
James Bond	James Bond
James Buchanan	James Buchanan
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Franck	James Franck
James Joyce	James Joyce
James Knox Polk	James K. Polk
James Madison	James Madison
James Monroe	James Monroe
James Naismith	James Naismith
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Jammu dan Kashmir	Jammu and Kashmir
Jan Hus	Jan Hus
Jane Austen	Jane Austen
Jane Fonda	Jane Fonda
Yanisari	Janissary
Januari	January
1 Januari	January 1
19 Januari	January 19
20 Januari	January 20
6 Januari	January 6
Jepang	Japan
Kategori:Jepang	Japan
Pulau Jawa	Java
Java	Java (programming language)
Jawaharlal Nehru	Jawaharlal Nehru
Jazz	Jazz
Jean Piaget	Jean Piaget
Jean Sibelius	Jean Sibelius
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jeddah	Jeddah
Jefferson City, Missouri	Jefferson City
Jefferson Finis Davis	Jefferson Davis
Saksi-Saksi Yehuwa	Jehovah's Witnesses
Ubur-ubur	Jellyfish
Jena	Jena
Jerez de la Frontera	Jerez de la Frontera
Yerikho	Jericho
Hieronimus	Jerome
Jersey	Jersey
Yerusalem	Jerusalem
Yesus	Jesus
Mesin jet	Jet engine
Yahudi	Jew
Jihad	Jihad
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Jeanne d'Arc	Joan of Arc
Johann Bernoulli	Johann Bernoulli
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Diderik van der Waals	Johannes Diderik van der Waals
Johann Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
Johannes Vilhelm Jensen	Johannes Vilhelm Jensen
Johannesburg	Johannesburg
John Adams	John Adams
John Bardeen	John Bardeen
Yohanes Calvin	John Calvin
Yohanes Krisostomus	John Chrysostom
John Dalton	John Dalton
John Galsworthy	John Galsworthy
John Lennon	John Lennon
John Locke	John Locke
John Major	John Major
John Maynard Keynes	John Maynard Keynes
John Milton	John Milton
John Napier	John Napier
John Quincy Adams	John Quincy Adams
John Ernst Steinbeck	John Steinbeck
John Tyler	John Tyler
John Wayne	John Wayne
John Wycliffe	John Wycliffe
Yohanes Pembaptis	John the Baptist
John von Neumann	John von Neumann
Johnny Cash	Johnny Cash
Sendi	Joint
Jonathan Swift	Jonathan Swift
Yordania	Jordan
Kategori:Yordania	Jordan
Sungai Yordan	Jordan River
Jorge Luis Borges	Jorge Luis Borges
Joseph Goebbels	Joseph Goebbels
Joseph Haydn	Joseph Haydn
Joseph Louis Gay-Lussac	Joseph Louis Gay-Lussac
Joseph Raymond McCarthy	Joseph McCarthy
Joseph Smith, Jr.	Joseph Smith
Josef Stalin	Joseph Stalin
Flavius Yosefus	Josephus
Joule	Joule
Kategori:Jurnalisme	Journalism
Jurnalisme	Journalism
Wartawan	Journalist
Tuas kontrol	Joystick
Agama Yahudi	Judaism
Kategori:Yudaisme	Judaism
Yudas Iskariot	Judas Iscariot
Judo	Judo
Jujitsu	Jujutsu
Jules Verne	Jules Verne
Kalender Julian	Julian calendar
Julius Caesar	Julius Caesar
Juli	July
1 Juli	July 1
4 Juli	July 4
Juni	June
14 Juni	June 14
21 Juni	June 21
23 Juni	June 23
24 Juni	June 24
29 Juni	June 29
3 Juni	June 3
Juneau, Alaska	Juneau
Yupiter	Jupiter
Kategori:Yupiter	Jupiter
Jura (periode)	Jurassic
Justinianus I	Justinian I
Jutlandia	Jutland
KGB	KGB
Ka'bah	Kaaba
Kabala	Kabbalah
Kabul, Afganistan	Kabul
Semenanjung Kamchatka	Kamchatka Peninsula
Kamikaze	Kamikaze
Kampala	Kampala
Provinsi Kandahar	Kandahar
Kanguru	Kangaroo
Kansas	Kansas
Kategori:Kansas	Kansas
Kansas City, Missouri	Kansas City
Laut Kara	Kara Sea
Karachi	Karachi
Karaoke	Karaoke
Karate	Karate
Karl Barth	Karl Barth
Karl Marx	Karl Marx
Karl Popper	Karl Popper
Karma	Karma
Karnataka	Karnataka
Katharine Hepburn	Katharine Hepburn
Kathmandu	Kathmandu
Katowice	Katowice
Kaunas	Kaunas
Kayak	Kayak
Kazakhstan	Kazakhstan
Kategori:Kazakhstan	Kazakhstan
Kazan	Kazan
Kelvin	Kelvin
Kent	Kent
Kentucky	Kentucky
Kategori:Kentucky	Kentucky
Kenya	Kenya
Kategori:Kenya	Kenya
Kernel (ilmu komputer)	Kernel (computer science)
Minyak tanah	Kerosene
Saus tomat	Ketchup
Keton	Ketone
Papan ketik	Keyboard (computing)
Khabarovsk	Khabarovsk
Khartoum	Khartoum
Khmer Merah	Khmer Rouge
Khufu	Khufu
Kibbutz	Kibbutz
Ginjal	Kidney
Kiev	Kiev
Kigali	Kigali
Kilobita	Kilobyte
Kilogram	Kilogram
Kilometer	Kilometre
Kilometer per jam	Kilometres per hour
Kimono	Kimono
Taman Kanak-kanak	Kindergarten
Kinematika	Kinematics
Energi kinetis	Kinetic energy
Raja Arthur	King Arthur
Raja Lear	King Lear
Kerajaan (biologi)	Kingdom (biology)
Kingston, Jamaika	Kingston
Kingstown	Kingstown
Kinshasa	Kinshasa
Kiribati	Kiribati
Kategori:Kiribati	Kiribati
Kirkuk	Kirkuk
Layang-layang	Kite
Kiwi	Kiwi
Lutut	Knee
Knesset	Knesset
Pisau	Knife
Kesatria	Knight
Knot (kecepatan)	Knot (speed)
Pengetahuan	Knowledge
Knut Hamsun	Knut Hamsun
Koala	Koala
Kobe, Hyogo	Kobe
Semenanjung Kola	Kola Peninsula
Kolkata	Kolkata
Biawak Komodo	Komodo dragon
Konqueror	Konqueror
Konrad Adenauer	Konrad Adenauer
Korea	Korea
Kategori:Korea	Korea
Perang Korea	Korean War
Kosovo	Kosovo
Kategori:Kosovo	Kosovo
Gunung Krakatau	Krakatoa
Kresna	Krishna
Kripton	Krypton
Ku Klux Klan	Ku Klux Klan
Kuala Lumpur	Kuala Lumpur
Kubilai Khan	Kublai Khan
Sabuk Kuiper	Kuiper belt
Buah Kumquat	Kumquat
Kung fu	Kung fu (term)
Kuomintang	Kuomintang
Sungai Kura	Kura River
Kategori:Kurdistan	Kurdistan
Partai Pekerja Kurdistan	Kurdistan Workers Party
Kursk	Kursk
Kurt Vonnegut	Kurt Vonnegut
Kurt Waldheim	Kurt Waldheim
Kuwait	Kuwait
Kategori:Kuwait	Kuwait
Kuwait City	Kuwait City
KwaZulu-Natal	KwaZulu-Natal
Kyoto	Kyoto
Kirgizstan	Kyrgyzstan
Kategori:Kirgizstan	Kyrgyzstan
L'Aquila	L'Aquila
LAMP	LAMP (software bundle)
La Paz, Bolivia	La Paz
La Plata	La Plata
La Spezia	La Spezia
Laboratorium	Laboratory
Partai Buruh (Britania Raya)	Labour Party (UK)
Labrador Retriever	Labrador Retriever
Lacerta	Lacerta
Lagos	Lagos
Laissez-faire	Laissez-faire
Danau	Lake
Danau Baikal	Lake Baikal
Danau Balaton	Lake Balaton
Danau Chad	Lake Chad
Danau Erie	Lake Erie
Danau Huron	Lake Huron
Danau Michigan	Lake Michigan
Danau Ontario	Lake Ontario
Danau Superior	Lake Superior
Danau Tanganyika	Lake Tanganyika
Danau Victoria	Lake Victoria
Laksmi	Lakshmi
Lamprey	Lamprey
Lancashire	Lancashire
Bahasa	Language
Languedoc-Roussillon	Languedoc-Roussillon
Lansing, Michigan	Lansing
Lantanida	Lanthanide
Lantanum	Lanthanum
Laos	Laos
Kategori:Laos	Laos
