English	Arabic
Cartesian product	جداء ديكارتي
Carthage	قرطاج
Cartography	علم الخرائط
Casablanca	الدار البيضاء
Cashew	كاشو
Caspian Sea	بحر قزوين
Castile (historical region)	كاستيا (منطقة تاريخية)
Castle	قلعة
Cat	قط
Catalonia	كاتالونيا
Cataract	الساد
Catfish	قرموط
Catharism	كاثار
Cathedral	كاتدرائية
Catherine Parr	كاترين بار
Catherine of Aragon	كاترين من أراغون
Cattle	بقرة
Cattle Egret	أبو قردان
Caucasus	تصنيف:القوقاز
Caucasus Mountains	القوقاز
Cauliflower	قنبيط
Causality	سببية
Cave	كهف
Caviar	خبياري
Cecil Rhodes	سيسل رودس
Cedar	أرز (شجرة)
Celery	كرفس
Celestial mechanics	تصنيف:ميكانيكا سماوية
Cell (biology)	خلية
Cell membrane	غشاء خلوي
Cell nucleus	نواة (خلية)
Cell wall	جدار خلوي
Cello	كمان جهير
Cellulose	سليولوز
Celsius	سيلزيوس
Cement	إسمنت
Cemetery	مقبرة
Cenozoic	حقبة السينوزوي
Census	تعداد السكان
Centaur	قنطور
Center of mass	محور ثقل
Centimetre	سنتيمتر
Central Africa	وسط أفريقيا
Central African Republic	جمهورية أفريقيا الوسطى
Central America	أمريكا الوسطى
Central Intelligence Agency	وكالة المخابرات المركزية
Central Park	سنترل بارك
Central Powers	قوات المحور
Central bank	بنك مركزي
Central nervous system	جهاز عصبي مركزي
Central processing unit	وحدة المعالجة المركزية
Centriole	جسم مركزي
Century	قرن (زمن)
Ceramic	المواد السيراميكية
Cereal	حبوب
Cerebellum	مخيخ
Ceres (dwarf planet)	سيريس (كوكب قزم)
Cerium	سيريوم
Cesare Borgia	سيزار بورجيا
Cetacea	حيتانيات
Chad	تشاد
Chad	تصنيف:تشاد
Chair	كرسي
Champagne (wine)	شامبانيا
Channel Tunnel	نفق المانش
Charadriiformes	قطقاطيات
Charlemagne	شارلمان
Charles	الأمير تشارلز
Charles Baudelaire	شارل بودلير
Charles Darwin	تشارلز داروين
Charles Dickens	تشارلز ديكنز
Charles Fourier	شارل فورييه
Charles de Gaulle	شارل ديغول
Charleston	تشارلستون، فيرجينيا الغربية
Charlie Chaplin	تشارلي تشابلن
Charlotte	تشارلوت، كارولاينا الشمالية
Charmed	المسحورات
Charon (moon)	شرن
Chauvinism	شوفينية
Che Guevara	إرنستو تشي جيفارا
Chechnya	شيشان
Chechnya	تصنيف:شيشان
Cheese	جبن
Cheetah	فهد
Chelyabinsk	تشيليابينسك
Chemical bond	رابطة كيميائية
Chemical compound	مركب كيميائي
Chemical element	عنصر كيميائي
Chemical engineering	هندسة كيميائية
Chemical formula	صيغة كيميائية
Chemical reaction	تفاعل كيميائي
Chemical warfare	أسلحة كيميائية
Chemistry	كيمياء
Chemistry	تصنيف:كيمياء
Chemistry	بوابة:كيمياء
Chemnitz	شيمنتس
Chennai	تشيناي
Cheque	شيك
Chernobyl	تشيرنوبيل
Cherry	كرز
Chess	شطرنج
Chess	تصنيف:شطرنج
Chester A. Arthur	تشستر آرثر
Chestnut	الكستناءه
Chewing gum	علك
Cheyenne	شايان، وايومنغ
Chi (letter)	كاي (حرف إغريقي)
Chiang Kai-shek	شيانج كاي شيك
Chicago	شيكاغو
Chicken	دجاجة
Chickenpox	جدري الماء
Chickpea	حمص (نبات)
Chihuahua	ولاية شيواوا
Child	طفل
Chile	تشيلي
Chile	تصنيف:تشيلي
Chimpanzee	شمبانزي
China	تصنيف:الصين
China	الصين (منطقة)
Chlorine	كلور
Chlorophyll	كلوروفيل
Chloroplast	صانعات يخضورية
Chocolate	شوكولاتة
Cholera	كوليرا
Cholesterol	كولسترول
Chongqing	تشونغتشينغ
Chordate	حبليات
Christianity	مسيحية
Christianity	تصنيف:مسيحية
Christmas	عيد الميلاد
Christopher Columbus	كريستوفر كولومبوس
Chromatography	كروماتوجرافيا
Chromium	كروم
Chromosome	صبغي
Chronology	تصنيف:كرونولوجيا
Church	كنيسة
Church of England	الأنجليكانية
Cicero	شيشرون
Ciconiiformes	لقلقيات
Cider	سيدر
Cigarette	سيجارة
Cinderella	سندريلا
Cinnamon	قرفة
Circle	دائرة
Circulatory system	جهاز الدوران
Circumcision	ختان
Circus	سيرك
Cirrhosis	تشمع الكبد
Citric acid	حمض ستريك
Citric acid cycle	دورة حمض الستريك
Citrus	حمضيات
City-state	دولة مدينة
Civil war	حرب أهلية
Civilization	حضارة
Clarinet	كلارينيت
Clark Gable	كلارك غيبل
Class (biology)	طائفة (تصنيف)
Classical mechanics	ميكانيكا كلاسيكية
Classical music	موسيقى كلاسيكية
Classical music	تصنيف:موسيقى كلاسيكية
Classicism	كلاسيكية
Claude Monet	كلود مونيه
Claude Shannon	كلود شانون
Claudio Monteverdi	كلاوديو مونتيفيردي
Claudius	كلوديوس
Clavicle	ترقوة
Clay	طين
Clef	مفتاح موسيقي
Cleveland	كليفلاند، أوهايو
Climate	مناخ
Clinical depression	الاكتئاب عند الإنسان
Clio	كليو
Clitoris	بظر
Clock	ساعة (آلة)
Clock Tower	بيج بن
Cloning	استنساخ
Clothing	تصنيف:ملابس
Clothing	ملابس
Cloud	سحاب
Clove	قرنفل
Clover	برسيم
Clovis I	كلوفيس الأول
Cnidaria	لاسعات
Coal	فحم حجري
Cobalt	كوبالت
Cocaine	كوكايين
Cockroach	صرصور
Cocktail	كوكتيل
Cocos (Keeling) Islands	جزر كوكس
Codeine	كودين
Coffee	قهوة
Cognitive science	علوم استعرافية
Cola	كولا
Cold War	حرب باردة
Cold War	تصنيف:الحرب الباردة
Colin Powell	كولن باول
Collage	كولاج
Collagen	كولاجين
Colloid	غرويد
Cologne	كولونيا
Colombia	كولومبيا
Colombia	تصنيف:كولومبيا
Colombo	كولومبو
Color	لون
Color blindness	عمى الألوان
Colorado	كولورادو
Colorado River	نهر كولورادو
Colosseum	كولوسيوم
Colossus of Rhodes	أبولو رودس
Columbia	كولومبيا، كارولاينا الجنوبية
Columbia	كولومبيا (توضيح)
Columbia University	جامعة كولومبيا
Columbidae	حمام (طير)
Columbiformes	حماميات
Columbus	كولومبوس، أوهايو
Columbus	كولومبوس
Combustion	احتراق
Comedy	كوميديا
Comet	مذنب
Commerce	تصنيف:تجارة
Common Fig	تين
Common cold	زكام
Commonwealth of Independent States	اتحاد الدول المستقلة
Commonwealth of Nations	دول الكومنولث
Communication	تصنيف:اتصالات
Communication	اتصال
Communism	شيوعية
Communism	تصنيف:شيوعية
Comoros	جزر القمر
Comoros	تصنيف:جزر القمر
Compact Disc	قرص مضغوط
Compass	بوصلة
Compiler	مصرف (برمجة)
Complex instruction set computer	تقنية حاسب مجموعة التعليمات المعقدة
Complex number	عدد عقدي
Composer	ملحن
Composite material	مادة مركبة
Composite number	عدد مركب
Computational linguistics	لسانيات حاسوبية
Computed tomography	أشعة مقطعية
Computer	حاسوب
Computer architecture	معمارية الحاسوب
Computer display	شاشة
Computer graphics	تصنيف:رسوميات الحاسوب
Computer hardware	عتاد الحاسوب
Computer hardware	تصنيف:عتاد الحاسوب
Computer network	شبكة كمبيوتر
Computer programming	برمجة
Computer programming	تصنيف:برمجة
Computer science	معلوماتية
Computer science	تصنيف:حوسبة
Computer software	برمجيات
Computer virus	فيروس الحاسوب
Computing	تصنيف:حاسوبية
Conakry	كوناكري
Concerto	كونشرتو
Concord	كونكورد، نيوهامبشر
Concrete	خرسانة
Condom	واقي
Cone (geometry)	مخروط
Confederate States of America	الولايات الكونفدرالية الأمريكية
Confirmation	سر الميرون
Conflict	صراع
Confucianism	كونفشيوسية
Confucius	كونفوشيوس
Congo River	نهر الكونغو
Conic section	قطع مخروطي
Connecticut	كونيتيكت
Connective tissue	نسيج ضام
Conservation of energy	بقاء الطاقة
Conservatism	سياسة محافظة
Constantine I	قسطنطين الأول
Constantinople	القسطنطينية
Constellation	كوكبة
Constitution (political)	دستور
Contact lens	عدسات لاصقة
Continent	قارة
Continental drift	نظرية الانجراف القاري
Contract	عقد (قانون)
Cooking	طبخ
Coordinated Universal Time	توقيت عالمي منسق
Copenhagen	كوبنهاغن
Copper	نحاس
Copyright	حقوق النسخ
Coraciiformes	ضؤضئيات
Coral reef	شعاب مرجانية
Coriander	كزبرة
Corinth	كورنث
Cork (city)	كورك
Cornea	قرنية
Cornell University	جامعة كورنيل
Cornwall	كورنوال
Corrosion	تآكل
Corsica	كورسيكا
Cosmology	علم الكون الفيزيائي
Cosmology	تصنيف:علم الكون
Costa Rica	كوستاريكا
Costa Rica	تصنيف:كوستاريكا
Cotton	قطن
Coulomb	كولوم
Coulomb's law	قانون كولوم
Council of Chalcedon	مجمع خلقيدونية
Council of Ephesus	مجمع أفسس
Country	بلد (مصطلح)
Country music	موسيقى الريف
Covalent bond	رابطة تساهمية
Coventry	كوفنتري
Coyote	ذئب البراري
Creationism	نظرية الخلق
Cremona	كريمونا
Crete	إقريطش
Cricket	كريكيت
Crime	جريمة
Crimea	القرم (شبه جزيرة)
Crimean War	حرب القرم
Criminology	علم الإجرام
Croatia	كرواتيا
Croatia	تصنيف:كرواتيا
Crocodile	تمساح
Crucifixion	صلب المسيح
Crust (geology)	قشرة أرضية
Crustacean	قشريات
Crux	صليب جنوبي
Cryptography	علم التعمية
Crystal	بلورة
Crystallography	علم البلورات
Crystallography	تصنيف:علم البلورات
Cuba	كوبا
Cuba	تصنيف:كوبا
Cube	مكعب
Cubism	مدرسة تكعيبية
Cuculiformes	واقواقيات
Cucumber	خيار
Culture	ثقافة
Culture	تصنيف:ثقافة
Curitiba	كوريتيبا
Curium	كوريوم
Curling	كيرلنج
Currency	تصنيف:عملات
Currency	عملة
Cusco	كوزكو
Cyanide	سيانيد
Cybernetics	سبرانية
Cyclades	كيكلادس
Cycling	ركوب الدراجات
Cyclone	زوبعة
Cyclops	صقلوب
Cygnus (constellation)	الدجاجة (كوكبة)
Cylinder (geometry)	أسطوانة (هندسة رياضية)
Cyprinid	عائلة الشبوطيات
Cypriniformes	أشكال الشبوطيات
Cyprus	قبرص
Cyprus	تصنيف:قبرص
Cyrillic alphabet	أبجدية سريلية
Cyrus the Great	كورش الكبير
Cystic fibrosis	تليف كيسي
Cytoplasm	هيولى (خلية)
Cytoskeleton	هيكل خلوي
Czech Republic	تشيك
Czech Republic	تصنيف:التشيك
Czechoslovakia	تشيكوسلوفاكيا
D	D
D. H. Lawrence	ديفيد هربرت لورانس
DNA	حمض نووي ريبي منقوص الأكسجين
DOS	دوس
DVD	دي في دي
Dada	دادا
Dagger	خنجر
Daguerreotype	داجيروتيب
Dahlia	داليا (زهرة)
Dakar	داكار
Dalai Lama	الدالاي لاما
Dallas	دالاس، تكساس
Dalmatia	دالماسيا
Dam	سد
Damascus	دمشق
Dance	رقص
Dance	تصنيف:رقص
Daniel Bernoulli	دانييل برنولي
Daniel Defoe	دانييل ديفو
Daniel Ortega	دانييل أورتيغا
Dante Alighieri	دانتي أليغييري
Danube	دانوب
Daphne	دافني
Dar es Salaam	دار السلام (تنزانيا)
Dardanelles	الدردنيل
Darfur	دار فور
Dark matter	مادة مظلمة
Darmstadtium	دارمشتاتيوم
Das Kapital	رأس المال (كتاب)
Data	بيانات
Data mining	تنقيب في البيانات
Data structure	بنية البيانات
Database	قاعدة بيانات
Database management system	نظام تسيير قواعد البيانات
Date Palm	نخلة
David	داود
David Hilbert	ديفيد هيلبرت
David Livingstone	ديفيد ليفينغستون
David Ricardo	دافيد ريكاردو
Day	يوم
Deacon	شماس
Dead Sea	بحر ميت
Dead Sea scrolls	مخطوطات البحر الميت
Death	موت
Death	تصنيف:موت
December	ديسمبر
December 31	31 ديسمبر
December 8	8 ديسمبر
Decibel	ديسيبل
Decimal	نظام عد عشري
Decius (emperor)	ديكيوس
Declination	میل
Deco	ديكو
Deconstruction	تفكيكية
Deer	أيل
Degree (angle)	درجة (زاوية)
Deism	ربوبية
Delaware	ديلاوير
Delhi	دلهي
Dell	ديل
Delta (letter)	دلتا (حرف إغريقي)
Demagogy	ديماغوجيا
Demeter	ديميتر
Democracy	ديمقراطية
Democratic Party (United States)	الحزب الديموقراطي (أمريكا)
Democratic Republic of the Congo	جمهورية الكونغو الديمقراطية
Democratic Republic of the Congo	تصنيف:جمهورية الكونغو الديمقراطية
Democritus	ديموقريطوس
Demography	دراسات سكانية
Demosthenes	ديموستيني
Dengue fever	حمى الدنك
Denis Diderot	دنيس ديدرو
Denmark	الدانمارك
Denmark	تصنيف:دانمارك
Dennis Gabor	دنيس غابور
Density	كثافة
Dental caries	نخر الأسنان
Dentistry	طب أسنان
Denver	دنفر، كولورادو
Derivative	اشتقاق (رياضيات)
Des Moines	دي موين، آيوا
Desert	صحراء
Deserts	تصنيف:صحاري
Desiderius Erasmus	إيرازموس
Design	تصنيف:تصميم
Desmond Tutu	ديزموند توتو
Determinant	محدد
Determinism	حتمية
Detroit	ديترويت، ميشيغان
Deuterium	ديوتريوم
Deuteronomy	سفر التثنية
Developmental psychology	علم النفس التنموي
Devon	ديفون
Dew	ندى
Dewey Decimal Classification	تصنيف ديوي العشري
Dhaka	دكا
Dharma	دارما
Diabetes mellitus	السكري
Diacritic	فتحة لاتينية
Dialect	لهجة
Dialectic	ديالكتيك
Dialectical materialism	مادية جدلية
Diameter	قطر الدائرة
Diamond	ألماس
Diana	ديانا سبينسر
Diarrhea	إسهال
Diaspora	الشتات
Dice	نرد
Dicotyledon	ثنائيات الفلقة
Dictatorship	ديكتاتورية
Dictionary	قاموس
Diesel engine	محرك ديزل
Differential equation	معادلات تفاضلية
Digestion	هضم
Digital	نظام رقمي
Digital camera	كاميرا رقمية
Digital photography	تصوير رقمي
Digital subscriber line	خط المشترك الرقمي
Dill	شبت
Dimension	بعد
Dinosaur	ديناصور
Diocletian	ديوكلتيانوس
Diode	ثنائي
Diphtheria	دفتيريا
Diplodocus	ديبلودوكس
Diplomacy	دبلوماسية
Direct current	تيار مستمر
Disaccharide	سكر ثنائي
Disambiguation	تصنيف:صفحات توضيح
Disc jockey	دي جي
Discrimination	تمييز
Disease	مرض
Distance	مسافة
Division (military)	فرقة (وحدة عسكرية)
Divorce	طلاق
Djibouti	تصنيف:جيبوتي
Dmitri Mendeleev	ديميترى مندلييف
Dodecanese	دوديكانيسيا
Dodo	دودو
Dodoma	دودوما
Dog	كلب (حيوان)
Doha	الدوحة
Dollar	دولار
Dolly (sheep)	النعجة دولي
Dolphin	دلفين
Domain (biology)	نطاق (تصنيف)
Domain name	مجال انترنت
Dome	قبة
Domesday Book	كتاب ونشيستر
Domestication	استئناس
Dominica	دومينيكا
Dominica	تصنيف:دومينيكا
Dominican Republic	جمهورية الدومنيكان
Dominican Republic	تصنيف:جمهورية الدومنيكان
Domitian	دوميتيان
Don Quixote	دون كيخوتى
Donald Duck	بطوط
Donatello	دوناتيلو
Donkey	حمار
Door	باب
Doppler effect	تأثير دوبلر
Doris Lessing	دوريس ليسينغ
Dortmund	دورتموند
Double bass	كونترباص
Dover	دوفر، ديلاوير
Dover	دوفر
Down syndrome	متلازمة داون
Dracula	دراكولا (رواية)
Dragon	تنين
Drainage basin	مستجمع مائي
Drama	دراما
Dream	حلم
Dresden	دريسدن
Dromedary	جمل عربي
Drum	طبلة
Dualism	مثنوية
Dualism (philosophy of mind)	مثنوية (فلسفة العقل)
Dubai	إمارة دبي
Dublin	دبلن
Dubnium	دبنيوم
Duck	بط
Dugong	أطوم
Duke	دوق
Duke University	جامعة دوك
Duodenum	عفج
Durban	ديربان
Dustin Hoffman	دستين هوفمان
Dwight D. Eisenhower	دوايت أيزنهاور
Dynamics (physics)	علم التحريك
Dynasty	سلالة حاكمة
Dysprosium	ديسبروسيوم
Dystopia	ديستوبيا
E	E
E (mathematical constant)	إي (ثابت رياضي)
E-mail	بريد إلكتروني
ETA	إيتا
Eagle	عقاب
Ear	أذن
Earth	أرض
Earth	تصنيف:أرض
Earth science	علوم الأرض
Earthquake	زلزال
East	شرق
East Africa	شرق أفريقيا
East Germany	ألمانيا الشرقية
East Sussex	شرق ساسكس
East Timor	تيمور الشرقية
Easter	عيد القيامة
Eastern Orthodox Church	أرثوذوكسية شرقية
Ebola	إيبولا
Ebro	أبرة
Eccentricity (mathematics)	لا مركزية (رياضيات)
Ecclesiastes	سفر الجامعة
Echidna	نضناض
Echinoderm	شوكيات الجلد
Eclipse	كسوف الشمس
Eclipse (software)	إكليبس
Ecology	علم البيئة
Ecology	تصنيف:علم البيئة
Econometrics	اقتصاد قياسي
Economics	اقتصاد
Economics	تصنيف:اقتصاد
Economy	اقتصاد
Ecosystem	نظام بيئي
Ecuador	إكوادور
Ecuador	تصنيف:إكوادور
Ecumenical council	مجمع مسكوني
Edgar Allan Poe	إدغار آلان بو
Edinburgh	إدنبرة
Edirne	أدرنة
Edmond Halley	آدموند هالي
Edmonton	أدمونتون
Edmund Burke	إدموند بيرك
Edmund Hillary	إدموند هيلاري
Edo	إيدو
Eduard Buchner	إدوارد بوخنر
Education	تعليم
Education	تصنيف:تعليم
Edvard Munch	إدفارت مونك
Edward Gibbon	إدوارد جيبون
Edward Jenner	إدوارد جينر
Edward the Confessor	إدوارد المعترف
Edwin Hubble	إدوين هابل
Egg (biology)	بيضة (أحياء)
Eggplant	باذنجان
Egypt	مصر
Egypt	تصنيف:مصر
Egyptian pound	جنيه مصري
Egyptology	علوم المصريات
Eiffel Tower	برج إيفل
Einsteinium	أينشتاينيوم
Ejaculation	قذف (أحياء)
El Greco	إل غريكو
El Paso	إل باسو، تكساس
El Salvador	إلسلفادور
El Salvador	تصنيف:إلسلفادور
Elam	حضارة عيلام
Elbe	إلبه
Eleanor Roosevelt	إليانور روزفلت
Electric charge	شحنة كهربائية
Electric current	تيار كهربائي
Electric field	حقل كهربائي
Electric motor	محرك كهربائي
Electrical engineering	هندسة كهربائية
Electrical resistance	مقاومة كهربائية
Electricity	كهرباء
Electricity	تصنيف:كهرباء
Electrocardiogram	مخطط قلب كهربائي
Electrochemistry	كيمياء كهربية
Electrochemistry	تصنيف:كيمياء كهربائية
Electromagnetic radiation	موجة كهرومغناطيسية
Electromagnetic spectrum	الطّيف الكهرومغناطيسي
Electromagnetism	كهرومغناطيسية
Electromagnetism	تصنيف:كهرومغناطيسية
Electron	إلكترون
Electron microscope	مجهر إلكتروني
Electronegativity	كهرسلبية
Electronics	إلكترونيات
Electronics	تصنيف:إلكترونيات
Elementary particle	جسيم أولي
Elephant	فيل
Elevator	مصعد
Elia Kazan	إيليا كازان
Elias Canetti	إلياس كانيتي
Elijah	إيليا
Elizabeth Taylor	إليزابيث تايلور
Ella Fitzgerald	إلا فيتزجيرالد
Ellipse	قطع ناقص
Elvis Presley	إلفيس بريسلي
Embryo	جنين
Embryology	علم الجنين
Emerald	زمرد
Emilia-Romagna	إميليا رومانيا
Emiliano Zapata	إيمليانو زاباتا
Emily Dickinson	إيميلي ديكنسون
Emir	أمير
Emma Goldman	إيما جولدمان
Emoticon	^ ^
Emotion	مشاعر
Emotion	تصنيف:عاطفة
Emperor	إمبراطور
Emperor Penguin	بطريق إمبراطوري
Empire	إمبراطورية
Empire State Building	مبنى إمباير ستيت
Encyclopedia	موسوعة
Endocrine system	جهاز غدد صماء
Endocrinology	علم الغدد الصم
Energy	طاقة
Energy	تصنيف:طاقة
Energy (society)	طاقة
Engine	محرك
Engineering	هندسة تطبيقية
Engineering	تصنيف:هندسة تطبيقية
England	إنجلترا
English Channel	القناة الإنجليزية
English Civil War	حرب أهلية إنجليزية
English language	لغة إنجليزية
Enrico Fermi	إنريكو فيرمي
Entertainment	تصنيف:ترفيه
Enthalpy	إنتالبية
Entropy	إنتروبية (تحريك حراري)
Environment	تصنيف:بيئة
Environment	بيئة
Enzyme	إنزيم
Ephesus	أفسس
Epictetus	أبكتاتوس
Epidemic	وباء
Epidemiology	وبائيات
Epigraphy	ابيغرافيا
Epilepsy	صرع
Epinephrine	أدرينالين
Epirus (periphery)	إبيروس (إقليم)
Epistemology	نظرية المعرفة
Epistle to the Galatians	رسالة بولس الرسول إلى أهل غلاطية
Epistle to the Romans	رسالة بولس الرسول إلى أهل رومية
Epsilon	إبسيلون (حرف إغريقي)
Equation	معادلة
Equator	خط الاستواء
Equatorial Guinea	غينيا الاستوائية
Equatorial Guinea	تصنيف:غينيا الاستوائية
Equisetum	أذناب الخيليات
Erato	إراتو
Eratosthenes	إراتوستينس
Erbium	إربيوم
Erik Axel Karlfeldt	اريك أكسل كارلفلت
Eris (dwarf planet)	إريس
Eris (mythology)	إريس (ميثولوجيا)
Eritrea	تصنيف:إريتريا
Ernest Hemingway	إرنست همنجواي
Ernest Rutherford	إرنست رذرفورد
Eros (mythology)	إيروس
Erosion	تعرية
Erwin Rommel	إيرفن رومل
Escherichia coli	إشريكية قولونية
Esfahan	أصفهان (مدينة)
Esophagus	مريء
Esperanto	إسبرانتو
Esperanto	تصنيف:إسبرانتو
Espionage	تجسس
Espoo	إسبو
Essen	إسن
Essex	إسكس
Ester	إستر
Estonia	تصنيف:إستونيا
Estrogen	إستروجين
Eta (letter)	اتا (حرف إغريقي)
Ethane	إيثان
Ethanol	الإثانول
Ether	إيثر
Ethernet	إيثرنت
Ethics	أخلاق
Ethics	تصنيف:أخلاق
Ethiopia	إثيوبيا
Ethiopia	تصنيف:إثيوبيا
Ethnic group	عرق (علم الإنسان)
Ethnology	تصنيف:علم الأعراق
Ethology	إيثولوجيا
Ethylene	إثيلين
Etymology	علم تاريخ الألفاظ
Eucalyptus	كالتوس
Eucharist	افخارستيا
Euclid	إقليدس
Euclidean geometry	هندسة إقليدية
Eugene O'Neill	أوجين أونيل
Eukaryote	حقيقيات النوى
Euphrates	الفرات
Eurasia	أوراسيا
Euro	يورو
Europa (moon)	أوروبا (قمر)
Europe	أوروبا
Europe	تصنيف:أوروبا
European Union	الاتحاد الأوروبي
European Union	تصنيف:اتحاد أوروبي
Europium	يوروبيوم
Eusebius of Caesarea	يوسابيوس القيصري
Euterpe	يوتيربي
Euthanasia	قتل رحيم
Eva Braun	إيفا براون
Evanescence	إڤانيسنس
Evaporation	تبخر
Even-toed ungulate	شفعيات الأصابع
Evolution	نظرية التطور
Exclamation mark	علامة التعجب (علامة ترقيم)
Executive (government)	سلطة تنفيذية
Exhibitionism	استعرائية
Existentialism	وجودية
Exodus	سفر الخروج
Expected value	قيمة متوقعة
Experiment	تجربة
Explosion	انفجار
Exponentiation	أس
Expressionism	تعبيرية
Extinction	انقراض
Eye	عين
Eye	تصنيف:عين
Ezra Pound	عزرا باوند
F	F
F. Scott Fitzgerald	فرنسيس سكات فيتزجيرالد
Fabaceae	قرنيات
Face	وجه
Fact	قالب:حقيقة
Factorial	عاملي
Factory	مصنع
Facula	صياخد
Fado	فادو
Fair use	استعمال عادل
Falcon	صقر
Falconiformes	صقريات
Falkland Islands	جزر فوكلاند
Fallacy	سفسطة
Fallopian tube	قناة فالوب
Fallow Deer	أيل أسمر أوروبي
Family	تصنيف:عائلة
Family (biology)	فصيلة (تصنيف)
Family history	علم الأنساب
Farad	فاراد
Fascism	فاشية
Fascism	تصنيف:فاشية
Fashion	تصنيف:زي
Fashion	موضة
Fast food	وجبات سريعة
Fasting	صوم
Fatah	حركة فتح
Fatty acid	حمض دهني
Fault (geology)	فالق
Fax	فاكس
Fear	خوف
Feather	ريش
February	فبراير
February 12	12 فبراير
February 14	14 فبراير
February 2	2 فبراير
February 22	22 فبراير
February 29	29 فبراير
Feces	براز
Federal Bureau of Investigation	مكتب التحقيقات الفيدرالي
Federated States of Micronesia	ولايات ميكرونيسيا المتحدة
Federation	فيدرالية
Federico Fellini	فدريكو فلليني
Fedora (Linux distribution)	فيدورا كور
Feldspar	مجموعة الفلدسبار
Felidae	سنوريات
Felix Mendelssohn	فيلكس مندلسون
Feminism	أنثوية
Fencing	فينسنج
Feng shui	فينج شوي
Fennel	شومر
Fenrir	فنرير
Ferdinand Magellan	ماجلان
Ferdinand de Saussure	فريديناند دي سوسير
Fermion	فرميون
Fermium	فرميوم
Fern	سراخس
Ferrara	فيرارا
Fertile Crescent	الهلال الخصيب
Fertilizer	سماد
Fetus	جنين حي
Feudalism	إقطاعية
Fever	حمى
Fiat	فيات
Fibonacci number	متتالية فيبوناتشي
Fiction	تصنيف:خيال
Fictional character	شخصية خيالية
Fidel Castro	فيدل كاسترو
Field (mathematics)	حقل (رياضيات)
Field hockey	هوكي أرضي
Fighter aircraft	مقاتلة
Figure skating	التزلج الفني على الجليد
Fiji	فيجي
Fiji	تصنيف:فيجي
File Allocation Table	جدول توزيع الملف
File Transfer Protocol	إف‌.تي.‌بي
File system	نظام الملفات
Film	تصنيف:سينما
Film	فيلم
Film	بوابة:سينما
Fin Whale	حوت زعنفي
Finance	تصنيف:مالية
Finance	تمويل
Finger	إصبع
Fingerprint	بصمة الأصبع
Finland	فنلندا
Finland	تصنيف:فنلندا
Fire	حريق
Firearm	سلاح ناري
Firewall (networking)	جدار ناري
Firmware	البرنامج الثابت
First Council of Constantinople	مجمع القسطنطينية الأول
First Council of Nicaea	مجمع نيقية
First Crusade	الحملة الصليبية الأولى
First Epistle to the Corinthians	رسالة بولس الرسول الأولى إلى أهل كورنثوس
First aid	إسعافات أولية
First language	لغة أولى
Fish	سمك
Fish	تصنيف:أسماك
Fishing	صيد السمك
Flag	علم (راية)
Flagellum	سوط (أحياء)
Flamingo	نحام وردي
Flash memory	ذاكرة وميضية
Flatulence	ضرطة
Flea	برغوث
Flip-flop (electronics)	قلاب
Flood	فيضان
Floppy disk	قرص مرن
Florence	فلورنسا
Florence Nightingale	فلورنس نايتينجيل
Florida	فلوريدا
Flower	زهرة
Flowering plant	مغطاة البذور
Fluid	مائع
Fluid mechanics	ميكانيكا الموائع
Fluorite	فلورايت
Flute	فلوت
Fog	ضباب
Folic acid	حمض فوليك
Folk music	موسيقى فلكرولية
Folklore	فلكلور
Folklore	تصنيف:فلكلور
Food	غذاء
Food additive	المواد المضافة للطعام
Food and Agriculture Organization	منظمة الأغذية والزراعة
Food chain	سلسلة الطعام
Foot (unit of length)	قدم (وحدة قياس)
Football (soccer)	كرة القدم
Football (soccer)	تصنيف:كرة قدم
Football (soccer) by country	تصنيف:كرة قدم حسب البلد
Football (soccer) clubs	تصنيف:أندية كرة قدم
Football (soccer) managers	تصنيف:مدربو كرة قدم
Football (soccer) players	تصنيف:لاعبو كرة قدم
Forbidden City	المدينة المحرمة
Force	قوة
Forest	غابة
Fork	شوكة
Formic acid	حمض فورميك
Fort Worth	فورت وورث، تكساس
Fortran	فورتران
Fossil	مستحثات
Fossil fuel	وقود أحفوري
Fountain	نافورة
Fourier series	متسلسلة فورييه
Fourth Crusade	حملة صليبية رابعة
Fox	ثعلب
Fractal	هندسة كسيرية
Fraction (mathematics)	كسر
France	فرنسا
France	تصنيف:فرنسا
Francis Bacon	فرانسيس بيكون
Francis Crick	فرنسيس كريك
Francis Drake	فرانسيس دريك
Francis Ford Coppola	فرانسيس فورد كوبولا
Francis II	فرانسيس الثاني
Francis of Assisi	فرنسيس الأسيزي
Francisco Franco	فرانسيسكو فرانكو
Francisco Goya	فرانسيسكو غويا
Francium	فرانسيوم
Frank Lloyd Wright	فرانك لويد رايت
Frank Sinatra	فرانك سيناترا
Frankfort	فرانكفورت، كنتاكي
Frankfurt	فرانكفورت
Frankfurt	تصنيف:فرانكفورت
Franklin Pierce	فرانكلين بيرس
Franz Kafka	فرانتس كافكا
Franz Schubert	فرانز شوبرت
Fred Astaire	فريد أستير
Frederick I	فريدريك الأول بربروسا
Frederick II	فريدريك الثاني
Frederick Sanger	فردريك سانغر
Frederick Soddy	فردريك سودي
Free State	فري ستيت
Free will	إرادة حرة
Freedom (philosophy)	حرية
Freedom of speech	حرية التعبير
Freemasonry	ماسونية
Freetown	فريتاون
Freeware	برامج مجانية
French Polynesia	بولينسيا الفرنسية
