Lithuanian	English
Inkstas	Kidney
Kijevas	Kiev
Kigalis	Kigali
Kilogramas	Kilogram
Kimono	Kimono
Kinematika	Kinematics
Kinetinė energija	Kinetic energy
Karalius (šachmatai)	King (chess)
Karalystė	Kingdom (biology)
Kingstonas	Kingston
Kingstaunas	Kingstown
Kinšasa	Kinshasa
Kiribatis	Kiribati
Bučinys	Kiss
Aitvaras (įtaisas)	Kite
Kelis	Knee
Peilis	Knife
Žirgas (šachmatai)	Knight (chess)
Knoso rūmai	Knossos
Mazgas	Knot (speed)
Žinios	Knowledge
Knut Hamsun	Knut Hamsun
Koala	Koala
Kobė	Kobe
Kolos pusiasalis	Kola Peninsula
Kolkata	Kolkata
Komodo varanas	Komodo dragon
Konqueror	Konqueror
Konrad Adenauer	Konrad Adenauer
Korėja	Korea
Kategorija:Korėja	Korea
Korėjos karas	Korean War
Kosovas	Kosovo
Kategorija:Kosovas	Kosovo
Krakatau	Krakatoa
Kremlius	Kremlin
Kriptonas	Krypton
Kukluksklanas	Ku Klux Klan
Kvala Lumpūras	Kuala Lumpur
Kublaichanas	Kublai Khan
Koiperio juosta	Kuiper belt
Kinkanas	Kumquat
Kung fu	Kung fu (term)
Kunlunas	Kunlun Mountains
Guomindanas	Kuomintang
Kura	Kura River
Kurdistanas	Kurdistan
Kurdistano darbininkų partija	Kurdistan Workers Party
Kurskas	Kursk
Kurt Vonnegut	Kurt Vonnegut
Kuveitas	Kuwait
Kategorija:Kuveitas	Kuwait
Kuveitas (miestas)	Kuwait City
Kvazulu-Natalis	KwaZulu-Natal
Kiotas	Kyoto
Kirgizija	Kyrgyzstan
Kategorija:Kirgizija	Kyrgyzstan
L	L
LAMP	LAMP (software bundle)
La Pasas	La Paz
La Plata (Argentinos miestas)	La Plata
Laboratorija	Laboratory
Leiboristų partija	Labour Party (UK)
Labradoro retriveris	Labrador Retriever
Driežas (astronomija)	Lacerta
Pieno rūgštis	Lactic acid
Laktozė	Lactose
Kiškiažvėriai	Lagomorpha
Lagosas	Lagos
Lahoras	Lahore
Ežeras	Lake
Baikalo ežeras	Lake Baikal
Čado ežeras	Lake Chad
Bodeno ežeras	Lake Constance
Eris	Lake Erie
Eiro ežeras	Lake Eyre
Ženevos ežeras	Lake Geneva
Huronas	Lake Huron
Ilmenis	Lake Ilmen
Ladoga	Lake Ladoga
Malavio ežeras	Lake Malawi
Mičigano ežeras	Lake Michigan
Onega	Lake Onega
Ontarijo ežeras	Lake Ontario
Aukštutinis ežeras	Lake Superior
Tanganika (ežeras)	Lake Tanganyika
Viktorijos ežeras	Lake Victoria
Lakšmė	Lakshmi
Lambda (raidė)	Lambda
Notreliniai	Lamiaceae
Nėginės	Lamprey
Iešmutis	Lancelet
Sąvartynas	Landfill
Kalba	Language
Lansingas	Lansing
Lantanoidai	Lanthanide
Lantanas	Lanthanum
Laosas	Laos
Kategorija:Laosas	Laos
Laptevų jūra	Laptev Sea
Maumedis	Larch
Lerva	Larva
Gerklos	Larynx
Las Vegas	Las Vegas
Lazeris	Laser
Lotynų kalba	Latin
Lotynų Amerika	Latin America
Lotynų abėcėlė	Latin alphabet
Platuma	Latitude
Latvija	Latvia
Kategorija:Latvija	Latvia
Laurazija	Laurasia
Lozana	Lausanne
Lava	Lava
teisė	Law
Kategorija:Teisė	Law
Laurencis	Lawrencium
Lacijus	Lazio
Le Corbusier	Le Corbusier
Švinas	Lead
Lapas	Leaf
Tautų Sąjunga	League of Nations
Pizos bokštas	Leaning Tower of Pisa
Keliamieji metai	Leap year
Mokymasis	Learning
Libanas	Lebanon
Kategorija:Libanas	Lebanon
Leda	Leda (mythology)
Lidsas	Leeds
Legenda	Legend
Įstatymų leidžiamoji valdžia	Legislature
Lesteris	Leicester
Leidenas	Leiden
Leipcigas	Leipzig
Tikrasis citrinmedis	Lemon
Vaistinė melisa	Lemon balm
Lena	Lena River
Lęšis (optika)	Lens (optics)
Valgomasis lęšis	Lentil
Liūtas (astronomija)	Leo (constellation)
Levas Trockis	Leon Trotsky
Leonardas Bernstainas	Leonard Bernstein
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Leonidas Brežnevas	Leonid Brezhnev
Leopardas	Leopard
Drugiai	Lepidoptera
Leptonas	Lepton
Kiškis (astronomija)	Lepus (constellation)
Lesbietė	Lesbian
Lesotas	Lesotho
Kategorija:Lesotas	Lesotho
Mažieji Antilai	Lesser Antilles
Leto	Leto
Raidė	Letter (alphabet)
Leukemija	Leukemia
Levantas	Levant
Svertas	Lever
Leviatanas	Leviathan
Lewis Carroll	Lewis Carroll
Leksikologija	Lexicology
Lasa	Lhasa
Lotsė	Lhotse
Liberalizmas	Liberalism
Kategorija:Liberalizmas	Liberalism
Liberija	Liberia
Kategorija:Liberija	Liberia
Svarstyklės (astronomija)	Libra (constellation)
Biblioteka	Library
Librevilis	Libreville
Libija	Libya
Kategorija:Libija	Libya
Kerpės	Lichen
Melas	Lie
Lichtenšteinas	Liechtenstein
Kategorija:Lichtenšteinas	Liechtenstein
Gyvybė	Life
Kategorija:Gyvybė	Life
Šviesa	Light
Šviesos diodas	Light-emitting diode
Šviesmetis	Light-year
Žiebtuvėlis	Lighter
Švyturys	Lighthouse
Žaibas	Lightning
Ligūrija	Liguria
Ligūrijos jūra	Ligurian Sea
Lelijiniai	Liliaceae
Lilita	Lilith
Lilis	Lille
Lilongvė	Lilongwe
Lima	Lima
Limerikas	Limerick
Klintis	Limestone
Riba (matematika)	Limit (mathematics)
Limuzenas	Limousin (region)
Linkolnas	Lincoln
Linkolnas (reikšmės)	Lincoln
Tiesė	Line (mathematics)
Tiesinė algebra	Linear algebra
Lingua franca	Lingua franca
Kalbotyra	Linguistics
Kategorija:Kalbotyra	Linguistics
Linus Pauling	Linus Pauling
Linux	Linux
Lincas	Linz
Liūtas	Lion
Lipidai	Lipid
Likeris	Liqueur
Skystis	Liquid
LCD monitorius	Liquid crystal display
Paprastasis saldymedis	Liquorice
Lisabona	Lisbon
Lisp	Lisp (programming language)
Literatūra	Literature
Kategorija:Literatūra	Literature
Litis	Lithium
Litografija	Lithography
Litosfera	Lithosphere
Lietuva	Lithuania
Kategorija:Lietuva	Lithuania
Litras	Litre
Pelėdikė	Little Owl
Liverpulis	Liverpool
Livonija	Livonia
Titas Livijus	Livy
Driežai	Lizard
Liubliana	Ljubljana
Lama	Llama
Skolinys	Loanword
Loch Nesas	Loch Ness
Lochneso pabaisa	Loch Ness Monster
Lokomotyvas	Locomotive
Logaritmas	Logarithm
Logika	Logic
Kategorija:Logika	Logic
Loginis elementas	Logic gate
Logotipas	Logo
Luara (departamentas)	Loire
Luara	Loire River
Lokis	Loki
Lombardija	Lombardy
Londonas	London
Kategorija:Londonas	London
Long Byčas	Long Beach
Mažasis apuokas	Long-eared Owl
Tėve mūsų	Lord's Prayer
Lotaringija	Lorraine (region)
Los Andželas	Los Angeles
Lo (departamentas)	Lot (department)
Garsiakalbis	Loudspeaker
Louis Armstrong	Louis Armstrong
Louis Pasteur	Louis Pasteur
Luiziana	Louisiana
Luizvilis	Louisville
Luvras	Louvre
Meilė	Love
Žemutinė Saksonija	Lower Saxony
Luanda	Luanda
Liublinas	Lublin
Liucerna (Šveicarija)	Lucerne
Luciano Pavarotti	Luciano Pavarotti
Liuciferis	Lucifer
Liudvigas Bolcmanas	Ludwig Boltzmann
Ludwig Mies van der Rohe	Ludwig Mies van der Rohe
Ludwig Wittgenstein	Ludwig Wittgenstein
Ludwig van Beethoven	Ludwig van Beethoven
Luigi Pirandello	Luigi Pirandello
Mėnulio užtemimas	Lunar eclipse
Lundas	Lund
Plautis	Lung
Dvikvėpės žuvys	Lungfish
Vilkas (astronomija)	Lupus (constellation)
Lusaka	Lusaka
Lutecis	Lutetium
Liuteronybė	Lutheranism
Liuksas	Lux
Liuksemburgas	Luxembourg
Kategorija:Liuksemburgas	Luxembourg
Liuksemburgas (miestas)	Luxembourg (city)
Luksoras	Luxor
Lusonas	Luzon
Kininis ličis	Lychee
Lydija	Lydia
Lūšis (astronomija)	Lynx (constellation)
Lionas	Lyon
Lyra (astronomija)	Lyra
LSD	Lysergic acid diethylamide
Lizinas	Lysine
Lizosomos	Lysosome
M	M
M teorija	M-theory
MIME	MIME
MS-DOS	MS-DOS
Makao	Macau
Makedonija (reikšmės)	Macedonia
Makedonija (Graikija)	Macedonia (Greece)
Macho skaičius	Mach number
Mašininis kodas (programavimas)	Machine code
Kulkosvaidis	Machine gun
Automatinis vertimas	Machine translation
Maču Pikču	Machu Picchu
Makroekonomika	Macroeconomics
Kategorija:Makroekonomika	Macroeconomics
Madagaskaras	Madagascar
Kategorija:Madagaskaras	Madagascar
Madeiros salos	Madeira
Madisonas	Madison
Madonna	Madonna (entertainer)
Madridas	Madrid
Mafija	Mafia
Žurnalas (spauda)	Magazine
Magribas	Maghreb
Magija	Magic (paranormal)
Mažino linija	Maginot Line
Magma	Magma
Magna Carta Libertatum	Magna Carta
Magnis	Magnesium
Magnetas	Magnet
Magnetinis laukas	Magnetic field
Magnetizmas	Magnetism
Kategorija:Magnetizmas	Magnetism
Magnetitas	Magnetite
Maharaštra	Maharashtra
Mohandas Gandhi	Mahatma Gandhi
Paštas	Mail
Meinas	Maine
Universalieji kompiuteriai	Mainframe computer
Paprastasis kukurūzas	Maize
Majoras	Major
Makalu	Makalu
Malabas	Malabo
Malachitas	Malachite
Aukštesnieji vėžiagyviai	Malacostraca
Maliarija	Malaria
Kategorija:Malavis	Malawi
Malakos pusiasalis	Malay Peninsula
Baltaliemenis tapyras	Malayan Tapir
Malaizija	Malaysia
Kategorija:Malaizija	Malaysia
Maldyvai	Maldives
Kategorija:Maldyvai	Maldives
Malis	Mali
Kategorija:Malis	Mali
Didžioji antis	Mallard
Malta	Malta
Kategorija:Malta	Malta
Maltiečių kalba	Maltese language
Maltozė	Maltose
Dedešviniai	Malvaceae
Žinduoliai	Mammal
Mamutas	Mammoth
Vadyba	Management
Managva	Managua
Menama	Manama
Mančesteris	Manchester
Mandžiūrija	Manchuria
Mandala	Mandala
Mandarininis citrinmedis	Mandarin orange
Manganas	Manganese
Mangas	Mango
Mangrovė	Mangrove
Manhatanas	Manhattan
Manheteno projektas	Manhattan Project
Manicheizmas	Manichaeism
Manila	Manila
Manipuras	Manipur
Manitoba	Manitoba
Manheimas	Mannheim
Planetos mantija	Mantle (geology)
Mantra	Mantra
Mao Dzedunas	Mao Zedong
Maoizmas	Maoism
Žemėlapis	Map
Klevas	Maple
Maputu	Maputo
Maratonas	Marathon
Marmuras	Marble
Marc Chagall	Marc Chagall
Marcel Duchamp	Marcel Duchamp
Marcel Proust	Marcel Proust
Kovas	March
Kovo 17	March 17
Kovo 19	March 19
Kovo 2	March 2
Kovo 25	March 25
Markė (Italija)	Marche
Markas Polas	Marco Polo
Markas Aurelijus	Marcus Aurelius
Markas Junijus Brutas	Marcus Junius Brutus
Markas Vipsanijus Agripa	Marcus Vipsanius Agrippa
Mardukas	Marduk
Margaret Thatcher	Margaret Thatcher
Marija Antuanetė	Marie Antoinette
Marie Curie	Marie Curie
Marilyn Monroe	Marilyn Monroe
Markas Antonijus	Mark Antony
Mark Twain	Mark Twain
Rinkodara	Marketing
Kategorija:Marketingas	Marketing
Marlene Dietrich	Marlene Dietrich
Markizas de Sadas	Marquis de Sade
Marakešas	Marrakech
Santuoka	Marriage
Kategorija:Marsas	Mars
Marsas	Mars (disambiguation)
Marsas (mitologija)	Mars (mythology)
Marselis	Marseille
Maršalo salos	Marshall Islands
Maršalo planas	Marshall Plan
Sterbliniai	Marsupial
Martinas Buberis	Martin Buber
Martin Heidegger	Martin Heidegger
Martin Luther	Martin Luther
Martinas Liuteris Kingas	Martin Luther King
Martinika	Martinique
Broliai Marksai	Marx Brothers
Marksizmas	Marxism
Marija (Jėzaus motina)	Mary (mother of Jesus)
Marija Magdalietė	Mary Magdalene
Merilandas	Maryland
Maseru	Maseru
Mešhedas	Mashhad
Masė	Mass
Šventos Mišios	Mass (liturgy)
Masačusetsas	Massachusetts
Masačusetso Technologijos institutas	Massachusetts Institute of Technology
Masturbacija	Masturbation
Degtukas	Match
Matematika	Mathematics
Kategorija:Matematika	Mathematics
Wikipedia:Matematika	Mathematics
Matrica (matematika)	Matrix (mathematics)
Materija (fizika)	Matter
Materhornas	Matterhorn
Mauna Kea	Mauna Kea
Mauna Loa	Mauna Loa
Maurice Ravel	Maurice Ravel
Mauritanija	Mauritania
Kategorija:Mauritanija	Mauritania
Mauricijus	Mauritius
Kategorija:Mauricijus	Mauritius
Maksas Ernstas	Max Ernst
Max Planck	Max Planck
Max Weber	Max Weber
Maksvelo lygtys	Maxwell's equations
Gegužė	May
Gegužės 1	May 1
Gegužės 24	May 24
Majenas (departamentas)	Mayenne
Lašalai	Mayfly
Majonezas	Mayonnaise
Meras	Mayor
Mbabanė	Mbabane
Midus	Mead
Mėsa	Meat
Meka	Mecca
Kategorija:Mechanika	Mechanics
Mechanika	Mechanics
Medėja	Medea
Mediana	Median
Vaistas	Medication
Medicina	Medicine
Kategorija:Medicina	Medicine
Medina	Medina
Meditacija	Meditation
Viduržemio jūra	Mediterranean Sea
Medūza (mitologija)	Medusa
Surikata	Meerkat
Mejozė	Meiosis
Meitneris	Meitnerium
Mekongas	Mekong
Melas Gibsonas	Mel Gibson
Melanezija	Melanesia
Melodija	Melody
Melpomenė	Melpomene
Lydymasis	Melting
Lydymosi temperatūra	Melting point
Memas	Meme
Atmintis	Memory
Memfis (Tenesis)	Memphis
Memfis	Memphis
Mendelevis	Mendelevium
Menelajas	Menelaus
Meningitas	Meningitis
Stalkalnis (astronomija)	Mensa (constellation)
Mėnesinių ciklas	Menstrual cycle
Menstruacija	Menstruation
Psichikos sutrikimas	Mental disorder
Mėta	Mentha
Samdinys	Mercenary
Merkurijus	Mercury
Gyvsidabris	Mercury (element)
Merkurijus (mitologija)	Mercury (mythology)
Merkurijus (planeta)	Mercury (planet)
Geografinis dienovidinis	Meridian (geography)
Merovingai	Merovingian
Meskalinas	Mescaline
Mezolitas	Mesolithic
Mezonas	Meson
Mesopotamija	Mesopotamia
Kategorija:Mesopotamija	Mesopotamia
Mezozojus	Mesozoic
IRNR	Messenger RNA
Mesijas	Messiah
Mesina	Messina
Metabolizmas	Metabolism
Metalai	Metal
Pusmetaliai	Metalloid
Metalurgija	Metallurgy
Metafora	Metaphor
Metafizika	Metaphysics
Metastazė	Metastasis
Meteoritas	Meteorite
Meteoroidas	Meteoroid
Kategorija:Meteorologija	Meteorology
Meteorologija	Meteorology
Metanolis	Methanol
Metioninas	Methionine
Metodistai	Methodism
Metija (palydovas)	Metis (moon)
Metras	Metre
Metrinė erdvė	Metric space
Mezas	Meuse
Masas	Meuse River
Meksika	Mexico
Kategorija:Meksika	Mexico
Meksikas	Mexico City
Majamis	Miami
Žėrutis	Mica
Arkangelas Mykolas	Michael (archangel)
Michael Faraday	Michael Faraday
Mikelandželas	Michelangelo
Mičiganas	Michigan
Peliukas Mikis	Mickey Mouse
Mikrobiologija	Microbiology
Kategorija:Mikrobiologija	Microbiology
Mikroekonomika	Microeconomics
Kategorija:Mikroekonomika	Microeconomics
Mikronezija	Micronesia
Mikroorganizmai	Microorganism
Mikrofonas	Microphone
Mikroprocesorius	Microprocessor
Mikroskopas	Microscope
Mikroskopas (astronomija)	Microscopium
Mikrobangos	Microwave
Mikrobangų krosnelė	Microwave oven
Viduramžiai	Middle Ages
Kategorija:Viduramžiai	Middle Ages
Artimieji Rytai	Middle East
Kategorija:Artimieji Rytai	Middle East
Migrena	Migraine
Migelis de Servantesas Savedra	Miguel de Cervantes
Mike Tyson	Mike Tyson
Michailas Bakuninas	Mikhail Bakunin
Michailas Glinka	Mikhail Glinka
Michailas Gorbačiovas	Mikhail Gorbachev
Milanas	Milan
Miles Davis	Miles Davis
Kategorija:Karyba	Military
Karinis laipsnis	Military rank
Pienas	Milk
Paukščių Takas	Milky Way
Tūkstantmetis	Millennium
Dviporiakojai	Millipede
Milton Friedman	Milton Friedman
Milvokis	Milwaukee
Minaretas	Minaret
Mindanao	Mindanao
Mineralas	Mineral
Mineralinis vanduo	Mineral water
Mineralogija	Mineralogy
Kategorija:Mineralogija	Mineralogy
Minerva	Minerva
Ming dinastija	Ming Dynasty
Minimalizmas	Minimalism
Ministras	Minister (government)
Mineapolis	Minneapolis
Minesota	Minnesota
Mino civilizacija	Minoan civilization
Minas (graikų mitologija)	Minos
Minotauras	Minotaur
Minskas	Minsk
Minutė	Minute
Miocenas	Miocene
Veidrodis	Mirror
Misisipė (upė)	Mississippi River
Misūris	Missouri
Misūris (upė)	Missouri River
Mitochondrija	Mitochondrion
Mnemosinė	Mnemosyne
Mobilusis telefonas	Mobile phone
Modemas	Modem
Modernizmas	Modernism
Modestas Musorgskis	Modest Mussorgsky
Moduliacija	Modulation
Mogadišas	Mogadishu
Moiros	Moirae
Pelėjūnas	Mold
Moldavija	Moldova
Kategorija:Moldavija	Moldova
Molis (vienetas)	Mole (unit)
Molekulinė biologija	Molecular biology
Kategorija:Molekulinė biologija	Molecular biology
Molekulė	Molecule
Molizė	Molise
Moliuskai	Mollusca
Molibdenas	Molybdenum
Judesio kiekis	Momentum
Monakas	Monaco
Kategorija:Monakas	Monaco
Monarchija	Monarchy
Vienuolynas	Monastery
Pirmadienis	Monday
Pinigai	Money
Mongolija	Mongolia
Kategorija:Mongolija	Mongolia
Mangustiniai	Mongoose
Monizmas	Monism
Lelijainiai	Monocotyledon
Monomeras	Monomer
Monopolija	Monopoly
Monopoly	Monopoly (game)
Monosacharidas	Monosaccharide
Monoteizmas	Monotheism
Kloakiniai	Monotreme
Monro doktrina	Monroe Doctrine
Monrovija	Monrovia
Musonas	Monsoon
Monblanas	Mont Blanc
Montana	Montana
Monte Karlas	Monte Carlo
Juodkalnija	Montenegro
Kategorija:Juodkalnija	Montenegro
Monterėjus	Monterrey
Montevidėjas	Montevideo
Montgomeris	Montgomery
Mėnuo	Month
Monrealis	Montreal
Montseratas	Montserrat
Mėnulis	Moon
Briedis	Moose
Moralė	Morality
Moravija	Moravia
Marokas	Morocco
Kategorija:Marokas	Morocco
Morfinas	Morphine
Morfologija	Morphology
Morfologija (kalbotyra)	Morphology (linguistics)
Morzės abėcėlė	Morse code
Minosvaidis	Mortar (weapon)
Mozaika	Mosaic
Maskva	Moscow
Mozelis (departamentas)	Moselle
Mozė	Moses
Mečetė	Mosque
Tikrieji uodai	Mosquito
Lapsamanės	Moss
Mosad	Mossad
Mosulas	Mosul
Motetas	Motet
Mama	Mother
Motina Teresė	Mother Teresa
Motinos diena	Mother's Day
Motociklas	Motorcycle
Araratas	Mount Ararat
Atonas (Graikija)	Mount Athos
Etna	Mount Etna
Džomolungma	Mount Everest
Fudzijama	Mount Fuji
Kilimandžaras	Mount Kilimanjaro
Makinlio kalnas	Mount McKinley
Olimpas	Mount Olympus
Pinatubas	Mount Pinatubo
Šv. Elenos kalnas	Mount St. Helens
Vezuvijus	Mount Vesuvius
Kalnas	Mountain
Kalnagūbris	Mountain range
Naminės pelės	Mouse
Pelė (kompiuterio)	Mouse (computing)
Mozambikas	Mozambique
Kategorija:Mozambikas	Mozambique
Miu (raidė)	Mu (letter)
Mahometas	Muhammad
Muhammad Ali	Muhammad Ali
Šilkmedis	Mulberry
Mulas	Mule
Daugialypė terpė	Multimedia
Daugyba	Multiplication
Mumbajus	Mumbai
Mumija	Mummy
Miunchenas	Munich
Savivaldybė	Municipality
Miuonas	Muon
Murmanskas	Murmansk
Bananas	Musa (genus)
Musė (astronomija)	Musca
Maskatas	Muscat
Raumuo	Muscle
Mūzos	Muse
Muziejus	Museum
Grybai	Mushroom
Muzika	Music
Kategorija:Muzika	Music
Muzikos instrumentas	Musical instrument
Muzikantas	Musician
Muškieta	Musket
Kiauniniai	Mustelidae
Mutacija	Mutation
Gulbė nebylė	Mute Swan
Kategorija:Mianmaras	Myanmar
Mikėnai	Mycenae
Mikologija	Mycology
Kategorija:Mikologija	Mycology
Miokardo infarktas	Myocardial infarction
Trumparegystė	Myopia
Šimtakojai	Myriapoda
Mistika	Mysticism
Kategorija:Mitologija	Mythology
N	N
Ndžamena	N'Djamena
NATO	NATO
Kategorija:NATO	NATO
Nadine Gordimer	Nadine Gordimer
Nadyras	Nadir
Nagasakis	Nagasaki
Nagoja	Nagoya
Nahuatlių kalba	Nahuatl
Nagai	Nail (anatomy)
Vinis	Nail (fastener)
Nairobis	Nairobi
Namibija	Namibia
Kategorija:Namibija	Namibia
Namiūras	Namur (city)
Nansi	Nancy
Nanga Parbatas	Nanga Parbat
Nankinas	Nanjing
Nanotechnologija	Nanotechnology
Nantas	Nantes
Napalmas	Napalm
Neapolis	Naples
Narcizas (mitologija)	Narcissus (mythology)
Nešvilis	Nashville
Nasau	Nassau
Nacija	Nation
Nacionalinio saugumo agentūra	National Security Agency
Valstybinis himnas	National anthem
Nacionalinis parkas	National park
Nacionalizmas	Nationalism
Kategorija:Nacionalizmas	Nationalism
Gamtinės dujos	Natural gas
Natūralios kalbos apdorojimas	Natural language processing
Natūralusis skaičius	Natural number
Natūrali atranka	Natural selection
Gamta	Nature
Kategorija:Gamta	Nature
Nauru	Nauru
Jūrmylė	Nautical mile
Kategorija:Navigacija	Navigation
Navigacija	Navigation
Karo laivynas	Navy
Nazaretas	Nazareth
Trečiasis Reichas	Nazi Germany
Kategorija:Trečiasis reichas	Nazi Germany
Vokietijos nacionalsocialistinė darbininkų partija	Nazi Party
Neandertalietis	Neanderthal
Nebraska	Nebraska
Nabuchodonosaras II	Nebuchadrezzar II
Ūkas	Nebula
Nefertitė	Nefertiti
Negevas	Negev
Neil Armstrong	Neil Armstrong
Nelsonas Mandela	Nelson Mandela
Apvaliosios kirmėlės	Nematode
Nemėjos liūtas	Nemean Lion
Nemezidė	Nemesis (mythology)
Neodimis	Neodymium
Neolitas	Neolithic
Neonas	Neon
Nepalas	Nepal
Kategorija:Nepalas	Nepal
Neftidė	Nephthys
Neptūnas	Neptune
Neptūnis	Neptunium
Nereidė (palydovas)	Nereid (moon)
Neronas	Nero
Nerva	Nerva
Nervų sistema	Nervous system
Kategorija:Nervų sistema	Nervous system
Lizdas	Nest
Nestoriečiai	Nestorianism
Nyderlandai	Netherlands
Kategorija:Nyderlandai	Netherlands
Olandijos Antilai	Netherlands Antilles
Neurologija	Neurology
Kategorija:Neurologija	Neurology
Neuronas	Neuron
Mediatorius (biochemija)	Neurotransmitter
Neutrinas	Neutrino
Neutronas	Neutron
Neutroninė žvaigždė	Neutron star
Neva	Neva River
Nevada	Nevada
Neville Chamberlain	Neville Chamberlain
Naujasis Bransvikas	New Brunswick
Naujoji Kaledonija	New Caledonia
Naujasis Delis	New Delhi
Naujoji Gvinėja	New Guinea
Naujasis Hampšyras	New Hampshire
Naujasis Džersis	New Jersey
Naujoji Meksika	New Mexico
Naujasis Orleanas	New Orleans
Naujasis Pietų Velsas	New South Wales
Naujasis Testamentas	New Testament
Naujasis pasaulis	New World
Niujorko valstija	New York
Niujorkas	New York City
Kategorija:Niujorkas	New York City
Naujoji Zelandija	New Zealand
Kategorija:Naujoji Zelandija	New Zealand
Niuarkas	Newark
Niufaundlandas	Newfoundland (island)
Niufaundlandas ir Labradoras	Newfoundland and Labrador
Niuportas	Newport
Niutonas	Newton
Niacinas	Niacin
Niagaros krioklys	Niagara Falls
Niamėjus	Niamey
Nikaragva	Nicaragua
Kategorija:Nikaragva	Nicaragua
Nica	Nice
Petrović Njegoš	Nicholas
Nikelis	Nickel
Mikalojus Kopernikas	Nicolaus Copernicus
Nikosija	Nicosia
Nikotinas	Nicotine
Niels Bohr	Niels Bohr
Nigeris	Niger
Kategorija:Nigeris	Niger
Nigeris (upė)	Niger River
Nigerija	Nigeria
Kategorija:Nigerija	Nigeria
Naktis	Night
Vakarinė lakštingala	Nightingale
Nihilizmas	Nihilism
Nike, Inc.	Nike
Nikė	Nike (mythology)
Nikita Chruščiovas	Nikita Khrushchev
Nikola Tesla	Nikola Tesla
Nilas	Nile
Nilo krokodilas	Nile crocodile
Nindzė	Ninja
Niobis	Niobium
Nirvana (religija)	Nirvana
Azoto rūgštis	Nitric acid
Azotas	Nitrogen
Nitroglicerinas	Nitroglycerin
Niktė (palydovas)	Nix (moon)
Njordas	Njord
Nojus	Noah
Noam Chomsky	Noam Chomsky
Nobelio premija	Nobel Prize
Kategorija:Nobelio premija	Nobel Prize
Nobelis	Nobelium
Inertinės dujos	Noble gas
Norfolkas	Norfolk
Norfolkas (sala)	Norfolk Island
Matuoklė (astronomija)	Norma (constellation)
Normalusis skirstinys	Normal distribution
Normandija	Normandy
Nornos	Norn
Skandinavų mitologija	Norse mythology
Kategorija:Skandinavų mitologija	Norse mythology
Šiaurė	North
Šiaurės Afrika	North Africa
Šiaurės Amerika	North America
Kategorija:Šiaurės Amerika	North America
Šiaurės Karolina	North Carolina
Šiaurės Dakota	North Dakota
Šiaurės sala	North Island
Šiaurės Korėja	North Korea
Kategorija:Šiaurės Korėja	North Korea
Šiaurės ašigalis	North Pole
Šiaurės jūra	North Sea
Šiaurės pusrutulis	Northern Hemisphere
Šiaurės Airija	Northern Ireland
Marianos Šiaurinės Salos	Northern Mariana Islands
Šiaurinė Teritorija	Northern Territory
Europinė lydeka	Northern pike
Šiaurės Vakarai (Kanada)	Northwest Territories
Norvegija	Norway
Kategorija:Norvegija	Norway
Norvegijos jūra	Norwegian Sea
Nosis	Nose
Nostradamas	Nostradamus
Nata	Note
Nuakšotas	Nouakchott
Daiktavardis	Noun
Naujoji Škotija	Nova Scotia
Naujoji Žemė	Novaya Zemlya
Romanas	Novel
Lapkritis	November
Lapkričio 1	November 1
Lapkričio 11	November 11
Lapkričio 2	November 2
Lapkričio 5	November 5
Novosibirskas	Novosibirsk
Niu (raidė)	Nu (letter)
Branduolių sąlaja	Nuclear fusion
Branduolinė fizika	Nuclear physics
Kategorija:Branduolinė fizika	Nuclear physics
Branduolinė energija	Nuclear power
Branduolinis ginklas	Nuclear weapon
Nukleino rūgštis	Nucleic acid
Nukleonas	Nucleon
Nukleotidas	Nucleotide
Skaičius	Number
Kategorija:Skaičiai	Numbers
Numidija	Numidia
Numizmatika	Numismatics
Kategorija:Numizmatika	Numismatics
Nunavutas	Nunavut
Niurnbergas	Nuremberg
Riešutas	Nut (fruit)
Nimfa	Nymph
Lūgniniai	Nymphaeaceae
Niktė	Nyx (mythology)
O	O
OPEC	OPEC
Oahu	Oahu
Ąžuolas	Oak
Oklandas (JAV)	Oakland
Oazė	Oasis
Sėjamoji aviža	Oat
Obė	Ob River
Nutukimas	Obesity
Objektinis programavimas	Object-oriented programming
Obojus	Oboe
Observatorija	Observatory
Obsidianas	Obsidian
Okamo skustuvas	Occam's razor
Vandenynas	Ocean
Okeanija	Oceania
Kategorija:Okeanija	Oceania
Okeanidės	Oceanid
Kategorija:Okeanografija	Oceanography
Okeanas	Oceanus
Oktantas	Octans
Oktava	Octave
Spalis	October
Spalio 12	October 12
Spalio 24	October 24
Aštuonkojai	Octopus
Oderis	Oder River
Odesa	Odessa
Odinas	Odin
Žirgeliai	Odonata
Odisėjas	Odysseus
Odisėja	Odyssey
Edipas	Oedipus
Nuošalė	Offside (football)
Ohajas	Ohio
Omo dėsnis	Ohm's law
Aliejus	Oil
Aliejus	Oil (disambiguation)
Aliejus (tapyba)	Oil painting
Okapija	Okapi
Oklahoma	Oklahoma
Oklahoma Sitis	Oklahoma City
Senoji bažnytinė slavų kalba	Old Church Slavonic
Senovės skandinavų kalba	Old Norse
Senasis Testamentas	Old Testament
Oligarchija	Oligarchy
Oligopolija	Oligopoly
Europinis alyvmedis	Olive
Alyvuogių aliejus	Olive oil
Oliver Cromwell	Oliver Cromwell
