Breton	English
Korn (korfadurezh)	Horn (anatomy)
Marc'h	Horse
Leti	Hotel
Ti	House
Golvan	House Sparrow
Den	Human
Trochilidae	Hummingbird
Rummad:Fent	Humor
Humphrey Bogart	Humphrey Bogart
Hungaria	Hungary
Rummad:Hungaria	Hungary
Hidrogen	Hydrogen
Hidrosferenn	Hydrosphere
Lienenn-gourzh	Hymen
Hyperion (Titan)	Hyperion (mythology)
Hypertext	Hypertext
Hypnos	Hypnos
I (lizherenn)	I
Iapetos	Iapetus (mythology)
Ledenez iberek	Iberian Peninsula
Island	Iceland
Idaho	Idaho
Igor Stravinsky	Igor Stravinsky
Ilias	Iliad
Illinois	Illinois
Skanner	Image scanner
Immanuel Kant	Immanuel Kant
India	India
Rummad:India	India
Meurvor Indez	Indian Ocean
Rummad:Meurvor Indez	Indian Ocean
Indiana	Indiana
Indonezia	Indonesia
Greanterezh	Industry
Monc’hwezh	Inflation
Ingmar Bergman	Ingmar Bergman
Mongolia an Diabarzh	Inner Mongolia
Innsbruck	Innsbruck
Amprevan	Insect
Sistem etrevroadel unanennoù ar fizik	International System of Units
Internet	Internet
Rummad:Internet	Internet
Konzentrationslager	Internment
Io (loarenn)	Io (moon)
Io (Hellaz)	Io (mythology)
Mor Ionian	Ionian Sea
Iota (lizherenn)	Iota
Iowa	Iowa
Iran	Iran
Rummad:Iran	Iran
Irak	Iraq
Iwerzhon	Ireland
Irish Republican Army	Irish Republican Army
Mor Iwerzhon	Irish Sea
Houarn	Iron
Oadvezh an houarn	Iron Age
Rideoz houarn	Iron Curtain
Iron Maiden	Iron Maiden
Flemmerezh	Irony
Isaac Asimov	Isaac Asimov
Isaac Newton	Isaac Newton
Isis	Isis
Islam	Islam
Rummad:Islam	Islam
Islamabad	Islamabad
Deiziadur muzulmat	Islamic calendar
Enez (douar)	Island
Manav	Isle of Man
Isoroku Yamamoto	Isoroku Yamamoto
Izotop	Isotope
Israel	Israel
Istanbul	Istanbul
Strizh-douar	Isthmus
Italia	Italy
Itaka	Ithaca
Ivan Pavlov	Ivan Pavlov
J (lizherenn)	J
Jackson Pollock	Jackson Pollock
Jakob	Jacob
Jakez Karter	Jacques Cartier
Jakarta	Jakarta
Jakez, mab Zebede (abostol)	James
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Joyce	James Joyce
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Jammu ha Kachmir	Jammu and Kashmir
Genver	January
1añ Genver	January 1
19 Genver	January 19
20 Genver	January 20
6 Genver	January 6
Janus (loarenn)	Janus (moon)
Japan	Japan
Iason	Jason
Jazz	Jazz
Dominique Ingres	Jean Auguste Dominique Ingres
Jean Racine	Jean Racine
Jean Sibelius	Jean Sibelius
Jean de La Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Philippe Rameau	Jean-Philippe Rameau
Jeddah	Jeddah
Jeremy Bentham	Jeremy Bentham
Jerzenez	Jersey
Jeruzalem	Jerusalem
Jezuz Nazaret	Jesus
Jimi Hendrix	Jimi Hendrix
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
Johannes Vilhelm Jensen	Johannes Vilhelm Jensen
John Keats	John Keats
John Lennon	John Lennon
John Locke	John Locke
John Maynard Keynes	John Maynard Keynes
John Milton	John Milton
John Napier	John Napier
John Steinbeck	John Steinbeck
Yann ar Badezour	John the Baptist
John von Neumann	John von Neumann
Mell (korf)	Joint
Jordania	Jordan
Jorge Luis Borges	Jorge Luis Borges
Joseph Goebbels	Joseph Goebbels
Jozef Stalin	Joseph Stalin
Flavius Josephus	Josephus
Flavius Claudius Jovianus	Jovian
Yuzevegezh	Judaism
Rummad:Yuzevegezh	Judaism
Jules Verne	Jules Verne
Deiziadur juluan	Julian calendar
Caius Julius Caesar	Julius Caesar
Gouere	July
1añ Gouere	July 1
4 Gouere	July 4
Mezheven	June
14 Mezheven	June 14
21 Mezheven	June 21
23 Mezheven	June 23
24 Mezheven	June 24
29 Mezheven	June 29
3 Mezheven	June 3
Yaou (planedenn)	Jupiter
Juraseg	Jurassic
K (lizherenn)	K
KGB	KGB
Kansas	Kansas
Kappa (lizherenn)	Kappa
Karachi	Karachi
Karen Blixen	Karen Blixen
Karl Marx	Karl Marx
Karnataka	Karnataka
Kaunas	Kaunas
Kazakstan	Kazakhstan
Rummad:Kazakstan	Kazakhstan
Kelvin	Kelvin
Kentucky	Kentucky
Kenya	Kenya
Rummad:Kenya	Kenya
Klaouier kompoder	Keyboard (computing)
C'harkiv	Kharkiv
C'houfou	Khufu
Kyiv	Kiev
Kigali	Kigali
Kilogram	Kilogram
Roue Arzhur	King Arthur
Riezad	Kingdom (biology)
Kinshasa	Kinshasa
Knut Hamsun	Knut Hamsun
Kosovo	Kosovo
Krishna	Krishna
Ku Klux Klan	Ku Klux Klan
Gouriziad Kuiper	Kuiper belt
Kurdistan	Kurdistan
Kurt Waldheim	Kurt Waldheim
Koweit	Kuwait
Kirgizstan	Kyrgyzstan
L (lizherenn)	L
L'Aquila	L'Aquila
La Paz (Bolivia)	La Paz
La Spezia	La Spezia
Jane Grey	Lady Jane Grey
Lenn (dour)	Lake
Lenn Baikal	Lake Baikal
Lenn Balaton	Lake Balaton
Lenn Konstanz	Lake Constance
Lenn Geneva	Lake Geneva
Lambda (lizherenn)	Lambda
Lancashire	Lancashire
Yezh	Language
Laos	Laos
Latin	Latin
Amerika Latin	Latin America
Lizherenneg latin	Latin alphabet
Led	Latitude
Latvia	Latvia
Rummad:Latvia	Latvia
Laurazia	Laurasia
Gwir (lezenn)	Law
Lazio	Lazio
Le Corbusier	Le Corbusier
Deil	Leaf
Liban	Lebanon
Leda	Leda (mythology)
Richennoù	Legend
Leiden	Leiden
Leipzig	Leipzig
Lena	Lena River
Lyev Trotsky	Leon Trotsky
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Lesbianelezh	Lesbian
Lesotho	Lesotho
Rummad:Lesotho	Lesotho
Leto	Leto
Lizherenn	Letter (alphabet)
Liberia	Liberia
Rummad:Liberia	Liberia
Levraoueg	Library
Skiantoù an Ditour hag al Levraouegoù	Library science
Libreville	Libreville
Libia	Libya
Gaou	Lie
Liechtenstein	Liechtenstein
Rummad:Liechtenstein	Liechtenstein
Bloavezh-gouloù	Light-year
Tour-tan	Lighthouse
Liguria (Rannvro)	Liguria
Lille	Lille
Lima	Lima
Luimneach	Limerick
Eeunenn (geometriezh)	Line (mathematics)
Yezhoniezh	Linguistics
Linz	Linz
Leon (loen)	Lion
Skramm strinkennoù liñvel	Liquid crystal display
Lisbon	Lisbon
Lennegezh	Literature
Rummad:Lennegezh	Literature
Porched:Lennegezh	Literature
Lituania	Lithuania
Rummad:Lituania	Lithuania
Litr	Litre
Liverpool	Liverpool
Titus Livius	Livy
Ljubljana	Ljubljana
Amprest (yezhoniezh)	Loanword
Liger (stêr)	Loire River
Lombardia	Lombardy
Londrez	London
Pater noster	Lord's Prayer
Los Angeles	Los Angeles
Lot (departamant)	Lot (department)
Louis Pasteur	Louis Pasteur
Loeiz an Deol	Louis the Pious
Loeiz II (Bro-C'hall)	Louis the Stammerer
Louisiana	Louisiana
Louvre	Louvre
Luanda	Luanda
Lublin	Lublin
Luciano Pavarotti	Luciano Pavarotti
Lucrezia Borgia	Lucrezia Borgia
Ludwig Mies van der Rohe	Ludwig Mies van der Rohe
Ludwig van Beethoven	Ludwig van Beethoven
Lusaka	Lusaka
Lusitania	Lusitania
Luksembourg (bro)	Luxembourg
Rummad:Luksembourg	Luxembourg
Lyon	Lyon
M (lizherenn)	M
Makedonia	Macedonia
Makedonia (Gres)	Macedonia (Greece)
Areg ijinenn	Machine code
Madagaskar	Madagascar
Rummad:Madagaskar	Madagascar
Madonna	Madonna (entertainer)
Madrid	Madrid
Gwarellegezh	Magnetism
Rummad:Magnoliopsida	Magnoliopsida
Maharashtra	Maharashtra
Mahatma Gandhi	Mahatma Gandhi
Main	Main
Maine (SUA)	Maine
Malabo	Malabo
Malakit	Malachite
Rummad:Malawi	Malawi
Malaysia	Malaysia
Malcolm X	Malcolm X
Mali	Mali
Malta	Malta
Rummad:Malta	Malta
Malteg	Maltese language
Bronneged	Mammal
Mammout	Mammoth
Manchester (Bro-Saoz)	Manchester
Manila	Manila
Manitoba	Manitoba
Orbidouriezh	Mannerism
Mantova	Mantua
Dornskrid	Manuscript
Mao Zedong	Mao Zedong
Maoouriezh	Maoism
Maputo	Maputo
Marcel Proust	Marcel Proust
Meurzh (miz)	March
17 Meurzh	March 17
19 Meurzh	March 19
2 Meurzh	March 2
25 Meurzh	March 25
Marche	Marche
Marco Polo	Marco Polo
Marie Curie	Marie Curie
Marilyn Monroe	Marilyn Monroe
Mark Twain	Mark Twain
Marlene Dietrich	Marlene Dietrich
Markiz Sade	Marquis de Sade
Priedelezh	Marriage
Meurzh.	Mars (disambiguation)
Meurzh (doue)	Mars (mythology)
Marselha	Marseille
Martin Heidegger	Martin Heidegger
Martin Luther	Martin Luther
Martin Luther King, Jr.	Martin Luther King
Martinik	Martinique
Ar Vreudeur Marx	Marx Brothers
Rummad:Marksouriezh	Marxism
Mary Shelley	Mary Shelley
Maryland	Maryland
Mas	Mass
Niver mas	Mass number
Massachusetts	Massachusetts
Danvezelouriezh	Materialism
Matematikoù	Mathematics
Rummad:Jedoniezh	Mathematics
Yaou-Gamblit	Maundy Thursday
Maurice Ravel	Maurice Ravel
Maouritania	Mauritania
Maoris	Mauritius
Max Planck	Max Planck
Max Weber	Max Weber
Mae	May
1añ Mae	May 1
24 Mae	May 24
Mayenne (departamant)	Mayenne
Mez	Mead
Muzul	Measurement
Mekka	Mecca
Medea	Medea
Medici	Medici
Mezegiezh	Medicine
Rummad:Medisinerezh	Medicine
Rummad:Mor Kreizdouar	Mediterranean
Mor Kreizdouar	Mediterranean Sea
Medousa	Medusa
Melpomene	Melpomene
Menfis	Memphis
Menelaos	Menelaus
Bent	Mentha
Merc'her	Mercury
Merc'her (planedenn)	Mercury (planet)
Mezopotamia	Mesopotamia
Mezozoeg	Mesozoic
Metal	Metal
Metis (loarenn)	Metis (moon)
Metr	Metre
Meuse (departamant)	Meuse
Meuse (stêr)	Meuse River
Mec'hiko	Mexico
Kêr-Vec'hiko	Mexico City
Michael Faraday	Michael Faraday
Michelangelo Buonarroti	Michelangelo
Michigan	Michigan
Mickey Mouse	Mickey Mouse
Mikroprosesor	Microprocessor
Krennamzer	Middle Ages
Miguel de Cervantes	Miguel de Cervantes
Mic'hail Bakounin	Mikhail Bakunin
Milano	Milan
Laezh	Milk
Milwaukee	Milwaukee
Minerva	Minerva
Mengleuz	Mining
Minnesota	Minnesota
Minotaoros	Minotaur
Minsk	Minsk
Miosen	Miocene
Missouri (Stad)	Missouri
Muqdisho	Mogadishu
Moira	Moirae
Moldova	Moldova
Rummad:Moldova	Moldova
Mol	Mole (unit)
Molise	Molise
Mombasa	Mombasa
Monako	Monaco
Rouantelezh	Monarchy
Lun (deiz)	Monday
Monrovia	Monrovia
Mons (Wallonia)	Mons
Montana	Montana
Montenegro	Montenegro
Montreal	Montreal
Loar	Moon
Moravia	Moravia
Maroko	Morocco
Morfem	Morpheme
Morfologiezh	Morphology (linguistics)
Lizherenneg Morse	Morse code
Marelladur (arz)	Mosaic
Moskva	Moscow
Moizez	Moses
Mamm	Mother
Olympos	Mount Olympus
Menez	Mountain
Logodenn (stlenneg)	Mouse (computing)
Mozambik	Mozambique
Rummad:Mozambik	Mozambique
Mohammed	Muhammad
Mumbai	Mumbai
München	Munich
Muzezed	Muse
Mirdi	Museum
Sonerezh	Music
Rummad:Sonerezh	Music
Benveg-seniñ	Musical instrument
Mikenai	Mycenae
Foueoniezh	Mycology
Kevrinelezh	Mysticism
Mitologiezh	Mythology
N (lizherenn)	N
Ndjamena	N'Djamena
Aozadur Feur-emglev Norzh-Atlantel	NATO
Nagasaki	Nagasaki
Nahouatleg	Nahuatl
Nairobi	Nairobi
Namibia	Namibia
Rummad:Namibia	Namibia
Namur	Namur (city)
Naoned	Nantes
Napoli	Naples
Narkissos	Narcissus (mythology)
Nathaniel Hawthorne	Nathaniel Hawthorne
NSA	National Security Agency
Kan broadel	National anthem
Broadelouriezh	Nationalism
Endro	Nature
Naturegezh	Naturism
Morlu	Navy
Nazaret	Nazareth
Strollad Broadel Sokialour al Labourerien Alaman	Nazi Party
Nebraska	Nebraska
Neil Armstrong	Neil Armstrong
Nelson Mandela	Nelson Mandela
Leon Nemea	Nemean Lion
Neolitik	Neolithic
Nevezc'her	Neologism
Nepal	Nepal
Neftis	Nephthys
Neizhan (planedenn)	Neptune
Izelvroioù	Netherlands
Rummad:Izelvroioù	Netherlands
Antilhez Nederlandat	Netherlands Antilles
Topologiezh rouedad	Network topology
Neutron	Neutron
Nevada	Nevada
New Brunswick	New Brunswick
Bro-Saoz Nevez	New England
Ginea Nevez	New Guinea
New Hampshire	New Hampshire
New Jersey	New Jersey
New Mexico	New Mexico
Testamant Nevez	New Testament
New York (Stad)	New York
New York (digejañ)	New York (disambiguation)
New York	New York City
Zeland-Nevez	New Zealand
Douar-Nevez	Newfoundland (island)
Douar-Nevez ha Labrador	Newfoundland and Labrador
Newton	Newton
Nicaragua	Nicaragua
Nisa	Nice
Nicolaus Copernicus	Nicolaus Copernicus
Niels Bohr	Niels Bohr
Niels Henrik Abel	Niels Henrik Abel
Niger	Niger
Nigeria	Nigeria
Eostig	Nightingale
Nijmegen	Nijmegen
Nike	Nike (mythology)
Nikita C'hrouchtchov	Nikita Khrushchev
Nikola Tesla	Nikola Tesla
Nil	Nile
Trenkenn nitrek	Nitric acid
Nix	Nix (moon)
Noam Chomsky	Noam Chomsky
Priz Nobel	Nobel Prize
Normandi	Normandy
Norzh	North
Norzhafrika	North Africa
Norzhamerika	North America
North Carolina	North Carolina
North Dakota	North Dakota
Republik Poblel ha Demokratel Korea	North Korea
Mor an Hanternoz	North Sea
Norzhiwerzhon	Northern Ireland
Norvegia	Norway
Mor Norvegia	Norwegian Sea
Fri	Nose
Anv-kadarn	Noun
Skos Nevez	Nova Scotia
Du	November
1añ Du	November 1
11 Du	November 11
2 Du	November 2
5 Du	November 5
Nu (lizherenn)	Nu (letter)
Nukleon	Nucleon
Niver	Number
Rummad:Niveroù	Numbers
Nimfezed	Nymph
Nyks	Nyx (mythology)
O (lizherenn)	O
Meurvor	Ocean
Kasenn	Ocean current
Okeania	Oceania
Okeanidezed	Oceanid
Okeanos	Oceanus
Here	October
12 Here	October 12
24 Here	October 24
Meulgan	Ode
Odysseüs	Odysseus
Odysseia	Odyssey
Ohio	Ohio
Ohm	Ohm
Lezenn Ohm	Ohm's law
Oklahoma	Oklahoma
Norseg	Old Norse
Testamant Kozh	Old Testament
Oligosen	Oligocene
Oliver Cromwell	Oliver Cromwell
Olimpia	Olympia
C'hoarioù Olimpek	Olympic Games
Oman	Oman
Omega (lizherenn)	Omega
Omikron (lizherenn)	Omicron
Anvadurezh	Onomastics
Ontario	Ontario
Koumoulennad Oort	Oort cloud
Reizhiad korvoiñ	Operating system
Urzhiad	Order (biology)
Ordovisian	Ordovician
Oregon	Oregon
Orestes (mab Agamemnon)	Orestes (mythology)
Benvegad	Organ (anatomy)
Origami	Origami
Evnoniezh	Ornithology
Orson Welles	Orson Welles
Reizhskrivadur	Orthography
Oscar Wilde	Oscar Wilde
Osiris	Osiris
Oslo	Oslo
Ostrava	Ostrava
Otto Iañ	Otto I
Otto von Bismarck	Otto von Bismarck
Impalaeriezh otoman	Ottoman Empire
Vigell	Ovary
Ovidius	Ovid
Viell	Ovum
Oxford	Oxford
Oksigen	Oxygen
Ozon	Ozone
P (lizherenn)	P
Pablo Picasso	Pablo Picasso
Meurvor Habask	Pacific Ocean
Padova	Padua
Rummad:Livouriezh	Painting
Pakistan	Pakistan
Paleosen	Paleocene
Paleontologiezh	Paleontology
Paleozoeg	Paleozoic
Palermo	Palermo
Rummad:Palestina	Palestine
Palestina	Palestinian National Authority
Pan	Pan (mythology)
Pangea	Pangaea
Papoua Ginea-Nevez	Papua New Guinea
Paraguay	Paraguay
Rummad:Paraguay	Paraguay
Pariz	Paris
Paris, mab Priam	Paris (mythology)
Pascal	Pascal (unit)
Pasteurekaat	Pasteurization
Patologiezh	Pathology
Paul Gauguin	Paul Gauguin
Paol Tarsos	Paul the Apostle
Broioù al Liger	Pays de la Loire
Piz bihan	Pea
Paün	Peafowl
Pearl Harbor	Pearl Harbor
Taouarc'h	Peat
Pedagogiezh	Pedagogy
Pedofiliezh	Pedophilia
Peloponnez	Peloponnese
Penelope	Penelope
Pennsylvania	Pennsylvania
Rummad:Tud	People
Republik Pobl Sina	People's Republic of China
Pepin Grenn	Pepin the Short
Percy B. Shelley	Percy Bysshe Shelley
Perikles	Pericles
Taolenn beriodek an elfennoù	Periodic table
Perm	Perm
Permian	Permian
Persefone	Persephone
Perseüs	Perseus
Perou	Peru
Rummad:Perou	Peru
Dilastezer	Pesticide
Pieter Paul Rubens	Peter Paul Rubens
Fanerozoeg	Phanerozoic
Faraon	Pharaoh
Phi (lizherenn)	Phi (letter)
Rummad:Timbrouriezh	Philately
Filipinez	Philippines
Prederouriezh	Philosophy
Rummad:Prederouriezh	Philosophy
Porched:Prederouriezh	Philosophy
Fonem	Phoneme
Fonetik	Phonetics
Fonologiezh	Phonology
Luc'hskeudennerezh	Photography
Skourrad	Phylum
Fizik	Physics
Rummad:Fizik	Physics
Porched:Fizik	Physics
Pi (lizherenn)	Pi (letter)
Pikardi	Picardie
Pidjin	Pidgin
Piemonte	Piedmont
Pindaros	Pindar
Pisa	Pisa
Planedenn	Planet
Plant	Plant
Platon	Plato
Ornitorink	Platypus
Pleistosen	Pleistocene
Pleven (Bulgaria)	Pleven
Plinius kozh	Pliny the Elder
Pliosen	Pliocene
Plovdiv	Plovdiv
Ploutarc'hos	Plutarch
Ploudon (planedenn-gorr)	Pluto
Pluton	Pluto (disambiguation)
Po	Po River
Poent (geometriezh)	Point (geometry)
Poatev-Charant	Poitou-Charentes
Polonia	Poland
Rummad:Polonia	Poland
Politikerezh	Politics
Polymnia	Polyhymnia
Pop Art	Pop art
Pab	Pope
Alesant VI	Pope Alexander VI
Poblañs	Population
Porzh (evit listri)	Port
Port-au-Prince	Port-au-Prince
Portland	Portland
Portsmouth	Portsmouth
Portugal	Portugal
Poseidon	Poseidon
Pozitron	Positron
Kod post	Postal code
Praha	Prague
Ragistor	Prehistory
Prezidant Stadoù-Unanet Amerika	President of the United States
Priam	Priam
Priz	Price
Niveroù kentael	Prime number
Enez ar Priñs Edward	Prince Edward Island
Kengereg	Prism (optics)
Toull-bac'h	Prison
Areg	Programming language
Prokariot	Prokaryote
Prometheüs	Prometheus
Raganv	Pronoun
Profed	Prophet
Komz-plaen	Prose
Proterozoeg	Proterozoic
Proton	Proton
Prunus	Prunus
Prusia	Prussia
Psi (lizherenn)	Psi (letter)
Bredoniezh	Psychology
Tierniezh ar Ptolemeed	Ptolemaic dynasty
Klaudios Ptolemaios	Ptolemy
Kaezouregezh	Puberty
Punk rock	Punk rock
Pireneoù	Pyrenees
Pitagoras	Pythagoras
Q (lizherenn)	Q
Katar	Qatar
Kebek	Quebec
Ketchwaeg	Quechua
Queensland	Queensland
R (lizherenn)	R
Trenkenn ribonukleek	RNA
Ra	Ra
Gouennelouriezh	Racism
Glav	Rain
Rainer-Maria Rilke	Rainer Maria Rilke
Rama	Rama
Ramadan	Ramadan
Ramayana	Ramayana
Ramses II	Ramesses II
Memor bresk	Random access memory
Raffaello Sanzio	Raphael
Ravenna	Ravenna
Rawalpindi	Rawalpindi
Recife	Recife
Skouergorneg	Rectangle
Adaoz	Recycling
Tuad an Arme Ruz	Red Army Faction
Mor Ruz	Red Sea
Relijion	Religion
Rummad:Relijion	Religion
Rembrandt van Rijn	Rembrandt
Azginivelezh arzel	Renaissance
Republik	Republic
Republik Iwerzhon	Republic of Ireland
Republik Kongo	Republic of the Congo
Rea (doueez)	Rhea (mythology)
Roen	Rhine
Rho (lizherenn)	Rho (letter)
Rhode Island	Rhode Island
Enez Rodos	Rhodes
Klotenn	Rhyme
Kostezenn	Rib
Richard Wagner	Richard Wagner
Riga	Riga
Rio de Janeiro	Rio de Janeiro
Stêr	River
Tavoez	River Thames
Riyadh	Riyadh
Roald Amundsen	Roald Amundsen
Robert Koch	Robert Koch
Robert Louis Stevenson	Robert Louis Stevenson
Robert Schumann	Robert Schumann
Sonerezh rock	Rock music
Iliz katolik roman	Roman Catholic Church
Impalaeriezh roman	Roman Empire
Lejion roman	Roman legion
Roumania	Romania
Romañcheg	Romansh
Roma	Rome
Frav	Rook (bird)
Juzu	Rosary
Rotterdam	Rotterdam
Routaer	Router
Rugbi	Rugby football
Rusia	Russia
Rummad:Rusia	Russia
Rwanda	Rwanda
Rummad:Rwanda	Rwanda
Saddam Husain	Saddam Hussein
Gouel (bageal)	Sail
Sant	Saint
Sant-Martin (enez)	Saint Martin
Nikolaz a vMyra	Saint Nicholas
Pêr (abostol)	Saint Peter
Sankt-Peterbourg	Saint Petersburg
Saladin	Saladin
Salvador da Bahia	Salvador
Salzburg	Salzburg
Salzburg (stad)	Salzburg (state)
Samara (kêr Rusia)	Samara
Samarkand	Samarkand
Samuel Beckett	Samuel Beckett
Samourai	Samurai
San Francisco (Kalifornia)	San Francisco
San Marino	San Marino
Città di San Marino	San Marino
Traezh	Sand
Sandro Botticelli	Sandro Botticelli
Sandwich	Sandwich
Sañskriteg	Sanskrit
Santiago de Chile	Santiago
Santiago	Santiago
Santiago de Cuba	Santiago de Cuba
Santo Domingo (kêr)	Santo Domingo
Sapfo	Sappho
Sapporo	Sapporo
Sarah Bernhardt	Sarah Bernhardt
Sarajevo	Sarajevo
Sarkofagenn	Sarcophagus
Sardigna	Sardinia
Sadorn (deiz)	Saturday
Sadorn (planedenn)	Saturn
Sadorn	Saturn (disambiguation)
Sadorn (doue)	Saturn (mythology)
Satir	Satyr
Arabia Saoudat	Saudi Arabia
Rummad:Arabia Saoudat	Saudi Arabia
Skandinavia	Scandinavia
Rummad:Skandinavia	Scandinavia
Escaut	Scheldt
SS	Schutzstaffel
Skiant	Science
Skiant-faltazi	Science fiction
Krug	Scorpion
Skos	Scotland
Rummad:Bro-Skos	Scotland
Gouezeleg Skos	Scottish Gaelic
Skrabell	Scrabble
Kizellañ	Sculpture
Rummad:Kizellerezh	Sculpture
Mor	Sea
Ki-dour mor	Sea Otter
Mor Marmara	Sea of Marmara
Teureuged	Sea urchin
Saena	Seine
Seismologiezh	Seismology
Semantik	Semantics
Senegal	Senegal
Gwengolo	September
11 Gwengolo	September 11
17 Gwengolo	September 17
29 Gwengolo	September 29
Serbia	Serbia
Seth	Set (mythology)
Sechelez	Seychelles
Shanghai	Shanghai
Shogun	Shogun
Siberia	Siberia
Sikilia	Sicily
Rummad:Sikilia	Sicily
Sierra Leone	Sierra Leone
Rummad:Sierra Leone	Sierra Leone
Sigma (lizherenn)	Sigma
Sigmund Freud	Sigmund Freud
Sigrid Undset	Sigrid Undset
Sikhegezh	Sikhism
Silezia	Silesia
Hent ar seiz	Silk Road
Silurian	Silurian
Simone de Beauvoir	Simone de Beauvoir
Singapour	Singapore
Amgredoni	Skepticism
Sklaverezh	Slavery
Slayer	Slayer
Slovakia	Slovakia
Rummad:Slovakia	Slovakia
Slovenia	Slovenia
Naer	Snake
Strollad Sokialour Gall	Socialist Party (France)
Sokioyezhoniezh	Sociolinguistics
Sokrates	Socrates
Sofia	Sofia
Rummad:Meziantoù	Software
Koskoriad an Heol	Solar System
Solidarność	Solidarity
Somalia	Somalia
Somerset	Somerset
Somme (departamant)	Somme
Sofokles	Sophocles
Su	South
Suamerika	South America
Rummad:Suamerika	South America
South Carolina	South Carolina
South Dakota	South Dakota
Republik Korea	South Korea
Unaniezh ar Republikoù Sokialour ha Soviedel	Soviet Union
Rummad:Unaniezh ar Republikoù Sokialour Soviedel	Soviet Union
Spagn	Spain
Rummad:Spagn	Spain
Sparta (kêr)	Sparta
Spesad	Species
Tizh ar gouloù	Speed of light
Spis (temz)	Spice
Sport	Sport
Spree	Spree
Nevezamzer	Spring (season)
Sri Lanka	Sri Lanka
Stalinouriezh	Stalinism
Stanley Kubrick	Stanley Kubrick
Steredenn David	Star of David
Stad	State
Statistikoù	Statistics
Delwenn ar frankiz	Statue of Liberty
Stefan Zweig	Stefan Zweig
Stegosaor	Stegosaurus
Stendhal	Stendhal
Steven Spielberg	Steven Spielberg
Stockholm	Stockholm
Stoikegezh	Stoicism
Korventenn	Storm
Strizh-mor	Strait
Strizh-mor Jibraltar	Strait of Gibraltar
Strizh-mor Magalhaes	Strait of Magellan
Stuttgart	Stuttgart
Styx River	Styx
Lestr-spluj	Submarine
Lamadur	Subtraction
Sucre	Sucre
Soudan	Sudan
Sudoku	Sudoku
Kanol Suez	Suez Canal
Lostger	Suffix
Iperit	Sulfur mustard
Trenkenn sulfurek	Sulfuric acid
Sultan	Sultan
Sumer	Sumer
Hañv	Summer
Heol	Sun
Sul (deiz)	Sunday
Surinam	Suriname
Kontelezh Surrey	Surrey
Svalbard	Svalbard
Swaziland	Swaziland
Sveden	Sweden
Rummad:Sveden	Sweden
Suis	Switzerland
Kleze	Sword
Sydney	Sydney
Silabenn	Syllable
Sindikad	Syndicate
Kevreadurezh	Syntax
Sirakuza	Syracuse
Siria	Syria
T (lizherenn)	T
Thomas Edward Lawrence	T. E. Lawrence
Taol (arrebeuri)	Table (furniture)
Tacitus	Tacitus
Taichichuan	Tai chi chuan
Tadjikistan	Tajikistan
Rummad:Tadjikistan	Tajikistan
Tallinn	Tallinn
Tamil Nadu	Tamil Nadu
Tanac'h	Tanakh
Tanzania	Tanzania
Rummad:Tanzania	Tanzania
Tarn (departamant)	Tarn
Stragon	Tarragon
Tartaros	Tartarus
Tartu	Tartu
Tatouadur	Tattoo
Tau (lizherenn)	Tau
Taksinomiezh	Taxonomy
Tbilisi	Tbilisi
Te	Tea
Tekno	Techno
Greanterezh	Technology
Pellgehenterezhioù	Telecommunication
Gwrezverk	Temperature
Tennessee (stad)	Tennessee
Rummad:Tennis	Tennis
Laou-koad	Termite
Terpsic'hora	Terpsichore
Sponterezh	Terrorism
Tethys	Tethys (mythology)
Texas	Texas
Thailand	Thailand
Thales Miletos	Thales
Thanatos	Thanatos
Gambia	The Gambia
C'hoariva	Theatre
Thebe (loarenn)	Thebe (moon)
Thebai	Thebes
Teba (Egipt)	Thebes
Theia	Theia
Themis	Themis
Themistokles	Themistocles
Teodosius Iañ	Theodosius I
Doueoniezh	Theology
Theseüs	Theseus
Theta (lizherenn)	Theta
Trede kroaziadeg	Third Crusade
Brezel Tregont Vloaz	Thirty Years' War
Tommaso d'Aquino	Thomas Aquinas
Thomas Edison	Thomas Edison
Thomas Hobbes	Thomas Hobbes
Thomas More	Thomas More
Tot	Thoth
Trakia	Thrace
Thoukydides	Thucydides
Yaou (deiz)	Thursday
Tianjin	Tianjin
Tiber (stêr)	Tiber
Tiber	Tiberius
Tibet	Tibet
Kanton Ticino	Ticino
Tre ha lanv	Tide
Tigr	Tiger
Titan (loarenn)	Titan (moon)
Titaned	Titan (mythology)
Tizian	Titian
Titus (impalaer)	Titus
Tivoli	Tivoli
Togo	Togo
Tonga	Tonga
Tony Blair	Tony Blair
Topeka, Kansas	Topeka
Torah	Torah
Toronto	Toronto
Hollveliouriezh	Totalitarianism
Touristerezh	Tourism
Teurgn	Tours
Sindikad	Trade union
Hengoun	Tradition
Porzh-houarn	Train station
Treuzlizherennadur	Transliteration
TCP	Transmission Control Protocol
