English	Slovenian
Central bank	Centralna banka
Central nervous system	Osrednje živčevje
Central processing unit	Procesor
Centre	Center (Francija)
Century	Stoletje
Cerberus	Kerber
Cereal	Žito
Cerebellum	Mali možgani
Ceres	Ceres (razločitev)
Ceres (dwarf planet)	Cerera (pritlikavi planet)
Ceres (mythology)	Cerera (bajeslovje)
Cerium	Cerij
Cestoda	Trakulje
Cetacea	Kiti
Chad	Čad
Chad	Kategorija:Čad
Chamois	Gams
Champagne-Ardenne	Šampanja-Ardeni
Charadriiformes	Pobrežniki
Charlemagne	Karel Veliki
Charles	Charles, waleški princ
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Fourier	Charles Fourier
Charles Thomson Rees Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
Charles the Bald	Karel Plešasti
Charlie Chaplin	Charlie Chaplin
Charmed	Čarovnice (serija)
Charon (moon)	Haron (luna)
Charon (mythology)	Haron
Chartres	Chartres
Che Guevara	Che Guevara
Chechnya	Čečenija
Cheese	Sir
Cheetah	Gepard
Chemical bond	Kemijska vez
Chemical compound	Spojina
Chemical element	Kemični element
Chemical formula	Kemijska formula
Chemical reaction	Kemična sprememba
Chemical warfare	Kemično orožje
Chemistry	Kemija
Chemistry	Kategorija:Kemija
Chemistry	Portal:Kemija
Chemotherapy	Kemoterapija
Chernobyl	Černobil
Cherry	Češnja
Chert	Kremen
Chess	Šah
Chess	Kategorija:Šah
Chess opening	Šahovska otvoritev
Chester A. Arthur	Chester Alan Arthur
Chi (letter)	Hi
Chiang Kai-shek	Čang Kaj-Šek
Chicago	Chicago
Chicken	Domača kokoš
Chickenpox	Norice
Child	Otrok
Childbirth	Porod
Chile	Čile
Chile	Kategorija:Čile
Chimborazo (volcano)	Chimborazo
Chimera (mythology)	Himera
Chimpanzee	Šimpanzi
China	Kategorija:Kitajska
China	Kitajska
Chitin	Hitin
Chlorine	Klor
Chlorophyll	Klorofil
Chloroplast	Kloroplast
Chocolate	Čokolada
Choir	Pevski zbor
Cholera	Kolera
Chord (music)	Akord
Chordate	Strunarji
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Christianity	Krščanstvo
Christianity	Kategorija:Krščanstvo
Christmas	Božič
Christmas	Kategorija:Božič
Christmas Eve	Sveti večer
Christopher Columbus	Krištof Kolumb
Christopher Marlowe	Christopher Marlowe
Chromatin	Kromatin
Chromatography	Kromatografija
Chromium	Krom
Chromosome	Kromosom
Chronology	Kategorija:Kronologija
Church	Cerkev (organizacija)
Church (building)	Cerkev (zgradba)
Cicero	Mark Tulij Cicero
Ciconiiformes	Močvirniki
Cider	Mošt
Cinnabar	Cinabarit
Cinnamon	Cimet
Circle	Krog
Circulatory system	Obtočila
Circumcision	Obrezovanje moških
Cirrhosis	Ciroza jeter
Citric acid cycle	Krebsov cikel
Citrus	Citrus
Civil war	Državljanska vojna
Civilization	Civilizacija
Civilization (computer game)	Civilization
Clarinet	Klarinet
Classical music	Klasična glasba
Classical music	Kategorija:Klasična glasba
Claude Monet	Claude Monet
Claude Shannon	Claude Elwood Shannon
Claudio Monteverdi	Claudio Monteverdi
Claudius	Klavdij I.
Clavicle	Ključnica
Clef	Ključ (notacija)
Clement Attlee	Clement Attlee
Clergy	Klerik
Cleveland	Cleveland, Ohio
Climate	Podnebje
Climate	Kategorija:Podnebje
Climate change	Spremembe podnebja
Climatology	Kategorija:Klimatologija
Clio	Klio
Clitoris	Ščegetavček
Clock	Ura (naprava)
Clothing	Kategorija:Oblačenje
Cloud	Oblak
Cnidaria	Ožigalkarji
Coal	Premog
Coast	Obala
Coat of arms	Grb
Cobalt	Kobalt
Cocaine	Kokain
Cockatoo	Kakaduji
Cockroach	Ščurki
Cocktail	Koktajl
Coconut	Kokos
Coffea	Kavovec
Coffee	Kava
Coffee	Kategorija:Kava
Cognitive psychology	Kognitivna psihologija
Coin	Kovanec
Colchis	Kolhida
Cold War	Hladna vojna
Cold War	Kategorija:Hladna vojna
Collage	Kolaž
Collagen	Kolagen
Colloid	Koloid
Cologne	Köln
Colombia	Kolumbija
Colombia	Kategorija:Kolumbija
Colonel	Polkovnik
Color	Barva
Color blindness	Barvna slepota
Colorado	Kolorado
Colorado	Kategorija:Kolorado
Colorado River	Reka Kolorado
Colosseum	Kolosej
Columbia	Kolumbija (razločitev)
Columbia River	Kolumbija (reka)
Columbidae	Golobi
Columbiformes	Kategorija:Golobje
Columbiformes	Golobje
Comedy	Komedija
Comet	Komet
Common Fig	Figa
Common cold	Prehlad
Commonwealth of Independent States	Skupnost neodvisnih držav
Commonwealth of Nations	Skupnost narodov
Communication	Kategorija:Komunikacije
Communication	Komuniciranje
Communism	Komunizem
Communism	Kategorija:Komunizem
Comoros	Komori
Comoros	Kategorija:Komori
Compact Disc	Zgoščenka
Company (military unit)	Četa
Compass	Kompas
Compass (drafting)	Šestilo
Competition	Tekmovanje
Complex instruction set computer	CISC
Complex number	Kompleksno število
Composer	Skladatelj
Composite number	Sestavljeno število
Computer	Računalnik
Computer display	Monitor
Computer file	Datoteka
Computer graphics	Kategorija:Računalniška grafika
Computer hardware	Strojna oprema
Computer hardware	Kategorija:Strojna oprema
Computer programming	Računalniško programiranje
Computer science	Računalništvo
Computer science	Kategorija:Računalništvo
Computer software	Programska oprema
Computer virus	Računalniški virus
Computer-aided design	Računalniško podprto načrtovanje
Concentration	Koncentracija
Concerto	Koncert
Concrete	Beton
Condom	Kondom
Conducting	Dirigent
Cone (geometry)	Stožec
Confession	Spoved
Confirmation	Birma
Confucianism	Konfucionizem
Confucius	Konfucij
Congo	Kongo
Congo River	Kongo (reka)
Conic section	Stožnica
Connecticut	Connecticut
Connecticut	Kategorija:Connecticut
Conservation of energy	Prvi zakon termodinamike
Consonant	Soglasnik
Constellation	Ozvezdje
Constitution (political)	Ustava
Continent	Celina
Continental shelf	Kontinentalna polica
Contract	Pogodba
Contract bridge	Bridž
Cooking	Kuhanje
Coordinate system	Koordinatni sistem
Coordinated Universal Time	Univerzalni koordinirani čas
Copenhagen	København
Copper	Baker
Copyright	Avtorske pravice
Cor anglais	Angleški rog
Coraciiformes	Vpijati
Coriander	Koriander
Coriolis effect	Coriolisova sila
Cormorant	Kormorani
Cornea	Roženica
Cornwall	Cornwall
Corporation	Podjetje
Corrosion	Korozija
Corsica	Korzika
Corundum	Korund
Corvette	Korveta
Corvidae	Vrani
Cosmology	Kozmologija
Cosmology	Kategorija:Kozmologija
Costa Rica	Kostarika
Costa Rica	Kategorija:Kostarika
Cotton	Bombaž
Cougar	Puma
Coulomb	Coulomb
Coulomb's law	Coulombov zakon
Council of Trent	Tridentinski koncil
Counterpoint	Kontrapunkt
Country music	Country
Court	Sodišče
Covalent bond	Kovalentna vez
Coventry	Coventry
Crab Nebula	Rakovica (meglica)
Creationism	Kreacionizem
Cretaceous	Kreda
Crete	Kreta
Cricket	Kriket
Cricket (insect)	Murni
Crimean War	Krimska vojna
Criminal law	Kategorija:Kazensko pravo
Criminal law	Kazensko pravo
Criminology	Kategorija:Kriminologija
Croatia	Hrvaška
Croatia	Kategorija:Hrvaška
Crocodilia	Krokodili
Cronus	Kronos
Cross	Križ
Cross product	Vektorski produkt
Crossbow	Samostrel
Crossword	Križanka
Crucifixion	Križanje (mučenje)
Cruiser	Križarka
Crustacean	Raki
Cryptography	Kriptografija
Cryptography	Kategorija:Kriptografija
Crystal	Kristal
Cuba	Kuba
Cuba	Kategorija:Kuba
Cube	Kocka
Cubic metre	Kubični meter
Cubism	Kubizem
Cuculiformes	Kukavice
Cucumber	Navadna kumara
Cucurbitaceae	Bučevke
Culture	Kultura
Culture	Kategorija:Kultura
Cumulus cloud	Kumulus
Curitiba	Curitiba
Curium	Kirij
Currency	Kategorija:Valute
Currency	Valuta
Curry	Curry
Curve	Krivulja
Cusco	Cusco
Cyberpunk	Kiberpank
Cycling	Kolesarstvo
Cycling	Kategorija:Kolesarstvo
Cyclops	Kiklop
Cylinder (geometry)	Valj
Cyprinid	Pravi krapovci
Cypriniformes	Krapovci
Cyprus	Ciper
Cyprus	Kategorija:Ciper
Cyrillic alphabet	Cirilica
Cyrus the Great	Kir II.
Cytoplasm	Citoplazma
Cytosine	Citozin
Czech Republic	Češka
Czech Republic	Kategorija:Češka
Czechoslovakia	Češkoslovaška
D	D
D. W. Griffith	David Wark Griffith
DNA	Deoksiribonukleinska kislina
DOS	DOS
DVD	DVD
Dada	Dadaizem
Daedalus	Dedal
Dagger	Bodalo
Dahlia	Dalija
Dalai Lama	Dalajlama
Dalmatia	Dalmacija
Dam	Jez
Damascus	Damask
Dance	Ples
Dance	Kategorija:Ples
Dandelion	Regrat
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
Dante Alighieri	Dante Alighieri
Danube	Donava
Dardanelles	Dardanele
Darfur	Darfur
Dark matter	Temna snov
Darmstadtium	Darmštatij
Das Kapital	Kapital (knjiga)
Data	Podatek
Data mining	Podatkovno rudarjenje
Data structure	Podatkovna struktura
Database	Podatkovna baza
Database management system	SUPB
Date Palm	Datelj
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
Davis Cup	Davisov pokal
Day	Dan
Days	Kategorija:Dnevi
Deacon	Diakon
Dead Sea	Mrtvo morje
Dead Sea scrolls	Kumranski rokopisi
Deadly nightshade	Volčja češnja
Death	Smrt
Death	Kategorija:Smrt
Decade	Seznam desetletij
December	December
December 31	31. december
December 8	8. december
Decibel	Decibel
Decimal	Desetiški številski sistem
Deductive reasoning	Dedukcija
Deer	Jeleni
Definition	Definicija
Degree	Stopinja
Degree (angle)	Kotna stopinja
Deimos (moon)	Deimos (luna)
Deism	Deizem
Delaware	Delaware
Delaware	Kategorija:Delaware
Dell	Dell
Delphinus	Delfin (ozvezdje)
Delta (letter)	Delta
Deluge (mythology)	Vesoljni potop
Demagogy	Demagog
Demeter	Demetra
Democracy	Demokracija
Democratic Party (United States)	Demokratska stranka (ZDA)
Democratic Republic of the Congo	Demokratična republika Kongo
Democratic Republic of the Congo	Kategorija:Demokratična republika Kongo
Democritus	Demokrit
Demography	Kategorija:Demografija
Demon	Demon
Demosthenes	Demosten
Deng Xiaoping	Deng Xiaoping
Denis Diderot	Denis Diderot
Denmark	Danska
Denmark	Kategorija:Danska
Dennis Gabor	Dennis Gabor
Density	Gostota
Dentistry	Kategorija:Dentalna medicina
Dentistry	Dentalna medicina
Derivative	Odvod
Dermatology	Dermatologija
Desert	Puščava
Deserts	Kategorija:Puščave
Desmond Tutu	Desmond Tutu
Destroyer	Rušilec
Deuterium	Devterij
Developmental psychology	Razvojna psihologija
Devonian	Devon (geološka doba)
Dew	Rosa
Dew point	Rosišče
Diabetes mellitus	Sladkorna bolezen
Dialect	Naglas
Dialectic	Dialektika
Diamond	Diamant
Diana	Diana Spencer
Diana (mythology)	Diana
Diarrhea	Driska
Dice	Igralna kocka
Dicotyledon	Dvokaličnice
Dictatorship	Diktatura
Dictionary	Slovar
Diesel engine	Dizel
Diffusion	Difuzija
Digestion	Prebava
Dijon	Dijon
Dill	Navadni koper
Dimension	Razsežnost
Dingo	Dingo
Dinosaur	Dinozavri
Diocese	Škofija
Diocletian	Dioklecijan
Diode	Dioda
Diplomacy	Diplomacija
Diplomacy	Kategorija:Diplomacija
Dire Straits	Dire Straits
Disambiguation	Kategorija:Razločitev
Discourse	Diskurz
Discrimination	Diskriminacija
Disease	Bolezen
Distance	Razdalja
Division (mathematics)	Deljenje
Division (military)	Divizija
Djibouti	Kategorija:Džibuti
Djibouti (city)	Džibuti (mesto)
Dmitri Mendeleev	Dimitrij Ivanovič Mendelejev
Dmitri Shostakovich	Dmitrij Šostakovič
Dnieper River	Dnjeper
Doberman Pinscher	Doberman
Doctor of the Church	Cerkveni učitelji
Dodecanese	Dodekanez
Dodo	Dodo
Dog	Domači pes
Dogma	Verska resnica
Dolly (sheep)	Ovca Dolly
Dolmen	Dolmen
Dolphin	Delfini
Domestication	Udomačitev
Dominica	Dominika
Dominica	Kategorija:Dominika
Dominican Order	Dominikanci
Dominican Republic	Dominikanska republika
Dominican Republic	Kategorija:Dominikanska republika
Don Quixote	Don Kihot
Donkey	Osel
Dopamine	Dopamin
Doppler effect	Dopplerjev pojav
Doris Lessing	Doris Lessing
Douala	Douala
Double bass	Kontrabas
Douglas MacArthur	Douglas MacArthur
Down syndrome	Downov sindrom
Dracula	Drakula
Dragon	Zmaj
Drainage basin	porečje
Drama	Dramatika
Draughts	Dama (igra)
Dream	Sanje
Dresden	Dresden
Dromedary	Enogrba kamela
Drum	Boben
Dubai	Dubaj
Dublin	Dublin
Dubnium	Dubnij
Dubrovnik	Dubrovnik
Duke	Vojvoda
Duke Ellington	Duke Ellington
Dunkirk	Dunkerque
Duodenum	Dvanajstnik
Dutch people	Kategorija:Nizozemci
Dwight D. Eisenhower	Dwight David Eisenhower
Dynamics (physics)	Dinamika
Dynamite	Dinamit
Dysprosium	Disprozij
E	E
E (mathematical constant)	E (matematična konstanta)
E-mail	Elektronska pošta
E. T. A. Hoffmann	E. T. A. Hoffmann
ETA	ETA
Ear	Uho
Earth	Zemlja
Earth	Kategorija:Zemlja
Earth science	Vede o Zemlji
Earthquake	Potres
East	Vzhod
East Germany	Nemška demokratična republika
East Timor	Vzhodni Timor
East Timor	Kategorija:Vzhodni Timor
Easter	Velika noč
Eastern Orthodox Church	Pravoslavje
Ebola	Ebola
Eccentricity (mathematics)	Izsrednost
Echidna	Kljunati ježki
Echinoderm	Iglokožci
Eclipse	Sončev mrk
Ecliptic	Ekliptika
Ecology	Ekologija
Ecology	Kategorija:Ekologija
Economics	Ekonomija
Economics	Kategorija:Ekonomija
Economy	ekonomija
Ecosystem	Ekosistem
Ecuador	Ekvador
Ecuador	Kategorija:Ekvador
Ecumenical council	Ekumenski koncil
Edgar Allan Poe	Edgar Allan Poe
Edinburgh	Edinburg
Edirne	Odrin
Edmond Halley	Edmond Halley
Edmonton	Edmonton
Edmund Hillary	Edmund Percival Hillary
Eduard Buchner	Eduard Buchner
Education	Izobraževanje
Education	Kategorija:Izobraževanje
Edvard Grieg	Edvard Grieg
Edvard Munch	Edvard Munch
Edward Jenner	Edward Jenner
Edward Teller	Edward Teller
Edwin Hubble	Edwin Powell Hubble
Egg (biology)	Jajce
Eggplant	Jajčevec
Egypt	Egipt
Egypt	Kategorija:Egipt
Eiffel Tower	Eifflov stolp
Einsteinium	Ajnštajnij
El Greco	El Greco
El Salvador	Salvador
El Salvador	Kategorija:Salvador
Elam	Elamiti
Electric charge	Električni naboj
Electric current	Električni tok
Electric field	Električno polje
Electric guitar	Električna kitara
Electric motor	Elektromotor
Electrical engineering	Kategorija:Elektrotehnika
Electrical engineering	Elektrotehnika
Electrical resistance	Električni upor
Electricity	Elektrika
Electrochemistry	Elektrokemija
Electrochemistry	Kategorija:Elektrokemija
Electrolysis	Elektroliza
Electrolyte	Elektrolit
Electromagnetic radiation	Elektromagnetno valovanje
Electromagnetic spectrum	Spekter elektromagnetnega valovanja
Electromagnetism	Elektrika in magnetizem
Electromagnetism	Kategorija:Elektrika in magnetizem
Electron	Elektron
Electronegativity	Elektronegativnost
Electronics	Elektronika
Electronics	Kategorija:Elektronika
Element	Element
Elementary particle	Osnovni delec
Elephant	Sloni
Ellipse	Elipsa
Ellipsis	Tripičje
Elvis Presley	Elvis Presley
Embryo	Zarodek
Embryology	Embriologija
Emerald	Smaragd
Emilia-Romagna	Emilija - Romanja
Emiliano Zapata	Emiliano Zapata
Emotion	Čustvo
Emotion	Kategorija:Čustva
Empathy	Empatija
Empedocles	Empedoklej
Emperor	Imperator
Emperor Penguin	Cesarski pingvin
Empire	Imperij
Empire State Building	Empire State Building
Emulsion	Emulzija
Encyclopedia	Enciklopedija
Endemism	Endemit
Endocrine system	Endokrini sistem
Endocrinology	Endokrinologija
Energy	Energija
Energy	Kategorija:Energija
Energy (society)	Energija
Engine	Motor
Engineering	Tehnika
England	Anglija
England	Kategorija:Anglija
English Channel	Rokavski preliv
English Civil War	Angleška državljanska vojna
English language	Angleščina
English language	Kategorija:Angleščina
English people	Angleži
Enki	Enki
Enrico Caruso	Enrico Caruso
Enrico Fermi	Enrico Fermi
Entertainment	Kategorija:Zabava
Enthalpy	Entalpija
Entomology	Entomologija
Entomology	Kategorija:Entomologija
Entropy	Entropija
Environment	Kategorija:Okolje
Enzyme	Encim
Eon (geology)	Eon
Eos	Eos
Epic poetry	Ep
Epicenter	Epicenter
Epicurus	Epikur
Epidemic	Epidemija
Epidemiology	Epidemiologija
Epigraphy	Epigrafika
Epilepsy	Epilepsija
Epinephrine	Adrenalin
Epiphany (Christian)	Sveti trije kralji
Epistemology	Epistemologija
Epithelium	Krovno tkivo
Epsilon	Epsilon
Equation	Enačba
Equator	Ekvator
Equatorial Guinea	Ekvatorialna Gvineja
Equatorial Guinea	Kategorija:Ekvatorialna Gvineja
Equinox	Enakonočje
Equisetum	Preslica
Erato	Erato
Eratosthenes	Eratosten
Erbium	Erbij
Erectile dysfunction	Erektilna disfunkcija
Eridanus (constellation)	Eridan
Erik Satie	Erik Alfred Leslie Satie
Eris (dwarf planet)	Erida (pritlikavi planet)
Eris (mythology)	Erida (mitologija)
Eritrea	Kategorija:Eritreja
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Eros (mythology)	Eros
Erosion	Erozija
Erwin Rommel	Erwin Rommel
Escape velocity	Ubežna hitrost
Eschatology	Eshatologija
Escherichia coli	Escherichia coli
Esfahan	Isfahan
Esophagus	Požiralnik
Esperanto	Esperanto
Esperanto	Kategorija:Esperanto
Espoo	Espoo
Espresso	Espresso
Essay	Esej
Essential oil	Dišavna olja
Ester	Ester
Estonia	Kategorija:Estonija
Eta (letter)	Eta (črka)
Ethane	Etan
Ethanol	Etanol
Ether	Eter
Ethernet	Ethernet
Ethics	Etika
Ethics	Kategorija:Etika
Ethiopia	Etiopija
Ethiopia	Kategorija:Etiopija
Ethnography	Etnografija
Ethnology	Kategorija:Etnologija
Ethology	Etologija
Etymology	Etimologija
Eucalyptus	Evkalipt
Eucharist	Evharistija
Euclid	Evklid
Euclidean geometry	Evklidska geometrija
Eukaryote	Evkarionti
Eunuch	Evnuh
Euphrates	Evfrat
Eurasia	Evrazija
Euripides	Evripid
Euro	Evro
Europa (moon)	Evropa (luna)
Europe	Evropa
Europe	Kategorija:Evropa
European Central Bank	Evropska centralna banka
European Community	Evropska skupnost
European Union	Evropska unija
European Union	Kategorija:Evropska unija
Europium	Evropij
Euterpe	Evterpa
Eva Braun	Eva Braun
Evangelista Torricelli	Evangelista Torricelli
Evaporation	Izhlapevanje
Even-toed ungulate	Sodoprsti kopitarji
Evolution	Evolucija
Excalibur	Excalibur
Exclamation mark	Klicaj
Excommunication	Ekskomunikacija
Executive (government)	Izvršilna oblast
Existentialism	Eksistencializem
Explosion	Eksplozija
Exponential function	Eksponentna funkcija
Exponentiation	Potenciranje
Expressionism	Ekspresionizem
Extinction	Izumrtje
Eye	Oko
Eye	Kategorija:Oko
F	F
Fabaceae	Metuljnice
Fable	Basen
Fact	Predloga:Podatek
Factorial	Fakulteta (funkcija)
Factory	Tovarna
Facula	Sončeva pega
Fagaceae	Kategorija:Bukovke
Fahrenheit	Fahrenheitova temperaturna lestvica
Fair use	Poštena uporaba
Fairy tale	Pravljica
Falconiformes	Ujede
Falkland Islands	Falklandi
Fallopian tube	Jajcevod
Fallow Deer	Damjak
Family (biology)	Družina (biologija)
Family history	Rodoslovje
Far East	Daljni vzhod
Faroe Islands	Kategorija:Ferski otoki
Fascism	Fašizem
Fascism	Kategorija:Fašizem
Fashion	Kategorija:Moda
Fashion	Moda
Fatah	Fatah
Fatty acid	Maščobna kislina
Fauvism	Fauvizem
Fax	Telefaks
Feather	Pero
February	Februar
February 12	12. februar
February 14	14. februar
February 2	2. februar
February 22	22. februar
February 29	29. februar
February Revolution	Februarska revolucija
Federal Bureau of Investigation	Zvezni preiskovalni urad
Federated States of Micronesia	Zvezne države Mikronezije
Federation	Federacija
Feedback	Povratna zanka
Felidae	Mačke
Felix Mendelssohn	Felix Mendelssohn Bartholdy
Feminism	Feminizem
Feminism	Kategorija:Feminizem
Fencing	Mečevanje
Feng shui	Feng šui
Ferdinand II	Ferdinand II. Habsburški
Ferdinand Magellan	Ferdinand Magellan
Fermentation (biochemistry)	Fermentacija (biokemija)
Fermentation (food)	Fermentacija
Fermion	Fermion
Fermium	Fermij
Ferrara	Ferrara
Ferry	Trajekt
Fertile Crescent	Rodovitni polmesec
Fertilizer	NPK
Fetus	Plod (medicina)
Feudalism	Fevdalizem
Fever	Vročina
Fiat	Fiat
Fibonacci number	Fibonaccijevo število
Fiction	Kategorija:Fikcija
Fictional character	Izmišljena oseba
Fidel Castro	Fidel Castro
Field (mathematics)	obseg (algebra)
Fighter aircraft	Lovsko letalo
Fiji	Fidži
Fiji	Kategorija:Fidži
File Transfer Protocol	FTP
File system	Datotečni sistem
Filippo Brunelleschi	Filippo Brunelleschi
Film	Kategorija:Film
Film	Film
Film director	Filmski režiser
Finance	Kategorija:Finance
Fingerprint	Prstni odtis
Finland	Finska
Finland	Kategorija:Finska
Fir	Jelka (rod)
Fire	Ogenj
Firearm	Ognjeno orožje
Firefighter	Gasilec
Firewall (networking)	Požarni zid
First Crusade	Prva križarska vojna
First aid	Prva pomoč
First language	Materni jezik
Fish	Ribe
Fishing	Ribolov
Fishing	Kategorija:Ribolov
Fjord	Fjord
Flag	Zastava
Flagellum	Biček
Flamingo	Plamenci
Flatworm	Ploski črvi
Flea	Bolhe
Flint	Kremen
Flip-flop (electronics)	Bistabilni multivibrator
Flood	Poplava
Floppy disk	Disketa
Florence	Firence
Florence Nightingale	Florence Nightingale
Florida	Florida
Florida	Kategorija:Florida
Flour	Moka
Flower	Cvet
Flowering plant	Kritosemenke
Fluid	Tekočina
Fluid mechanics	Mehanika tekočin
Fluorite	Fluorit
Flute	Flavta
Fly	Dvokrilci
Fog	Megla
Folic acid	Folna kislina
Folk music	Ljudska glasba
Folklore	Kategorija:Folklora
Food	Hrana
Foot (unit of length)	Čevelj (dolžinska mera)
Football (soccer)	Nogomet
Football (soccer)	Kategorija:Nogomet
Football (soccer) by country	Kategorija:Nogomet po državah
Football (soccer) clubs	Kategorija:Nogometni klubi
Football (soccer) players	Kategorija:Nogometaši
Force	Sila
Forest	Gozd
Form of government	Vladavina
Formic acid	Mravljinčna kislina
Fortification	Fortifikacija
Fortran	Fortran
Fossil fuel	Fosilno gorivo
Foucault pendulum	Foucaultovo nihalo
Fountain	Vodna fontana
Fractal	Fraktal
Fraction (mathematics)	Ulomek
France	Francija
France	Kategorija:Francija
Francis Bacon	Francis Bacon
Francis Drake	Francis Drake
Francis II	Franc I. Habsburško-Lotarinški
Francis Poulenc	Francis Poulenc
Francis of Assisi	Sveti Frančišek Asiški
Franciscan	Frančiškani
Francisco Franco	Francisco Franco
Francisco Goya	Francisco de Goya y Lucientes
Francisco Pizarro	Francisco Pizarro
Francium	Francij
Frank Sinatra	Frank Sinatra
Frankfurt	Frankfurt na Majni
Frankfurt	Kategorija:Frankfurt na Majni
Frankfurt (Oder)	Frankfurt na Odri
Frankfurt (disambiguation)	Frankfurt (razločitev)
Franklin Pierce	Franklin Pierce
Frans Hals	Frans Hals
Franz Kafka	Franz Kafka
Franz Liszt	Franz Liszt
Franz Schubert	Franz Schubert
Frederick I	Friderik I. Barbarossa
Frederick II	Friderik II. Hohenstaufen
Freemasonry	Prostozidarstvo
Freeware	Brezplačno programje
French Polynesia	Francoska Polinezija
French Polynesia	Kategorija:Francoska Polinezija
French Revolution	Francoska revolucija
French people	Kategorija:Francozi
Frequency	Frekvenca
Fresco	Freska
Freyja	Freyja
Freyr	Freyr
Friction	Trenje
Friday	Petek
Fridtjof Nansen	Fridtjof Nansen
Friedrich Engels	Friedrich Engels
Frigate	Fregata
Fritz Haber	Fritz Haber
Friuli-Venezia Giulia	Furlanija - Julijska krajina
Frog	Žabe
Fructose	Fruktoza
Fruit	Plod
Fruit	Kategorija:Sadje
Fucking	Fucking
Fuel	Gorivo
Fugue	Fuga
Function (mathematics)	Funkcija
Fundamental	Kategorija:Temeljna
Fundamental interaction	Osnovna sila
Fungi	Kategorija:Glive
Fungus	Glive
Furniture	Kategorija:Pohištvo
Furniture	Pohištvo
Futurism (art)	Futurizem
Fuzzy logic	Mehka logika
Fyodor Dostoevsky	Fjodor Mihajlovič Dostojevski
G	G
GIMP	GIMP
GNOME	GNOME
GNU	GNU
Gabon	Gabon
Gabon	Kategorija:Gabon
Gabriel Lippmann	Gabriel Lippmann
Gadolinium	Gadolinij
Gaia (mythology)	Gaja
Galaxy	Galaksija
Galen	Galen
Galena	Galenit
Galicia (Central Europe)	Galicija
Galicia (Spain)	Galicija (Španija)
Galilee	Galileja
Galileo Galilei	Galileo Galilei
Gallbladder	Žolčnik
Galliformes	Kure
Galliformes	Kategorija:Kure
Gallium	Galij
Gallon	Galona
Gamal Abdel Nasser	Gamal Abdel Naser
Gambling	Igra na srečo
Game	Igra
Gamma	Gama
Gamma ray	Žarek gama
Ganesha	Ganeša
Ganges	Ganges
Ganja	Gandža
Gansu	Gansu
Ganymede (moon)	Ganimed (luna)
Gap	Gap
Garden of Eden	Eden
Gardening	Vrtnarstvo
Garfield	Garfield
Garlic	Česen
Garonne	Garona
Gas	Plin
Gas constant	Splošna plinska konstanta
Gas giant	Plinski velikan
Gasoline	Bencin
Gastrointestinal tract	Prebavni trakt
Gastropoda	Polži
Gautama Buddha	Buda
Gear	Zobnik
Geb	Geb
Gemstone	Dragulj
Gene	Gen
Genealogy	Rodoslovje
Genealogy	Kategorija:Rodoslovje
General Officer	General
General relativity	Splošna teorija relativnosti
Genesis	1. Mojzesova knjiga
Genetics	Genetika
Genetics	Kategorija:Genetika
Geneva	Ženeva
Genoa	Genova
Genocide	Genocid
Genocide	Kategorija:Genocidi
Genome	Dednina
Genotype	Genotip
Genus	Rod (biologija)
Geodesy	Geodezija
Geodesy	Kategorija:Geodezija
Geoffrey Chaucer	Geoffrey Chaucer
Geography	Geografija
Geography	Kategorija:Geografija
Geology	Kategorija:Geologija
Geology	Geologija
Geometric progression	Geometrijsko zaporedje
Geometry	Geometrija
Geometry	Kategorija:Geometrija
Geomorphology	Geomorfologija
Geomorphology	Kategorija:Geomorfologija
Geophysics	Geofizik
Geophysics	Kategorija:Geofizika
Georg Philipp Telemann	Georg Philipp Telemann
George Bernard Shaw	George Bernard Shaw
George Bush	George Bush
George Frideric Handel	Georg Friedrich Händel
George Gershwin	George Gershwin
George Harrison	George Harrison
George Lucas	George Lucas
George Marshall	George Catlett Marshall
George Orwell	George Orwell
George Paget Thomson	George Paget Thomson
George Stephenson	George Stephenson
George W. Bush	George W. Bush
George Washington	George Washington
Georges Bizet	Georges Bizet
Georges Braque	Georges Braque
Georgia (U.S. state)	Georgia
Georgia (U.S. state)	Kategorija:Georgia
Georgia (country)	Gruzija
Georgia (country)	Kategorija:Gruzija
Gerald Ford	Gerald Ford
Gerard Kuiper	Gerard Peter Kuiper
German language	Nemščina
German language	Kategorija:Nemščina
Germanium	Germanij
Germany	Nemčija
Germany	Kategorija:Nemčija
Gestapo	Gestapo
Geyser	Gejzir
Ghana	Gana
Ghana	Kategorija:Gana
Ghetto	Geto
Ghost	Duh
Giacomo Puccini	Giacomo Puccini
Giant Panda	Orjaški panda
Gibbon	Giboni
Gibraltar	Gibraltar
Gigabyte	Gigabajt
Ginger	Ingver
Ginkgo	Dvokrpi ginko
Giordano Bruno	Filippo Giordano Bruno
Giovanni Boccaccio	Giovanni Boccaccio
Giraffe	Žirafa
Girolamo Savonarola	Girolamo Savonarola
Gironde	Gironde (departma)
