Russian	English
Лимонная кислота	Citric acid
Цикл трикарбоновых кислот	Citric acid cycle
Цитрусовые	Citrus
Город-государство	City-state
Гражданская война	Civil war
Цивилизация	Civilization
Civilization	Civilization (computer game)
Кларнет	Clarinet
Гейбл, Кларк	Clark Gable
Класс	Class
Класс (биология)	Class (biology)
Класс (программирование)	Class (computer science)
Классическая механика	Classical mechanics
Классическая музыка	Classical music
Категория:Классическая музыка	Classical music
Классицизм	Classicism
Моне, Клод	Claude Monet
Шеннон, Клод Элвуд	Claude Shannon
Монтеверди, Клаудио Джованни Антонио	Claudio Monteverdi
Клавдий	Claudius
Ключица	Clavicle
Глина	Clay
Ключ (музыка)	Clef
Эттли, Клемент	Clement Attlee
Клеопатра (значения)	Cleopatra (disambiguation)
Духовенство	Clergy
Кливленд (Огайо)	Cleveland
Технология «клиент-сервер»	Client-server
Климат	Climate
Категория:Климат	Climate
Изменение климата	Climate change
Климатология	Climatology
Категория:Климатология	Climatology
Большое депрессивное расстройство	Clinical depression
Клио	Clio
Клитор	Clitoris
Часы	Clock
Биг-Бен	Clock Tower
Клонирование (биотехнология)	Cloning
Категория:Одежда	Clothing
Одежда	Clothing
Облако	Cloud
Гвоздика (пряность)	Clove
Клевер	Clover
Хлодвиг I	Clovis I
Стрекающие	Cnidaria
Уголь	Coal
Побережье	Coast
Герб	Coat of arms
Кобальт	Cobalt
Кокаин	Cocaine
Божьи коровки	Coccinellidae
Какаду	Cockatoo
Таракановые	Cockroach
Коктейль	Cocktail
Кокосовая пальма	Coconut
Кокосовые острова	Cocos (Keeling) Islands
Кодеин	Codeine
Кофейное дерево	Coffea
Кофе	Coffee
Категория:Кофе	Coffee
Коньяк	Cognac (drink)
Когнитивная психология	Cognitive psychology
Монета	Coin
Кола	Cola
Колхида	Colchis
Холодная война	Cold War
Категория:Холодная война	Cold War
Пауэлл, Колин Лютер	Colin Powell
Коллаж	Collage
Коллаген	Collagen
Коллоидные системы	Colloid
Кёльн	Cologne
Колумбия	Colombia
Категория:Колумбия	Colombia
Коломбо	Colombo
полковник	Colonel
Колония	Colony
Цвет	Color
Дальтонизм	Color blindness
Колорадо	Colorado
Категория:Колорадо	Colorado
Колорадо (река)	Colorado River
Колизей	Colosseum
Колосс Родосский	Colossus of Rhodes
Ужеобразные	Colubrid
Голубь (созвездие)	Columba (constellation)
Колумбия (Южная Каролина)	Columbia
Колумбия (значения)	Columbia
Колумбия (река)	Columbia River
Колумбийский университет	Columbia University
Голубиные	Columbidae
Категория:Голубеобразные	Columbiformes
Голубеобразные	Columbiformes
Колумбус (Огайо)	Columbus
Колумбус (значения)	Columbus
Кома (медицина)	Coma
Волосы Вероники (созвездие)	Coma Berenices
Горение	Combustion
Комедия	Comedy
Коменский, Ян Амос	Comenius
Комета	Comet
Запятая	Comma (punctuation)
Комедия дель арте	Commedia dell'arte
Категория:Коммерция	Commerce
Инжир	Common Fig
Острая респираторная вирусная инфекция	Common cold
Содружество Независимых Государств	Commonwealth of Independent States
Содружество наций	Commonwealth of Nations
Категория:Связь	Communication
Общение	Communication
Коммунизм	Communism
Категория:Коммунизм	Communism
Коморские острова	Comoros
Категория:Коморские острова	Comoros
Компакт-диск	Compact Disc
Рота (армия)	Company (military unit)
Компас	Compass
Циркуль	Compass (drafting)
Соревнование	Competition
Компилятор	Compiler
CISC	Complex instruction set computer
Комплексное число	Complex number
Композитор	Composer
Композиционный материал	Composite material
Составное число	Composite number
Математическая лингвистика	Computational linguistics
Компьютерная томография	Computed tomography
Компьютер	Computer
Архитектура компьютера	Computer architecture
Монитор	Computer display
Файл	Computer file
Категория:Компьютерная графика	Computer graphics
Компьютерная техника	Computer hardware
Категория:Аппаратное обеспечение	Computer hardware
Компьютерная сеть	Computer network
Компьютерная программа	Computer program
Программирование	Computer programming
Категория:Программирование	Computer programming
Информатика	Computer science
Категория:Информатика	Computer science
Программное обеспечение	Computer software
Компьютерный вирус	Computer virus
Система автоматизации проектных работ	Computer-aided design
Категория:Вычислительная техника	Computing
Конакри	Conakry
Концентрация растворов	Concentration
Концерт (произведение)	Concerto
Конкорд (Нью-Хэмпшир)	Concord
Бетон	Concrete
Презерватив	Condom
Дирижёр	Conducting
Конус	Cone (geometry)
Конфедеративные Штаты Америки	Confederate States of America
Конфедерация	Confederation
Исповедь	Confession
Миропомазание	Confirmation
Конфликт	Conflict
Конфуцианство	Confucianism
Конфуций	Confucius
Конго	Congo
Конго (река)	Congo River
Коническое сечение	Conic section
Коннектикут	Connecticut
Категория:Коннектикут	Connecticut
Соединительная ткань	Connective tissue
Конкистадор	Conquistador
Консенсус	Consensus
Закон сохранения энергии	Conservation of energy
Консерватизм	Conservatism
Согласные	Consonant
Константин I Великий	Constantine I
Созвездие	Constellation
Конституция	Constitution (political)
Консул (Древний Рим)	Consul
Потребление	Consumption (economics)
Контактные линзы	Contact lens
Континент	Continent
Теория дрейфа материков	Continental drift
Шельф	Continental shelf
Договор	Contract
Бридж	Contract bridge
Конвекция	Convection
Кулинария	Cooking
Кооператив	Cooperative
Система координат	Coordinate system
Универсальное координированное время	Coordinated Universal Time
Копенгаген	Copenhagen
Медь	Copper
Авторское право	Copyright
Английский рожок	Cor anglais
Ракшеобразные	Coraciiformes
Коралл	Coral
Коралловое море	Coral Sea
Коралловые рифы	Coral reef
Кориандр	Coriander
Коринф	Corinth
Сила Кориолиса	Coriolis effect
Корк	Cork (city)
Баклановые	Cormorant
Роговица	Cornea
Корнелльский университет	Cornell University
Корнуолл	Cornwall
Северная Корона (созвездие)	Corona Borealis
Корпорация	Corporation
Коррозия	Corrosion
Корсика	Corsica
Корунд	Corundum
Корвет	Corvette
Врановые	Corvidae
Ворон (созвездие)	Corvus (constellation)
Реликтовое излучение	Cosmic microwave background radiation
Космические лучи	Cosmic ray
Космология	Cosmology
Категория:Космология	Cosmology
Коста-Рика	Costa Rica
Категория:Коста-Рика	Costa Rica
Котону	Cotonou
Котопакси	Cotopaxi
Хлопок	Cotton
Пума	Cougar
Кулон	Coulomb
Закон Кулона	Coulomb's law
Халкидонский собор	Council of Chalcedon
Эфесский собор	Council of Ephesus
Тридентский собор	Council of Trent
Контрапункт	Counterpoint
Страна	Country
Кантри	Country music
Суд	Court
Ковалентная связь	Covalent bond
Ковентри	Coventry
Койот	Coyote
Крабы	Crab
Крабовидная туманность	Crab Nebula
Журавли	Crane (bird)
Чаша (созвездие)	Crater (constellation)
Креационизм	Creationism
Кремона	Cremona
Меловой период	Cretaceous
Крит	Crete
Крикет	Cricket
Настоящие сверчки	Cricket (insect)
Преступление	Crime
Крым	Crimea
Крымская война	Crimean War
Категория:Уголовное право	Criminal law
Уголовное право	Criminal law
Криминология	Criminology
Категория:Криминология	Criminology
Хорватия	Croatia
Категория:Хорватия	Croatia
Настоящие крокодилы	Crocodile
Крокодилы	Crocodilia
Кронос	Cronus
Крест	Cross
Векторное произведение	Cross product
Арбалет	Crossbow
Кроссворд	Crossword
Вороны	Crow
Распятие (казнь)	Crucifixion
Крейсер	Cruiser
Земная кора	Crust (geology)
Ракообразные	Crustacean
Южный Крест (созвездие)	Crux
Криптография	Cryptography
Категория:Криптография	Cryptography
Кристаллы	Crystal
Кристаллография	Crystallography
Категория:Кристаллография	Crystallography
Гребневики	Ctenophore
Куба	Cuba
Категория:Куба	Cuba
Куб	Cube
Кубический метр	Cubic metre
Кубизм	Cubism
Кукушкообразные	Cuculiformes
Огурец обыкновенный	Cucumber
Тыквенные	Cucurbitaceae
Культурная революция в Китае	Cultural Revolution
Культура	Culture
Категория:Культура	Culture
Камбрия	Cumbria
Кипарисовые	Cupressaceae
Куритиба	Curitiba
Кюрий	Curium
Кёрлинг	Curling
Категория:Валюты	Currency
Валюта	Currency
Карри (блюдо)	Curry
Кривая	Curve
Куско	Cusco
Голубой цвет	Cyan
Цианиды	Cyanide
Цианобактерии	Cyanobacteria
Кибела	Cybele
Кибернетика	Cybernetics
Киберпанк	Cyberpunk
Киклады	Cyclades
Велосипедный спорт	Cycling
Категория:Велосипедный спорт	Cycling
Циклон	Cyclone
Циклопы	Cyclops
Лебедь (созвездие)	Cygnus (constellation)
Цилиндр	Cylinder (geometry)
Осоковые	Cyperaceae
Карповые	Cyprinid
Карпообразные	Cypriniformes
Кипр	Cyprus
Категория:Кипр	Cyprus
Кириллица	Cyrillic alphabet
Кир II Великий	Cyrus the Great
Муковисцидоз	Cystic fibrosis
Цитоплазма	Cytoplasm
Цитозин	Cytosine
Цитоскелет	Cytoskeleton
Чехия	Czech Republic
Категория:Чехия	Czech Republic
Чехословакия	Czechoslovakia
Категория:Чехословакия	Czechoslovakia
D (латиница)	D
Лоуренс, Дэвид Герберт	D. H. Lawrence
Гриффит, Дэвид	D. W. Griffith
ДДТ	DDT
Дезоксирибонуклеиновая кислота	DNA
DOS	DOS
DVD	DVD
Такса	Dachshund
Дадаизм	Dada
Дедал	Daedalus
Кинжал	Dagger
Дагеротипия	Daguerreotype
Георгина	Dahlia
Дакар	Dakar
Далай-лама	Dalai Lama
Даллас	Dallas
Далмация	Dalmatia
Плотина	Dam
Дамаск	Damascus
Танец	Dance
Категория:Танцы	Dance
Одуванчик	Dandelion
Бернулли, Даниил	Daniel Bernoulli
Дефо, Даниэль	Daniel Defoe
Ортега, Даниэль	Daniel Ortega
Датская крона	Danish krone
Данте Алигьери	Dante Alighieri
Дунай	Danube
Дафна	Daphne
Дар-эс-Салам	Dar es Salaam
Дарданеллы	Dardanelles
Дарфур	Darfur
Дарджилинг (город)	Darjeeling
Скрытая масса	Dark matter
Дармштадтий	Darmstadtium
Дарвин (город)	Darwin
Дарвин	Darwin
Капитал (Карл Маркс)	Das Kapital
Данные	Data
Интеллектуальный анализ данных	Data mining
Структура данных	Data structure
База данных	Database
Система управления базами данных	Database management system
Финиковая пальма	Date Palm
Дательный падеж	Dative case
Даугавпилс	Daugavpils
Давид	David
Гильберт, Давид	David Hilbert
Юм, Дэвид	David Hume
Ливингстон, Давид	David Livingstone
Рикардо, Давид	David Ricardo
Кубок Дэвиса	Davis Cup
Сутки	Day
Категория:Даты	Days
De facto	De facto
Диакон	Deacon
Мёртвое море	Dead Sea
Кумранские рукописи	Dead Sea scrolls
Белладонна	Deadly nightshade
Смерть	Death
Категория:Смерть	Death
Десятилетие	Decade
Декабрь	December
31 декабря	December 31
8 декабря	December 8
Децибел	Decibel
Десятичная система счисления	Decimal
Деций Траян	Decius (emperor)
Деку	Deco
Деконструкция	Deconstruction
Дедуктивное умозаключение	Deductive reasoning
Оленевые	Deer
Дефляция (экономика)	Deflation
Градус	Degree
Градус (геометрия)	Degree (angle)
Деймос	Deimos (moon)
Деизм	Deism
Делавэр	Delaware
Категория:Делавэр	Delaware
Делфт	Delft
Дели	Delhi
Dell	Dell
Дельфы	Delphi
Дельфин (созвездие)	Delphinus
Дельта	Delta
Дельта (буква)	Delta (letter)
Всемирный Потоп	Deluge (mythology)
Демагогия	Demagogy
Деменция	Dementia
Деметра	Demeter
Демократия	Democracy
Демократическая партия США	Democratic Party (United States)
Демократическая Республика Конго	Democratic Republic of the Congo
Категория:Демократическая Республика Конго	Democratic Republic of the Congo
Демокрит	Democritus
Демография	Demography
Категория:Демография	Demography
Демон	Demon
Демосфен	Demosthenes
Дэн Сяопин	Deng Xiaoping
Лихорадка денге	Dengue fever
Дидро, Дени	Denis Diderot
Дания	Denmark
Категория:Дания	Denmark
Габор, Дэннис	Dennis Gabor
Плотность	Density
Кариес зубов	Dental caries
Категория:Стоматология	Dentistry
Стоматология	Dentistry
Денвер (Колорадо)	Denver
Производная функции	Derivative
Дерматология	Dermatology
Де-Мойн (Айова)	Des Moines
Пустыня	Desert
Категория:Пустыни	Deserts
Эразм Роттердамский	Desiderius Erasmus
Дизайн	Design
Категория:Дизайн	Design
Туту, Десмонд	Desmond Tutu
Эскадренный миноносец	Destroyer
Определитель	Determinant
Детерминизм	Determinism
Детройт	Detroit
Дейтерий	Deuterium
Второзаконие	Deuteronomy
Психология развития	Developmental psychology
Драйвер	Device driver
Девон (графство)	Devon
Девонский период	Devonian
Роса	Dew
Точка росы	Dew point
Дакка	Dhaka
Дхарма	Dharma
Дхаулагири	Dhaulagiri
Красный волк	Dhole
Сахарный диабет	Diabetes mellitus
Диакритический знак	Diacritic
Диалект	Dialect
Диалектика	Dialectic
Диалектический материализм	Dialectical materialism
Диаметр	Diameter
Алмаз	Diamond
Диана, принцесса Уэльская	Diana
Диана (богиня)	Diana (mythology)
Диарея	Diarrhea
Диаспора	Diaspora
Диатомовые водоросли	Diatom
Игральная кость	Dice
Двудольные	Dicotyledon
Диктатура	Dictatorship
Словарь	Dictionary
Ривера, Диего	Diego Rivera
Дизельное топливо	Diesel
Дизельный двигатель	Diesel engine
Бонхёффер, Дитрих	Dietrich Bonhoeffer
Дифференциальное уравнение	Differential equation
Дифракция	Diffraction
Диффузия	Diffusion
Пищеварение	Digestion
Категория:Пищеварительная система	Digestive system
Цифровой	Digital
Цифровой фотоаппарат	Digital camera
Цифровая фотография	Digital photography
XDSL	Digital subscriber line
Дижон	Dijon
Укроп	Dill
Размерность пространства	Dimension
Динго	Dingo
Динозавры	Dinosaur
Диоцез	Diocese
Диоклетиан	Diocletian
Диод	Diode
Дионис	Dionysus
Дифтерия	Diphtheria
Дифтонг	Diphthong
Диплодок	Diplodocus
Дипломатия	Diplomacy
Категория:Дипломатия	Diplomacy
Dire Straits	Dire Straits
Постоянный ток	Direct current
Дисахариды	Disaccharide
Категория:Многозначные термины	Disambiguation
Диджей	Disc jockey
Дискурс	Discourse
Дискриминация	Discrimination
Болезнь	Disease
Расстояние	Distance
Дистилляция	Distillation
Дивергенция	Divergence
Деление (математика)	Division (mathematics)
Дивизия	Division (military)
Развод	Divorce
Гиллеспи, Диззи	Dizzy Gillespie
Категория:Джибути	Djibouti
Джибути (город)	Djibouti (city)
Менделеев, Дмитрий Иванович	Dmitri Mendeleev
Шостакович, Дмитрий Дмитриевич	Dmitri Shostakovich
Днепр	Dnieper River
Днепропетровск	Dnipropetrovsk
Доберман	Doberman Pinscher
Учители церкви	Doctor of the Church
Документ	Document
Додекаэдр	Dodecahedron
Додеканес (острова)	Dodecanese
Дронты	Dodo
Додома	Dodoma
Домашняя собака	Dog
Догмат	Dogma
Доха	Doha
Долли (овца)	Dolly (sheep)
Дольмен	Dolmen
Доломит	Dolomite
Дельфиновые	Dolphin
Домен (биология)	Domain (biology)
Доменное имя	Domain name
Купол	Dome
Книга страшного суда	Domesday Book
Одомашнивание	Domestication
Доминика	Dominica
Категория:Доминика	Dominica
Доминиканцы	Dominican Order
Доминиканская Республика	Dominican Republic
Категория:Доминиканская Республика	Dominican Republic
Домициан	Domitian
Дон Кихот	Don Quixote
Дон	Don River (Russia)
Дональд Дак	Donald Duck
Донателло	Donatello
Донато Браманте	Donato Bramante
Донецк	Donetsk
Осёл	Donkey
Дверь	Door
Дофамин	Dopamine
Эффект Доплера	Doppler effect
Золотая Рыба (созвездие)	Dorado
Дорический ордер	Doric order
Лессинг, Дорис	Doris Lessing
Дортмунд	Dortmund
Дуала (город)	Douala
Контрабас	Double bass
Макартур, Дуглас	Douglas MacArthur
Довер (Делавэр)	Dover
Дувр	Dover
Синдром Дауна	Down syndrome
Дракон (созвездие)	Draco (constellation)
Дракула (роман)	Dracula
Дракон	Dragon
Речной бассейн	Drainage basin
Драма (род литературы)	Drama
Шашки	Draughts
Сновидение	Dream
Дрезден	Dresden
Напитки	Drink
Одногорбый верблюд	Dromedary
Засуха	Drought
Наркомания	Drug addiction
Друиды	Druid
Барабан	Drum
Дуализм	Dualism
Дуализм	Dualism (philosophy of mind)
Дубай (эмират)	Dubai
Дублин	Dublin
Дубний	Dubnium
Дубровник	Dubrovnik
Утки	Duck
Дюгонь	Dugong
Герцог	Duke
Эллингтон, Дюк	Duke Ellington
Университет Дьюка	Duke University
Дюна	Dune
Дюнкерк	Dunkirk
Двенадцатиперстная кишка человека	Duodenum
Дурбан	Durban
Душанбе	Dushanbe
Хофман, Дастин Ли	Dustin Hoffman
Категория:Персоналии:Нидерланды	Dutch people
Эйзенхауэр, Дуайт Дэвид	Dwight D. Eisenhower
Динамит	Dynamite
Династия	Dynasty
Дислексия	Dyslexia
Диспрозий	Dysprosium
Антиутопия	Dystopia
E (латиница)	E
E (математическая константа)	E (mathematical constant)
Электронная почта	E-mail
Гофман, Эрнст Теодор Амадей	E. T. A. Hoffmann
ЭТА	ETA
Орлиные	Eagle
Ухо	Ear
Ушастые тюлени	Eared seal
Настоящие тюлени	Earless seal
Земля	Earth
Категория:Земля	Earth
Науки о Земле	Earth science
Землетрясение	Earthquake
Восток	East
Восточная Африка	East Africa
Восточно-Китайское море	East China Sea
Германская Демократическая Республика	East Germany
Восточный Сассекс	East Sussex
Восточный Тимор	East Timor
Категория:Восточный Тимор	East Timor
Пасха	Easter
Православие	Eastern Orthodox Church
Геморрагическая лихорадка Эбола	Ebola
Эбро	Ebro
Эксцентриситет	Eccentricity (mathematics)
Книга Екклесиаста	Ecclesiastes
Ехидны	Echidna
Ехидна (мифология)	Echidna (mythology)
Иглокожие	Echinoderm
Затмение	Eclipse
Eclipse	Eclipse (software)
Эклиптика	Ecliptic
Экологическая ниша	Ecological niche
Экология	Ecology
Категория:Экология	Ecology
Эконометрика	Econometrics
Экономика	Economics
Категория:Экономика	Economics
Экономика	Economy
Экосистема	Ecosystem
Эквадор	Ecuador
Категория:Эквадор	Ecuador
Вселенские соборы	Ecumenical council
По, Эдгар Аллан	Edgar Allan Poe
Дега, Эдгар	Edgar Degas
Берроуз, Эдгар Райс	Edgar Rice Burroughs
Эдинбург	Edinburgh
Эдирне	Edirne
Галлей, Эдмонд	Edmond Halley
Эдмонтон	Edmonton
Бёрк, Эдмунд	Edmund Burke
Хиллари, Эдмунд	Edmund Hillary
Гуссерль, Эдмунд	Edmund Husserl
Бухнер, Эдуард	Eduard Buchner
Образование	Education
Категория:Образование	Education
Григ, Эдвард	Edvard Grieg
Мунк, Эдвард	Edvard Munch
Гиббон, Эдуард	Edward Gibbon
Дженнер, Эдуард	Edward Jenner
Эдуард Исповедник	Edward the Confessor
Хаббл, Эдвин Пауэлл	Edwin Hubble
Яйцо	Egg (biology)
Баклажан	Eggplant
Арабская Республика Египет	Egypt
Категория:Египет	Egypt
Египетский фунт	Egyptian pound
Египтология	Egyptology
Эйфелева башня	Eiffel Tower
Эйндховен	Eindhoven
Эйнштейний	Einsteinium
Эякуляция	Ejaculation
Сид Кампеадор	El Cid
Эль Греко	El Greco
Эль-Пасо	El Paso
Сальвадор	El Salvador
Категория:Сальвадор	El Salvador
Элам	Elam
Эльба (река)	Elbe
Рузвельт, Элеонора	Eleanor Roosevelt
Выборы	Election
Электра	Electra
Электрический заряд	Electric charge
Электрический ток	Electric current
Электрическое поле	Electric field
Электрогитара	Electric guitar
Электрический двигатель	Electric motor
Категория:Электротехника	Electrical engineering
Электротехника	Electrical engineering
Электрическое сопротивление	Electrical resistance
Электричество	Electricity
Категория:Электричество	Electricity
Электрокардиограмма	Electrocardiogram
Электрохимия	Electrochemistry
Категория:Электрохимия	Electrochemistry
Электролиз	Electrolysis
Электролит	Electrolyte
Электромагнитное излучение	Electromagnetic radiation
Электродинамика	Electromagnetism
Категория:Электромагнетизм	Electromagnetism
Электрон	Electron
Электронный микроскоп	Electron microscope
Электроотрицательность	Electronegativity
Электроника	Electronics
Категория:Электроника	Electronics
Элегия (литература)	Elegy
Элементарная частица	Elementary particle
Слоновые	Elephant
Лифт	Elevator
Эльф	Elf
Элиа Казан	Elia Kazan
Канетти, Элиас	Elias Canetti
Илия (пророк)	Elijah
Тейлор, Элизабет	Elizabeth Taylor
Фицджеральд, Элла	Ella Fitzgerald
Эллипс	Ellipse
Многоточие	Ellipsis
Вяз	Elm
Пресли, Элвис	Elvis Presley
Эмбрион	Embryo
Эмбриология	Embryology
Изумруд	Emerald
Эмилия-Романья	Emilia-Romagna
Сапата, Эмилиано	Emiliano Zapata
Дикинсон, Эмили	Emily Dickinson
Эмир	Emir
Гольдман, Эмма	Emma Goldman
Смайлик	Emoticon
Эмоция	Emotion
Категория:Эмоции	Emotion
Эмпатия	Empathy
Эмпедокл Акрагантский	Empedocles
Император	Emperor
Императорский пингвин	Emperor Penguin
Империя	Empire
Эмпайр-Стейт-Билдинг	Empire State Building
Эмпиризм	Empiricism
Эму	Emu
Эмуляция	Emulator
Эмульсия	Emulsion
Энциклопедия	Encyclopedia
Эндемик	Endemism
Эндокринная система	Endocrine system
Эндокринология	Endocrinology
Категория:Эндокринология	Endocrinology
Энергия	Energy
Категория:Энергия	Energy
Энергия	Energy (society)
Двигатель	Engine
Инженер	Engineer
Инженерное дело	Engineering
Категория:Технические науки	Engineering
Англия	England
Категория:Англия	England
Ла-Манш	English Channel
Английская революция	English Civil War
Английский язык	English language
Категория:Английский язык	English language
Категория:Персоналии:Англия	English people
Англичане	English people
Эа (мифология)	Enki
Карузо, Энрико	Enrico Caruso
Ферми, Энрико	Enrico Fermi
Категория:Развлечения	Entertainment
Энтальпия	Enthalpy
Энтомология	Entomology
Категория:Энтомология	Entomology
Термодинамическая энтропия	Entropy
Категория:Охрана окружающей среды	Environment
Окружающая среда	Environment
Ферменты	Enzyme
Эон (геология)	Eon (geology)
Эос	Eos
Эфес (город)	Ephesus
Эпос	Epic poetry
Эпицентр землетрясения	Epicenter
Эпиктет	Epictetus
Эпикур	Epicurus
Эпидемия	Epidemic
Эпидемиология	Epidemiology
Эпиграфика	Epigraphy
Эпилепсия	Epilepsy
Эпиметей	Epimetheus (mythology)
Адреналин	Epinephrine
Богоявление	Epiphany (Christian)
Эпир	Epirus (periphery)
Эпистемология	Epistemology
Послание к Галатам	Epistle to the Galatians
Послание к Римлянам	Epistle to the Romans
Эпителий	Epithelium
Эпсилон (буква)	Epsilon
Уравнение	Equation
Экватор	Equator
Экваториальная Гвинея	Equatorial Guinea
Категория:Экваториальная Гвинея	Equatorial Guinea
Лошади	Equidae
Равноденствие	Equinox
Хвощ	Equisetum
Erasure	Erasure
Эрато	Erato
Эратосфен	Eratosthenes
Эрбий	Erbium
Эреб	Erebus
Импотенция	Erectile dysfunction
Эрекция	Erection
Вересковые	Ericaceae
Верескоцветные	Ericales
Эридан (созвездие)	Eridanus (constellation)
Карлфельдт, Эрик Аксель	Erik Axel Karlfeldt
Сати, Эрик	Erik Satie
Эрида (карликовая планета)	Eris (dwarf planet)
Эрида (мифология)	Eris (mythology)
Категория:Эритрея	Eritrea
Хемингуэй, Эрнест Миллер	Ernest Hemingway
Резерфорд, Эрнест	Ernest Rutherford
Сименс, Вернер фон	Ernst Werner von Siemens
Эрот	Eros (mythology)
Эрозия почвы	Erosion
Эротика	Erotica
Роммель, Эрвин Йоханнес Ойген	Erwin Rommel
Вторая космическая скорость	Escape velocity
Эсхатология	Eschatology
Кишечная палочка	Escherichia coli
Исфахан (город)	Esfahan
Пищевод человека	Esophagus
Эсперанто	Esperanto
Категория:Эсперанто	Esperanto
Разведка	Espionage
Эспоо	Espoo
Эспрессо	Espresso
Эссе	Essay
Эссен	Essen
Эфирные масла	Essential oil
Эссекс	Essex
Сложные эфиры	Ester
Категория:Эстония	Estonia
Эстрогены	Estrogen
Эта (буква)	Eta (letter)
Офорт	Etching
Этан	Ethane
Этанол	Ethanol
Простые эфиры	Ether
Ethernet	Ethernet
Этика	Ethics
Категория:Этика	Ethics
Эфиопия	Ethiopia
Категория:Эфиопия	Ethiopia
Этнос	Ethnic group
Этнография	Ethnography
Категория:Этнология	Ethnology
Этология	Ethology
Этилен	Ethylene
Этимология	Etymology
Эвкалипт	Eucalyptus
Евхаристия	Eucharist
Евклид	Euclid
Евклидова геометрия	Euclidean geometry
О’Нил, Юджин Гладстон	Eugene O'Neill
Эукариоты	Eukaryote
Евнух	Eunuch
Эвфемизм	Euphemism
Евфрат	Euphrates
Евразия (континент)	Eurasia
Барсук	Eurasian Badger
Еврипид	Euripides
Евро	Euro
Европа (спутник)	Europa (moon)
Европа (мифология)	Europa (mythology)
Европа	Europe
Категория:Европа	Europe
Европейский центральный банк	European Central Bank
Европейское сообщество	European Community
Обыкновенная сорока	European Magpie
Европейский Союз	European Union
Категория:Европейский союз	European Union
Европий	Europium
Евсевий Кесарийский	Eusebius of Caesarea
Эвтерпа	Euterpe
Эвтаназия	Euthanasia
Браун, Ева Анна Паула	Eva Braun
Evanescence	Evanescence
Торричелли, Евангелиста	Evangelista Torricelli
Испарение	Evaporation
Парнокопытные	Even-toed ungulate
Эволюция	Evolution
Экскалибур	Excalibur
Валютный курс	Exchange rate
Восклицательный знак	Exclamation mark
Отлучение от церкви	Excommunication
Исполнительная власть	Executive (government)
Эксгибиционизм	Exhibitionism
Экзистенциализм	Existentialism
Книга Исход	Exodus
Математическое ожидание	Expected value
Эксперимент	Experiment
Взрыв	Explosion
Всемирная выставка	Expo (exhibition)
Показательная функция	Exponential function
Возведение в степень	Exponentiation
Экспрессионизм	Expressionism
Вымирание	Extinction
Глаз	Eye
Категория:Глаз	Eye
Паунд, Эзра Лумис	Ezra Pound
F (латиница)	F
Фицджеральд, Фрэнсис Скотт	F. Scott Fitzgerald
Бобовые (семейство)	Fabaceae
Басня	Fable
Лицо (часть тела)	Face
Шаблон:Нет источника	Fact
Факториал	Factorial
Фабрика	Factory
Солнечные пятна	Facula
Фаду	Fado
Категория:Буковые	Fagaceae
Букоцветные	Fagales
Градус Фаренгейта	Fahrenheit
Добросовестное использование	Fair use
Фея	Fairy
Сказка	Fairy tale
Соколы	Falcon
Соколообразные	Falconiformes
Фолклендские (Мальвинские) острова	Falkland Islands
Фаллопиевы трубы	Fallopian tube
Лань	Fallow Deer
Фалуньгун	Falun Gong
Категория:Семья	Family
Семейство	Family (biology)
Генеалогия	Family history
Фамилия	Family name
Фэнтези	Fantasy
Дальний Восток	Far East
Фарад	Farad
Категория:Фарерские острова	Faroe Islands
Фашизм	Fascism
Категория:Фашизм	Fascism
Категория:Мода	Fashion
Мода	Fashion
Фастфуд	Fast food
Пост	Fasting
ФАТХ	Fatah
Жирные кислоты	Fatty acid
Разлом	Fault (geology)
Фовизм	Fauvism
Факс	Fax
Страх	Fear
Перо	Feather
Февраль	February
12 февраля	February 12
14 февраля	February 14
2 февраля	February 2
22 февраля	February 22
29 февраля	February 29
Февральская революция	February Revolution
Кал	Feces
Федеральное бюро расследований	Federal Bureau of Investigation
Федеральная резервная система (США)	Federal Reserve System
Федеративные Штаты Микронезии	Federated States of Micronesia
Категория:Федеративные Штаты Микронезии	Federated States of Micronesia
Федерация	Federation
Феллини, Федерико	Federico Fellini
Fedora	Fedora (Linux distribution)
Обратная связь	Feedback
Полевые шпаты	Feldspar
Кошачьи	Felidae
Мендельсон, Феликс	Felix Mendelssohn
Феминизм	Feminism
Категория:Феминизм	Feminism
Фехтование	Fencing
Фэншуй	Feng shui
Фенхель	Fennel
Фенрир	Fenrir
Пажитник сенной	Fenugreek
Фердинанд II (император Священной Римской империи)	Ferdinand II
Магеллан, Фернан	Ferdinand Magellan
Соссюр, Фердинанд де	Ferdinand de Saussure
Брожение	Fermentation (biochemistry)
Брожение	Fermentation (food)
Фермион	Fermion
Фермий	Fermium
Папоротниковидные	Fern
Феррара	Ferrara
Паром	Ferry
Плодородный полумесяц	Fertile Crescent
Половой процесс	Fertilisation
Удобрение	Fertilizer
Плод (анатомия)	Fetus
Феодализм	Feudalism
Лихорадка	Fever
Fiat (компания)	Fiat
Числа Фибоначчи	Fibonacci number
Категория:Вымысел	Fiction
Персонаж	Fictional character
Кастро, Фидель	Fidel Castro
Поле (алгебра)	Field (mathematics)
Хоккей на траве	Field hockey
Истребитель	Fighter aircraft
Фигурное катание	Figure skating
Фиджи	Fiji
Категория:Фиджи	Fiji
