English	Marathi
Mediterranean Sea	भूमध्य समुद्र
Mel Gibson	मेल गिब्सन
Menachem Begin	मेनाकेम बेगिन
Mercury (planet)	बुध ग्रह
Meryl Streep	मेरिल स्ट्रीप
Mesopotamia	मेसोपोटेमिया
Metre	मीटर
Mexico	मेक्सिको
Mexico	वर्ग:मेक्सिको
Mexico City	मेक्सिको सिटी
Miami	मायामी
Mica	अभ्रक
Michigan	मिशिगन
Microscope	सूक्ष्मदर्शक
Miguel de Cervantes	मिगेल सर्व्हान्तेस
Mikhail Gorbachev	मिखाईल गोर्बाचेव्ह
Milan	मिलान
Miles Davis	माइल्स डेव्हिस
Milky Way	आकाशगंगा
Millard Fillmore	मिलार्ड फिलमोर
Million	नियुत
Ming Dynasty	मिंग राजवंश
Minneapolis	मिनीयापोलिस
Minnesota	मिनेसोटा
Minsk	मिन्‍स्‍क
Mississippi	वर्ग:मिसिसिपी
Missouri	मिसूरी
Missouri	वर्ग:मिसूरी
Molecule	रेणू
Molybdenum	मॉलिब्डेनम
Monaco	मोनॅको
Mongolia	मंगोलिया
Mongolia	वर्ग:मंगोलिया
Monica Seles	मोनिका सेलेस
Monosodium glutamate	मोनोसोडियम ग्लुटामेट
Montana	मॉँटाना
Montana	वर्ग:मॉँटाना
Montenegro	मॉन्टेनिग्रो
Montreal	माँत्रियाल
Moon	चंद्र
Morocco	मोरोक्को
Morocco	वर्ग:मोरोक्को
Moscow	मॉस्को
Mosque	मशीद
Mother	आई
Mother Teresa	मदर तेरेसा
Mount Everest	एव्हरेस्ट
Mount Vesuvius	व्हेसुव्हियस
Mumbai	मुंबई
Museum	संग्रहालय
Music	संगीत
Myanmar	वर्ग:म्यानमार
N'Djamena	न्द्जामेना
Nagasaki	नागासाकी
Nagoya	नागोया
Nairobi	नैरोबी
Namibia	नामिबिया
Namibia	वर्ग:नामिबिया
Nanotechnology	अतिसूक्ष्मतंत्रज्ञान
Nature	निसर्ग
Nauru	नौरू
Nauru	वर्ग:नौरू
Nazi Party	नाझी पक्ष
Nebraska	नेब्रास्का
Nebraska	वर्ग:नेब्रास्का
Nelson Mandela	नेल्सन मंडेला
Neon	नियॉन
Nepal	नेपाळ
Nepal	वर्ग:नेपाळ
Neptune	नेपच्यून ग्रह
Nero	नीरो
Nerva	नर्व्हा
Netherlands	नेदरलँड्स
Netherlands	वर्ग:नेदरलँड्स
Neuron	चेतापेशी
Nevada	नेव्हाडा
Neville Chamberlain	नेव्हिल चेम्बरलेन
New Hampshire	न्यू हॅम्पशायर
New Hampshire	वर्ग:न्यू हॅम्पशायर
New Jersey	न्यू जर्सी
New Jersey	वर्ग:न्यू जर्सी
New Mexico	न्यू मेक्सिको
New Mexico	वर्ग:न्यू मेक्सिको
New World	नवे जग
New Zealand	न्यू झीलँड
New Zealand	वर्ग:न्यू झीलँड
Newfoundland and Labrador	न्यू फाउंडलंड
Niamey	नॅय्मे
Nicaragua	वर्ग:निकाराग्वा
Nickel	निकेल
Nicolaus Copernicus	निकोलस कोपर्निकस
Niels Bohr	नील्स बोर
Niels Henrik Abel	नील्स हेन्रिक एबेल
Nigeria	वर्ग:नायजेरिया
Nike	नाईके
Nikita Khrushchev	निकिता ख्रुश्चेव्ह
Nikola Tesla	निकोला टेसला
Nile	नाईल नदी
Nitrogen	नायट्रोजन
Nobel Prize	नोबेल पुरस्कार
Nobelium	नोबेलियम
North	उत्तर दिशा
North America	उत्तर अमेरिका
North America	वर्ग:उत्तर अमेरिका
North Carolina	नॉर्थ कॅरोलिना
North Dakota	नॉर्थ डकोटा
North Dakota	वर्ग:नॉर्थ डकोटा
North Korea	उत्तर कोरिया
North Korea	वर्ग:उत्तर कोरिया
North Sea	उत्तर समुद्र
Northern Hemisphere	उत्तर गोलार्ध
Northern Mariana Islands	नॉर्दर्न मेरियाना आयलँड्स
Norway	नॉर्वे
Norwegian krone	नॉर्वेजियन क्रोन
Noun	नाम
November	नोव्हेंबर
November 1	नोव्हेंबर १
November 11	नोव्हेंबर ११
November 2	नोव्हेंबर २
November 5	नोव्हेंबर ५
Nuremberg	न्युरेंबर्ग
Ocean	महासागर
October	ऑक्टोबर
October 12	ऑक्टोबर १२
October 24	ऑक्टोबर २४
Oder River	ओडर नदी
Odyssey	ओडिसी
Ohio	ओहायो
Ohio	वर्ग:ओहायो
Oklahoma	ओक्लाहोमा
Oklahoma	वर्ग:ओक्लाहोमा
Oklahoma City	ओक्लाहोमा सिटी
Oliver Cromwell	ऑलिव्हर क्रॉमवेल
Oliver Stone	ऑलिव्हर स्टोन
Olympic Games	ऑलिंपिक
Oman	वर्ग:ओमान
Omsk	ओम्स्क
Onion	कांदा
Ontario	ऑन्टारियो
Oregon	ओरेगॉन
Oregon	वर्ग:ओरेगॉन
Orissa	ओरिसा
Ornithology	पक्षीशास्त्र
Osaka	ओसाका
Osama bin Laden	ओसामा बिन लादेन
Oscar Wilde	ऑस्कर वाइल्ड
Oslo	ऑस्लो
Ottawa	ओटावा
Otto Hahn	ऑट्टो हान
Otto von Bismarck	ओटो फॉन बिस्मार्क
Oxygen	ऑक्सिजन
Pablo Picasso	पाब्लो पिकासो
Pacific Ocean	प्रशांत महासागर
Pakistan	पाकिस्तान
Pakistan	वर्ग:पाकिस्तान
Palermo	पालेर्मो
Palladium	पॅलॅडियम
Panama	पनामा
Panama	वर्ग:पनामा
Panama Canal	पनामा कालवा
Panama City	पनामा सिटी
Pangaea	पँजिआ
Paraguay	पेराग्वे
Paraguay	वर्ग:पेराग्वे
Paris	पॅरिस
Parvati	पार्वती
Paul McCartney	पॉल मॅककार्टनी
Penicillin	पेनिसिलिन
Pennsylvania	पेनसिल्व्हेनिया
Pennsylvania	वर्ग:पेनसिल्व्हेनिया
People's Republic of China	चीन
Percy Bysshe Shelley	पर्सी शेली
Perth	पर्थ
Peru	पेरू देश
Peru	वर्ग:पेरू देश
Philipp Lenard	फिलिप लेनार्ड
Philippines	फिलिपाईन्स
Philippines	वर्ग:फिलिपाईन्स
Philosophy	तत्त्वज्ञान
Phnom Penh	फ्नॉम पेन्ह
Phosphorus	फॉस्फरस
Photosynthesis	प्रकाशसंश्लेषण
Physics	वर्ग:भौतिकशास्त्र
Pi	पाय, अव्यय राशी (π)
Pierre Curie	पियरे क्युरी
Pineapple	अननस
Pittsburgh	पिट्सबर्ग
Planet	ग्रह
Pluto	प्लूटो ग्रह
Plutonium	प्लुटोनियम
Po River	पो नदी
Poland	पोलंड
Poland	वर्ग:पोलंड
Politics	वर्ग:राजकारण
Pollution	प्रदूषण
Polo	पोलो
Pope Alexander VI	पोप अलेक्झांडर सहावा
Port-au-Prince	पोर्ट-औ-प्रिन्स
Portugal	पोर्तुगाल
Portugal	वर्ग:पोर्तुगाल
Potato	बटाटा
Pound sterling	ब्रिटिश पाउंड
Precipitation (meteorology)	वर्षाव (वायुचक्रशास्त्र)
Promethium	प्रोमेथियम
Psychology	मानसशास्त्र
Puerto Rico	पोर्तोरिको
Punctuation	विरामचिन्हे
Punjab (India)	पंजाब
Pyongyang	प्याँगयांग
Qin Dynasty	छिन् राजवंश
Qing Dynasty	छिंग राजवंश
Quantum mechanics	पुंज यामिक
Queen (chess)	वजीर (बुद्धिबळ)
Quito	क्विटो
Ra	रा
Rabindranath Tagore	रवींद्रनाथ टागोर
Rain	पाऊस
Rainbow	इंद्रधनुष्य
Rama	राम
Ramayana	रामायण
Rawalpindi	रावळपिंडी
Red	निळा
Religion	धर्म
Rembrandt	रेम्ब्राँ फान रेन
Republic of Ireland	वर्ग:आयर्लंड
Rhine	र्‍हाइन नदी
Rhinoceros	गेंडा
Rhode Island	र्‍होड आयलंड
Rhode Island	वर्ग:र्‍होड आयलंड
Rhodes	र्‍होड्स
Rhodium	र्‍होडियम
Richard Feynman	रिचर्ड फाइनमन
Richard Nixon	रिचर्ड निक्सन
Richard Wagner	रिचर्ड वॅग्नर
Richmond	रिचमंड
Riga	रिगा
Ringo Starr	रिंगो स्टार
Rio Grande	रियो ग्रांदे
Rio de Janeiro	रियो दि जानेरो
Riyadh	रियाध
Robert Burns	रॉबर्ट बर्न्स
Robert Louis Stevenson	रॉबर्ट लुई स्टीवन्सन
Robert Redford	रॉबर्ट रेडफोर्ड
Romania	रोमेनिया
Romania	वर्ग:रोमेनिया
Rome	रोम
Ronald Reagan	रोनाल्ड रेगन
Rook (chess)	हत्ती (बुद्धिबळ)
Rotterdam	रॉटरडॅम
Royal Air Force	रॉयल एर फोर्स
Rudyard Kipling	रुड्यार्ड किप्लिंग
Russia	रशिया
Russia	वर्ग:रशिया
Rutherford B. Hayes	रदरफोर्ड बी. हेस
Rwanda	र्‍वान्डा
Rwanda	वर्ग:र्‍वांडा
Saint Kitts and Nevis	सेंट किट्स आणि नेविस
Saint Petersburg	सेंट पीटर्सबर्ग
Salman Rushdie	सलमान रश्दी
Salt Lake City	सॉल्ट लेक सिटी
Samuel F. B. Morse	सॅम्युएल मॉर्स
Samurai	सामुराई
San Antonio	सान अँटोनियो
San Francisco	सान फ्रांसिस्को
San Marino	सान मारिनो
Sanskrit	संस्‍कृत भाषा
Sapporo	सप्पोरो, होक्कियाडो
Sarah Bernhardt	सारा बर्नहार्ट
Saskatchewan	सास्काचेवान
Saturn	शनी ग्रह
Saudi Arabia	सौदी अरेबिया
Saudi Arabia	वर्ग:सौदी अरेबिया
Scandium	स्कॅन्डियम
Scotland	स्कॉटलंड
Scotland	वर्ग:स्कॉटलंड
Season	ऋतू
Seattle	सिअॅटल, वॉशिंग्टन
Second	सेकंद
Selenium	सेलेनियम
Seleucus I Nicator	सेल्युकस निकेटर
Senegal	सेनेगाल
Senegal	वर्ग:सेनेगाल
Seoul	सोल
September	सप्टेंबर
September 11	सप्टेंबर ११
September 29	सप्टेंबर २९
Serbia	वर्ग:सर्बिया
Set theory	संचप्रवाद
Sex	कामजीवन
Sex organ	गुप्तांग
Sherlock Holmes	शेरलॉक होम्स
Shiva	शिव
Siberia	सायबेरिया
Sierra Leone	सियेरा लिओन
Sierra Leone	वर्ग:सियेरा लिओन
Sigrid Undset	सिग्रिड उंडसेट
Sikhism	शीख धर्म
Sikkim	सिक्किम
Silicon	सिलिकॉन
Silver	चांदी
Singapore	सिंगापूर
Singapore	वर्ग:सिंगापूर
Sleep	झोप
Slovakia	वर्ग:स्लोव्हेकिया
Slovenia	स्लोव्हेनिया
Slovenia	वर्ग:स्लोव्हेनिया
Small intestine	लहान आतडे
Snake	साप
Socialism	समाजवाद
Sodium	सोडियम
Softball	सॉफ्टबॉल
Solar System	सूर्यमाला
Solomon Islands	वर्ग:सोलोमन द्वीपे
Somalia	सोमालिया
Somalia	वर्ग:सोमालिया
Sophia Loren	सोफिया लॉरेन
Soul	आत्मा
Sound	आवाज (ध्वनी)
South Africa	वर्ग:दक्षिण आफ्रिका
South America	दक्षिण अमेरिका
South America	वर्ग:दक्षिण अमेरिका
South Carolina	साउथ कॅरोलिना
South Carolina	वर्ग:साउथ कॅरोलिना
South Dakota	साउथ डकोटा
South Dakota	वर्ग:साउथ डकोटा
South Korea	दक्षिण कोरिया
South Korea	वर्ग:दक्षिण कोरिया
Soviet Union	सोवियेत संघ
Soviet Union	वर्ग:सोवियेत संघ
Spain	स्पेन
Spain	वर्ग:स्पेन
Sport	खेळ
Square (geometry)	चौरस
Sri Lanka	श्रीलंका
Sri Lanka	वर्ग:श्रीलंका
Star	तारा
Statistics	संख्याशास्त्र
Steam	बाष्प
Steffi Graf	स्टेफी ग्राफ
Stephen Hawking	स्टीफन हॉकिंग
Steven Spielberg	स्टीव्हन स्पीलबर्ग
Stockholm	स्टॉकहोम
Stomach	जठर
Stress (medicine)	तणाव
Stuttgart	श्टुटगार्ट
Sudoku	सुडोकू
Suharto	सुहार्तो
Sukarno	सुकर्णो
Sulfur	सल्फर
Sumatra	सुमात्रा
Summer	उन्हाळा
Sun	सूर्य
Supreme Court of the United States	अमेरिकेचे सर्वोच्च न्यायालय
Suriname	वर्ग:सुरिनाम
Sweden	स्वीडन
Sweden	वर्ग:स्वीडन
Swedish krona	स्वीडिश क्रोना
Swiss franc	स्विस फ्रँक
Switzerland	स्वित्झर्लंड
Switzerland	वर्ग:स्वित्झर्लंड
Syllable	साहाय्य:संपादन
Syria	सिरीया
Syria	वर्ग:सिरीया
T. S. Eliot	टी.एस. इलियट
Tagus	ताहो नदी
Taj Mahal	ताजमहाल
Tajikistan	ताजिकिस्तान
Tajikistan	वर्ग:ताजिकिस्तान
Tamil Nadu	तामीळनाडू
Tanzania	टांझानिया
Tanzania	वर्ग:टांझानिया
Tasmania	तास्मानिया
Taste	चव
Tehran	तेहरान
Telephone	दूरध्वनी
Tellurium	टेलरियम
Temple of Artemis	आर्टेमिसचे मंदिर
Tennessee	टेनेसी
Tennessee	वर्ग:टेनेसी
Tennis	वर्ग:टेनिस
Tenzing Norgay	तेनझिंग नॉर्गे
Texas	टेक्सास
Texas	वर्ग:टेक्सास
Thailand	थायलंड
Thailand	वर्ग:थायलंड
The Gambia	गांबिया
The Hague	हेग
Theodosius I	थियोडोसियस पहिला
Theory of relativity	सापेक्षतावादाचा सिद्धांत
Thomas Edison	थॉमस अल्वा एडिसन
Thomas Jefferson	थॉमस जेफरसन
Tiber	ऍनियेन नदी
Tiberius	तिबेरियस
Tibet	वर्ग:तिबेट
Tiger	वाघ
Tigris	तैग्रिस नदी
Time	काळ
Time	वर्ग:काळ
Time zone	आंतरराष्ट्रीय कालविभाग
Tin	टिन
Tirana	तिराना
Titania (moon)	टायटेनिया
Titanium	टायटॅनियम
Titus	टायटस
Tokyo	टोक्यो
Tom Hanks	टॉम हँक्स
Tony Blair	टोनी ब्लेर
Toronto	टोरोंटो
Toulouse	तुलू
Toyota	टोयोटा मोटर कंपनी
Trajan	ट्राजान
Triangle	त्रिकोण
Tributary	उपनदी
Trinidad	त्रिनिदाद
Trinidad and Tobago	त्रिनिदाद व टोबॅगो
Trinidad and Tobago	वर्ग:त्रिनिदाद
Tripoli	ट्रिपोली
Troy	ट्रॉय
Tsunami	त्सुनामी
Tuberculosis	क्षय रोग
Tungsten	टंग्स्टन
Tunis	ट्युनिस
Tunisia	ट्युनिसिया
Tunisia	वर्ग:ट्युनिसीया
Turin	तोरिनो
Turkey	तुर्कस्तान
Turkey	वर्ग:तुर्कस्तान
Turkmenistan	वर्ग:तुर्कमेनिस्तान
Turmeric	हळद
UNESCO	युनेस्को
Uganda	वर्ग:युगांडा
Ukraine	वर्ग:युक्रेन
Ulan Bator	उलानबातर
Ultraviolet	अतीनील किरणे
Ulysses S. Grant	युलिसिस एस. ग्रँट
United Arab Emirates	संयुक्त अरब अमिराती
United Arab Emirates	वर्ग:संयुक्त अरब अमीराती
United Kingdom	वर्ग:युनायटेड किंग्डम
United Nations	संयुक्त राष्ट्रे
United States	अमेरिकेची संयुक्त संस्थाने
United States	वर्ग:अमेरिकेची संयुक्त संस्थाने
United States Congress	अमेरिकन कॉँग्रेस
United States dollar	अमेरिकन डॉलर
Upanishad	उपनिषदे
Ural Mountains	उरल पर्वत
Urdu	उर्दू भाषा
Utah	युटा
Utah	वर्ग:युटा
Uterus	गर्भाशय
Uttar Pradesh	उत्तर प्रदेश
Uzbekistan	उझबेकिस्तान
Uzbekistan	वर्ग:उझबेकिस्तान
Vanadium	व्हेनेडियम
Vancouver	व्हॅनकुवर
Vatican City	व्हॅटिकन सिटी
Venezuela	व्हेनेझुएला
Venezuela	वर्ग:व्हेनेझुएला
Venice	व्हेनिस
Venus	शुक्र ग्रह
Vermont	व्हरमाँट
Vermont	वर्ग:व्हर्मॉँट
Vertebrate	पृष्ठवंशी प्राणी
Victor Hugo	व्हिक्टर ह्युगो
Vienna	व्हियेना
Vietnam	व्हियेतनाम
Vietnam	वर्ग:व्हियेतनाम
Vilnius	व्हिल्नियस
Vincent van Gogh	फिन्सेंत फां गोघ
Violin	व्हायोलिन
Virginia	व्हर्जिनिया
Virginia	वर्ग:व्हर्जिनिया
Virginia Woolf	व्हर्जिनिया वूल्फ
Virus	विषाणू
Vishnu	विष्णु
Vistula	व्हिस्चुला नदी
Vitamin	जीवनसत्त्व
Vitamin A	अ-जीवनसत्त्व
Vitamin D	ड-जीवनसत्त्व
Vladimir Lenin	व्लादिमिर इलिच लेनिन
Volleyball	वॉलीबॉल
Voltaire	व्होल्तेर
W. Somerset Maugham	सॉमरसेट मॉम
Wales	वेल्स
Walter Scott	वॉल्टर स्कॉट
Warsaw	वॉर्सो
Washington	वॉशिंग्टन डी.सी.
Washington	वॉशिंग्टन राज्य
Washington	वर्ग:वॉशिंग्टन राज्य
Water	पाणी
Water polo	वॉटर पोलो
Watermelon	टरबूज
Weather	हवामान
Web browser	इंटरनेट ब्राउझर
West	पश्चिम दिशा
West Bengal	पश्चिम बंगाल
West Virginia	वेस्ट व्हर्जिनिया
West Virginia	वर्ग:वेस्ट व्हर्जिनिया
White House	व्हाइट हाउस
Wildcat	रानमांजर
Wilhelm Ostwald	विल्हेल्म ओस्टवाल्ड
William Golding	विल्यम गोल्डिंग
William Howard Taft	विल्यम हॉवार्ड टाफ्ट
William McKinley	विल्यम मॅककिन्ली
William Rowan Hamilton	विल्यम रोवन हॅमिल्टन
William Shakespeare	विल्यम शेक्सपियर
Windhoek	विंडहोक
Wine	ग्रेप वाईन
Winnipeg	विनिपेग
Winston Churchill	विन्स्टन चर्चिल
Winter	हिवाळा
Wisconsin	विस्कॉन्सिन
Wisconsin	वर्ग:विस्कॉन्सिन
Woodrow Wilson	वूड्रो विल्सन
Woody Allen	वूडी ऍलन
World Bank	जागतिक बँक
World Trade Organization	जागतिक व्यापार संघटना
World War I	पहिले महायुद्ध
World War II	दुसरे महायुद्ध
Wyoming	वायोमिंग
Wyoming	वर्ग:वायोमिंग
X-ray	क्ष-किरण
Xenon	झेनॉन
Yangon	रंगून
Yemen	यमनचे प्रजासत्ताक
Yerevan	येरेवान
Yoga	योग
Yokohama	योकोहामा
Yuan Dynasty	युआन राजवंश
Yuri Gagarin	युरी गागारिन
Zeus	झ्यूस
Zimbabwe	झिम्बाब्वे
Zimbabwe	वर्ग:झिम्बाब्वे
Zinc	झिंक
