English	Swedish
Black Kite	Brun glada
Black Sea	Svarta havet
Black Stork	Svart stork
Black body	Svartkroppsstrålning
Black hole	Svart hål
Black pepper	Pepparplanta
Blackbird	Koltrast
Blaise Pascal	Blaise Pascal
Blender (software)	Blender
Blindness	Blindhet
Blitzkrieg	Blixtkrig
Bloemfontein	Bloemfontein
Blog	Blogg
Blood	Blod
Blood plasma	Blodplasma
Blood pressure	Blodtryck
Blood type	Blodgrupper
Blood vessel	Blodkärl
Blue	Blå
Blue Whale	Blåval
Blues	Blues
Boar	Vildsvin
Board game	Brädspel
Boat	Båt
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bobby Fischer	Bobby Fischer
Bobsleigh	Bob (sport)
Bodhisattva	Bodhisattva
Body mass index	BMI
Bodybuilding	Bodybuilding
Bohemia	Böhmen
Bohrium	Bohrium
Boiling point	Kokpunkt
Boise	Boise
Boletus edulis	Stensopp
Bolivia	Bolivia
Bolivia	Kategori:Bolivia
Bollywood	Bollywood
Bologna	Bologna
Bolshevik	Bolsjevik
Bolzano	Bolzano
Bomb	Bomb
Bomber	Bombflygplan
Bombyx mori	Silkesfjäril
Bond (finance)	Obligation
Bone	Ben (skelett)
Bone marrow	Benmärg
Bonn	Bonn
Bonsai	Bonsai
Book	Bok
Book of Esther	Esters bok
Book of Joshua	Josua
Book of Judges	Domarboken
Book of Mormon	Mormons bok
Book of Numbers	Fjärde Moseboken
Book of Revelation	Uppenbarelseboken
Book of Ruth	Ruts bok
Boolean algebra (structure)	Boolesk algebra
Boomerang	Bumerang
Bordeaux	Bordeaux
Boris Godunov	Boris Godunov
Boris Pasternak	Boris Pasternak
Boris Spassky	Boris Spasskij
Borneo	Borneo
Boron	Bor
Bosnia and Herzegovina	Bosnien och Hercegovina
Bosnia and Herzegovina	Kategori:Bosnien och Hercegovina
Boson	Boson
Bosporus	Bosporen
Boston	Boston
Boston Tea Party	Tebjudningen i Boston
Bot	Mall:Bot
Botanical garden	Botanisk trädgård
Botany	Botanik
Botany	Kategori:Botanik
Botswana	Botswana
Botswana	Kategori:Botswana
Bottle	Flaska
Bottlenose Dolphin	Öresvin
Bourgeoisie	Bourgeoisie
Bourgogne	Bourgogne
Bouvet Island	Bouvetön
Bovid	Slidhornsdjur
Bow (weapon)	Pilbåge
Bowling	Bowling
Boxer (dog)	Boxer
Boxers	Kategori:Boxare
Boxing	Boxning
Boxing	Kategori:Boxning
Boyle's law	Boyles lag
Bracket	Parentes
Braga	Braga
Brahma	Brahma
Brahmaputra River	Brahmaputra
Braille	Punktskrift
Brain	Hjärna
Brainstorming	Brainstorming
Bram Stoker	Bram Stoker
Brandenburg	Brandenburg
Brandy	Brandy (spritdryck)
Brass	Mässing
Brassicaceae	Korsblommiga växter
Brassiere	Behå
Bratislava	Bratislava
Braunschweig	Braunschweig
Brazil	Brasilien
Brazil	Kategori:Brasilien
Brazzaville	Brazzaville
Bread	Bröd
Breast	Bröstkörtlar
Breast cancer	Bröstcancer
Bremen	Bremen
Bremen (state)	Bremen (delstat)
Bremerhaven	Bremerhaven
Brescia	Brescia
Brest	Brest, Frankrike
Brest	Brest, Vitryssland
Brest	Brest
Bretagne	Bretagne
Brick	Murtegel
Bridge	Bro
Bridges	Kategori:Broar
Bridgetown	Bridgetown
Brigade	Brigad
Brighton	Brighton
Brindisi	Brindisi
Brisbane	Brisbane
Bristol	Bristol
British Columbia	British Columbia
British Empire	Brittiska imperiet
British Isles	Brittiska öarna
British Virgin Islands	Brittiska Jungfruöarna
British people	Kategori:Britter
Brno	Brno
Broadway (New York City)	Broadway
Broccoli	Broccoli
Bromine	Brom
Bronze	Brons
Bronze Age	Bronsåldern
Brooklyn	Brooklyn
Brooklyn Bridge	Brooklyn Bridge
Brown	Brun
Brown Bear	Brunbjörn
Brownian motion	Brownsk rörelse
Bruce Lee	Bruce Lee
Bruges	Brygge
Brunei	Brunei
Brunei	Kategori:Brunei
Brussels	Bryssel
Bubonic plague	Pest
Bucharest	Bukarest
Buckingham Palace	Buckingham Palace
Buckminster Fuller	Buckminster Fuller
Buckwheat	Bovete
Budapest	Budapest
Buddha	Buddha (titel)
Buddhism	Buddhism
Buddhism	Kategori:Buddhism
Buddy Holly	Buddy Holly
Buenos Aires	Buenos Aires
Buffalo	Buffalo, New York
Building	Byggnad
Bujumbura	Bujumbura
Bulgaria	Bulgarien
Bulgaria	Kategori:Bulgarien
Bumblebee	Humlor
Buoyancy	Arkimedes princip
Bureaucracy	Byråkrati
Burgomaster	Borgmästare
Burkina Faso	Burkina Faso
Burkina Faso	Kategori:Burkina Faso
Burma	Burma
Burma	Kategori:Burma
Burqa	Burka
Bursa	Bursa (stad)
Burundi	Kategori:Burundi
Bus	Buss
Bus (computing)	Buss (elektronisk term)
Business	Näringsliv
Businesspeople	Kategori:Personer inom näringsliv
Buster Keaton	Buster Keaton
Butane	Butan
Butter	Smör
Butterfly	Dagfjärilar
Butterfly effect	Fjärilseffekten
Bydgoszcz	Bydgoszcz
Byte	Byte (enhet)
Byzantine Empire	Kategori:Bysantinska riket
C	C
C (programming language)	C (programspråk)
C. S. Lewis	C.S. Lewis
CD (disambiguation)	CD (olika betydelser)
CHAOS (Linux distribution)	CHAOS
CN Tower	CN Tower
COBOL	COBOL
Cabaret	Kabaré
Cacao	Kakao
Cache	Cache
Cactus	Kaktusväxter
Cadmium	Kadmium
Cadmus	Kadmos
Caelum	Gravstickeln
Caesium	Cesium
Caffeine	Koffein
Cairo	Kairo
Cake	Tårta
Calabria	Kalabrien
Calais	Calais
Calcite	Kalkspat
Calcium	Kalcium
Calcium carbonate	Kalciumkarbonat
Calcium oxide	Kalciumoxid
Calculator	Miniräknare
Calculus	Matematisk analys
Caldera	Caldera
Calendar	Kalender
Caliber	Kaliber
California	Kalifornien
California	Kategori:Kalifornien
Californium	Californium
Caligula	Caligula
Caliph	Kalif
Caliphate	Kalifat
Calligraphy	Kalligrafi
Calliope	Kalliope
Callisto (moon)	Callisto
Callisto (mythology)	Kallisto
Calorie	Kalori
Calvados	Calvados
Calvary	Golgata
Calvin Coolidge	Calvin Coolidge
Calypso (mythology)	Kalypso
Cambodia	Kambodja
Cambodia	Kategori:Kambodja
Cambrian	Kambrium
Cambridge	Cambridge
Cambridge	Cambridge, Massachusetts
Cambridge (disambiguation)	Cambridge (olika betydelser)
Camel	Camelus
Camembert (cheese)	Camembert
Camera	Kamera
Cameroon	Kamerun
Cameroon	Kategori:Kamerun
Campania	Kampanien
Canada	Kanada
Canada	Kategori:Kanada
Canadian dollar	Kanadensisk dollar
Canal	Kanal
Canary Islands	Kanarieöarna
Canary Islands	Kategori:Kanarieöarna
Canberra	Canberra
Cancer	Cancer
Cancer (constellation)	Kräftan (stjärnbild)
Candela	Candela
Candle	Levande ljus
Canidae	Hunddjur
Canis Major	Stora hunden
Canis Minor	Lilla hunden
Cannabis	Cannabis
Cannabis (drug)	Cannabis
Cannes	Cannes
Cannibalism	Kannibalism
Cannon	Kanon
Canoe	Kanot
Canon (company)	Canon
Cantata	Kantat
Canterbury	Canterbury
Cantonese (linguistics)	Kantonesiska
Canute the Great	Knut den store
Capacitance	Kapacitans
Capacitor	Kondensator
Cape Canaveral	Cape Canaveral
Cape Horn	Kap Horn
Cape Town	Kapstaden
Cape Verde	Kap Verde
Cape Verde	Kategori:Kap Verde
Cape of Good Hope	Godahoppsudden
Capital	Huvudstad
Capital (economics)	Kapital
Capital punishment	Dödsstraff
Capitalism	Kapitalism
Cappadocia	Kappadokien
Capricornus	Stenbocken (stjärnbild)
Capsicum	Spanskpepparsläktet
Caracal	Ökenlo
Caracas	Caracas
Carambola	Carambola
Carat (mass)	Karat
Carat (purity)	Karat
Caravaggio	Caravaggio
Carbohydrate	Kolhydrat
Carbon	Kol
Carbon cycle	Kolcykeln
Carbon dioxide	Koldioxid
Carbon monoxide	Kolmonoxid
Carbonic acid	Kolsyra
Carboniferous	Karbon
Carboxylic acid	Karboxylsyra
Carburetor	Förgasare
Card game	Kortspel
Cardamom	Kardemumma
Cardiff	Cardiff
Cardinal (Catholicism)	Kardinal
Cardinal Richelieu	Armand-Jean du Plessis Richelieu
Cardiology	Kardiologi
Cardiology	Kategori:Kardiologi
Cardiovascular system	Kategori:Kardiovaskulära systemet
Caribbean	Västindien
Caribbean Sea	Karibiska havet
Caricature	Karikatyr
Carina (constellation)	Kölen (stjärnbild)
Carl David Anderson	Carl D. Anderson
Carl Jung	Carl Gustav Jung
Carl Lewis	Carl Lewis
Carl Maria von Weber	Carl Maria von Weber
Carl Orff	Carl Orff
Carnival	Karneval
Carnivora	Rovdjur
Carnivore	Köttätare
Carnivorous plant	Köttätande växter
Carolingian dynasty	Karolinger
Carolus Linnaeus	Carl von Linné
Carpathian Mountains	Karpaterna
Carrot	Morot
Carson City	Carson City
Cartagena	Cartagena, Spanien
Cartesian coordinate system	Kartesiskt koordinatsystem
Carthage	Karthago
Cartography	Kartografi
Cartography	Kategori:Kartografi
Cary Grant	Cary Grant
Caryophyllales	Caryophyllales
Casablanca	Casablanca
Cashew	Cashew
Casino	Kasino
Caspian Sea	Kaspiska havet
Cassandra	Kassandra
Cassiopeia (constellation)	Cassiopeja
Cast iron	Gjutjärn
Caste	Kast
Castile (historical region)	Kastilien
Castle	Borg
Castling	Rockad
Castries	Castries
Casus belli	Casus belli
Cat	Katt
Catalonia	Katalonien
Catalonia	Kategori:Katalonien
Catalysis	Katalysator
Cataphract	Katafrakt
Cataract	Grå starr
Catfish	Malartade fiskar
Catharism	Katarer
Cathedral	Katedral
Catherine Parr	Katarina Parr
Catherine of Aragon	Katarina av Aragonien
Cathode	Katod
Catholicism	Katolsk
Cattle	Nötkreatur
Cattle Egret	Kohäger
Catullus	Catullus
Caucasus	Kaukasien
Caucasus	Kategori:Kaukasien
Caucasus Mountains	Kaukasus
Cauliflower	Blomkål
Causality	Kausalitet
Cavalry	Kavalleri
Cave	Grotta
Caviar	Kaviar
Cayenne	Cayenne
Cayman Islands	Caymanöarna
Cecil Rhodes	Cecil Rhodes
Cedar	Cedersläktet
Celery	Selleri
Celestial equator	Himmelsekvator
Celestial mechanics	Kategori:Celest mekanik
Celestial mechanics	Celest mekanik
Celestial sphere	Stjärnhimmel
Celibacy	Celibat
Cell (biology)	Cell
Cell membrane	Cellmembran
Cell nucleus	Cellkärna
Cell wall	Cellvägg
Cello	Cello
Cellulose	Cellulosa
Celsius	Grad Celsius
Cement	Cement
Cemetery	Begravningsplats
Cenozoic	Kenozoikum
Census	Folkräkning
Centaur	Kentaurer
Centaurus	Kentauren
Center of mass	Masscentrum
Central Africa	Centralafrika
Central African Republic	Centralafrikanska republiken
Central African Republic	Kategori:Centralafrikanska republiken
Central America	Centralamerika
Central America	Kategori:Centralamerika
Central Intelligence Agency	CIA
Central Park	Central Park
Central Powers	Centralmakterna
Central bank	Centralbank
Central nervous system	Centrala nervsystemet
Central processing unit	CPU
Centre	Centre
Centriole	Centriol
Century	Sekel
Cephalopod	Bläckfiskar
Cepheus (constellation)	Cepheus
Ceramic	Keramik
Cerberus	Kerberos
Cereal	Spannmål
Cerebellum	Lillhjärnan
Ceres	Ceres
Ceres (dwarf planet)	1 Ceres
Ceres (mythology)	Ceres (mytologi)
Cerium	Cerium
Cesare Borgia	Cesare Borgia
Cestoda	Bandmaskar
Cetacea	Valar
Cetus	Valfisken (stjärnbild)
Chad	Tchad
Chad	Kategori:Tchad
Chaffinch	Bofink
Chair	Stol
Chalcedony	Kalcedon
Chamaeleon	Kameleonten
Chamois	Gems
Champagne (wine)	Blanc de noirs
Champagne-Ardenne	Champagne-Ardenne
Channel Tunnel	Kanaltunneln
Chaos (mythology)	Chaos
Charadriiformes	Vadarfåglar
Charlemagne	Karl den store
Charleroi	Charleroi
Charles	Charles av Storbritannien
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Fourier	Charles Fourier
Charles Lindbergh	Charles Lindbergh
Charles Peirce	Charles Peirce
Charles Thomson Rees Wilson	C.T.R. Wilson
Charles de Gaulle	Charles de Gaulle
Charles the Bald	Karl den skallige
Charleston	Charleston, West Virginia
Charlie Chaplin	Charlie Chaplin
Charlie Parker	Charlie Parker
Charlotte	Charlotte, North Carolina
Charmed	Förhäxad
Charon (moon)	Charon (måne)
Charon (mythology)	Charon
Chartres	Chartres
Chauvinism	Chauvinism
Che Guevara	Che Guevara
Chechnya	Tjetjenien
Chechnya	Kategori:Tjetjenien
Cheese	Ost
Cheetah	Gepard
Chelyabinsk	Tjeljabinsk
Chemical bond	Kemisk bindning
Chemical compound	Kemisk förening
Chemical element	Grundämne
Chemical engineering	Kemiteknik
Chemical formula	Summaformel
Chemical reaction	Kemisk reaktion
Chemical warfare	Kemiska vapen
Chemistry	Kemi
Chemistry	Kategori:Kemi
Chemnitz	Chemnitz
Chemotherapy	Kemoterapi
Chennai	Madras
Cheque	Check (betalningsmedel)
Chernobyl	Tjernobyl
Cherry	Körsbär
Chert	Flinta
Cherub	Kerub
Chess	Schack
Chess	Kategori:Schack
Chess opening	Schacköppning
Chester A. Arthur	Chester A. Arthur
Chestnut	Kastanjesläktet
Chewing gum	Tuggummi
Cheyenne	Cheyenne, Wyoming
Chi (letter)	Chi
Chiang Kai-shek	Chiang Kai-shek
Chicago	Chicago
Chicken	Höns
Chickenpox	Vattkoppor
Chickpea	Kikärt
Chihuahua	Chihuahua (delstat)
Child	Barn
Childbirth	Förlossning
Chile	Chile
Chile	Kategori:Chile
Chimborazo (volcano)	Chimborazo
Chimera (mythology)	Chimaira
Chimpanzee	Schimpanser
China	Kategori:Kina
China	Kina (region)
Chios	Chios
Chiron	Keiron
Chitin	Kitin
Chlorine	Klor
Chloroform	Kloroform
Chlorophyll	Klorofyll
Chloroplast	Kloroplast
Chocolate	Choklad
Choir	Kör
Cholera	Kolera
Cholesterol	Kolesterol
Chondrichthyes	Broskfiskar
Chongqing	Chongqing
Chord (music)	Ackord
Chordate	Ryggsträngsdjur
Christchurch	Christchurch, Nya Zeeland
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Christianity	Kristendom
Christianity	Kategori:Kristendom
Christmas	Jul
Christmas	Kategori:Jul
Christmas Eve	Julafton
Christmas tree	Julgran
Christopher Columbus	Christofer Columbus
Christopher Marlowe	Christopher Marlowe
Chromatin	Kromatin
Chromatography	Kromatografi
Chromium	Krom
Chromosome	Kromosom
Chuck Berry	Chuck Berry
Chukchi Sea	Tjuktjerhavet
Church	Kyrkan
Church (building)	Kyrka
Church of England	Engelska kyrkan
Cicero	Cicero
Ciconiiformes	Storkfåglar
Cider	Cider
Cigarette	Cigarett
Cinderella	Askungen
Cinnamon	Äkta kanel
Circe	Kirke
Circinus	Cirkelpassaren
Circle	Cirkel
Circulatory system	Kardiovaskulära systemet
Circumcision	Manlig omskärelse
Circus	Cirkus
Cirrhosis	Skrumplever
Citizenship	Medborgarskap
Citric acid	Citronsyra
Citric acid cycle	Citronsyracykeln
Citrus	Citrussläktet
City-state	Stadsstat
Civil war	Inbördeskrig
Civilization	Civilisation
Civilization (computer game)	Sid Meier's Civilization
Clarinet	Klarinett
Clark Gable	Clark Gable
Class	Klass
Class (biology)	Klass (biologi)
Class (computer science)	Klass (programmering)
Classical mechanics	Klassisk mekanik
Classical music	Klassisk musik
Classical music	Kategori:Klassisk musik
Classicism	Klassicism
Claude Monet	Claude Monet
Claude Shannon	Claude Shannon
Claudio Monteverdi	Claudio Monteverdi
Claudius	Claudius
Clavicle	Nyckelben
Clay	Lera
Clef	Klav
Clement Attlee	Clement Attlee
Cleopatra (disambiguation)	Kleopatra (olika betydelser)
Clergy	Klerk
Cleveland	Cleveland
Client-server	Klient–server
Climate	Klimat
Climate change	Klimatförändring
Climatology	Klimatologi
Climatology	Kategori:Klimatologi
Clinical depression	Depression
Clio	Klio
Clitoris	Klitoris
Clock	Ur
Clock Tower	Big Ben
Cloning	Kloning
Clothing	Kategori:Kläder
Clothing	Kläder
Cloud	Moln
Clove	Kryddnejlika
Clover	Klövrar
Clovis I	Klodvig I
Cnidaria	Nässeldjur
Coal	Kol (bränsle)
Coast	Kust
Coat of arms	Heraldiskt vapen
Cobalt	Kobolt
Cocaine	Kokain
Coccinellidae	Nyckelpigor
Cockatoo	Kakaduor
Cockroach	Kackerlackor
Cocktail	Cocktail
Coconut	Kokospalm
Cocos (Keeling) Islands	Kokosöarna
Codeine	Kodein
Coffea	Kaffesläktet
Coffee	Kaffe
Coffee	Kategori:Kaffe
Cognac (drink)	Konjak
Cognitive psychology	Kognitiv psykologi
Cognitive science	Kognitionsvetenskap
Coin	Mynt
Cola	Cola
Colchis	Kolchis
Cold War	Kalla kriget
Cold War	Kategori:Kalla kriget
Colin Powell	Colin Powell
Collage	Collage
Collagen	Kollagen
Colloid	Kolloid
Cologne	Köln
Colombia	Colombia
Colombia	Kategori:Colombia
Colombo	Colombo
Colonel	Överste
Colony	Koloni
Color	Färg
Color blindness	Färgblindhet
Colorado	Colorado
Colorado	Kategori:Colorado
Colorado River	Coloradofloden
Colosseum	Colosseum
Colossus of Rhodes	Kolossen på Rhodos
Colubrid	Snokar
Columba (constellation)	Duvan
Columbia	Columbia, South Carolina
Columbia	Columbia
Columbia River	Columbiafloden
Columbia University	Columbia University
Columbidae	Duvor
Columbiformes	Kategori:Duvfåglar
Columbiformes	Duvfåglar
Columbus	Columbus, Ohio
Columbus	Columbus (olika betydelser)
Coma	Koma
Coma Berenices	Berenikes hår
Combustion	Förbränning
Comedy	Komedi
Comenius	Johan Amos Comenius
Comet	Komet
Comma (punctuation)	Kommatecken
Commedia dell'arte	Commedia dell'arte
Common Fig	Fikon
Common cold	Förkylning
Commonwealth of Independent States	Oberoende staters samvälde
Commonwealth of Nations	Samväldet
Communication	Kategori:Kommunikation
Communication	Kommunikation
Communism	Kommunism
Communism	Kategori:Kommunism
Comoros	Komorerna
Comoros	Kategori:Komorerna
Compact Disc	CD
Company (military unit)	Kompani
Compass	Kompass
Compass (drafting)	Passare
Competition	Konkurrens
Compiler	Kompilator
Complex instruction set computer	CISC
Complex number	Komplexa tal
Composer	Kompositör
Composite material	Komposit
Computed tomography	Datortomografi
Computer	Dator
Computer architecture	Datorarkitektur
Computer display	Bildskärm
Computer file	Fil (data)
Computer graphics	Kategori:Datorgrafik
Computer hardware	Maskinvara
Computer network	Datornätverk
Computer program	Datorprogram
Computer programming	Programmering
Computer programming	Kategori:Programmering
Computer science	Datavetenskap
Computer science	Kategori:Datavetenskap
Computer software	Programvara
Computer virus	Datorvirus
Computer-aided design	CAD
Computing	Kategori:Datasystem
Conakry	Conakry
Concentration	Koncentration
Concerto	Konsert (musikstycke)
Concord	Concord, New Hampshire
Concrete	Betong
Condom	Kondom
Conducting	Dirigent
Cone (geometry)	Kon
Confederate States of America	Amerikas konfedererade stater
Confederation	Konfederation
Confession	Botens sakrament
Confirmation	Konfirmation
Conflict	Konflikt
Confucianism	Konfucianism
Confucius	Konfucius
Congo	Kongo
Congo River	Kongofloden
Conic section	Kägelsnitt
Connecticut	Connecticut
Connecticut	Kategori:Connecticut
Connective tissue	Bindväv
Conquistador	Conquistador
Consensus	Konsensus
Conservation of energy	Energiprincipen
Conservatism	Konservatism
Consonant	Konsonant
Constantine I	Konstantin den store
Constantinople	Konstantinopel
Constellation	Stjärnbild
Constitution (political)	Grundlag
Consul	Konsul (Rom)
Consumption (economics)	Konsumtion
Contact lens	Kontaktlins
Continent	Världsdelar och kontinenter
Continental shelf	Kontinentalsockel
Contract bridge	Bridge
Convection	Konvektion
Cooking	Matlagning
Cooperative	Kooperativ
Coordinate system	Koordinatsystem
Coordinated Universal Time	Koordinerad universell tid
Copenhagen	Köpenhamn
Copper	Koppar
Copyright	Upphovsrätt
Cor anglais	Engelskt horn
Coraciiformes	Praktfåglar
Coral	Koralldjur
Coral Sea	Korallhavet
Coral reef	Korallrev
Coriander	Koriander
Corinth	Korinth
Coriolis effect	Corioliseffekten
Cork (city)	Cork
Cormorant	Skarvar
Cornea	Hornhinna
Cornell University	Cornell University
Cornwall	Cornwall
Corona Borealis	Norra kronan
Corrosion	Korrosion
Corsica	Korsika
Corundum	Korund
Corvette	Korvett
Corvidae	Kråkfåglar
Corvus (constellation)	Korpen (stjärnbild)
Cosmic microwave background radiation	Kosmisk bakgrundsstrålning
Cosmic ray	Kosmiska partiklar
Cosmology	Kosmologi
Cosmology	Kategori:Kosmologi
Costa Rica	Costa Rica
Costa Rica	Kategori:Costa Rica
Cotonou	Cotonou
Cotopaxi	Cotopaxi
Cotton	Bomullsläktet
Cougar	Puma
Coulomb	Coulomb
Coulomb's law	Coulombs lag
Council of Chalcedon	Konciliet i Chalcedon
Council of Ephesus	Konciliet i Efesus
Council of Trent	Tridentinska kyrkomötet
Counterpoint	Kontrapunkt
Country	Land
Country music	Countrymusik
Court	Domstol
Covalent bond	Kovalent bindning
Coventry	Coventry
Coyote	Prärievarg
Crab	Krabbor
Crab Nebula	Krabbnebulosan
Crane (bird)	Tranor
Crater (constellation)	Bägaren
Creationism	Kreationism
Cremona	Cremona
Cretaceous	Krita (geologi)
Crete	Kreta
Cricket	Cricket
Cricket (insect)	Syrsor
Crime	Brott
Crimea	Krim
Crimean War	Krimkriget
Criminal law	Kategori:Straffrätt
Criminal law	Straffrätt
Criminology	Kriminologi
Criminology	Kategori:Kriminologi
Croatia	Kroatien
Croatia	Kategori:Kroatien
Crocodile	Krokodiler
Crocodilia	Krokodildjur
Cronus	Kronos
Cross	Kors
Cross product	Kryssprodukt
Crossbow	Armborst
Crossword	Korsord
Crow	Kråkor
Crucifixion	Korsfästelse
Cruiser	Kryssare
Crust (geology)	Jordskorpa
Crustacean	Kräftdjur
Crux	Södra korset
Cryptography	Kryptografi
Cryptography	Kategori:Kryptologi
Crystal	Kristall
Ctenophore	Kammaneter
Cuba	Kuba
Cuba	Kategori:Kuba
Cube	Kub (geometri)
Cubic metre	Kubikmeter
Cubism	Kubism
Cuculiformes	Gökfåglar
Cucumber	Gurka
Cucurbitaceae	Gurkväxter
Cultural Revolution	Kulturrevolutionen
Culture	Kultur
Culture	Kategori:Kultur
Cumbria	Cumbria
Cumulus cloud	Cumulus
Curitiba	Curitiba
Curium	Curium
Curling	Curling
Currency	Kategori:Valutor
Currency	Valuta
Curry	Curry
Curve	Kurva
Cusco	Cusco
Cyan	Cyan
Cyanide	Cyanider
Cyanobacteria	Cyanobakterier
Cybele	Kybele
Cybernetics	Cybernetik
Cyberpunk	Cyberpunk
Cyclades	Kykladerna
Cycling	Cykelsport
Cycling	Kategori:Cykelsport
Cyclops	Cykloper
Cygnus (constellation)	Svanen (stjärnbild)
Cylinder (geometry)	Cylinder
Cyperaceae	Halvgräs
Cyprinid	Karpfiskar
Cypriniformes	Karpartade fiskar
Cyprus	Cypern
Cyprus	Kategori:Cypern
Cyrillic alphabet	Kyrilliska alfabetet
Cyrus the Great	Kyros II
Cystic fibrosis	Cystisk fibros
Cytoplasm	Cytoplasma
Cytosine	Cytosin
Cytoskeleton	Cellskelett
Czech Republic	Tjeckien
Czech Republic	Kategori:Tjeckien
Czechoslovakia	Tjeckoslovakien
Czechoslovakia	Kategori:Tjeckoslovakien
D	D
D. H. Lawrence	D.H. Lawrence
D. W. Griffith	D.W. Griffith
DDT	DDT
DNA	DNA
DOS	DOS
DVD	DVD
Dachshund	Tax
Dada	Dadaism
Daedalus	Daidalos
Dagger	Dolk
Daguerreotype	Daguerrotypi
Dakar	Dakar
Dalai Lama	Dalai lama
Dallas	Dallas
Dalmatia	Dalmatien
Dam	Dammbyggnad
Damascus	Damaskus
Dance	Dans
Dance	Kategori:Dans
Dandelion	Maskrosor
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
Daniel Ortega	Daniel Ortega
Danish krone	Dansk krona
Dante Alighieri	Dante Alighieri
Danube	Donau
Daphne	Dafne
Dar es Salaam	Dar es-Salaam
Dardanelles	Dardanellerna
Darfur	Darfur
Darjeeling	Darjeeling
Dark matter	Mörk materia
Darmstadtium	Darmstadtium
Darwin	Darwin, Australien
Darwin	Darwin
Das Kapital	Kapitalet
Data	Data (mönster)
Data mining	Data mining
Data structure	Datastruktur
Database	Databas
Database management system	Databashanterare
Date Palm	Dadelpalm
Dative case	Dativ
Daugavpils	Daugavpils
David	Kung David
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
David Ricardo	David Ricardo
Davis Cup	Davis Cup
Day	Dygn
Days	Kategori:Datum
De facto	De facto
Deacon	Diakon
Dead Sea	Döda havet
Dead Sea scrolls	Dödahavsrullarna
Deadly nightshade	Belladonna
Death	Döden
Death	Kategori:Döden
Decade	Decennium
December	December
December 31	31 december
December 8	8 december
Decibel	Decibel
Decimal	Decimala talsystemet
Decius (emperor)	Decius
Declination	Deklination (astronomi)
Deco	Deco
Deconstruction	Dekonstruktion
Deductive reasoning	Deduktion
Deer	Hjortdjur
Definition	Definition
Deflation	Deflation
Degree	Grad
Degree (angle)	Vinkelgrad
Deimos (moon)	Deimos (måne)
Deism	Deism
Delaware	Delaware
Delaware	Kategori:Delaware
Delft	Delft
Delhi	Delhi
Dell	Dell
Delphi	Delfi
Delphinus	Delfinen
Delta	Delta (olika betydelser)
Delta (letter)	Delta
Deluge (mythology)	Syndafloden
Demagogy	Demagogi
Dementia	Demens
Demeter	Demeter
Democracy	Demokrati
Democratic Party (United States)	Demokratiska partiet
Democratic Republic of the Congo	Kongo-Kinshasa
Democratic Republic of the Congo	Kategori:Kongo-Kinshasa
Democritus	Demokritos
Demography	Demografi
Demography	Kategori:Demografi
Demon	Demon
Demosthenes	Demosthenes
Deng Xiaoping	Deng Xiaoping
Dengue fever	Denguefeber
Denis Diderot	Denis Diderot
Denmark	Danmark
Denmark	Kategori:Danmark
Dennis Gabor	Dennis Gabor
Density	Densitet
Dental caries	Karies
Dentistry	Kategori:Odontologi
Dentistry	Tandvård
Denver	Denver
Derivative	Derivata
Dermatology	Dermatologi
Des Moines	Des Moines
Desert	Öken
Deserts	Kategori:Öknar
Desiderius Erasmus	Erasmus av Rotterdam
Design	Formgivning
Desmond Tutu	Desmond Tutu
Destroyer	Jagare
Determinant	Determinant
Determinism	Determinism
Detroit	Detroit
Deuterium	Deuterium
Deuteronomy	Femte Moseboken
Developmental psychology	Utvecklingspsykologi
Device driver	Drivrutin
Devon	Devon, England
Devonian	Devon (period)
Dew	Dagg
Dew point	Daggpunkt
Dewey Decimal Classification	Dewey Decimal Classification
Dhaka	Dacca
Dhaulagiri	Dhaulagiri
Dhole	Asiatisk vildhund
Diabetes mellitus	Diabetes
Diacritic	Diakritiskt tecken
Dialect	Dialekt
Dialectic	Dialektik
Dialectical materialism	Materialistisk dialektik
Diameter	Diameter
Diamond	Diamant
Diana	Prinsessan Diana
Diana (mythology)	Diana
Diarrhea	Diarré
Diaspora	Diaspora
Diatom	Kiselalger
Dice	Tärning
Dicotyledon	Tvåhjärtbladiga
Dictatorship	Diktatur
Dictionary	Ordbok
Diego Rivera	Diego Rivera
Diesel	Dieselolja
Diesel engine	Dieselmotor
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Differential equation	Differentialekvation
Diffraction	Diffraktion
Diffusion	Diffusion
Digestion	Matspjälkning
Digestive system	Kategori:Matspjälkning
Digital	Digital
Digital camera	Digitalkamera
Digital subscriber line	Digital Subscriber Line
Dijon	Dijon
Dill	Dill
Dimension	Dimension
Dingo	Dingo
Dinosaur	Dinosaurier
Diocese	Stift (kyrkligt förvaltningsområde)
Diocletian	Diocletianus
Diode	Diod
Dionysus	Dionysos
Diphtheria	Difteri
Diphthong	Diftong
Diplodocus	Diplodocus
Diplomacy	Diplomati
Diplomacy	Kategori:Diplomati
