English	Lithuanian
Kiribati	Kiribatis
Kiss	Bučinys
Kite	Aitvaras (įtaisas)
Knee	Kelis
Knife	Peilis
Knight (chess)	Žirgas (šachmatai)
Knossos	Knoso rūmai
Knot (speed)	Mazgas
Knowledge	Žinios
Knut Hamsun	Knut Hamsun
Koala	Koala
Kobe	Kobė
Kola Peninsula	Kolos pusiasalis
Kolkata	Kolkata
Komodo dragon	Komodo varanas
Konqueror	Konqueror
Konrad Adenauer	Konrad Adenauer
Korea	Korėja
Korea	Kategorija:Korėja
Korean War	Korėjos karas
Kosovo	Kosovas
Kosovo	Kategorija:Kosovas
Krakatoa	Krakatau
Kremlin	Kremlius
Krypton	Kriptonas
Ku Klux Klan	Kukluksklanas
Kuala Lumpur	Kvala Lumpūras
Kublai Khan	Kublaichanas
Kuiper belt	Koiperio juosta
Kumquat	Kinkanas
Kung fu (term)	Kung fu
Kunlun Mountains	Kunlunas
Kuomintang	Guomindanas
Kura River	Kura
Kurdistan	Kurdistanas
Kurdistan Workers Party	Kurdistano darbininkų partija
Kursk	Kurskas
Kurt Vonnegut	Kurt Vonnegut
Kuwait	Kuveitas
Kuwait	Kategorija:Kuveitas
Kuwait City	Kuveitas (miestas)
KwaZulu-Natal	Kvazulu-Natalis
Kyoto	Kiotas
Kyrgyzstan	Kirgizija
Kyrgyzstan	Kategorija:Kirgizija
L	L
LAMP (software bundle)	LAMP
La Paz	La Pasas
La Plata	La Plata (Argentinos miestas)
Laboratory	Laboratorija
Labour Party (UK)	Leiboristų partija
Labrador Retriever	Labradoro retriveris
Lacerta	Driežas (astronomija)
Lactic acid	Pieno rūgštis
Lactose	Laktozė
Lagomorpha	Kiškiažvėriai
Lagos	Lagosas
Lahore	Lahoras
Lake	Ežeras
Lake Baikal	Baikalo ežeras
Lake Chad	Čado ežeras
Lake Constance	Bodeno ežeras
Lake Erie	Eris
Lake Eyre	Eiro ežeras
Lake Geneva	Ženevos ežeras
Lake Huron	Huronas
Lake Ilmen	Ilmenis
Lake Ladoga	Ladoga
Lake Malawi	Malavio ežeras
Lake Michigan	Mičigano ežeras
Lake Onega	Onega
Lake Ontario	Ontarijo ežeras
Lake Superior	Aukštutinis ežeras
Lake Tanganyika	Tanganika (ežeras)
Lake Victoria	Viktorijos ežeras
Lakshmi	Lakšmė
Lambda	Lambda (raidė)
Lamiaceae	Notreliniai
Lamprey	Nėginės
Lancelet	Iešmutis
Landfill	Sąvartynas
Language	Kalba
Lansing	Lansingas
Lanthanide	Lantanoidai
Lanthanum	Lantanas
Laos	Laosas
Laos	Kategorija:Laosas
Laptev Sea	Laptevų jūra
Larch	Maumedis
Larva	Lerva
Larynx	Gerklos
Las Vegas	Las Vegas
Laser	Lazeris
Latin	Lotynų kalba
Latin America	Lotynų Amerika
Latin alphabet	Lotynų abėcėlė
Latitude	Platuma
Latvia	Latvija
Latvia	Kategorija:Latvija
Laurasia	Laurazija
Lausanne	Lozana
Lava	Lava
Law	teisė
Law	Kategorija:Teisė
Lawrencium	Laurencis
Lazio	Lacijus
Le Corbusier	Le Corbusier
Lead	Švinas
Leaf	Lapas
League of Nations	Tautų Sąjunga
Leaning Tower of Pisa	Pizos bokštas
Leap year	Keliamieji metai
Learning	Mokymasis
Lebanon	Libanas
Lebanon	Kategorija:Libanas
Leda (mythology)	Leda
Leeds	Lidsas
Legend	Legenda
Legislature	Įstatymų leidžiamoji valdžia
Leicester	Lesteris
Leiden	Leidenas
Leipzig	Leipcigas
Lemon	Tikrasis citrinmedis
Lemon balm	Vaistinė melisa
Lena River	Lena
Lens (optics)	Lęšis (optika)
Lentil	Valgomasis lęšis
Leo (constellation)	Liūtas (astronomija)
Leon Trotsky	Levas Trockis
Leonard Bernstein	Leonardas Bernstainas
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Leonid Brezhnev	Leonidas Brežnevas
Leopard	Leopardas
Lepidoptera	Drugiai
Lepton	Leptonas
Lepus (constellation)	Kiškis (astronomija)
Lesbian	Lesbietė
Lesotho	Lesotas
Lesotho	Kategorija:Lesotas
Lesser Antilles	Mažieji Antilai
Leto	Leto
Letter (alphabet)	Raidė
Leukemia	Leukemija
Levant	Levantas
Lever	Svertas
Leviathan	Leviatanas
Lewis Carroll	Lewis Carroll
Lexicology	Leksikologija
Lhasa	Lasa
Lhotse	Lotsė
Liberalism	Liberalizmas
Liberalism	Kategorija:Liberalizmas
Liberia	Liberija
Liberia	Kategorija:Liberija
Libra (constellation)	Svarstyklės (astronomija)
Library	Biblioteka
Libreville	Librevilis
Libya	Libija
Libya	Kategorija:Libija
Lichen	Kerpės
Lie	Melas
Liechtenstein	Lichtenšteinas
Liechtenstein	Kategorija:Lichtenšteinas
Life	Gyvybė
Life	Kategorija:Gyvybė
Light	Šviesa
Light-emitting diode	Šviesos diodas
Light-year	Šviesmetis
Lighter	Žiebtuvėlis
Lighthouse	Švyturys
Lightning	Žaibas
Liguria	Ligūrija
Ligurian Sea	Ligūrijos jūra
Liliaceae	Lelijiniai
Lilith	Lilita
Lille	Lilis
Lilongwe	Lilongvė
Lima	Lima
Limerick	Limerikas
Limestone	Klintis
Limit (mathematics)	Riba (matematika)
Limousin (region)	Limuzenas
Lincoln	Linkolnas
Lincoln	Linkolnas (reikšmės)
Line (mathematics)	Tiesė
Linear algebra	Tiesinė algebra
Lingua franca	Lingua franca
Linguistics	Kalbotyra
Linguistics	Kategorija:Kalbotyra
Linus Pauling	Linus Pauling
Linux	Linux
Linz	Lincas
Lion	Liūtas
Lipid	Lipidai
Liqueur	Likeris
Liquid	Skystis
Liquid crystal display	LCD monitorius
Liquorice	Paprastasis saldymedis
Lisbon	Lisabona
Lisp (programming language)	Lisp
Literature	Literatūra
Literature	Kategorija:Literatūra
Lithium	Litis
Lithography	Litografija
Lithosphere	Litosfera
Lithuania	Lietuva
Lithuania	Kategorija:Lietuva
Litre	Litras
Little Owl	Pelėdikė
Liverpool	Liverpulis
Livonia	Livonija
Livy	Titas Livijus
Lizard	Driežai
Ljubljana	Liubliana
Llama	Lama
Loanword	Skolinys
Loch Ness	Loch Nesas
Loch Ness Monster	Lochneso pabaisa
Locomotive	Lokomotyvas
Logarithm	Logaritmas
Logic	Logika
Logic	Kategorija:Logika
Logic gate	Loginis elementas
Logo	Logotipas
Loire	Luara (departamentas)
Loire River	Luara
Loki	Lokis
Lombardy	Lombardija
London	Londonas
London	Kategorija:Londonas
Long Beach	Long Byčas
Long-eared Owl	Mažasis apuokas
Lord's Prayer	Tėve mūsų
Lorraine (region)	Lotaringija
Los Angeles	Los Andželas
Lot (department)	Lo (departamentas)
Loudspeaker	Garsiakalbis
Louis Armstrong	Louis Armstrong
Louis Pasteur	Louis Pasteur
Louisiana	Luiziana
Louisville	Luizvilis
Louvre	Luvras
Love	Meilė
Lower Saxony	Žemutinė Saksonija
Luanda	Luanda
Lublin	Liublinas
Lucerne	Liucerna (Šveicarija)
Luciano Pavarotti	Luciano Pavarotti
Lucifer	Liuciferis
Ludwig Boltzmann	Liudvigas Bolcmanas
Ludwig Mies van der Rohe	Ludwig Mies van der Rohe
Ludwig Wittgenstein	Ludwig Wittgenstein
Ludwig van Beethoven	Ludwig van Beethoven
Luigi Pirandello	Luigi Pirandello
Lunar eclipse	Mėnulio užtemimas
Lund	Lundas
Lung	Plautis
Lungfish	Dvikvėpės žuvys
Lupus (constellation)	Vilkas (astronomija)
Lusaka	Lusaka
Lutetium	Lutecis
Lutheranism	Liuteronybė
Lux	Liuksas
Luxembourg	Liuksemburgas
Luxembourg	Kategorija:Liuksemburgas
Luxembourg (city)	Liuksemburgas (miestas)
Luxor	Luksoras
Luzon	Lusonas
Lychee	Kininis ličis
Lydia	Lydija
Lynx (constellation)	Lūšis (astronomija)
Lyon	Lionas
Lyra	Lyra (astronomija)
Lysergic acid diethylamide	LSD
Lysine	Lizinas
Lysosome	Lizosomos
M	M
M-theory	M teorija
MIME	MIME
MS-DOS	MS-DOS
Macau	Makao
Macedonia	Makedonija (reikšmės)
Macedonia (Greece)	Makedonija (Graikija)
Mach number	Macho skaičius
Machine code	Mašininis kodas (programavimas)
Machine gun	Kulkosvaidis
Machine translation	Automatinis vertimas
Machu Picchu	Maču Pikču
Macroeconomics	Makroekonomika
Macroeconomics	Kategorija:Makroekonomika
Madagascar	Madagaskaras
Madagascar	Kategorija:Madagaskaras
Madeira	Madeiros salos
Madison	Madisonas
Madonna (entertainer)	Madonna
Madrid	Madridas
Mafia	Mafija
Magazine	Žurnalas (spauda)
Maghreb	Magribas
Magic (paranormal)	Magija
Maginot Line	Mažino linija
Magma	Magma
Magna Carta	Magna Carta Libertatum
Magnesium	Magnis
Magnet	Magnetas
Magnetic field	Magnetinis laukas
Magnetism	Magnetizmas
Magnetism	Kategorija:Magnetizmas
Magnetite	Magnetitas
Maharashtra	Maharaštra
Mahatma Gandhi	Mohandas Gandhi
Mail	Paštas
Maine	Meinas
Mainframe computer	Universalieji kompiuteriai
Maize	Paprastasis kukurūzas
Major	Majoras
Makalu	Makalu
Malabo	Malabas
Malachite	Malachitas
Malacostraca	Aukštesnieji vėžiagyviai
Malaria	Maliarija
Malawi	Kategorija:Malavis
Malay Peninsula	Malakos pusiasalis
Malayan Tapir	Baltaliemenis tapyras
Malaysia	Malaizija
Malaysia	Kategorija:Malaizija
Maldives	Maldyvai
Maldives	Kategorija:Maldyvai
Mali	Malis
Mali	Kategorija:Malis
Mallard	Didžioji antis
Malta	Malta
Malta	Kategorija:Malta
Maltese language	Maltiečių kalba
Maltose	Maltozė
Malvaceae	Dedešviniai
Mammal	Žinduoliai
Mammoth	Mamutas
Management	Vadyba
Managua	Managva
Manama	Menama
Manchester	Mančesteris
Manchuria	Mandžiūrija
Mandala	Mandala
Mandarin orange	Mandarininis citrinmedis
Manganese	Manganas
Mango	Mangas
Mangrove	Mangrovė
Manhattan	Manhatanas
Manhattan Project	Manheteno projektas
Manichaeism	Manicheizmas
Manila	Manila
Manipur	Manipuras
Manitoba	Manitoba
Mannheim	Manheimas
Mantle (geology)	Planetos mantija
Mantra	Mantra
Mao Zedong	Mao Dzedunas
Maoism	Maoizmas
Map	Žemėlapis
Maple	Klevas
Maputo	Maputu
Marathon	Maratonas
Marble	Marmuras
Marc Chagall	Marc Chagall
Marcel Duchamp	Marcel Duchamp
Marcel Proust	Marcel Proust
March	Kovas
March 17	Kovo 17
March 19	Kovo 19
March 2	Kovo 2
March 25	Kovo 25
Marche	Markė (Italija)
Marco Polo	Markas Polas
Marcus Aurelius	Markas Aurelijus
Marcus Junius Brutus	Markas Junijus Brutas
Marcus Vipsanius Agrippa	Markas Vipsanijus Agripa
Marduk	Mardukas
Margaret Thatcher	Margaret Thatcher
Marie Antoinette	Marija Antuanetė
Marie Curie	Marie Curie
Marilyn Monroe	Marilyn Monroe
Mark Antony	Markas Antonijus
Mark Twain	Mark Twain
Marketing	Rinkodara
Marketing	Kategorija:Marketingas
Marlene Dietrich	Marlene Dietrich
Marquis de Sade	Markizas de Sadas
Marrakech	Marakešas
Marriage	Santuoka
Mars	Kategorija:Marsas
Mars (disambiguation)	Marsas
Mars (mythology)	Marsas (mitologija)
Marseille	Marselis
Marshall Islands	Maršalo salos
Marshall Plan	Maršalo planas
Marsupial	Sterbliniai
Martin Buber	Martinas Buberis
Martin Heidegger	Martin Heidegger
Martin Luther	Martin Luther
Martin Luther King	Martinas Liuteris Kingas
Martinique	Martinika
Marx Brothers	Broliai Marksai
Marxism	Marksizmas
Mary (mother of Jesus)	Marija (Jėzaus motina)
Mary Magdalene	Marija Magdalietė
Maryland	Merilandas
Maseru	Maseru
Mashhad	Mešhedas
Mass	Masė
Mass (liturgy)	Šventos Mišios
Massachusetts	Masačusetsas
Massachusetts Institute of Technology	Masačusetso Technologijos institutas
Masturbation	Masturbacija
Match	Degtukas
Mathematics	Matematika
Mathematics	Kategorija:Matematika
Mathematics	Wikipedia:Matematika
Matrix (mathematics)	Matrica (matematika)
Matter	Materija (fizika)
Matterhorn	Materhornas
Mauna Kea	Mauna Kea
Mauna Loa	Mauna Loa
Maurice Ravel	Maurice Ravel
Mauritania	Mauritanija
Mauritania	Kategorija:Mauritanija
Mauritius	Mauricijus
Mauritius	Kategorija:Mauricijus
Max Ernst	Maksas Ernstas
Max Planck	Max Planck
Max Weber	Max Weber
Maxwell's equations	Maksvelo lygtys
May	Gegužė
May 1	Gegužės 1
May 24	Gegužės 24
Mayenne	Majenas (departamentas)
Mayfly	Lašalai
Mayonnaise	Majonezas
Mayor	Meras
Mbabane	Mbabanė
Mead	Midus
Meat	Mėsa
Mecca	Meka
Mechanics	Kategorija:Mechanika
Mechanics	Mechanika
Medea	Medėja
Median	Mediana
Medication	Vaistas
Medicine	Medicina
Medicine	Kategorija:Medicina
Medina	Medina
Meditation	Meditacija
Mediterranean Sea	Viduržemio jūra
Medusa	Medūza (mitologija)
Meerkat	Surikata
Meiosis	Mejozė
Meitnerium	Meitneris
Mekong	Mekongas
Mel Gibson	Melas Gibsonas
Melanesia	Melanezija
Melody	Melodija
Melpomene	Melpomenė
Melting	Lydymasis
Melting point	Lydymosi temperatūra
Meme	Memas
Memory	Atmintis
Memphis	Memfis (Tenesis)
Memphis	Memfis
Mendelevium	Mendelevis
Menelaus	Menelajas
Meningitis	Meningitas
Mensa (constellation)	Stalkalnis (astronomija)
Menstrual cycle	Mėnesinių ciklas
Menstruation	Menstruacija
Mental disorder	Psichikos sutrikimas
Mentha	Mėta
Mercenary	Samdinys
Mercury	Merkurijus
Mercury (element)	Gyvsidabris
Mercury (mythology)	Merkurijus (mitologija)
Mercury (planet)	Merkurijus (planeta)
Meridian (geography)	Geografinis dienovidinis
Merovingian	Merovingai
Mescaline	Meskalinas
Mesolithic	Mezolitas
Meson	Mezonas
Mesopotamia	Mesopotamija
Mesopotamia	Kategorija:Mesopotamija
Mesozoic	Mezozojus
Messenger RNA	IRNR
Messiah	Mesijas
Messina	Mesina
Metabolism	Metabolizmas
Metal	Metalai
Metalloid	Pusmetaliai
Metallurgy	Metalurgija
Metaphor	Metafora
Metaphysics	Metafizika
Metastasis	Metastazė
Meteorite	Meteoritas
Meteoroid	Meteoroidas
Meteorology	Kategorija:Meteorologija
Meteorology	Meteorologija
Methanol	Metanolis
Methionine	Metioninas
Methodism	Metodistai
Metis (moon)	Metija (palydovas)
Metre	Metras
Metric space	Metrinė erdvė
Meuse	Mezas
Meuse River	Masas
Mexico	Meksika
Mexico	Kategorija:Meksika
Mexico City	Meksikas
Miami	Majamis
Mica	Žėrutis
Michael (archangel)	Arkangelas Mykolas
Michael Faraday	Michael Faraday
Michelangelo	Mikelandželas
Michigan	Mičiganas
Mickey Mouse	Peliukas Mikis
Microbiology	Mikrobiologija
Microbiology	Kategorija:Mikrobiologija
Microeconomics	Mikroekonomika
Microeconomics	Kategorija:Mikroekonomika
Micronesia	Mikronezija
Microorganism	Mikroorganizmai
Microphone	Mikrofonas
Microprocessor	Mikroprocesorius
Microscope	Mikroskopas
Microscopium	Mikroskopas (astronomija)
Microwave	Mikrobangos
Microwave oven	Mikrobangų krosnelė
Middle Ages	Viduramžiai
Middle Ages	Kategorija:Viduramžiai
Middle East	Artimieji Rytai
Middle East	Kategorija:Artimieji Rytai
Migraine	Migrena
Miguel de Cervantes	Migelis de Servantesas Savedra
Mike Tyson	Mike Tyson
Mikhail Bakunin	Michailas Bakuninas
Mikhail Glinka	Michailas Glinka
Mikhail Gorbachev	Michailas Gorbačiovas
Milan	Milanas
Miles Davis	Miles Davis
Military	Kategorija:Karyba
Military rank	Karinis laipsnis
Milk	Pienas
Milky Way	Paukščių Takas
Millennium	Tūkstantmetis
Millipede	Dviporiakojai
Milton Friedman	Milton Friedman
Milwaukee	Milvokis
Minaret	Minaretas
Mindanao	Mindanao
Mineral	Mineralas
Mineral water	Mineralinis vanduo
Mineralogy	Mineralogija
Mineralogy	Kategorija:Mineralogija
Minerva	Minerva
Ming Dynasty	Ming dinastija
Minimalism	Minimalizmas
Minister (government)	Ministras
Minneapolis	Mineapolis
Minnesota	Minesota
Minoan civilization	Mino civilizacija
Minos	Minas (graikų mitologija)
Minotaur	Minotauras
Minsk	Minskas
Minute	Minutė
Miocene	Miocenas
Mirror	Veidrodis
Mississippi River	Misisipė (upė)
Missouri	Misūris
Missouri River	Misūris (upė)
Mitochondrion	Mitochondrija
Mnemosyne	Mnemosinė
Mobile phone	Mobilusis telefonas
Modem	Modemas
Modernism	Modernizmas
Modest Mussorgsky	Modestas Musorgskis
Modulation	Moduliacija
Mogadishu	Mogadišas
Moirae	Moiros
Mold	Pelėjūnas
Moldova	Moldavija
Moldova	Kategorija:Moldavija
Mole (unit)	Molis (vienetas)
Molecular biology	Molekulinė biologija
Molecular biology	Kategorija:Molekulinė biologija
Molecule	Molekulė
Molise	Molizė
Mollusca	Moliuskai
Molybdenum	Molibdenas
Momentum	Judesio kiekis
Monaco	Monakas
Monaco	Kategorija:Monakas
Monarchy	Monarchija
Monastery	Vienuolynas
Monday	Pirmadienis
Money	Pinigai
Mongolia	Mongolija
Mongolia	Kategorija:Mongolija
Mongoose	Mangustiniai
Monism	Monizmas
Monocotyledon	Lelijainiai
Monomer	Monomeras
Monopoly	Monopolija
Monopoly (game)	Monopoly
Monosaccharide	Monosacharidas
Monotheism	Monoteizmas
Monotreme	Kloakiniai
Monroe Doctrine	Monro doktrina
Monrovia	Monrovija
Monsoon	Musonas
Mont Blanc	Monblanas
Montana	Montana
Monte Carlo	Monte Karlas
Montenegro	Juodkalnija
Montenegro	Kategorija:Juodkalnija
Monterrey	Monterėjus
Montevideo	Montevidėjas
Montgomery	Montgomeris
Month	Mėnuo
Montreal	Monrealis
Montserrat	Montseratas
Moon	Mėnulis
Moose	Briedis
Morality	Moralė
Moravia	Moravija
Morocco	Marokas
Morocco	Kategorija:Marokas
Morphine	Morfinas
Morphology	Morfologija
Morphology (linguistics)	Morfologija (kalbotyra)
Morse code	Morzės abėcėlė
Mortar (weapon)	Minosvaidis
Mosaic	Mozaika
Moscow	Maskva
Moselle	Mozelis (departamentas)
Moses	Mozė
Mosque	Mečetė
Mosquito	Tikrieji uodai
Moss	Lapsamanės
Mossad	Mosad
Mosul	Mosulas
Motet	Motetas
Mother	Mama
Mother Teresa	Motina Teresė
Mother's Day	Motinos diena
Motorcycle	Motociklas
Mount Ararat	Araratas
Mount Athos	Atonas (Graikija)
Mount Etna	Etna
Mount Everest	Džomolungma
Mount Fuji	Fudzijama
Mount Kilimanjaro	Kilimandžaras
Mount McKinley	Makinlio kalnas
Mount Olympus	Olimpas
Mount Pinatubo	Pinatubas
Mount St. Helens	Šv. Elenos kalnas
Mount Vesuvius	Vezuvijus
Mountain	Kalnas
Mountain range	Kalnagūbris
Mouse	Naminės pelės
Mouse (computing)	Pelė (kompiuterio)
Mozambique	Mozambikas
Mozambique	Kategorija:Mozambikas
Mu (letter)	Miu (raidė)
Muhammad	Mahometas
Muhammad Ali	Muhammad Ali
Mulberry	Šilkmedis
Mule	Mulas
Multimedia	Daugialypė terpė
Multiplication	Daugyba
Mumbai	Mumbajus
Mummy	Mumija
Munich	Miunchenas
Municipality	Savivaldybė
Muon	Miuonas
Murmansk	Murmanskas
Musa (genus)	Bananas
Musca	Musė (astronomija)
Muscat	Maskatas
Muscle	Raumuo
Muse	Mūzos
Museum	Muziejus
Mushroom	Grybai
Music	Muzika
Music	Kategorija:Muzika
Musical instrument	Muzikos instrumentas
Musician	Muzikantas
Musket	Muškieta
Mustelidae	Kiauniniai
Mutation	Mutacija
Mute Swan	Gulbė nebylė
Myanmar	Kategorija:Mianmaras
Mycenae	Mikėnai
Mycology	Mikologija
Mycology	Kategorija:Mikologija
Myocardial infarction	Miokardo infarktas
Myopia	Trumparegystė
Myriapoda	Šimtakojai
Mysticism	Mistika
Mythology	Kategorija:Mitologija
N	N
N'Djamena	Ndžamena
NATO	NATO
NATO	Kategorija:NATO
Nadine Gordimer	Nadine Gordimer
Nadir	Nadyras
Nagasaki	Nagasakis
Nagoya	Nagoja
Nahuatl	Nahuatlių kalba
Nail (anatomy)	Nagai
Nail (fastener)	Vinis
Nairobi	Nairobis
Namibia	Namibija
Namibia	Kategorija:Namibija
Namur (city)	Namiūras
Nancy	Nansi
Nanga Parbat	Nanga Parbatas
Nanjing	Nankinas
Nanotechnology	Nanotechnologija
Nantes	Nantas
Napalm	Napalmas
Naples	Neapolis
Narcissus (mythology)	Narcizas (mitologija)
Nashville	Nešvilis
Nassau	Nasau
Nation	Nacija
National Security Agency	Nacionalinio saugumo agentūra
National anthem	Valstybinis himnas
National park	Nacionalinis parkas
Nationalism	Nacionalizmas
Nationalism	Kategorija:Nacionalizmas
Natural gas	Gamtinės dujos
Natural language processing	Natūralios kalbos apdorojimas
Natural number	Natūralusis skaičius
Natural selection	Natūrali atranka
Nature	Gamta
Nature	Kategorija:Gamta
Nauru	Nauru
Nautical mile	Jūrmylė
Navigation	Kategorija:Navigacija
Navigation	Navigacija
Navy	Karo laivynas
Nazareth	Nazaretas
Nazi Germany	Trečiasis Reichas
Nazi Germany	Kategorija:Trečiasis reichas
Nazi Party	Vokietijos nacionalsocialistinė darbininkų partija
Neanderthal	Neandertalietis
Nebraska	Nebraska
Nebuchadrezzar II	Nabuchodonosaras II
Nebula	Ūkas
Nefertiti	Nefertitė
Negev	Negevas
Neil Armstrong	Neil Armstrong
Nelson Mandela	Nelsonas Mandela
Nematode	Apvaliosios kirmėlės
Nemean Lion	Nemėjos liūtas
Nemesis (mythology)	Nemezidė
Neodymium	Neodimis
Neolithic	Neolitas
Neon	Neonas
Nepal	Nepalas
Nepal	Kategorija:Nepalas
Nephthys	Neftidė
Neptune	Neptūnas
Neptunium	Neptūnis
Nereid (moon)	Nereidė (palydovas)
Nero	Neronas
Nerva	Nerva
Nervous system	Nervų sistema
Nervous system	Kategorija:Nervų sistema
Nest	Lizdas
Nestorianism	Nestoriečiai
Netherlands	Nyderlandai
Netherlands	Kategorija:Nyderlandai
Netherlands Antilles	Olandijos Antilai
Neurology	Neurologija
Neurology	Kategorija:Neurologija
Neuron	Neuronas
Neurotransmitter	Mediatorius (biochemija)
Neutrino	Neutrinas
Neutron	Neutronas
Neutron star	Neutroninė žvaigždė
Neva River	Neva
Nevada	Nevada
Neville Chamberlain	Neville Chamberlain
New Brunswick	Naujasis Bransvikas
New Caledonia	Naujoji Kaledonija
New Delhi	Naujasis Delis
New Guinea	Naujoji Gvinėja
New Hampshire	Naujasis Hampšyras
New Jersey	Naujasis Džersis
New Mexico	Naujoji Meksika
New Orleans	Naujasis Orleanas
New South Wales	Naujasis Pietų Velsas
New Testament	Naujasis Testamentas
New World	Naujasis pasaulis
New York	Niujorko valstija
New York City	Niujorkas
New York City	Kategorija:Niujorkas
New Zealand	Naujoji Zelandija
New Zealand	Kategorija:Naujoji Zelandija
Newark	Niuarkas
Newfoundland (island)	Niufaundlandas
Newfoundland and Labrador	Niufaundlandas ir Labradoras
Newport	Niuportas
Newton	Niutonas
Niacin	Niacinas
Niagara Falls	Niagaros krioklys
Niamey	Niamėjus
Nicaragua	Nikaragva
Nicaragua	Kategorija:Nikaragva
Nice	Nica
Nicholas	Petrović Njegoš
Nickel	Nikelis
Nicolaus Copernicus	Mikalojus Kopernikas
Nicosia	Nikosija
Nicotine	Nikotinas
Niels Bohr	Niels Bohr
Niger	Nigeris
Niger	Kategorija:Nigeris
Niger River	Nigeris (upė)
Nigeria	Nigerija
Nigeria	Kategorija:Nigerija
Night	Naktis
Nightingale	Vakarinė lakštingala
Nihilism	Nihilizmas
Nike	Nike, Inc.
Nike (mythology)	Nikė
Nikita Khrushchev	Nikita Chruščiovas
Nikola Tesla	Nikola Tesla
Nile	Nilas
Nile crocodile	Nilo krokodilas
Ninja	Nindzė
Niobium	Niobis
Nirvana	Nirvana (religija)
Nitric acid	Azoto rūgštis
Nitrogen	Azotas
Nitroglycerin	Nitroglicerinas
Nix (moon)	Niktė (palydovas)
Njord	Njordas
Noah	Nojus
Noam Chomsky	Noam Chomsky
Nobel Prize	Nobelio premija
Nobel Prize	Kategorija:Nobelio premija
Nobelium	Nobelis
Noble gas	Inertinės dujos
Norfolk	Norfolkas
Norfolk Island	Norfolkas (sala)
Norma (constellation)	Matuoklė (astronomija)
Normal distribution	Normalusis skirstinys
Normandy	Normandija
Norn	Nornos
Norse mythology	Skandinavų mitologija
Norse mythology	Kategorija:Skandinavų mitologija
North	Šiaurė
North Africa	Šiaurės Afrika
North America	Šiaurės Amerika
North America	Kategorija:Šiaurės Amerika
North Carolina	Šiaurės Karolina
North Dakota	Šiaurės Dakota
North Island	Šiaurės sala
North Korea	Šiaurės Korėja
North Korea	Kategorija:Šiaurės Korėja
North Pole	Šiaurės ašigalis
North Sea	Šiaurės jūra
Northern Hemisphere	Šiaurės pusrutulis
Northern Ireland	Šiaurės Airija
Northern Mariana Islands	Marianos Šiaurinės Salos
Northern Territory	Šiaurinė Teritorija
Northern pike	Europinė lydeka
Northwest Territories	Šiaurės Vakarai (Kanada)
Norway	Norvegija
Norway	Kategorija:Norvegija
Norwegian Sea	Norvegijos jūra
Nose	Nosis
Nostradamus	Nostradamas
Note	Nata
Nouakchott	Nuakšotas
Noun	Daiktavardis
Nova Scotia	Naujoji Škotija
Novaya Zemlya	Naujoji Žemė
Novel	Romanas
November	Lapkritis
November 1	Lapkričio 1
November 11	Lapkričio 11
November 2	Lapkričio 2
November 5	Lapkričio 5
Novosibirsk	Novosibirskas
Nu (letter)	Niu (raidė)
Nuclear fusion	Branduolių sąlaja
Nuclear physics	Branduolinė fizika
Nuclear physics	Kategorija:Branduolinė fizika
Nuclear power	Branduolinė energija
Nuclear weapon	Branduolinis ginklas
Nucleic acid	Nukleino rūgštis
Nucleon	Nukleonas
Nucleotide	Nukleotidas
Number	Skaičius
Numbers	Kategorija:Skaičiai
Numidia	Numidija
Numismatics	Numizmatika
Numismatics	Kategorija:Numizmatika
Nunavut	Nunavutas
Nuremberg	Niurnbergas
Nut (fruit)	Riešutas
Nymph	Nimfa
Nymphaeaceae	Lūgniniai
Nyx (mythology)	Niktė
O	O
OPEC	OPEC
Oahu	Oahu
Oak	Ąžuolas
Oakland	Oklandas (JAV)
Oasis	Oazė
Oat	Sėjamoji aviža
Ob River	Obė
Obesity	Nutukimas
Object-oriented programming	Objektinis programavimas
Oboe	Obojus
Observatory	Observatorija
Obsidian	Obsidianas
Occam's razor	Okamo skustuvas
Ocean	Vandenynas
Oceania	Okeanija
Oceania	Kategorija:Okeanija
Oceanid	Okeanidės
Oceanography	Kategorija:Okeanografija
Oceanus	Okeanas
Octans	Oktantas
Octave	Oktava
October	Spalis
October 12	Spalio 12
October 24	Spalio 24
Octopus	Aštuonkojai
Oder River	Oderis
Odessa	Odesa
Odin	Odinas
Odonata	Žirgeliai
Odysseus	Odisėjas
Odyssey	Odisėja
Oedipus	Edipas
Offside (football)	Nuošalė
Ohio	Ohajas
Ohm's law	Omo dėsnis
Oil	Aliejus
Oil (disambiguation)	Aliejus
Oil painting	Aliejus (tapyba)
Okapi	Okapija
Oklahoma	Oklahoma
Oklahoma City	Oklahoma Sitis
Old Church Slavonic	Senoji bažnytinė slavų kalba
Old Norse	Senovės skandinavų kalba
Old Testament	Senasis Testamentas
Oligarchy	Oligarchija
Oligopoly	Oligopolija
Olive	Europinis alyvmedis
Olive oil	Alyvuogių aliejus
Oliver Cromwell	Oliver Cromwell
Olivine	Olivinas
Olympia	Olimpija (Vašingtonas)
Olympic Games	Olimpinės žaidynės
Olympics	Kategorija:Olimpinės žaidynės
Omaha	Omaha
Oman	Omanas
Oman	Kategorija:Omanas
Omega	Omega (raidė)
Omicron	Omikron (raidė)
Omsk	Omskas
Oncology	Kategorija:Onkologija
