Slovak	English
Súhvezdie Rydlo	Caelum
Cézium	Caesium
Kofeín	Caffeine
Káhira	Cairo
Kalábria	Calabria
Calais	Calais
Kalcit	Calcite
Vápnik	Calcium
Uhličitan vápenatý	Calcium carbonate
Oxid vápenatý	Calcium oxide
Kalkulačka	Calculator
Infinitezimálny počet	Calculus
Kaldera	Caldera
Kalendár	Calendar
Kalifornia	California
Kategória:Kalifornia	California
Kalifornium	Californium
Caligula	Caligula
Kalliopa	Calliope
Kallisto (mesiac)	Callisto (moon)
Calvados (departement)	Calvados
Calvin Coolidge	Calvin Coolidge
Kalvinizmus	Calvinism
Kambodža	Cambodia
Kategória:Kambodža	Cambodia
Kambrium	Cambrian
Cambridge (Cambridgeshire)	Cambridge
Cambridge	Cambridge (disambiguation)
Camembert	Camembert (cheese)
Kamerun	Cameroon
Kategória:Kamerun	Cameroon
Kampánia	Campania
Kanada	Canada
Kategória:Kanada	Canada
Kanadský dolár	Canadian dollar
Kanárske ostrovy	Canary Islands
Kategória:Kanárske ostrovy	Canary Islands
Canberra	Canberra
Súhvezdie Rak	Cancer (constellation)
Kandela	Candela
Sviečka	Candle
Psovité	Canidae
Súhvezdie Veľký pes	Canis Major
Súhvezdie Malý pes	Canis Minor
Marihuana	Cannabis (drug)
Cannes	Cannes
Canon (podnik)	Canon (company)
Canopus	Canopus
Canterbury	Canterbury
Knut Veľký	Canute the Great
Elektrická kapacita	Capacitance
Kondenzátor (elektrotechnika)	Capacitor
Mys Canaveral	Cape Canaveral
Kapské Mesto	Cape Town
Kapverdy	Cape Verde
Kategória:Kapverdy	Cape Verde
Mys Dobrej nádeje (JAR)	Cape of Good Hope
Hlavné mesto	Capital
Kapitál	Capital (economics)
Trest smrti	Capital punishment
Kapitalizmus	Capitalism
Súhvezdie Kozorožec	Capricornus
Rys karakal	Caracal
Caracas	Caracas
Karát	Carat (mass)
Karát	Carat (purity)
Michelangelo Merisi da Caravaggio	Caravaggio
Uhlík	Carbon
Oxid uhličitý	Carbon dioxide
Oxid uhoľnatý	Carbon monoxide
Kyselina uhličitá	Carbonic acid
Karboxylová kyselina	Carboxylic acid
Karburátor	Carburetor
Kartová hra	Card game
Cardiff	Cardiff
Kardinál	Cardinal (Catholicism)
Armand Jean du Plessis de Richelieu	Cardinal Richelieu
Kategória:Kardiológia	Cardiology
Kategória:Karibik	Caribbean
Karibské more	Caribbean Sea
Karikatúra	Caricature
Súhvezdie Kýl	Carina (constellation)
Carl David Anderson	Carl David Anderson
Carl Gustav Jung	Carl Jung
Carl Maria von Weber	Carl Maria von Weber
Fašiangy	Carnival
Mäsožravce (cicavce)	Carnivora
Carl Linné	Carolus Linnaeus
Karpaty	Carpathian Mountains
Carson City	Carson City
Cartagena (Španielsko)	Cartagena
Karteziánska sústava súradníc	Cartesian coordinate system
Karteziánsky súčin	Cartesian product
Kartágo	Carthage
Kartografia	Cartography
Kategória:Kartografia	Cartography
Casablanca	Casablanca
Kaspické more	Caspian Sea
Kassandra	Cassandra
Súhvezdie Kasiopeja	Cassiopeia (constellation)
Liatina	Cast iron
Kastília	Castile (historical region)
Hrad	Castle
Rošáda (šach)	Castling
Castries	Castries
Casus belli	Casus belli
Mačka domáca	Cat
Katalánsko	Catalonia
Kategória:Katalánsko	Catalonia
Katalyzátor (chémia)	Catalysis
Albigénstvo	Catharism
Katedrála	Cathedral
Katarína Parrová	Catherine Parr
Katarína Aragónska	Catherine of Aragon
Katóda	Cathode
Katolicizmus	Catholicism
Tur domáci	Cattle
Gaius Valerius Catullus	Catullus
Karfiol	Cauliflower
Jazdectvo (druh pozemných vojsk)	Cavalry
Jaskyňa	Cave
Cayenne	Cayenne
Kajmanie ostrovy	Cayman Islands
Cecil Rhodes	Cecil Rhodes
Nebeský rovník	Celestial equator
Kategória:Nebeská mechanika	Celestial mechanics
Nebeská mechanika	Celestial mechanics
Nebeská sféra	Celestial sphere
Celibát	Celibacy
Bunka	Cell (biology)
Cytoplazmatická membrána	Cell membrane
Bunkové jadro	Cell nucleus
Bunková stena	Cell wall
Celulóza (organická látka)	Cellulose
Stupeň Celzia	Celsius
Cintorín	Cemetery
Kenozoikum	Cenozoic
Kentaur (bytosť)	Centaur
Súhvezdie Kentaur	Centaurus
Ťažisko (fyzika)	Center of mass
Centimeter	Centimetre
Stredná Afrika	Central Africa
Stredoafrická republika	Central African Republic
Kategória:Stredoafrická republika	Central African Republic
Stredná Amerika	Central America
Kategória:Stredná Amerika	Central America
Central Intelligence Agency	Central Intelligence Agency
Central Park	Central Park
Ústredné veľmoci	Central Powers
Centrálna nervová sústava	Central nervous system
CPU	Central processing unit
Centre (región)	Centre
Centriola	Centriole
Storočie	Century
Hlavonožce	Cephalopod
Súhvezdie Cefeus	Cepheus (constellation)
Kerberos	Cerberus
Obilie	Cereal
Mozoček	Cerebellum
1 Ceres	Ceres (dwarf planet)
Cér	Cerium
Pásomnice (Cestodes)	Cestoda
Veľryby (rad)	Cetacea
Súhvezdie Veľryba	Cetus
Čad	Chad
Kategória:Čad	Chad
Pinka lesná	Chaffinch
Stolička	Chair
Chalcedón	Chalcedony
Súhvezdie Chameleón	Chamaeleon
Kamzík vrchovský	Chamois
Champagne-Ardenne	Champagne-Ardenne
Eurotunel	Channel Tunnel
Chaos (staroveké Grécko)	Chaos (mythology)
Kulíkotvaré	Charadriiformes
Karol Veľký	Charlemagne
Charles Baudelaire	Charles Baudelaire
Charles Robert Darwin	Charles Darwin
Charles Dickens	Charles Dickens
François Marie Charles Fourier	Charles Fourier
Charles Sanders Peirce	Charles Peirce
Charles Thomson Rees Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
Karol II. (Francúzsko)	Charles the Bald
Charleston (Západná Virgínia)	Charleston
Charlie Chaplin	Charlie Chaplin
Charlie Parker	Charlie Parker
Charlotte	Charlotte
Čarodejnice (seriál)	Charmed
Cháron (mesiac)	Charon (moon)
Cháron (mytológia)	Charon (mythology)
Chartres	Chartres
Šovinizmus	Chauvinism
Che Guevara	Che Guevara
Čečensko	Chechnya
Syr	Cheese
Gepard	Cheetah
Čeľabinsk	Chelyabinsk
Chemická väzba	Chemical bond
Chemická zlúčenina	Chemical compound
Chemický prvok	Chemical element
Chemické inžinierstvo	Chemical engineering
Chemický vzorec	Chemical formula
Chemická reakcia	Chemical reaction
Chémia	Chemistry
Kategória:Chémia	Chemistry
Portál:Chémia	Chemistry
Chemnitz	Chemnitz
Šek	Cheque
Černobyľ	Chernobyl
Silicit	Chert
Cherub	Cherub
Šach (hra)	Chess
Kategória:Šach	Chess
Otvorenie (šach)	Chess opening
Cheyenne	Cheyenne
Chí	Chi (letter)
Ťie-š’ Ťiang	Chiang Kai-shek
Chicago	Chicago
Ovčie kiahne	Chickenpox
Pôrod	Childbirth
Čile	Chile
Kategória:Čile	Chile
Chimborazo (sopka)	Chimborazo (volcano)
Chiméra (mytológia)	Chimera (mythology)
Kategória:Čína (historická krajina)	China
Čína (civilizácia)	China
Chitín	Chitin
Chlór	Chlorine
Trichlórmetán	Chloroform
Chlorofyl	Chlorophyll
Chloroplast	Chloroplast
Čokoláda	Chocolate
Cholera	Cholera
Cholesterol	Cholesterol
Drsnokožce	Chondrichthyes
Akord (hudba)	Chord (music)
Chordáty	Chordate
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Kresťanstvo	Christianity
Kategória:Kresťanstvo	Christianity
Vianoce	Christmas
Kategória:Vianoce	Christmas
Vianočný stromček	Christmas tree
Krištof Kolumbus	Christopher Columbus
Christopher Marlowe	Christopher Marlowe
Chromatografia	Chromatography
Chróm	Chromium
Chromozóm	Chromosome
Chuck Berry	Chuck Berry
Čukotské more	Chukchi Sea
Cirkev	Church
Kostol	Church (building)
Marcus Tullius Cicero	Cicero
Bocianotvaré	Ciconiiformes
Cigareta	Cigarette
Cinabarit	Cinnabar
Súhvezdie Kružidlo	Circinus
Kružnica	Circle
Obehová sústava	Circulatory system
Obriezka	Circumcision
Občianstvo	Citizenship
Krebsov cyklus	Citric acid cycle
Občianska vojna	Civil war
Trieda	Class
Trieda (programovanie)	Class (computer science)
Klasická mechanika	Classical mechanics
Kategória:Vážna hudba	Classical music
Klasicizmus	Classicism
Claude Monet	Claude Monet
Claude Elwood Shannon	Claude Shannon
Claudio Monteverdi	Claudio Monteverdi
Claudius	Claudius
Kľúčna kosť	Clavicle
Kľúč (hudba)	Clef
Clement Attlee	Clement Attlee
Kleopatra	Cleopatra (disambiguation)
Duchovenstvo	Clergy
Cleveland (Ohio)	Cleveland
Klient-server	Client-server
Podnebie	Climate
Klimatické zmeny	Climate change
Klimatológia	Climatology
Kategória:Klimatológia	Climatology
Depresia (psychológia)	Clinical depression
Kleio	Clio
Dráždec	Clitoris
Hodiny	Clock
Hodinová veža (Westminsterský palác)	Clock Tower
Oblak	Cloud
Chlodovik I.	Clovis I
Pŕhlivce	Cnidaria
Uhlie	Coal
Pobrežie	Coast
Kobalt	Cobalt
Lienkovité	Coccinellidae
Kakaduorodé	Cockatoo
Šváby (hmyz)	Cockroach
Kokosové ostrovy	Cocos (Keeling) Islands
Kodeín	Codeine
Kávovník	Coffea
Káva	Coffee
Kognitívna psychológia	Cognitive psychology
Kognitívna veda	Cognitive science
Kolchida	Colchis
Studená vojna	Cold War
Kategória:Studená vojna	Cold War
Colin Powell	Colin Powell
Koloid	Colloid
Kolín nad Rýnom	Cologne
Kolumbia	Colombia
Kategória:Kolumbia	Colombia
Kolombo	Colombo
Farba (fyzika)	Color
Colorado (štát USA)	Colorado
Kategória:Colorado (štát USA)	Colorado
Koloseum	Colosseum
Rodský kolos	Colossus of Rhodes
Užovkovité	Colubrid
Súhvezdie Holubica	Columba (constellation)
Columbia (Južná Karolína)	Columbia
Columbia	Columbia
Columbia (rieka)	Columbia River
Kategória:Holubotvaré	Columbiformes
Holubotvaré	Columbiformes
Columbus (Ohio)	Columbus
Columbus	Columbus
Kóma	Coma
Súhvezdie Vlasy Bereniky	Coma Berenices
Komédia	Comedy
Jan Amos Komenský	Comenius
Kométa	Comet
Čiarka (interpunkčné znamienko)	Comma (punctuation)
Commedia dell'Arte	Commedia dell'arte
Spoločenstvo nezávislých štátov	Commonwealth of Independent States
Spoločenstvo národov	Commonwealth of Nations
Kategória:Komunikácia	Communication
Komunizmus	Communism
Kategória:Komunizmus	Communism
Komory	Comoros
Kategória:Komory	Comoros
Kompaktný disk	Compact Disc
Rota	Company (military unit)
Kompas	Compass
Complex Instruction Set Computer	Complex instruction set computer
Komplexné číslo	Complex number
Skladateľ	Composer
Zložené číslo	Composite number
Počítačová tomografia	Computed tomography
Počítač	Computer
Architektúra počítača	Computer architecture
Monitor (displej)	Computer display
Súbor (informatika)	Computer file
Kategória:Počítačová grafika	Computer graphics
Hardvér	Computer hardware
Kategória:Programovanie	Computer programming
Veda o počítačoch	Computer science
Kategória:Informatika	Computer science
Softvér	Computer software
Počítačový vírus	Computer virus
Computer Aided Design	Computer-aided design
Konakry	Conakry
Koncentrácia	Concentration
Concord (New Hampshire)	Concord
Betón	Concrete
Prezervatív	Condom
Dirigent	Conducting
Kužeľ	Cone (geometry)
Konfederované americké štáty	Confederate States of America
Sviatosť zmierenia	Confession
Sviatosť birmovania	Confirmation
Konflikt	Conflict
Konfucianizmus	Confucianism
Konfucius	Confucius
Kongo	Congo
Kongo (rieka)	Congo River
Kužeľosečka	Conic section
Connecticut	Connecticut
Kategória:Connecticut	Connecticut
Konsenzus	Consensus
Prvý termodynamický zákon	Conservation of energy
Konzervativizmus	Conservatism
Spoluhláska	Consonant
Konštantín Veľký	Constantine I
Súhvezdie	Constellation
Ústava	Constitution (political)
Kontaktná šošovka	Contact lens
Svetadiel	Continent
Pohyb kontinentov	Continental drift
Šelf	Continental shelf
Bridž	Contract bridge
Prúdenie tepla	Convection
Družstvo (ekonómia)	Cooperative
Sústava súradníc	Coordinate system
Kodaň	Copenhagen
Meď	Copper
Autorské právo	Copyright
Krakľotvaré	Coraciiformes
Koralové more	Coral Sea
Koralový útes	Coral reef
Korint	Corinth
Coriolisova sila	Coriolis effect
Cork (mesto v Írsku)	Cork (city)
Kormoránovité	Cormorant
Rohovka	Cornea
Cornwall (grófstvo)	Cornwall
Súhvezdie Severná koruna	Corona Borealis
Korózia	Corrosion
Korzika	Corsica
Korund	Corundum
Krkavcovité	Corvidae
Súhvezdie Havran	Corvus (constellation)
Reliktové žiarenie	Cosmic microwave background radiation
Kozmické žiarenie	Cosmic ray
Kozmológia	Cosmology
Kategória:Kozmológia	Cosmology
Kostarika	Costa Rica
Kategória:Kostarika	Costa Rica
Cotonou	Cotonou
Cotopaxi (sopka)	Cotopaxi
Bavlna	Cotton
Puma americká	Cougar
Coulomb	Coulomb
Coulombov zákon	Coulomb's law
Tridentský koncil	Council of Trent
Kontrapunkt	Counterpoint
Country	Country music
Súd	Court
Kovalentná väzba	Covalent bond
Coventry	Coventry
Krabia hmlovina	Crab Nebula
Súhvezdie Pohár	Crater (constellation)
Kreacionizmus	Creationism
Cremona (mesto)	Cremona
Krieda (geochronologická jednotka)	Cretaceous
Kréta	Crete
Kriket	Cricket
Svrčkovité	Cricket (insect)
Krymská vojna	Crimean War
Kategória:Trestné právo	Criminal law
Trestné právo	Criminal law
Kriminológia	Criminology
Kategória:Kriminológia	Criminology
Chorvátsko	Croatia
Kategória:Chorvátsko	Croatia
Krokodílovité	Crocodile
Krokodílotvaré	Crocodilia
Kronos (mytológia)	Cronus
Kríž	Cross
Vektorový súčin	Cross product
Kuša	Crossbow
Ukrižovanie	Crucifixion
Zemská kôra	Crust (geology)
Kôrovce	Crustacean
Súhvezdie Južný kríž	Crux
Kategória:Kryptografia	Cryptography
Kryštalografia	Crystallography
Kategória:Kryštalografia	Crystallography
Rebrovky	Ctenophore
Kuba	Cuba
Kategória:Kuba	Cuba
Kocka	Cube
Kubický meter	Cubic metre
Kubizmus	Cubism
Kukučkotvaré	Cuculiformes
Kultúra (spoločenské vedy)	Culture
Kategória:Kultúra	Culture
Cumbria	Cumbria
Kumulus	Cumulus cloud
Curitiba	Curitiba
Curium	Curium
Kategória:Mena	Currency
Cusco (mesto)	Cusco
Sinice	Cyanobacteria
Kybernetika	Cybernetics
Kyberpunk	Cyberpunk
Kyklady	Cyclades
Tlaková níž	Cyclone
Súhvezdie Labuť	Cygnus (constellation)
Kaprotvaré	Cypriniformes
Cyprus	Cyprus
Kategória:Cyprus (štát)	Cyprus
Cyrilika	Cyrillic alphabet
Kýros II.	Cyrus the Great
Cystická fibróza	Cystic fibrosis
Cytoplazma	Cytoplasm
Cytoskelet	Cytoskeleton
Česko	Czech Republic
Kategória:Česko	Czech Republic
Česko-Slovensko	Czechoslovakia
Kategória:Česko-Slovensko	Czechoslovakia
D	D
David Herbert Lawrence	D. H. Lawrence
David Wark Griffith	D. W. Griffith
Dichlórdifenyltrichlóretán	DDT
Deoxyribonukleová kyselina	DNA
DOS	DOS
DVD	DVD
Jazvečík	Dachshund
Dadaizmus	Dada
Dýka	Dagger
Dakar	Dakar
Dalajláma	Dalai Lama
Dallas	Dallas
Dalmácia	Dalmatia
Damask	Damascus
Tanec	Dance
Kategória:Tanec	Dance
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
Daniel Ortega	Daniel Ortega
Dánska koruna	Danish krone
Dante Alighieri	Dante Alighieri
Dunaj	Danube
Dar es Salám	Dar es Salaam
Dardanely	Dardanelles
Tmavá hmota	Dark matter
Darmstadtium	Darmstadtium
Darwin	Darwin
Hĺbková analýza dát	Data mining
Údajová štruktúra	Data structure
Databáza	Database
Databázový systém	Database management system
Datív	Dative case
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
David Ricardo	David Ricardo
Davisov pohár	Davis Cup
Kategória:Dni	Days
De facto	De facto
Diakon	Deacon
Mŕtve more	Dead Sea
Ľuľkovec zlomocný	Deadly nightshade
Smrť	Death
Kategória:Smrť	Death
December	December
31. december	December 31
8. december	December 8
Decibel	Decibel
Desiatková číselná sústava	Decimal
Décius	Decius (emperor)
Deklinácia	Declination
Deco	Deco
Dekonštrukcia (filozofia)	Deconstruction
Deflácia	Deflation
Stupeň	Degree
Stupeň (uhol)	Degree (angle)
Deimos (mesiac)	Deimos (moon)
Deizmus	Deism
Delaware (štát USA)	Delaware
Kategória:Delaware (štát USA)	Delaware
Delft	Delft
Dillí	Delhi
Delfy	Delphi
Súhvezdie Delfín	Delphinus
Delta	Delta
Delta (grécke písmeno)	Delta (letter)
Potopa sveta	Deluge (mythology)
Demagógia	Demagogy
Demencia	Dementia
Demeter (bohyňa)	Demeter
Demokracia	Democracy
Demokratická strana (USA)	Democratic Party (United States)
Kongo (býv. Zair)	Democratic Republic of the Congo
Kategória:Kongo (býv. Zair)	Democratic Republic of the Congo
Demokritos	Democritus
Demografia	Demography
Kategória:Demografia	Demography
Démon	Demon
Demostenes	Demosthenes
Horúčka dengue	Dengue fever
Denis Diderot	Denis Diderot
Dánsko	Denmark
Kategória:Dánsko	Denmark
Dennis Gabor	Dennis Gabor
Zubný kaz	Dental caries
Kategória:Zubné lekárstvo	Dentistry
Denver	Denver
Derivácia (funkcia)	Derivative
Dermatológia	Dermatology
Des Moines	Des Moines
Púšť	Desert
Kategória:Púšte	Deserts
Erazmus Rotterdamský	Desiderius Erasmus
Kategória:Dizajn	Design
Detroit	Detroit
Deutérium	Deuterium
Deuteronómium	Deuteronomy
Vývinová psychológia	Developmental psychology
Ovládač	Device driver
Devon (Anglicko)	Devon
Devón	Devonian
Rosný bod	Dew point
Dháka	Dhaka
Dharma	Dharma
Dhaulágirí	Dhaulagiri
Cukrovka	Diabetes mellitus
Diakritické znamienko	Diacritic
Nárečie	Dialect
Dialektika	Dialectic
Priemer (geometria)	Diameter
Diamant	Diamond
Diana Frances Mountbattenová-Windsorová	Diana
Hnačka	Diarrhea
Diaspóra (Židia)	Diaspora
Rozsievky	Diatom
Diktatúra	Dictatorship
Slovník	Dictionary
Motorová nafta	Diesel
Dieselový motor	Diesel engine
Diferenciálna rovnica	Differential equation
Difrakcia	Diffraction
Difúzia (fyzika)	Diffusion
Kategória:Tráviaca sústava	Digestive system
Číslicovosť (opak analógovosti)	Digital
Digitálny fotoaparát	Digital camera
Digitálna fotografia	Digital photography
Digital Subscriber Line	Digital subscriber line
Kôpor voňavý	Dill
Rozmer	Dimension
Dinosaury	Dinosaur
Diecéza	Diocese
Dioklecián	Diocletian
Dionýzos	Dionysus
Dvojhláska	Diphthong
Diplodocus	Diplodocus
Diplomacia	Diplomacy
Kategória:Diplomacia	Diplomacy
Dire Straits	Dire Straits
Jednosmerný prúd	Direct current
Kategória:Wikipédia:Rozlišovacie stránky	Disambiguation
Diskotekár	Disc jockey
Diskurz	Discourse
Diskriminácia (znevýhodňovanie)	Discrimination
Choroba	Disease
Vzdialenosť	Distance
Destilácia	Distillation
Divergencia (vektorové pole)	Divergence
Delenec	Division (mathematics)
Kategória:Džibutsko	Djibouti
Džibuti	Djibouti (city)
Dmitrij Ivanovič Mendelejev	Dmitri Mendeleev
Dmitrij Dmitrijevič Šostakovič	Dmitri Shostakovich
Dneper	Dnieper River
Dnepropetrovsk	Dnipropetrovsk
Doberman	Doberman Pinscher
Dokument (informácia v materiálnej podobe)	Document
Dodekanéz	Dodecanese
Dodoma	Dodoma
Pes domáci	Dog
Dogma	Dogma
Dauha	Doha
Dolár	Dollar
Ovca Dolly	Dolly (sheep)
Dolmen	Dolmen
Dolomit (minerál)	Dolomite
Kupola	Dome
Domestikácia	Domestication
Dominika (štát)	Dominica
Kategória:Dominika (štát)	Dominica
Rehoľa kazateľov	Dominican Order
Dominikánska republika	Dominican Republic
Kategória:Dominikánska republika	Dominican Republic
Domicián	Domitian
Dômyselný rytier Don Quijote de la Mancha	Don Quixote
Don	Don River (Russia)
Donato Bramante	Donato Bramante
Dvere	Door
Dopplerov jav	Doppler effect
Súhvezdie Mečiar	Dorado
Dórsky sloh	Doric order
Doris Lessingová	Doris Lessing
Dortmund	Dortmund
Douala	Douala
Douglas MacArthur	Douglas MacArthur
Dover (Delaware)	Dover
Downov syndróm	Down syndrome
Súhvezdie Drak	Draco (constellation)
Drak	Dragon
Dráma	Drama
Dáma (hra)	Draughts
Drážďany	Dresden
Druid	Druid
Bubon (hudba)	Drum
Dubaj (mesto)	Dubai
Dublin	Dublin
Dubnium	Dubnium
Dubrovník	Dubrovnik
Dugongovité	Dugong
Vojvoda	Duke
Dunkerque	Dunkirk
Dvanástnik	Duodenum
Durban	Durban
Dušanbe	Dushanbe
Dustin Hoffman	Dustin Hoffman
Kategória:Holandské osobnosti	Dutch people
Dwight D. Eisenhower	Dwight D. Eisenhower
Dynamika (fyzika)	Dynamics (physics)
Dynamit	Dynamite
Dynastia	Dynasty
Dyslexia	Dyslexia
Dysprózium	Dysprosium
Antiutópia	Dystopia
E	E
Eulerovo číslo	E (mathematical constant)
E-mail	E-mail
Ernst Theodor Amadeus Hoffmann	E. T. A. Hoffmann
Baskicko a jeho sloboda	ETA
Ucho	Ear
Zem	Earth
Kategória:Zem	Earth
Vedy o Zemi	Earth science
Zemetrasenie	Earthquake
Východ (svetová strana)	East
Východná Afrika	East Africa
Východočínske more	East China Sea
Nemecká demokratická republika	East Germany
East Sussex	East Sussex
Východný Timor	East Timor
Kategória:Východný Timor	East Timor
Veľká noc	Easter
Pravoslávna cirkev	Eastern Orthodox Church
Excentricita	Eccentricity (mathematics)
Ostnatokožce	Echinoderm
Zatmenie	Eclipse
Eclipse	Eclipse (software)
Ekliptika	Ecliptic
Ekologická nika	Ecological niche
Ekológia	Ecology
Kategória:Ekológia	Ecology
Ekonometria	Econometrics
Ekonomický systém	Economics
Kategória:Ekonómia a ekonomika	Economics
Ekonomický systém	Economy
Ekosystém	Ecosystem
Ekvádor	Ecuador
Kategória:Ekvádor	Ecuador
Ekumenický koncil	Ecumenical council
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edgar Rice Burroughs	Edgar Rice Burroughs
Edinburgh	Edinburgh
Edmund Halley	Edmond Halley
Edmonton	Edmonton
Edmund Burke	Edmund Burke
Edmund Percival Hillary	Edmund Hillary
Edmund Husserl	Edmund Husserl
Eduard Buchner	Eduard Buchner
Vzdelanie	Education
Kategória:Vzdelanie	Education
Edvard Grieg	Edvard Grieg
Edvard Munch	Edvard Munch
Edward Jenner	Edward Jenner
Edward Teller	Edward Teller
Eduard Vyznávač	Edward the Confessor
Edwin Powell Hubble	Edwin Hubble
Úhorotvaré	Eel
Egypt	Egypt
Kategória:Egypt	Egypt
Egyptológia	Egyptology
Eiffelova veža	Eiffel Tower
Eindhoven	Eindhoven
Einsteinium	Einsteinium
Ejakulácia	Ejaculation
El Cid Campeador	El Cid
El Paso	El Paso
Salvádor	El Salvador
Kategória:Salvádor	El Salvador
Elam	Elam
Labe	Elbe
Eleanor Rooseveltová	Eleanor Roosevelt
Voľby	Election
Elektrický náboj	Electric charge
Elektrický prúd	Electric current
Elektrická gitara	Electric guitar
Kategória:Elektrotechnika	Electrical engineering
Elektrotechnika	Electrical engineering
Elektrický odpor	Electrical resistance
Elektrina	Electricity
Kategória:Elektrina	Electricity
Kategória:Elektrochémia	Electrochemistry
Elektrolýza	Electrolysis
Elektrolyt	Electrolyte
Elektromagnetické žiarenie	Electromagnetic radiation
Elektromagnetické spektrum	Electromagnetic spectrum
Elektromagnetizmus	Electromagnetism
Kategória:Elektromagnetizmus	Electromagnetism
Elektrón	Electron
Elektronegativita	Electronegativity
Elektronika	Electronics
Kategória:Elektronika	Electronics
Elégia	Elegy
Elementárna častica	Elementary particle
Slonovité	Elephant
Výťah (dopravný prostriedok)	Elevator
Elf	Elf
Elias Canetti	Elias Canetti
Eliáš (prorok)	Elijah
Elipsa	Ellipse
Elipsa (literatúra)	Ellipsis
Elvis Presley	Elvis Presley
Embryo	Embryo
Embryológia	Embryology
Smaragd	Emerald
Emilia-Romagna	Emilia-Romagna
Emiliano Zapata	Emiliano Zapata
Emma Goldmanová	Emma Goldman
Emócia	Emotion
Kategória:Emócie	Emotion
Vcítenie	Empathy
Empedokles	Empedocles
Empire State Building	Empire State Building
Empirizmus	Empiricism
Emu hnedý	Emu
Encyklopédia	Encyclopedia
Endemit	Endemism
Endokrinná sústava	Endocrine system
Endokrinológia	Endocrinology
Energia	Energy
Energia	Energy (society)
Motor	Engine
Anglicko	England
Kategória:Anglicko	England
Lamanšský prieliv	English Channel
Angličtina	English language
Kategória:Angličtina	English language
Kategória:Anglické osobnosti	English people
Angličania	English people
Enki	Enki
Enrico Fermi	Enrico Fermi
Kategória:Zábava	Entertainment
Entalpia	Enthalpy
Entomológia	Entomology
Kategória:Entomológia	Entomology
Entropia	Entropy
Kategória:Životné prostredie	Environment
Enzým	Enzyme
Eocén	Eocene
Eón (geológia)	Eon (geology)
Eos	Eos
Efez	Ephesus
Epos	Epic poetry
Epiktetos	Epictetus
Epikuros	Epicurus
Epidémia	Epidemic
Epidemiológia	Epidemiology
Epigrafika	Epigraphy
Epilepsia	Epilepsy
Epinefrín	Epinephrine
Epirus	Epirus (periphery)
Teória poznania	Epistemology
Epitel	Epithelium
Epsilon	Epsilon
Rovnica (matematika)	Equation
Rovník	Equator
Rovníková Guinea	Equatorial Guinea
Kategória:Rovníková Guinea	Equatorial Guinea
Equus (rod)	Equidae
Rovnodennosť	Equinox
Erasure	Erasure
Erato (múza)	Erato
Eratostenes	Eratosthenes
Erbium	Erbium
Erebos	Erebus
Erekcia	Erection
Súhvezdie Eridanus	Eridanus (constellation)
Erik Axel Karlfeldt	Erik Axel Karlfeldt
136199 Eris	Eris (dwarf planet)
Eris	Eris (mythology)
Kategória:Eritrea	Eritrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Werner Siemens	Ernst Werner von Siemens
Eros (mytológia)	Eros (mythology)
Erózia	Erosion
Erwin Rommel	Erwin Rommel
Úniková rýchlosť	Escape velocity
Eschatológia	Eschatology
Pažerák	Esophagus
Esperanto	Esperanto
Kategória:Esperanto	Esperanto
Espoo	Espoo
Esej	Essay
Essen	Essen
Éterický olej	Essential oil
Essex (grófstvo)	Essex
Ester (zlúčenina)	Ester
Kategória:Estónsko	Estonia
Éta	Eta (letter)
Lept	Etching
Etán	Ethane
Etanol	Ethanol
Ethernet	Ethernet
Etika	Ethics
Kategória:Etika	Ethics
Etiópia	Ethiopia
Kategória:Etiópia	Ethiopia
Etnikum	Ethnic group
Etnografia	Ethnography
Kategória:Etnológia	Ethnology
Etológia	Ethology
Etén	Ethylene
Etymológia	Etymology
Sviatosť Oltárna	Eucharist
Euklides	Euclid
Euklidovská geometria	Euclidean geometry
Eugene O'Neill	Eugene O'Neill
Eukaryoty	Eukaryote
Eunuch	Eunuch
Eufemizmus	Euphemism
Eufrat	Euphrates
Eurázia	Eurasia
Euripides	Euripides
Euro	Euro
Európa (mesiac)	Europa (moon)
Európa	Europe
Kategória:Európa	Europe
Európska centrálna banka	European Central Bank
Straka čiernozobá	European Magpie
Európska únia	European Union
Kategória:Európska únia	European Union
Európium	Europium
Eusebios z Kaisareie	Eusebius of Caesarea
Euterpa	Euterpe
Eutanázia	Euthanasia
Evanescence	Evanescence
Evangelista Torricelli	Evangelista Torricelli
Vyparovanie	Evaporation
Párnokopytníky	Even-toed ungulate
Excalibur (meč)	Excalibur
Výkričník	Exclamation mark
Exkomunikácia	Excommunication
Výkonná moc	Executive (government)
Exhibicionizmus	Exhibitionism
Existencializmus	Existentialism
Exodus (Biblia)	Exodus
Pokus	Experiment
Explózia	Explosion
Expo	Expo (exhibition)
Exponenciálna funkcia	Exponential function
Mocnina	Exponentiation
Expresionizmus	Expressionism
Vymieranie	Extinction
Oko	Eye
