Swedish	English
Brun glada	Black Kite
Svarta havet	Black Sea
Svart stork	Black Stork
Svartkroppsstrålning	Black body
Svart hål	Black hole
Pepparplanta	Black pepper
Koltrast	Blackbird
Blaise Pascal	Blaise Pascal
Blender	Blender (software)
Blindhet	Blindness
Blixtkrig	Blitzkrieg
Bloemfontein	Bloemfontein
Blogg	Blog
Blod	Blood
Blodplasma	Blood plasma
Blodtryck	Blood pressure
Blodgrupper	Blood type
Blodkärl	Blood vessel
Blå	Blue
Blåval	Blue Whale
Blues	Blues
Vildsvin	Boar
Brädspel	Board game
Båt	Boat
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bobby Fischer	Bobby Fischer
Bob (sport)	Bobsleigh
Bodhisattva	Bodhisattva
BMI	Body mass index
Bodybuilding	Bodybuilding
Böhmen	Bohemia
Bohrium	Bohrium
Kokpunkt	Boiling point
Boise	Boise
Stensopp	Boletus edulis
Bolivia	Bolivia
Kategori:Bolivia	Bolivia
Bollywood	Bollywood
Bologna	Bologna
Bolsjevik	Bolshevik
Bolzano	Bolzano
Bomb	Bomb
Bombflygplan	Bomber
Silkesfjäril	Bombyx mori
Obligation	Bond (finance)
Ben (skelett)	Bone
Benmärg	Bone marrow
Bonn	Bonn
Bonsai	Bonsai
Bok	Book
Esters bok	Book of Esther
Josua	Book of Joshua
Domarboken	Book of Judges
Mormons bok	Book of Mormon
Fjärde Moseboken	Book of Numbers
Uppenbarelseboken	Book of Revelation
Ruts bok	Book of Ruth
Boolesk algebra	Boolean algebra (structure)
Bumerang	Boomerang
Bordeaux	Bordeaux
Boris Godunov	Boris Godunov
Boris Pasternak	Boris Pasternak
Boris Spasskij	Boris Spassky
Borneo	Borneo
Bor	Boron
Bosnien och Hercegovina	Bosnia and Herzegovina
Kategori:Bosnien och Hercegovina	Bosnia and Herzegovina
Boson	Boson
Bosporen	Bosporus
Boston	Boston
Tebjudningen i Boston	Boston Tea Party
Mall:Bot	Bot
Botanisk trädgård	Botanical garden
Botanik	Botany
Kategori:Botanik	Botany
Botswana	Botswana
Kategori:Botswana	Botswana
Flaska	Bottle
Öresvin	Bottlenose Dolphin
Bourgeoisie	Bourgeoisie
Bourgogne	Bourgogne
Bouvetön	Bouvet Island
Slidhornsdjur	Bovid
Pilbåge	Bow (weapon)
Bowling	Bowling
Boxer	Boxer (dog)
Kategori:Boxare	Boxers
Boxning	Boxing
Kategori:Boxning	Boxing
Boyles lag	Boyle's law
Parentes	Bracket
Braga	Braga
Brahma	Brahma
Brahmaputra	Brahmaputra River
Punktskrift	Braille
Hjärna	Brain
Brainstorming	Brainstorming
Bram Stoker	Bram Stoker
Brandenburg	Brandenburg
Brandy (spritdryck)	Brandy
Mässing	Brass
Korsblommiga växter	Brassicaceae
Behå	Brassiere
Bratislava	Bratislava
Braunschweig	Braunschweig
Brasilien	Brazil
Kategori:Brasilien	Brazil
Brazzaville	Brazzaville
Bröd	Bread
Bröstkörtlar	Breast
Bröstcancer	Breast cancer
Bremen	Bremen
Bremen (delstat)	Bremen (state)
Bremerhaven	Bremerhaven
Brescia	Brescia
Brest, Frankrike	Brest
Brest, Vitryssland	Brest
Brest	Brest
Bretagne	Bretagne
Murtegel	Brick
Bro	Bridge
Kategori:Broar	Bridges
Bridgetown	Bridgetown
Brigad	Brigade
Brighton	Brighton
Brindisi	Brindisi
Brisbane	Brisbane
Bristol	Bristol
British Columbia	British Columbia
Brittiska imperiet	British Empire
Brittiska öarna	British Isles
Brittiska Jungfruöarna	British Virgin Islands
Kategori:Britter	British people
Brno	Brno
Broadway	Broadway (New York City)
Broccoli	Broccoli
Brom	Bromine
Brons	Bronze
Bronsåldern	Bronze Age
Brooklyn	Brooklyn
Brooklyn Bridge	Brooklyn Bridge
Brun	Brown
Brunbjörn	Brown Bear
Brownsk rörelse	Brownian motion
Bruce Lee	Bruce Lee
Brygge	Bruges
Brunei	Brunei
Kategori:Brunei	Brunei
Bryssel	Brussels
Pest	Bubonic plague
Bukarest	Bucharest
Buckingham Palace	Buckingham Palace
Buckminster Fuller	Buckminster Fuller
Bovete	Buckwheat
Budapest	Budapest
Buddha (titel)	Buddha
Buddhism	Buddhism
Kategori:Buddhism	Buddhism
Buddy Holly	Buddy Holly
Buenos Aires	Buenos Aires
Buffalo, New York	Buffalo
Byggnad	Building
Bujumbura	Bujumbura
Bulgarien	Bulgaria
Kategori:Bulgarien	Bulgaria
Humlor	Bumblebee
Arkimedes princip	Buoyancy
Byråkrati	Bureaucracy
Borgmästare	Burgomaster
Burkina Faso	Burkina Faso
Kategori:Burkina Faso	Burkina Faso
Burma	Burma
Kategori:Burma	Burma
Burka	Burqa
Bursa (stad)	Bursa
Kategori:Burundi	Burundi
Buss	Bus
Buss (elektronisk term)	Bus (computing)
Näringsliv	Business
Kategori:Personer inom näringsliv	Businesspeople
Buster Keaton	Buster Keaton
Butan	Butane
Smör	Butter
Dagfjärilar	Butterfly
Fjärilseffekten	Butterfly effect
Bydgoszcz	Bydgoszcz
Byte (enhet)	Byte
Kategori:Bysantinska riket	Byzantine Empire
C	C
C (programspråk)	C (programming language)
C.S. Lewis	C. S. Lewis
CD (olika betydelser)	CD (disambiguation)
CHAOS	CHAOS (Linux distribution)
CN Tower	CN Tower
COBOL	COBOL
Kabaré	Cabaret
Kakao	Cacao
Cache	Cache
Kaktusväxter	Cactus
Kadmium	Cadmium
Kadmos	Cadmus
Gravstickeln	Caelum
Cesium	Caesium
Koffein	Caffeine
Kairo	Cairo
Tårta	Cake
Kalabrien	Calabria
Calais	Calais
Kalkspat	Calcite
Kalcium	Calcium
Kalciumkarbonat	Calcium carbonate
Kalciumoxid	Calcium oxide
Miniräknare	Calculator
Matematisk analys	Calculus
Caldera	Caldera
Kalender	Calendar
Kaliber	Caliber
Kalifornien	California
Kategori:Kalifornien	California
Californium	Californium
Caligula	Caligula
Kalif	Caliph
Kalifat	Caliphate
Kalligrafi	Calligraphy
Kalliope	Calliope
Callisto	Callisto (moon)
Kallisto	Callisto (mythology)
Kalori	Calorie
Calvados	Calvados
Golgata	Calvary
Calvin Coolidge	Calvin Coolidge
Kalypso	Calypso (mythology)
Kambodja	Cambodia
Kategori:Kambodja	Cambodia
Kambrium	Cambrian
Cambridge	Cambridge
Cambridge, Massachusetts	Cambridge
Cambridge (olika betydelser)	Cambridge (disambiguation)
Camelus	Camel
Camembert	Camembert (cheese)
Kamera	Camera
Kamerun	Cameroon
Kategori:Kamerun	Cameroon
Kampanien	Campania
Kanada	Canada
Kategori:Kanada	Canada
Kanadensisk dollar	Canadian dollar
Kanal	Canal
Kanarieöarna	Canary Islands
Kategori:Kanarieöarna	Canary Islands
Canberra	Canberra
Cancer	Cancer
Kräftan (stjärnbild)	Cancer (constellation)
Candela	Candela
Levande ljus	Candle
Hunddjur	Canidae
Stora hunden	Canis Major
Lilla hunden	Canis Minor
Cannabis	Cannabis
Cannabis	Cannabis (drug)
Cannes	Cannes
Kannibalism	Cannibalism
Kanon	Cannon
Kanot	Canoe
Canon	Canon (company)
Kantat	Cantata
Canterbury	Canterbury
Kantonesiska	Cantonese (linguistics)
Knut den store	Canute the Great
Kapacitans	Capacitance
Kondensator	Capacitor
Cape Canaveral	Cape Canaveral
Kap Horn	Cape Horn
Kapstaden	Cape Town
Kap Verde	Cape Verde
Kategori:Kap Verde	Cape Verde
Godahoppsudden	Cape of Good Hope
Huvudstad	Capital
Kapital	Capital (economics)
Dödsstraff	Capital punishment
Kapitalism	Capitalism
Kappadokien	Cappadocia
Stenbocken (stjärnbild)	Capricornus
Spanskpepparsläktet	Capsicum
Ökenlo	Caracal
Caracas	Caracas
Carambola	Carambola
Karat	Carat (mass)
Karat	Carat (purity)
Caravaggio	Caravaggio
Kolhydrat	Carbohydrate
Kol	Carbon
Kolcykeln	Carbon cycle
Koldioxid	Carbon dioxide
Kolmonoxid	Carbon monoxide
Kolsyra	Carbonic acid
Karbon	Carboniferous
Karboxylsyra	Carboxylic acid
Förgasare	Carburetor
Kortspel	Card game
Kardemumma	Cardamom
Cardiff	Cardiff
Kardinal	Cardinal (Catholicism)
Armand-Jean du Plessis Richelieu	Cardinal Richelieu
Kardiologi	Cardiology
Kategori:Kardiologi	Cardiology
Kategori:Kardiovaskulära systemet	Cardiovascular system
Västindien	Caribbean
Karibiska havet	Caribbean Sea
Karikatyr	Caricature
Kölen (stjärnbild)	Carina (constellation)
Carl D. Anderson	Carl David Anderson
Carl Gustav Jung	Carl Jung
Carl Lewis	Carl Lewis
Carl Maria von Weber	Carl Maria von Weber
Carl Orff	Carl Orff
Karneval	Carnival
Rovdjur	Carnivora
Köttätare	Carnivore
Köttätande växter	Carnivorous plant
Karolinger	Carolingian dynasty
Carl von Linné	Carolus Linnaeus
Karpaterna	Carpathian Mountains
Morot	Carrot
Carson City	Carson City
Cartagena, Spanien	Cartagena
Kartesiskt koordinatsystem	Cartesian coordinate system
Karthago	Carthage
Kartografi	Cartography
Kategori:Kartografi	Cartography
Cary Grant	Cary Grant
Caryophyllales	Caryophyllales
Casablanca	Casablanca
Cashew	Cashew
Kasino	Casino
Kaspiska havet	Caspian Sea
Kassandra	Cassandra
Cassiopeja	Cassiopeia (constellation)
Gjutjärn	Cast iron
Kast	Caste
Kastilien	Castile (historical region)
Borg	Castle
Rockad	Castling
Castries	Castries
Casus belli	Casus belli
Katt	Cat
Katalonien	Catalonia
Kategori:Katalonien	Catalonia
Katalysator	Catalysis
Katafrakt	Cataphract
Grå starr	Cataract
Malartade fiskar	Catfish
Katarer	Catharism
Katedral	Cathedral
Katarina Parr	Catherine Parr
Katarina av Aragonien	Catherine of Aragon
Katod	Cathode
Katolsk	Catholicism
Nötkreatur	Cattle
Kohäger	Cattle Egret
Catullus	Catullus
Kaukasien	Caucasus
Kategori:Kaukasien	Caucasus
Kaukasus	Caucasus Mountains
Blomkål	Cauliflower
Kausalitet	Causality
Kavalleri	Cavalry
Grotta	Cave
Kaviar	Caviar
Cayenne	Cayenne
Caymanöarna	Cayman Islands
Cecil Rhodes	Cecil Rhodes
Cedersläktet	Cedar
Selleri	Celery
Himmelsekvator	Celestial equator
Kategori:Celest mekanik	Celestial mechanics
Celest mekanik	Celestial mechanics
Stjärnhimmel	Celestial sphere
Celibat	Celibacy
Cell	Cell (biology)
Cellmembran	Cell membrane
Cellkärna	Cell nucleus
Cellvägg	Cell wall
Cello	Cello
Cellulosa	Cellulose
Grad Celsius	Celsius
Cement	Cement
Begravningsplats	Cemetery
Kenozoikum	Cenozoic
Folkräkning	Census
Kentaurer	Centaur
Kentauren	Centaurus
Masscentrum	Center of mass
Centralafrika	Central Africa
Centralafrikanska republiken	Central African Republic
Kategori:Centralafrikanska republiken	Central African Republic
Centralamerika	Central America
Kategori:Centralamerika	Central America
CIA	Central Intelligence Agency
Central Park	Central Park
Centralmakterna	Central Powers
Centralbank	Central bank
Centrala nervsystemet	Central nervous system
CPU	Central processing unit
Centre	Centre
Centriol	Centriole
Sekel	Century
Bläckfiskar	Cephalopod
Cepheus	Cepheus (constellation)
Keramik	Ceramic
Kerberos	Cerberus
Spannmål	Cereal
Lillhjärnan	Cerebellum
Ceres	Ceres
1 Ceres	Ceres (dwarf planet)
Ceres (mytologi)	Ceres (mythology)
Cerium	Cerium
Cesare Borgia	Cesare Borgia
Bandmaskar	Cestoda
Valar	Cetacea
Valfisken (stjärnbild)	Cetus
Tchad	Chad
Kategori:Tchad	Chad
Bofink	Chaffinch
Stol	Chair
Kalcedon	Chalcedony
Kameleonten	Chamaeleon
Gems	Chamois
Blanc de noirs	Champagne (wine)
Champagne-Ardenne	Champagne-Ardenne
Kanaltunneln	Channel Tunnel
Chaos	Chaos (mythology)
Vadarfåglar	Charadriiformes
Karl den store	Charlemagne
Charleroi	Charleroi
Charles av Storbritannien	Charles
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Fourier	Charles Fourier
Charles Lindbergh	Charles Lindbergh
Charles Peirce	Charles Peirce
C.T.R. Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
Karl den skallige	Charles the Bald
Charleston, West Virginia	Charleston
Charlie Chaplin	Charlie Chaplin
Charlie Parker	Charlie Parker
Charlotte, North Carolina	Charlotte
Förhäxad	Charmed
Charon (måne)	Charon (moon)
Charon	Charon (mythology)
Chartres	Chartres
Chauvinism	Chauvinism
Che Guevara	Che Guevara
Tjetjenien	Chechnya
Kategori:Tjetjenien	Chechnya
Ost	Cheese
Gepard	Cheetah
Tjeljabinsk	Chelyabinsk
Kemisk bindning	Chemical bond
Kemisk förening	Chemical compound
Grundämne	Chemical element
Kemiteknik	Chemical engineering
Summaformel	Chemical formula
Kemisk reaktion	Chemical reaction
Kemiska vapen	Chemical warfare
Kemi	Chemistry
Kategori:Kemi	Chemistry
Chemnitz	Chemnitz
Kemoterapi	Chemotherapy
Madras	Chennai
Check (betalningsmedel)	Cheque
Tjernobyl	Chernobyl
Körsbär	Cherry
Flinta	Chert
Kerub	Cherub
Schack	Chess
Kategori:Schack	Chess
Schacköppning	Chess opening
Chester A. Arthur	Chester A. Arthur
Kastanjesläktet	Chestnut
Tuggummi	Chewing gum
Cheyenne, Wyoming	Cheyenne
Chi	Chi (letter)
Chiang Kai-shek	Chiang Kai-shek
Chicago	Chicago
Höns	Chicken
Vattkoppor	Chickenpox
Kikärt	Chickpea
Chihuahua (delstat)	Chihuahua
Barn	Child
Förlossning	Childbirth
Chile	Chile
Kategori:Chile	Chile
Chimborazo	Chimborazo (volcano)
Chimaira	Chimera (mythology)
Schimpanser	Chimpanzee
Kategori:Kina	China
Kina (region)	China
Chios	Chios
Keiron	Chiron
Kitin	Chitin
Klor	Chlorine
Kloroform	Chloroform
Klorofyll	Chlorophyll
Kloroplast	Chloroplast
Choklad	Chocolate
Kör	Choir
Kolera	Cholera
Kolesterol	Cholesterol
Broskfiskar	Chondrichthyes
Chongqing	Chongqing
Ackord	Chord (music)
Ryggsträngsdjur	Chordate
Christchurch, Nya Zeeland	Christchurch
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Kristendom	Christianity
Kategori:Kristendom	Christianity
Jul	Christmas
Kategori:Jul	Christmas
Julafton	Christmas Eve
Julgran	Christmas tree
Christofer Columbus	Christopher Columbus
Christopher Marlowe	Christopher Marlowe
Kromatin	Chromatin
Kromatografi	Chromatography
Krom	Chromium
Kromosom	Chromosome
Chuck Berry	Chuck Berry
Tjuktjerhavet	Chukchi Sea
Kyrkan	Church
Kyrka	Church (building)
Engelska kyrkan	Church of England
Cicero	Cicero
Storkfåglar	Ciconiiformes
Cider	Cider
Cigarett	Cigarette
Askungen	Cinderella
Äkta kanel	Cinnamon
Kirke	Circe
Cirkelpassaren	Circinus
Cirkel	Circle
Kardiovaskulära systemet	Circulatory system
Manlig omskärelse	Circumcision
Cirkus	Circus
Skrumplever	Cirrhosis
Medborgarskap	Citizenship
Citronsyra	Citric acid
Citronsyracykeln	Citric acid cycle
Citrussläktet	Citrus
Stadsstat	City-state
Inbördeskrig	Civil war
Civilisation	Civilization
Sid Meier's Civilization	Civilization (computer game)
Klarinett	Clarinet
Clark Gable	Clark Gable
Klass	Class
Klass (biologi)	Class (biology)
Klass (programmering)	Class (computer science)
Klassisk mekanik	Classical mechanics
Klassisk musik	Classical music
Kategori:Klassisk musik	Classical music
Klassicism	Classicism
Claude Monet	Claude Monet
Claude Shannon	Claude Shannon
Claudio Monteverdi	Claudio Monteverdi
Claudius	Claudius
Nyckelben	Clavicle
Lera	Clay
Klav	Clef
Clement Attlee	Clement Attlee
Kleopatra (olika betydelser)	Cleopatra (disambiguation)
Klerk	Clergy
Cleveland	Cleveland
Klient–server	Client-server
Klimat	Climate
Klimatförändring	Climate change
Klimatologi	Climatology
Kategori:Klimatologi	Climatology
Depression	Clinical depression
Klio	Clio
Klitoris	Clitoris
Ur	Clock
Big Ben	Clock Tower
Kloning	Cloning
Kategori:Kläder	Clothing
Kläder	Clothing
Moln	Cloud
Kryddnejlika	Clove
Klövrar	Clover
Klodvig I	Clovis I
Nässeldjur	Cnidaria
Kol (bränsle)	Coal
Kust	Coast
Heraldiskt vapen	Coat of arms
Kobolt	Cobalt
Kokain	Cocaine
Nyckelpigor	Coccinellidae
Kakaduor	Cockatoo
Kackerlackor	Cockroach
Cocktail	Cocktail
Kokospalm	Coconut
Kokosöarna	Cocos (Keeling) Islands
Kodein	Codeine
Kaffesläktet	Coffea
Kaffe	Coffee
Kategori:Kaffe	Coffee
Konjak	Cognac (drink)
Kognitiv psykologi	Cognitive psychology
Kognitionsvetenskap	Cognitive science
Mynt	Coin
Cola	Cola
Kolchis	Colchis
Kalla kriget	Cold War
Kategori:Kalla kriget	Cold War
Colin Powell	Colin Powell
Collage	Collage
Kollagen	Collagen
Kolloid	Colloid
Köln	Cologne
Colombia	Colombia
Kategori:Colombia	Colombia
Colombo	Colombo
Överste	Colonel
Koloni	Colony
Färg	Color
Färgblindhet	Color blindness
Colorado	Colorado
Kategori:Colorado	Colorado
Coloradofloden	Colorado River
Colosseum	Colosseum
Kolossen på Rhodos	Colossus of Rhodes
Snokar	Colubrid
Duvan	Columba (constellation)
Columbia, South Carolina	Columbia
Columbia	Columbia
Columbiafloden	Columbia River
Columbia University	Columbia University
Duvor	Columbidae
Kategori:Duvfåglar	Columbiformes
Duvfåglar	Columbiformes
Columbus, Ohio	Columbus
Columbus (olika betydelser)	Columbus
Koma	Coma
Berenikes hår	Coma Berenices
Förbränning	Combustion
Komedi	Comedy
Johan Amos Comenius	Comenius
Komet	Comet
Kommatecken	Comma (punctuation)
Commedia dell'arte	Commedia dell'arte
Fikon	Common Fig
Förkylning	Common cold
Oberoende staters samvälde	Commonwealth of Independent States
Samväldet	Commonwealth of Nations
Kategori:Kommunikation	Communication
Kommunikation	Communication
Kommunism	Communism
Kategori:Kommunism	Communism
Komorerna	Comoros
Kategori:Komorerna	Comoros
CD	Compact Disc
Kompani	Company (military unit)
Kompass	Compass
Passare	Compass (drafting)
Konkurrens	Competition
Kompilator	Compiler
CISC	Complex instruction set computer
Komplexa tal	Complex number
Kompositör	Composer
Komposit	Composite material
Datortomografi	Computed tomography
Dator	Computer
Datorarkitektur	Computer architecture
Bildskärm	Computer display
Fil (data)	Computer file
Kategori:Datorgrafik	Computer graphics
Maskinvara	Computer hardware
Datornätverk	Computer network
Datorprogram	Computer program
Programmering	Computer programming
Kategori:Programmering	Computer programming
Datavetenskap	Computer science
Kategori:Datavetenskap	Computer science
Programvara	Computer software
Datorvirus	Computer virus
CAD	Computer-aided design
Kategori:Datasystem	Computing
Conakry	Conakry
Koncentration	Concentration
Konsert (musikstycke)	Concerto
Concord, New Hampshire	Concord
Betong	Concrete
Kondom	Condom
Dirigent	Conducting
Kon	Cone (geometry)
Amerikas konfedererade stater	Confederate States of America
Konfederation	Confederation
Botens sakrament	Confession
Konfirmation	Confirmation
Konflikt	Conflict
Konfucianism	Confucianism
Konfucius	Confucius
Kongo	Congo
Kongofloden	Congo River
Kägelsnitt	Conic section
Connecticut	Connecticut
Kategori:Connecticut	Connecticut
Bindväv	Connective tissue
Conquistador	Conquistador
Konsensus	Consensus
Energiprincipen	Conservation of energy
Konservatism	Conservatism
Konsonant	Consonant
Konstantin den store	Constantine I
Konstantinopel	Constantinople
Stjärnbild	Constellation
Grundlag	Constitution (political)
Konsul (Rom)	Consul
Konsumtion	Consumption (economics)
Kontaktlins	Contact lens
Världsdelar och kontinenter	Continent
Kontinentalsockel	Continental shelf
Bridge	Contract bridge
Konvektion	Convection
Matlagning	Cooking
Kooperativ	Cooperative
Koordinatsystem	Coordinate system
Koordinerad universell tid	Coordinated Universal Time
Köpenhamn	Copenhagen
Koppar	Copper
Upphovsrätt	Copyright
Engelskt horn	Cor anglais
Praktfåglar	Coraciiformes
Koralldjur	Coral
Korallhavet	Coral Sea
Korallrev	Coral reef
Koriander	Coriander
Korinth	Corinth
Corioliseffekten	Coriolis effect
Cork	Cork (city)
Skarvar	Cormorant
Hornhinna	Cornea
Cornell University	Cornell University
Cornwall	Cornwall
Norra kronan	Corona Borealis
Korrosion	Corrosion
Korsika	Corsica
Korund	Corundum
Korvett	Corvette
Kråkfåglar	Corvidae
Korpen (stjärnbild)	Corvus (constellation)
Kosmisk bakgrundsstrålning	Cosmic microwave background radiation
Kosmiska partiklar	Cosmic ray
Kosmologi	Cosmology
Kategori:Kosmologi	Cosmology
Costa Rica	Costa Rica
Kategori:Costa Rica	Costa Rica
Cotonou	Cotonou
Cotopaxi	Cotopaxi
Bomullsläktet	Cotton
Puma	Cougar
Coulomb	Coulomb
Coulombs lag	Coulomb's law
Konciliet i Chalcedon	Council of Chalcedon
Konciliet i Efesus	Council of Ephesus
Tridentinska kyrkomötet	Council of Trent
Kontrapunkt	Counterpoint
Land	Country
Countrymusik	Country music
Domstol	Court
Kovalent bindning	Covalent bond
Coventry	Coventry
Prärievarg	Coyote
Krabbor	Crab
Krabbnebulosan	Crab Nebula
Tranor	Crane (bird)
Bägaren	Crater (constellation)
Kreationism	Creationism
Cremona	Cremona
Krita (geologi)	Cretaceous
Kreta	Crete
Cricket	Cricket
Syrsor	Cricket (insect)
Brott	Crime
Krim	Crimea
Krimkriget	Crimean War
Kategori:Straffrätt	Criminal law
Straffrätt	Criminal law
Kriminologi	Criminology
Kategori:Kriminologi	Criminology
Kroatien	Croatia
Kategori:Kroatien	Croatia
Krokodiler	Crocodile
Krokodildjur	Crocodilia
Kronos	Cronus
Kors	Cross
Kryssprodukt	Cross product
Armborst	Crossbow
Korsord	Crossword
Kråkor	Crow
Korsfästelse	Crucifixion
Kryssare	Cruiser
Jordskorpa	Crust (geology)
Kräftdjur	Crustacean
Södra korset	Crux
Kryptografi	Cryptography
Kategori:Kryptologi	Cryptography
Kristall	Crystal
Kammaneter	Ctenophore
Kuba	Cuba
Kategori:Kuba	Cuba
Kub (geometri)	Cube
Kubikmeter	Cubic metre
Kubism	Cubism
Gökfåglar	Cuculiformes
Gurka	Cucumber
Gurkväxter	Cucurbitaceae
Kulturrevolutionen	Cultural Revolution
Kultur	Culture
Kategori:Kultur	Culture
Cumbria	Cumbria
Cumulus	Cumulus cloud
Curitiba	Curitiba
Curium	Curium
Curling	Curling
Kategori:Valutor	Currency
Valuta	Currency
Curry	Curry
Kurva	Curve
Cusco	Cusco
Cyan	Cyan
Cyanider	Cyanide
Cyanobakterier	Cyanobacteria
Kybele	Cybele
Cybernetik	Cybernetics
Cyberpunk	Cyberpunk
Kykladerna	Cyclades
Cykelsport	Cycling
Kategori:Cykelsport	Cycling
Cykloper	Cyclops
Svanen (stjärnbild)	Cygnus (constellation)
Cylinder	Cylinder (geometry)
Halvgräs	Cyperaceae
Karpfiskar	Cyprinid
Karpartade fiskar	Cypriniformes
Cypern	Cyprus
Kategori:Cypern	Cyprus
Kyrilliska alfabetet	Cyrillic alphabet
Kyros II	Cyrus the Great
Cystisk fibros	Cystic fibrosis
Cytoplasma	Cytoplasm
Cytosin	Cytosine
Cellskelett	Cytoskeleton
Tjeckien	Czech Republic
Kategori:Tjeckien	Czech Republic
Tjeckoslovakien	Czechoslovakia
Kategori:Tjeckoslovakien	Czechoslovakia
D	D
D.H. Lawrence	D. H. Lawrence
D.W. Griffith	D. W. Griffith
DDT	DDT
DNA	DNA
DOS	DOS
DVD	DVD
Tax	Dachshund
Dadaism	Dada
Daidalos	Daedalus
Dolk	Dagger
Daguerrotypi	Daguerreotype
Dakar	Dakar
Dalai lama	Dalai Lama
Dallas	Dallas
Dalmatien	Dalmatia
Dammbyggnad	Dam
Damaskus	Damascus
Dans	Dance
Kategori:Dans	Dance
Maskrosor	Dandelion
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
Daniel Ortega	Daniel Ortega
Dansk krona	Danish krone
Dante Alighieri	Dante Alighieri
Donau	Danube
Dafne	Daphne
Dar es-Salaam	Dar es Salaam
Dardanellerna	Dardanelles
Darfur	Darfur
Darjeeling	Darjeeling
Mörk materia	Dark matter
Darmstadtium	Darmstadtium
Darwin, Australien	Darwin
Darwin	Darwin
Kapitalet	Das Kapital
Data (mönster)	Data
Data mining	Data mining
Datastruktur	Data structure
Databas	Database
Databashanterare	Database management system
Dadelpalm	Date Palm
Dativ	Dative case
Daugavpils	Daugavpils
Kung David	David
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
David Ricardo	David Ricardo
Davis Cup	Davis Cup
Dygn	Day
Kategori:Datum	Days
De facto	De facto
Diakon	Deacon
Döda havet	Dead Sea
Dödahavsrullarna	Dead Sea scrolls
Belladonna	Deadly nightshade
Döden	Death
Kategori:Döden	Death
Decennium	Decade
December	December
31 december	December 31
8 december	December 8
Decibel	Decibel
Decimala talsystemet	Decimal
Decius	Decius (emperor)
Deklination (astronomi)	Declination
Deco	Deco
Dekonstruktion	Deconstruction
Deduktion	Deductive reasoning
Hjortdjur	Deer
Definition	Definition
Deflation	Deflation
Grad	Degree
Vinkelgrad	Degree (angle)
Deimos (måne)	Deimos (moon)
Deism	Deism
Delaware	Delaware
Kategori:Delaware	Delaware
Delft	Delft
Delhi	Delhi
Dell	Dell
Delfi	Delphi
Delfinen	Delphinus
Delta (olika betydelser)	Delta
Delta	Delta (letter)
Syndafloden	Deluge (mythology)
Demagogi	Demagogy
Demens	Dementia
Demeter	Demeter
Demokrati	Democracy
Demokratiska partiet	Democratic Party (United States)
Kongo-Kinshasa	Democratic Republic of the Congo
Kategori:Kongo-Kinshasa	Democratic Republic of the Congo
Demokritos	Democritus
Demografi	Demography
Kategori:Demografi	Demography
Demon	Demon
Demosthenes	Demosthenes
Deng Xiaoping	Deng Xiaoping
Denguefeber	Dengue fever
Denis Diderot	Denis Diderot
Danmark	Denmark
Kategori:Danmark	Denmark
Dennis Gabor	Dennis Gabor
Densitet	Density
Karies	Dental caries
Kategori:Odontologi	Dentistry
Tandvård	Dentistry
Denver	Denver
Derivata	Derivative
Dermatologi	Dermatology
Des Moines	Des Moines
Öken	Desert
Kategori:Öknar	Deserts
Erasmus av Rotterdam	Desiderius Erasmus
Formgivning	Design
Desmond Tutu	Desmond Tutu
Jagare	Destroyer
Determinant	Determinant
Determinism	Determinism
Detroit	Detroit
Deuterium	Deuterium
Femte Moseboken	Deuteronomy
Utvecklingspsykologi	Developmental psychology
Drivrutin	Device driver
Devon, England	Devon
Devon (period)	Devonian
Dagg	Dew
Daggpunkt	Dew point
Dewey Decimal Classification	Dewey Decimal Classification
Dacca	Dhaka
Dhaulagiri	Dhaulagiri
Asiatisk vildhund	Dhole
Diabetes	Diabetes mellitus
Diakritiskt tecken	Diacritic
Dialekt	Dialect
Dialektik	Dialectic
Materialistisk dialektik	Dialectical materialism
Diameter	Diameter
Diamant	Diamond
Prinsessan Diana	Diana
Diana	Diana (mythology)
Diarré	Diarrhea
Diaspora	Diaspora
Kiselalger	Diatom
Tärning	Dice
Tvåhjärtbladiga	Dicotyledon
Diktatur	Dictatorship
Ordbok	Dictionary
Diego Rivera	Diego Rivera
Dieselolja	Diesel
Dieselmotor	Diesel engine
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Differentialekvation	Differential equation
Diffraktion	Diffraction
Diffusion	Diffusion
Matspjälkning	Digestion
Kategori:Matspjälkning	Digestive system
Digital	Digital
Digitalkamera	Digital camera
Digital Subscriber Line	Digital subscriber line
Dijon	Dijon
Dill	Dill
Dimension	Dimension
Dingo	Dingo
Dinosaurier	Dinosaur
Stift (kyrkligt förvaltningsområde)	Diocese
Diocletianus	Diocletian
Diod	Diode
Dionysos	Dionysus
Difteri	Diphtheria
Diftong	Diphthong
Diplodocus	Diplodocus
Diplomati	Diplomacy
Kategori:Diplomati	Diplomacy
