English	Catalan
Hypertext Transfer Protocol	Protocol de transferència d'hipertext
Hypnos	Himnos
Hypnosis	Hipnosi
Hypothalamus	Hipotàlem
Hypothesis	Hipòtesi
I	I
I. M. Pei	Ieoh Ming Pei
IPod	IPod
Iapetus (moon)	Jàpet (satèl·lit)
Iapetus (mythology)	Jàpet (fill d'Urà)
Iberian Peninsula	Península Ibèrica
Ibuprofen	Ibuprofén
Ice	Gel
Ice age	Edat glacial
Ice cream	Gelat
Ice hockey	Hoquei sobre gel
Ice hockey	Categoria:Hoquei sobre gel
Iceberg	Iceberg
Iceland	Islàndia
Iceland	Categoria:Islàndia
Ichthyology	Ictiologia
Icon	Icona
Iconoclasm	Iconoclàstia
Idaho	Idaho
Identity element	Element neutre
Identity matrix	Matriu identitat
Ideology	Ideologia
Ido	Ido
Ignatius of Loyola	Sant Ignasi de Loiola
Igneous rock	Roques ígnies
Igor Stravinsky	Igor Stravinski
Iguazu Falls	Cascades de l'Iguaçú
Iliad	Ilíada
Illinois	Illinois
Illyria	Il·líria
Image scanner	Escàner
Imam	Imam
Immanuel Kant	Immanuel Kant
Immune system	Sistema immunitari
Immunology	Immunologia
Imperialism	Imperialisme
Impressionism	Impressionisme
Incest	Incest
Inch	Polzada
Inclined plane	Pla inclinat
Independence	Independència
India	Índia
India	Categoria:Índia
Indian Ocean	Oceà Índic
Indian Ocean	Categoria:Oceà Índic
Indiana	Indiana
Indianapolis	Indianàpolis
Indira Gandhi	Indira Gandhi
Indium	Indi (element)
Indochina	Indoxina
Indonesia	Indonèsia
Indonesia	Categoria:Indonèsia
Inductance	Inductància
Inductor	Inductor
Indus (constellation)	Indi (constel·lació)
Indus River	Indus
Industrial Revolution	Revolució Industrial
Industry	Indústria
Industry	Categoria:Indústria
Inequality	Inequació
Inertia	Moment d'inèrcia
Infantry	Infanteria
Infectious disease	Malaltia infecciosa
Infinitive	Infinitiu
Infinity	Infinit
Inflammation	Inflamació
Inflation	Inflació
Influenza	Grip
Information	Informació
Information technology	Tecnologies de la Informació i la Comunicació
Infrared	Infraroig
Ingmar Bergman	Ingmar Bergman
Ingrid Bergman	Ingrid Bergman
Inner Mongolia	Mongòlia Interior
Innsbruck	Innsbruck
Inorganic chemistry	Química inorgànica
Inorganic chemistry	Categoria:Química inorgànica
Inquisition	Inquisició
Insect	Insecte
Insecticide	Insecticida
Insectivora	Insectívor
Institution	Institució
Insulin	Insulina
Insurance	contracte d'assegurança
Integer	Nombre enter
Integral	Integració
Integrated circuit	Circuit integrat
Intellectual property	Propietat intel·lectual
Intelligence	Intel·ligència
Intelligence quotient	Quocient intel·lectual
Interlingua	Interlingua
International Atomic Energy Agency	Agència Internacional de l'Energia Atòmica
International Civil Aviation Organization	Organització d'Aviació Civil Internacional
International Court of Justice	Cort Internacional de Justícia
International Date Line	Línia internacional de canvi de data
International Labour Organization	Organització Internacional del Treball
International Monetary Fund	Fons Monetari Internacional
International System of Units	Sistema Internacional d'Unitats
International law	Categoria:Dret internacional
Internet	Internet
Internet	Categoria:Internet
Internet Explorer	Internet Explorer
Internment	Camp de concentració
Intersection (set theory)	Intersecció
Intestine	Intestí
Intranet	Intranet
Invention	Invent
Invertebrate	Invertebrat
Io (moon)	Ió (satèl·lit)
Io (mythology)	Ió (mitologia)
Iodine	Iode
Ion	Ió (àtom)
Ionia	Jònia
Ionian Sea	Mar Jònica
Ionic bond	Enllaç iònic
Ionosphere	Ionosfera
Iota	Iota
Iowa	Estat d'Iowa
Iran	Iran
Iran	Categoria:Iran
Iraq	Iraq
Iraq	Categoria:Iraq
Ireland	Irlanda
Ireland	Categoria:Irlanda
Irenaeus	Sant Ireneu
Iridium	Iridi
Iris (anatomy)	Iris (anatomia)
Iris (mythology)	Iris (mitologia)
Irish Republican Army	Exèrcit Republicà Irlandès
Irish Sea	Mar d'Irlanda
Irish people	Categoria:Irlandesos
Iron	Ferro
Iron Age	Edat del ferro
Iron Curtain	Teló d'acer
Iron Maiden	Iron Maiden
Irony	Ironia
Irrational number	Nombre irracional
Irtysh River	Irtix
Isaac	Isaac
Isaac Asimov	Isaac Asimov
Isaac Bashevis Singer	Isaac Bashevis Singer
Isaac Newton	Isaac Newton
Isadora Duncan	Isadora Duncan
Ishmael	Ismael
Isis	Isis
Islam	Islam
Islam	Categoria:Islam
Islamabad	Islamabad
Islamic calendar	Calendari musulmà
Island	Illa
Isle of Man	Man
Isle of Man	Categoria:Illa de Man
Isle of Wight	Illa de Wight
Isotope	Isòtop
Israel	Israel
Israel	Categoria:Israel
Istanbul	Istanbul
Istanbul	Categoria:Istanbul
Isthmus	Istme
Isthmus of Panama	Istme de Panamà
Italian Peninsula	Península Itàlica
Italo Calvino	Italo Calvino
Italy	Itàlia
Italy	Categoria:Itàlia
Ithaca	Ítaca
Ivan Lendl	Ivan Lendl
Ivan Pavlov	Ivan Petrovich Pavlov
Ivan Turgenev	Ivan Turgenev
Ivory	Vori
Ivy League	Ivy League
Iwo Jima	Iwo Jima
J	J
J. D. Salinger	Jerome David Salinger
J. M. Barrie	James Matthew Barrie
Jack Kerouac	Jack Kerouac
Jack Lemmon	Jack Lemmon
Jack the Ripper	Jack l'Esbudellador
Jackdaw	Gralla (ocell)
Jackson	Jackson
Jackson Pollock	Jackson Pollock
Jacksonville	Jacksonville
Jacob	Jacob
Jacques Cartier	Jacques Cartier
Jacques Derrida	Jacques Derrida
Jacques Offenbach	Jacques Offenbach
Jade	Jade (mineral)
Jaguar	Jaguar
Jainism	Jainisme
Jakarta	Jakarta
Jamaica	Jamaica
Jamaica	Categoria:Jamaica
James	Sant Jaume el Major apòstol
James Bond	James Bond
James Buchanan	James Buchanan
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Franck	James Franck
James Joyce	James Joyce
James Madison	James Madison
James Monroe	James Monroe
James Naismith	James Naismith
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Jammu and Kashmir	Jammu i Caixmir
Jan Hus	Jan Hus
Jan van Eyck	Jan van Eyck
Jane Austen	Jane Austen
January	Gener
January 1	1 de gener
January 19	19 de gener
January 20	20 de gener
January 6	6 de gener
Janus (moon)	Janus (satèl·lit)
Janus (mythology)	Janus (mitologia)
Japan	Japó
Japan	Categoria:Japó
Jason	Jasó
Jaundice	Icterícia
Java	Illa de Java
Java (disambiguation)	Java
Java (programming language)	Java (llenguatge de programació)
Jawaharlal Nehru	Jawaharlal Nehru
Jazz	Jazz
Jazz	Categoria:Jazz
Jean Auguste Dominique Ingres	Jean Auguste Dominique Ingres
Jean Cocteau	Jean Cocteau
Jean Piaget	Jean Piaget
Jean Racine	Jean Racine
Jean Sibelius	Jean Sibelius
Jean de La Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jean-Philippe Rameau	Jean-Philippe Rameau
Jeddah	Gidda
Jefferson City	Jefferson City
Jefferson Davis	Jefferson Davis
Jehovah	Jehovà
Jehovah's Witnesses	Testimonis de Jehovà
Jellyfish	Medusa
Jena	Jena
Jeremy Bentham	Jeremy Bentham
Jerez de la Frontera	Jerez de la Frontera
Jericho	Jericó
Jerome	Sant Jeroni
Jersey	Jersey
Jerusalem	Jerusalem
Jesus	Jesús de Natzaret
Jew	Jueu
Jihad	Gihad
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Joan of Arc	Joana d'Arc
Johann Bernoulli	Johann Bernoulli
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Diderik van der Waals	Johannes Diderik van der Waals
Johannes Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
Johannes Vilhelm Jensen	Johannes Vilhelm Jensen
Johannesburg	Johannesburg
John Adams	John Adams
John Bardeen	John Bardeen
John Cage	John Cage
John Calvin	Joan Calví
John Chrysostom	Sant Joan Crisòstom
John Dalton	John Dalton
John Dewey	John Dewey
John Galsworthy	John Galsworthy
John Herschel	John Herschel
John Lennon	John Lennon
John Locke	John Locke
John Major	John Major
John Maynard Keynes	John Maynard Keynes
John Milton	John Milton
John Quincy Adams	John Quincy Adams
John Ruskin	John Ruskin
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Tyler	John Tyler
John Wayne	John Wayne
John the Baptist	Joan Baptista
John von Neumann	John von Neumann
Johnny Cash	Johnny Cash
Joint	Articulació (anatomia)
Jonathan Swift	Jonathan Swift
Jordan	Jordània
Jordan	Categoria:Jordània
Jordan River	Riu Jordà
Jorge Luis Borges	Jorge Luis Borges
Joseph Conrad	Joseph Conrad
Joseph Goebbels	Joseph Goebbels
Joseph Haydn	Joseph Haydn
Joseph Louis Gay-Lussac	Louis Joseph Gay-Lussac
Joseph Priestley	Joseph Priestley
Joseph Pulitzer	Joseph Pulitzer
Joseph Stalin	Iósif Stalin
Josephus	Flavi Josep
Joule	Joule
Journalism	Categoria:Periodisme
Journalism	Periodisme
Jovian	Jovià
Joystick	Joystick
Judaism	Judaisme
Judaism	Categoria:Judaisme
Judas Iscariot	Judes Iscariot
Judea	Judea
Judo	Judo
Judy Garland	Judy Garland
Jujutsu	Jujutsu
Jules Verne	Jules Verne
Julian calendar	Calendari julià
Julian the Apostate	Julià l'Apòstata
Julius Caesar	Juli Cèsar
July	Juliol
July 1	1 de juliol
July 4	4 de juliol
June	Juny
June 14	14 de juny
June 21	21 de juny
June 23	23 de juny
June 24	24 de juny
June 29	29 de juny
June 3	3 de juny
Juneau	Juneau
Juniper	Juniperus
Juno (mythology)	Juno
Jupiter	Júpiter (planeta)
Jupiter	Categoria:Júpiter
Jupiter (disambiguation)	Júpiter
Jupiter (mythology)	Júpiter (mitologia)
Jurassic	Juràssic
Justinian I	Justinià I
Jutland	Jutlàndia
K	K
K2	K2
KGB	KGB
Kaaba	Ka'ba
Kabbalah	Càbala
Kabul	Kabul
Kalahari Desert	Kalahari
Kamchatka Peninsula	Kamtxatka
Kamikaze	Kamikaze
Kampala	Kampala
Kandahar	Kandahār
Kangaroo	Cangur
Kansas	Kansas
Kansas City	Kansas City
Kappa	Kappa
Kara Sea	Mar de Kara
Karachi	Karachi
Karakoram	Karakoram
Karaoke	Karaoke
Karate	Karate
Karen Blixen	Karen Blixen
Karl Barth	Karl Barth
Karl Jaspers	Karl Jaspers
Karl Marx	Karl Marx
Karl Popper	Karl Popper
Karma	Karma
Karnataka	Karnataka
Katharine Hepburn	Katharine Hepburn
Kathmandu	Katmandú
Katowice	Katowice
Kayak	Caiac
Kazakhstan	Kazakhstan
Kazakhstan	Categoria:Kazakhstan
Kazan	Kazan
Kelvin	Kelvin
Kent	Kent
Kentucky	Kentucky
Kenya	Kenya
Kenya	Categoria:Kenya
Kernel (computer science)	Nucli del sistema operatiu
Kerosene	Querosè
Ketchup	Quètxup
Ketone	Cetona
Keyboard (computing)	Teclat d'ordinador
Keyboard instrument	Instrument de teclat
Kharkiv	Khàrkiv
Khartoum	Khartum
Khufu	Khufu
Kibbutz	Kibbutz
Kidney	Ronyó
Kiev	Kíev
Kigali	Kigali
Kilobyte	Kilobyte
Kilogram	Quilogram
Kilometre	Quilòmetre
Kilometres per hour	Quilòmetre per hora
Kimono	Kimono
Kindergarten	Educació infantil
Kinematics	Cinemàtica
Kinetic energy	Energia cinètica
King Arthur	Rei Artús
King Lear	El Rei Lear
Kingston	Kingston
Kingstown	Kingstown
Kinshasa	Kinshasa
Kiribati	Kiribati
Kiribati	Categoria:Kiribati
Kiss	Petó
Kite	Milotxa
Kiwi	Kiwi (ocell)
Knee	Genoll
Knesset	Knesset
Knife	Ganivet
Knight (chess)	Cavall (peça d'escacs)
Knossos	Cnossos
Knot (speed)	Nus (unitat)
Knowledge	Coneixement
Knut Hamsun	Knut Hamsun
Koala	Coala
Kobe	Kobe
Kola Peninsula	Península de Kola
Kolkata	Calcuta
Komodo dragon	Dragó de Komodo
Konqueror	Konqueror
Konrad Adenauer	Konrad Adenauer
Korea	Categoria:Corea
Korean War	Guerra de Corea
Kosovo	Kosovo
Kosovo	Categoria:Kosovo
Krakatoa	Krakatoa
Kremlin	Kremlin
Krishna	Krixna
Krypton	Criptó
Ku Klux Klan	Ku Klux Klan
Kuala Lumpur	Kuala Lumpur
Kuiper belt	Cinturó de Kuiper
Kumquat	Kumquat
Kung fu (term)	Kung-fu
Kunlun Mountains	Kunlun
Kuomintang	Guomindang
Kura River	Kura (Geòrgia)
Kurdistan	Kurdistan
Kurdistan	Categoria:Kurdistan
Kurdistan Workers Party	Partit dels Treballadors del Kurdistan
Kursk	Kursk
Kurt Vonnegut	Kurt Vonnegut
Kurt Waldheim	Kurt Waldheim
Kuwait	Kuwait
Kuwait	Categoria:Kuwait
Kuwait City	Al-Kuwait
KwaZulu-Natal	KwaZulu-Natal
Kyoto	Kyoto
Kyrgyzstan	Kirguizistan
Kyrgyzstan	Categoria:Kirguizistan
L	L
L'Aquila	L'Aquila
LAMP (software bundle)	LAMP
La Paz	La Paz
La Plata	La Plata
La Spezia	La Spezia
LaTeX	LaTeX
Laboratory	Laboratori
Labour Party (UK)	Partit Laborista (Regne Unit)
Labrador Retriever	Labrador retriever
Lacerta	Llangardaix (constel·lació)
Lactose	Lactosa
Lagomorpha	Lagomorf
Lagos	Lagos
Laissez-faire	Laissez faire
Lake	Llac
Lake Baikal	Baikal
Lake Balaton	Balaton
Lake Chad	Llac Txad
Lake Constance	Llac de Constança
Lake Geneva	Llac Léman
Lake Ilmen	Llac Ilmen
Lake Ladoga	Llac Làdoga
Lake Malawi	Llac Malawi
Lake Onega	Onega
Lake Ontario	Llac Ontàrio
Lake Tanganyika	Llac Tanganyika
Lake Victoria	Llac Victòria
Lambda	Lambda
Lamiaceae	Lamiàcia
Lammergeier	Trencalòs
Lamprey	Llamprea
Lancashire	Lancashire
Lancelet	Cefalocordat
Landfill	Abocador
Language	Llenguatge
Languedoc-Roussillon	Llenguadoc-Rosselló
Lansing	Lansing
Lanthanide	Lantànid
Lanthanum	Lantani
Laos	Laos
Laos	Categoria:Laos
Laptev Sea	Mar de Làptev
Laptop	Ordinador portàtil
Larch	Làrix
Larva	Larva
Larynx	Laringe
Las Vegas	Las Vegas
Lascaux	Coves de Lascaux
Laser	Làser
Lathe	Torn
Latin	Llatí
Latin America	Amèrica Llatina
Latin alphabet	Alfabet llatí
Latitude	Latitud
Latvia	Letònia
Latvia	Categoria:Letònia
Laughter	Riure
Laurasia	Lauràsia
Lausanne	Lausana
Lava	Lava
Law	Dret
Law	Categoria:Dret
Law enforcement	Categoria:Policia
Lawrencium	Laurenci
Lawyer	Advocat
Lazio	Laci
Le Corbusier	Le Corbusier
Le Havre	Le Havre
Lead	Plom
Leaf	Fulla
League of Nations	Societat de Nacions
Leaning Tower of Pisa	Torre de Pisa
Leap year	Any de traspàs
Learning	Aprenentatge
Lebanon	Líban
Lebanon	Categoria:Líban
Leda (mythology)	Leda
Lee Harvey Oswald	Lee Harvey Oswald
Leeds	Leeds
Left-handed	Esquerrà
Legend	Llegenda
Legislature	Poder legislatiu
Lego	Lego
Leiden	Leiden
Leipzig	Leipzig
Lemon	Llimona
Lemon balm	Melissa
Lena River	Lena
Length	Longitud (física)
Lens (optics)	Lent
Lent	Quaresma
Lentil	Llentilla
Leo (constellation)	Lleó (constel·lació)
Leo I (emperor)	Lleó I
Leon Trotsky	Lev Trotski
Leonard Bernstein	Leonard Bernstein
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Leonid Brezhnev	Leonid Brèjnev
Leopard	Lleopard
Lepidoptera	Lepidòpter
Leprosy	Lepra
Lepton	Leptó
Lepus (constellation)	Llebre (constel·lació)
Lesbian	Lesbiana
Lesotho	Lesotho
Lesotho	Categoria:Lesotho
Leto	Leto
Letter (alphabet)	Lletra (grafia)
Leukemia	Leucèmia
Lever	Palanca
Leviathan	Leviatan
Leviticus	Levític
Lewis Carroll	Lewis Carroll
Lexicology	Lexicologia
Lhasa	Lhasa
Lhotse	Lhotse
Liberalism	Liberalisme
Liberation Tigers of Tamil Eelam	Tigres d'Alliberament de Tamil Eelam
Liberia	Libèria
Liberia	Categoria:Libèria
Libra (constellation)	Balança (constel·lació)
Library	Biblioteca
Library science	Biblioteconomia
Libretto	Llibret
Libreville	Libreville
Libya	Líbia
Libya	Categoria:Líbia
Lichen	Liquen
Lie	Mentida
Liechtenstein	Liechtenstein
Liechtenstein	Categoria:Liechtenstein
Lieutenant	Tinent
Life	Vida
Light	Llum
Light-emitting diode	Díode LED
Light-year	Any-llum
Lighter	Encenedor
Lighthouse	Far
Lightning	Llamp
Liguria	Ligúria
Ligurian Sea	Mar Lígur
Liliaceae	Liliàcia
Lilith	Lilit
Lille	Lilla
Lilongwe	Lilongwe
Lima	Lima
Limerick	Limerick
Limestone	Pedra calcària
Limit (mathematics)	Límit
Limousin (region)	Llemosí (regió)
Lincolnshire	Lincolnshire
Line (mathematics)	Recta
Linear algebra	Àlgebra lineal
Linear algebra	Categoria:Àlgebra lineal
Linear equation	Equació lineal
Linguistics	Lingüística
Linguistics	Categoria:Lingüística
Linus Pauling	Linus Carl Pauling
Linux	Linux
Linux	Categoria:GNU/Linux
Linz	Linz
Lion	Lleó
Lipid	Lípid
Liqueur	Licor
Liquid	Líquid
Liquid crystal display	Pantalla de cristall líquid
Lisbon	Lisboa
Lise Meitner	Lise Meitner
Lisp (programming language)	Lisp
Literacy	Alfabetisme
Literature	Literatura
Literature	Categoria:Literatura
Lithium	Liti
Lithography	Litografia
Lithosphere	Escorça terrestre
Lithuania	Lituània
Lithuania	Categoria:Lituània
Litre	Litre
Little Owl	Mussol
Liverpool	Liverpool
Livonia	Livònia
Livy	Titus Livi
Lizard	Lacertili
Ljubljana	Ljubljana
Llama	Llama
Loanword	Préstec lingüístic
Local area network	Xarxa d'Àrea Local
Loch Ness Monster	Monstre del llac Ness
Locomotive	Locomotora
Logarithm	Logaritme
Logic	Lògica
Logic	Categoria:Lògica
Logo	Logotip
Loire	Loira (departament)
Loire River	Riu Loira
Loki	Loki
Lolita	Lolita
Lombardy	Llombardia
London	Londres
London	Categoria:Londres
Long Beach	Long Beach
Long Island	Long Island
Long jump	Salt de llargada
Long-eared Owl	Mussol banyut
Lope de Vega	Lope de Vega
Lord's Prayer	Parenostre
Lorraine (region)	Lorena
Los Angeles	Los Angeles
Lot (department)	Òlt
Loudspeaker	Altaveu
Louis Aragon	Louis Aragon
Louis Armstrong	Louis Armstrong
Louis Braille	Louis Braille
Louis Pasteur	Louis Pasteur
Louis the Pious	Lluís I el Pietós
Louis the Stammerer	Lluís II de França
Louisiana	Louisiana
Louisville	Louisville
Louvre	Museu del Louvre
Love	Amor
Low German	Baix alemany
Lower Saxony	Baixa Saxònia
Luanda	Luanda
Lucerne	Lucerna
Luciano Pavarotti	Luciano Pavarotti
Lucretius	Lucreci
Lucrezia Borgia	Lucrècia Borja
Ludwig Mies van der Rohe	Ludwig Mies van der Rohe
Ludwig Wittgenstein	Ludwig Wittgenstein
Ludwig van Beethoven	Ludwig van Beethoven
Luftwaffe	Luftwaffe
Luigi Galvani	Luigi Galvani
Luigi Pirandello	Luigi Pirandello
Lumen (unit)	Lumen
Luminescence	Luminescència
Lunar eclipse	Eclipsi de Lluna
Lung	Pulmó
Lung cancer	Càncer de pulmó
Lungfish	Dipnou
Lupus (constellation)	Llop (constel·lació)
Lusaka	Lusaka
Lusitania	Lusitània
Lute	Llaüt
Lutetium	Luteci
Lutheranism	Luteranisme
Lux	Lux
Luxembourg	Luxemburg
Luxembourg	Categoria:Luxemburg
Luxembourg (city)	Ciutat de Luxemburg
Luxor	Luxor
Luzon	Luzon
Lychee	Litxi
Lydia	Regne de Lídia
Lymphatic system	Sistema limfàtic
Lynx (constellation)	Linx (constel·lació)
Lyon	Lió
Lyra	Lira (constel·lació)
Lysergic acid diethylamide	LSD
Lysine	Lisina
Lysosome	Lisosoma
M	M
M-theory	Teoria M
MESSENGER	MESSENGER
MIME	Multi-Purpose Internet Mail Extensions
MS-DOS	MS-DOS
Macau	Macau
Macedon	Regne de Macedònia
Macedonia	Macedònia
Macedonia (Greece)	Macedònia (Grècia)
Mach number	Número Mach
Machine	Màquina
Machine code	Llenguatge de màquina
Machine gun	Metralladora
Machine translation	Traducció automàtica
Machu Picchu	Machu Picchu
Macintosh	Apple Macintosh
Macroeconomics	Macroeconomia
Macroeconomics	Categoria:Macroeconomia
Madagascar	Madagascar
Madagascar	Categoria:Madagascar
Madeira	Arxipèlag de Madeira
Madison	Madison
Madonna (entertainer)	Madonna
Madrid	Madrid
Madrid (autonomous community)	Comunitat de Madrid
Mafia	Màfia
Magazine	Revista
Magenta	Magenta
Maghreb	Magrib
Magic (paranormal)	Màgia
Magic square	Quadrat màgic
Maginot Line	Línia Maginot
Magma	Magma (vulcanisme)
Magna Carta	Magna Carta
Magnesium	Magnesi
Magnet	Imant
Magnetic field	Camp magnètic
Magnetism	Magnetisme
Magnetism	Categoria:Magnetisme
Magnetite	Magnetita
Magnoliopsida	Categoria:Magnoliòpsids
Maharashtra	Maharashtra
Mahatma Gandhi	Mohandas Gandhi
Mahayana	Mahayana
Mail	Correu
Maimonides	Maimònides
Main	Main
Main	Plantilla:Principal
Maine	Maine (EUA)
Mainframe computer	Ordinador central
Maitreya	Maitreya
Maize	Dacsa
Majorca	Mallorca
Makalu	Makalu
Malabo	Malabo
Malachite	Malaquita
Malacostraca	Malacostraci
Malaria	Malària
Malawi	Categoria:Malawi
Malay Peninsula	Península de Malacca
Malaysia	Malàisia
Malaysia	Categoria:Malàisia
Malcolm X	Malcolm X
Maldives	Maldives
Maldives	Categoria:Maldives
Mali	Mali
Mali	Categoria:Mali
Mallard	Ànec collverd
Malta	República de Malta
Malta	Categoria:Malta
Maltese language	Maltès
Malvaceae	Malvàcia
Mammal	Mamífer
Mammoth	Mamut
Managua	Managua
Manama	Al-Manama
Manatee	Manatí
Manchester	Manchester
Manchuria	Manxúria
Mandala	Mandala
Mandarin (linguistics)	Mandarí
Mandarin orange	Mandariner
Mandelbrot set	Conjunt de Mandelbrot
Manganese	Manganès
Mango	Mango
Mangrove	Manglar
Manhattan	Manhattan
Manhattan Project	Projecte Manhattan
Manichaeism	Maniqueisme
Manila	Manila
Manipur	Manipur
Manitoba	Manitoba
Mannerism	Manierisme
Mannheim	Mannheim
Mantle (geology)	Mantell terrestre
Mantua	Màntua
Manuel de Falla	Manuel de Falla y Matheu
Manuscript	Manuscrit
Mao Zedong	Mao Zedong
Maoism	Maoisme
Map	Plànol
Maple	Acer (gènere)
Maputo	Maputo
Marathon	Marató
Marble	Marbre
Marc Chagall	Marc Chagall
Marcel Duchamp	Marcel Duchamp
Marcel Proust	Marcel Proust
March	Març
March 17	17 de març
March 19	19 de març
March 2	2 de març
March 25	25 de març
Marche	Marques
Marco Polo	Marco Polo
Marcus Aurelius	Marc Aureli
Marcus Junius Brutus	Marc Juni Brut tiranicida
Marcus Vipsanius Agrippa	Marc Vipsani Agripa
Marduk	Marduk
Margaret Mead	Margaret Mead
Margaret Thatcher	Margaret Thatcher
Maria Callas	Maria Callas
Mariana Islands	Illes Mariannes
Marie Antoinette	Maria Antonieta d'Àustria
Marie Curie	Marie Curie
Mariehamn	Mariehamn
Marilyn Monroe	Marilyn Monroe
Mario Vargas Llosa	Mario Vargas Llosa
Mark Antony	Marc Antoni
Mark Twain	Mark Twain
Market	Mercat
Marketing	Màrqueting
Markup language	Llenguatge de marques
Marlene Dietrich	Marlene Dietrich
Marquis de Sade	Marquès de Sade
Marrakech	Marràqueix
Marriage	Matrimoni
Mars	Categoria:Mart
Mars (disambiguation)	Mart
Mars (mythology)	Mart (mitologia)
Marseille	Marsella
Marshall Islands	Illes Marshall
Marshall Islands	Categoria:Illes Marshall
Marshall Plan	Pla Marshall
Marsupial	Marsupial
Martin Buber	Martin Buber
Martin Heidegger	Martin Heidegger
Martin Luther	Martí Luter
Martin Luther King	Martin Luther King
Martin Scorsese	Martin Scorsese
Martin Van Buren	Martin Van Buren
Martina Navratilova	Martina Navratilova
Martinique	Martinica
Martyr	Màrtir
Marx Brothers	Germans Marx
Marxism	Marxisme
Marxism	Categoria:Marxisme
Mary (mother of Jesus)	Maria, mare de Jesús
Mary Magdalene	Maria Magdalena
Mary Shelley	Mary Shelley
Mary Wollstonecraft	Mary Wollstonecraft
Maryland	Maryland
Maseru	Maseru
Mass	Massa
Mass number	Nombre màssic
Massachusetts	Massachusetts
Massachusetts Institute of Technology	Massachusetts Institute of Technology
Masturbation	Masturbació
Mata Hari	Mata Hari
Match	Misto
Materialism	Materialisme
Mathematical logic	Lògica matemàtica
Mathematical proof	Demostració matemàtica
Mathematics	Matemàtiques
Mathematics	Categoria:Matemàtiques
Mathematics	Portal:Matemàtiques
Matrix (mathematics)	Matriu (matemàtiques)
Matter	Matèria
Matterhorn	Cervino
Mauna Kea	Mauna Kea
Maundy Thursday	Dijous Sant
Maurice Ravel	Maurice Ravel
Mauritania	Mauritània
Mauritania	Categoria:Mauritània
Mauritius	Maurici
Mauritius	Categoria:Maurici
Max Born	Max Born
Max Bruch	Max Bruch
Max Ernst	Max Ernst
Max Planck	Max Planck
Max Weber	Max Weber
Maximian	Maximià
Maxwell's equations	Equacions de Maxwell
May	Maig
May 1	1 de maig
May 24	24 de maig
Mayenne	Mayenne
Mayfly	Efemeròpter
Mayonnaise	Maionesa
Mayor	Alcalde
Mbabane	Mbabane
McCarthyism	Maccarthisme
Mead	Hidromel
Measles	Xarampió
Measurement	Mesura
Meat	Carn
Mecca	La Meca
Mechanical engineering	Enginyeria mecànica
Mechanical engineering	Categoria:Enginyeria mecànica
Mechanics	Categoria:Mecànica
Mechanics	Mecànica
Medea	Medea
Median	Mediana
Medication	Medicament
Medici	Mèdici
Medicine	Medicina
Medicine	Categoria:Medicina
Medina	Medina
Meditation	Meditació
Mediterranean	Categoria:Mar Mediterrània
Mediterranean Sea	Mar Mediterrània
Medusa	Medusa (mitologia)
Meerkat	Suricata
Megabyte	Megabyte
Meiosis	Meiosi
Meister Eckhart	Mestre Eckhart
Meitnerium	Meitneri
Mekong	Mekong
Melanesia	Melanèsia
Melody	Melodia
Melpomene	Melpòmene
Melting	Fusió (canvi d'estat)
Melting point	Punt de fusió
Meme	Mem
Memory	Memòria humana
Memphis	Memphis
Memphis	Memfis
Menachem Begin	Menahem Begin
Mendelevium	Mendelevi
Menelaus	Menelau
Meningitis	Meningitis
Mensa (constellation)	Taula (constel·lació)
Menstruation	Menstruació
Mental disorder	Malaltia mental
Mentha	Menta
Mercantilism	Mercantilisme
Mercenary	Mercenari
Mercury	Mercuri
Mercury (element)	Mercuri (element)
Mercury (mythology)	Mercuri (mitologia)
Mercury (planet)	Mercuri (planeta)
Meridian (geography)	Meridià
Meritocracy	Meritocràcia
Merovingian	Dinastia Merovíngia
Meryl Streep	Meryl Streep
Mescaline	Mescalina
Mesolithic	Mesolític
Meson	Mesó
Mesopotamia	Mesopotàmia
Mesosphere	Mesosfera
Mesozoic	Mesozoic
Messenger RNA	ARN missatger
Messiah	Messies
Messina	Messina
Metabolism	Metabolisme
Metadata	Metadades
Metal	Metall
Metallic bond	Enllaç metàl·lic
Metalloid	Metal·loide
Metallurgy	Metal·lúrgia
Metallurgy	Categoria:Metal·lúrgia
Metamorphic rock	Roca metamòrfica
Metaphor	Metàfora
Metaphysics	Metafísica
Metastasis	Metàstasi
Meteor shower	Pluja de meteors
Meteorite	Meteorit
Meteoroid	Meteoroide
Meteorology	Categoria:Meteorologia
Meteorology	Meteorologia
Methanol	Metanol
Methionine	Metionina
Methodism	Metodisme
Methylenedioxymethamphetamine	MDMA
Metis (moon)	Metis (satèl·lit)
