Asturian	English
Malcolm X	Malcolm X
Maldives	Maldives
Malí	Mali
Malta	Malta
Categoría:Malta	Malta
Maltés	Maltese language
Mamíferu	Mammal
Manchuria	Manchuria
Manhattan	Manhattan
Manuel de Falla	Manuel de Falla
Mao Zedong	Mao Zedong
Mapa	Map
Marzu	March
17 de marzu	March 17
19 de marzu	March 19
2 de marzu	March 2
25 de marzu	March 25
Marco Polo	Marco Polo
Marie Curie	Marie Curie
Marilyn Monroe	Marilyn Monroe
Marte	Mars (disambiguation)
Islles Marshall	Marshall Islands
Martín Lutero	Martin Luther
Martin Luther King	Martin Luther King
Martinica	Martinique
Hermanos Marx	Marx Brothers
Marxismu	Marxism
Categoría:Marxismu	Marxism
Mary Wollstonecraft Shelley	Mary Shelley
Mary Wollstonecraft (feminismu)	Mary Wollstonecraft
Masa	Mass
Matemátiques	Mathematics
Categoría:Matemátiques	Mathematics
Maurice Ravel	Maurice Ravel
Mauritania	Mauritania
Mauricio	Mauritius
Max Weber	Max Weber
Mayu	May
1 de mayu	May 1
24 de mayu	May 24
Alcalde	Mayor
Hidromiel	Mead
Melecina	Medication
Medicina	Medicine
Categoría:Medicina	Medicine
Mar Mediterraneu	Mediterranean Sea
Puntu de fusión	Melting point
Mercuriu (elementu)	Mercury (element)
Mercuriu (planeta)	Mercury (planet)
Meridianu	Meridian (geography)
Mesolíticu	Mesolithic
Mesopotamia	Mesopotamia
Mesozoicu	Mesozoic
Metabolismu	Metabolism
Metaloide	Metalloid
Meteoritu	Meteorite
Meteoroide	Meteoroid
Categoría:Meteoroloxía	Meteorology
Metru	Metre
México	Mexico
Categoría:México	Mexico
Michigan	Michigan
Mickey Mouse	Mickey Mouse
Microbioloxía	Microbiology
Microeconomía	Microeconomics
Micronesia	Micronesia
Edá Media	Middle Ages
Oriente Mediu	Middle East
Miguel de Cervantes	Miguel de Cervantes
Bakunin	Mikhail Bakunin
Mijaíl Gorbachov	Mikhail Gorbachev
Lleche	Milk
Camín de Santiago	Milky Way
Mileniu	Millennium
Millón	Million
Minería	Mining
Minos	Minos
Miocenu	Miocene
Espeyu	Mirror
Mnemósine	Mnemosyne
Moiras	Moirae
Moldavia	Moldova
Categoría:Moldavia	Moldova
Molécula	Molecule
Mónaco	Monaco
Categoría:Mónaco	Monaco
Llunes	Monday
Dineru	Money
Mongolia	Mongolia
Categoría:Mongolia	Mongolia
Mont Blanc	Mont Blanc
Montenegru	Montenegro
Categoría:Montenegru	Montenegro
Mes	Month
Montserrat	Montserrat
Lluna	Moon
Marruecos	Morocco
Categoría:Marruecos	Morocco
Morfina	Morphine
Moscú	Moscow
Mezquita	Mosque
Movimientu	Motion (physics)
Etna	Mount Etna
Everest	Mount Everest
Kilimanjaro	Mount Kilimanjaro
Monte Olimpu	Mount Olympus
Monte	Mountain
Cordal	Mountain range
Mozambique	Mozambique
Categoría:Mozambique	Mozambique
Mahoma	Muhammad
Muhammad Ali	Muhammad Ali
Mumbai	Mumbai
Munich	Munich
Municipiu	Municipality
Plátanu	Musa (genus)
Mascate	Muscat
Muses	Muse
Música	Music
Categoría:Música	Music
Instrumentu musical	Musical instrument
Músicu	Musician
Mustélidos	Mustelidae
Categoría:Myanmar	Myanmar
Mitoloxía	Mythology
Categoría:Mitoloxía	Mythology
N	N
Organización del Tratáu del Atlánticu Norte	NATO
Categoría:OTAN	NATO
Nadir	Nadir
Namibia	Namibia
Nápoles	Naples
Nashville, Tennessee	Nashville
Nación	Nation
Himnu nacional	National anthem
Parque nacional	National park
Nacionalismu	Nationalism
Categoría:Nacionalismu	Nationalism
Ciencies naturales	Natural science
Natura	Nature
Nauru	Nauru
Milla náutica	Nautical mile
Armada	Navy
Categoría:Nazismu	Nazism
Homo sapiens neanderthalensis	Neanderthal
Nebraska	Nebraska
Corbata	Necktie
Nefertiti	Nefertiti
Nelson Mandela	Nelson Mandela
Lleón de Nemea	Nemean Lion
Némesis (mitoloxía)	Nemesis (mythology)
Neolíticu	Neolithic
Neón	Neon
Nepal	Nepal
Categoría:Nepal	Nepal
Neptunu (planeta)	Neptune
Holanda	Netherlands
Categoría:Holanda	Netherlands
Neutrín	Neutrino
Neutrón	Neutron
Nevada	Nevada
Nueva Orleans	New Orleans
Nuevu Testamentu	New Testament
Nueva York (estáu)	New York
Nueva Zelanda	New Zealand
Categoría:Nueva Zelanda	New Zealand
Newark, Nueva Jersey	Newark
Newton (unidá)	Newton
Catarates del Niágara	Niagara Falls
Nicaragua	Nicaragua
Níxer	Niger
Nixeria	Nigeria
Ríu Nilu	Nile
Nitróxenu	Nitrogen
Noam Chomsky	Noam Chomsky
Premiu Nobel	Nobel Prize
Categoría:Premiu Nobel	Nobel Prize
Gas noble	Noble gas
Non metal	Nonmetal
Norteamérica	North America
Carolina del Norte	North Carolina
Dakota del Norte	North Dakota
Corea del Norte	North Korea
Categoría:Corea del Norte	North Korea
Polu Norte	North Pole
Mar del Norte	North Sea
Hemisferiu Norte	Northern Hemisphere
Irlanda del Norte	Northern Ireland
Islles Marianes del Norte	Northern Mariana Islands
Noruega	Norway
Categoría:Noruega	Norway
Payares	November
1 de payares	November 1
11 de payares	November 11
2 de payares	November 2
5 de payares	November 5
Númberu	Number
Numismática	Numismatics
Frutu secu	Nut (fruit)
Ninfa	Nymph
Nyx	Nyx (mythology)
O	O
Organización de Países Esportadores de Petroleu	OPEC
Oceanía	Oceania
Océanu (mitoloxía)	Oceanus
Ochobre	October
12 d'ochobre	October 12
24 d'ochobre	October 24
Ohmiu	Ohm
Oklahoma	Oklahoma
Oligocenu	Oligocene
Xuegos Olímpicos	Olympic Games
Omaha	Omaha
Omán	Oman
Categoría:Omán	Oman
Omega	Omega
Ontoloxía	Ontology
Sistema operativu	Operating system
Ophiuchus	Ophiuchus
Naranxa	Orange (colour)
Orangután	Orangutan
Órbita	Orbit
Ser vivu	Organism
Origami	Origami
Orson Welles	Orson Welles
Osama bin Laden	Osama bin Laden
Oscar Wilde	Oscar Wilde
Otto von Bismarck	Otto von Bismarck
Imperiu Otomanu	Ottoman Empire
Uviéu	Oviedo
Óxidu	Oxide
Oxíxenu	Oxygen
Capa d'ozonu	Ozone layer
P	P
Océanu Pacíficu	Pacific Ocean
Paquistán	Pakistan
Categoría:Paquistán	Pakistan
Palaos	Palau
Paleocenu	Paleocene
Paleolíticu	Paleolithic
Categoría:Paleontoloxía	Paleontology
Palermo	Palermo
Palestina	Palestine
Categoría:Palestina	Palestine
Panamá	Panama
Categoría:Panamá	Panama
Panxea	Pangaea
Papúa Nueva Guinea	Papua New Guinea
Paraguay	Paraguay
Paralax	Parallax
Paralelogramu	Parallelogram
Paramaribo	Paramaribo
París	Paris
Parllamentu	Parliament
Pársec	Parsec
Pascal (unidá)	Pascal (unit)
Categoría:Passeriformes	Passeriformes
Patoloxía	Pathology
Quercus robur	Pedunculate Oak
Península	Peninsula
Pentágonu	Pentagon
Categoría:Biografíes	People
China	People's Republic of China
Pepsi	Pepsi
Periodu de la tabla periódica	Period (periodic table)
Tabla periódica	Periodic table
Perú	Peru
Categoría:Perú	Peru
Petrarca	Petrarch
Filipines	Philippines
Categoría:Filipines	Philippines
Filosofía	Philosophy
Categoría:Filosofía	Philosophy
Fonema	Phoneme
Fonética	Phonetics
Categoría:Fonética	Phonetics
Fonoloxía	Phonology
Fósforu	Phosphorus
Fotografía	Photography
Categoría:Fotografía	Photography
Fotosfera	Photosphere
Física	Physics
Categoría:Física	Physics
Fisioloxía	Physiology
Pi	Pi
Pierre Curie	Pierre Curie
Piratería	Piracy
Planu (xeometría)	Plane (mathematics)
Planeta	Planet
Plantae	Plant
Platón	Plato
Playboy	Playboy
Pleistocenu	Pleistocene
Pleven	Pleven
Pliocenu	Pliocene
Plovdiv	Plovdiv
Plutón (planeta nanu)	Pluto
Plutón	Pluto (disambiguation)
Gramínea	Poaceae
Puntu (xeometría)	Point (geometry)
Polonia	Poland
Categoría:Polonia	Poland
Policía	Police
Partíu políticu	Political party
Ciencies Polítiques	Political science
Política	Politics
Categoría:Política	Politics
Poloniu	Polonium
Polígonu	Polygon
Polinesia	Polynesia
Pop	Pop music
Papa	Pope
Población	Population
Pornografía	Pornography
Portu	Porto
Portsmouth	Portsmouth
Portugal	Portugal
Categoría:Portugal	Portugal
Códigu postal	Postal code
Potasiu	Potassium
Solanum tuberosum	Potato
Llibra esterlina	Pound sterling
Potencia	Power (physics)
Praga	Prague
Prehistoria	Prehistory
Presidente	President
Llista presidentes d'Estaos Uníos	President of the United States
Presión	Pressure
Meridianu de Greenwich	Prime Meridian
Prisma (xeometría)	Prism (geometry)
Prisma (óptica)	Prism (optics)
Llinguaxe de programación	Programming language
Prolog	Prolog
Pronome	Pronoun
Propaganda	Propaganda
Protón	Proton
Providence, Rhode Island	Providence
Categoría:Pseudociencia	Pseudoscience
Psicoanálisis	Psychoanalysis
Sicoloxía	Psychology
Categoría:Psicoloxía	Psychology
Pterosauria	Pterosaur
Dinastía Tolemaica	Ptolemaic dynasty
Claudio Ptolomeo	Ptolemy
Dominiu públicu	Public domain
Puerto Rico	Puerto Rico
Categoría:Puerto Rico	Puerto Rico
Pyongyang	Pyongyang
Pitágoras	Pythagoras
Q	Q
Qatar	Qatar
Categoría:Qatar	Qatar
Cuadriláteru	Quadrilateral
Quark	Quark
Edá Cuaternaria	Quaternary
Quechua	Quechua
Queens	Queens
R	R
Racismu	Racism
Radiu (xeometría)	Radius
Lluvia	Rain
Arcu la vieya	Rainbow
Recife	Recife
Rectángulu	Rectangle
Bermeyu	Red
Mar Bermeya	Red Sea
Reggae	Reggae
Relixón	Religion
Categoría:Relixón	Religion
Renacimientu	Renaissance
República	Republic
Taiwán	Republic of China
República d'Irlanda	Republic of Ireland
Categoría:Irlanda	Republic of Ireland
Congo	Republic of the Congo
Partíu Republicanu de los Estaos Xuníos	Republican Party (United States)
Rea	Rhea (mythology)
Rodes	Rhodes
Rombu	Rhombus
Richard Nixon	Richard Nixon
Ascensión reuta	Right ascension
Río de Janeiro (estáu)	Rio de Janeiro (state)
Ríu	River
Roald Amundsen	Roald Amundsen
Robert De Niro	Robert De Niro
Robert Falcon Scott	Robert Falcon Scott
Rock	Rock music
Ilesia Católica	Roman Catholic Church
Imperiu Romanu	Roman Empire
Categoría:Mitoloxía romana	Roman mythology
Rumanía	Romania
Categoría:Rumanía	Romania
Retorrománicu	Romansh
Roma	Rome
Rublu	Ruble
Rudolf Hess	Rudolf Hess
Rusia	Russia
Categoría:Rusia	Russia
Ruanda	Rwanda
Secale cereale	Rye
S	S
Sacramento, California	Sacramento
Sadam Husein	Saddam Hussein
Desiertu del Sáḥara	Sahara
San Cristuébanu y Nieves	Saint Kitts and Nevis
Categoría:Santa Llucía	Saint Lucia
Apóstol San Pedru	Saint Peter
San Vicente y les Granadines	Saint Vincent and the Grenadines
Saladín	Saladin
Samoa	Samoa
San Antonio (Texas)	San Antonio
San Diego, California	San Diego
San Francisco	San Francisco
San José, California	San Jose
San Marino	San Marino
Categoría:San Marino	San Marino
Sable (material)	Sand
Sánscritu	Sanskrit
Santa Fe, Nuevu Méxicu	Santa Fe
Santos	Santos (Săo Paulo)
Safo	Sappho
Sarayevo	Sarajevo
Parrocha	Sardine
Saturnu (planeta)	Saturn
Arabia Saudina	Saudi Arabia
Saxonia	Saxony
Escandiu	Scandium
Ciencia	Science
Categoría:Ciencies	Science
Escorpión (constelación)	Scorpius
Escocia	Scotland
Categoría:Escocia	Scotland
Gaélicu escocés	Scottish Gaelic
Escultura	Sculpture
Categoría:Escultura	Sculpture
Llundria marina	Sea Otter
Nivel de la mar	Sea level
Mar d'Azov	Sea of Azov
Mar de Xapón	Sea of Japan
Estación del añu	Season
Segundu	Second
Conciliu Vaticanu Segundu	Second Vatican Council
Semiente	Seed
Segovia	Segovia
Selene	Selene
Semántica	Semantics
Categoría:Semántica	Semantics
Semiótica	Semiotics
Senáu	Senate
Senegal	Senegal
Seúl	Seoul
Setiembre	September
11 de setiembre	September 11
17 de setiembre	September 17
29 de setiembre	September 29
Serbia	Serbia
Categoría:Serbia	Serbia
Serbia y Montenegru	Serbia and Montenegro
Categoría:Serbia y Montenegru	Serbia and Montenegro
Seychelles	Seychelles
Xaria	Sharia
Esguila	Shrimp
Siberia	Siberia
Sicilia	Sicily
Siemens (unidá)	Siemens (unit)
Sierra Leona	Sierra Leone
Sigmund Freud	Sigmund Freud
Siliciu	Silicon
Ruta de la seda	Silk Road
Plata	Silver
Singapur	Singapore
Categoría:Singapur	Singapore
Sirius	Sirius
Sísifu	Sisyphus
Toro Sentáu	Sitting Bull
Estrechu de Skagerrak	Skagerrak
Skinhead	Skinhead
Skopje	Skopje
Rascacielos	Skyscraper
Eslovaquia	Slovakia
Categoría:Eslovaquia	Slovakia
Eslovenia	Slovenia
Categoría:Eslovenia	Slovenia
Culiebra	Snake
Ñeve	Snow
Socialismu	Socialism
Categoría:Sociedá	Society
Sociedá	Society
Sociollingüística	Sociolinguistics
Socioloxía	Sociology
Categoría:Socioloxía	Sociology
Sócrates	Socrates
Sodiu	Sodium
Sofía	Sofia
Categoría:Software	Software
Categoría:Solanaceae	Solanaceae
Sistema solar	Solar System
Enerxía solar	Solar energy
Islles Salomón	Solomon Islands
Somalia	Somalia
Sorghum	Sorghum
Códigu fonte	Source code
Categoría:Sudáfrica	South Africa
América del Sur	South America
Carolina del Sur	South Carolina
Dakota del Sur	South Dakota
Corea del Sur	South Korea
Categoría:Corea del Sur	South Korea
Polu Sur	South Pole
Hemisferiu Sur	Southern Hemisphere
Soberanía	Sovereignty
Xunión Soviética	Soviet Union
Categoría:Xunión Soviética	Soviet Union
España	Spain
Categoría:España	Spain
Corréu puxarra	Spam (electronic)
Guerra Civil Española	Spanish Civil War
Categoría:Españoles	Spanish people
Esparta	Sparta
Llanza	Spear
Especie	Species
Espeleoloxía	Speleology
Deporte	Sport
Primavera	Spring (season)
Springfield, Illinois	Springfield
Cuadráu	Square (geometry)
Metru cuadráu	Square metre
Escuax	Squash (sport)
Esguilu	Squirrel
Sri Lanka	Sri Lanka
Estrella	Star
País	State
Estereorradián	Steradian
Edá de Piedra	Stone Age
Somarín	Submarine
Sudán	Sudan
Sudoku	Sudoku
Canal de Suez	Suez Canal
Azufre	Sulfur
Sumeria	Sumer
Branu	Summer
Sol	Sun
Domingu	Sunday
Mirasol	Sunflower
Ciruxía	Surgery
Surinam	Suriname
Categoría:Surinam	Suriname
Svalbard	Svalbard
Suazilandia	Swaziland
Suecia	Sweden
Categoría:Suecia	Sweden
Suiza	Switzerland
Categoría:Suiza	Switzerland
Espada	Sword
Síntoma	Symptom
Sindicatu	Syndicate
Sífilis	Syphilis
Siria	Syria
Categoría:Siria	Syria
T	T
Taekwondo	Taekwondo
Tayiquistán	Tajikistan
Talibán	Taliban
Dinastía Tang	Tang Dynasty
República Xunida de Tanzania	Tanzania
Categoría:Tanzania	Tanzania
Tártaru (mitoloxía)	Tartarus
Texu	Taxus baccata
Té	Tea
Teunoloxía	Technology
Categoría:Teunoloxía	Technology
Telecomunicación	Telecommunication
Teléfonu	Telephone
Telescopiu	Telescope
Televisión	Television
Temperatura	Temperature
Tennessee	Tennessee
Tesla (unidá)	Tesla (unit)
Tetis (mitoloxía)	Tethys (mythology)
Texas	Texas
Tailandia	Thailand
Tales de Mileto	Thales
Gambia	The Gambia
Teatru	Theatre
Teocracia	Theocracy
Theta	Theta
Tomás d'Aquino	Thomas Aquinas
Thomas Alva Edison	Thomas Edison
Thomas Jefferson	Thomas Jefferson
Tracia	Thrace
Tucídides	Thucydides
Xueves	Thursday
Tíber	Tiber
Categoría:Tíbet	Tibet
Panthera tigris	Tiger
Tigris	Tigris
Tiempu	Time
Categoría:Tiempu	Time
Fusu horariu	Time zone
Tamerlán	Timur
Estañu	Tin
Titán	Titan (disambiguation)
Titán (mitoloxía)	Titan (mythology)
Tocantins	Tocantins (state)
Togo	Togo
Tokio	Tokyo
Toledo	Toledo
Tomate	Tomato
Tonga	Tonga
Llingua (muérganu)	Tongue
Tony Blair	Tony Blair
Topeka, Kansas	Topeka
Torre de Babel	Tower of Babel
Sindicatu	Trade union
Transmission Control Protocol	Transmission Control Protocol
Transilvania	Transylvania
Trapeciu (figura)	Trapezoid
Tratáu internacional	Treaty
Trenton, Nueva Jersey	Trenton
Triángulu	Triangle
Triásicu	Triassic
Triceratops	Triceratops
Función trigonométrica	Trigonometric function
Trinidá y Tobago	Trinidad and Tobago
Trisquel	Triskelion
Tritiu	Tritium
Trotskismu	Trotskyism
Tuberculosis	Tuberculosis
Martes	Tuesday
Tundra	Tundra
Túnez	Tunisia
Turbina	Turbine
Turquía	Turkey
Categoría:Turquía	Turkey
Tuvalu	Tuvalu
Tux	Tux
Tifón (mitoloxía)	Typhon
U	U
UNESCO	UNESCO
Uganda	Uganda
Ucrania	Ukraine
Categoría:Ucrania	Ukraine
Ulster	Ulster
Ultrasoníu	Ultrasound
Oxetu esnalador non identificáu	Unidentified flying object
Emiratos Árabes Xuníos	United Arab Emirates
Reinu Xuníu	United Kingdom
Categoría:Reinu Xuníu	United Kingdom
Organización de les Naciones Uníes	United Nations
Categoría:ONU	United Nations
Unicef	United Nations Children's Fund
Estaos Xuníos d'América	United States
Categoría:Estaos Xuníos d'América	United States
Dólar estaunidense	United States dollar
Universu	Universe
Unix	Unix
Ununbiu	Ununbium
Ununhexiu	Ununhexium
Ununpentiu	Ununpentium
Ununquadiu	Ununquadium
Ununtriu	Ununtrium
Uranu (planeta)	Uranus
Uranu (mitoloxía)	Uranus (mythology)
Sietestrellu	Ursa Major
Uruguay	Uruguay
Utah	Utah
Uzbequistán	Uzbekistan
Categoría:Uzbequistán	Uzbekistan
V	V
Valencia	Valencia
Vampiru	Vampire
Vanadiu	Vanadium
Vanuatu	Vanuatu
Varna	Varna
Vaticano	Vatican City
Categoría:Vaticano	Vatican City
Verdura	Vegetable
Velociraptor	Velociraptor
Venezuela	Venezuela
Categoría:Venezuela	Venezuela
Venecia	Venice
Venus (planeta)	Venus
Venus	Venus (disambiguation)
Venus (mitoloxía)	Venus (mythology)
Veto	Veto
Vichy	Vichy
Videoxuegu	Video game
Vietnam	Vietnam
Categoría:Vietnam	Vietnam
Viquingu	Viking
Vinagre	Vinegar
Vigulín	Violin
Virgu	Virgo (constellation)
Lenin	Vladimir Lenin
Vladimir Putin	Vladimir Putin
Voltiu	Volt
Vocal	Vowel
W	W
Nuez	Walnut
Úzara	Wart
Washington DC	Washington
Washington	Washington (disambiguation)
Agua	Water
Vatiu	Watt
Cera	Wax
Arma	Weapon
Navegador web	Web browser
Cámara web	Webcam
Weber (unidá)	Weber (unit)
Miércoles	Wednesday
Selmana	Week
Pesu	Weight
Saḥara Occidental	Western Sahara
Categoría:Saḥara Occidental	Western Sahara
Rueda	Wheel
Wiesbaden	Wiesbaden
Algaire	Wildcat
Guillermo II d'Alemaña	William II
William Shakespeare	William Shakespeare
Guillelmu d'Ockham	William of Ockham
Vinu	Wine
Winston Churchill	Winston Churchill
Iviernu	Winter
Wisconsin	Wisconsin
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Woody Allen	Woody Allen
Bancu Mundial	World Bank
OMS	World Health Organization
Organización Mundial del Comerciu	World Trade Organization
Primera guerra mundial	World War I
Segunda Guerra Mundial	World War II
Categoría:Segunda Guerra Mundial	World War II
World Wide Web	World Wide Web
X	X
Y	Y
Xehová	Yahweh
Yale	Yale University
Yarda	Yard
Yasser Arafat	Yasser Arafat
Añu	Year
Lleldu	Yeast
Mariellu	Yellow
Yemen	Yemen
Categoría:Yemen	Yemen
Yogur	Yoghurt
Yom Kippur	Yom Kippur
Z	Z
Zagreb	Zagreb
Zambia	Zambia
Zaragoza	Zaragoza
Cénit	Zenith
Dseta	Zeta
Zeus	Zeus
Zimbabue	Zimbabwe
Cinc	Zinc
Zodíacu	Zodiac
Zooloxía	Zoology
