English	Thai
Crystal	ผลึก
Crystallography	ผลิกศาสตร์
Cuba	ประเทศคิวบา
Cube	ทรงลูกบาศก์
Cubic metre	ลูกบาศก์เมตร
Cultural Revolution	การปฏิวัติทางวัฒนธรรม
Culture	วัฒนธรรม
Culture	หมวดหมู่:วัฒนธรรม
Curitiba	กูรีตีบา
Curium	คูเรียม
Currency	หมวดหมู่:สกุลเงิน
Currency	สกุลเงิน
Cusco	กุสโก
Cyanobacteria	สาหร่ายสีเขียวแกมน้ำเงิน
Cyclops	ไซคลอปส์
Cylinder (geometry)	ทรงกระบอก
Cyperaceae	กก
Cyprinid	วงศ์ปลาตะเพียน
Cyprus	ประเทศไซปรัส
Cyprus	หมวดหมู่:ประเทศไซปรัส
Cyrillic alphabet	อักษรซีริลลิก
Cyrus the Great	พระเจ้าไซรัสมหาราช
Cytoskeleton	ระบบเส้นใยของเซลล์
Czech Republic	สาธารณรัฐเช็ก
Czechoslovakia	เชโกสโลวาเกีย
D	D
DNA	ดีเอ็นเอ
DOS	ดอส
DVD	ดีวีดี
Dachshund	ดัชชุน
Daguerreotype	กระบวนการดาแกโรไทป์
Dalai Lama	ทะไลลามะ
Dallas	ดัลลัส
Dam	เขื่อน
Dance	การเต้นรำ
Dance	หมวดหมู่:การเต้น
Daniel Defoe	เดเนียล ดีโฟ
Danube	แม่น้ำดานูบ
Dark matter	สสารมืด
Darmstadtium	ดาร์มสแทดเทียม
Data	ข้อมูล
Data mining	การทำเหมืองข้อมูล
Data structure	โครงสร้างข้อมูล
Database	ฐานข้อมูล
Database management system	ระบบจัดการฐานข้อมูล
David	เดวิด
David Hilbert	ดาฟิด ฮิลแบร์ท
David Hume	เดวิด ฮูม
David Livingstone	เดวิด ลิฟวิงสโตน
Day	วัน
Days	หมวดหมู่:วัน
Dead Sea	ทะเลเดดซี
Dead Sea scrolls	ม้วนหนังสือแห่งทะเลสาบเดดซี
Death	ความตาย
Decade	ทศวรรษ
December	ธันวาคม
December 31	31 ธันวาคม
December 8	8 ธันวาคม
Decibel	เดซิเบล
Decimal	เลขฐานสิบ
Declination	เดคลิเนชัน
Deer	กวาง
Deflation	ภาวะเงินฝืด
Degree (angle)	องศา (มุม)
Deimos (moon)	ดีมอส
Delaware	มลรัฐเดลาแวร์
Dell	เดลล์
Delphinus	กลุ่มดาวโลมา
Delta (letter)	เดลตา
Deluge (mythology)	ตำนานน้ำท่วมโลก
Dementia	ภาวะสมองเสื่อม
Democracy	ประชาธิปไตย
Democratic Party (United States)	พรรคเดโมแครต (สหรัฐอเมริกา)
Democratic Republic of the Congo	สาธารณรัฐประชาธิปไตยคองโก
Demography	Category:ประชากร
Deng Xiaoping	เติ้ง เสี่ยวผิง
Dengue fever	โรคไข้เลือดออก
Denmark	ประเทศเดนมาร์ก
Denmark	หมวดหมู่:ประเทศเดนมาร์ก
Density	ความหนาแน่น
Dentistry	หมวดหมู่:ทันตกรรม
Dentistry	ทันตกรรม
Denver	เดนเวอร์
Derivative	อนุพันธ์
Des Moines	ดิมอยน์
Desert	ทะเลทราย
Deserts	หมวดหมู่:ทะเลทราย
Desiderius Erasmus	อีราสมุส
Determinant	ดีเทอร์มิแนนต์
Deuterium	ดิวเทอเรียม
Dewey Decimal Classification	ระบบทศนิยมดิวอี้
Dhaka	ธากา
Dharma	พุทธธรรม
Dhole	หมาใน
Diabetes mellitus	เบาหวาน
Dialect	ภาษาถิ่น
Dialectical materialism	ทฤษฎีวัตถุนิยมวิภาษ
Diameter	เส้นผ่านศูนย์กลาง
Diamond	เพชร
Diana	ไดอานา อดีตเจ้าหญิงแห่งเวลส์
Dice	ลูกเต๋า
Dictatorship	ระบอบเผด็จการ
Dictionary	พจนานุกรม
Diesel	น้ำมันดีเซล
Diesel engine	ดีเซล
Differential equation	สมการเชิงอนุพันธ์
Digestion	การย่อยอาหาร
Digestive system	หมวดหมู่:ระบบทางเดินอาหาร
Digital	ดิจิทัล
Digital camera	กล้องดิจิทัล
Dimension	มิติ
Dinosaur	ไดโนเสาร์
Diocletian	ไดโอคลีเชียน
Diode	ไดโอด
Diplomacy	การทูต
Disaccharide	ไดแซ็กคาไรด์
Disambiguation	หมวดหมู่:การแก้ความกำกวม
Disc jockey	ดีเจ
Discourse	วาทกรรม
Disease	โรค
Distance	ระยะทาง
Division (mathematics)	การหาร
Dizzy Gillespie	ดิซซี กิลเลสพี
Dmitri Mendeleev	ดมีตรี เมนเดเลเยฟ
Dmitri Shostakovich	ดิมิทรี ดิมิทรีวิช ชอสตาโกวิช
Doctor of the Church	คริสต์ศาสนปราชญ์
Dodecahedron	ทรงสิบสองหน้า
Dodo	โดโด้
Dog	สุนัข
Dollar	ดอลลาร์
Dolphin	โลมา
Domain (biology)	เขต (ชีววิทยา)
Domain name	โดเมนเนม
Dome	โดม
Dominica	ประเทศโดมินิกา
Dominican Order	ลัทธิโดมินิกัน
Dominican Republic	สาธารณรัฐโดมินิกัน
Don Quixote	ดอนกิโฆเต้
Donatello	โดนาเทลโล
Donato Bramante	โดนาโต ดันเจโล บรามันเต
Donetsk	โดเนตสค์
Donkey	ลา
Dopamine	โดพามีน
Dorado	กลุ่มดาวปลากระโทงแทง
Dortmund	ดอร์ทมุนด์
Double bass	ดับเบิลเบส
Douglas MacArthur	ดักลาส แมกอาร์เทอร์
Down syndrome	กลุ่มอาการดาวน์
Draco (constellation)	กลุ่มดาวมังกร
Dragon	มังกร
Drama	ดรามา
Dream	ความฝัน
Drink	เครื่องดื่ม
Dubai	ดูไบ
Dublin	ดับลิน
Dubnium	ดุบเนียม
Duck	เป็ด
Dugong	พะยูน
Duke Ellington	ดุค เอลลิงตัน
Duke University	มหาวิทยาลัยดุ๊ก
Duodenum	ลำไส้เล็กส่วนต้น
Durban	เดอร์บัน
Dustin Hoffman	ดัสติน ฮอฟแมน
Dutch people	หมวดหมู่:ชาวเนเธอร์แลนด์
Dwight D. Eisenhower	ดไวต์ ดี. ไอเซนฮาวร์
Dynamics (physics)	พลศาสตร์
Dynamite	ไดนาไมต์
Dynasty	ราชวงศ์
Dysprosium	ดิสโพรเซียม
Dystopia	ดิสโทเปีย
E	E
E (mathematical constant)	E (ค่าคงตัว)
E-mail	อีเมล
Eagle	อินทรี
Ear	หู
Eared seal	วงศ์แมวน้ำ
Earless seal	วงศ์แมวน้ำ
Earth	โลก
Earth	หมวดหมู่:โลก
Earth science	วิทยาศาสตร์โลก
Earthquake	แผ่นดินไหว
East	ทิศตะวันออก
East China Sea	ทะเลจีนตะวันออก
East Germany	ประเทศเยอรมนีตะวันออก
East Timor	ประเทศติมอร์ตะวันออก
East Timor	หมวดหมู่:ประเทศติมอร์ตะวันออก
Easter	อีสเตอร์
Eastern Orthodox Church	นิกายอีสเติร์นออร์โธด็อกซ์
Ebro	แม่น้ำเอโบร
Ecclesiastes	ปัญญาจารย์
Echidna	อิคิดนา
Echidna (mythology)	อีคิดนา (เทพปกรณัม)
Echinoderm	เอไคโนดอร์มาทา
Eclipse	อุปราคา
Ecliptic	สุริยวิถี
Ecology	นิเวศวิทยา
Ecology	หมวดหมู่:นิเวศวิทยา
Economics	เศรษฐศาสตร์
Economics	หมวดหมู่:เศรษฐศาสตร์
Economy	เศรษฐศาสตร์
Ecosystem	ระบบนิเวศ
Ecuador	ประเทศเอกวาดอร์
Ecumenical council	การประชุมสภาบาทหลวง
Edgar Degas	เอ็ดการ์ เดอกาส์
Edinburgh	เอดินบะระ
Edmund Hillary	เอดมันด์ ฮิลลารี
Education	การศึกษา
Education	หมวดหมู่:การศึกษา
Edward Jenner	เอดเวิร์ด เจนเนอร์
Edward the Confessor	สมเด็จพระเจ้าเอ็ดเวิร์ดผู้สารภาพ
Edwin Hubble	เอ็ดวิน ฮับเบิล
Eel	ปลาไหล
Eggplant	มะเขือยาว
Egypt	ประเทศอียิปต์
Egypt	หมวดหมู่:ประเทศอียิปต์
Egyptian pound	ปอนด์อียิปต์
Eiffel Tower	หอไอเฟล
Einsteinium	ไอน์สไตเนียม
El Cid	เอลซิด
El Greco	เอลเกรโก
El Salvador	ประเทศเอลซัลวาดอร์
Election	การเลือกตั้ง
Electric charge	ประจุไฟฟ้า
Electric current	กระแสไฟฟ้า
Electric field	สนามไฟฟ้า
Electric guitar	กีตาร์ไฟฟ้า
Electric motor	มอเตอร์
Electrical engineering	หมวดหมู่:วิศวกรรมไฟฟ้า
Electrical engineering	วิศวกรรมไฟฟ้า
Electrical resistance	ความต้านทานไฟฟ้า
Electricity	ไฟฟ้า
Electrochemistry	เคมีไฟฟ้า
Electrolyte	อิเล็กโทรไลต์
Electromagnetic radiation	คลื่นแม่เหล็กไฟฟ้า
Electromagnetic spectrum	สเปกตรัมแม่เหล็กไฟฟ้า
Electromagnetism	ทฤษฎีแม่เหล็กไฟฟ้า
Electron	อิเล็กตรอน
Electron microscope	กล้องจุลทรรศน์อิเล็กตรอน
Electronegativity	อิเล็กโตรเนกาทิวิตี
Electronics	อิเล็กทรอนิกส์
Elementary particle	อนุภาคมูลฐาน
Elephant	ช้าง
Elf	พราย
Ella Fitzgerald	เอลลา ฟิทซ์เจอรัลด์
Ellipsis	จุดไข่ปลา
Elvis Presley	เอลวิส เพรสลีย์
Embryo	เอ็มบริโอ
Embryology	คัพภวิทยา
Emerald	มรกต
Emilia-Romagna	แคว้นเอมีเลีย-โรมานยา
Emiliano Zapata	เอมีเลียโน ซาปาตา
Emoticon	อีโมติคอน
Emotion	หมวดหมู่:อารมณ์
Emperor	จักรพรรดิ
Empire	จักรวรรดิ
Empire State Building	ตึกเอ็มไพร์สเตต
Emulsion	อิมัลชัน
Encyclopedia	สารานุกรม
Endocrine system	ต่อมหมวกไต
Energy	พลังงาน
Energy (society)	พลังงาน
Engineer	วิศวกร
Engineering	วิศวกรรมศาสตร์
Engineering	หมวดหมู่:วิศวกรรม
England	อังกฤษ
England	หมวดหมู่:อังกฤษ
English Channel	ช่องแคบอังกฤษ
English language	ภาษาอังกฤษ
English people	ชาวอังกฤษ
Enrico Fermi	เอนรีโก แฟร์มี
Entertainment	หมวดหมู่:การบันเทิง
Enthalpy	เอนทาลปี
Entomology	กีฏวิทยา
Entomology	หมวดหมู่:กีฏวิทยา
Entropy	เอนโทรปี
Enzyme	เอนไซม์
Epic poetry	มหากาพย์
Epidemic	โรคระบาด
Epidemiology	ระบาดวิทยา
Epistemology	ญาณวิทยา
Epithelium	เนื้อเยื่อบุผิว
Epsilon	เอปไซลอน
Equation	สมการ
Equator	เส้นศูนย์สูตร
Equatorial Guinea	ประเทศอิเควทอเรียลกินี
Equinox	วิษุวัต
Eratosthenes	เอราทอสเทนีส
Erbium	เออร์เบียม
Eridanus (constellation)	กลุ่มดาวแม่น้ำ
Erik Satie	เอริก ซาที
Eris (dwarf planet)	อีริส
Ernest Hemingway	เออร์เนสต์ เฮมิงเวย์
Ernest Rutherford	เออร์เนสต์ รูเทอร์ฟอร์ด
Eschatology	โลกาวินาศ
Escherichia coli	อีโคไล
Esophagus	หลอดอาหาร
Esperanto	ภาษาเอสเปรันโต
Espionage	จารกรรม
Espresso	เอสเพรสโซ
Essay	เรียงความ
Essen	เอสเซิน
Essential oil	น้ำมันหอมระเหย
Essex	เอสเซกซ์
Eta (letter)	อีตา
Ethanol	เอทานอล
Ethernet	อีเทอร์เน็ต
Ethics	จริยธรรม
Ethiopia	ประเทศเอธิโอเปีย
Etymology	ศัพทมูลวิทยา
Eucalyptus	ยูคาลิปตัส
Euclid	ยุคลิด
Eukaryote	ยูแคริโอต
Eunuch	ขันที
Eurasia	ทวีปยูเรเชีย
Euro	ยูโร
Europe	ทวีปยุโรป
Europe	หมวดหมู่:ทวีปยุโรป
European Union	สหภาพยุโรป
European Union	หมวดหมู่:สหภาพยุโรป
Europium	ยูโรเพียม
Euthanasia	การุณยฆาต
Evangelista Torricelli	เอวานเจลิสตา โตร์ริเชลลี
Evolution	วิวัฒนาการ
Exclamation mark	อัศเจรีย์
Executive (government)	อำนาจบริหาร
Existentialism	อัตถิภาวนิยม
Exodus	พระธรรมอพยพ
Exponentiation	การยกกำลัง
Extinction	การสูญพันธุ์
Eye	ตา
Eye	หมวดหมู่:ตา
F	F
F. Scott Fitzgerald	สกอตต์ ฟิตซ์เจอรัลด์
Fable	นิทาน
Factorial	แฟกทอเรียล
Facula	จุดมืดดวงอาทิตย์
Fahrenheit	องศาฟาเรนไฮต์
Fair use	การใช้งานโดยชอบธรรม
Fairy tale	เทพนิยาย
Falcon	เหยี่ยว
Falkland Islands	หมู่เกาะฟอล์กแลนด์
Family	หมวดหมู่:ครอบครัว
Family name	นามสกุล
Fantasy	แฟนตาซี
Far East	ตะวันออกไกล
Farad	ฟารัด
Fascism	ลัทธิฟาสซิสต์
Fashion	หมวดหมู่:แฟชั่น
Fashion	แฟชั่น
Fatah	ฟาตาห์
Fatty acid	กรดไขมัน
Fax	โทรสาร
February	กุมภาพันธ์
February 12	12 กุมภาพันธ์
February 14	14 กุมภาพันธ์
February 2	2 กุมภาพันธ์
February 22	22 กุมภาพันธ์
February 29	29 กุมภาพันธ์
Feces	อุจจาระ
Federal Bureau of Investigation	สำนักงานสืบสวนกลางแห่งสหรัฐอเมริกา
Federated States of Micronesia	ประเทศไมโครนีเซีย
Fedora (Linux distribution)	Fedora Core
Felidae	วงศ์เสือและแมว
Feng shui	ฮวงจุ้ย
Fennel	ยี่หร่า
Fenrir	เฟนรีร์
Ferdinand Magellan	เฟอร์ดินันด์ มาเจลลัน
Fermium	เฟอร์เมียม
Fertilisation	การปฏิสนธิ
Feudalism	ศักดินา
Fibonacci number	เลขฟีโบนัชชี
Fiction	หมวดหมู่:บันเทิงคดี
Fidel Castro	ฟิเดล คาสโตร
Figure skating	สเก็ตลีลา
Fiji	ประเทศฟิจิ
File Transfer Protocol	เอฟทีพี
Filippo Brunelleschi	ฟีลิปโป บรูเนลเลสกี
Film	หมวดหมู่:ภาพยนตร์
Film	ภาพยนตร์
Film	สถานีย่อย:ภาพยนตร์
Finance	หมวดหมู่:การเงิน
Finance	การเงิน
Finger	นิ้วมือ
Finland	ประเทศฟินแลนด์
Finland	หมวดหมู่:ประเทศฟินแลนด์
Fire	ไฟ
Firearm	ปืน
Firewall (networking)	ไฟร์วอลล์
Firmware	เฟิร์มแวร์
First language	ภาษาแม่
Fish	ปลา
Fish	หมวดหมู่:ปลา
Fishing	การตกปลา
Flag	ธง
Flagellum	แฟลเจลลัม
Flanders	ประเทศฟลานเดอส์
Flatworm	หนอนตัวแบน
Flea	หมัด
Flemish (linguistics)	ภาษาเฟลมิช
Flip-flop (electronics)	ฟลิปฟล็อป
Flood	อุทกภัย
Floppy disk	ฟลอปปีดิสก์
Florence	ฟีเรนเซ
Florence Nightingale	ฟลอเรนซ์ ไนติงเกล
Florida	มลรัฐฟลอริดา
Florida	หมวดหมู่:มลรัฐฟลอริดา
Flower	ดอกไม้
Flowering plant	พืชดอก
Flute	ฟลุต
Fly	แมลงวัน
Food	อาหาร
Food and Agriculture Organization	องค์การอาหารและการเกษตรแห่งสหประชาชาติ
Foot (unit of length)	ฟุต
Football (soccer)	ฟุตบอล
Football (soccer)	หมวดหมู่:ฟุตบอล
Football (soccer) players	หมวดหมู่:นักฟุตบอล
Forbidden City	พระราชวังต้องห้าม
Force	แรง
Forest	ป่าไม้
Forestry	การป่าไม้
Formaldehyde	ฟอร์มาลดีไฮด์
Formic acid	กรดฟอร์มิก
Fornax	กลุ่มดาวเตาหลอม
Fortran	ภาษาฟอร์แทรน
Fossil	ซากดึกดำบรรพ์
Fossil fuel	เชื้อเพลิงซากดึกดำบรรพ์
Fourier series	อนุกรมฟูริเยร์
Fox	หมาจิ้งจอก
Fractal	แฟร็กทัล
Fraction (mathematics)	เศษส่วน
France	ประเทศฝรั่งเศส
France	หมวดหมู่:ประเทศฝรั่งเศส
Francis Crick	ฟรานซิส คริก
Francis Drake	ฟรานซิส เดรก
Francis II	สมเด็จพระจักรพรรดิฟรานซ์ที่ 2 แห่งโรมันอันศักดิ์สิทธิ์
Francis Poulenc	ฟรองซีส ปูเลงก์
Francis of Assisi	ฟรานซิสแห่งอาซิซิ
Franciscan	ลัทธิฟรานซิสกัน
Francisco Franco	ฟรันซิสโก ฟรังโก
Francisco Goya	ฟรันซิสโก โกยา
Francisco Pizarro	ฟรันซิสโก ปีซาร์โร
Francium	แฟรนเซียม
Frank Lloyd Wright	แฟรงก์ ลอยด์ ไรต์
Frankfort	แฟรงก์เฟิร์ต (มลรัฐเคนทักกี)
Frankfurt	ฟรังค์ฟูร์ทอัมไมน์
Frankfurt (disambiguation)	แฟรงก์เฟิร์ต (แก้ความกำกวม)
Franz Liszt	ฟรานซ์ ลิซท์
Franz Schubert	ฟรานซ์ ปีเตอร์ ชูเบิร์ต
Frederick II	สมเด็จพระจักรพรรดิฟรีดริชที่ 2 แห่งโรมันอันศักดิ์สิทธิ์
Freedom (philosophy)	เสรีภาพ
Freedom of speech	เสรีภาพในการแสดงออก
Freetown	ฟรีทาวน์
Freeware	ฟรีแวร์
French Polynesia	เฟรนช์โปลินีเซีย
French Revolution	การปฏิวัติฝรั่งเศส
Frequency	ความถี่
Fresco	จิตรกรรมฝาผนัง
Friction	แรงเสียดทาน
Friday	วันศุกร์
Fridtjof Nansen	ฟริดท์จอฟ นันเซน
Friedrich Engels	ฟรีดริช เองเงิลส์
Frog	กบ
Fructose	ฟรักโทส
Fruit	ผลไม้
Fruit	หมวดหมู่:ผลไม้
Fuel	เชื้อเพลิง
Fuel cell	เซลล์เชื้อเพลิง
Fukuoka	ฟุกุโอะกะ (เมือง)
Full moon	วันเพ็ญ
Function (mathematics)	ฟังก์ชัน (คณิตศาสตร์)
Fundamental	หมวดหมู่:มูลฐาน
Fundamentalism	ความเชื่อมูลฐานทางศาสนา
Fungus	เห็ดรา
Funk	ฟังก์
Fuzzy logic	ตรรกศาสตร์คลุมเครือ
Fyodor Dostoevsky	ฟีโอดอร์ ดอสโตเยฟสกี
G	G
GIMP	กิมป์
GNOME	GNOME
GNU	กนู
Gabon	ประเทศกาบอง
Gabriel	ญิบรีล
Gadolinium	แกโดลิเนียม
Galaxy	ดาราจักร
Galen	กาเลน
Galicia (Spain)	แคว้นกาลิเซีย
Galileo (spacecraft)	ยานกาลิเลโอ
Galileo Galilei	กาลิเลโอ กาลิเลอี
Gallbladder	ถุงน้ำดี
Gallium	แกลเลียม
Gallon	แกลลอน
Gambling	การพนัน
Game	เกม
Game theory	ทฤษฎีเกม
Gamma	แกมมา
Gamma ray	รังสีแกมมา
Ganesha	พระพิฆเนศวร
Ganges	แม่น้ำคงคา
Gansu	มณฑลกานซู
Garden of Eden	สวนอีเด็น
Gardening	การจัดสวน
Garfield	การ์ฟีลด์
Gargoyle	ปนาลี
Garlic	กระเทียม
Gas	แก๊ส
Gas constant	ค่าคงตัวของแก๊ส
Gasoline	แก๊สโซลีน
Gastrointestinal tract	ระบบย่อยอาหาร
Gautama Buddha	พระโคตมพุทธเจ้า
Gay	เกย์
Gaza Strip	ฉนวนกาซา
Geisha	เกอิชา
Gemini (constellation)	กลุ่มดาวคนคู่
Gemstone	อัญมณี
Gene	หน่วยพันธุกรรม
General Agreement on Tariffs and Trade	ความตกลงทั่วไปว่าด้วยการค้าและภาษีศุลกากร
General relativity	ทฤษฎีสัมพัทธภาพทั่วไป
Genesis	พระธรรมปฐมกาล
Genetic engineering	พันธุวิศวกรรม
Genetics	พันธุศาสตร์
Geneva	เจนีวา
Genotype	ลักษณะทางพันธุกรรม
Genus	สกุล (ชีววิทยา)
Geoffrey Chaucer	เจฟฟรีย์ ชอเซอร์
Geography	ภูมิศาสตร์
Geography	หมวดหมู่:ภูมิศาสตร์
Geology	หมวดหมู่:ธรณีวิทยา
Geology	ธรณีวิทยา
Geometric progression	การก้าวหน้าเรขาคณิต
Geometry	เรขาคณิต
Geometry	หมวดหมู่:รูปทรงเรขาคณิต
Geomorphology	ธรณีสัณฐานวิทยา
Geophysics	ธรณีฟิสิกส์
Geophysics	หมวดหมู่:ธรณีฟิสิกส์
George Berkeley	จอร์จ บาร์กลีย์
George Boole	จอร์จ บูล
George Bush	จอร์จ บุช
George Frideric Handel	จอร์จ เฟรดริก ฮันเดล
George Lucas	จอร์จ ลูคัส
George Marshall	จอร์จ มาร์แชลล์
George Orwell	จอร์จ ออร์เวลล์
George Stephenson	จอร์จ สตีเฟนสัน
George W. Bush	จอร์จ ดับเบิลยู. บุช
George Washington	จอร์จ วอชิงตัน
Georges Bizet	ชอร์ช บีเซ
Georgia (U.S. state)	มลรัฐจอร์เจีย
Georgia (U.S. state)	หมวดหมู่:มลรัฐจอร์เจีย
Georgia (country)	ประเทศจอร์เจีย
Georgia (country)	หมวดหมู่:ประเทศจอร์เจีย
Gerard Kuiper	เจอราร์ด ปีเตอร์ ไคเปอร์
German Shepherd Dog	เยอรมันเชฟเฟิร์ด
German language	ภาษาเยอรมัน
German mark	มาร์กเยอรมัน
Germanium	เจอร์เมเนียม
Germany	ประเทศเยอรมนี
Germany	หมวดหมู่:ประเทศเยอรมนี
Geronimo	เจอโรนิโม
Ghana	ประเทศกานา
Ghost	ผี
Giacomo Puccini	จาโกโม ปุชชีนี
Giant Panda	แพนด้ายักษ์
Gibbon	ชะนี
Gibraltar	ยิบรอลตาร์
Gigabyte	จิกะไบต์
Gilgamesh	กิลกาเมช
Ginger	ขิง
Ginkgo	แปะก๊วย
Giorgio Vasari	จอร์โจ วาซารี
Giotto di Bondone	จอตโต ดี บอนโดเน
Giraffe	ยีราฟ
Giuseppe Verdi	จูเซปเป แวร์ดี
Glacier	ธารน้ำแข็ง
Glasgow	กลาสโกว์
Glass	แก้ว
Global Positioning System	จีพีเอส
Global warming	ปรากฏการณ์โลกร้อน
Globalization	โลกาภิวัตน์
Globe artichoke	อาร์ติโชค
Glucose	กลูโคส
Glutamic acid	กลูตาเมต
Glycolysis	ไกลโคไลซิส
Go (board game)	หมากล้อม
Goa	รัฐกัว
Goalkeeper	ผู้รักษาประตู
Goat	แพะ
Gobi Desert	ทะเลทรายโกบี
Gold	ทองคำ
Golden Gate Bridge	สะพานโกลเดนเกต
Golf	กอล์ฟ
Golf	หมวดหมู่:กอล์ฟ
Golgi apparatus	กอลจิ คอมเพล็กซ์
Google	กูเกิล
Googol	กูกอล
Gorgon	กอร์กอน
Gorilla	ลิงกอริลลา
Gospel	พระวรสาร
Gospel of Luke	พระวรสารนักบุญลูค
Gothic architecture	สถาปัตยกรรมกอธิค
Gout	โรคเกาต์
Government	รัฐบาล
Grace Kelly	เกรซ เคลลี
Graffiti	กราฟฟิตี
Gram	กรัม
Grammar	ไวยากรณ์
Grammatical gender	ลิงค์
Granada	กรานาดา
Grand Slam (tennis)	เทนนิสแกรนด์สแลม
Granite	หินแกรนิต
Grape	องุ่น
Grapefruit	Grapefruit
Graphic design	กราฟิกดีไซน์
Graphical user interface	ส่วนต่อประสานกราฟิกกับผู้ใช้
Graphite	แกรไฟต์
Gravitation	ความโน้มถ่วง
Gray Wolf	หมาป่า
Great Barrier Reef	เกรตบาร์ริเออร์รีฟ
Great Britain	บริเตนใหญ่
Great Depression	ภาวะเศรษฐกิจตกต่ำครั้งใหญ่
Great Lakes	เกรตเลกส์
Great Rift Valley	เกรตริฟต์แวลลีย์
Great Wall of China	กำแพงเมืองจีน
Great white shark	ปลาฉลามขาว
Greater London	นครลอนดอนและปริมณฑล
Greatest common divisor	ตัวหารร่วมมาก
Greece	ประเทศกรีซ
Greece	หมวดหมู่:ประเทศกรีซ
Greek alphabet	อักษรกรีก
Greek mythology	ตำนานเทพเจ้ากรีก
Green	สีเขียว
Greenhouse effect	ปรากฏการณ์เรือนกระจก
Greenhouse gas	แก๊สเรือนกระจก
Greenland	กรีนแลนด์
Greenpeace	กรีนพีซ
Greenwich Mean Time	เวลามาตรฐานกรีนิช
Gregor Mendel	เกรเกอร์ เมนเดล
Gregorian calendar	ปฏิทินเกรโกเรียน
Grey	สีเทา
Griffin	กริฟฟอน
Gross domestic product	ผลิตภัณฑ์มวลรวมภายในประเทศ
Group	กรุ๊ป
Group (mathematics)	กรุป (คณิตศาสตร์)
Group (periodic table)	หมู่ในตารางธาตุ
Group theory	ทฤษฎีกรุป
Grus (constellation)	กลุ่มดาวนกกระเรียน
Guadeloupe	กวาเดอลูป
Guam	กวม
Guangdong	มณฑลกวางตุ้ง
Guangzhou	กว่างโจว
Guatemala City	กัวเตมาลาซิตี
Guglielmo Marconi	กูกลีเอลโม มาร์โคนี
Guillaume Apollinaire	กีโยม อาโปลีแนร์
Guillotine	กิโยติน
Guinea	ประเทศกินี
Guinea pig	กินนี่พิก
Guinea-Bissau	ประเทศกินี-บิสเซา
Guitar	กีตาร์
Gujarat	รัฐคุชราต
Gulf War	สงครามอ่าวเปอร์เซีย
Gulf of Aden	อ่าวเอเดน
Gulf of Bothnia	อ่าวบอทเนีย
Gulf of Finland	อ่าวฟินแลนด์
Gulf of Mexico	อ่าวเม็กซิโก
Gulf of Thailand	อ่าวไทย
Gull	นกนางนวล
Gunpowder	ดินปืน
Gustav Klimt	กุสตาฟ คลิมต์
Gustav Mahler	กุสตาฟ มาห์เลอร์
Gynaecology	นรีเวชวิทยา
Gypsum	ยิปซัม
Gyroscope	ไจโรสโคป
H	H
HIV	เอชไอวี
HTML	HTML
Hacker	แฮกเกอร์
Hades	ฮาเดส
Hafnium	แฮฟเนียม
Hagia Sophia	สุเหร่าโซเฟีย
Haiku	ไฮกุ
Hail	ลูกเห็บ
Haiti	ประเทศเฮติ
Haiti	หมวดหมู่:ประเทศเฮติ
Hajj	ฮัจญ์
Halal	ตราฮาลาล
Half-life	ครึ่งชีวิต
Halloween	วันฮาโลวีน
Halogen	แฮโลเจน
Hamas	ฮามาส
Hamburg	ฮัมบูร์ก
Hamlet	แฮมเลต
Hammer	ค้อน
Hammer and sickle	ค้อนเคียว
Hammurabi	กษัตริย์ฮัมมูราบี
Han Dynasty	ราชวงศ์ฮั่น
Hand	มือ
Hand grenade	ระเบิดมือ
Handgun	ปืนสั้น
Hanging	การแขวนคอ
Hanging Gardens of Babylon	สวนลอยบาบิโลน
Hannibal	ฮันนิบาล บาร์กา
Hanoi	ฮานอย
Hanover	ฮันโนเวอร์
Hans Christian Andersen	ฮันส์ คริสเตียน แอนเดอร์เซน
Hanuman	หนุมาน
Harp	ฮาร์ป
Harpsichord	ฮาร์ปซิคอร์ด
Harpy	ฮาร์ปี้
Harriet Beecher Stowe	แฮเรียต บีเชอร์ สโตว์
Hassium	ฮาสเซียม
Haute-Normandie	แคว้นโอต-นอร์มองดี
Hawaii	มลรัฐฮาวาย
Hawaii	หมวดหมู่:มลรัฐฮาวาย
Head of state	ประมุขแห่งรัฐ
Health	สุขภาพ
Health	หมวดหมู่:สุขภาพ
Heart	หัวใจ
Heat	ความร้อน
Heat engine	เครื่องจักรความร้อน
Heaven	สวรรค์
Heavy metal music	เฮฟวีเมทัล
Hebei	มณฑลเหอเป่ย์
Hebrew alphabet	อักษรฮีบรู
Hebrew calendar	ปฏิทินฮีบรู
Hectare	เฮกตาร์
Hector	เฮกเตอร์ (ทรอย)
Hector Berlioz	เอกเตอร์ แบร์ลิออส
Hedgehog	เม่น
Hel (being)	เฮล
Helen	เฮเลน (ทรอย)
Helen Keller	เฮเลน เคลเลอร์
Helicopter	เฮลิคอปเตอร์
Helium	ฮีเลียม
Hell	นรก
Helsinki	เฮลซิงกิ
Hematology	โลหิตวิทยา
Hematology	หมวดหมู่:โลหิตวิทยา
Hemoglobin	ฮีโมโกลบิน
Henri Becquerel	อองรี เบ็กเกอเรล
Henri Matisse	อองรี มาตีส
Henry Cavendish	เฮนรี คาเวนดิช
Henry David Thoreau	เฮนรี เดวิด ทอโร
