Slovenian	English
Centralna banka	Central bank
Osrednje živčevje	Central nervous system
Procesor	Central processing unit
Center (Francija)	Centre
Stoletje	Century
Kerber	Cerberus
Žito	Cereal
Mali možgani	Cerebellum
Ceres (razločitev)	Ceres
Cerera (pritlikavi planet)	Ceres (dwarf planet)
Cerera (bajeslovje)	Ceres (mythology)
Cerij	Cerium
Trakulje	Cestoda
Kiti	Cetacea
Čad	Chad
Kategorija:Čad	Chad
Gams	Chamois
Šampanja-Ardeni	Champagne-Ardenne
Pobrežniki	Charadriiformes
Karel Veliki	Charlemagne
Charles, waleški princ	Charles
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Fourier	Charles Fourier
Charles Thomson Rees Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
Karel Plešasti	Charles the Bald
Charlie Chaplin	Charlie Chaplin
Čarovnice (serija)	Charmed
Haron (luna)	Charon (moon)
Haron	Charon (mythology)
Chartres	Chartres
Che Guevara	Che Guevara
Čečenija	Chechnya
Sir	Cheese
Gepard	Cheetah
Kemijska vez	Chemical bond
Spojina	Chemical compound
Kemični element	Chemical element
Kemijska formula	Chemical formula
Kemična sprememba	Chemical reaction
Kemično orožje	Chemical warfare
Kemija	Chemistry
Kategorija:Kemija	Chemistry
Portal:Kemija	Chemistry
Kemoterapija	Chemotherapy
Černobil	Chernobyl
Češnja	Cherry
Kremen	Chert
Šah	Chess
Kategorija:Šah	Chess
Šahovska otvoritev	Chess opening
Chester Alan Arthur	Chester A. Arthur
Hi	Chi (letter)
Čang Kaj-Šek	Chiang Kai-shek
Chicago	Chicago
Domača kokoš	Chicken
Norice	Chickenpox
Otrok	Child
Porod	Childbirth
Čile	Chile
Kategorija:Čile	Chile
Chimborazo	Chimborazo (volcano)
Himera	Chimera (mythology)
Šimpanzi	Chimpanzee
Kategorija:Kitajska	China
Kitajska	China
Hitin	Chitin
Klor	Chlorine
Klorofil	Chlorophyll
Kloroplast	Chloroplast
Čokolada	Chocolate
Pevski zbor	Choir
Kolera	Cholera
Akord	Chord (music)
Strunarji	Chordate
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Krščanstvo	Christianity
Kategorija:Krščanstvo	Christianity
Božič	Christmas
Kategorija:Božič	Christmas
Sveti večer	Christmas Eve
Krištof Kolumb	Christopher Columbus
Christopher Marlowe	Christopher Marlowe
Kromatin	Chromatin
Kromatografija	Chromatography
Krom	Chromium
Kromosom	Chromosome
Kategorija:Kronologija	Chronology
Cerkev (organizacija)	Church
Cerkev (zgradba)	Church (building)
Mark Tulij Cicero	Cicero
Močvirniki	Ciconiiformes
Mošt	Cider
Cinabarit	Cinnabar
Cimet	Cinnamon
Krog	Circle
Obtočila	Circulatory system
Obrezovanje moških	Circumcision
Ciroza jeter	Cirrhosis
Krebsov cikel	Citric acid cycle
Citrus	Citrus
Državljanska vojna	Civil war
Civilizacija	Civilization
Civilization	Civilization (computer game)
Klarinet	Clarinet
Klasična glasba	Classical music
Kategorija:Klasična glasba	Classical music
Claude Monet	Claude Monet
Claude Elwood Shannon	Claude Shannon
Claudio Monteverdi	Claudio Monteverdi
Klavdij I.	Claudius
Ključnica	Clavicle
Ključ (notacija)	Clef
Clement Attlee	Clement Attlee
Klerik	Clergy
Cleveland, Ohio	Cleveland
Podnebje	Climate
Kategorija:Podnebje	Climate
Spremembe podnebja	Climate change
Kategorija:Klimatologija	Climatology
Klio	Clio
Ščegetavček	Clitoris
Ura (naprava)	Clock
Kategorija:Oblačenje	Clothing
Oblak	Cloud
Ožigalkarji	Cnidaria
Premog	Coal
Obala	Coast
Grb	Coat of arms
Kobalt	Cobalt
Kokain	Cocaine
Kakaduji	Cockatoo
Ščurki	Cockroach
Koktajl	Cocktail
Kokos	Coconut
Kavovec	Coffea
Kava	Coffee
Kategorija:Kava	Coffee
Kognitivna psihologija	Cognitive psychology
Kovanec	Coin
Kolhida	Colchis
Hladna vojna	Cold War
Kategorija:Hladna vojna	Cold War
Kolaž	Collage
Kolagen	Collagen
Koloid	Colloid
Köln	Cologne
Kolumbija	Colombia
Kategorija:Kolumbija	Colombia
Polkovnik	Colonel
Barva	Color
Barvna slepota	Color blindness
Kolorado	Colorado
Kategorija:Kolorado	Colorado
Reka Kolorado	Colorado River
Kolosej	Colosseum
Kolumbija (razločitev)	Columbia
Kolumbija (reka)	Columbia River
Golobi	Columbidae
Kategorija:Golobje	Columbiformes
Golobje	Columbiformes
Komedija	Comedy
Komet	Comet
Figa	Common Fig
Prehlad	Common cold
Skupnost neodvisnih držav	Commonwealth of Independent States
Skupnost narodov	Commonwealth of Nations
Kategorija:Komunikacije	Communication
Komuniciranje	Communication
Komunizem	Communism
Kategorija:Komunizem	Communism
Komori	Comoros
Kategorija:Komori	Comoros
Zgoščenka	Compact Disc
Četa	Company (military unit)
Kompas	Compass
Šestilo	Compass (drafting)
Tekmovanje	Competition
CISC	Complex instruction set computer
Kompleksno število	Complex number
Skladatelj	Composer
Sestavljeno število	Composite number
Računalnik	Computer
Monitor	Computer display
Datoteka	Computer file
Kategorija:Računalniška grafika	Computer graphics
Strojna oprema	Computer hardware
Kategorija:Strojna oprema	Computer hardware
Računalniško programiranje	Computer programming
Računalništvo	Computer science
Kategorija:Računalništvo	Computer science
Programska oprema	Computer software
Računalniški virus	Computer virus
Računalniško podprto načrtovanje	Computer-aided design
Koncentracija	Concentration
Koncert	Concerto
Beton	Concrete
Kondom	Condom
Dirigent	Conducting
Stožec	Cone (geometry)
Spoved	Confession
Birma	Confirmation
Konfucionizem	Confucianism
Konfucij	Confucius
Kongo	Congo
Kongo (reka)	Congo River
Stožnica	Conic section
Connecticut	Connecticut
Kategorija:Connecticut	Connecticut
Prvi zakon termodinamike	Conservation of energy
Soglasnik	Consonant
Ozvezdje	Constellation
Ustava	Constitution (political)
Celina	Continent
Kontinentalna polica	Continental shelf
Pogodba	Contract
Bridž	Contract bridge
Kuhanje	Cooking
Koordinatni sistem	Coordinate system
Univerzalni koordinirani čas	Coordinated Universal Time
København	Copenhagen
Baker	Copper
Avtorske pravice	Copyright
Angleški rog	Cor anglais
Vpijati	Coraciiformes
Koriander	Coriander
Coriolisova sila	Coriolis effect
Kormorani	Cormorant
Roženica	Cornea
Cornwall	Cornwall
Podjetje	Corporation
Korozija	Corrosion
Korzika	Corsica
Korund	Corundum
Korveta	Corvette
Vrani	Corvidae
Kozmologija	Cosmology
Kategorija:Kozmologija	Cosmology
Kostarika	Costa Rica
Kategorija:Kostarika	Costa Rica
Bombaž	Cotton
Puma	Cougar
Coulomb	Coulomb
Coulombov zakon	Coulomb's law
Tridentinski koncil	Council of Trent
Kontrapunkt	Counterpoint
Country	Country music
Sodišče	Court
Kovalentna vez	Covalent bond
Coventry	Coventry
Rakovica (meglica)	Crab Nebula
Kreacionizem	Creationism
Kreda	Cretaceous
Kreta	Crete
Kriket	Cricket
Murni	Cricket (insect)
Krimska vojna	Crimean War
Kategorija:Kazensko pravo	Criminal law
Kazensko pravo	Criminal law
Kategorija:Kriminologija	Criminology
Hrvaška	Croatia
Kategorija:Hrvaška	Croatia
Krokodili	Crocodilia
Kronos	Cronus
Križ	Cross
Vektorski produkt	Cross product
Samostrel	Crossbow
Križanka	Crossword
Križanje (mučenje)	Crucifixion
Križarka	Cruiser
Raki	Crustacean
Kriptografija	Cryptography
Kategorija:Kriptografija	Cryptography
Kristal	Crystal
Kuba	Cuba
Kategorija:Kuba	Cuba
Kocka	Cube
Kubični meter	Cubic metre
Kubizem	Cubism
Kukavice	Cuculiformes
Navadna kumara	Cucumber
Bučevke	Cucurbitaceae
Kultura	Culture
Kategorija:Kultura	Culture
Kumulus	Cumulus cloud
Curitiba	Curitiba
Kirij	Curium
Kategorija:Valute	Currency
Valuta	Currency
Curry	Curry
Krivulja	Curve
Cusco	Cusco
Kiberpank	Cyberpunk
Kolesarstvo	Cycling
Kategorija:Kolesarstvo	Cycling
Kiklop	Cyclops
Valj	Cylinder (geometry)
Pravi krapovci	Cyprinid
Krapovci	Cypriniformes
Ciper	Cyprus
Kategorija:Ciper	Cyprus
Cirilica	Cyrillic alphabet
Kir II.	Cyrus the Great
Citoplazma	Cytoplasm
Citozin	Cytosine
Češka	Czech Republic
Kategorija:Češka	Czech Republic
Češkoslovaška	Czechoslovakia
D	D
David Wark Griffith	D. W. Griffith
Deoksiribonukleinska kislina	DNA
DOS	DOS
DVD	DVD
Dadaizem	Dada
Dedal	Daedalus
Bodalo	Dagger
Dalija	Dahlia
Dalajlama	Dalai Lama
Dalmacija	Dalmatia
Jez	Dam
Damask	Damascus
Ples	Dance
Kategorija:Ples	Dance
Regrat	Dandelion
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
Dante Alighieri	Dante Alighieri
Donava	Danube
Dardanele	Dardanelles
Darfur	Darfur
Temna snov	Dark matter
Darmštatij	Darmstadtium
Kapital (knjiga)	Das Kapital
Podatek	Data
Podatkovno rudarjenje	Data mining
Podatkovna struktura	Data structure
Podatkovna baza	Database
SUPB	Database management system
Datelj	Date Palm
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
Davisov pokal	Davis Cup
Dan	Day
Kategorija:Dnevi	Days
Diakon	Deacon
Mrtvo morje	Dead Sea
Kumranski rokopisi	Dead Sea scrolls
Volčja češnja	Deadly nightshade
Smrt	Death
Kategorija:Smrt	Death
Seznam desetletij	Decade
December	December
31. december	December 31
8. december	December 8
Decibel	Decibel
Desetiški številski sistem	Decimal
Dedukcija	Deductive reasoning
Jeleni	Deer
Definicija	Definition
Stopinja	Degree
Kotna stopinja	Degree (angle)
Deimos (luna)	Deimos (moon)
Deizem	Deism
Delaware	Delaware
Kategorija:Delaware	Delaware
Dell	Dell
Delfin (ozvezdje)	Delphinus
Delta	Delta (letter)
Vesoljni potop	Deluge (mythology)
Demagog	Demagogy
Demetra	Demeter
Demokracija	Democracy
Demokratska stranka (ZDA)	Democratic Party (United States)
Demokratična republika Kongo	Democratic Republic of the Congo
Kategorija:Demokratična republika Kongo	Democratic Republic of the Congo
Demokrit	Democritus
Kategorija:Demografija	Demography
Demon	Demon
Demosten	Demosthenes
Deng Xiaoping	Deng Xiaoping
Denis Diderot	Denis Diderot
Danska	Denmark
Kategorija:Danska	Denmark
Dennis Gabor	Dennis Gabor
Gostota	Density
Kategorija:Dentalna medicina	Dentistry
Dentalna medicina	Dentistry
Odvod	Derivative
Dermatologija	Dermatology
Puščava	Desert
Kategorija:Puščave	Deserts
Desmond Tutu	Desmond Tutu
Rušilec	Destroyer
Devterij	Deuterium
Razvojna psihologija	Developmental psychology
Devon (geološka doba)	Devonian
Rosa	Dew
Rosišče	Dew point
Sladkorna bolezen	Diabetes mellitus
Naglas	Dialect
Dialektika	Dialectic
Diamant	Diamond
Diana Spencer	Diana
Diana	Diana (mythology)
Driska	Diarrhea
Igralna kocka	Dice
Dvokaličnice	Dicotyledon
Diktatura	Dictatorship
Slovar	Dictionary
Dizel	Diesel engine
Difuzija	Diffusion
Prebava	Digestion
Dijon	Dijon
Navadni koper	Dill
Razsežnost	Dimension
Dingo	Dingo
Dinozavri	Dinosaur
Škofija	Diocese
Dioklecijan	Diocletian
Dioda	Diode
Diplomacija	Diplomacy
Kategorija:Diplomacija	Diplomacy
Dire Straits	Dire Straits
Kategorija:Razločitev	Disambiguation
Diskurz	Discourse
Diskriminacija	Discrimination
Bolezen	Disease
Razdalja	Distance
Deljenje	Division (mathematics)
Divizija	Division (military)
Kategorija:Džibuti	Djibouti
Džibuti (mesto)	Djibouti (city)
Dimitrij Ivanovič Mendelejev	Dmitri Mendeleev
Dmitrij Šostakovič	Dmitri Shostakovich
Dnjeper	Dnieper River
Doberman	Doberman Pinscher
Cerkveni učitelji	Doctor of the Church
Dodekanez	Dodecanese
Dodo	Dodo
Domači pes	Dog
Verska resnica	Dogma
Ovca Dolly	Dolly (sheep)
Dolmen	Dolmen
Delfini	Dolphin
Udomačitev	Domestication
Dominika	Dominica
Kategorija:Dominika	Dominica
Dominikanci	Dominican Order
Dominikanska republika	Dominican Republic
Kategorija:Dominikanska republika	Dominican Republic
Don Kihot	Don Quixote
Osel	Donkey
Dopamin	Dopamine
Dopplerjev pojav	Doppler effect
Doris Lessing	Doris Lessing
Douala	Douala
Kontrabas	Double bass
Douglas MacArthur	Douglas MacArthur
Downov sindrom	Down syndrome
Drakula	Dracula
Zmaj	Dragon
porečje	Drainage basin
Dramatika	Drama
Dama (igra)	Draughts
Sanje	Dream
Dresden	Dresden
Enogrba kamela	Dromedary
Boben	Drum
Dubaj	Dubai
Dublin	Dublin
Dubnij	Dubnium
Dubrovnik	Dubrovnik
Vojvoda	Duke
Duke Ellington	Duke Ellington
Dunkerque	Dunkirk
Dvanajstnik	Duodenum
Kategorija:Nizozemci	Dutch people
Dwight David Eisenhower	Dwight D. Eisenhower
Dinamika	Dynamics (physics)
Dinamit	Dynamite
Disprozij	Dysprosium
E	E
E (matematična konstanta)	E (mathematical constant)
Elektronska pošta	E-mail
E. T. A. Hoffmann	E. T. A. Hoffmann
ETA	ETA
Uho	Ear
Zemlja	Earth
Kategorija:Zemlja	Earth
Vede o Zemlji	Earth science
Potres	Earthquake
Vzhod	East
Nemška demokratična republika	East Germany
Vzhodni Timor	East Timor
Kategorija:Vzhodni Timor	East Timor
Velika noč	Easter
Pravoslavje	Eastern Orthodox Church
Ebola	Ebola
Izsrednost	Eccentricity (mathematics)
Kljunati ježki	Echidna
Iglokožci	Echinoderm
Sončev mrk	Eclipse
Ekliptika	Ecliptic
Ekologija	Ecology
Kategorija:Ekologija	Ecology
Ekonomija	Economics
Kategorija:Ekonomija	Economics
ekonomija	Economy
Ekosistem	Ecosystem
Ekvador	Ecuador
Kategorija:Ekvador	Ecuador
Ekumenski koncil	Ecumenical council
Edgar Allan Poe	Edgar Allan Poe
Edinburg	Edinburgh
Odrin	Edirne
Edmond Halley	Edmond Halley
Edmonton	Edmonton
Edmund Percival Hillary	Edmund Hillary
Eduard Buchner	Eduard Buchner
Izobraževanje	Education
Kategorija:Izobraževanje	Education
Edvard Grieg	Edvard Grieg
Edvard Munch	Edvard Munch
Edward Jenner	Edward Jenner
Edward Teller	Edward Teller
Edwin Powell Hubble	Edwin Hubble
Jajce	Egg (biology)
Jajčevec	Eggplant
Egipt	Egypt
Kategorija:Egipt	Egypt
Eifflov stolp	Eiffel Tower
Ajnštajnij	Einsteinium
El Greco	El Greco
Salvador	El Salvador
Kategorija:Salvador	El Salvador
Elamiti	Elam
Električni naboj	Electric charge
Električni tok	Electric current
Električno polje	Electric field
Električna kitara	Electric guitar
Elektromotor	Electric motor
Kategorija:Elektrotehnika	Electrical engineering
Elektrotehnika	Electrical engineering
Električni upor	Electrical resistance
Elektrika	Electricity
Elektrokemija	Electrochemistry
Kategorija:Elektrokemija	Electrochemistry
Elektroliza	Electrolysis
Elektrolit	Electrolyte
Elektromagnetno valovanje	Electromagnetic radiation
Spekter elektromagnetnega valovanja	Electromagnetic spectrum
Elektrika in magnetizem	Electromagnetism
Kategorija:Elektrika in magnetizem	Electromagnetism
Elektron	Electron
Elektronegativnost	Electronegativity
Elektronika	Electronics
Kategorija:Elektronika	Electronics
Element	Element
Osnovni delec	Elementary particle
Sloni	Elephant
Elipsa	Ellipse
Tripičje	Ellipsis
Elvis Presley	Elvis Presley
Zarodek	Embryo
Embriologija	Embryology
Smaragd	Emerald
Emilija - Romanja	Emilia-Romagna
Emiliano Zapata	Emiliano Zapata
Čustvo	Emotion
Kategorija:Čustva	Emotion
Empatija	Empathy
Empedoklej	Empedocles
Imperator	Emperor
Cesarski pingvin	Emperor Penguin
Imperij	Empire
Empire State Building	Empire State Building
Emulzija	Emulsion
Enciklopedija	Encyclopedia
Endemit	Endemism
Endokrini sistem	Endocrine system
Endokrinologija	Endocrinology
Energija	Energy
Kategorija:Energija	Energy
Energija	Energy (society)
Motor	Engine
Tehnika	Engineering
Anglija	England
Kategorija:Anglija	England
Rokavski preliv	English Channel
Angleška državljanska vojna	English Civil War
Angleščina	English language
Kategorija:Angleščina	English language
Angleži	English people
Enki	Enki
Enrico Caruso	Enrico Caruso
Enrico Fermi	Enrico Fermi
Kategorija:Zabava	Entertainment
Entalpija	Enthalpy
Entomologija	Entomology
Kategorija:Entomologija	Entomology
Entropija	Entropy
Kategorija:Okolje	Environment
Encim	Enzyme
Eon	Eon (geology)
Eos	Eos
Ep	Epic poetry
Epicenter	Epicenter
Epikur	Epicurus
Epidemija	Epidemic
Epidemiologija	Epidemiology
Epigrafika	Epigraphy
Epilepsija	Epilepsy
Adrenalin	Epinephrine
Sveti trije kralji	Epiphany (Christian)
Epistemologija	Epistemology
Krovno tkivo	Epithelium
Epsilon	Epsilon
Enačba	Equation
Ekvator	Equator
Ekvatorialna Gvineja	Equatorial Guinea
Kategorija:Ekvatorialna Gvineja	Equatorial Guinea
Enakonočje	Equinox
Preslica	Equisetum
Erato	Erato
Eratosten	Eratosthenes
Erbij	Erbium
Erektilna disfunkcija	Erectile dysfunction
Eridan	Eridanus (constellation)
Erik Alfred Leslie Satie	Erik Satie
Erida (pritlikavi planet)	Eris (dwarf planet)
Erida (mitologija)	Eris (mythology)
Kategorija:Eritreja	Eritrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Eros	Eros (mythology)
Erozija	Erosion
Erwin Rommel	Erwin Rommel
Ubežna hitrost	Escape velocity
Eshatologija	Eschatology
Escherichia coli	Escherichia coli
Isfahan	Esfahan
Požiralnik	Esophagus
Esperanto	Esperanto
Kategorija:Esperanto	Esperanto
Espoo	Espoo
Espresso	Espresso
Esej	Essay
Dišavna olja	Essential oil
Ester	Ester
Kategorija:Estonija	Estonia
Eta (črka)	Eta (letter)
Etan	Ethane
Etanol	Ethanol
Eter	Ether
Ethernet	Ethernet
Etika	Ethics
Kategorija:Etika	Ethics
Etiopija	Ethiopia
Kategorija:Etiopija	Ethiopia
Etnografija	Ethnography
Kategorija:Etnologija	Ethnology
Etologija	Ethology
Etimologija	Etymology
Evkalipt	Eucalyptus
Evharistija	Eucharist
Evklid	Euclid
Evklidska geometrija	Euclidean geometry
Evkarionti	Eukaryote
Evnuh	Eunuch
Evfrat	Euphrates
Evrazija	Eurasia
Evripid	Euripides
Evro	Euro
Evropa (luna)	Europa (moon)
Evropa	Europe
Kategorija:Evropa	Europe
Evropska centralna banka	European Central Bank
Evropska skupnost	European Community
Evropska unija	European Union
Kategorija:Evropska unija	European Union
Evropij	Europium
Evterpa	Euterpe
Eva Braun	Eva Braun
Evangelista Torricelli	Evangelista Torricelli
Izhlapevanje	Evaporation
Sodoprsti kopitarji	Even-toed ungulate
Evolucija	Evolution
Excalibur	Excalibur
Klicaj	Exclamation mark
Ekskomunikacija	Excommunication
Izvršilna oblast	Executive (government)
Eksistencializem	Existentialism
Eksplozija	Explosion
Eksponentna funkcija	Exponential function
Potenciranje	Exponentiation
Ekspresionizem	Expressionism
Izumrtje	Extinction
Oko	Eye
Kategorija:Oko	Eye
F	F
Metuljnice	Fabaceae
Basen	Fable
Predloga:Podatek	Fact
Fakulteta (funkcija)	Factorial
Tovarna	Factory
Sončeva pega	Facula
Kategorija:Bukovke	Fagaceae
Fahrenheitova temperaturna lestvica	Fahrenheit
Poštena uporaba	Fair use
Pravljica	Fairy tale
Ujede	Falconiformes
Falklandi	Falkland Islands
Jajcevod	Fallopian tube
Damjak	Fallow Deer
Družina (biologija)	Family (biology)
Rodoslovje	Family history
Daljni vzhod	Far East
Kategorija:Ferski otoki	Faroe Islands
Fašizem	Fascism
Kategorija:Fašizem	Fascism
Kategorija:Moda	Fashion
Moda	Fashion
Fatah	Fatah
Maščobna kislina	Fatty acid
Fauvizem	Fauvism
Telefaks	Fax
Pero	Feather
Februar	February
12. februar	February 12
14. februar	February 14
2. februar	February 2
22. februar	February 22
29. februar	February 29
Februarska revolucija	February Revolution
Zvezni preiskovalni urad	Federal Bureau of Investigation
Zvezne države Mikronezije	Federated States of Micronesia
Federacija	Federation
Povratna zanka	Feedback
Mačke	Felidae
Felix Mendelssohn Bartholdy	Felix Mendelssohn
Feminizem	Feminism
Kategorija:Feminizem	Feminism
Mečevanje	Fencing
Feng šui	Feng shui
Ferdinand II. Habsburški	Ferdinand II
Ferdinand Magellan	Ferdinand Magellan
Fermentacija (biokemija)	Fermentation (biochemistry)
Fermentacija	Fermentation (food)
Fermion	Fermion
Fermij	Fermium
Ferrara	Ferrara
Trajekt	Ferry
Rodovitni polmesec	Fertile Crescent
NPK	Fertilizer
Plod (medicina)	Fetus
Fevdalizem	Feudalism
Vročina	Fever
Fiat	Fiat
Fibonaccijevo število	Fibonacci number
Kategorija:Fikcija	Fiction
Izmišljena oseba	Fictional character
Fidel Castro	Fidel Castro
obseg (algebra)	Field (mathematics)
Lovsko letalo	Fighter aircraft
Fidži	Fiji
Kategorija:Fidži	Fiji
FTP	File Transfer Protocol
Datotečni sistem	File system
Filippo Brunelleschi	Filippo Brunelleschi
Kategorija:Film	Film
Film	Film
Filmski režiser	Film director
Kategorija:Finance	Finance
Prstni odtis	Fingerprint
Finska	Finland
Kategorija:Finska	Finland
Jelka (rod)	Fir
Ogenj	Fire
Ognjeno orožje	Firearm
Gasilec	Firefighter
Požarni zid	Firewall (networking)
Prva križarska vojna	First Crusade
Prva pomoč	First aid
Materni jezik	First language
Ribe	Fish
Ribolov	Fishing
Kategorija:Ribolov	Fishing
Fjord	Fjord
Zastava	Flag
Biček	Flagellum
Plamenci	Flamingo
Ploski črvi	Flatworm
Bolhe	Flea
Kremen	Flint
Bistabilni multivibrator	Flip-flop (electronics)
Poplava	Flood
Disketa	Floppy disk
Firence	Florence
Florence Nightingale	Florence Nightingale
Florida	Florida
Kategorija:Florida	Florida
Moka	Flour
Cvet	Flower
Kritosemenke	Flowering plant
Tekočina	Fluid
Mehanika tekočin	Fluid mechanics
Fluorit	Fluorite
Flavta	Flute
Dvokrilci	Fly
Megla	Fog
Folna kislina	Folic acid
Ljudska glasba	Folk music
Kategorija:Folklora	Folklore
Hrana	Food
Čevelj (dolžinska mera)	Foot (unit of length)
Nogomet	Football (soccer)
Kategorija:Nogomet	Football (soccer)
Kategorija:Nogomet po državah	Football (soccer) by country
Kategorija:Nogometni klubi	Football (soccer) clubs
Kategorija:Nogometaši	Football (soccer) players
Sila	Force
Gozd	Forest
Vladavina	Form of government
Mravljinčna kislina	Formic acid
Fortifikacija	Fortification
Fortran	Fortran
Fosilno gorivo	Fossil fuel
Foucaultovo nihalo	Foucault pendulum
Vodna fontana	Fountain
Fraktal	Fractal
Ulomek	Fraction (mathematics)
Francija	France
Kategorija:Francija	France
Francis Bacon	Francis Bacon
Francis Drake	Francis Drake
Franc I. Habsburško-Lotarinški	Francis II
Francis Poulenc	Francis Poulenc
Sveti Frančišek Asiški	Francis of Assisi
Frančiškani	Franciscan
Francisco Franco	Francisco Franco
Francisco de Goya y Lucientes	Francisco Goya
Francisco Pizarro	Francisco Pizarro
Francij	Francium
Frank Sinatra	Frank Sinatra
Frankfurt na Majni	Frankfurt
Kategorija:Frankfurt na Majni	Frankfurt
Frankfurt na Odri	Frankfurt (Oder)
Frankfurt (razločitev)	Frankfurt (disambiguation)
Franklin Pierce	Franklin Pierce
Frans Hals	Frans Hals
Franz Kafka	Franz Kafka
Franz Liszt	Franz Liszt
Franz Schubert	Franz Schubert
Friderik I. Barbarossa	Frederick I
Friderik II. Hohenstaufen	Frederick II
Prostozidarstvo	Freemasonry
Brezplačno programje	Freeware
Francoska Polinezija	French Polynesia
Kategorija:Francoska Polinezija	French Polynesia
Francoska revolucija	French Revolution
Kategorija:Francozi	French people
Frekvenca	Frequency
Freska	Fresco
Freyja	Freyja
Freyr	Freyr
Trenje	Friction
Petek	Friday
Fridtjof Nansen	Fridtjof Nansen
Friedrich Engels	Friedrich Engels
Fregata	Frigate
Fritz Haber	Fritz Haber
Furlanija - Julijska krajina	Friuli-Venezia Giulia
Žabe	Frog
Fruktoza	Fructose
Plod	Fruit
Kategorija:Sadje	Fruit
Fucking	Fucking
Gorivo	Fuel
Fuga	Fugue
Funkcija	Function (mathematics)
Kategorija:Temeljna	Fundamental
Osnovna sila	Fundamental interaction
Kategorija:Glive	Fungi
Glive	Fungus
Kategorija:Pohištvo	Furniture
Pohištvo	Furniture
Futurizem	Futurism (art)
Mehka logika	Fuzzy logic
Fjodor Mihajlovič Dostojevski	Fyodor Dostoevsky
G	G
GIMP	GIMP
GNOME	GNOME
GNU	GNU
Gabon	Gabon
Kategorija:Gabon	Gabon
Gabriel Lippmann	Gabriel Lippmann
Gadolinij	Gadolinium
Gaja	Gaia (mythology)
Galaksija	Galaxy
Galen	Galen
Galenit	Galena
Galicija	Galicia (Central Europe)
Galicija (Španija)	Galicia (Spain)
Galileja	Galilee
Galileo Galilei	Galileo Galilei
Žolčnik	Gallbladder
Kure	Galliformes
Kategorija:Kure	Galliformes
Galij	Gallium
Galona	Gallon
Gamal Abdel Naser	Gamal Abdel Nasser
Igra na srečo	Gambling
Igra	Game
Gama	Gamma
Žarek gama	Gamma ray
Ganeša	Ganesha
Ganges	Ganges
Gandža	Ganja
Gansu	Gansu
Ganimed (luna)	Ganymede (moon)
Gap	Gap
Eden	Garden of Eden
Vrtnarstvo	Gardening
Garfield	Garfield
Česen	Garlic
Garona	Garonne
Plin	Gas
Splošna plinska konstanta	Gas constant
Plinski velikan	Gas giant
Bencin	Gasoline
Prebavni trakt	Gastrointestinal tract
Polži	Gastropoda
Buda	Gautama Buddha
Zobnik	Gear
Geb	Geb
Dragulj	Gemstone
Gen	Gene
Rodoslovje	Genealogy
Kategorija:Rodoslovje	Genealogy
General	General Officer
Splošna teorija relativnosti	General relativity
1. Mojzesova knjiga	Genesis
Genetika	Genetics
Kategorija:Genetika	Genetics
Ženeva	Geneva
Genova	Genoa
Genocid	Genocide
Kategorija:Genocidi	Genocide
Dednina	Genome
Genotip	Genotype
Rod (biologija)	Genus
Geodezija	Geodesy
Kategorija:Geodezija	Geodesy
Geoffrey Chaucer	Geoffrey Chaucer
Geografija	Geography
Kategorija:Geografija	Geography
Kategorija:Geologija	Geology
Geologija	Geology
Geometrijsko zaporedje	Geometric progression
Geometrija	Geometry
Kategorija:Geometrija	Geometry
Geomorfologija	Geomorphology
Kategorija:Geomorfologija	Geomorphology
Geofizik	Geophysics
Kategorija:Geofizika	Geophysics
Georg Philipp Telemann	Georg Philipp Telemann
George Bernard Shaw	George Bernard Shaw
George Bush	George Bush
Georg Friedrich Händel	George Frideric Handel
George Gershwin	George Gershwin
George Harrison	George Harrison
George Lucas	George Lucas
George Catlett Marshall	George Marshall
George Orwell	George Orwell
George Paget Thomson	George Paget Thomson
George Stephenson	George Stephenson
George W. Bush	George W. Bush
George Washington	George Washington
Georges Bizet	Georges Bizet
Georges Braque	Georges Braque
Georgia	Georgia (U.S. state)
Kategorija:Georgia	Georgia (U.S. state)
Gruzija	Georgia (country)
Kategorija:Gruzija	Georgia (country)
Gerald Ford	Gerald Ford
Gerard Peter Kuiper	Gerard Kuiper
Nemščina	German language
Kategorija:Nemščina	German language
Germanij	Germanium
Nemčija	Germany
Kategorija:Nemčija	Germany
Gestapo	Gestapo
Gejzir	Geyser
Gana	Ghana
Kategorija:Gana	Ghana
Geto	Ghetto
Duh	Ghost
Giacomo Puccini	Giacomo Puccini
Orjaški panda	Giant Panda
Giboni	Gibbon
Gibraltar	Gibraltar
Gigabajt	Gigabyte
Ingver	Ginger
Dvokrpi ginko	Ginkgo
Filippo Giordano Bruno	Giordano Bruno
Giovanni Boccaccio	Giovanni Boccaccio
Žirafa	Giraffe
Girolamo Savonarola	Girolamo Savonarola
Gironde (departma)	Gironde
