English	Korean
Machine	기계
Machine code	기계어
Machine gun	기관총
Machine translation	기계 번역
Machu Picchu	마추 픽추
Macintosh	매킨토시
Macroeconomics	거시경제학
Macroeconomics	분류:거시경제학
Madagascar	마다가스카르
Madagascar	분류:마다가스카르
Madeira	마데이라 제도
Madison	매디슨
Madonna (entertainer)	마돈나
Madrid	마드리드
Madrid (autonomous community)	마드리드 지방
Mafia	마피아
Magazine	잡지
Magenta	자청색
Maghreb	마그레브
Magic square	마방진
Magma	마그마
Magna Carta	대헌장
Magnesium	마그네슘
Magnet	자석
Magnetic field	자기장
Magnetism	자기
Magnetism	분류:자기
Magnifying glass	돋보기
Magnoliopsida	분류:쌍떡잎식물
Maharashtra	마하라슈트라 주
Mahatma Gandhi	모한다스 간디
Mail	우편
Maimonides	모세 벤 마이몬
Main	메인 강
Main	틀:본문
Maine	메인 주
Maine	분류:메인 주
Mainframe computer	메인프레임
Maitreya	미륵보살
Maize	옥수수
Major scale	장음계
Majorca	마요르카
Makalu	마칼루
Malabo	말라보
Malachite	공작석
Malacostraca	연갑강
Malaria	말라리아
Malawi	분류:말라위
Malay Peninsula	말레이 반도
Malaysia	말레이시아
Malaysia	분류:말레이시아
Malcolm X	맬컴 엑스
Maldives	몰디브
Maldives	분류:몰디브
Mali	말리
Mali	분류:말리
Mallard	청둥오리
Malta	몰타
Malta	분류:몰타
Maltese language	몰타어
Maltose	말토스
Mammal	포유류
Mammoth	매머드
Management	경영
Managua	마나과
Manama	마나마
Manatee	매너티
Manchester	맨체스터
Manchuria	만주
Mandala	만다라
Mandarin (linguistics)	관화
Mandelbrot set	만델브로 집합
Manganese	망가니즈
Manhattan	맨해튼
Manhattan Project	맨해튼 계획
Manichaeism	마니교
Manila	마닐라
Manitoba	매니토바 주
Mannerism	매너리즘
Mannheim	만하임
Mantle (geology)	맨틀
Mao Zedong	마오쩌둥
Map	지도
Maple	단풍나무속
Maputo	마푸투
Marathon	마라톤
Marble	대리암
Marcel Duchamp	마르셀 뒤샹
Marcel Marceau	마르셀 마르소
Marcel Proust	마르셀 프루스트
March	3월
March 17	3월 17일
March 19	3월 19일
March 2	3월 2일
March 25	3월 25일
Marco Polo	마르코 폴로
Marcus Aurelius	마르쿠스 아우렐리우스
Marcus Junius Brutus	마르쿠스 브루투스
Marduk	마르둑
Margaret Mitchell	마거릿 미첼
Margaret Thatcher	마거릿 대처
Maria Callas	마리아 칼라스
Mariana Islands	마리아나 제도
Marie Antoinette	마리 앙투아네트
Marie Curie	마리 퀴리
Marilyn Monroe	메릴린 먼로
Mark Antony	마르쿠스 안토니우스
Mark Twain	마크 트웨인
Market	시장 (경제)
Marketing	마케팅
Marketing	분류:마케팅
Markup language	마크업 언어
Marlene Dietrich	마를레네 디트리히
Marriage	혼인
Mars	분류:화성
Mars (mythology)	마르스
Marseille	마르세유
Marshall Islands	마셜 제도
Marshall Islands	분류:마셜 제도
Marshall Plan	유럽 부흥 계획
Marsupial	유대류
Martin Heidegger	마르틴 하이데거
Martin Luther	마르틴 루터
Martin Luther King	마틴 루서 킹 2세
Martin Scorsese	마틴 스코세즈
Martin Van Buren	마틴 밴 뷰런
Martina Navratilova	마르티나 나브라틸로바
Martinique	마르티니크
Martyr	순교
Marxism	마르크스주의
Marxism	분류:마르크스주의
Mary (mother of Jesus)	성모 마리아
Mary Magdalene	마리아 막달레나
Mary Shelley	메리 셸리
Maryland	메릴랜드 주
Maryland	분류:메릴랜드 주
Maseru	마세루
Mashhad	마슈하드
Mass	질량
Mass (liturgy)	미사
Massachusetts	매사추세츠 주
Massachusetts	분류:매사추세츠 주
Massachusetts Institute of Technology	매사추세츠 공과대학교
Masturbation	자위행위
Mata Hari	마타 하리
Match	성냥
Materialism	유물론
Mathematical logic	분류:수리논리학
Mathematical proof	증명
Mathematics	수학
Mathematics	분류:수학
Matrix (mathematics)	행렬
Matter	물질
Matterhorn	마터호른 산
Maurice Ravel	모리스 라벨
Mauritania	모리타니
Mauritania	분류:모리타니
Mauritius	모리셔스
Mauritius	분류:모리셔스
Max Planck	막스 플랑크
Max Weber	막스 베버
Maximian	막시미아누스
Maxwell's equations	맥스웰 방정식
May	5월
May 1	5월 1일
May 24	5월 24일
Mayfly	하루살이목
Mayonnaise	마요네즈
Mbabane	음바바네
McCarthyism	매카시즘
Measles	홍역
Measure (mathematics)	측도
Measurement	분류:측정
Meat	고기
Mecca	메카
Mechanical engineering	기계공학
Mechanical engineering	분류:기계공학
Mechanics	분류:역학
Mechanics	역학
Medea	메데이아
Medication	의약품
Medici	메디치 가
Medicine	의학
Medicine	분류:의학
Mediterranean	분류:지중해
Mediterranean Sea	지중해
Megabyte	메가바이트
Meitnerium	마이트너륨
Mekong	메콩 강
Mel Gibson	멜 깁슨
Melanesia	멜라네시아
Melpomene	멜포메네
Melting point	녹는점
Meme	밈
Memory	기억
Memphis	멤피스 (테네시 주)
Memphis	멤피스 (이집트)
Mendelevium	멘델레븀
Menelaus	메넬라오스
Meningitis	수막염
Mensa (constellation)	테이블산자리
Menstruation	월경
Mental disorder	정신 질환
Mercantilism	중상주의
Mercury	머큐리
Mercury (element)	수은
Mercury (mythology)	메르쿠리우스
Mercury (planet)	수성
Mermaid	인어
Merovingian	메로빙거 왕조
Mesolithic	중석기 시대
Meson	중간자
Mesopotamia	메소포타미아
Mesopotamia	분류:메소포타미아
Mesosphere	중간권
Mesozoic	중생대
Messiah	메시아
Metabolism	신진대사
Metadata	메타데이터
Metal	금속
Metallic bond	금속 결합
Metalloid	준금속
Metallurgy	금속공학
Metallurgy	분류:금속공학
Metamorphic rock	변성암
Metaphysics	분류:형이상학
Meteor shower	유성우
Meteorite	운석
Meteoroid	유성체
Meteorology	분류:기상학
Meteorology	기상학
Methamphetamine	메스암페타민
Methanol	메탄올
Methionine	메티오닌
Methodism	감리교
Metre	미터
Metric space	거리공간
Mexico	멕시코
Mexico	분류:멕시코
Mexico City	멕시코 시티
Miami	마이애미
Mica	운모
Michael (archangel)	대천사 미카엘
Michael Faraday	마이클 패러데이
Michelangelo	미켈란젤로
Michigan	미시간 주
Michigan	분류:미시간 주
Mickey Mouse	미키 마우스
Microbiology	미생물학
Microbiology	분류:미생물학
Microeconomics	미시경제학
Microeconomics	분류:미시경제학
Micronesia	미크로네시아
Microorganism	미생물
Microphone	마이크로폰
Microprocessor	마이크로프로세서
Microscope	현미경
Microscopium	현미경자리
Middle Ages	중세
Middle Ages	분류:중세 유럽
Middle East	중동
Middle East	분류:중동
Midnight sun	백야
Miguel de Cervantes	미겔 데 세르반테스
Mikhail Bakunin	미하일 바쿠닌
Mikhail Glinka	미하일 글린카
Mikhail Gorbachev	미하일 고르바초프
Milan	밀라노
Mile	마일
Miles Davis	마일스 데이비스
Military	분류:군사
Military rank	군인 계급
Milk	젖
Milky Way	우리 은하
Millard Fillmore	밀러드 필모어
Millimetre	밀리미터
Million	1000000
Milton Friedman	밀턴 프리드먼
Milwaukee	밀워키
Mindanao	민다나오 섬
Mineral	광물
Mineralogy	광물학
Minerva	미네르바
Ming Dynasty	명나라
Minimalism	미니멀리즘
Mining	광업
Minneapolis	미니애폴리스
Minnesota	미네소타 주
Minnesota	분류:미네소타 주
Minor scale	단음계
Minos	미노스
Minsk	민스크
Minute	분 (단위)
Mirror	거울
Mishnah	미슈나
Mississippi	분류:미시시피 주
Mississippi River	미시시피 강
Missouri	미주리 주
Missouri	분류:미주리 주
Missouri River	미주리 강
Mitochondrion	미토콘드리아
Mobile phone	휴대전화
Modem	모뎀
Modest Mussorgsky	모데스트 무소륵스키
Modulation	변조
Mogadishu	모가디슈
Mold	곰팡이
Moldova	몰도바
Moldova	분류:몰도바
Mole (unit)	몰
Molecular biology	분자생물학
Molecular biology	분류:분자생물학
Molecule	분자
Mollusca	연체동물
Molybdenum	몰리브데넘
Momentum	운동량
Monaco	모나코
Monaco	분류:모나코
Monarch	군주
Monarchy	군주
Monarchy	분류:군주제
Monday	월요일
Money	돈
Mongolia	몽골
Mongolia	분류:몽골
Mongoose	몽구스
Monocotyledon	외떡잎식물
Monomer	단위체
Monopoly	독점
Monopoly (game)	모노폴리
Monosodium glutamate	글루탐산 나트륨
Monotreme	단공류
Monroe Doctrine	먼로주의
Monrovia	몬로비아
Mont Blanc	몽블랑 산
Montana	몬태나 주
Montana	분류:몬태나 주
Monte Carlo	몬테카를로
Montenegro	몬테네그로
Montenegro	분류:몬테네그로
Montevideo	몬테비데오
Montgomery	몽고메리 (앨라배마 주)
Month	달 (시간)
Montpelier	몬트필리어
Montreal	몬트리올
Montserrat	몬트세랫
Moon	달
Morality	도덕
Moravia	모라바
Morocco	모로코
Morocco	분류:모로코
Morpheme	형태소
Morphology (linguistics)	형태론
Morse code	모스 부호
Mortar (weapon)	박격포
Mosaic	모자이크
Moscow	모스크바
Moscow	분류:모스크바
Moses	모세
Mosque	모스크
Mosquito	모기
Mossad	모사드
Mosul	모술
Motet	모테트
Mother	어머니
Mother Teresa	테레사 수녀
Mother's Day	어머니날
Motion (physics)	운동 (물리학)
Motorcycle	오토바이
Mount Athos	아토스 산
Mount Etna	에트나 산
Mount Everest	에베레스트 산
Mount Fuji	후지 산
Mount Kilimanjaro	킬리만자로 산
Mount Olympus	올림포스의 12신
Mountain	산
Mountain bike	산악 자전거
Mountain range	산맥
Mouse	쥐속
Mouse (computing)	마우스
Mozambique	모잠비크
Mozambique	분류:모잠비크
Mu (letter)	Μ
Muezzin	무에진
Muhammad	무함마드
Muhammad Ali	무하마드 알리
Mulberry	뽕나무속
Multimedia	멀티미디어
Multiplication	곱셈
Mumbai	뭄바이
Mummy	미라
Munich	뮌헨
Muon	뮤온
Murmansk	무르만스크
Murphy's law	머피의 법칙
Murray Gell-Mann	머리 겔만
Musca	파리자리
Muscat	무스카트
Muscle	근육
Muse	무사 (신화)
Museum	박물관
Mushroom	버섯
Music	음악
Music	분류:음악
Musical Instrument Digital Interface	MIDI
Musical instrument	악기
Musical scale	음계
Musician	음악가
Musicology	음악학
Musket	머스켓
Mustelidae	족제비과
Mutation	돌연변이
Myanmar	분류:미얀마
Mycology	분류:균학
Myocardial infarction	심근경색
Mysticism	신비주의
Mythology	신화
Mythology	분류:신화
N	N
N'Djamena	은자메나
NASDAQ	나스닥
NATO	북대서양 조약 기구
NATO	분류:북대서양 조약 기구
Nadine Gordimer	네이딘 고디머
Nagasaki	나가사키 시
Nagoya	나고야 시
Nahuatl	나후아틀어
Nail (anatomy)	발톱
Nail (fastener)	못
Nairobi	나이로비
Namibia	나미비아
Namibia	분류:나미비아
Nanga Parbat	낭가파르밧 산
Nanjing	난징
Nanotechnology	나노기술
Naples	나폴리
Napoleonic Wars	나폴레옹 전쟁
Narcissus (mythology)	나르키소스
Nashville	내슈빌
Nassau	나소
Nathaniel Hawthorne	너대니얼 호손
Nation	국민
National anthem	국가 (노래)
National park	국립공원
Nationalism	민족주의
Nationalism	분류:국민주의
Natural gas	천연 가스
Natural language processing	자연 언어 처리
Natural number	자연수
Natural science	자연과학
Natural selection	자연선택
Nature	자연
Nature	분류:자연
Nauru	나우루
Nauru	분류:나우루
Nautical mile	해리 (단위)
Navigation	분류:항법
Navy	해군
Nazareth	나사렛
Nazi Germany	나치 독일
Nazi Germany	분류:나치 독일
Nazi Party	민족사회주의 독일 노동자당
Nazism	분류:나치즘
Neanderthal	네안데르탈인
Nebraska	네브래스카 주
Nebraska	분류:네브래스카 주
Nebuchadrezzar II	네부카드네자르 2세
Necktie	넥타이
Nefertiti	네페르티티
Neil Armstrong	닐 암스트롱
Nelson Mandela	넬슨 만델라
Nematode	선형동물
Nemean Lion	네메아의 사자
Nemesis (mythology)	네메시스
Neodymium	네오디뮴
Neolithic	신석기 시대
Neon	네온
Nepal	네팔
Nepal	분류:네팔
Neptune	해왕성
Neptunium	넵투늄
Nereid (moon)	네레이드 (위성)
Nero	네로
Nerva	네르바
Nervous system	분류:신경 기관
Nest	둥지
Netherlands	네덜란드
Netherlands	분류:네덜란드
Netherlands Antilles	네덜란드령 안틸레스
Neurology	분류:신경학
Neuron	신경 세포
Neurotransmitter	신경전달물질
Neutrino	중성미자
Neutron	중성자
Neutron star	중성자별
Neva River	네바 강
Nevada	네바다 주
Nevada	분류:네바다 주
New Brunswick	뉴브런즈윅 주
New Caledonia	누벨칼레도니
New Delhi	뉴델리
New England	뉴잉글랜드
New Guinea	뉴기니 섬
New Hampshire	뉴햄프셔 주
New Hampshire	분류:뉴햄프셔 주
New Jersey	뉴저지 주
New Jersey	분류:뉴저지 주
New Mexico	뉴멕시코 주
New Mexico	분류:뉴멕시코 주
New Orleans	뉴올리언스
New South Wales	뉴사우스웨일스 주
New Testament	신약성서
New Year	신정
New York	뉴욕 주
New York	분류:뉴욕 주
New York (disambiguation)	뉴욕 (동음이의)
New York City	뉴욕 시
New York City	분류:뉴욕 시
New York Stock Exchange	뉴욕 증권거래소
New Zealand	뉴질랜드
New Zealand	분류:뉴질랜드
Newark	뉴어크 (뉴저지 주)
Newfoundland (island)	뉴펀들랜드 섬
Newfoundland and Labrador	뉴펀들랜드 래브라도 주
Newport	뉴포트
Newton	뉴턴
Niacin	니코틴산
Niagara Falls	나이아가라 폭포
Niamey	니아메
Nicaragua	니카라과
Nicaragua	분류:니카라과
Nicene Creed	니케아 신경
Nickel	니켈
Nicolas Poussin	니콜라 푸생
Nicolaus Copernicus	니콜라우스 코페르니쿠스
Nicosia	니코시아
Nicotine	니코틴
Niels Bohr	닐스 보어
Niels Henrik Abel	닐스 헨리크 아벨
Niger	니제르
Niger	분류:니제르
Niger River	나이저 강
Nigeria	나이지리아
Nigeria	분류:나이지리아
Night	밤 (시간)
Nightingale	나이팅게일
Nike	나이키 (기업)
Nike (mythology)	니케
Nikita Khrushchev	니키타 흐루쇼프
Nikola Tesla	니콜라 테슬라
Nile	나일 강
Nineveh	니네베
Ninja	닌자
Niobium	나이오븀
Nirvana	열반
Nitric acid	질산
Nitrogen	질소
Nitroglycerin	나이트로글리세린
Nix (moon)	닉스 (위성)
Noah	노아
Noam Chomsky	노엄 촘스키
Nobel Prize	노벨상
Nobel Prize	분류:노벨상
Nobelium	노벨륨
Nobility	분류:귀족
Noble gas	비활성 기체
Nomad	유목민
Nonmetal	비금속
Norfolk Island	노퍽 섬
Norma (constellation)	직각자자리
Normal distribution	정규 분포
Normandy	노르망디
Norse mythology	북유럽 신화
Norse mythology	분류:북유럽 신화
North	북쪽
North Africa	북아프리카
North America	북아메리카
North America	분류:북아메리카
North Carolina	노스캐롤라이나 주
North Carolina	분류:노스캐롤라이나 주
North Dakota	노스다코타 주
North Dakota	분류:노스다코타 주
North Island	북섬
North Korea	조선민주주의인민공화국
North Korea	분류:조선민주주의인민공화국
North Pole	북극점
North Sea	북해
North Star	북극성
Northern Europe	북유럽
Northern Hemisphere	북반구
Northern Ireland	북아일랜드
Northern Ireland	분류:북아일랜드
Northern Mariana Islands	북마리아나 제도
Northern Territory	노던 준주
Northwest Territories	노스웨스트 준주
Norway	노르웨이
Norway	분류:노르웨이
Norwegian Sea	노르웨이 해
Nose	코
Nostradamus	노스트라다무스
Note	음표
Nouakchott	누악쇼트
Noun	명사 (품사)
Nova Scotia	노바스코샤 주
Novaya Zemlya	노바야제믈랴 제도
Novel	소설
November	11월
November 1	11월 1일
November 11	11월 11일
November 2	11월 2일
November 5	11월 5일
Novial	노비알
Novosibirsk	노보시비르스크
Nu (letter)	Ν
Nuclear fission	핵분열
Nuclear fusion	핵융합
Nuclear physics	핵물리학
Nuclear physics	분류:핵물리학
Nuclear power	원자력
Nuclear weapon	핵무기
Nucleic acid	핵산
Nucleon	핵자
Nucleotide	뉴클레오티드
Number	수 (수학)
Numbers	분류:수
Numidia	누미디아
Numismatics	화폐학
Nunavut	누나부트 준주
Nuremberg	뉘른베르크
Nut (fruit)	견과
Nutrition	분류:영양
Nymph	님프
Nyx (mythology)	닉스 (그리스 신화)
O	O
OPEC	석유 수출국 기구
Oahu	오아후 섬
Oak	참나무
Oakland	오클랜드 (캘리포니아 주)
Oasis	오아시스
Oat	귀리
Oaxaca	오아하카 주
Ob River	오비 강
Obelisk	오벨리스크
Obesity	비만증
Object-oriented programming	객체 지향 프로그래밍
Oboe	오보에
Observatory	천문대
Occam's razor	오컴의 면도날
Ocean	대양
Ocean current	해류
Oceania	오세아니아
Oceania	분류:오세아니아
Oceanography	해양학
Oceanography	분류:해양학
Octal	팔진법
Octans	팔분의자리
Octave	옥타브
October	10월
October 12	10월 12일
October 24	10월 24일
October Revolution	10월 혁명
Octopus	낙지
Odessa	오데사
Odin	오딘
Odysseus	오디세우스
Odyssey	오디세이아
Oedipus	오이디푸스
Ohio	오하이오 주
Ohio	분류:오하이오 주
Ohm	옴 (단위)
Ohm's law	옴의 법칙
Oil	기름
Oil painting	유화
Okapi	오카피
Oklahoma	오클라호마 주
Oklahoma	분류:오클라호마 주
Oklahoma City	오클라호마 시
Oktoberfest	뮌헨 10월 맥주축제
Old Norse	고대 노르드어
Old Testament	구약성서
Oligarchy	과두정
Oligopoly	과점
Olive	올리브
Olive oil	올리브기름
Oliver Cromwell	올리버 크롬웰
Olivine	감람석
Olympia	올림피아 (워싱턴 주)
Olympic Games	올림픽
Olympics	분류:올림픽
Omaha	오마하
Oman	오만
Oman	분류:오만
Omega	Ω
Omicron	Ο
Omsk	옴스크
Oncology	분류:종양학
Onion	양파
Ontario	온타리오 주
Ontario	분류:온타리오 주
Oort cloud	오르트 구름
Opera	오페라
Opera (Internet suite)	오페라 (웹 브라우저)
Operating system	운영 체제
Ophiuchus	뱀주인자리
Opium	아편
Optical fiber	광섬유
Optical illusion	착시
Optics	광학
Optics	분류:광학
Optimization (mathematics)	최적화 문제
Oral sex	구강성교
Orange (colour)	주황
Orange (fruit)	오렌지
Orangutan	오랑우탄
Oratorio	오라토리오
Orbit	궤도
Orca	범고래
Orchestra	관현악단
Order (biology)	목 (생물학)
Order of Saint Benedict	베네딕도회
Ordovician	오르도비스기
Oregon	오리건 주
Oregon	분류:오리건 주
Organ (anatomy)	기관 (생물)
Organelle	세포소기관
Organic chemistry	유기화학
Organic chemistry	분류:유기화학
Organic compound	유기 화합물
Organism	생물
Organization	사회 조직
Organization of American States	미주 기구
Orgasm	오르가슴
Origen	오리게네스
Original sin	원죄
Orion (constellation)	오리온자리
Orlando	올랜도 (플로리다 주)
Ornithology	분류:조류학
Orpheus	오르페우스
Orthography	맞춤법
Osaka	오사카 시
Osama bin Laden	오사마 빈 라덴
Oscar Wilde	오스카 와일드
Oscillation	진동
Osiris	오시리스
Oslo	오슬로
Osman I	오스만 1세
Osmium	오스뮴
Osteichthyes	경골어류
Osteoporosis	골다공증
Ostrava	오스트라바
Ostrich	타조
Othello	오셀로
Otho	오토
Ottawa	오타와
Otto I	오토 1세
Otto von Bismarck	오토 폰 비스마르크
Ottoman Empire	오스만 제국
Ottoman Empire	분류:오스만 제국
Ounce	온스
Ovary	난소
Ovid	오비디우스
Ovum	난자
Owl	올빼미목
Oxford	옥스퍼드
Oxidation state	산화수
Oxygen	산소
Oxymoron	모순어법
Ozone	오존
Ozone layer	오존층
P	P
PAL	PAL
PH	수소 이온 농도
Pablo Neruda	파블로 네루다
Pablo Picasso	파블로 피카소
Pacific Ocean	태평양
Pacific Ocean	분류:태평양
Padua	파도바
Pakistan	파키스탄
Pakistan	분류:파키스탄
Palace of Versailles	베르사유 궁전
Palau	팔라우
Palau	분류:팔라우
Paleocene	팔레오세
Paleolithic	구석기 시대
Paleontology	고생물학
Paleontology	분류:고생물학
Paleozoic	고생대
Palestine	팔레스타인
Palestine	분류:팔레스타인
Palestine Liberation Organization	팔레스타인 해방기구
Palestinian National Authority	팔레스타인 자치 정부
Pali	팔리어
Palindrome	회문
Palladium	팔라듐
Palm Sunday	성지주일
Pamir Mountains	파미르고원
Panama	파나마
Panama	분류:파나마
Panama Canal	파나마 운하
Panama City	파나마 시
Pancreas	이자 (기관)
Pandora	판도라
Pangaea	판게아
Pantheon	판테온 (로마)
Panthera	표범속
Papal States	교황령
Papua New Guinea	파푸아 뉴기니
Papua New Guinea	분류:파푸아 뉴기니
Papyrus	파피루스
Parabola	포물선
Parachute	낙하산
Paradigm	패러다임
Paradox	역설
Paraguay	파라과이
Paraguay	분류:파라과이
Parallelogram	평행사변형
Paramaribo	파라마리보
Paraphilia	성도착
Parasitism	기생 (생물학)
Paris	파리 시
Paris	분류:파리 시
Paris (mythology)	파리스 (신화)
Parity (mathematics)	홀수와 짝수
Parkinson's disease	파킨슨병
Parliament	의회
Parrot	앵무새
Parsec	파섹
Parthenon	파르테논 신전
Parthia	파르티아
Particle physics	입자물리학
Particle physics	분류:입자물리학
Pascal	파스칼 (동음이의)
Pascal (programming language)	파스칼 (프로그래밍 언어)
Pascal (unit)	파스칼
Passeriformes	분류:참새목
Passerine	참새목
Passover	과월절
Passport	여권
Password	암호
Pathology	병리학
Patriarch	총대주교
Patriotism	애국주의
Paul Gauguin	폴 고갱
Paul Klee	파울 클레
Paul McCartney	폴 매카트니
Paul the Apostle	파울로스
Paul von Hindenburg	파울 폰 힌덴부르크
Pauli exclusion principle	파울리 배타 원리
Pavo (constellation)	공작자리
Pawn (chess)	폰 (체스)
Pays de la Loire	페이드라루아르
Peace	평화
Peace of Westphalia	베스트팔렌 조약
Peach	복숭아
Peafowl	공작 (동물)
Peanut	땅콩
Pearl	진주
Pearl Harbor	진주만
Pedagogy	교육학
Pedagogy	분류:교육학
Pedophilia	소아성애
Pegasus	페가소스
Pegasus (constellation)	페가수스자리
Peloponnese	펠로폰네소스 반도
Peloponnesian War	펠로폰네소스 전쟁
Pencil	연필
Pendulum	진자
Penelope	페넬로페
Penguin	펭귄
Penicillin	페니실린
Peninsula	반도
Pennsylvania	펜실베이니아 주
Pennsylvania	분류:펜실베이니아 주
Pentagon	오각형
Pentecost	성령강림주일
Pentecostalism	오순절교회
People	분류:사람
People's Republic of China	중화인민공화국
Pepin the Short	피핀 3세
Pepsi	펩시콜라
Peptide	펩타이드
Percentage	백분율
Perciformes	농어목
Peregrine Falcon	매
Perestroika	페레스트로이카
Pericles	페리클레스
Period (periodic table)	주기율표 주기
Periodic table	주기율표
Perm	페름
Permian	페름기
Permutation	순열
Pernambuco	페르남부쿠 주
Perpetual motion	영구 기관
Persephone	페르세포네
Persepolis	페르세폴리스
Perseus	페르세우스
Perseus (constellation)	페르세우스자리
Persian Empire	페르시아 제국
Persian Gulf	페르시아 만
Personal digital assistant	PDA
Perth	퍼스 (웨스턴오스트레일리아 주)
Peru	페루
Peru	분류:페루
Peter Abelard	피에르 아벨라르
Peter Paul Rubens	피터르 파우얼 루번스
Petroleum	석유
Phanerozoic	현생누대
Pharaoh	파라오
Pharmacology	분류:약리학
Pharynx	인두 (몸)
Phase (matter)	상 (물리)
Phenol	페놀
Phenotype	발현형질
Phenylalanine	페닐알라닌
Phenylketonuria	페닐케톤뇨증
Phi (letter)	Φ
Philadelphia	필라델피아
Philip II of Macedon	마케도니아의 필리포스 2세
Philip II of Spain	스페인의 펠리페 2세
Philipp Lenard	필리프 레나르트
Philippine Sea	필리핀 해
Philippines	필리핀
Philippines	분류:필리핀
Philosopher's stone	현자의 돌
Philosophy	철학
Philosophy	분류:철학
Phnom Penh	프놈펜
Phobos (moon)	포보스 (위성)
Phoenicia	페니키아
Phoenix	피닉스 (애리조나 주)
Phoenix	피닉스
Phoenix (constellation)	봉황자리
Phoenix (spacecraft)	피닉스 (탐사선)
Phoneme	낱소리
Phonetics	음성학
Phonetics	분류:음성학
Phonology	음운론
Phosphoric acid	인산
Phosphorus	인
Photography	사진술
Photography	분류:사진술
Photon	광자
Photosphere	광구
Photosynthesis	광합성
Phylum	문 (생물학)
Physical chemistry	물리화학
Physical chemistry	분류:물리화학
Physician	의사
Physics	물리학
Physics	분류:물리학
Physiology	생리학
Physiology	분류:생리학
Pi	원주율
Pi (letter)	Π
Piano	피아노
Picardie	피카르디
Piciformes	딱따구리목
Pictor	화가자리
Pidgin	피진 (언어학)
Pidgin (software)	피진 (소프트웨어)
Piedmont	피에몬테 주
Pierre	피어 (사우스다코타 주)
Pierre Curie	피에르 퀴리
Pierre de Fermat	피에르 드 페르마
Piet Mondrian	피트 몬드리안
Pieter Zeeman	피터르 제이만
Pilsen	플젠
Pinaceae	소나무과
Pine	소나무속
Pineapple	파인애플
Ping	핑
Pink	분홍색
Pinniped	기각류
Pisa	피사
Pisces (constellation)	물고기자리
Pittsburgh	피츠버그
Pixel	화소
Pizza	피자
Plane (mathematics)	평면
Planet	행성
Planetary nebula	행성상 성운
Plankton	플랑크톤
Plant	식물
Plasma (physics)	플라스마
Plastic	플라스틱
Plate tectonics	판 구조론
Platelet	혈소판
Platinum	백금
Plato	플라톤
Platypus	오리너구리
Playing card	플레잉카드
Pleiades (star cluster)	플레이아데스 성단
Pleistocene	플라이스토세
Pliocene	플리오세
Plum	자두
Plutarch	플루타르코스
Pluto	명왕성
Pluto (disambiguation)	플루토
Plutonium	플루토늄
Pneumonia	폐렴
Po River	포 강
Podcast	팟캐스팅
Poetry	시 (문학)
Poetry	분류:시
Pogrom	포그롬
Point (geometry)	점 (기하)
Poison	독
Poitou-Charentes	푸아투샤랑트
Poland	폴란드
Poland	분류:폴란드
Polar bear	북극곰
Polaris	폴라리스
Police	경찰
Poliomyelitis	소아마비
Political party	정당
Political science	정치학
Political science	분류:정치학
Politician	정치인
Politics	정치
Politics	분류:정치
Polonium	폴로늄
Polygon	다각형
Polyhedron	다면체
Polyhymnia	폴리힘니아
Polymer	중합체
Polynesia	폴리네시아
Polynomial	다항식
Pompey	폼페이우스
Pontius Pilate	폰티우스 필라투스
Pop art	팝 아트
Pope	교황
Pope Alexander VI	교황 알렉산데르 6세
Poplar	사시나무속
Population	인구
Porcelain	도자기
Pornography	포르노그래피
Port	항구
Port Louis	포트루이스
Port Moresby	포트 모스비
Port Vila	포트빌라
Port of Spain	포트오브스페인
Port-au-Prince	포르토프랭스
Portland	포틀랜드 (오리건 주)
Portland	포틀랜드
Portugal	포르투갈
Portugal	분류:포르투갈
Poseidon	포세이돈
Positron	양전자
Postage stamp	우표
Postal code	우편번호
Postmodernism	포스트모더니즘
Potassium	칼륨
Potato	감자
Potsdam	포츠담
Pound (mass)	파운드 (질량)
Pound sterling	영국 파운드
Power (physics)	일률
Prague	프라하
Prague	분류:프라하
Praia	프라이아
Praseodymium	프라세오디뮴
Prayer	기도
Precambrian	선캄브리아 시대
Precession	세차운동
Precipitation (meteorology)	강수 (날씨)
Pregnancy	임신
Prehistory	선사 시대
Prehistory	분류:선사 시대
President	대통령
President of the United States	미국의 대통령
Pressure	압력
Pretoria	프리토리아
Price	가격
Primate	영장류
Primates	분류:영장류
Prime Meridian	본초 자오선
Prime minister	총리
Prime number	소수 (수론)
Prince Edward Island	프린스에드워드아일랜드 주
Prince Philip	영국의 에든버러 공 필립
Prince of Wales	웨일스 공
Princeton University	프린스턴 대학교
Printing	인쇄
Prion	프리온
Prism (geometry)	각기둥
Prism (optics)	프리즘
Prison	교도소
Probability	확률
Probability theory	확률론
Probability theory	분류:확률론
Procyonidae	아메리카너구리과
Professor	교수
Profit	이윤
Programmer	프로그래머
Programming language	프로그래밍 언어
Progressive rock	프로그레시브 록
Project	프로젝트
Prokaryote	원핵생물
Prolog	프롤로그
Prometheus	프로메테우스
Promethium	프로메튬
Pronoun	대명사
Propane	프로페인
Prophet	예언자
Prose	산문
Prostate	전립선
Protactinium	프로탁티늄
Protein	단백질
Proterozoic	원생누대
Protestant Reformation	종교개혁
Protestantism	개신교
Protist	원생생물
Protista	분류:원생생물
Protocol	프로토콜
Proton	양성자
Providence	프로비던스
Proxima Centauri	센타우루스자리 프록시마
Prunus	벚나무속
Prussia	프로이센
Psalms	시편
