English	Ukrainian
Cotopaxi	Котопахі
Cotton	Бавовна
Cougar	Пума
Coulomb	Кулон (одиниця СІ)
Coulomb's law	Закон Кулона
Counterpoint	Контрапункт
Country	Країна
Court	Суд
Covalent bond	Ковалентний зв'язок
Coyote	Койот
Crab	Краби
Crab Nebula	Крабоподібна туманність
Crater (constellation)	Чаша (сузір'я)
Creationism	Креаціонізм
Cretaceous	Крейдовий період
Crete	Крит
Cricket	Крикет
Crime	Злочин
Crimea	Автономна Республіка Крим
Crimean War	Кримська війна
Criminal law	Категорія:Кримінальне право
Criminal law	Кримінальне право
Croatia	Хорватія
Croatia	Категорія:Хорватія
Crocodile	Крокодилові
Cronus	Хронос
Cross product	Векторний добуток
Crossword	Кросворд
Crust (geology)	Земна кора
Crustacean	Ракоподібні
Crux	Південний Хрест (сузір'я)
Cryptography	Криптографія
Cryptography	Категорія:Криптографія
Crystal	Кристали
Crystallography	Категорія:Кристалографія
Ctenophore	Реброплави
Cuba	Куба
Cuba	Категорія:Куба
Cube	Куб
Cubism	Кубізм
Cuculiformes	Зозулеподібні
Cucumber	Огірок звичайний
Cultural Revolution	Культурна революція (Китай)
Culture	Культура
Culture	Категорія:Культура
Cumbria	Камбрія
Cumulus cloud	Купчаста хмара
Curitiba	Куритиба
Curium	Кюрій
Currency	Категорія:Валюти
Currency	Валюта
Curry	Каррі
Curve	Крива
Cusco	Куско
Cyan	Блакитний колір
Cyanobacteria	Ціанобактерії
Cybele	Кібела
Cybernetics	Кібернетика
Cyberpunk	Кіберпанк
Cyclone	Циклон (атмосферний вихор)
Cyclops	Кіклопи
Cygnus (constellation)	Лебідь (сузір'я)
Cylinder (geometry)	Циліндр
Cyprus	Кіпр
Cyprus	Категорія:Кіпр
Cyrillic alphabet	Кирилиця
Cyrus the Great	Кир Великий
Cystic fibrosis	Кістозний фіброз
Cytoplasm	Цитоплазма
Cytosine	Цитозин
Czech Republic	Чехія
Czech Republic	Категорія:Чехія
Czechoslovakia	Чехословаччина
Czechoslovakia	Категорія:Чехословаччина
D	D (латиниця)
DNA	Дезоксирибонуклеїнова кислота
DOS	DOS
DVD	DVD
Dada	Дадаїзм
Daedalus	Дедал
Daguerreotype	Дагеротипія
Dakar	Дакар
Dalai Lama	Далай-лама
Dallas	Даллас
Dalmatia	Далмація
Dam	Дамба
Damascus	Дамаск
Dance	Танець
Dance	Категорія:Танці
Daniel Defoe	Дефо Даніель
Dante Alighieri	Данте Аліґ'єрі
Danube	Дунай
Daphne	Дафна
Dar es Salaam	Дар-ес-Салам
Dardanelles	Дарданели
Dark matter	Темна матерія
Darmstadtium	Дармштадтій
Darwin	Дарвін (місто)
Data	Дані
Data mining	Добування даних
Data structure	Структури даних
Database	База даних
Database management system	Система керування базами даних
Dative case	Давальний відмінок
Daugavpils	Даугавпілс
David	Давид
David Hilbert	Гільберт Давид
David Hume	Г'юм Девід
David Livingstone	Лівінгстон Девід
David Ricardo	Рікардо Давид
Davis Cup	Кубок Девіса
Day	Доба
Days	Категорія:Дата
De facto	Де-факто
Deacon	Дяк
Dead Sea	Мертве море
Deadly nightshade	Белладонна
Death	Смерть
Death	Категорія:Смерть
December	Грудень
December 31	31 грудня
December 8	8 грудня
Decimal	Десяткова система числення
Deco	Деку
Deductive reasoning	Дедукція
Deer	Оленеві
Definition	Означення
Deflation	Дефляція (економіка)
Degree	Градус (значення)
Degree (angle)	Градус (геометрія)
Deimos (moon)	Деймос (супутник)
Deism	Деїзм
Delaware	Делавер
Delft	Делфт
Delphi	Дельфи
Delphinus	Дельфін (сузір'я)
Delta	Дельта
Delta (letter)	Дельта (літера)
Deluge (mythology)	Всесвітній потоп
Demagogy	Демагогія
Demeter	Деметра
Democracy	Демократія
Democratic Party (United States)	Демократична партія США
Democratic Republic of the Congo	Демократична Республіка Конго
Democratic Republic of the Congo	Категорія:Демократична Республіка Конго
Democritus	Демокріт
Demography	Демографія
Demography	Категорія:Демографія
Demon	Демон
Demosthenes	Демосфен
Deng Xiaoping	Ден Сяопін
Denis Diderot	Дідро Дені
Denmark	Данія
Denmark	Категорія:Данія
Density	Густина
Dentistry	Категорія:Стоматологія
Dentistry	Стоматологія
Denver	Денвер
Derivative	Похідна
Dermatology	Дерматологія
Des Moines	Де-Мойн
Desert	Пустеля
Deserts	Категорія:Пустелі
Desiderius Erasmus	Еразм Ротердамський
Design	Дизайн
Design	Категорія:Дизайн
Desmond Tutu	Десмонд Туту
Destroyer	Ескадрений міноносець
Determinant	Визначник
Determinism	Детермінізм
Detroit	Детройт
Deuterium	Дейтерій
Deuteronomy	Повторення закону
Device driver	Драйвер
Devon	Девон (графство)
Devonian	Девонський період
Dew point	Точка роси
Dewey Decimal Classification	Десяткова класифікація Дьюї
Dhaka	Дака
Dharma	Дхарма
Diabetes mellitus	Цукровий діабет
Dialect	Діалекти
Dialectic	Діалектика
Dialectical materialism	Діалектичний матеріалізм
Diameter	Діаметр
Diamond	Алмаз
Diana (mythology)	Діана
Diarrhea	Діарея
Diaspora	Діаспора
Dicotyledon	Дводольні
Dictatorship	Диктатура
Dictionary	Словник
Diesel	Дизельне паливо
Diesel engine	Дизельний двигун
Differential equation	Диференціальні рівняння
Diffraction	Дифракція
Diffusion	Дифузія
Digestion	Травлення
Digestive system	Категорія:Травна система
Digital subscriber line	DSL
Dill	Кріп
Dinosaur	Динозаври
Diocese	Єпархія
Diode	Діод
Dionysus	Діоніс
Diphtheria	Дифтерія
Diphthong	Дифтонг
Diplomacy	Дипломатія
Diplomacy	Категорія:Дипломатика
Dire Straits	Dire Straits
Direct current	Постійний струм
Disaccharide	Дисахариди
Disambiguation	Категорія:Багатозначні терміни
Disc jockey	Ді-джей
Discourse	Дискурс
Discrimination	Дискримінація
Disease	Хвороба
Distillation	Перегонка
Divergence	Дивергенція
Division (military)	Дивізія
Dizzy Gillespie	Діззі Гіллеспі
Djibouti	Категорія:Джибуті
Djibouti (city)	Джибуті (місто)
Dmitri Mendeleev	Менделєєв Дмитро Іванович
Dmitri Shostakovich	Шостакович Дмитро Дмитрович
Dnieper River	Дніпро
Dnipropetrovsk	Дніпропетровськ
Document	Документ
Dodecahedron	Додекаедр
Dodecanese	Додеканес
Dodoma	Додома
Dog	Собака
Dogma	Догмат
Dolly (sheep)	Вівця Доллі
Dolmen	Дольмен
Dolomite	Доломіт
Dolphin	Дельфінові
Domain (biology)	Домен (біологія)
Domain name	Доменне ім'я
Dome	Купол
Domesday Book	Книга Страшного суду
Dominica	Домініка
Dominican Order	Домініканці (орден)
Dominican Republic	Домініканська Республіка
Don Quixote	Дон Кіхот
Don River (Russia)	Дон
Donald Duck	Дональд Дак
Donatello	Донателло
Donato Bramante	Донато Браманте
Donetsk	Донецьк
Donkey	Віслюк
Door	Двері
Dopamine	Дофамін
Doppler effect	Ефект Доплера
Dorado	Золота Риба (сузір'я)
Doris Lessing	Лессінґ Доріс
Dortmund	Дортмунд
Double bass	Контрабас
Douglas MacArthur	Дуглас Макартур
Down syndrome	Синдром Дауна
Draco (constellation)	Дракон (сузір'я)
Dragon	Змій
Drainage basin	Водозбірний басейн
Drama	Драма (рід)
Draughts	Шашки
Dresden	Дрезден
Drink	Напої
Drug addiction	Наркоманія
Drum	Барабан
Dualism	Дуалізм'
Dublin	Дублін
Dubnium	Дубній
Dubrovnik	Дубровник
Duck	Качка
Dugong	Дюгонь
Duke	Герцог
Duke Ellington	Дюк Еллінгтон
Dunkirk	Дюнкерк
Dushanbe	Душанбе
Dustin Hoffman	Гофман Дастін
Dutch people	Категорія:Персоналії:Нідерланди
Dwight D. Eisenhower	Дуайт Девід Ейзенхауер
Dynamics (physics)	Динаміка
Dynamite	Динаміт
Dynasty	Династія
Dyslexia	Дислексія
Dysprosium	Диспрозій
Dystopia	Антиутопія
E	E (латиниця)
E (mathematical constant)	Число e
E-mail	Електронна пошта
E. T. A. Hoffmann	Гофманн Ернст Теодор Амадей
ETA	ЕТА
Ear	Вухо
Earth	Земля
Earth	Категорія:Земля
Earth science	Науки про Землю
Earthquake	Землетрус
East	Схід
East Africa	Східна Африка
East China Sea	Східно-Китайське море
East Germany	Німецька Демократична Республіка
East Sussex	Східний Суссекс
East Timor	Східний Тимор
Easter	Великдень
Eastern Orthodox Church	Православ'я
Ebola	Геморагічна лихоманка Ебола
Ebro	Ебро
Eccentricity (mathematics)	Ексцентриситет
Echidna	Єхиднові
Echidna (mythology)	Єхидна (міфологія)
Echinoderm	Голкошкірі
Eclipse	Затемнення
Eclipse (software)	Eclipse
Ecliptic	Екліптика
Ecological niche	Екологічна ніша
Ecology	Екологія
Ecology	Категорія:Екологія
Econometrics	Економетрика
Economics	Економіка
Economics	Категорія:Економіка
Economy	Економіка
Ecosystem	Екосистема
Ecuador	Еквадор
Ecuador	Категорія:Еквадор
Ecumenical council	Вселенські собори
Edgar Allan Poe	Едгар Аллан По
Edgar Degas	Деґа Едґар
Edgar Rice Burroughs	Берроуз Едгар Райс
Edinburgh	Единбург
Edmonton	Едмонтон
Edmund Hillary	Гілларі Едмунд
Edmund Husserl	Гуссерль Едмунд Густав Альбрехт
Edo	Едо (місто)
Education	Освіта
Education	Категорія:Освіта
Edvard Grieg	Гріг Едвард
Edward Gibbon	Гіббон Едуард
Edward Jenner	Дженнер Едворд
Edwin Hubble	Хаббл Едвін Пауелл
Eel	Вугроподібні
Egg (biology)	Яйце
Eggplant	Баклажан
Egypt	Єгипет
Egypt	Категорія:Єгипет
Eiffel Tower	Ейфелева вежа
Einsteinium	Ейнштейній
El Greco	Ель Греко
El Salvador	Сальвадор
El Salvador	Категорія:Сальвадор
Elam	Елам
Elbe	Ельба
Eleanor Roosevelt	Рузвельт Елеонора
Election	Вибори
Electra	Електра
Electric charge	Електричний заряд
Electric current	Електричний струм
Electric field	Електричне поле
Electric guitar	Електрогітара
Electric motor	Електродвигун
Electrical engineering	Категорія:Електротехніка
Electrical engineering	Електротехніка
Electrical resistance	Електричний опір
Electricity	Електрика
Electrocardiogram	Електрокардіографія
Electrochemistry	Електрохімія
Electrochemistry	Категорія:Електрохімія
Electrolysis	Електроліз
Electrolyte	Електроліти
Electromagnetic radiation	Електромагнітна хвиля
Electromagnetism	Електродинаміка класична
Electromagnetism	Категорія:Електромагнетизм
Electron	Електрон
Electronegativity	Електронегативність
Electronics	Електроніка
Electronics	Категорія:Електроніка
Elegy	Елегія
Element	Елемент
Elementary particle	Фундаментальна частинка
Elephant	Слонові
Elevator	Ліфт
Elf	Альви
Elia Kazan	Казан Еліа
Elijah	Ілля (пророк)
Ella Fitzgerald	Фіцджеральд Елла
Ellipse	Еліпс
Elm	В'яз
Elvis Presley	Елвіс Преслі
Embryo	Ембріон
Emilia-Romagna	Емілія-Романья
Emir	Емір
Emma Goldman	Ґолдман Емма
Emoticon	Смайл
Emotion	Емоція
Empathy	Емпатія
Empedocles	Емпедокл
Emperor	Імператор
Emperor Penguin	Імператорський пінгвін
Empire State Building	Емпайр-Стейт-Білдінг
Empiricism	Емпіризм
Emulsion	Емульсія
Encyclopedia	Енциклопедія
Endemism	Ендемік
Endocrinology	Ендокринологія
Endocrinology	Категорія:Ендокринологія
Energy	Енергія
Energy	Категорія:Енергія
Energy (society)	Енергія
Engine	Двигун
Engineer	Інженер
Engineering	Інженерія
England	Англія
England	Категорія:Англія
English Channel	Ла-Манш
English Civil War	Англійська буржуазна революція 17 століття
English language	Англійська мова
English people	Категорія:Персоналії:Англія
English people	Англійці
Enrico Caruso	Карузо Енріко
Enrico Fermi	Фермі Енріко
Entertainment	Категорія:Розваги
Enthalpy	Ентальпія
Entomology	Ентомологія
Entomology	Категорія:Ентомологія
Entropy	Термодинамічна ентропія
Environment	Категорія:Охорона природи
Enzyme	Ферменти
Eocene	Еоценова епоха
Eon (geology)	Еон
Eos	Еос
Ephesus	Ефес (місто)
Epicenter	Епіцентр
Epicurus	Епікур
Epidemic	Епідемія
Epidemiology	Епідеміологія
Epimetheus (mythology)	Епіметей (міфологія)
Epinephrine	Адреналін
Epiphany (Christian)	Водохреща
Epistemology	Епістемологія
Epistle to the Romans	Послання до Римлян
Epithelium	Епітелій
Epsilon	Епсилон (літера)
Equation	Рівняння
Equator	Екватор
Equatorial Guinea	Екваторіальна Гвінея
Equatorial Guinea	Категорія:Екваторіальна Гвінея
Equinox	Рівнодення
Equisetum	Хвощ
Erasure	Erasure
Erato	Ерато
Eratosthenes	Ератосфен
Erbium	Ербій
Erebus	Ереб
Erection	Ерекція
Ericales	Вересоцвіті
Eridanus (constellation)	Ерідан (сузір'я)
Erik Satie	Саті Ерік
Eris (dwarf planet)	Ерида (карликова планета)
Eris (mythology)	Ерида (міфологія)
Ernest Hemingway	Хемінгуей Ернест Міллер
Ernest Rutherford	Резерфорд Ернест
Eros (mythology)	Ерос
Erosion	Ерозія
Erwin Rommel	Роммель Ервін
Escape velocity	Друга космічна швидкість
Eschatology	Есхатологія
Escherichia coli	Кишкова паличка
Esophagus	Стравохід
Esperanto	Есперанто
Esperanto	Категорія:Есперанто
Espionage	Розвідка
Espresso	Еспресо
Essay	Есе
Essential oil	Ефірні олії
Essex	Ессекс
Ester	Складні ефіри
Estonia	Категорія:Естонія
Eta (letter)	Ета (літера)
Etching	Травлення (металообробка)
Ethane	Етан
Ethanol	Етанол
Ether	Прості ефіри
Ethernet	Ethernet
Ethics	Етика
Ethics	Категорія:Етика
Ethiopia	Ефіопія
Ethiopia	Категорія:Ефіопія
Ethnic group	Етнос
Ethnography	Етнографія
Ethnology	Категорія:Етнологія
Ethology	Етологія
Ethylene	Етилен
Etymology	Етимологія
Eucharist	Євхаристія
Euclid	Евклід
Eukaryote	Домен Ядерні
Eunuch	Євнух
Euphemism	Евфемізм
Euphrates	Євфрат
Eurasia	Євразія
Eurasian Badger	Борсук
Euripides	Евріпід
Euro	Євро
Europa (mythology)	Європа (міфологія)
Europe	Європа
Europe	Категорія:Європа
European Central Bank	Європейський центральний банк
European Community	Європейські спільноти
European Magpie	Сорока
European Union	Європейський Союз
European Union	Категорія:Європейський Союз
Europium	Європій
Euterpe	Евтерпа
Euthanasia	Евтаназія
Eva Braun	Браун Єва Анна Паула
Evanescence	Evanescence
Evangelista Torricelli	Торрічеллі Еванджеліста
Even-toed ungulate	Парнокопитні
Evolution	Еволюція (біологія)
Exchange rate	Валютний курс
Exclamation mark	Знак оклику
Executive (government)	Виконавча влада
Exhibitionism	Ексгібіціонізм
Existentialism	Екзистенціалізм
Expected value	Математичне сподівання
Experiment	Експеримент
Explosion	Вибух
Exponential function	Експонента
Exponentiation	Піднесення до степеня
Expressionism	Експресіонізм
Eye	Око
Eye	Категорія:Око
Ezra Pound	Паунд Езра Луміс
F	F (латиниця)
F. Scott Fitzgerald	Фіцджеральд Френсіс Скотт
Fabaceae	Бобові
Fable	Байка
Fact	Шаблон:Fact
Factorial	Факторіал
Factory	Фабрика
Fagaceae	Категорія:Букові
Fagales	Букоцвіті
Fair use	Добропорядне користування
Fairy tale	Казка
Falcon	Сокіл
Falconiformes	Соколоподібні
Falkland Islands	Фолклендські острови
Fallacy	Логічна хиба
Falun Gong	Фалунь Дафа
Family (biology)	Родина (біологія)
Family history	Генеалогія
Family name	Прізвище
Fantasy	Фентезі
Far East	Далекий Схід
Farad	Фарад
Faroe Islands	Категорія:Фарерські острови
Fascism	Фашизм
Fascism	Категорія:Фашизм
Fashion	Категорія:Мода
Fashion	Мода (культура)
Fast food	Фаст-фуд
Fasting	Піст
Fatty acid	Жирні кислоти
Fault (geology)	Геологічний розлом
Fauvism	Фовізм
Fear	Страх
Feather	Пташине перо
February	Лютий
February 12	12 лютого
February 14	14 лютого
February 2	2 лютого
February 22	22 лютого
February 29	29 лютого
February Revolution	Лютнева революція 1917
Feces	Кал
Federal Bureau of Investigation	Федеральне бюро розслідувань США
Federated States of Micronesia	Федеративні Штати Мікронезії
Federation	Федеративна держава
Federico Fellini	Фелліні Федеріко
Fedora (Linux distribution)	Fedora Core
Feedback	Зворотний зв'язок
Felidae	Котячі
Felix Mendelssohn	Мендельсон Фелікс
Feminism	Фемінізм
Feminism	Категорія:Фемінізм
Fencing	Фехтування
Fennel	Фенхель
Fenrir	Фенрір (міфологія)
Ferdinand II	Фердинанд II Габсбурґ
Ferdinand Magellan	Фернан Магеллан
Ferdinand de Saussure	Фердинанд де Сосюр
Fermentation (biochemistry)	Анаеробне дихання
Fermentation (food)	Бродіння
Fermion	Ферміон
Fermium	Фермій
Fern	Папороть
Fertile Crescent	Родючий півмісяць
Fertilisation	Запліднення
Fertilizer	Добрива
Fetus	Плід (анатомія)
Feudalism	Феодалізм
Fever	Лихоманка
Fiat	Fiat
Fibonacci number	Послідовність Фібоначчі
Fictional character	Персонаж
Fidel Castro	Фідель Кастро
Field (mathematics)	Поле
Figure skating	Фігурне катання
Fiji	Фіджі
Fiji	Категорія:Фіджі
File Transfer Protocol	FTP
File system	Файлова система
Film	Категорія:Кіно
Film	Кінофільм
Film	Портал:Кінематограф
Finance	Категорія:Фінанси
Finance	Фінанси
Fingerprint	Дактилоскопія
Finland	Фінляндія
Finland	Категорія:Фінляндія
Fir	Ялиця
Fire	Вогонь
Firearm	Вогнепальна зброя
Firewall (networking)	Фаєрвол
First Crusade	Перший хрестовий похід
Fish	Риби
Fish	Категорія:Риби
Fishing	Рибальство
Fjord	Фіорд
Flag	Прапор
Flagellum	Джгутик
Flamingo	Фламінго
Flanders	Фландрія
Flash memory	Флеш-пам'ять
Flatulence	Метеоризм
Flatworm	Плоскі черви
Flea	Блохи
Flint	Кремінь
Flip-flop (electronics)	Тригер
Flood	Повінь
Floppy disk	Дискета
Florence	Флоренція
Florence Nightingale	Найтінгейл Флоренс
Florida	Флорида
Florida	Категорія:Флорида
Flour	Борошно
Flower	Квітка
Flowering plant	Покритонасінні
Fluorite	Флюорит
Flute	Флейта
Fly	Двокрилі
Fog	Туман
Folk music	Народна музика
Folklore	Фольклор
Food	Їжа
Food additive	Харчові добавки
Food and Agriculture Organization	Продовольча та сільськогосподарська організація ООН
Food chain	Харчовий ланцюжок
Foot	Стопа (анатомія)
Foot (unit of length)	Фут
Football (soccer)	Футбол
Football (soccer)	Категорія:Футбол
Football (soccer) by country	Категорія:Футбол за країною
Football (soccer) clubs	Категорія:Футбольні клуби за країною
Football (soccer) managers	Категорія:Футбольні тренери
Football (soccer) venues	Категорія:Футбольні стадіони
Force	Сила
Forest	Ліс
Fork	Виделка
Form of government	Форма правління
Formic acid	Мурашина кислота
Fornax	Піч (сузір'я)
Fortran	Fortran
Fossil	Скам'янілості
Fossil fuel	Горючі корисні копалини
Foucault pendulum	Маятник Фуко (фізика)
Fourier series	Ряд Фур'є
Fractal	Фрактал
Fraction (mathematics)	Дроби
France	Франція
France	Категорія:Франція
Francis Bacon	Бекон Френсіс
Francis Crick	Френсіс Крік
Francis Drake	Дрейк Френсіс
Francis II	Франц ІІ (імператор Священної Римської імперії)
Francis Poulenc	Пуленк Франсіс Жан Марсель
Francis of Assisi	Франциск Ассізький
Franciscan	Францисканці
Francisco Franco	Франциско Франко
Francisco Goya	Гойя Франсіско-Хосе де
Francisco Pizarro	Франсиско Пісарро
Francium	Францій
Franco-Prussian War	Французько-прусська війна
Frank Lloyd Wright	Френк Ллойд Райт
Frank Sinatra	Сінатра Френк
Frankfurt	Франкфурт-на-Майні
Franz Kafka	Кафка Франц
Franz Liszt	Ліст Ференц
Franz Schubert	Шуберт Франц Петер
Fred Astaire	Фред Астер
Frederick I	Фрідріх I Барбаросса
Frederick II	Фрідріх II (імператор Священної Римської імперії)
Frederick Sanger	Фредерик Сенгер
Frederick Soddy	Содді Фредерік
Free State	Вільна держава (ПАР)
Freedom (philosophy)	Свобода
Freedom of speech	Свобода слова
Freemasonry	Масонство
Freetown	Фрітаун
Freeware	Безкоштовне програмне забезпечення
French Polynesia	Французька Полінезія
French Revolution	Велика французька революція
French Revolution	Категорія:Французька революція
French people	Категорія:Персоналії:Франція
Frequency	Частота
Fresco	Фреска
Freshwater	Прісна вода
Fresno	Фресно
Freyja	Фрейя
Friction	Тертя
Friday	П'ятниця
Fridtjof Nansen	Фрітьйоф Нансен
Friedrich Engels	Енгельс Фрідріх
Frigate	Фрегат
Friuli-Venezia Giulia	Фріулі-Венеція-Джулія
Frog	Безхвості
Fructose	Фруктоза
Fruit	Плід
Fruit	Категорія:Фрукти
Fucking	Фукінг
Fuel	Паливо
Fugue	Фуга
Function (mathematics)	Функція (математика)
Fundamental	Категорія:Головна
Fundamental interaction	Фундаментальні взаємодії
Fundamentalism	Релігійний фундаменталізм
Fungi	Категорія:Гриби
Fungus	Гриби
Funicular	Фунікулер
Funk	Фанк
Furniture	Меблі
Futurism (art)	Футуризм
Fuzzy logic	Нечітка логіка
Fyodor Dostoevsky	Достоєвський Федір Михайлович
G	G (латиниця)
GIMP	GIMP
GNOME	GNOME
GNU	GNU
Gabon	Габон
Gabon	Категорія:Габон
Gaborone	Габороне
Gabriel	Гавриїл
Gadolinium	Гадоліній
Gaia (mythology)	Гея
Galatia	Галатія
Galaxy	Галактика
Galen	Гален Клавдій
Galena	Галеніт
Galicia (Central Europe)	Галичина
Galicia (Spain)	Галісія
Galilee	Галілея
Galileo Galilei	Галілей Галілео
Galley	Галера
Galliformes	Куроподібні
Galliformes	Категорія:Куроподібні
Gallium	Галій
Gamal Abdel Nasser	Насер Гамаль Абдель
Gambling	Азартні ігри
Game	Гра
Game theory	Теорія ігор
Gamma	Гамма (літера)
Gamma ray	Гамма-промені
Ganesha	Ґанеша
Ganges	Ганг
Gansu	Ганьсу
Ganymede	Ганімед
Garden	Сад
Garfield	Гарфілд (персонаж)
Garlic	Часник
Garnet	Гранати
Gas	Газ
Gas constant	Газова стала
Gasoline	Бензин
Gastrointestinal tract	Травна система
Gastropoda	Черевоногі
Gaul	Галлія
Gaza Strip	Сектор Газа
Geb	Ґеб
Geisha	Ґейша
Gemini (constellation)	Близнята (сузір'я)
Gemstone	Дорогоцінне каміння
Gene	Ген
Genealogy	Генеалогія
Genealogy	Категорія:Генеалогія
General Agreement on Tariffs and Trade	Генеральна угода з тарифів і торгівлі
General Officer	Генерал
General relativity	Загальна теорія відносності
Genetic engineering	Генна інженерія
Genetics	Генетика
Genetics	Категорія:Генетика
Geneva	Женева
Genitive case	Родовий відмінок
Genoa	Генуя
Genocide	Геноцид
Genome	Геном
Genotype	Генотип
Genus	Рід (біологія)
Geochemistry	Геохімія
Geodesy	Геодезія
Geodesy	Категорія:Геодезія
Geoffrey Chaucer	Чосер Джефрі
Geography	Географія
Geography	Категорія:Географія
Geography	Портал:Географія
Geology	Категорія:Геологія
Geology	Геологія
Geometric progression	Геометрична прогресія
Geometry	Геометрія
Geometry	Категорія:Геометрія
Geomorphology	Геоморфологія
Geomorphology	Категорія:Геоморфологія
Geophysics	Геофізика
Geophysics	Категорія:Геофізика
Geopolitics	Геополітика
Georg Philipp Telemann	Георг Філіп Телеманн
Georg Wilhelm Friedrich Hegel	Геґель Ґеорґ Вільгельм Фрідріх
George Berkeley	Джордж Берклі
George Bernard Shaw	Шоу Бернард
George Boole	Буль Джордж
George Frideric Handel	Гендель Ґеорґ Фредерік
George Gershwin	Гершвін Джордж
George Harrison	Гаррісон Джордж
George Lucas	Лукас Джордж
George Orwell	Джордж Орвелл
George Stephenson	Стефенсон Джордж
George W. Bush	Буш Джордж Вокер
George Washington	Вашингтон Джордж
Georges Bizet	Бізе Жорж
Georges Clemenceau	Клемансо Жорж
Georgia (U.S. state)	Джорджія
Georgia (country)	Грузія
Georgia (country)	Категорія:Грузія
Gerald Ford	Форд Джеральд
German Shepherd Dog	Німецька вівчарка
German language	Німецька мова
German mark	Німецька марка
Germanium	Германій
Germany	Німеччина
Germany	Категорія:Німеччина
Gestapo	Гестапо
Geyser	Гейзер
Ghana	Гана
Ghana	Категорія:Гана
Ghetto	Гетто
Giacomo Puccini	Пуччіні Джакомо
Giant Panda	Велика панда
Gibraltar	Гібралтар
Gibraltar	Категорія:Гібралтар
Gigabyte	Гігабайт
Gilgamesh	Гільгамеш
Ginger	Імбир садовий
Ginkgo	Гінкго дволопатеве
Giordano Bruno	Джордано Бруно
Giorgio Vasari	Вазарі Джорджо
Giovanni Boccaccio	Бокаччо Джованні
Giraffe	Жирафа
Giraffidae	Жирафові
Girolamo Savonarola	Джироламо Савонарола
Gironde	Жиронда
Giuseppe Garibaldi	Гарібальді Джузеппе
Giuseppe Verdi	Верді Джузеппе
Giza	Гіза
Glacier	Льодовик
Gland	Залоза
Glasgow	Глазго
Glass	Скло
Glasses	Окуляри для корекції вад зору
Global Positioning System	GPS
Global warming	Глобальне потепління
Globalization	Глобалізація
Gloucestershire	Ґлоучестершир
Glucose	Глюкоза
Gluon	Глюон
Glutamic acid	Глутамінова кислота
Glycerol	Гліцерин
Glycine	Гліцин
Glycogen	Глікоген
Gnathostomata	Щелепні
Gneiss	Гнейс
Go (board game)	Го (гра)
Goa	Гоа
Gobi Desert	Гобі
God	Бог
Gold	Золото
Golda Meir	Меїр Голда
Golden Eagle	Беркут
Golden Gate Bridge	Золоті Ворота (міст)
Golden Horde	Золота Орда
Golf	Гольф
Golgi apparatus	Комплекс Ґольджі
Gomel	Гомель
Good Friday	Страсна п'ятниця
Google	Google
Google	Категорія:Google
Googol	Гугол
Gorgon	Горгони
Gorilla	Горила
Goshawk	Яструб-тетерев'ятник
Gospel	Євангеліє
Gospel of Luke	Євангеліє від Луки
Gothenburg	Гетеборг
Gottlieb Daimler	Даймлер Готтліб
Gout	Подагра
Government	Уряд
Gradient	Градієнт
Graffiti	Графіті
Gram	Грам
Grammar	Граматика
Grammar	Категорія:Граматика
Grammatical gender	Рід (мовознавство)
Grand Canyon	Великий Каньйон
Grand Slam (tennis)	Великий шолом
Grandmaster (chess)	Гросмейстер (шахи)
Granite	Граніт
Grape	Виноград
Graphical user interface	Графічний інтерфейс користувача
Graphite	Графіт
Gravitation	Гравітація
Gravitational constant	Гравітаційна стала
Graviton	Гравітон
Gray (unit)	Грей
Gray Wolf	Вовк звичайний
Graz	Грац
Great Barrier Reef	Великий бар'єрний риф
Great Britain	Великобританія (острів)
Great Crested Grebe	Велика пірникоза
Great Depression	Велика депресія
Great Lakes	Великі Озера
Great Wall of China	Великий китайський мур
Greater Antilles	Великі Антильські острови
Greatest common divisor	Найбільший спільний дільник
Greece	Греція
Greece	Категорія:Греція
Greek alphabet	Грецька абетка
Greek alphabet	Категорія:Грецька абетка
Greek fire	Грецький вогонь
Greek mythology	Категорія:Давньогрецька міфологія
Green	Зелений колір
Greenhouse effect	Парниковий ефект
Greenhouse gas	Парниковий газ
Greenland	Ґренландія
Greenland	Категорія:Ґренландія
Greenland Sea	Гренландське море
Greenpeace	Ґрінпіс
Greenwich	Грінвіч
Greenwich Mean Time	GMT
Gregor Mendel	Мендель Ґреґор Йоганн
Gregorian calendar	Григоріанський календар
Grenoble	Гренобль
Grey	Сірий колір
Griffin	Грифові
Griffon Vulture	Сип білоголовий
Gross domestic product	Валовий внутрішній продукт
Group (mathematics)	Група (математика)
Group theory	Теорія груп
Gruiformes	Журавлеподібні
Grus (constellation)	Журавель (сузір'я)
Guadalajara	Гвадалахара (Мексика)
Guadeloupe	Гваделупа
Guam	Гуам
Guanine	Гуанін
Guano	Гуано
Guatemala	Категорія:Гватемала
Guatemala City	Гватемала (місто)
Guayaquil	Ґуаякіль
Guernsey	Гернсі
Guglielmo Marconi	Гульєльмо Марконі
Guild	Цех
Guillaume Apollinaire	Ґійом Аполлінер
Guillotine	Ґільйотина
Guinea	Гвінея
Guinea	Категорія:Гвінея
Guinea-Bissau	Гвінея-Бісау
Guitar	Гітара
Gulag	ГУЛАГ
Gulf Stream	Гольфстрім
Gulf War	Війна в Перській затоці (1990)
Gulf of Aden	Аденська затока
