English	Chinese
Ho Chi Minh City	胡志明市
Hobart	荷巴特
Hobbit	哈比人
Hobby	興趣
Hokusai	葛饰北斋
Holiday	假日
Hollywood	好莱坞
Holmium	钬
Holocene	全新世
Holography	全息摄影
Holy Grail	圣杯
Holy Roman Empire	神圣罗马帝国
Holy Roman Empire	Category:神聖羅馬帝國
Holy Spirit	聖靈
Homeopathy	顺势疗法
Homeostasis	體內平衡
Homer	荷马
Hominidae	人科
Homo (genus)	人属
Homo erectus	直立人
Homo habilis	能人
Homonym	同音词
Homophobia	同性恋恐惧症
Homosexuality	同性戀
Honduras	洪都拉斯
Honduras	Category:宏都拉斯
Honey	蜂蜜
Hong Kong	香港
Hong Kong	Category:香港
Honiara	霍尼亞拉
Honolulu	檀香山
Hookah	水煙
Hooke's law	胡克定律
Hoopoe	戴胜
Horace	贺拉斯
Horatio Nelson	霍雷肖·納爾遜，第一代納爾遜子爵
Horizon	地平線
Hormone	激素
Horn (instrument)	法國號
Horn of Africa	非洲之角
Horoscope	天宫图
Horse	马
Horse racing	賽馬
Horsepower	馬力
Horus	荷鲁斯
Hosni Mubarak	穆巴拉克
Hospital	醫院
Hotel	酒店
Hour	小时
Hourglass	沙漏
House	住宅
House (TV series)	豪斯医生
House Mouse	小家鼠
House Sparrow	家麻雀
Houston	休斯敦
Hovercraft	氣墊船
Howard Carter (archaeologist)	霍華德·卡特
Hubble's law	哈柏定律
Hudson Bay	哈德逊湾
Hudson River	哈德遜河
Hugh Capet	雨果·卡佩
Hugo Grotius	格老秀斯
Huguenot	雨格诺派
Human	人
Humanism	人文主义
Humanities	Category:人文學科
Humerus	肱骨
Humidity	湿度
Hummingbird	蜂鸟
Humor	Category:幽默
Humour	幽默
Humpback Whale	座头鲸
Humphrey Bogart	亨弗莱·鲍嘉
Humus	腐殖质
Hunan	湖南省
Hundred Years' War	百年战争
Hungary	匈牙利
Hungary	Category:匈牙利
Hunger	饥饿
Hunting	狩獵
Hutu	胡图族
Hybrid	雜交種
Hyderabad	海得拉巴 (印度)
Hydra (constellation)	长蛇座
Hydrocarbon	烃
Hydrochloric acid	盐酸
Hydroelectricity	水力發電
Hydrogen	氢
Hydrogen bond	氢键
Hydrogen cyanide	氰化氢
Hydrogen peroxide	双氧水
Hydrology	水文学
Hydrology	Category:水文学
Hydrolysis	水解
Hydrosphere	水圈
Hydroxide	氢氧根
Hydrus	水蛇座
Hyena	鬣狗
Hygiene	Category:卫生
Hymen	處女膜
Hymenoptera	Category:膜翅目
Hymenoptera	膜翅目
Hyperbola	双曲线
Hyperbole	誇飾
Hyperion (moon)	土卫七
Hyperion (mythology)	许珀里翁
Hypertension	高血壓
Hypertext	超文本系統
Hypertext Transfer Protocol	超文本传输协议
Hypnos	許普諾斯
Hypnosis	催眠
Hypothalamus	下丘脑
Hypothesis	假说
I	I
I. M. Pei	贝聿铭
IPod	IPod
Ian Fleming	伊恩·佛萊明
Iapetus (moon)	土卫八
Iapetus (mythology)	伊阿珀托斯
Iberian Peninsula	伊比利亚半岛
Ice	冰
Ice age	冰河時期
Ice cream	冰淇淋
Ice hockey	冰上曲棍球
Ice hockey	Category:冰球
Iceberg	冰山
Iceland	冰岛
Iceland	Category:冰島
Ichthyology	鱼类学
Icon	聖像畫
Idaho	爱达荷州
Idaho	Category:爱达荷州
Ideal gas	理想氣體
Idealism	唯心主義
Identity element	單位元
Identity matrix	單位矩陣
Ideology	意識形態
Ido	伊多语
Igloo	冰屋
Ignatius of Loyola	依納爵·羅耀拉
Igneous rock	岩浆岩
Igor Stravinsky	伊戈尔·斯特拉文斯基
Iguazu Falls	伊瓜苏瀑布
Iliad	伊利亚特
Illinois	伊利诺伊州
Illinois	Category:伊利諾州
Illyria	伊利里亚
Image scanner	影像掃描器
Imam	伊玛目
Immanuel Kant	伊曼努尔·康德
Immune system	免疫系统
Immunology	免疫学
Immunology	Category:免疫学
Imperialism	帝国主义
Impressionism	印象派
Incest	近親性交
Inch	英寸
Incheon	仁川廣域市
Inclined plane	斜面
Independence	独立
India	印度
India	Category:印度
Indian Ocean	印度洋
Indian Ocean	Category:印度洋
Indiana	印第安纳州
Indiana	Category:印第安纳州
Indianapolis	印第安納波利斯
Indira Gandhi	英迪拉·甘地
Indium	铟
Indochina	中南半島
Indonesia	印度尼西亚
Indonesia	Category:印尼
Indra	因陀羅
Inductance	电感
Inductive reasoning	归纳推理
Inductor	电感元件
Indulgence	贖罪券
Indus (constellation)	印第安座
Indus River	印度河
Industrial Revolution	工业革命
Industry	产业
Industry	Category:产业
Inequality	不等
Inertia	惯性原理
Infantry	步兵
Infectious disease	傳染病
Infinitive	动词不定式
Infinity	无穷
Inflammation	炎症
Inflation	通货膨胀
Influenza	流行性感冒
Information	信息
Information technology	信息技术
Information theory	信息论
Infrared	红外线
Infrastructure	基础设施
Ingmar Bergman	英格玛·伯格曼
Ingrid Bergman	英格丽·褒曼
Inner Mongolia	内蒙古自治区
Innovation	創新
Innsbruck	因斯布鲁克
Inorganic chemistry	无机化学
Inorganic chemistry	Category:无机化学
Inquisition	異端裁判所
Insect	昆虫
Insecticide	殺蟲劑
Insectivora	食虫目
Institution	制度
Insulin	胰岛素
Insurance	保險
Integer	整数
Integral	积分
Integrated circuit	集成电路
Intellectual property	知识产权
Intelligence	智力
Intelligence quotient	智商
Intercontinental ballistic missile	洲際彈道飛彈
Interest	利息
Interference	波的干涉
Interlingua	国际语
International Atomic Energy Agency	国际原子能机构
International Civil Aviation Organization	国际民航组织
International Court of Justice	国际法院
International Date Line	国际日期变更线
International Labour Organization	國際勞工組織
International Monetary Fund	国际货币基金组织
International System of Units	国际单位制
International law	Category:国际法
International organization	国际组织
Internet	互联网
Internet	Category:互联网
Internet Explorer	Internet Explorer
Internment	集中营
Interpreter (computing)	直譯器
Intersection (set theory)	交集
Interval (music)	音程
Intestine	腸臟
Intranet	内部网
Invention	发明
Invertebrate	无脊椎动物
Io (moon)	木卫一
Io (mythology)	伊俄
Iodine	碘
Ion	离子
Ionia	愛奧尼亞
Ionian Sea	爱奥尼亚海
Ionic bond	离子键
Ionosphere	电离层
Iota	Ι
Iowa	艾奥瓦州
Iowa	Category:艾奥瓦州
Iran	伊朗
Iran	Category:伊朗
Iran-Iraq War	两伊战争
Iraq	伊拉克
Iraq	Category:伊拉克
Ireland	爱尔兰岛
Ireland	Category:爱尔兰
Irenaeus	爱任纽
Iridium	铱
Iris (anatomy)	虹膜
Iris (mythology)	伊里斯
Irish Republican Army	爱尔兰共和军
Irish Sea	愛爾蘭海
Irish people	Category:愛爾蘭人
Iron	铁
Iron Age	铁器时代
Iron Curtain	铁幕
Iron Maiden	鐵娘子樂團
Irony	反諷
Irrational number	無理數
Irredentism	民族统一主义
Irtysh River	额尔齐斯河
Isaac	以撒
Isaac Asimov	艾萨克·阿西莫夫
Isaac Bashevis Singer	艾薩克·巴甚維斯·辛格
Isaac Newton	艾萨克·牛顿
Isadora Duncan	艾莎道拉·邓肯
Ishmael	伊希梅尔
Isis	艾西斯
Islam	伊斯兰教
Islam	Category:伊斯兰教
Islamabad	伊斯兰堡
Islamic calendar	伊斯兰历
Island	島嶼
Isle of Man	曼島
Isle of Wight	怀特岛郡
Isomer	同分异构体
Isoroku Yamamoto	山本五十六
Isotope	同位素
Israel	以色列
Israel	Category:以色列
Istanbul	伊斯坦堡
Istanbul	Category:伊斯坦堡
Isthmus	地峡
Isthmus of Panama	巴拿馬地峽
Italian Peninsula	意大利半島
Italo Calvino	伊塔罗·卡尔维诺
Italy	意大利
Italy	Category:意大利
Ithaca	伊薩卡島
Ivan Lendl	伊万·伦德尔
Ivan Pavlov	伊万·巴甫洛夫
Ivan Turgenev	伊万·谢尔盖耶维奇·屠格涅夫
Ivory	象牙
Ivy League	常春藤盟校
Iwo Jima	硫磺岛
J	J
J. D. Salinger	杰罗姆·大卫·塞林格
J. M. Barrie	詹姆斯·馬修·巴里
Jack Lemmon	傑克·萊蒙
Jack London	杰克·伦敦
Jack the Ripper	開膛手傑克
Jackson	杰克逊 (密西西比州)
Jackson Pollock	杰克逊·波洛克
Jacksonville	杰克逊维尔 (佛罗里达州)
Jacques Cartier	雅克·卡蒂亚
Jacques Derrida	雅克·德里达
Jacques Offenbach	雅克·奥芬巴赫
Jade	玉
Jaguar	美洲豹
Jainism	耆那教
Jakarta	雅加达
Jalalabad	賈拉拉巴德 (阿富汗)
Jamaica	牙买加
Jamaica	Category:牙買加
James	聖雅各伯
James A. Garfield	詹姆斯·加菲尔德
James Bond	詹姆斯·龐德
James Buchanan	詹姆斯·布坎南
James Clerk Maxwell	詹姆斯·克拉克·麦克斯韦
James Cook	詹姆斯·庫克
James Franck	詹姆斯·夫兰克
James Joyce	詹姆斯·乔伊斯
James K. Polk	詹姆斯·诺克斯·波尔克
James Madison	詹姆斯·麦迪逊
James Monroe	詹姆斯·门罗
James Naismith	詹姆斯·奈史密斯
James Prescott Joule	詹姆斯·焦耳
James Watt	詹姆斯·瓦特
Jammu and Kashmir	查谟-克什米尔邦
Jan Hus	扬·胡斯
Jan van Eyck	扬·凡·埃克
Jane Austen	简·奥斯丁
Jane Fonda	珍·芳達
Jane Seymour	珍·西摩
Janissary	土耳其新軍
January	1月
January 1	1月1日
January 19	1月19日
January 20	1月20日
January 6	1月6日
Janus (moon)	土卫十
Janus (mythology)	雅努斯
Japan	日本
Japan	Category:日本
Jason	伊阿宋
Jaundice	黄疸
Java	爪哇岛
Java (programming language)	Java
Jawaharlal Nehru	贾瓦哈拉尔·尼赫鲁
Jazz	爵士乐
Jean Auguste Dominique Ingres	让·奥古斯特·多米尼克·安格尔
Jean Piaget	讓·皮亞傑
Jean Racine	让·拉辛
Jean Sibelius	让·西贝柳斯
Jean de La Fontaine	让·德·拉封丹
Jean-Jacques Rousseau	让-雅克·卢梭
Jean-Paul Sartre	让-保罗·萨特
Jean-Philippe Rameau	让-菲利普·拉莫
Jeddah	吉达
Jefferson City	杰斐逊城 (密苏里州)
Jefferson Davis	傑佛遜·戴維斯
Jehovah	耶和華
Jehovah's Witnesses	耶和華見證人
Jellyfish	钵水母纲
Jena	耶拿
Jeremy Bentham	杰里米·边沁
Jericho	杰里科
Jerome	耶柔米
Jersey	澤西島
Jerusalem	耶路撒冷
Jesus	耶稣
Jet engine	喷气发动机
Jew	犹太人
Jew's harp	口簧琴
Jihad	圣战
Jimi Hendrix	吉米·亨德里克斯
Jimmy Carter	吉米·卡特
Joan of Arc	聖女貞德
Johann Bernoulli	約翰·白努利
Johann Sebastian Bach	约翰·塞巴斯蒂安·巴赫
Johann Wolfgang von Goethe	歌德
Johannes Brahms	约翰内斯·勃拉姆斯
Johannes Diderik van der Waals	约翰尼斯·迪德里克·范·德·瓦耳斯
Johannes Gutenberg	约翰内斯·古腾堡
Johannes Kepler	约翰内斯·开普勒
Johannes Vilhelm Jensen	约翰内斯·威廉·延森
Johannesburg	约翰内斯堡
John Adams	约翰·亚当斯
John Bardeen	约翰·巴丁
John Cage	約翰·凱吉
John Calvin	约翰·加尔文
John Chrysostom	约翰一世 (君士坦丁堡牧首)
John Dalton	约翰·道尔顿
John Dewey	约翰·杜威
John Galsworthy	约翰·高尔斯华绥
John Herschel	約翰·弗里德里希·威廉·赫歇爾
John Keats	济慈
John Lennon	约翰·列侬
John Locke	约翰·洛克
John Major	约翰·梅杰
John Maynard Keynes	约翰·梅纳德·凯恩斯
John Milton	约翰·弥尔顿
John Napier	約翰·納皮爾
John Quincy Adams	约翰·昆西·亚当斯
John Ruskin	约翰·拉斯金
John Steinbeck	約翰·史坦貝克
John Stuart Mill	约翰·斯图尔特·密尔
John Tyler	约翰·泰勒
John Wayne	約翰·韋恩
John Wycliffe	約翰·威克里夫
John the Baptist	聖若翰洗者
John von Neumann	约翰·冯·诺伊曼
Johnny Cash	强尼·卡什
Joint	关节
Jonathan Swift	乔纳森·斯威夫特
Jordan	约旦
Jordan	Category:约旦
Jordan River	约旦河
Jorge Luis Borges	豪尔赫·路易斯·博尔赫斯
Joseph Conrad	约瑟夫·康拉德
Joseph Goebbels	約瑟夫·戈培爾
Joseph Haydn	弗朗茨·约瑟夫·海顿
Joseph Louis Gay-Lussac	约瑟夫·路易·盖-吕萨克
Joseph McCarthy	约瑟夫·雷芒德·麦卡锡
Joseph Priestley	约瑟夫·普利斯特里
Joseph Pulitzer	約瑟夫·普立茲
Joseph Schumpeter	约瑟夫·熊彼特
Joseph Smith	約瑟·斯密
Joseph Stalin	约瑟夫·斯大林
Josephus	弗拉維奧·約瑟夫斯
Joule	焦耳
Journalism	Category:新聞
Journalism	新闻学
Journalist	記者
Jovian	约维安
Judaism	犹太教
Judaism	Category:犹太教
Judas Iscariot	加略人猶大
Judo	柔道
Jujutsu	柔術
Jules Verne	儒勒·凡尔纳
Julian calendar	儒略曆
Julian the Apostate	尤利安
Julius Caesar	恺撒
July	7月
July 1	7月1日
July 4	7月4日
June	6月
June 14	6月14日
June 21	6月21日
June 23	6月23日
June 24	6月24日
June 29	6月29日
June 3	6月3日
Juneau	朱諾 (阿拉斯加州)
Juniper	刺柏
Juno (mythology)	朱諾 (神話)
Jupiter	木星
Jupiter	Category:木星
Jupiter (mythology)	朱庇特
Jurassic	侏罗纪
Justinian I	查士丁尼一世
Jutland	日德兰半岛
K	K
K2	乔戈里峰
KGB	克格勃
Kaaba	克尔白
Kabbalah	卡巴拉
Kabul	喀布尔
Kalahari Desert	喀拉哈里沙漠
Kamchatka Peninsula	堪察加半島
Kamikaze	神風特別攻擊隊
Kampala	坎帕拉
Kandahar	坎大哈
Kangaroo	袋鼠
Kansas	堪薩斯州
Kansas	Category:堪薩斯州
Kansas City	堪薩斯城 (密蘇里州)
Kappa	Κ
Kara Sea	喀拉海
Karachi	卡拉奇
Karakoram	喀喇昆仑山脉
Karaoke	卡拉OK
Karate	空手道
Karen Blixen	凱倫·白烈森
Karl Barth	卡爾·巴特
Karl Jaspers	卡尔·雅斯佩斯
Karl Marx	卡尔·马克思
Karl Popper	卡尔·波普尔
Karma	業
Karnataka	卡纳塔克邦
Katharine Hepburn	凯瑟琳·赫本
Kathmandu	加德滿都
Katowice	卡托维兹
Kaunas	考那斯
Kayak	皮艇
Kazakhstan	哈萨克斯坦
Kazakhstan	Category:哈萨克斯坦
Kazan	喀山
Kazimir Malevich	卡济米尔·谢韦里诺维奇·马列维奇
Kelvin	热力学温标
Kent	肯特郡
Kentucky	肯塔基州
Kenya	肯尼亚
Kenya	Category:肯亞
Kernel (computer science)	内核
Kerosene	煤油
Ketchup	番茄醬
Ketone	酮
Keyboard (computing)	电脑键盘
Keyboard instrument	鍵盤樂器
Khabarovsk	哈巴罗夫斯克
Khan	可汗
Kharkiv	哈爾科夫
Khartoum	喀土穆
Khmer Rouge	柬埔寨共產黨
Khufu	胡夫
Kibbutz	基布兹
Kidney	腎
Kiev	基輔
Kigali	吉佳利
Kilobyte	Kilobyte
Kilogram	千克
Kilometre	千米
Kilometres per hour	千米每小时
Kimono	和服
Kindergarten	幼稚園
Kinematics	运动学
Kinetic energy	动能
King (chess)	王 (國際象棋)
King Arthur	亚瑟王
King Lear	李爾王
Kingdom (biology)	界 (生物)
Kingston	京斯敦
Kingstown	金斯敦 (圣文森特和格林纳丁斯)
Kinshasa	金夏沙
Kiribati	基里巴斯
Kiribati	Category:基里巴斯
Kirkuk	基爾庫克
Kiss	親吻
Kite	风筝
Kiwi	鷸鴕
Knee	膝
Knesset	以色列國會
Knife	小刀
Knight	骑士
Knight (chess)	馬 (國際象棋)
Knossos	克诺索斯
Knot (speed)	節
Knowledge	知识
Knut Hamsun	克努特·汉姆生
Koala	树熊
Kobe	神户市
Kola Peninsula	科拉半岛
Kolkata	加尔各答
Komodo dragon	科莫多龍
Konqueror	Konqueror
Konrad Adenauer	康拉德·阿登纳
Korea	朝鲜 (称谓)
Korea	Category:朝鲜
Korean War	朝鮮戰爭
Kosovo	科索沃
Kosovo	Category:科索沃
Krakatoa	喀拉喀托火山
Kremlin	克里姆林
Krishna	黑天
Krypton	氪
Ku Klux Klan	三K党
Kuala Lumpur	吉隆坡
Kublai Khan	忽必烈
Kuiper belt	柯伊伯带
Kumquat	金橘
Kunlun Mountains	昆仑山脉
Kuomintang	中國國民黨
Kura River	库拉河
Kurdistan	庫爾德斯坦
Kurdistan Workers Party	库尔德工人党
Kursk	库尔斯克
Kurt Vonnegut	库尔特·冯内古特
Kurt Waldheim	库尔特·瓦尔德海姆
Kuwait	科威特
Kuwait	Category:科威特
Kuwait City	科威特市
KwaZulu-Natal	夸祖魯-納塔爾省
Kyoto	京都市
Kyrgyzstan	吉尔吉斯斯坦
Kyrgyzstan	Category:吉爾吉斯
L	L
L'Aquila	拉奎拉
LAMP (software bundle)	LAMP
La Paz	拉巴斯
La Plata	拉普拉塔
La Spezia	拉斯佩齐亚
LaTeX	LaTeX
Laboratory	實驗室
Labour Party (UK)	工党 (英国)
Labrador Retriever	拉布拉多犬
Lacerta	蝎虎座
Lactic acid	乳酸
Lactose	乳糖
Lady Jane Grey	琴·格蕾
Lagomorpha	兔形目
Lagos	拉哥斯
Lahore	拉合爾
Laissez-faire	自由放任
Lake	湖泊
Lake Baikal	贝加尔湖
Lake Balaton	巴拉顿湖
Lake Chad	乍得湖
Lake Constance	博登湖
Lake Erie	伊利湖
Lake Eyre	艾爾湖
Lake Geneva	日內瓦湖
Lake Huron	休伦湖
Lake Ilmen	伊爾門湖
Lake Ladoga	拉多加湖
Lake Malawi	马拉维湖
Lake Michigan	密歇根湖
Lake Onega	奥涅加湖
Lake Ontario	安大略湖
Lake Superior	苏必利尔湖
Lake Tanganyika	坦干依喀湖
Lake Victoria	維多利亞湖
Lakshmi	吉祥天
Lambda	Λ
Lamiaceae	唇形科
Lammergeier	胡兀鷲
Lamprey	八目鳗
Lancashire	兰开夏郡
Lancelet	文昌鱼
Landfill	垃圾堆填區
Language	语言
Languedoc-Roussillon	朗格多克-鲁西永
Lansing	兰辛 (密歇根州)
Lanthanide	镧系元素
Lanthanum	镧
Laos	老挝
Laos	Category:寮國
Laptev Sea	拉普捷夫海
Laptop	筆記型電腦
Larch	落叶松属
Larva	幼虫
Larynx	喉頭
Las Vegas	拉斯维加斯
Laser	激光
Lathe	車床
Latin	拉丁语
Latin America	拉丁美洲
Latin alphabet	拉丁字母
Latitude	纬度
Latvia	拉脫維亞
Latvia	Category:拉脫維亞
Laughter	笑
Laurasia	劳亚大陆
Lausanne	洛桑
Lava	熔岩
Law	法律
Law	Category:法学
Law enforcement	Category:執法機構
Lawrencium	鐒
Lawyer	律師
Lazio	拉齐奥
Le Corbusier	勒·柯布西耶
Le Havre	勒阿弗尔
Lead	铅
Leaf	葉子
League of Nations	國際聯盟
Leaning Tower of Pisa	比萨斜塔
Leap year	闰年
Learning	学习
Lebanon	黎巴嫩
Lebanon	Category:黎巴嫩
Leda (mythology)	勒达
Lee Harvey Oswald	李·哈維·奧斯瓦爾德
Leeds	利兹
Left-handed	左撇子
Legend	传说
Legislature	立法部門
Lego	乐高积木
Leicester	莱斯特
Leiden	莱顿
Leipzig	萊比錫
Lemon	柠檬
Lemon balm	香蜂草
Lena River	勒拿河
Length	长度
Lens (optics)	透镜
Lent	大齋期
Leo (constellation)	狮子座
Leon Trotsky	列夫·托洛茨基
Leonard Bernstein	伦纳德·伯恩斯坦
Leonardo da Vinci	列奥纳多·达芬奇
Leonhard Euler	萊昂哈德·歐拉
Leonid Brezhnev	列昂尼德·伊里奇·勃列日涅夫
Leopard	豹
Lepidoptera	鱗翅目
Leprosy	麻瘋病
Lepton	輕子
Lepus (constellation)	天兔座
Lesbian	女同性戀
Lesotho	莱索托
Lesotho	Category:莱索托
Lesser Antilles	小安的列斯群岛
Leto	勒托
Letter (alphabet)	字母
Leukemia	白血病
Levant	累范特
Lever	杠杆
Leviathan	利维坦
Leviticus	利未记
Lewis Carroll	路易斯·卡羅
Lexicology	词汇学
Lhasa	拉萨市
Lhotse	洛子峰
Liberalism	自由主义
Liberalism	Category:自由主义
Liberation Tigers of Tamil Eelam	泰米爾-伊拉姆猛虎解放組織
Liberia	利比里亚
Liberia	Category:利比里亚
Libra (constellation)	天秤座
Library	图书馆
Library science	图书情报
Libreville	利伯维尔
Libya	利比亚
Libya	Category:利比亞
Lichen	地衣
Lie	谎言
Liechtenstein	列支敦斯登
Liechtenstein	Category:列支敦斯登
Lieutenant	中尉 (軍階)
Life	生命
Life	Category:生命
Light	光
Light-emitting diode	發光二極管
Light-year	光年
Lighthouse	灯塔
Lightning	闪电
Liguria	利古里亞
Ligurian Sea	利古里亞海
Liliaceae	百合科
Lilith	莉莉斯
Lille	里尔
Lilongwe	利隆圭
Lima	利馬
Limerick	利默里克
Limestone	石灰岩
Limit (mathematics)	极限 (数学)
Limnology	湖沼學
Limousin (region)	利穆赞
Lincoln	林肯 (内布拉斯加州)
Lincolnshire	林肯郡
Line (mathematics)	直线
Linear algebra	线性代数
Linear algebra	Category:線性代數
Linear equation	一次方程
Lingua franca	通用语
Linguistics	语言学
Linguistics	Category:语言学
Linus Pauling	萊納斯·鮑林
Linux	Linux
Linux	Category:Linux
Linz	林茨
Lion	狮
Lipid	脂類
Liqueur	利口酒
Liquid	液体
Liquid crystal display	液晶显示器
Liquorice	甘草
Lisbon	里斯本
Lise Meitner	莉泽·迈特纳
Lisp (programming language)	LISP
Literacy	識字率
Literature	文学
Literature	Category:文学
Lithium	锂
Lithography	平版印刷
Lithosphere	岩石圈
Lithuania	立陶宛
Lithuania	Category:立陶宛
Litre	公升
Liverpool	利物浦
Livonia	利沃尼亚
Livy	蒂托·李维
Lizard	蜥蜴
Ljubljana	卢布尔雅那
Llama	大羊駝
Loanword	外来语
Local area network	局域网
Loch Ness	尼斯湖
Loch Ness Monster	尼斯湖水怪
Locomotive	鐵路機車
Logarithm	对数
Logic	逻辑
Logic	Category:邏輯
Logic gate	邏輯閘
Logistics	物流
Logo	标识
Loire	卢瓦尔省
Loire River	卢瓦尔河
Loki	洛基
Lolita	罗莉塔
Lombardy	伦巴第
London	伦敦
London	Category:倫敦
Long Beach	長灘 (加利福尼亞州)
Long Island	長島 (紐約)
Long jump	跳遠
Long-eared Owl	长耳鸮
Lope de Vega	洛佩·德·维加
Lord's Prayer	主禱文
Lorraine (region)	洛林
Los Angeles	洛杉矶
Lot (department)	洛特省
Loudspeaker	揚聲器
Louis Armstrong	路易斯·阿姆斯特朗
Louis Braille	路易斯·布莱叶
Louis Pasteur	路易·巴斯德
Louis the Pious	路易一世 (虔诚者)
Louis the Stammerer	路易二世 (西法兰克)
Louisiana	路易斯安那州
Louisiana	Category:路易斯安那州
Louisville	路易斯維爾 (肯塔基州)
Louvre	卢浮宫
Love	愛
Low German	低地德语
Lower Saxony	下萨克森
Luanda	罗安达
Lublin	卢布林
Lucerne	卢塞恩
Luciano Pavarotti	卢奇亚诺·帕瓦罗蒂
Lucifer	路西法
Lucretius	卢克莱修
Lucrezia Borgia	魯克蕾齊亞·波吉亞
Ludwig Boltzmann	路德維希·玻耳茲曼
Ludwig Mies van der Rohe	密斯·凡·德羅
Ludwig Wittgenstein	路德维希·维特根斯坦
Ludwig van Beethoven	路德维希·范·贝多芬
Luigi Galvani	路易吉·伽伐尼
Luigi Pirandello	路伊吉·皮兰德娄
Lumen (unit)	流明
Luminescence	发光
Lunar eclipse	月食
Lund	隆德
Lung	肺
Lung cancer	肺癌
Lungfish	肺鱼类
Lupus (constellation)	豺狼座
Lusaka	路沙卡
Lusitania	琉息太尼亞
Lute	魯特琴
Lutetium	镥
Lutheranism	信義宗
Lux	勒克斯
Luxembourg	卢森堡
Luxembourg	Category:卢森堡
Luxembourg (city)	盧森堡市
Luxor	樂蜀
Luzon	呂宋
Lychee	荔枝
Lydia	呂底亞
Lymphatic system	淋巴系統
Lynx (constellation)	天猫座
Lynx (web browser)	Lynx
Lyon	里昂
Lyra	天琴座
Lysergic acid diethylamide	LSD
Lysine	赖氨酸
Lysosome	溶體
M	M
M-theory	M理论
MESSENGER	信使號
MIME	MIME
MS-DOS	MS-DOS
Macau	澳門
Macbeth	馬克白
Macedon	馬其頓王國
Macedonia	馬其頓 (消歧義)
Macedonia (Greece)	马其顿 (希腊)
Mach number	马赫
Machine	機械
Machine code	机器语言
Machine gun	机枪
Machine translation	机器翻译
Machu Picchu	马丘比丘
Macintosh	麦金塔电脑
Macroeconomics	宏觀經濟學
Macroeconomics	Category:宏观经济学
Madagascar	马达加斯加
Madagascar	Category:馬達加斯加
Madeira	馬德拉自治區
Madison	麦迪逊 (威斯康星州)
Madonna (entertainer)	麥當娜
Madrid	马德里
Madrid (autonomous community)	马德里自治区
Mafia	黑手党
Magazine	杂志
Magenta	品紅色
Maghreb	馬格里布
Magic (paranormal)	巫術
Magic square	幻方
Maginot Line	马奇诺防线
Magma	岩漿
Magna Carta	大憲章
Magnesium	镁
Magnet	磁鐵
Magnetic field	磁場
Magnetic resonance imaging	核磁共振成像
Magnetism	磁
Magnetism	Category:磁学
Magnetite	磁鐵礦
Magnifying glass	放大鏡
Magnoliopsida	Category:双子叶植物纲
Maharashtra	马哈拉施特拉邦
Mahatma Gandhi	圣雄甘地
Mahayana	大乘佛教
Mail	郵件
Maimonides	邁蒙尼德
Main	美因河
Main	Template:Main
Maine	缅因州
Maine	Category:缅因州
Mainframe computer	大型计算机
Maitreya	彌勒菩薩
Maize	玉米
Major	少校
Major scale	大調
Majorca	馬略卡
Makalu	马卡鲁峰
Malabo	馬拉博
Malachite	碱式碳酸铜
Malacostraca	软甲纲
Malaria	疟疾
Malawi	Category:马拉维
Malay Peninsula	马来半岛
Malayan Tapir	馬來貘
Malaysia	马来西亚
Malaysia	Category:马来西亚
Malcolm X	麥爾坎X
Maldives	马尔代夫
Maldives	Category:馬爾地夫
Mali	马里共和国
Mali	Category:馬利
Mallard	绿头鸭
Malta	马耳他
Malta	Category:馬爾他
Maltese language	马耳他语
Maltose	麥芽糖
Malvaceae	锦葵科
Mammal	哺乳动物
Mammoth	猛犸象
Management	管理学
Managua	馬納瓜
Manama	麦纳麦
Manatee	海牛
Manchester	曼彻斯特
Manchuria	满洲
Mandala	曼荼羅
Mandarin (linguistics)	官话
Mandarin orange	瓯柑
Mandelbrot set	曼德勃羅集合
Manganese	锰
Mango	芒果
Mangrove	红树林
Manhattan	曼哈頓
Manhattan Project	曼哈顿计划
Manichaeism	摩尼教
Manila	马尼拉
Manipur	曼尼普尔邦
Manitoba	緬尼托巴
Mannerism	風格主義
Mannheim	曼海姆
Mantle (geology)	地幔
Mantua	曼切華
Manuel de Falla	曼努埃尔·德·法利亚
Manuscript	手抄本
Mao Zedong	毛泽东
Maoism	毛泽东思想
Map	地图
Maple	枫
Maputo	马普托
Marathon	馬拉松
Marble	大理岩
Marc Chagall	馬克·夏卡爾
Marcel Duchamp	馬塞爾·杜象
Marcel Marceau	馬歇·馬叟
Marcel Proust	馬塞爾·普魯斯特
March	3月
March 17	3月17日
March 19	3月19日
March 2	3月2日
March 25	3月25日
Marche	马尔凯
Marco Polo	马可·波罗
Marcus Aurelius	馬爾庫斯·奧列里烏斯
Marcus Junius Brutus	马尔库斯·尤尼乌斯·布鲁图
Marcus Vipsanius Agrippa	瑪爾庫斯·維普撒尼烏斯·阿格里帕
Margaret Mead	瑪格麗特·米德
Margaret Mitchell	玛格丽特·米切尔
Margaret Thatcher	玛格利特·撒切尔
Maria Callas	瑪麗亞·卡拉絲
Mariana Islands	马里亚纳群岛
Marie Antoinette	玛丽·安托瓦内特
Marie Curie	玛丽亚·居里
Mariehamn	玛丽港
Marilyn Monroe	玛丽莲·梦露
Mario Vargas Llosa	马里奥·巴尔加斯·略萨
Mark Antony	马克·安东尼
Mark Twain	马克·吐温
Market	市場
Marketing	市场营销学
