English	Latin
Daedalus	Daedalus
Dakar	Dakar
Dalai Lama	Dalai Lama
Dallas	Dallasium
Dam	Moles (agger)
Damascus	Damascus
Dance	Saltatio
Daniel Defoe	Daniel Defoe
Dante Alighieri	Dantes Alagherius
Danube	Danubius
Dark matter	Materia nigra
Darmstadtium	Darmstadtium
Darwin	Darwin (discretiva)
Dative case	Dativus
David	David (Rex)
David Hume	David Humius
Day	Dies
Days	Categoria:Dies
Deacon	Diaconus
Dead Sea	Mare Mortuum
Deadly nightshade	Solanum
Death	Mors
Decade	Decennium
December	December
December 31	31 Decembris
December 8	8 Decembris
Decius (emperor)	Decius
Declination	Declinatio (astronomia)
Deer	Cervidae
Deimos (moon)	Dimos (satelles)
Delaware	Delevaria
Delft	Delphi (urbs Bataviae)
Delphi	Delphi (urbs Graeciae)
Delphinus	Delphinus (sidus)
Delta (letter)	Delta
Demeter	Demeter
Democracy	Democratia
Democratic Party (United States)	Factio Democratica (CFA)
Democratic Republic of the Congo	Respublica Popularis Congensis
Democritus	Democritus
Demon	Daemon
Demosthenes	Demosthenes
Denis Diderot	Dionysius Diderot
Denmark	Dania
Denmark	Categoria:Dania
Density	Densitas et Spissitudo
Denver	Denverium (Coloratum)
Dermatology	Dermatologia
Desert	Deserta
Desiderius Erasmus	Desiderius Erasmus Roterodamus
Detroit	Detroitum
Deuteronomy	Deuteronomium
Devon	Devonia
Devonian	Aevum Devonianum
Dhaka	Dacca
Dialect	Dialectos
Dialectic	Dialectica
Diamond	Adamas
Diana	Diana Francisca Spencer
Diana (mythology)	Diana
Diarrhea	Alvei profluvium
Dice	Alea
Dictatorship	Dictatura
Dictionary	Lexicon
Dietrich Bonhoeffer	Theodoricus Bonhoeffer
Digestive system	Categoria:Apparatus digestorius
Dijon	Divio
Dill	Anethum
Dinosaur	Dinosauria
Diocese	Episcopatus
Diocletian	Diocletianus
Diode	Diodus
Diphtheria	Diphtheria
Disaccharide	Disaccharides
Disambiguation	Categoria:Discretiva
Disc jockey	Discimpositor
Disease	Morbus
Djibouti	Categoria:Dzibutum
Djibouti (city)	Urbs Dzibutum
Dmitri Mendeleev	Demetrius Mendeleev
Dmitri Shostakovich	Demetrius Sostakovic
Dnieper River	Danapris
Doctor of the Church	Doctor Ecclesiae
Dodecanese	Dodecanesus
Dodoma	Dodoma
Dog	Canis
Dogma	Dogma
Dolphin	Delphinus
Dome	Cupola
Domesday Book	Liber de Wintonia
Dominican Order	Dominicani
Dominican Republic	Respublica Dominicana
Dominican Republic	Categoria:Respublica Dominicana
Domitian	Domitianus
Don River (Russia)	Tanais
Donald Duck	Donaldus Anas
Donatello	Donatellus Florentinus
Donkey	Asinus
Door	Ianua
Dorado	Dorado (sidus)
Doris Lessing	Dorothea Lessing
Dortmund	Tremonia
Douglas MacArthur	Douglas MacArthur
Dover	Dubris
Draco (constellation)	Draco (sidus)
Dragon	Draco
Draughts	Damicus ludus
Dresden	Dresda
Drink	Potio
Dromedary	Camelus dromedarius
Drought	Aritudo
Dublin	Eblana
Dubnium	Dubnium
Dubrovnik	Ragusa
Duck	Anas (avis)
Dugong	Dugon
Duke University	Universitas Dukiana
Dunkirk	Dunquerca
Duodenum	Duodenum
Durban	Durbanum
Dustin Hoffman	Dustin Hoffman
Dwight D. Eisenhower	Dwight D. Eisenhower
Dysprosium	Dysprosium
E	E
E (mathematical constant)	Numerus Euleri
ETA	Euskadi Ta Askatasuna
Eagle	Aquila
Ear	Auris
Earth	Tellus (planeta)
Earth	Categoria:Terra
Earthquake	Terrae motus
East Germany	Res publica Democratica Germanica
East Timor	Timoria Orientalis
Easter	Pascha (festum Christianum)
Eastern Orthodox Church	Ecclesiae Orthodoxae
Ebola	Ebola febris haemorrhagica
Ebro	Hiberus
Eccentricity (mathematics)	Eccentricitas
Ecclesiastes	Liber Ecclesiastes
Echidna (mythology)	Echidna
Eclipse	Defectio solis
Ecology	Oecologia
Economics	Oeconomia
Economics	Categoria:Oeconomia
Ecuador	Aequatoria
Ecuador	Categoria:Aequatoria
Ecumenical council	Oecumenicum Concilium
Edgar Allan Poe	Edgarus Allan Poe
Edinburgh	Edimburgum
Edirne	Hadrianopolis
Edmond Halley	Edmundus Halley
Edmonton	Edmundopolis
Edmund Burke	Edmundus Burke
Edmund Hillary	Edmundus Hillary
Edmund Husserl	Edmundus Husserl
Edvard Grieg	Eduardus Grieg
Edvard Munch	Eduardus Munch
Edward Gibbon	Eduardus Gibbon
Edward Jenner	Eduardus Iennerus
Edward the Confessor	Eduardus Confessor (rex Anglorum)
Eel	Anguilliformes
Egg (biology)	Ovum
Eggplant	Melongena
Egypt	Aegyptus
Egypt	Categoria:Aegyptus
Eiffel Tower	Turris Eiffelia
Einsteinium	Einsteinium
El Cid	Rodericus Didaci
El Greco	El Greco
El Paso	Passus, Texiae
El Salvador	Salvatoria
Elbe	Albis
Electric charge	Onus electricum
Electric current	Fluxio electrica
Electric guitar	Cithara electrica
Electrochemistry	Electrochemia
Electromagnetism	Physica electromagnetica
Electron	Electron
Electronics	Electronica
Electronics	Categoria:Electronica
Elegy	Poësis elegiaca
Element	Elementum (discretiva)
Elephant	Elephantidae
Elevator	Teleferica
Elf	Alfus
Elias Canetti	Elias Canetti
Elizabeth Taylor	Elizabeth Rosamunda Taylor
Elm	Ulmus
Elvis Presley	Elvis Presley
Emerald	Smaragdus (lapis)
Emilia-Romagna	Aemilia et Romania
Emir	Amiralis
Emma Goldman	Emma Goldman
Emotion	Motus animi
Empedocles	Empedocles
Emperor	Imperator
Empire State Building	Aedificium Civitatis Imperialis
Encyclopedia	Encyclopaedia
Energy	Energia
Energy (society)	Energia
England	Anglia
England	Categoria:Anglia
English Channel	Oceanus Britannicus
English Civil War	Bellum Civile Anglicum
English language	Lingua Anglica
Enrico Caruso	Henricus Caruso
Enrico Fermi	Henricus Fermi
Entomology	Entomologia
Enzyme	Enzymum
Eos	Eos
Ephesus	Ephesus
Epic poetry	Poesis epica
Epictetus	Epictetus
Epicurus	Epicurus
Epidemic	Epidemia
Epigraphy	Epigraphia
Epinephrine	Adrenalinum
Epiphany (Christian)	Sollemnitas Epiphaniae Domini
Epirus (periphery)	Epirus
Epistemology	Epistemologia
Epistle to the Galatians	Epistula ad Galatas
Epistle to the Romans	Epistula ad Romanos
Epsilon	Epsilon
Equation	Aequatio
Equator	Linea aequatorialis
Equatorial Guinea	Guinea Aequatorensis
Equidae	Equidae
Erato	Erato
Erbium	Erbium
Erectile dysfunction	Impotentia erecti
Ericaceae	Ericaceae
Ericales	Ericales
Eridanus (constellation)	Eridanus (sidus)
Erik Satie	Ericus Satie
Eris (dwarf planet)	Eris (planetula)
Eris (mythology)	Eris
Eritrea	Categoria:Erythraea
Ernest Rutherford	Ernestus Rutherford
Erwin Rommel	Ervinus Rommel
Esfahan	Aspadana
Esophagus	Oesophagus
Esperanto	Esperanto
Espoo	Espo
Essen	Assindia
Ester	Ester
Estonia	Categoria:Estonia
Eta (letter)	Eta (littera)
Ethane	Ethanum
Ethanol	Ethanol
Ether	Aether (chemica)
Ethics	Ethica
Ethiopia	Aethiopia
Ethiopia	Categoria:Aethiopia
Ethnology	Categoria:Ethnologia
Ethylene	Ethenum
Etymology	Etymologia
Eucalyptus	Eucalyptus
Eucharist	Eucharistia
Euclid	Euclides
Eukaryote	Eucaryota
Euphrates	Euphrates
Eurasia	Eurasia
Euripides	Euripides
Euro	Euro
Europa (moon)	Europa (satelles)
Europe	Europa
Europe	Categoria:Europa
European Central Bank	Argentaria Europaea centralis
European Magpie	Pica
European Union	Unio Europaea
European Union	Categoria:Unio Europaea
Europium	Europium
Eusebius of Caesarea	Eusebius Pamphili
Euterpe	Euterpe
Eva Braun	Eva Braun
Evangelista Torricelli	Evangelista Torricellius
Even-toed ungulate	Artiodactyla
Evolution	Evolutio
Excalibur	Caliburnus
Existentialism	Exsistentialista
Exodus	Liber Exodus
Exponentiation	Potentia (mathematica)
Eye	Oculus
F	F
Fabaceae	Fabaceae
Face	Vultus
Fado	Fatum (musica)
Fagales	Fagales
Falcon	Falco
Falconiformes	Falconiformes
Falkland Islands	Insulae Malvinae
Family	Categoria:Familia
Family (biology)	Familia (Taxon)
Fascism	Fascismus
Fascism	Categoria:Fascismus
Fashion	Categoria:Mos vestis
February	Februarius
February 12	12 Februarii
February 14	14 Februarii
February 2	2 Februarii
February 22	22 Februarii
February 29	29 Februarii
Feces	Faeces
Federal Reserve System	Systema aerarium foederale
Federico Fellini	Fridericus Fellini
Felidae	Felidae
Felix Mendelssohn	Felix Mendelssohn-Bartholdy
Ferdinand II	Ferdinandus II
Ferdinand Magellan	Ferdinandus Magellanus
Ferdinand de Saussure	Ferdinandus de Saussure
Fermion	Fermion
Fermium	Fermium
Ferrara	Ferraria
Fever	Febris
Fiat	Fiat
Fidel Castro	Fidelis Castro
Figure skating	Patinaticum
Fiji	Viti
Filippo Brunelleschi	Philippus Brunelleschi
Film	Categoria:Cinematographia
Film	Pellicula
Film director	Moderator cinematographicus
Finger	Digitus
Finland	Finnia
Finland	Categoria:Finnia
Fir	Abies
Fire	Ignis
Firearm	Sclopetum
First Council of Constantinople	Concilium Constantinopolitanum Primum
First Council of Nicaea	Concilium Nicaenum Primum
First Crusade	Prima Cruciata
First Epistle to the Corinthians	Epistula I ad Corinthios
Fish	Piscis
Fish	Categoria:Pisces
Flamenco	Flamencum
Flanders	Flandria
Flatworm	Platyhelminthes
Flemish (linguistics)	Lingua Flandrica
Flint	Silex
Flood	Inundatio
Florence	Florentia
Florence Nightingale	Florentia Nightingale
Florida	Florida
Florida	Categoria:Florida
Flower	Flos
Flowering plant	Magnoliophyta
Fly	Diptera
Fog	Nebula (meteorologia)
Food	Alimentum
Food and Agriculture Organization	Organizatio Alimentaria et Agriculturalis
Foot	Pes
Football (soccer)	Pediludium
Football (soccer) clubs	Categoria:Societates pediludii
Football (soccer) players	Categoria:Pedilusores
Force	Vis
Forest	Silva
Formaldehyde	Methanal
Formic acid	Acidum formicum
Fornax	Fornax (sidus)
Fort Worth	Arx Vorthensis
Fossil	Fossilia
France	Francia
France	Categoria:Francia
Francis Bacon	Franciscus Baco
Francis Drake	Franciscus Drakus
Francis Ford Coppola	Franciscus Ford Coppola
Francis II	Franciscus II
Francis Poulenc	Franciscus Poulenc
Francis of Assisi	Sanctus Franciscus Assisiensis
Franciscan	Ordo Fratrum Minorum
Francisco Franco	Franciscus Franco
Francisco Goya	Franciscus Goya
Francium	Francium
Frank Sinatra	Franciscus Sinatra
Frankfurt	Francofurtum ad Moenum
Frankfurt	Categoria:Francofurtum ad Moenum
Frankfurt (disambiguation)	Francofurtum
Franklin Pierce	Franklinus Pierce
Franz Kafka	Franciscus Kafka
Franz Liszt	Franciscus Liszt
Franz Schubert	Franciscus Petrus Schubert
Frederick I	Fridericus I Barbarossa
Frederick II	Fridericus II
Fredericton	Fredericopolis
Free State	Civitas Libera
Free will	Liberum arbitrium
Freedom (philosophy)	Libertas
Freetown	Freetown
French Polynesia	Polynesia Francogallica
French Revolution	Res Novae Francicae
French Revolution	Categoria:Rerum Francicarum eversio
Frequency	Frequentia
Fresno	Fraxinus
Friday	Dies Veneris
Friedrich Engels	Fridericus Engels
Friesland	Frisia (provincia)
Friuli-Venezia Giulia	Forum Iulii et Venetia Iulia
Frog	Rana
Fructose	Fructosium
Fruit	Fructus
Fugue	Fuga
Fukuoka	Fucuoca
Fundamental	Categoria:Omnia
Fundamentalism	Fundamentalismus
Fungi	Categoria:Fungi
Fungus	Fungi
Fyodor Dostoevsky	Theodorus Dostoevskij
G	G
Gabon	Gabonia
Gaborone	Gaborone
Gadolinium	Gadolinium
Gaetano Donizetti	Caietanus Donizetti
Galatia	Galatia
Galaxy	Galaxias
Galen	Claudius Galenus
Galicia (Central Europe)	Galicia
Galicia (Spain)	Gallaecia
Galilee	Galileia
Galileo Galilei	Galilaeus Galilaei
Gallbladder	Vesica biliaris
Galliformes	Galliformes
Galliformes	Categoria:Galliformes
Gallium	Gallium
Galway	Galvia
Game	Ludus
Gamma	Gamma
Ganesha	Ganesa
Ganymede (moon)	Ganymedes (satelles)
Gap	Vapincum
Garden	Hortus
Garlic	Allium
Garonne	Garumna
Gas	Gasium
Gas giant	Gigas gasosus
Gastrointestinal tract	Apparatus digestorius
Gastropoda	Gastropoda
Gaul	Gallia
Gautama Buddha	Gautama Buddha
Gaza	Gaza
Gaza Strip	Lacinia Gazetica
Gemini (constellation)	Gemini (sidus)
Gemstone	Gemma (lapis)
General relativity	Relativitas generalis
Genesis	Liber Genesis
Genetics	Genetica
Genetics	Categoria:Genetica
Geneva	Genava (urbs)
Genitive case	Casus genetivus
Genoa	Genua
Geoffrey Chaucer	Galfridus Chaucer
Geography	Geographia
Geography	Categoria:Geographia
Geology	Categoria:Geologia
Geology	Geologia
Geometry	Geometria
Geopolitics	Geographia politica
Georg Philipp Telemann	Georgius Philippus Telemann
Georg Wilhelm Friedrich Hegel	Georgius Wilhelmus Fridericus Hegel
George Berkeley	Georgius Berkeley
George Bernard Shaw	Georgius Bernardus Shavius
George Bush	Georgius Bush
George Frideric Handel	Georgius Fridericus Handel
George Orwell	Georgius Orwell
George W. Bush	Georgius W. Bush
George Washington	Georgius Washingtonius
Georges Bizet	Georgius Bizet
Georges Clemenceau	Georgius Clemenceau
Georges Simenon	Georgius Simenon
Georgetown	Georgiopolis
Georgia (U.S. state)	Georgia (CFA)
Georgia (country)	Georgia
Georgia (country)	Categoria:Georgia
Gerald Ford	Giraldus Ford
German language	Lingua Theodisca
Germanium	Germanium
Germany	Germania
Germany	Categoria:Germania
Ghana	Gana
Ghana	Categoria:Gana
Ghent	Gandavum
Ghost	Larva
Giacomo Puccini	Iacobus Puccini
Giant Panda	Panda maior
Gibraltar	Calpe
Gilgamesh	Gilgamus
Ginkgo	Ginkgo
Giordano Bruno	Iordanus Brunus
Giorgio Vasari	Georgius Vasari
Giovanni Boccaccio	Iohannes Boccacius
Giraffe	Giraffa
Girolamo Savonarola	Hieronymus Savonarola
Gironde	Girundia (praefectura Franciae)
Giuseppe Garibaldi	Iosephus Garibaldi
Giuseppe Verdi	Iosephus Verdi
Gladiator	Gladiator
Gland	Glandula
Glasgow	Glasgovia
Glasnost	Glasnost
Glass	Vitrum
Global Positioning System	GPS (Systema localizationis globale)
Glucagon	Glucagon
Glucose	Glucosium
Gluon	Gluon
Gnathostomata	Gnathostomata
Go (board game)	Igo
Goat	Capra
God	Deus
Golan Heights	Golan
Gold	Aurum
Golden Eagle	Aquila chrysaetos
Golden Retriever	Avifer aureus
Gomel	Homel
Good Friday	Dies Passionis Domini
Google	Google
Gospel	Evangelium
Gospel of Luke	Evangelium secundum Lucam
Gothenburg	Gothoburgum
Gothic architecture	Architectura gothica
Gotthold Ephraim Lessing	Gotthold Ephraim Lessing
Grace Kelly	Gratia Patricia (principissa Monoecensis)
Grammar	Ars grammatica
Grammar	Categoria:Ars grammatica
Grammatical gender	Genus verborum
Granada	Granata
Grape	Uva
Grapefruit	Citrus paradisi
Graphite	Graphitum
Gravitation	Gravitas (physica)
Graviton	Graviton
Gray Wolf	Lupus
Graz	Graecia (urbs)
Great Britain	Britannia Maior
Great Depression	Depressio oeconomica magna
Great Lakes	Lacus Magni
Great Wall of China	Murus Sinicus
Great white shark	Carcharodon carcharias
Greater Antilles	Antillae Magnae
Greece	Graecia
Greece	Categoria:Graecia
Greek alphabet	Abecedarium Graecum
Greek fire	Ignis Graecus
Greek mythology	Mythologia Graeca
Greek mythology	Categoria:Mythologia Graeca
Green	Viridis
Greenland	Groenlandia
Greenwich	Grenovicum
Gregor Mendel	Gregorius Mendel
Gregorian calendar	Calendarium Gregorianum
Grenoble	Gratianopolis
Greta Garbo	Greta Garbo
Grey	Canus
Griffin	Gryps
Griffon Vulture	Gyps fulvus
Gross domestic product	Productus domesticus grossus
Grover Cleveland	Grover Cleveland
Grus (constellation)	Grus (sidus)
Guadalajara	Guadalaxara
Guadeloupe	Guadalupa
Guam	Guama
Guatemala	Categoria:Guatemala
Guglielmo Marconi	Gulielmus Marconi
Guinea	Guinea
Guinea-Bissau	Guinea Bissaviensis
Guitar	Cithara Hispanica
Gulf War	Bellum Sinus Persici Alterum
Gulf of Bothnia	Sinus Bothnicus
Gulf of Mexico	Sinus Mexicanus
Gustav Klimt	Gustavus Klimt
Gustav Mahler	Gustavus Mahler
Guy Fawkes	Guido Fawkes
Guy de Maupassant	Guido de Maupassant
Gynaecology	Gynaecologia et Obstetricia
Gypsum	Gypsum
Gyroscope	Gyroscopium
H	H
Hadean	Aeon Hadaicus
Hadith	Hadit
Hadrian	Hadrianus (imperator)
Hadron	Hadron
Hafnium	Hafnium
Hagia Sophia	Sancta Sophia
Haiku	Haicu
Hail	Grando
Hail Mary	Ave Maria
Hair	Pilus
Haiti	Haitia
Haiti	Categoria:Haitia
Halberd	Halebarda
Halle	Salinae Saxonicae
Halloween	Pervigilium Omnium Sanctorum
Halogen	Halogenica
Hamas	Hamas
Hamburg	Hamburgum
Hamlet	Amletus, Princeps Daniae
Hammer	Malleus (instrumentum)
Hammurabi	Hammurabi
Hampshire	Hantonia
Hamster	Cricetus
Hand	Manus
Hannibal	Hannibal
Hanoi	Hanoi
Hanover	Hannovera
Hans Christian Andersen	Iohannes Christianus Andersen
Hanseatic League	Hansa
Hanukkah	Encaenia
Harare	Hararensis Urbs
Harpsichord	Clavicymbalum
Harrisburg	Harrisburgum
Harry Houdini	Henricus Houdini
Hassium	Hassium
Haute-Normandie	Normannia Superior
Havana	Havana
Hawaii	Havaii (civitas)
Hazel	Corylus
Head	Caput
Health	Salus
Heart	Cor
Heaven	Caelum
Heavy metal music	Metal (musica)
Hebrew calendar	Calendarium Hebraicum
Hector	Hector
Hector Berlioz	Hector Berlioz
Heinrich Himmler	Henricus Himmler
Heinrich Schliemann	Henricus Schliemann
Helen	Helena
Helen Keller	Helena Keller
Helena	Helenopolis (Montana)
Helicopter	Helicopterum
Helios	Helius
Helium	Helium
Hell	Infernus
Helmut Schmidt	Helimutus Schmidt
Helsinki	Helsinkium
Hematology	Haematologia
Henri Bergson	Henricus Bergson
Henri Matisse	Henricus Matisse
Henrik Ibsen	Henricus Ibsen
Henry David Thoreau	Henricus David Thoreau
Henry Fonda	Henricus Fonda
Henry Ford	Henricus Ford
Henry Kissinger	Henricus Kissinger
Henry Purcell	Henricus Purcell
Hepatitis	Hepatitis
Hephaestus	Hephaestus
Hera	Hera
Heracles	Hercules
Heraclitus	Heraclitus
Herbert Hoover	Herbertus Hoover
Hercules (constellation)	Hercules (sidus)
Heresy	Haeresis
Hermes	Hermes
Hero of Alexandria	Heron Alexandrinus
Herodotus	Herodotus
Heron	Ardea (avis)
Hertfordshire	Comitatus Hertfordiensis
Hesiod	Hesiodus
Hesse	Hassia
Hesse	Categoria:Hassia
Hestia	Hestia
Hezbollah	Hizbullah
Himalayas	Himalaia
Hinduism	Hinduismus
Hinduism	Categoria:Induismus
Hippocrates	Hippocrates
Hippopotamus	Hippopotamus
Hirohito	Hirohitus
Hiroshima	Hirosima
Hispaniola	Hispaniola
History	Historia
History	Categoria:Historia
Hobart	Hobart
Hobbit	Hobbit (gens ficticia)
Hollywood	Ruscisilva
Holmium	Holmium
Holy Roman Empire	Imperium Romanum Sacrum
Holy Spirit	Spiritus Sanctus
Homer	Homerus
Hominidae	Hominidae
Homo (genus)	Homo (genus)
Homo erectus	Homo erectus
Homo habilis	Homo habilis
Homosexuality	Homophylophilia
Honduras	Honduria
Honduras	Categoria:Honduria
Honey	Mel
Hong Kong	Hongcongum
Honolulu	Honolulu
Horace	Quintus Horatius Flaccus
Hormone	Hormon
Horse	Equus
Horus	Horus
Hospital	Valetudinarium
Hotel	Deversorium
Hour	Hora
House	Domus
House (TV series)	Domus medicinae doctor
House Mouse	Mus
House Sparrow	Passer domesticus
Houston	Hustonia (Texia)
Hudson River	Hudsonicum
Hugh Capet	Hugo Capetius
Hugo Grotius	Hugo Grotius
Huguenot	Huguenoti
Human	Homo sapiens
Humanism	Humanismus
Humanities	Categoria:Scientia humana
Humerus	Humerus
Hundred Years' War	Bellum Centum Annorum
Hungary	Hungaria
Hungary	Categoria:Hungaria
Hunger	Fames
Hydra (constellation)	Hydra (sidus)
Hydrogen	Hydrogenium
Hydrogen peroxide	Hydrogenium peroxydatum
Hydroxide	Hydroxidum
Hydrus	Hydrus (sidus)
Hymenoptera	Hymenoptera
Hymn	Hymnus
Hyperion (moon)	Hyperion (satelles)
Hypertext	Hypertextus
Hypothalamus	Hypothalamus
I	I
Iapetus (moon)	Iapetus (satelles)
Iberian Peninsula	Iberia
Ice	Glacies
Iceland	Islandia
Iceland	Categoria:Islandia
Ichthyology	Ichthyologia
Idaho	Idahum
Ideology	Ideologia
Ido	Ido
Igloo	Iglu
Ignatius of Loyola	Ignatius de Loyola
Igor Stravinsky	Igor Stravinski
Iliad	Ilias
Illinois	Illinoesia
Immanuel Kant	Immanuel Kantius
Inch	Uncia
India	India
India	Categoria:India
Indian Ocean	Oceanus Indicus
Indiana	Indiana
Indiana	Categoria:Indiana
Indianapolis	Indianapolis
Indium	Indium
Indochina	Paeninsula Indosinensis
Indonesia	Indonesia
Indulgence	Indulgentia
Indus (constellation)	Indus (sidus)
Indus River	Indus (fluvius)
Inertia	Inertia
Infinitive	Infinitivus (grammatica)
Infinity	Infinitas
Inflammation	Inflammatio
Ingmar Bergman	Ingmar Bergman
Innsbruck	Pons Aeni
Inorganic chemistry	Chemia Inorganica
Insect	Insecta
Insulin	Insulinum
Integer	Numerus integer
Interjection	Interiectio
Interlingua	Interlingua
International Date Line	Linea commutationis diei
International Monetary Fund	Aerarium Monetarium Internationale
International System of Units	Systema Internationale
Internet	Interrete
Internment	Castra ad captivos concludendos posita
Intestine	Intestinum
Invention	Inventum
Invertebrate	Invertebrata
Io (moon)	Io (satelles)
Iodine	Iodium
Ion	Ion
Ionia	Ionia
Ionian Sea	Ionium mare
Iota	Iota
Iowa	Iova
Iran	Irania
Iran	Categoria:Irania
Iran-Iraq War	Bellum Sinus Persici Primum
Iraq	Iraquia
Iraq	Categoria:Iraquia
Iridium	Iridium
Iron	Ferrum
Iron Maiden	Iron Maiden
Irrational number	Numerus irrationalis
Isaac	Isaac
Isaac Asimov	Isaac Asimov
Isaac Newton	Isaacus Newtonus
Isis	Isis
Islam	Religio Islamica
Islam	Categoria:Religio Islamica
Islamabad	Islamabada
Island	Insula
Isle of Man	Monapia
Isle of Wight	Vecta
Isoroku Yamamoto	Isorocus Iamamotus
Israel	Israel (civitas)
Israel	Categoria:Israel
Istanbul	Categoria:Constantinopolis
Italy	Italia
Italy	Categoria:Italia
Ithaca	Ithaca (insula)
Ivan Pavlov	Ioannes Pavlov
Ivory	Ebur
J	J
Jack Lemmon	Jack Lemmon
Jacksonville	Iacsoniapolis, Floridae
Jacques Cartier	Iacobus Cartier
Jacques Derrida	Iacobus Derrida
Jacques Offenbach	Iacobus Offenbach
Jaguar	Onca
Jakarta	Batavia (urbs)
Jamaica	Iamaica
James	Sanctus Iacobus Maior
James A. Garfield	Iacobus Garfield
James Bond	Iacobus Bond
James Buchanan	Iacobus Buchanan
James Cook	Iacobus Cook
James Joyce	Iacobus Joyce
James K. Polk	Iacobus Knox Polk
James Madison	Iacobus Madison
James Monroe	Iacobus Monroe
James Prescott Joule	Iacobus Prescott Joule
James Watt	Iacobus Watt
Jan Hus	Ioannes Hus
Jane Austen	Ioanna Austen
Jane Fonda	Ioanna Fonda
Jane Seymour	Iana Seimora
January	Ianuarius
January 1	1 Ianuarii
January 19	19 Ianuarii
January 20	20 Ianuarii
January 6	6 Ianuarii
Janus (mythology)	Ianus
Japan	Iaponia
Japan	Categoria:Iaponia
Jason	Iason
Jaundice	Icterus
Java	Iava
Jazz	Iazium
Jean Cocteau	Ioannes Cocteau
Jean Sibelius	Ioannes Iulius Christianus Sibelius
Jean-Jacques Rousseau	Iohannes-Iacobus Rousseau
Jean-Paul Sartre	Ioannes Paulus Sartre
Jean-Philippe Rameau	Ioannes Philippus Rameau
Jeddah	Iedda
Jehovah	Iehovah
Jehovah's Witnesses	Testes Iehovah
Jellyfish	Scyphozoa
Jena	Iena
Jeremy Bentham	Ieremia Bentham
Jerome	Hieronymus
Jersey	Caesarea insula
Jerusalem	Hierosolyma
Jesus	Iesus
Jew	Populus Iudaicus
Jihad	Gihad
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Iacobus Earl Carter
Joan of Arc	Ioanna de Arc
Johann Sebastian Bach	Iohannes Sebastianus Bach
Johann Wolfgang von Goethe	Ioannes Wolfgang Goethe
Johannes Brahms	Iohannes Brahms
Johannes Gutenberg	Iohannes Gutenberg
Johannes Kepler	Iohannes Keplerus
Johannesburg	Ioannisburgum
John Adams	Ioannes Adams
John Calvin	Ioannes Calvinus
John Chrysostom	Iohannes Chrysostomus
John Dalton	Ioannes Dalton
John Lennon	Ioannes Lennon
John Locke	Ioannes Lockius
John Major	Ioannes Major
John Maynard Keynes	Ioannes Meginhardus Keynes
John Milton	Ioannes Miltonus
John Quincy Adams	Ioannes Quintius Adams
John Ruskin	Ioannes Ruskin
John Stuart Mill	Ioannes Stuart Mill
John Tyler	Ioannes Tyler
John Wayne	Iohannes Wayne
John Wycliffe	Ioannes Wicliffe
John the Baptist	Sanctus Ioannes Baptista
Jordan	Iordania
Jordan River	Iordanus
Jorge Luis Borges	Georgius Ludovicus Borges
Joseph Goebbels	Iosephus Goebbels
Joseph Haydn	Franciscus Iosephus Haydn
Joseph Louis Gay-Lussac	Iosephus Aloisius Gaylussac
Joseph Smith	Iosephus Smith
Joseph Stalin	Iosephus Stalin
Josephus	Flavius Iosephus
Joule	Joulium
Jovian	Iovianus
Judaism	Religio Iudaica
Judaism	Categoria:Religio Iudaica
Judo	Ziudo
Judy Garland	Judy Garland
Jujutsu	Ziuziutum
Jules Verne	Iulius Verne
Julian calendar	Calendarium Iulianum
Julian the Apostate	Flavius Claudius Iulianus
Julius Caesar	Gaius Iulius Caesar
July	Iulius
July 1	1 Iulii
July 4	4 Iulii
June	Iunius
June 14	14 Iunii
June 21	21 Iunii
June 23	23 Iunii
June 24	24 Iunii
June 29	29 Iunii
June 3	3 Iunii
Juneau	Iunellum
Juniper	Juniperus
Juno (mythology)	Iuno (mythologia)
Jupiter	Iuppiter (planeta)
Jupiter	Categoria:Iuppiter
Jupiter (disambiguation)	Iuppiter
Jupiter (mythology)	Iuppiter (deus)
Jurassic	Aevum Iurassicum
Justinian I	Iustinianus I
Jutland	Cimbria
K	K
Kabul	Cabura
Kamikaze	Camicaze
Kampala	Kampala
Kandahar	Alexandria Arachosia
Kangaroo	Macropus
Kansas	Kansia
Kappa	Cappa
Karachi	Karachi
Karate	Carate
Karl Barth	Carolus Barth
Karl Jaspers	Carolus Theodorus Jaspers
Karl Marx	Carolus Marx
Karl Popper	Carolus Popper
Karnataka	Carnatica
Katharine Hepburn	Catharina Hepburn
Kathmandu	Kathmandu
Katowice	Katovicum
Kaunas	Couna
Kazakhstan	Casachia
Kazan	Casanum
Kelvin	Kelvin (unitas)
Kent	Cantium
Kentucky	Kentukia
Kenya	Kenia
Kenya	Categoria:Kenia
Kernel (computer science)	Medulla
Kerosene	Petroleum
Ketone	Ketonum
Keyboard (computing)	Claviatura
Khan	Chanis
Kharkiv	Charcovia
Khartoum	Khartumensis Urbs
Khufu	Cheops
Kidney	Ren
Kiev	Chiovia
Kigali	Kigali
Kilogram	Chiliogramma
Kilometre	Chiliometrum
King (chess)	Rex (scacci)
King Arthur	Arthurus Rex
King Lear	Leir Rex
Kingston	Kingston (Iamaica)
Kinshasa	Kinshasa
Kiribati	Kiribati
Kite	Draco volans papyreus
Knee	Genu
Knight (chess)	Eques (scacci)
