English	Portuguese
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Differential equation	Equação diferencial
Diffraction	Difração
Diffusion	Difusão molecular
Digestion	Digestão
Digestive system	Categoria:Sistema digestivo
Digital camera	Câmera digital
Digital photography	Fotografia digital
Digital subscriber line	DSL
Dijon	Dijon
Dill	Endro
Dimension	Dimensão (matemática)
Dingo	Dingo
Dinosaur	Dinossauros
Diocese	Diocese
Diocletian	Diocleciano
Diode	Diodo semicondutor
Dionysus	Dioniso
Diphtheria	Difteria
Diphthong	Ditongo
Diplodocus	Diplodoco
Diplomacy	Diplomacia
Diplomacy	Categoria:Diplomacia
Dire Straits	Dire Straits
Direct current	Corrente contínua
Disaccharide	Dissacarídeo
Disambiguation	Categoria:Desambiguação
Disc jockey	DJ
Discourse	Discurso
Discrimination	Discriminação
Disease	Doença
Distance	Distância
Distillation	Destilação
Divergence	Divergente
Division (mathematics)	Divisão
Division (military)	Divisão (militar)
Divorce	Divórcio
Dizzy Gillespie	Dizzy Gillespie
Djibouti	Categoria:Djibouti
Djibouti (city)	Djibouti (cidade)
Dmitri Mendeleev	Dmitri Mendeleiev
Dmitri Shostakovich	Dmitri Shostakovitch
Dnieper River	Rio Dniepre
Dnipropetrovsk	Dnipropetrovsk
Doberman Pinscher	Dobermann
Doctor of the Church	Doutor da Igreja
Document	Documento
Dodecahedron	Dodecaedro
Dodecanese	Dodecaneso
Dodo	Dodó
Dodoma	Dodoma
Dog	Cão
Dogma	Dogma
Doha	Doha
Dolly (sheep)	Ovelha Dolly
Dolmen	Dólmen
Dolomite	Dolomita
Dolphin	Golfinho
Domain (biology)	Domínio (biologia)
Domain name	Domínio
Dome	Cúpula
Domesday Book	Domesday Book
Domestication	Domesticação
Dominica	Dominica
Dominica	Categoria:Dominica
Dominican Order	Ordem dos Pregadores
Dominican Republic	República Dominicana
Dominican Republic	Categoria:República Dominicana
Domitian	Domiciano
Don Quixote	Don Quixote de la Mancha
Don River (Russia)	Rio Don (Rússia)
Donald Duck	Pato Donald
Donatello	Donatello
Donato Bramante	Donato di Angelo di Pascuccio
Donetsk	Donetsk
Donkey	Asno
Door	Porta
Dopamine	Dopamina
Doppler effect	Efeito Doppler
Dorado	Dorado
Doric order	Ordem dórica
Doris Lessing	Doris Lessing
Dortmund	Dortmund
Douala	Douala
Double bass	Contrabaixo
Douglas MacArthur	Douglas MacArthur
Dover	Dover (Delaware)
Dover	Dover (Inglaterra)
Down syndrome	Síndrome de Down
Draco (constellation)	Draco
Dracula	Drácula
Dragon	Dragão
Drainage basin	Bacia hidrográfica
Drama	Drama
Draughts	Damas
Dream	Sonho
Dresden	Dresden
Drink	Bebida
Dromedary	Dromedário
Drought	Seca
Drug addiction	Toxicomania
Druid	Druida
Drum	Tambor
Dualism	Dualismo
Dualism (philosophy of mind)	Dualismo
Dubai	Dubai
Dublin	Dublin
Dubnium	Dúbnio
Dubrovnik	Dubrovnik
Duck	Pato
Dugong	Dugongo
Duke	Duque
Duke Ellington	Duke Ellington
Duke University	Universidade de Duke
Dune	Duna
Dunkirk	Dunquerque
Duodenum	Duodeno
Durban	Durban
Dushanbe	Duchambe
Dustin Hoffman	Dustin Hoffman
Dutch people	Categoria:Neerlandeses
Dwight D. Eisenhower	Dwight D. Eisenhower
Dynamics (physics)	Dinâmica
Dynamite	Dinamite
Dynasty	Dinastia
Dyslexia	Dislexia
Dysprosium	Disprósio
Dystopia	Distopia
E	E
E (mathematical constant)	Número de Euler
E-mail	E-mail
E. T. A. Hoffmann	Ernst Theodor Amadeus Wilhelm Hoffmann
ETA	Euskadi Ta Askatasuna
Eagle	Águia
Ear	Orelha
Eared seal	Otariidae
Earless seal	Foca
Earth	Terra
Earth	Categoria:Terra
Earth science	Ciências da Terra
Earthquake	Sismo
East	Leste
East Africa	África Oriental
East China Sea	Mar da China Oriental
East Germany	Alemanha Oriental
East Sussex	East Sussex
East Timor	Timor-Leste
East Timor	Categoria:Timor-Leste
Easter	Páscoa
Eastern Orthodox Church	Igreja Ortodoxa
Ebola	Ébola
Ebro	Rio Ebro
Eccentricity (mathematics)	Excentricidade (matemática)
Ecclesiastes	Eclesiastes
Echidna	Equidna
Echidna (mythology)	Equídina
Echinoderm	Equinoderme
Eclipse	Eclipse
Eclipse (software)	Eclipse (IDE)
Ecliptic	Eclíptica
Ecological niche	Nicho ecológico
Ecology	Ecologia
Ecology	Categoria:Ecologia
Econometrics	Econometria
Economics	Economia
Economics	Categoria:Economia
Economy	Economia
Ecosystem	Ecossistema
Ecuador	Equador
Ecuador	Categoria:Equador
Ecumenical council	Concílios Ecuménicos Católicos
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edgar Rice Burroughs	Edgar Rice Burroughs
Edinburgh	Edimburgo
Edirne	Edirne
Edmond Halley	Edmond Halley
Edmonton	Edmonton
Edmund Burke	Edmund Burke
Edmund Hillary	Edmund Hillary
Edmund Husserl	Edmund Husserl
Eduard Buchner	Eduard Buchner
Education	Educação
Education	Categoria:Educação
Edvard Grieg	Edvard Grieg
Edvard Munch	Edvard Munch
Edward Gibbon	Edward Gibbon
Edward Jenner	Edward Jenner
Edward Teller	Edward Teller
Edward the Confessor	Eduardo, o Confessor
Edwin Hubble	Edwin Powell Hubble
Eel	Anguilliformes
Egg (biology)	Ovo
Eggplant	Beringela
Egypt	Egipto
Egypt	Categoria:Egito
Egyptian pound	Libra egípcia
Egyptology	Egiptologia
Eiffel Tower	Torre Eiffel
Eindhoven	Eindhoven
Einsteinium	Einstênio
Ejaculation	Ejaculação
El Cid	El Cid
El Greco	El Greco
El Paso	El Paso
El Salvador	El Salvador
El Salvador	Categoria:El Salvador
Elam	Elam
Elbe	Rio Elba
Eleanor Roosevelt	Eleanor Roosevelt
Election	Eleição
Electra	Electra
Electric charge	Carga elétrica
Electric current	Corrente elétrica
Electric field	Campo eléctrico
Electric guitar	Guitarra elétrica
Electric motor	Motor elétrico
Electrical engineering	Categoria:Engenharia elétrica
Electrical engineering	Engenharia eléctrica
Electrical resistance	Resistência elétrica
Electricity	Electricidade
Electricity	Categoria:Eletricidade
Electrocardiogram	Eletrocardiograma
Electrochemistry	Eletroquímica
Electrochemistry	Categoria:Eletroquímica
Electrolysis	Eletrólise
Electrolyte	Eletrólito
Electromagnetic radiation	Radiação electromagnética
Electromagnetic spectrum	Espectro eletromagnético
Electromagnetism	Electromagnetismo
Electromagnetism	Categoria:Eletromagnetismo
Electron	Elétron
Electron microscope	Microscópio eletrônico
Electronegativity	Eletronegatividade
Electronics	Eletrônica
Electronics	Categoria:Eletrônica
Elegy	Elegia
Element	Elementos
Elementary particle	Partícula elementar
Elephant	Elefante
Elevator	Elevador
Elf	Elfo
Elia Kazan	Elia Kazan
Elias Canetti	Elias Canetti
Elijah	Elias (profeta)
Elizabeth Taylor	Elizabeth Taylor
Ella Fitzgerald	Ella Fitzgerald
Ellipse	Elipse
Ellipsis	Reticências
Elm	Ulmeiro
Elvis Presley	Elvis Presley
Embryo	Embrião
Embryology	Embriologia
Emerald	Esmeralda
Emilia-Romagna	Emília-Romanha
Emiliano Zapata	Emiliano Zapata
Emily Dickinson	Emily Dickinson
Emir	Emir
Emma Goldman	Emma Goldman
Emoticon	Emoticon
Emotion	Emoção
Emotion	Categoria:Emoções
Empathy	Empatia
Empedocles	Empédocles
Emperor	Imperador
Emperor Penguin	Pinguim-imperador
Empire	Império
Empire State Building	Empire State Building
Empiricism	Empirismo
Emu	Emu
Emulator	Emulador
Emulsion	Emulsão
Encyclopedia	Enciclopédia
Endemism	Endemismo
Endocrine system	Sistema endócrino
Endocrinology	Endocrinologia
Endocrinology	Categoria:Endocrinologia
Energy	Energia
Energy	Categoria:Energia
Energy (society)	Energia
Engine	Motor
Engineering	Engenharia
Engineering	Categoria:Engenharia
England	Inglaterra
England	Categoria:Inglaterra
English Channel	Canal da Mancha
English Civil War	Guerra civil inglesa
English language	Língua inglesa
English people	Categoria:Ingleses
English people	Ingleses
Enki	Enki
Enrico Caruso	Enrico Caruso
Enrico Fermi	Enrico Fermi
Entertainment	Categoria:Entretenimento
Enthalpy	Entalpia
Entomology	Entomologia
Entomology	Categoria:Entomologia
Entropy	Entropia
Environment	Categoria:Ambiente
Environment	Ambiente
Enzyme	Enzima
Eocene	Eoceno
Eon (geology)	Éon geológico
Eos	Eos
Ephesus	Éfeso
Epic poetry	Poesia épica
Epicenter	Epicentro
Epictetus	Epiteto
Epicurus	Epicuro
Epidemic	Epidemia
Epidemiology	Epidemiologia
Epigraphy	Epigrafia
Epilepsy	Epilepsia
Epimetheus (mythology)	Epimeteu
Epinephrine	Adrenalina
Epiphany (Christian)	Epifania
Epirus (periphery)	Épiro
Epistemology	Epistemologia
Epistle to the Galatians	Epístola aos Gálatas
Epistle to the Romans	Epístola aos Romanos
Epithelium	Epitélio
Epsilon	Ε
Equation	Equação
Equator	Linha do Equador
Equatorial Guinea	Guiné Equatorial
Equatorial Guinea	Categoria:Guiné Equatorial
Equidae	Equus
Equinox	Equinócio
Equisetum	Cavalinha (planta)
Erasure	Erasure
Erato	Erato
Eratosthenes	Eratóstenes
Erbium	Érbio
Erebus	Érebo
Erectile dysfunction	Disfunção erétil
Erection	Ereção
Ericaceae	Ericaceae
Ericales	Ericales
Eridanus (constellation)	Eridanus
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Erik Satie	Erik Satie
Eris (dwarf planet)	Éris (planeta anão)
Eris (mythology)	Éris
Eritrea	Categoria:Eritreia
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Ernst Werner von Siemens	Ernst Werner von Siemens
Eros (mythology)	Eros
Erosion	Erosão
Erotica	Erotismo
Erwin Rommel	Erwin Rommel
Escape velocity	Velocidade de escape
Eschatology	Escatologia
Escherichia coli	Escherichia coli
Esfahan	Isfahan
Esophagus	Esófago
Esperanto	Esperanto
Esperanto	Categoria:Esperanto
Espionage	Espionagem
Espoo	Espoo
Espresso	Café expresso
Essay	Ensaio
Essen	Essen
Essential oil	Óleo essencial
Essex	Essex
Ester	Éster
Estonia	Categoria:Estónia
Estrogen	Estrogênio
Eta (letter)	Η
Etching	Água-forte
Ethane	Etano
Ethanol	Etanol
Ether	Éter
Ethernet	Ethernet
Ethics	Ética
Ethics	Categoria:Ética
Ethiopia	Etiópia
Ethiopia	Categoria:Etiópia
Ethnography	Etnografia
Ethnology	Categoria:Etnologia
Ethology	Etologia
Ethylene	Etileno
Etymology	Etimologia
Eucalyptus	Eucalipto
Eucharist	Eucaristia
Euclid	Euclides
Euclidean geometry	Geometria euclidiana
Eugene O'Neill	Eugene O'Neill
Eukaryote	Eukaryota
Eunuch	Eunuco
Euphemism	Eufemismo
Euphrates	Rio Eufrates
Eurasia	Eurásia
Eurasian Badger	Texugo-europeu
Euripides	Eurípedes
Euro	Euro
Europa (moon)	Europa (satélite)
Europa (mythology)	Europa (mitologia)
Europe	Europa
Europe	Categoria:Europa
European Central Bank	Banco Central Europeu
European Community	Comunidade Económica Europeia
European Magpie	Pega-rabuda
European Union	União Europeia
European Union	Categoria:União Europeia
Europium	Európio
Eusebius of Caesarea	Eusébio de Cesareia
Euterpe	Euterpe
Euthanasia	Eutanásia
Eva Braun	Eva Braun
Evanescence	Evanescence
Evangelista Torricelli	Evangelista Torricelli
Evaporation	Evaporação
Even-toed ungulate	Artiodátilos
Evolution	Evolução
Excalibur	Excalibur
Exchange rate	Taxa de câmbio
Exclamation mark	Ponto de exclamação
Excommunication	Excomunhão
Executive (government)	Poder executivo
Exhibitionism	Exibicionismo
Existentialism	Existencialismo
Exodus	Livro do Êxodo
Expected value	Valor esperado
Experiment	Experiência científica
Explosion	Explosão
Expo (exhibition)	Exposição mundial
Exponential function	Função exponencial
Exponentiation	Exponenciação
Expressionism	Expressionismo
Extinction	Extinção
Eye	Olho
Eye	Categoria:Olho
Ezra Pound	Ezra Pound
F	F
F. Scott Fitzgerald	F. Scott Fitzgerald
Fabaceae	Fabaceae
Fable	Fábula
Face	Face
Fact	Predefinição:Carece de fontes
Factorial	Factorial
Factory	Usina
Facula	Manchas solares
Fado	Fado
Fagaceae	Categoria:Fagaceae
Fagales	Fagales
Fahrenheit	Grau Fahrenheit
Fair use	Fair use
Fairy	Fada
Fairy tale	Contos de fadas
Falcon	Falcão
Falconiformes	Falconiformes
Falkland Islands	Ilhas Malvinas
Fallacy	Falácia
Fallopian tube	Trompas de Falópio
Fallow Deer	Gamo
Falun Gong	Falun Gong
Family	Categoria:Família
Family (biology)	Família (biologia)
Family history	Genealogia
Family name	Sobrenome
Fantasy	Fantasia (gênero)
Far East	Extremo Oriente
Farad	Farad
Faroe Islands	Categoria:Ilhas Feroé
Fascism	Fascismo
Fascism	Categoria:Fascismo
Fashion	Categoria:Moda
Fashion	Moda
Fast food	Fast-food
Fasting	Jejum
Fatah	Fatah
Fatty acid	Ácido graxo
Fault (geology)	Falha geológica
Fauna	Fauna
Fauvism	Fovismo
Fax	Fax
Fear	Medo
Feather	Pena
February	Fevereiro
February 12	12 de Fevereiro
February 14	14 de Fevereiro
February 2	2 de Fevereiro
February 22	22 de Fevereiro
February 29	29 de Fevereiro
February Revolution	Revolução de Fevereiro
Feces	Fezes
Federal Bureau of Investigation	Federal Bureau of Investigation
Federal Reserve System	Reserva Federal dos Estados Unidos da América
Federated States of Micronesia	Estados Federados da Micronésia
Federated States of Micronesia	Categoria:Estados Federados da Micronésia
Federation	Federação
Federico Fellini	Federico Fellini
Fedora (Linux distribution)	Fedora Core
Feedback	Retroalimentação
Feldspar	Feldspato
Felidae	Felídeos
Felix Mendelssohn	Felix Mendelssohn Bartholdy
Feminism	Feminismo
Feminism	Categoria:Feminismo
Fencing	Esgrima
Feng shui	Feng Shui
Fennel	Funcho
Fenrir	Fenris
Fenugreek	Feno-grego
Ferdinand II	Fernando II, Sacro Imperador Romano-Germânico
Ferdinand Magellan	Fernão de Magalhães
Ferdinand de Saussure	Ferdinand de Saussure
Fermentation (biochemistry)	Fermentação
Fermentation (food)	Fermentação
Fermion	Férmion
Fermium	Férmio
Fern	Samambaia
Ferrara	Ferrara
Ferry	Balsa
Fertile Crescent	Crescente Fértil
Fertilisation	Fecundação
Fertilizer	Fertilizante
Fetus	Feto
Feudalism	Feudalismo
Fever	Febre
Fiat	FIAT
Fibonacci number	Número de Fibonacci
Fiction	Categoria:Ficção
Fictional character	Personagem
Fidel Castro	Fidel Castro
Field (mathematics)	Corpo (matemática)
Field hockey	Hóquei em Campo
Fighter aircraft	Caça (avião)
Figure skating	Patinação artística
Fiji	Fiji
Fiji	Categoria:Fiji
File Allocation Table	FAT
File Transfer Protocol	File Transfer Protocol
File system	Sistema de ficheiros
Filippo Brunelleschi	Filippo Brunelleschi
Film	Categoria:Cinema
Film	Film
Film	Portal:Cinema
Film director	Diretor de cinema
Fin Whale	Baleia-comum
Finance	Categoria:Finanças
Finance	Finanças
Finger	Dedo
Fingerprint	Impressão digital (anatomia)
Finland	Finlândia
Finland	Categoria:Finlândia
Fir	Abies
Fire	Fogo
Firearm	Arma de fogo
Firefighter	Bombeiro
Firewall (networking)	Firewall
Firmware	Firmware
First Council of Constantinople	Primeiro Concílio de Constantinopla
First Council of Nicaea	Primeiro Concílio de Niceia
First Crusade	Primeira Cruzada
First Epistle to the Corinthians	Primeira Epístola aos Coríntios
First aid	Primeiros socorros
First language	Língua materna
Fish	Peixe
Fish	Categoria:Peixes
Fishing	Pesca
Fishing	Categoria:Pesca
Fjord	Fiorde
Flag	Bandeira
Flagellum	Flagelo
Flamenco	Flamenco
Flamingo	Flamingo
Flanders	Flandres
Flash memory	Memória flash
Flatulence	Flatulência
Flatworm	Platelmintos
Flea	Pulga
Flemish (linguistics)	Língua flamenga
Flint	Sílex
Flip-flop (electronics)	Flip-flop
Flood	Inundação
Floppy disk	Disquete
Florence	Florença
Florence Nightingale	Florence Nightingale
Florida	Flórida
Florida	Categoria:Flórida
Flour	Farinha
Flower	Flor
Flowering plant	Angiosperma
Fluid	Fluido
Fluid mechanics	Mecânica dos fluidos
Fluorite	Fluorita
Fly	Diptera
Fog	Neblina
Folic acid	Ácido fólico
Folk music	Música folclórica
Folklore	Folclore
Folklore	Categoria:Folclore
Food	Alimento
Food additive	Aditivo alimentar
Food and Agriculture Organization	Organização das Nações Unidas para a Agricultura e a Alimentação
Food chain	Cadeia alimentar
Foot	Pé
Foot (unit of length)	Pé (unidade)
Football (soccer)	Futebol
Football (soccer)	Categoria:Futebol
Football (soccer) by country	Categoria:Futebol por países
Football (soccer) clubs	Categoria:Clubes de futebol
Football (soccer) managers	Categoria:Treinadores de futebol
Football (soccer) players	Categoria:Futebolistas
Football (soccer) venues	Categoria:Estádios de futebol
Forbidden City	Cidade Proibida
Force	Força
Forest	Floresta
Forestry	Engenharia florestal
Fork	Garfo
Form of government	Forma de governo
Formaldehyde	Metanal
Formic acid	Ácido metanóico
Fornax	Fornax
Fort Worth	Fort Worth
Fortification	Fortaleza (arquitetura militar)
Fortran	Fortran
Fossil	Fóssil
Fossil fuel	Combustível fóssil
Foucault pendulum	Pêndulo de Foucault
Fountain	Fonte
Fourier series	Série de Fourier
Fourth Crusade	Quarta Cruzada
Fox	Raposa
Fractal	Fractal
Fraction (mathematics)	Fração
France	França
France	Categoria:França
Francis Bacon	Francis Bacon (filósofo)
Francis Crick	Francis Crick
Francis Drake	Francis Drake
Francis Ford Coppola	Francis Ford Coppola
Francis II	Francisco I da Áustria
Francis Poulenc	Francis Poulenc
Francis of Assisi	Francisco de Assis
Franciscan	Ordem dos Frades Menores
Francisco Franco	Francisco Franco
Francisco Goya	Francisco de Goya
Francisco Pizarro	Francisco Pizarro
Francium	Frâncio
Franco-Prussian War	Guerra franco-prussiana
Frank Lloyd Wright	Frank Lloyd Wright
Frank Sinatra	Frank Sinatra
Frankfort	Frankfort (Kentucky)
Frankfurt	Frankfurt am Main
Frankfurt	Categoria:Frankfurt am Main
Frankfurt (Oder)	Frankfurt an der Oder
Frankfurt (disambiguation)	Frankfurt (desambiguação)
Franklin Pierce	Franklin Pierce
Frans Hals	Frans Hals
Franz Kafka	Franz Kafka
Franz Liszt	Franz Liszt
Franz Schubert	Franz Schubert
Fred Astaire	Fred Astaire
Frederick I	Frederico I, Sacro Imperador Romano-Germânico
Frederick II	Frederico II, Sacro Imperador Romano-Germânico
Frederick Sanger	Frederick Sanger
Frederick Soddy	Frederick Soddy
Fredericton	Fredericton
Free State	Estado Livre
Free will	Livre-arbítrio
Freedom (philosophy)	Liberdade
Freedom of speech	Liberdade de expressão
Freemasonry	Maçonaria
Freetown	Freetown
Freeware	Software gratuito
French Polynesia	Polinésia Francesa
French Revolution	Revolução Francesa
French Revolution	Categoria:Revolução francesa
French franc	Franco francês
French people	Categoria:Franceses
Frequency	Frequência
Fresco	Afresco
Freshwater	Água doce
Fresno	Fresno (Califórnia)
Freyja	Freya
Freyr	Frey
Friction	Atrito
Friday	Sexta-feira
Fridtjof Nansen	Fridtjof Nansen
Friedrich Engels	Friedrich Engels
Friesland	Frísia (província)
Frigate	Fragata
Frigg	Frigga
Fritz Haber	Fritz Haber
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Frog	Anura
Fructose	Frutose
Fruit	Fruto
Fruit	Categoria:Frutos
Fucking	Fucking (Áustria)
Fuel	Combustível
Fuel cell	Célula combustível
Fugue	Fuga
Fukuoka	Fukuoka (cidade)
Full moon	Lua cheia
Funafuti	Funafuti
Function (mathematics)	Função
Fundamental	Categoria:Página principal
Fundamental interaction	Força fundamental
Fundamentalism	Fundamentalismo
Fungi	Categoria:Fungos
Fungus	Fungos
Funicular	Funicular
Funk	Funk
Furniture	Categoria:Mobiliário
Furniture	Mobiliário
Future	Futuro
Futurism (art)	Futurismo
Fuzzy logic	Lógica difusa
Fyodor Dostoevsky	Fiódor Dostoiévski
G	G
GIMP	GIMP
GNOME	GNOME
Gabon	Gabão
Gabon	Categoria:Gabão
Gaborone	Gaborone
Gabriel	Gabriel (arcanjo)
Gabriel Lippmann	Gabriel Lippmann
Gadolinium	Gadolínio
Gaetano Donizetti	Gaetano Donizetti
Gaia (mythology)	Gaia (mitologia)
Galatia	Galácia
Galaxy	Galáxia
Galen	Cláudio Galeno
Galena	Galena
Galicia (Central Europe)	Galícia (Europa Central)
Galicia (Spain)	Galiza
Galilee	Galiléia
Galileo (spacecraft)	Galileu (sonda espacial)
Galileo Galilei	Galileu Galilei
Gallbladder	Vesícula biliar
Galley	Galé
Galliformes	Galliformes
Galliformes	Categoria:Galiformes
Gallium	Gálio
Gallon	Galão
Galway	Galway
Gamal Abdel Nasser	Gamal Abdel Nasser
Gambling	Jogo de azar
Game	Jogo
Game theory	Teoria dos jogos
Gamma	Γ
Gamma ray	Radiação gama
Ganesha	Ganexa
Ganges	Rio Ganges
Gansu	Gansu
Ganymede	Ganímedes (mitologia)
Ganymede (moon)	Ganímedes (satélite)
Gap	Gap (Hautes-Alpes)
Garden	Jardim
Garden of Eden	Jardim do Éden
Gardening	Jardinagem
Garfield	Garfield
Gargoyle	Gárgula
Garlic	Alho
Garnet	Granada (mineralogia)
Garonne	Rio Garona
Gas	Gás
Gas constant	Constante universal dos gases perfeitos
Gas giant	Planeta gasoso
Gasoline	Gasolina
Gastrointestinal tract	Aparelho digestivo
Gastropoda	Gastropoda
Gaul	Gália
Gautama Buddha	Siddhartha Gautama
Gay	Gay
Gaza	Gaza
Gaza Strip	Faixa de Gaza
Gear	Engrenagem
Geb	Geb
Geisha	Gueixa
Gemini (constellation)	Gemini (constelação)
Gemstone	Gema (mineralogia)
Gene	Gene
Genealogy	Genealogia
Genealogy	Categoria:Genealogia
General Agreement on Tariffs and Trade	Acordo Geral de Tarifas e Comércio
General Officer	General
General relativity	Relatividade geral
Genesis	Gênesis
Genetic code	Código genético
Genetic engineering	Engenharia genética
Genetics	Genética
Genetics	Categoria:Genética
Geneva	Genebra
Genie	Gênio
Genitive case	Caso genitivo
Genoa	Génova
Genocide	Genocídio
Genocide	Categoria:Genocídios
Genome	Genoma
Genotype	Genótipo
Genus	Género (biologia)
Geochemistry	Geoquímica
Geodesy	Geodésia
Geodesy	Categoria:Geodésia
Geoffrey Chaucer	Geoffrey Chaucer
Geography	Geografia
Geography	Categoria:Geografia
Geography	Portal:Geografia
Geology	Categoria:Geologia
Geology	Geologia
Geometric progression	Progressão geométrica
Geometry	Geometria
Geometry	Categoria:Geometria
Geomorphology	Geomorfologia
Geomorphology	Categoria:Geomorfologia
Geophysics	Geofísica
Geophysics	Categoria:Geofísica
Geopolitics	Geopolítica
Georg Philipp Telemann	Georg Philipp Telemann
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Berkeley	George Berkeley
George Bernard Shaw	George Bernard Shaw
George Boole	George Boole
George Bush	George Bush
George Frideric Handel	Georg Friedrich Händel
George Gershwin	George Gershwin
George Harrison	George Harrison
George Lucas	George Lucas
George Marshall	George Marshall
George Orwell	George Orwell
George Paget Thomson	George Paget Thomson
George Sand	George Sand
George Stephenson	George Stephenson
George W. Bush	George W. Bush
George Washington	George Washington
Georges Bizet	Georges Bizet
Georges Braque	Georges Braque
Georges Clemenceau	George Clemenceau
Georges Simenon	Georges Simenon
Georgetown	Georgetown (Guiana)
Georgia (U.S. state)	Geórgia (Estados Unidos da América)
Georgia (U.S. state)	Categoria:Geórgia (EUA)
Georgia (country)	Geórgia
Georgia (country)	Categoria:Geórgia
Gerald Ford	Gerald Ford
Gerard Kuiper	Gerard Kuiper
German Shepherd Dog	Pastor alemão
German language	Língua alemã
German mark	Marco alemão
Germanium	Germânio
Germany	Alemanha
Germany	Categoria:Alemanha
Geronimo	Geronimo
Gestapo	Gestapo
Geyser	Géiser
Ghana	Gana
Ghana	Categoria:Gana
Ghent	Gante
Ghetto	Gueto
Ghost	Fantasma
Giacomo Puccini	Giacomo Puccini
Giant Panda	Panda-gigante
Gibbon	Gibão
Gibraltar	Gibraltar
Gibraltar	Categoria:Gibraltar
Gigabyte	Gigabyte
Gilgamesh	Gilgamesh
Ginger	Gengibre
Ginkgo	Ginkgo
Giordano Bruno	Giordano Bruno
Giorgio Vasari	Giorgio Vasari
Giorgio de Chirico	Giorgio de Chirico
Giotto di Bondone	Giotto di Bondone
Giovanni Boccaccio	Giovanni Boccaccio
Giraffe	Girafa
Giraffidae	Giraffidae
Girolamo Savonarola	Girolamo Savonarola
Gironde	Gironda
Giuseppe Garibaldi	Giuseppe Garibaldi
Giuseppe Verdi	Giuseppe Verdi
Giza	Guizé
Glacier	Geleira
Gladiator	Gladiador
Gland	Glândula
Glasgow	Glasgow
Glasnost	Glasnost
Glass	Vidro
Glasses	Óculos
Glider	Planador
Global Positioning System	Sistema de Posicionamento Global
Global warming	Aquecimento global
Globalization	Globalização
Globe artichoke	Alcachofra
Gloucestershire	Gloucestershire
Glucagon	Glucagon
Glucose	Glicose
Gluon	Glúon
Glutamic acid	Ácido glutâmico
Glycerol	Glicerol
Glycine	Glicina
Glycogen	Glicogénio
Glycolysis	Glicólise
Gnathostomata	Gnatostomados
Gneiss	Gnaisse
Gnosticism	Gnosticismo
Go (board game)	Go
Goa	Goa
Goalkeeper	Goleiro
Goat	Cabra
Gobi Desert	Deserto de Gobi
God	Deus
Golan Heights	Colinas de Golã
Gold	Ouro
Golda Meir	Golda Meir
Golden Eagle	Águia-real
Golden Gate Bridge	Golden Gate Bridge
Golden Horde	Canato da Horda Dourada
Golden Retriever	Golden Retriever
Golf	Golfe
Golf	Categoria:Golfe
Golgi apparatus	Complexo de Golgi
Good Friday	Sexta-Feira Santa
Google	Google
Google	Categoria:Google
Googol	Googol
Gorgon	Górgona
Gorilla	Gorila
Goshawk	Açor
Gospel	Evangelho
Gospel of Luke	Evangelho segundo Lucas
Gothenburg	Gotemburgo
Gothic	Gótico
Gothic architecture	Arquitectura do gótico
Gotthold Ephraim Lessing	Gotthold Ephraim Lessing
Gottlieb Daimler	Gottlieb Daimler
Gout	Gota (doença)
Government	Governo
Grace Kelly	Grace Kelly
Gradient	Gradiente
Graffiti	Grafite (arte)
Graham Greene	Graham Greene
Gram	Grama
Grammar	Gramática
Grammar	Categoria:Gramática
Grammatical gender	Gênero gramatical
Granada	Granada (Espanha)
Grand Canyon	Grand Canyon
Grand Slam (tennis)	Grand Slam de tênis
Grandmaster (chess)	Grande Mestre de Xadrez
Granite	Granito
Grape	Uva
Grapefruit	Toronja
Graphic design	Categoria:Design gráfico
Graphic design	Design gráfico
Graphical user interface	Interface gráfica do utilizador
Graphite	Grafite
Gravitation	Gravidade
Gravitational constant	Constante gravitacional universal
Graviton	Gráviton
Gray (unit)	Gray (unidade)
Gray Wolf	Lobo
Graz	Graz
Great Barrier Reef	Grande Barreira de Coral
Great Britain	Grã-Bretanha
Great Crested Grebe	Mergulhão-de-crista
Great Depression	Grande Depressão
Great Lakes	Grandes Lagos
Great Rift Valley	Vale do Rift
Great Wall of China	Muralha da China
Great white shark	Tubarão-branco
Greater Antilles	Grandes Antilhas
Greater London	Grande Londres
Greatest common divisor	Máximo divisor comum
Grebe	Podicipedidae
Greece	Grécia
Greece	Categoria:Grécia
Greek alphabet	Alfabeto grego
Greek alphabet	Categoria:Alfabeto grego
Greek fire	Fogo grego
Greek mythology	Mitologia grega
Greek mythology	Categoria:Mitologia grega
Green	Verde
Greenhouse	Estufa
Greenhouse effect	Efeito estufa
Greenhouse gas	Gases do efeito estufa
Greenland	Gronelândia
Greenland	Categoria:Gronelândia
Greenland Sea	Mar da Gronelândia
Greenpeace	Greenpeace
Greenwich	Greenwich (Reino Unido)
Greenwich Mean Time	Greenwich Mean Time
Gregor Mendel	Gregor Mendel
Gregorian calendar	Calendário gregoriano
Grenada	Categoria:Granada
Grenoble	Grenoble
