English	Swahili
Mauritania	Mauritania
Mauritania	Category:Mauretania
Mauritius	Morisi
Max Born	Max Born
Max Planck	Max Planck
Maximian	Kaizari Maximian
May	Mei
May 1	1 Mei
May 24	24 Mei
Mbabane	Mbabane
Measurement	upimaji
Meat	Nyama
Mecca	Makka
Medici	Medici
Medicine	Category:Tiba
Mediterranean Sea	Bahari ya Mediteranea
Mekong	Mekong (mto)
Mel Gibson	Mel Gibson
Melanesia	Melanesia
Melting point	Kiwango cha kuyeyuka
Mercury (element)	Zebaki
Mercury (planet)	Utaridi
Mesopotamia	Mesopotamia
Metallic bond	Muungo metali
Meteoroid	Kimondo
Meteorology	Category:Metorolojia
Metre	Mita
Mexico	Mexiko
Mexico	Category:Mexiko
Mexico City	Mexico (mji)
Miami	Miami
Michelangelo	Michelangelo
Micronesia	Mikronesia
Microscope	Hadubini
Middle Ages	Zama za Kati
Middle East	Mashariki ya Kati
Miguel de Cervantes	Miguel de Cervantes
Mike Tyson	Mike Tyson
Mikhail Glinka	Mikhail Glinka
Mile	Maili
Miles Davis	Miles Davis
Milk	Maziwa
Millard Fillmore	Millard Fillmore
Millennium	Milenia
Millimetre	Millimita
Minsk	Minsk
Minute	Dakika
Mississippi River	Mississippi (mto)
Modest Mussorgsky	Modest Mussorgsky
Mogadishu	Mogadishu
Molybdenum	Molibdeni
Mombasa	Mombasa
Monaco	Monako
Monaco	Category:Monako
Monday	Jumatatu
Money	Pesa
Mongolia	Mongolia
Mongolia	Category:Mongolia
Monrovia	Monrovia
Mont Blanc	Mont Blanc
Montana	Montana
Montenegro	Montenegro
Montenegro	Category:Montenegro
Montevideo	Montevideo
Month	Mwezi (wakati)
Montreal	Montreal
Moon	Mwezi (gimba la angani)
Moravia	Moravia
Morocco	Moroko
Morocco	Category:Moroko
Moscow	Moscow
Moses	Musa
Mosque	Msikiti
Mother Teresa	Mama Teresa
Mount Everest	Everest (mlima)
Mount Kilimanjaro	Kilimanjaro (mlima)
Mount Vesuvius	Vesuvio
Mozambique	Msumbiji
Mozambique	Category:Msumbiji
Muhammad	Muhammad
Mumbai	Mumbai
Munich	München
Murray Gell-Mann	Murray Gell-Mann
Muscat	Muskat (Omani)
Music	Category:Muziki
N	N
N'Djamena	N'Djamena
NATO	NATO
Nadine Gordimer	Nadine Gordimer
Nagasaki	Nagasaki
Nahuatl	Kinahuatl
Nairobi	Nairobi
Namib Desert	Jangwa la Namib
Namibia	Namibia
Namibia	Category:Namibia
Naples	Napoli
Nassau	Nassau (Bahamas)
Nation	Madola
National anthem	Wimbo wa Taifa
Nauru	Nauru
Nazi Germany	Dola la Tatu
Nazi Party	NSDAP
Nebraska	Nebraska
Nebuchadrezzar II	Nebukadreza II
Nebula	Nebula
Neil Armstrong	Neil Armstrong
Nelson Mandela	Nelson Mandela
Neon	Neoni
Nepal	Nepal
Neptune	Neptun
Neptunium	Neptuni (elementi)
Nerva	Kaizari Nerva
Netherlands	Uholanzi
Netherlands Antilles	Antili za Kiholanzi
Neutron	Nyutroni
New Caledonia	Kaledonia Mpya
New Delhi	New Delhi
New Guinea	Guinea Mpya
New Mexico	New Mexico
New Orleans	New Orleans
New South Wales	New South Wales
New Testament	Agano Jipya
New York City	New York
New Zealand	New Zealand
Newton	Nyutoni
Niagara Falls	Maporomoko ya Niagara
Niamey	Niamey
Nicaragua	Nikaragua
Nickel	Nikeli
Nicosia	Nikosia
Nicotine	Nikotini
Niels Bohr	Niels Bohr
Niger	Niger
Niger	Category:Niger
Niger River	Niger (mto)
Nigeria	Nigeria
Nigeria	Category:Nigeria
Nikita Khrushchev	Nikita Krushchov
Nile	Nile
Niobium	Niobi
Nitrogen	Nitrojeni
Nobel Prize	Tuzo ya Nobeli
Nobel Prize	Category:Tuzo ya Nobel
Noble gas	Gesi adimu
Norfolk	Norfolk
Norfolk Island	Kisiwa cha Norfolk
North	Kaskazini
North Africa	Afrika ya Kaskazini
North America	Amerika ya Kaskazini
North America	Category:Amerika ya Kaskazini
North Carolina	North Carolina
North Korea	Korea Kaskazini
North Pole	Ncha ya kaskazini
North Sea	Bahari ya Kaskazini
Northern Europe	Ulaya ya Kazkazini
Northern Mariana Islands	Visiwa vya Mariana ya Kaskazini
Norway	Norwei
Norway	Category:Norwei
Nose	Pua
Nouakchott	Nouakchott
Novel	Riwaya
November	Novemba
November 1	1 Novemba
November 11	11 Novemba
November 2	2 Novemba
November 5	5 Novemba
Nuclear weapon	Bomu la nyuklia
Numbers	Category:Namba
Numidia	Numidia
Nut (fruit)	jozi
O	O
Oat	oti
Ocean	Bahari
Ocean current	Mkondo wa bahari
Oceania	Australia na Pasifiki
October	Oktoba
October 12	12 Oktoba
October 24	24 Oktoba
Okapi	Okapi
Old Testament	Agano la Kale
Olympic Games	Michezo ya Olimpiki
Oman	Omani
Oman	Category:Omani
Omega	Omega
Opera	Opera
Orinoco	Orinoco
Oslo	Oslo
Osman I	Osmani I
Ostrich	Mbuni
Otho	Kaizari Otho
Ottawa	Ottawa
Otto Hahn	Otto Hahn
Otto von Bismarck	Otto von Bismarck
Ottoman Empire	Milki ya Osmani
Ovid	Ovid
Oxygen	Oksijeni
P	P
Pablo Neruda	Pablo Neruda
Pablo Picasso	Pablo Picasso
Pacific Ocean	Pasifiki
Pacific Ocean	Category:Pasifiki
Pakistan	Pakistan
Pakistan	Category:Pakistan
Palau	Palau
Palladium	Paladi
Panama	Panama
Panama	Category:Panama
Panama Canal	Mfereji wa Panama
Panama City	Panama City
Papua New Guinea	Papua Guinea Mpya
Paraguay	Paraguay
Paramaribo	Paramaribo
Paris	Paris
Parliament	Bunge
Passover	Pasaka ya Kiyahudi
Pasteurization	Upasteurishaji
Patagonia	Patagonia
Patrick White	Patrick White
Paul Johann Ludwig von Heyse	Paul Heyse
Paul the Apostle	Mtakatifu Paulo
Pauli exclusion principle	Kanuni ya Pauli
Peace of Westphalia	Amani ya Westfalia
Peafowl	Tausi
Penguin	Ngwini
Pennsylvania	Pennsylvania
Pentecost	Pentekoste
People	Category:Watu
Periodic table	Mfumo radidia
Persian Gulf	Ghuba ya Uajemi
Peru	Peru
Peru	Category:Peru
Peter Paul Rubens	Peter Paul Rubens
Philipp Lenard	Philipp Lenard
Philippines	Ufilipino
Philosophy	Category:Falsafa
Phnom Penh	Phnom Penh
Phoenicia	Wafinisia
Phonetics	Fonetiki
Phonology	Fonolojia
Phosphorus	Posferi
Physics	Fizikia
Physics	Category:Fizikia
Pi	Pi
Pierre Curie	Pierre Curie
Pieter Zeeman	Pieter Zeeman
Planet	Sayari
Plant	Mmea
Plasma (physics)	Utegili (fizikia)
Plate tectonics	Gandunia
Platinum	Platini
Plato	Plato
Pleiades (star cluster)	Kilimia
Pluto	Pluto
Podcast	Podikasiti
Poetry	Ushairi
Poitiers	Poitiers
Poland	Poland
Poland	Category:Poland
Politics	Siasa
Politics	Category:Siasa
Polonium	Poloni
Polynesia	Polynesia
Pope	Papa
Pope Alexander VI	Papa Alexander VI
Port Louis	Port Louis
Port Moresby	Port Moresby
Port Vila	Port Vila
Port-au-Prince	Port-au-Prince
Portugal	Ureno
Portugal	Category:Ureno
Potassium	Kali
Potato	Kiazi
Pound (mass)	Ratili
Prague	Praha
Praia	Praia (Cabo Verde)
Precipitation (meteorology)	Usimbishaji
Prehistory	Kabla-ya Historia
President	Rais
Pretoria	Pretoria
Prose	Nathari
Protectorate	Nchi lindwa
Proton	Protoni
Prussia	Prussia
Puerto Rico	Puerto Rico
Pyongyang	Pyonyang
Pyramid	Piramidi
Pyrenees	Pirenei
Pythagoras	Pythagoras
Q	Q
Qatar	Qatar
Qatar	Category:Qatar
Quebec	Quebec
Quito	Quito
R	R
Rabat	Rabat
Rabindranath Tagore	Rabindranath Tagore
Racism	Ubaguzi wa rangi
Radium	Radi
Radius	Nusukipenyo
Radon	Radoni
Rain	Mvua
Ramadan	Ramadan (mwezi)
Random access memory	RAM
Rectangle	Mstatili
Red Sea	Bahari ya Shamu
Referendum	Kura ya maoni
Reggae	Reggae
Religion	Dini
Religion	Category:Dini
Republic	Jamhuri
Republic of China	Jamhuri ya China
Republic of Ireland	Category:Ireland
Republic of the Congo	Jamhuri ya Kongo
Republic of the Congo	Category:Jamhuri ya Kongo
Rhenium	Reni
Rhine	Rhine
Rhodes	Rhodos
Rhodium	Rodi
Rice	Mpunga
Richard Feynman	Richard Feynman
Richard Strauss	Richard Strauss
Richard Wagner	Richard Wagner
Riga	Riga
Rio de Janeiro	Rio de Janeiro
River	Mto
Riyadh	Riyad
Roald Amundsen	Roald Amundsen
Robert Andrews Millikan	Robert Millikan
Robert Koch	Robert Koch
Robert Schumann	Robert Schumann
Rock (geology)	Mwamba (jiolojia)
Rocky Mountains	Rocky Mountains
Roentgenium	Roentgeni
Roman Empire	Dola la Roma
Romania	Romania
Romania	Category:Romania
Romansh	Kirumanj
Rome	Mji wa Roma
Rome	Category:Roma
Rosa Parks	Rosa Parks
Roseau	Roseau
Rubidium	Rubidi
Rudyard Kipling	Rudyard Kipling
Russia	Urusi
Ruthenium	Rutheni
Rutherford B. Hayes	Rutherford B. Hayes
Rutherfordium	Rutherfordi
Rwanda	Rwanda
Rwanda	Category:Rwanda
Rye	Ngano nyekundu
S	S
Saddam Hussein	Saddam Hussein
Sahara	Sahara
Saint Kitts and Nevis	Saint Kitts na Nevis
Saint Lucia	Saint Lucia
Saint Lucia	Category:Saint Lucia
Saint Peter	Petro Mtakatifu
Saint Petersburg	Sankt Peterburg
Saint Vincent and the Grenadines	Saint Vincent na Grenadini
Saladin	Salah ad-Din
Samoa	Samoa
Samuel Beckett	Samuel Beckett
San Francisco	San Francisco
San Marino	San Marino
San Salvador	San Salvador
Sand	Mchanga
Sanskrit	Kisanskrit
Santiago	Santiago de Chile
Santo Domingo	Santo Domingo
Sappho	Sappho
Sarah Bernhardt	Sarah Bernhardt
Sarajevo	Sarayevo
Sardinia	Sardinia
Sari	Sari
Saturday	Jumamosi
Saturn	Zohali
Saturn (mythology)	Saturnus
Saudi Arabia	Saudia
Saul Bellow	Saul Bellow
Savanna	Savana
Scandinavia	Skandinavia
Scandinavia	Category:Skandinavia
Scandium	Skandi
Schutzstaffel	Schutzstaffel
Science	Sayansi
Science	Category:Sayansi
Scotland	Uskoti
Scotland	Category:Uskoti
Sculpture	Bombwe
Sea of Marmara	Bahari ya Marmara
Seattle	Seattle (mji)
Second	Sekunde
Second Vatican Council	Mtaguso wa pili wa Vatikani
Selenium	Seleni
Senegal	Senegal
Senegal	Category:Senegal
Seoul	Seoul
September	Septemba
September 11	11 Septemba
September 11	Shambulio la 11 Septemba 2001
September 17	17 Septemba
September 29	29 Septemba
Septuagint	septuaginta
Serbia	Serbia
Serbia	Category:Serbia
Sergei Rachmaninoff	Sergei Rachmaninoff
Seven Years' War	Vita ya Miaka Saba
Seville	Sevilla
Seychelles	Shelisheli
Shahadah	Shahada
Shanghai	Shanghai
Shinto	Shinto
Siberia	Siberia
Sichuan	Sichuan
Sicily	Sisilia
Sierra Leone	Sierra Leone
Sierra Leone	Category:Sierra Leone
Sigrid Undset	Sigrid Undset
Sikhism	Kalasinga
Silk	Hariri
Silk Road	Barabara ya hariri
Silver	Agenti (fedha)
Sinai Peninsula	Rasi ya Sinai
Sinclair Lewis	Sinclair Lewis
Singapore	Singapuri
Skagerrak	Skagerak
Skopje	Skopje
Slavery	Utumwa
Slovakia	Slovakia
Slovakia	Category:Slovakia
Slovenia	Slovenia
Slovenia	Category:Slovenia
Snow	Theluji
Socrates	Sokrates
Sodium	Natiri
Sofia	Sofia
Solar System	Mfumo wa jua na sayari zake
Solar eclipse	Kupatwa kwa jua
Solid	Mango
Solomon Islands	Visiwa vya Solomon
Somalia	Somalia
Somalia	Category:Somalia
Song	wimbo
Sophocles	Sophokles
South Africa	Category:Afrika Kusini
South America	Amerika ya Kusini
South America	Category:Amerika Kusini
South Carolina	South Carolina
South China Sea	Bahari ya Kusini ya China
South Korea	Korea Kusini
South Korea	Category:Korea ya Kusini
South Pole	Ncha ya kusini
South Vietnam	Vietnam Kusini
Southeast Asia	Asia ya Kusini-Mashariki
Soviet Union	Umoja wa Kisovyeti
Soybean	Soya
Spaghetti	Spaghetti
Spain	Hispania
Spain	Category:Hispania
Spanish people	Category:Watu wa Hispania
Spanish-American War	Vita ya Marekani dhidi Hispania
Speed of light	Kasi ya nuru
Square (geometry)	Mraba
Square metre	Mita ya mraba
Sri Lanka	Sri Lanka
Star	Nyota
Starch	Wanga
Steel	Chuma cha pua
Steven Spielberg	Steven Spielberg
Stockholm	Stockholm
Stork	Korongo (Ciconiidae)
Strait	Mlango wa bahari
Strait of Gibraltar	Mlango wa Gibraltar
Strait of Hormuz	Mlango wa Hormuz
Straits	Category:Milango ya Bahari
Stroke	Kiharusi
Strontium	Stronti
Sturmabteilung	Sturmabteilung
Stuttgart	Stuttgart
Submarine	Nyambizi
Sucre	Sucre
Sudan	Sudan
Sudan	Category:Sudan
Suez Canal	Mfereji wa Suez
Sugar	Sukari
Sulfur	Sulfuri
Sumer	Sumeri
Summer	Kipindi cha Kiangazi
Sun	Jua
Sunday	Jumapili
Suriname	Surinam
Suva	Suva
Svalbard	Svalbard
Swan	Bata-maji
Swaziland	Uswazi
Swaziland	Category:Uswazi
Sweden	Uswidi
Sweden	Category:Uswidi
Swiss people	Category:Watu wa Uswisi
Switzerland	Uswisi
Switzerland	Category:Uswisi
Sydney	Sydney
Synagogue	Sinagogi
Syracuse	Siracusa
Syria	Syria
Syria	Category:Syria
T	T
T. S. Eliot	T. S. Eliot
Taipei	Taipei
Taj Mahal	Taj Mahal
Tajikistan	Tajikistan
Tajikistan	Category:Tajikistan
Tallinn	Tallinn
Tampere	Tampere
Tantalum	Tantali
Tanzania	Tanzania
Tanzania	Category:Tanzania
Taoism	Utao
Tashkent	Tashkent
Tasmania	Tasmania
Tbilisi	Tbilisi
Tea	Chai
Technetium	Tekineti
Technology	Teknolojia
Technology	Category:Teknolojia
Tegucigalpa	Tegucigalpa
Tehran	Tehran
Telephone	Simu
Telescope	Darubini
Tellurium	Teluri
Ten Commandments	Amri Kumi
Tenzing Norgay	Tenzing Norgay
Terrorism	Ugaidi
Thailand	Uthai
Thallium	Tali
The Gambia	Gambia
The Gambia	Category:Gambia
The Hague	Den Haag
Theodor Mommsen	Theodor Mommsen
Theodore Roosevelt	Theodore Roosevelt
Theodosius I	Theodosius Mkuu
Theology	Category:Teolojia
Thirty Years' War	Vita ya miaka 30
Thomas Aquinas	Thomas Aquinas Mtakatifu
Thomas Jefferson	Thomas Jefferson
Thomas Mann	Thomas Mann
Thomas More	Thomas More
Thumb	Kidole gumba
Thursday	Alhamisi
Tigris	Hidekeli
Timbuktu	Timbuktu
Time	Wakati
Time	Category:Wakati
Timor	Timor
Timur	Timur
Tin	Stani
Tirana	Tirana
Titanium	Titani
Titus	Kaizari Titus
Tobacco	Tumbaku
Togo	Togo
Togo	Category:Togo
Tokyo	Tokyo
Tom and Jerry	Tom na Jerry
Tonga	Tonga
Toni Morrison	Toni Morrison
Tourism	Category:Usafiri
Tours	Tours
Tower	Mnara
Train	Treni
Trajan	Kaizari Traian
Treaty of Versailles	Mkataba wa Versailles
Triangle	Pembetatu
Trilogy	Trilogy
Trinidad and Tobago	Trinidad na Tobago
Trinidad and Tobago	Category:Trinidad
Tripoli	Tripoli (Libya)
Tsar	Tsar
Tsunami	Tsunami
Tuesday	Jumanne
Tunis	Tunis
Tunisia	Tunisia
Tunisia	Category:Tunisia
Turkey	Uturuki
Turkey	Category:Uturuki
Turkmenistan	Turkmenistan
Turkmenistan	Category:Turkmenistan
Tuscany	Toscana
Tuvalu	Tuvalu
U	U
UNESCO	UNESCO
Uganda	Uganda
Uganda	Category:Uganda
Ukraine	Ukraine
Ukraine	Category:Ukraine
Ulan Bator	Ulaanbaatar
Ulysses S. Grant	Ulysses S. Grant
Uncertainty principle	Kanuni ya Heisenberg ya Utovu wa Hakika
United Arab Emirates	Falme za Kiarabu
United Kingdom	Ufalme wa Muungano wa Britania na Eire ya Kaskazini
United Kingdom	Category:Uingereza
United Nations	Umoja wa Mataifa
United Nations	Category:Umoja wa Mataifa
United Nations Children's Fund	UNICEF
United States	Marekani
United States	Category:Marekani
United States Virgin Islands	Visiwa vya Virgin vya Marekani
United States dollar	Dola ya Marekani
Universe	Ulimwengu
Ununbium	Ununbi
Ununhexium	Ununheksi
Upsilon	Ipsilon
Ur	Ur
Uranium	Urani
Uranus	Uranus
Uruguay	Uruguay
Uruguay	Category:Uruguay
Uzbekistan	Uzbekistan
V	V
Vaduz	Vaduz
Valentine's Day	Siku ya wapendanao
Valletta	Valletta
Vanadium	Vanadi
Vanuatu	Vanuatu
Vatican City	Vatikani
Vegetable	Mboga za majani
Venezuela	Venezuela
Venezuela	Category:Venezuela
Venice	Venezia
Venus	Zuhura
Versailles	Versailles
Vespasian	Vespasian
Victor Hugo	Victor Hugo
Victoria	Victoria (Shelisheli)
Victoria Falls	Victoria Falls
Vienna	Vienna
Vientiane	Vientiane
Vietnam	Vietnam
Vietnam	Category:Vietnam
Vietnam War	Vita ya Vietnam
Viking	Waviking
Vilnius	Vilnius
Vincent van Gogh	Vincent van Gogh
Vincenzo Bellini	Vincenzo Bellini
Virgin Islands	Visiwa vya Virgin
Virginia	Virginia
Vistula	Vistula (mto)
Vladimir Lenin	Vladimir Lenin
Vladimir Nabokov	Vladimir Nabokov
Volcano	Volkeno
Volga River	Volga (mto)
Vowel	Vokali
W	W
Wales	Welisi
Walt Disney	Walt Disney
War	Vita
Warsaw	Warshawa
Washington	Washington DC
Washington	Washington
Washington (disambiguation)	Washington (maana)
Water	Maji
Weapon	Silaha
Weather	Hali ya hewa
Wednesday	Jumatano
Week	Juma
Wellington	Wellington
West Africa	Afrika ya Magharibi
West Germany	Shirikisho la Jamhuri ya Ujerumani
West Virginia	West Virginia
Western Roman Empire	Dola la Roma Magharibi
Western Sahara	Sahara ya Magharibi
Wheat	Ngano
Wiesbaden	Wiesbaden
Wilhelm Ostwald	Wilhelm Ostwald
William Butler Yeats	William Butler Yeats
William Faulkner	William Faulkner
William Golding	William Golding
William Henry Harrison	William Henry Harrison
William Shakespeare	William Shakespeare
William Shockley	William Shockley
William of Ockham	William wa Ockham
Windhoek	Windhoek
Wine	Divai
Winston Churchill	Winston Churchill
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Wolfgang Pauli	Wolfgang Pauli
Woman	Mwanamke
Wood	Ubao
Woodrow Wilson	Woodrow Wilson
World Bank	Benki ya Dunia
World Health Organization	Shirika la Afya Duniani
World War I	Vita Kuu ya Kwanza ya Dunia
World War II	Vita Kuu ya Pili ya Dunia
World war	Vita Kuu ya Dunia
X	X
Xenon	Xenoni
Y	Y
Yangon	Yangon
Yangtze River	Yangtze (mto)
Year	Mwaka
Years	Category:Miaka
Yemen	Yemen
Yemen	Category:Yemen
Yerevan	Yerevan
Yttrium	Ytri
Yugoslavia	Yugoslavia
Yugoslavia	Category:Yugoslavia
Yunnan	Yunnan
Yuri Gagarin	Yuri Gagarin
Z	Z
Zachary Taylor	Zachary Taylor
Zagreb	Zagreb
Zambezi	Zambezi (mto)
Zambia	Zambia
Zambia	Category:Zambia
Zanzibar	Jamhuri ya Watu wa Zanzibar
Zimbabwe	Zimbabwe
Zimbabwe	Category:Zimbabwe
Zinc	Zinki
Zirconium	Zirikoni
Zoo	Bustani ya wanyama
