English	Estonian
Charles Fourier	Charles Fourier
Charles Lindbergh	Charles Lindbergh
Charles Peirce	Charles Sanders Peirce
Charles de Gaulle	Charles de Gaulle
Charles the Bald	Charles II Paljaspea
Charleston	Charleston (Lääne-Virginia)
Charlie Chaplin	Charlie Chaplin
Charlie Parker	Charlie Parker
Charmed	Võluvägi
Charon (moon)	Charon (kaaslane)
Charon (mythology)	Charon
Chauvinism	Šovinism
Che Guevara	Che Guevara
Chechnya	Tšetšeeni Vabariik
Chechnya	Kategooria:Tšetšeenia
Cheese	Juust
Cheetah	Gepard
Chelyabinsk	Tšeljabinsk
Chemical bond	Keemiline side
Chemical compound	Keemiline ühend
Chemical element	Keemiline element
Chemical reaction	Keemiline reaktsioon
Chemistry	Keemia
Chemistry	Kategooria:Keemia
Chemnitz	Chemnitz
Chennai	Chennai
Chernobyl	Tšornobõl
Chert	Ränikivi
Chess	Male
Chess	Kategooria:Male
Chester A. Arthur	Chester A. Arthur
Chewing gum	Närimiskumm
Cheyenne	Cheyenne
Chiang Kai-shek	Jiang Jieshi
Chicago	Chicago
Chicken	Kana
Chihuahua	Chihuahua osariik
Child	Laps
Chile	Tšiili
Chile	Kategooria:Tšiili
Chimera (mythology)	Kimäär
Chimpanzee	Šimpans (perekond)
China	Kategooria:Hiina
China	Hiina#Hiina Rahvavabariik
Chios	Chíos
Chiron	Cheiron
Chlorine	Kloor
Chlorophyll	Klorofüll
Chloroplast	Kloroplast
Chocolate	Šokolaad
Choir	Koorilaul
Cholera	Koolera
Cholesterol	Kolesterool
Chondrichthyes	Kõhrkalad
Chongqing	Chongqing
Chord (music)	Akord
Chordate	Keelikloomad
Christiaan Huygens	Christiaan Huygens
Christianity	Kristlus
Christianity	Kategooria:Kristlus
Christmas	Jõulud
Christopher Columbus	Christoph Kolumbus
Christopher Marlowe	Christopher Marlowe
Chromatin	Kromatiin
Chromium	Kroom
Chromosome	Kromosoom
Chuck Berry	Chuck Berry
Chukchi Sea	Tšuktši meri
Church (building)	Kirik (pühakoda)
Church of England	Anglikaani kirik
Cicero	Cicero
Cinnabar	Kinaver
Cinnamon	Tseiloni kaneelipuu
Circle	Ringjoon
Circumcision	Ümberlõikamine
Citizenship	Kodanik
Citric acid	Sidrunhape
Citrus	Tsitrus
City-state	Linnriik
Civilization	Tsivilisatsioon
Clarinet	Klarnet
Class (biology)	Klass (bioloogia)
Classical music	Klassikaline muusika
Classicism	Klassitsism
Claude Monet	Claude Monet
Claudio Monteverdi	Claudio Monteverdi
Claudius	Claudius
Clavicle	Rangluu
Clay	Savi
Clef	Noodivõti
Cleveland	Cleveland
Climate	Kliima
Climate change	Kliimamuutus
Climatology	Klimatoloogia
Climatology	Kategooria:Klimatoloogia
Clinical depression	Depressioon
Clock Tower	Big Ben
Clothing	Kategooria:Riietus
Cloud	Pilv
Clovis I	Chlodowech I
Cnidaria	Ainuõõssed
Coal	Kivisüsi
Coast	Rannik
Coat of arms	Vapp
Cobalt	Koobalt
Cocaine	Kokaiin
Coccinellidae	Lepatriinulased
Cockroach	Prussakalised
Coconut	Kookospalm
Cocos (Keeling) Islands	Kookossaared
Coffee	Kohv
Cognac (drink)	Konjak
Cognitive science	Tunnetusteadus
Coin	Münt
Cold War	Külm sõda
Colin Powell	Colin Powell
Collage	Kollaaž
Cologne	Köln
Colombia	Colombia
Colombia	Kategooria:Colombia
Colombo	Colombo
Colonel	Kolonel
Colony	Koloonia
Color	Värvus
Color blindness	Värvipimedus
Colorado	Colorado
Colorado	Kategooria:Colorado
Colorado River	Colorado jõgi
Colosseum	Colosseum
Colossus of Rhodes	Rhodose koloss
Columbia	Columbia
Coma	Kooma
Combustion	Põlemine
Comedy	Komöödia
Comenius	Jan Amos Komenský
Comet	Komeet
Commonwealth of Independent States	SRÜ
Commonwealth of Nations	Rahvaste Ühendus
Communication	Kommunikatsioon
Communism	Kommunism
Communism	Kategooria:Kommunism
Comoros	Komoorid
Compact Disc	CD (andmekandja)
Company (military unit)	Kompanii
Compass	Kompass
Compass (drafting)	Sirkel
Competition	Konkurents
Compiler	Kompilaator
Complex number	Kompleksarv
Composer	Helilooja
Computational linguistics	Arvutilingvistika
Computer	Arvuti
Computer file	Fail
Computer hardware	Riistvara
Computer network	Arvutivõrk
Computer program	Arvutiprogramm
Computer programming	Programmeerimine
Computer science	Informaatika
Computer science	Kategooria:Informaatika
Computer software	Tarkvara
Computer virus	Arvutiviirus
Computer-aided design	CAD
Conakry	Conakry
Concentration	Kontsentratsioon
Concord	Concord
Concrete	Betoon
Cone (geometry)	Koonus
Confederate States of America	Ameerika Riikide Konföderatsioon
Confederation	Konföderatsioon
Confirmation	Leer
Confucianism	Konfutsianism
Confucius	Kong Fuzi
Congo	Kongo
Congo River	Kongo jõgi
Connecticut	Connecticut
Connecticut	Kategooria:Connecticut
Consensus	Konsensus
Conservation of energy	Energia jäävuse seadus
Conservatism	Konservatism
Constantine I	Constantinus Suur
Constantinople	Konstantinoopol
Constellation	Tähtkuju
Constitution (political)	Põhiseadus
Consul	Konsul (Vana-Rooma)
Continent	Maailmajagu
Continental drift	Mandrite triiv
Continental shelf	Mandrilava
Contract	Leping
Contract bridge	Bridž
Copenhagen	Kopenhaagen
Copper	Vask
Copyright	Autoriõigus
Cor anglais	Inglissarv
Coral	Korallid
Coral Sea	Korallimeri
Coral reef	Korallrahu
Coriander	Aedkoriander
Coriolis effect	Coriolisi efekt
Cork (city)	Cork
Cornwall	Cornwall
Corporation	Ettevõte
Corsica	Korsika
Corundum	Korund
Corvette	Korvett
Cosmic ray	Kosmiline kiirgus
Cosmology	Kosmoloogia
Costa Rica	Costa Rica
Costa Rica	Kategooria:Costa Rica
Cotonou	Cotonou
Cotopaxi	Cotopaxi
Coulomb's law	Coulombi seadus
Counterpoint	Kontrapunkt
Country music	Kantrimuusika
Court	Kohus
Covalent bond	Kovalentne side
Crab	Krabilised
Cremona	Cremona
Cretaceous	Kriit (ajastu)
Crete	Kreeta
Cricket	Kriket
Crime	Kuritegu
Crimea	Krimm
Croatia	Horvaatia
Croatia	Kategooria:Horvaatia
Cronus	Kronos
Cross	Rist
Cruiser	Ristleja
Crust (geology)	Maakoor
Crustacean	Vähilaadsed
Crux	Lõunarist
Cryptography	Krüptograafia
Crystal	Kristall
Crystallography	Kristallograafia
Crystallography	Kategooria:Kristallograafia
Ctenophore	Kammloomad
Cuba	Kuuba
Cuba	Kategooria:Kuuba
Cube	Kuup
Cubism	Kubism
Culture	Kultuur
Culture	Kategooria:Kultuur
Cumbria	Cumbria
Curitiba	Curitiba
Curium	Kuurium
Curling	Jääkeegel
Currency	Valuuta
Cyanobacteria	Sinivetikad
Cybernetics	Küberneetika
Cyberpunk	Küberpunk
Cyclades	Küklaadid
Cycling	Jalgrattasõit
Cycling	Kategooria:Jalgrattasport
Cyclone	Tsüklon
Cyclops	Kükloobid
Cyperaceae	Lõikheinalised
Cyprus	Küpros
Cyprus	Kategooria:Küpros
Cyrillic alphabet	Kirillitsa
Cystic fibrosis	Tsüstiline fibroos
Cytoplasm	Tsütoplasma
Czech Republic	Tšehhi
Czech Republic	Kategooria:Tšehhi
Czechoslovakia	Tšehhoslovakkia
D	D
D. H. Lawrence	David Herbert Lawrence
DNA	Desoksüribonukleiinhape
DVD	DVD
Dachshund	Taks
Dada	Dadaism
Dagger	Pistoda
Dakar	Dakar
Dalai Lama	Dalai-laama
Dallas	Dallas
Damascus	Damaskus
Dance	Tants
Dance	Kategooria:Tants
Dandelion	Võilill
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
Daniel Ortega	Daniel Ortega
Danish krone	Taani kroon
Dante Alighieri	Dante Alighieri
Danube	Doonau
Dar es Salaam	Dar es Salaam
Dardanelles	Dardanellid
Darmstadtium	Darmstadtium
Darwin	Darwin (Austraalia)
Darwin	Darwin
Database	Andmebaas
Daugavpils	Daugavpils
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
David Ricardo	David Ricardo
Davis Cup	Davis Cup
Day	Ööpäev
De facto	De facto
Dead Sea	Surnumeri
Death	Surm
Decade	Aastakümned
December	Detsember
December 31	31. detsember
December 8	8. detsember
Decibel	Detsibell
Decius (emperor)	Decius
Declination	Kääne (astronoomia)
Deco	Deco
Deductive reasoning	Deduktsioon
Definition	Definitsioon
Deflation	Deflatsioon
Deism	Deism
Delaware	Delaware
Delaware	Kategooria:Delaware
Delphi	Delfi
Demagogy	Demagoogia
Dementia	Dementsus
Demeter	Demeter
Democracy	Demokraatia
Democratic Party (United States)	Demokraatlik Partei (USA)
Democratic Republic of the Congo	Kongo Demokraatlik Vabariik
Democritus	Demokritos
Demography	Demograafia
Demography	Kategooria:Demograafia
Demon	Deemon
Demosthenes	Demosthenes
Denis Diderot	Denis Diderot
Denmark	Taani
Denmark	Kategooria:Taani
Density	Tihedus
Denver	Denver
Derivative	Tuletis (matemaatika)
Dermatology	Dermatoloogia
Des Moines	Des Moines
Desert	Kõrb
Deserts	Kategooria:Kõrbed
Desiderius Erasmus	Erasmus Rotterdamist
Destroyer	Hävitaja
Determinant	Determinant
Determinism	Determinism
Detroit	Detroit
Deuterium	Deuteerium
Developmental psychology	Arengupsühholoogia
Devon	Devoni krahvkond
Devonian	Devon
Dew	Kaste (meteoroloogia)
Dhaka	Dhaka
Dharma	Dharma
Dhaulagiri	Dhaulagiri
Diabetes mellitus	Suhkurtõbi
Dialect	Murre
Dialectic	Dialektika
Diameter	Diameeter
Diamond	Teemant
Diana	Diana Frances Mountbatten-Windsor
Diana (mythology)	Diana
Diatom	Ränivetikad
Dictatorship	Diktatuur
Diego Rivera	Diego Rivera
Differential equation	Diferentsiaalvõrrand
Digital photography	Digitaalfotograafia
Dijon	Dijon
Dimension	Mõõde
Dingo	Dingo
Dinosaur	Dinosaurused
Diocletian	Diocletianus
Diode	Diood
Dionysus	Dionysos
Diphtheria	Difteeria
Diplomacy	Diplomaatia
Diplomacy	Kategooria:Diplomaatia
Dire Straits	Dire Straits
Direct current	Alalisvool
Disaccharide	Disahhariidid
Disambiguation	Kategooria:Täpsustusleheküljed
Discourse	Diskursus
Disease	Haigus
Division (military)	Diviis
Dizzy Gillespie	Dizzy Gillespie
Djibouti	Kategooria:Djibouti
Djibouti (city)	Djibouti (linn)
Dmitri Mendeleev	Dmitri Mendelejev
Dmitri Shostakovich	Dmitri Šostakovitš
Dnieper River	Dnepr
Dnipropetrovsk	Dnipropetrovsk
Doberman Pinscher	Dobermann
Doctor of the Church	Kiriku doktor
Document	Dokument
Dodecahedron	Korrapärane dodekaeeder
Dodo	Dodo
Dodoma	Dodoma
Dog	Koer
Dogma	Dogma
Doha	Ad-Dawḩah
Dollar	Dollar
Dolmen	Dolmen
Dolomite	Dolomiit
Domain (biology)	Domeen (bioloogia)
Dominica	Dominica
Dominica	Kategooria:Dominica
Dominican Order	Dominiiklased
Dominican Republic	Dominikaani Vabariik
Dominican Republic	Kategooria:Dominikaani Vabariik
Domitian	Domitianus
Don River (Russia)	Don
Donald Duck	Piilupart Donald
Donato Bramante	Donato Bramante
Donetsk	Donetsk
Dopamine	Dopamiin
Doppler effect	Doppleri efekt
Doric order	Dooria stiil
Doris Lessing	Doris Lessing
Dortmund	Dortmund
Douala	Douala
Double bass	Kontrabass
Douglas MacArthur	Douglas MacArthur
Dover	Dover (Delaware)
Dover	Dover
Down syndrome	Downi sündroom
Drainage basin	Valgla
Draughts	Kabe
Dream	Unenägu
Dresden	Dresden
Drug addiction	Sõltuvus (narkoloogia)
Drum	Trumm
Dualism	Dualism
Dualism (philosophy of mind)	Keha ja vaimu dualism
Dubai	Dubai emiraat
Dublin	Dublin
Dubnium	Dubnium
Dubrovnik	Dubrovnik
Duke	Hertsog
Duke Ellington	Duke Ellington
Duke University	Duke'i ülikool
Dune	Luide
Dushanbe	Dušanbe
Dutch people	Kategooria:Hollandi inimesed
Dwight D. Eisenhower	Dwight Eisenhower
Dynamics (physics)	Dünaamika
Dysprosium	Düsproosium
Dystopia	Düstoopia
E (mathematical constant)	E (arv)
E-mail	E-kiri
E. T. A. Hoffmann	E. T. A. Hoffmann
ETA	Euskadi ta Askatasuna
Eagle	Kotkad
Ear	Kõrv
Earless seal	Hülglased
Earth	Maa (planeet)
Earth science	Maateadus
Earthquake	Maavärin
East	Ida
East Africa	Ida-Aafrika
East China Sea	Ida-Hiina meri
East Germany	Saksa Demokraatlik Vabariik
East Sussex	Ida-Sussex
East Timor	Ida-Timor
East Timor	Kategooria:Ida-Timor
Eastern Orthodox Church	Õigeusk
Ebro	Ebro
Echidna (mythology)	Echidna
Echinoderm	Okasnahksed
Eclipse	Päikesevarjutus
Ecliptic	Ekliptika
Ecological niche	Ökoloogiline nišš
Ecology	Ökoloogia
Econometrics	Ökonomeetria
Economics	Majandusteadus
Economics	Kategooria:Majandusteadus
Economy	Majandusteadus
Ecosystem	Ökosüsteem
Ecuador	Ecuador
Ecuador	Kategooria:Ecuador
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edinburgh	Edinburgh
Edmond Halley	Edmond Halley
Edmonton	Edmonton
Edmund Hillary	Edmund Hillary
Edmund Husserl	Edmund Husserl
Edo	Edo
Education	Haridus
Education	Kategooria:Haridus
Edvard Grieg	Edvard Grieg
Edvard Munch	Edvard Munch
Edward Gibbon	Edward Gibbon
Edward Jenner	Edward Jenner
Edward the Confessor	Edward Usutunnistaja
Edwin Hubble	Edwin Powell Hubble
Eel	Angerjalised
Egypt	Egiptus
Egypt	Kategooria:Egiptus
Egyptian pound	Egiptuse nael
Egyptology	Egüptoloogia
Eiffel Tower	Eiffeli torn
Einsteinium	Einsteinium
El Cid	Rodrigo Díaz de Vivar
El Paso	El Paso
El Salvador	El Salvador
El Salvador	Kategooria:El Salvador
Elbe	Elbe
Eleanor Roosevelt	Eleanor Roosevelt
Election	Valimised
Electric charge	Elektrilaeng
Electric current	Elektrivool
Electric field	Elektriväli
Electric motor	Elektrimootor
Electrical engineering	Kategooria:Elektrotehnika
Electrical engineering	Elektrotehnika
Electrical resistance	Elektritakistus
Electricity	Elekter
Electrocardiogram	Elektrokardiogramm
Electrochemistry	Elektrokeemia
Electrolysis	Elektrolüüs
Electrolyte	Elektrolüüt
Electromagnetic radiation	Elektromagnetlaine
Electromagnetism	Elektromagnetism
Electron	Elektron
Electronics	Elektroonika
Element	Element
Elias Canetti	Elias Canetti
Elizabeth Taylor	Elizabeth Taylor
Ella Fitzgerald	Ella Fitzgerald
Ellipse	Ellips (geomeetria)
Elvis Presley	Elvis Presley
Embryo	Embrüo
Embryology	Embrüoloogia
Emerald	Smaragd
Emilia-Romagna	Emilia Romagna
Emily Dickinson	Emily Dickinson
Emma Goldman	Emma Goldman
Emoticon	Emotikon
Emotion	Emotsioon
Empathy	Empaatia
Empedocles	Empedokles
Emperor	Keiser
Emperor Penguin	Keiserpingviin
Empire State Building	Empire State Building
Emulator	Emulaator
Emulsion	Emulsioon
Encyclopedia	Entsüklopeedia
Endemism	Endeemne liik
Energy	Energia
Energy (society)	Energia
England	Inglismaa
English Channel	La Manche
English language	Inglise keel
Enrico Fermi	Enrico Fermi
Entertainment	Kategooria:Meelelahutus
Entomology	Entomoloogia
Entropy	Entroopia
Environment	Kategooria:Looduskaitse
Environment	Keskkond
Enzyme	Ensüüm
Eocene	Eotseen
Eon (geology)	Eoon (geoloogia)
Epicenter	Epitsenter
Epilepsy	Epilepsia
Epinephrine	Adrenaliin
Epistemology	Epistemoloogia
Epistle to the Romans	Pauluse kiri roomlastele
Equation	Võrrand
Equator	Ekvaator
Equatorial Guinea	Ekvatoriaal-Guinea
Equidae	Hobuslased
Equinox	Võrdpäevsus
Erasure	Erasure
Erato	Erato
Eratosthenes	Eratosthenes
Erbium	Erbium
Erebus	Erebos
Ericaceae	Kanarbikulised
Ericales	Kanarbikulaadsed
Eridanus (constellation)	Eriidanus
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Erik Satie	Erik Satie
Eris (dwarf planet)	136199 Eris
Eris (mythology)	Eris
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Erosion	Erosioon
Erotica	Erootika
Erwin Rommel	Erwin Rommel
Escape velocity	Paokiirus
Eschatology	Eshatoloogia
Escherichia coli	Soolekepike
Esophagus	Söögitoru
Esperanto	Esperanto
Espoo	Espoo
Espresso	Espresso
Essay	Essee
Essen	Essen
Essex	Essex
Ester	Estrid
Estonia	Kategooria:Eesti
Estrogen	Östrogeenid
Etching	Ofort
Ethane	Etaan
Ethanol	Etanool
Ether	Eetrid
Ethernet	Ethernet
Ethics	Eetika
Ethics	Kategooria:Eetika
Ethiopia	Etioopia
Ethiopia	Kategooria:Etioopia
Ethnic group	Etnos
Ethnography	Etnograafia
Ethology	Etoloogia
Ethylene	Etüleen
Etymology	Etümoloogia
Eucharist	Armulaua sakrament
Euclidean geometry	Eukleidese geomeetria
Eugene O'Neill	Eugene O'Neill
Eukaryote	Eukarüoodid
Eunuch	Eunuhh
Euphrates	Eufrat
Eurasia	Euraasia
Eurasian Badger	Mäger
Euro	Euro
Europa (moon)	Europa
Europa (mythology)	Europe
Europe	Euroopa
Europe	Kategooria:Euroopa
European Central Bank	Euroopa Keskpank
European Magpie	Harakas
European Union	Euroopa Liit
European Union	Kategooria:Euroopa Liit
Europium	Euroopium
Euthanasia	Eutanaasia
Eva Braun	Eva Braun
Evanescence	Evanescence
Evaporation	Aurumine
Evolution	Evolutsioon
Exclamation mark	Hüüumärk
Excommunication	Ekskommunikatsioon
Executive (government)	Täidesaatev võim
Exhibitionism	Ekshibitsionism
Existentialism	Eksistentsialism
Exodus	Teine Moosese raamat
Experiment	Eksperiment
Exponentiation	Astendamine
Expressionism	Ekspressionism
Extinction	Väljasuremine
Eye	Silm
Eye	Kategooria:Silm
Ezra Pound	Ezra Pound
Fabaceae	Liblikõielised
Fable	Valm
Fact	Mall:Lisa viide
Factorial	Faktoriaal
Facula	Päikeseplekk
Fado	Fado
Fagales	Pöögilaadsed
Fahrenheit	Fahrenheiti skaala
Fairy tale	Muinasjutt
Falkland Islands	Falklandi saared
Family (biology)	Sugukond (bioloogia)
Family history	Genealoogia
Fantasy	Imeulme
Far East	Kaug-Ida
Farad	Farad
Fascism	Fašism
Fascism	Kategooria:Fašism
Fashion	Kategooria:Mood
Fashion	Mood
Fasting	Paast
Fault (geology)	Murrang
Fauna	Loomastik
Fauvism	Fovism
Fear	Hirm
February	Veebruar
February 12	12. veebruar
February 14	14. veebruar
February 2	2. veebruar
February 22	22. veebruar
February 29	29. veebruar
February Revolution	Veebruarirevolutsioon
Federal Bureau of Investigation	FBI
Federal Reserve System	Föderaalreserv
Federated States of Micronesia	Mikroneesia Liiduriigid
Federation	Föderatsioon
Federico Fellini	Federico Fellini
Feldspar	Päevakivi
Felidae	Kaslased
Felix Mendelssohn	Felix Mendelssohn-Bartholdy
Feminism	Feminism
Feminism	Kategooria:Feminism
Fencing	Vehklemine
Feng shui	Feng shui
Fenrir	Fenrir
Ferdinand II	Ferdinand II (Saksa-Rooma keiser)
Ferdinand Magellan	Fernão de Magalhães
Ferdinand de Saussure	Ferdinand de Saussure
Fermentation (biochemistry)	Anaeroobne glükolüüs
Fermentation (food)	Anaeroobne glükolüüs
Fermion	Fermionid
Fermium	Fermium
Fern	Sõnajalgtaimed
Ferrara	Ferrara
Fertilizer	Väetis
Feudalism	Feodalism
Fibonacci number	Fibonacci jada
Fidel Castro	Fidel Castro
Field (mathematics)	Korpus (matemaatika)
Field hockey	Maahoki
Fighter aircraft	Hävituslennuk
Figure skating	Iluuisutamine
Fiji	Fidži
Fiji	Kategooria:Fidži
File system	Failisüsteem
Filippo Brunelleschi	Filippo Brunelleschi
Film	Kategooria:Filmikunst
Film	Filmikunst
Fin Whale	Heeringavaal
Finland	Soome
Finland	Kategooria:Soome
Fire	Põlemine
Firewall (networking)	Tulemüür (informaatika)
First Council of Constantinople	I Konstantinoopoli kirikukogu
First Council of Nicaea	I Nikaia kirikukogu
First Crusade	Esimene ristisõda
Fish	Kalad
Fish	Kategooria:Kalad
Fjord	Fjord
Flag	Lipp
Flagellum	Vibur
Flamenco	Flamenko
Flamingo	Flamingo (perekond)
Flatworm	Lameussid
Flea	Kirbulised
Floppy disk	Diskett
Florence	Firenze
Florence Nightingale	Florence Nightingale
Florida	Florida
Florida	Kategooria:Florida
Flour	Jahu
Flower	Õis
Flowering plant	Katteseemnetaimed
Fluorite	Fluoriit
Flute	Flööt
Fly	Kahetiivalised
Fog	Udu
Folic acid	Foolhape
Folklore	Rahvaluule
Food	Toit
Food additive	Toidulisaained
Food chain	Toitumisahel
Foot (unit of length)	Jalg (pikkusühik)
Football (soccer)	Jalgpall
Football (soccer)	Kategooria:Jalgpall
Football (soccer) by country	Kategooria:Jalgpall riigiti
Football (soccer) clubs	Kategooria:Jalgpalliklubid
Football (soccer) players	Kategooria:Jalgpallurid
Forbidden City	Keelatud linn
Force	Jõud (füüsika)
Forest	Mets
Forestry	Metsandus
Formaldehyde	Formaldehüüd
Formic acid	Metaanhape
Fornax	Ahi (tähtkuju)
Fort Worth	Fort Worth
Fossil	Kivistis
Fossil fuel	Fossiilne kütus
Fourth Crusade	Neljas ristisõda
France	Prantsusmaa
France	Kategooria:Prantsusmaa
Francis Bacon	Francis Bacon
Francis Drake	Francis Drake
Francis II	Franz II Joseph Karl (Saksa-Rooma keiser)
Francis Poulenc	Francis Poulenc
Francis of Assisi	Franciscus Assisist
Franciscan	Frantsisklased
Francisco Franco	Francisco Franco
Francisco Goya	Francisco Goya
Francium	Frantsium
Frank Sinatra	Frank Sinatra
Frankfort	Frankfort
Frankfurt	Frankfurt
Frankfurt	Kategooria:Frankfurt
Frankfurt (Oder)	Frankfurt Oderi ääres
Franklin Pierce	Franklin Pierce
Franz Kafka	Franz Kafka
Franz Liszt	Ferenc Liszt
Franz Schubert	Franz Schubert
Frederick I	Friedrich I Barbarossa
Frederick II	Friedrich II (Saksa-Rooma keiser)
Free State	Free State
Free will	Vaba tahe
Freedom (philosophy)	Vabadus
Freedom of speech	Sõnavabadus
Freemasonry	Vabamüürlus
Freetown	Freetown
Freeware	Vabavara
French Polynesia	Prantsuse Polüneesia
French Polynesia	Kategooria:Prantsuse Polüneesia
French Revolution	Suur Prantsuse revolutsioon
French franc	Prantsuse frank
French people	Kategooria:Prantsusmaa inimesed
Frequency	Sagedus
Fresco	Fresko
Freshwater	Magevesi
Freyja	Freya
Freyr	Freyr
Friction	Hõõrdumine
Friday	Reede
Fridtjof Nansen	Fridtjof Nansen
Friedrich Engels	Friedrich Engels
Friesland	Friisimaa provints
Frigg	Frigg
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Frog	Päriskonnalised
Fructose	Fruktoos
Fruit	Vili
Fucking	Fucking
Fugue	Fuuga
Fukuoka	Fukuoka
Funafuti	Funafuti
Function (mathematics)	Funktsioon (matemaatika)
Fundamentalism	Fundamentalism
Fungi	Kategooria:Seened
Fungus	Seened
Funk	Funk
Furniture	Mööbel
Futurism (art)	Futurism
Fuzzy logic	Hägusloogika
Fyodor Dostoevsky	Fjodor Dostojevski
GIMP	GIMP
GNOME	GNOME
GNU	GNU
Gabon	Gabon
Gabon	Kategooria:Gabon
Gaborone	Gaborone
Gabriel	Gabriel
Gadolinium	Gadoliinium
Gaetano Donizetti	Gaetano Donizetti
Gaia (mythology)	Gaia
Galatia	Galaatia
Galaxy	Galaktika
Galen	Galenos
Galena	Galeniit
Galicia (Central Europe)	Galiitsia
Galicia (Spain)	Galicia
Galilee	Galilea
Galileo Galilei	Galileo Galilei
Galley	Galeer
Gallium	Gallium
Gambling	Hasartmäng
Game	Mäng
Gamma ray	Gammakiirgus
Ganges	Ganges
Ganja	Gəncə
Gansu	Gansu
Ganymede	Ganymedes
Garden	Aed
Garden of Eden	Eedeni aed
Gardening	Aiandus
Garlic	Küüslauk
Garnet	Granaadid
Garonne	Garonne
Gas	Gaas
Gas constant	Universaalne gaasikonstant
Gasoline	Bensiin
Gastropoda	Teod
Gaul	Gallia
Gautama Buddha	Siddhārtha Gautama
Gay	Gei
Gaza Strip	Gaza tsoon
Gear	Hammasratas
Geb	Geb
Geisha	Geiša
Gemini (constellation)	Kaksikud (tähtkuju)
Gemstone	Vääriskivi
Gene	Geen
Genealogy	Genealoogia
Genealogy	Kategooria:Genealoogia
General Agreement on Tariffs and Trade	Üldine Tolli- ja Kaubanduskokkulepe
General Officer	Kindral
General relativity	Üldrelatiivsusteooria
Genesis	Esimene Moosese raamat
Genetic code	Geneetiline kood
Genetics	Geneetika
Genetics	Kategooria:Geneetika
Geneva	Genf
Genoa	Genova
Genocide	Genotsiid
Genome	Genoom
Genotype	Genotüüp
Genus	Perekond (bioloogia)
Geochemistry	Geokeemia
Geodesy	Geodeesia
Geography	Geograafia
Geography	Kategooria:Geograafia
Geography	Portaal:Geograafia
Geology	Kategooria:Geoloogia
Geology	Geoloogia
Geometry	Geomeetria
Geometry	Kategooria:Geomeetria
Geomorphology	Geomorfoloogia
Geomorphology	Kategooria:Geomorfoloogia
Geophysics	Geofüüsika
Geophysics	Kategooria:Geofüüsika
Geopolitics	Geopoliitika
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Berkeley	George Berkeley
George Bernard Shaw	George Bernard Shaw
George Boole	George Boole
George Bush	George Bush
George Frideric Handel	Georg Friedrich Händel
George Gershwin	George Gershwin
George Harrison	George Harrison
George Lucas	George Lucas
George Marshall	George Marshall
George Orwell	George Orwell
George Stephenson	George Stephenson
George W. Bush	George W. Bush
George Washington	George Washington
Georges Bizet	Georges Bizet
Georges Braque	Georges Braque
Georgia (U.S. state)	Georgia
Georgia (U.S. state)	Kategooria:Georgia
Georgia (country)	Gruusia
Georgia (country)	Kategooria:Gruusia
Gerald Ford	Gerald Ford
German Shepherd Dog	Saksa lambakoer
German language	Saksa keel
German mark	Saksa mark
Germanium	Germaanium
Germany	Saksamaa
Germany	Kategooria:Saksamaa
Gestapo	Gestapo
Geyser	Geiser
Ghana	Ghana
Ghana	Kategooria:Ghana
Ghent	Gent
Ghetto	Geto
Giacomo Puccini	Giacomo Puccini
Gibraltar	Gibraltar
Gilgamesh	Gilgameš
Ginkgo	Hõlmikpuu
Giorgio Vasari	Giorgio Vasari
Giotto di Bondone	Giotto di Bondone
Giovanni Boccaccio	Giovanni Boccaccio
Giraffe	Kaelkirjak
Girolamo Savonarola	Girolamo Savonarola
Giuseppe Garibaldi	Giuseppe Garibaldi
Giuseppe Verdi	Giuseppe Verdi
Giza	Giza
Glacier	Liustik
Gladiator	Gladiaator
Glasgow	Glasgow
Glasnost	Glasnost
Glass	Klaas
Global Positioning System	GPS
Global warming	Globaalne soojenemine
Globalization	Globaliseerumine
Gloucestershire	Gloucestershire
Glucose	Glükoos
Glycerol	Glütserool
Glycolysis	Glükolüüs
Gneiss	Gneiss
Gnosticism	Gnostitsism
Go (board game)	Go
Goa	Goa osariik
Gobi Desert	Gobi
God	Jumal
Golan Heights	Golani kõrgendikud
Gold	Kuld
Golda Meir	Golda Meir
Golden Eagle	Kaljukotkas
Golden Horde	Kuldhord
Golf	Golf
Golf	Kategooria:Golf
Gomel	Homiel
Google	Google
Gorgon	Gorgod
Gospel	Evangeelium
Gospel of Luke	Luuka evangeelium
Grace Kelly	Grace Kelly
Gradient	Gradient
Graffiti	Grafiti
Graham Greene	Graham Greene
Gram	Gramm
Grammar	Grammatika
Grand Slam (tennis)	Suure slämmi turniirid
Granite	Graniit
Grapefruit	Greibipuu
Graphical user interface	GUI
Graphite	Grafiit
Gravitation	Gravitatsioon
Gravitational constant	Gravitatsioonikonstant
Gray (unit)	Grei
Gray Wolf	Hunt
Graz	Graz
