English	Galician
Homophobia	Homofobia
Homosexuality	Homosexualidade
Honduras	Honduras
Honduras	Categoría:Honduras
Honey	Mel
Honey Buzzard	Miñato abelleiro
Hong Kong	Hong Kong - 香港
Honolulu	Honolulu
Hoopoe	Bubela
Horace	Horacio
Horizon	Horizonte (xeografía)
Horn (instrument)	Trompa
Horse	Cabalo
Hosni Mubarak	Hosni Mubarak
Hotel	Hotel
Hour	Hora
House	Casa
House (TV series)	House, M.D.
House Sparrow	Gorrión
Houston	Houston, Texas
Howard Carter (archaeologist)	Howard Carter
Hudson Bay	Baía de Hudson
Hudson River	Río Hudson
Human	Ser humano
Humanism	Humanismo
Humidity	Humidade
Humour	Humor
Humphrey Bogart	Humphrey Bogart
Hungary	Hungría - Magyarország
Hungary	Categoría:Hungría
Hunger	Fame
Hunting	Cinexética
Hutu	Hutu
Hyderabad	Hyderabad, India
Hydra (constellation)	Hydra (constelación)
Hydrocarbon	Hidrocarburo
Hydrochloric acid	Ácido clorhídrico
Hydroelectricity	Enerxía hidráulica
Hydrogen	Hidróxeno
Hydrogen bond	Enlace de hidróxeno
Hydrogen cyanide	Cianuro de hidróxeno
Hydrogen peroxide	Peróxido de hidrógeno
Hydrosphere	Hidrosfera
Hydrus	Hydrus
Hyena	Hiena
Hymn	Himno
Hyperbole	Hipérbole
Hypertext	Hipertexto
Hypertext Transfer Protocol	HTTP
Hypothesis	Hipótese
I	I
I. M. Pei	Ieoh Ming Pei
Iapetus (moon)	Iapeto (satélite)
Iberian Peninsula	Península Ibérica
Ice	Xeo
Iceberg	Iceberg
Iceland	Islandia - Ísland
Iceland	Categoría:Islandia
Ichthyology	Ictioloxía
Iconoclasm	Iconoclasta
Idaho	Idaho
Ideology	Ideoloxía
Ido	Ido
Ignatius of Loyola	Ignacio de Loyola
Igneous rock	Rocha magmática
Iguazu Falls	Cataratas do Iguazú
Iliad	A Ilíada
Illinois	Illinois
Image scanner	Escáner
Immanuel Kant	Immanuel Kant
Immune system	Sistema inmunitario
Immunology	Inmunoloxía
Imperialism	Imperialismo
Impressionism	Impresionismo
Incest	Incesto
Inclined plane	Plano inclinado
Independence	Independencia
India	India - भारत
India	Categoría:India
Indian Ocean	Océano Índico
Indiana	Indiana
Indianapolis	Indianapolis
Indira Gandhi	Indira Gandhi
Indium	Indio
Indonesia	Indonesia
Indonesia	Categoría:Indonesia
Indulgence	Indulxencia
Indus (constellation)	Indus
Indus River	Río Indo
Industrial Revolution	Revolución Industrial
Industry	Industria
Inequality	Inecuación
Infinity	Infinito
Inflation	Inflación
Information	Información
Information technology	Tecnoloxías da información
Information theory	Teoría da información
Infrared	Radiación infravermella
Ingmar Bergman	Ingmar Bergman
Innsbruck	Innsbruck
Inorganic chemistry	Química inorgánica
Inquisition	Inquisición
Insect	Insecto
Insectivora	Insectívoro
Insulin	Insulina
Integer	Número enteiro
Integral	Integral
Intelligence	Intelixencia
Intelligence quotient	Cociente intelectual
Interference	Interferencia
Interjection	Interxección
Interlingua	Interlingua (lingua artificial)
International Civil Aviation Organization	Organización de Aviación Civil Internacional
International Date Line	Liña internacional de cambio de data
International Labour Organization	Organización Internacional do Traballo
International Monetary Fund	Fondo Monetario Internacional
International System of Units	Sistema Internacional de Unidades
Internet	Internet
Internet	Categoría:Internet
Internet Explorer	Internet Explorer
Internment	Campo de concentración
Interval (music)	Intervalo
Intranet	Intranet
Io (moon)	Ío (satélite)
Iodine	Iodo
Ion	Ión
Ionia	Xonia
Ionian Sea	Mar Xónico
Ionosphere	Ionosfera
Iota	Iota
Iowa	Iowa
Iran	Irán - ایران
Iran	Categoría:Irán
Iraq	Iraq - العراق
Iraq	Categoría:Iraq
Ireland	Illa da Irlanda
Iridium	Iridio
Irish Republican Army	IRA
Irish Sea	Mar de Irlanda
Iron	Ferro
Iron Age	Idade do Ferro
Iron Curtain	Telón de Aceiro
Iron Maiden	Iron Maiden
Irony	Ironía
Irrational number	Número irracional
Irredentism	Irredentismo
Isaac	Isaac
Isaac Asimov	Isaac Asimov
Isaac Newton	Isaac Newton
Isadora Duncan	Isadora Duncan
Isis	Isis
Islam	Islamismo
Islamabad	Islamabad
Islamic calendar	Calendario musulmán
Island	Illa
Isle of Man	Illa de Man - Ellan Vannin
Isoroku Yamamoto	Isoroku Yamamoto
Isotope	Isótopo
Israel	Israel - ישראל
Israel	Categoría:Israel
Istanbul	Istambul - İstanbul
Isthmus	Istmo
Italian Peninsula	Península Itálica
Italo Calvino	Italo Calvino
Italy	Italia
Italy	Categoría:Italia
Ivan Pavlov	Ivan Pavlov
Iwo Jima	Illa de Iwo To
J	J
J. D. Salinger	Jerome David Salinger
J. M. Barrie	James Matthew Barrie
Jack Kerouac	Jack Kerouac
Jack London	Jack London
Jackson	Jackson, Mississippi
Jacques Cartier	Jacques Cartier
Jacques Derrida	Jacques Derrida
Jacques Offenbach	Jacques Offenbach
Jakarta	Iacarta - Jakarta
Jamaica	Xamaica - Jamaica
Jamaica	Categoría:Xamaica
James	Santiago o Maior
James A. Garfield	James Abram Garfield
James Buchanan	James Buchanan
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Franck	James Franck
James Joyce	James Joyce
James K. Polk	James Knox Polk
James Madison	James Madison
James Monroe	James Monroe
James Prescott Joule	James Prescott Joule
Jan van Eyck	Jan van Eyck
Janis Joplin	Janis Joplin
Janissary	Xanízaro
January	Xaneiro
January 1	1 de xaneiro
January 19	19 de xaneiro
January 20	20 de xaneiro
January 6	6 de xaneiro
Janus (mythology)	Xano (deus)
Japan	Xapón - 日本
Japan	Categoría:Xapón
Jason	Xasón
Java	Xava (illa)
Java (disambiguation)	Java
Java (programming language)	Linguaxe Java
Jazz	Jazz
Jazz	Categoría:Jazz
Jean Auguste Dominique Ingres	Jean Auguste Dominique Ingres
Jean Piaget	Jean Piaget
Jean de La Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jeddah	Jeddah
Jefferson City	Jefferson City
Jefferson Davis	Jefferson Davis
Jellyfish	Scyphozoa
Jerez de la Frontera	Xerez da Fronteira - Jerez de la Frontera
Jerome	Xerome de Estridón
Jersey	Illa de Jersey
Jerusalem	Xerusalén
Jesus	Xesús de Nazareth
Jihad	Xihad
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	James Earl "Jimmy" Carter, Jr.
Joan of Arc	Xoana de Arco
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Diderik van der Waals	Johannes Diderik van der Waals
Johannes Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
Johannesburg	Xohanesburgo
John Adams	John Adams
John Bardeen	John Bardeen
John Cage	John Cage
John Chrysostom	Xoán Crisóstomo
John Dalton	John Dalton
John Dewey	John Dewey
John Herschel	John Herschel
John Lennon	John Lennon
John Locke	John Locke
John Maynard Keynes	John Maynard Keynes
John Quincy Adams	John Quincy Adams
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Tyler	John Tyler
John Wayne	John Wayne
John von Neumann	John von Neumann
Johnny Cash	Johnny Cash
Jordan	Xordania -الأردن
Jordan	Categoría:Xordania
Jorge Luis Borges	Jorge Luis Borges
Joseph Conrad	Joseph Conrad
Joseph Goebbels	Joseph Goebbels
Joseph Haydn	Franz Joseph Haydn
Joseph Smith	Joseph Smith
Joseph Stalin	Josef Stalin
Joule	Joule (unidade)
Journalism	Xornalismo
Jovian	Xoviano
Judaism	Xudaísmo
Judaism	Categoría:Xudaísmo
Judo	Judo
Jules Verne	Jules Verne
Julian calendar	Calendario xuliano
Julian the Apostate	Xuliano
Julius Caesar	Xulio César
July	Xullo
July 1	1 de xullo
July 4	4 de xullo
June	Xuño
June 14	14 de xuño
June 21	21 de xuño
June 23	23 de xuño
June 24	24 de xuño
June 29	29 de xuño
June 3	3 de xuño
Juneau	Juneau
Jupiter	Xúpiter (planeta)
Jupiter (disambiguation)	Xúpiter
Jupiter (mythology)	Xúpiter (deus)
Jurassic	Xurásico
Justinian I	Xustiniano I
Jutland	Xutlandia - Jylland - Jütland
K	K
K2	K2
KGB	KGB
Kaaba	Kaaba - الكعبة
Kabul	Cabul - کابل
Kalahari Desert	Kalahari
Kamchatka Peninsula	Península de Kamchatka
Kansas	Kansas
Kansas City	Kansas City, Misuri
Kappa	Kappa
Karachi	Karachi - كراچى
Karate	Karate
Karen Blixen	Karen Blixen
Karl Barth	Karl Barth
Karl Marx	Karl Marx
Karl Popper	Karl Popper
Karma	Karma
Katharine Hepburn	Katharine Hepburn
Kathmandu	Katmandu
Katowice	Katowice
Kaunas	Kaunas
Kazakhstan	Casaquistán - Қазақстан
Kazakhstan	Categoría:Casaquistán
Kazimir Malevich	Kasimir Malevich
Kelvin	Kelvin
Kent	Kent
Kentucky	Kentucky
Kenya	Quenia - Kenya
Kenya	Categoría:Quenia
Kernel (computer science)	Kernel
Keyboard (computing)	Teclado de ordenador
Keyboard instrument	Teclado (instrumento musical)
Khartoum	Khartún - الخرطوم
Khufu	Queóps
Kidney	Ril
Kiev	Kiev - Київ
Kigali	Kigali
Kilogram	Quilogramo
Kimono	Quimono
Kindergarten	Educación preescolar
Kinematics	Cinemática
Kinetic energy	Enerxía cinética
King (chess)	Rei (xadrez)
King Arthur	Rei Artur
Kingston	Kingston
Kingstown	Kingstown
Kinshasa	Kinshasa
Kiribati	Quiribati - Kiribati
Kite	Papaventos
Knife	Coitelo
Knight (chess)	Cabalo (xadrez)
Knossos	Knossos
Knowledge	Coñecemento
Koala	Koala
Kola Peninsula	Península de Kola
Kolkata	Calcuta - কলকাতা
Konqueror	Konqueror
Konrad Adenauer	Konrad Adenauer
Korea	Corea
Korean War	Guerra de Corea
Kosovo	Kosovo
Krakatoa	Krakatoa
Kremlin	Kremlin
Krypton	Cripton
Ku Klux Klan	Ku Klux Klan
Kuala Lumpur	Kuala Lumpur
Kublai Khan	Khublai Khan
Kuiper belt	Cinto de Kuiper
Kurdistan	Curdistán
Kurdistan	Categoría:Curdistán
Kurdistan Workers Party	Partido dos Traballadores do Curdistán
Kurt Waldheim	Kurt Waldheim
Kuwait	Kuwait - الكويت
Kuwait	Categoría:Kuwait
Kuwait City	Kuwait (cidade)
KwaZulu-Natal	KwaZulu-Natal
Kyoto	Quioto - 京都市
Kyrgyzstan	Quirguicistán - Кыргыз Республикасы
Kyrgyzstan	Categoría:Quirguicistán
L	L
La Paz	La Paz, Bolivia
La Spezia	La Spezia
Laboratory	Laboratorio
Labour Party (UK)	Partido Laborista (Reino Unido)
Lacerta	Lacerta
Lagos	Lagos
Lahore	Lahore
Lake	Lago
Lake Baikal	Lago Baikal
Lake Balaton	Lago Balaton
Lake Constance	Lago Constanza
Lake Erie	Lago Erie
Lake Geneva	Lago Léman
Lake Huron	Lago Huron
Lake Malawi	Lago Niassa
Lake Michigan	Lago Michigan
Lake Ontario	Lago Ontario
Lake Superior	Lago Superior
Lake Tanganyika	Lago Tanganica
Lake Victoria	Lago Vitoria
Lambda	Lambda
Lammergeier	Quebraosos
Lamprey	Lamprea
Language	Linguaxe
Languedoc-Roussillon	Languedoc-Rosellón
Lansing	Lansing
Lanthanide	Lantánidos
Lanthanum	Lantano
Laos	República Democrática Popular Lao - ສາທາລະນະລັດ ປະຊາທິປະໄຕ ປະຊາຊົນ ລາວ
Laos	Categoría:Laos
Laptop	Portátil
Larva	Larva
Las Vegas	Las Vegas
Lascaux	Cova de Lascaux
Laser	Láser
Latin	Lingua latina
Latin America	América Latina
Latin alphabet	Alfabeto latino
Latitude	Latitude
Latvia	Letonia - Latvija
Latvia	Categoría:Letonia
Lausanne	Lausana - Lausanne - Losanna
Lava	Lava
Law	Dereito
Law	Categoría:Dereito
Lawrencium	Laurencio
Lawyer	Avogado
Lazio	Lacio
Le Corbusier	Le Corbusier
Lead	Chumbo
Leaf	Folla
League of Nations	Liga das Nacións
Leaning Tower of Pisa	Torre de Pisa
Leap year	Ano bisesto
Learning	Aprendizaxe
Lebanon	Líbano - لبنان
Lebanon	Categoría:Líbano
Leda (mythology)	Leda
Leeds	Leeds
Leipzig	Leipzig
Lemon	Limón
Lemon balm	Melisa
Lena River	Río Lena
Leo (constellation)	Leo
Leo I (emperor)	León I, Emperador
Leon Trotsky	Lev Trotski
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Leprosy	Lepra
Lepus (constellation)	Lepus
Lesotho	Lesoto - Lesotho
Lesser Antilles	Antillas Menores
Letter (alphabet)	Letra
Lewis Carroll	Lewis Carroll
Lexicology	Lexicoloxía
Lhotse	Lhotse
Liberation Tigers of Tamil Eelam	Tigres de Liberación do Tamil Eelam
Liberia	Liberia
Liberia	Categoría:Liberia
Libra (constellation)	Libra
Library	Biblioteca
Libreville	Libreville
Libya	Libia - ليبيا
Libya	Categoría:Libia
Lichen	Lique
Liechtenstein	Liechtenstein
Liechtenstein	Categoría:Liechtenstein
Life	Vida
Light	Luz
Light-emitting diode	LED
Light-year	Ano luz
Lighter	Chisqueiro
Lighthouse	Faro
Lightning	Raio (descarga eléctrica)
Liguria	Liguria
Lille	Lille
Lilongwe	Lilongwe
Lima	Lima
Limerick	Limerick - Luimneach
Limestone	Caliza
Lincoln	Lincoln, Nebrasca
Linguistics	Lingüística
Linguistics	Categoría:Lingüística
Linus Pauling	Linus Pauling
Linux	Linux
Linz	Linz
Lion	Panthera leo
Liqueur	Licor
Liquid	Líquido
Liquid crystal display	Liquid Cristal Display
Lisbon	Lisboa
Lise Meitner	Lise Meitner
Lisp (programming language)	Lisp
Literacy	Alfabetización
Literature	Literatura
Literature	Categoría:Literatura
Lithium	Litio
Lithosphere	Litosfera
Lithuania	Lituania - Lietuva
Lithuania	Categoría:Lituania
Litre	Litro
Little Owl	Moucho común
Liverpool	Liverpool
Livy	Tito Livio
Lizard	Lagarto
Ljubljana	Liubliana
Local area network	LAN
Loch Ness	Lago Ness
Logarithm	Función logaritmo
Logic	Lóxica
Logic gate	Porta lóxica
Logo	Logotipo
Loire	Loira
Loire River	Río Loira
Loki	Loki
Lombardy	Lombardía - Lombardia
London	Londres - London
Long Beach	Long Beach
Long Island	Long Island
Long jump	Salto de lonxitude
Long-eared Owl	Bufo pequeno
Lope de Vega	Lope de Vega
Lord's Prayer	Noso Pai
Lorraine (region)	Lorena
Los Angeles	Os Ánxeles - Los Angeles
Loudspeaker	Altofalante
Louis Aragon	Louis Aragon
Louis Armstrong	Louis Armstrong
Louis Braille	Louis Braille
Louis Pasteur	Louis Pasteur
Louisiana	Luisiana - Louisiana
Louisville	Louisville, Kentucky
Louvre	Museo do Louvre
Love	Amor
Lower Saxony	Baixa Saxonia - Niedersachsen
Luanda	Luanda
Lublin	Lublin
Luciano Pavarotti	Luciano Pavarotti
Ludwig Mies van der Rohe	Ludwig Mies van der Rohe
Ludwig Wittgenstein	Ludwig Wittgenstein
Ludwig van Beethoven	Ludwig van Beethoven
Luftwaffe	Luftwaffe
Lunar eclipse	Eclipse lunar
Lung	Pulmón
Lupus (constellation)	Lupus (constelación)
Lusaka	Lusaca
Lute	Laúde
Lutetium	Lutecio
Lux	Lux
Luxembourg	Luxemburgo - Lëtzebuerg
Luxembourg	Categoría:Luxemburgo
Luxembourg (city)	Luxemburgo, cidade
Luxor	Luxor- الأقصر
Luzon	Luzón
Lydia	Reino de Lidia
Lynx (constellation)	Lynx (constelación)
Lynx (web browser)	Lynx
Lyon	Lión - Lyon
Lyra	Lyra
Lysergic acid diethylamide	LSD
Lysosome	Lisosoma
M	M
M-theory	Teoría M
MIME	MIME
MS-DOS	MS-DOS
Macau	Macau - 澳门
Macedonia	Macedonia
Macedonia (Greece)	Macedonia-Μακεδονία
Mach number	Número Mach
Machine	Máquina
Machine code	Código máquina
Machine gun	Metralladora
Macroeconomics	Macroeconomía
Madagascar	Madagascar
Madagascar	Categoría:Madagascar
Madeira	Arquipélago de Madeira
Madison	Madison, Wisconsin
Madonna (entertainer)	Madonna
Madrid	Madrid
Madrid (autonomous community)	Comunidade de Madrid
Magazine	Revista
Magenta	Maxenta
Maghreb	Maghreb
Magic (paranormal)	Maxia
Magic square	Cadrado máxico
Magma	Magma
Magna Carta	Carta Magna
Magnesium	Magnesio
Magnet	Imán
Magnetism	Magnetismo
Magnetite	Magnetita
Mahatma Gandhi	Mahatma Gandhi
Mahayana	Mahayana
Main	Río Main
Main	Template:Ver artigo principal
Maine	Maine, Estados Unidos da América
Maize	Millo
Major scale	Escala maior
Majorca	Mallorca
Makalu	Makalu
Malabo	Malabo
Malachite	Malaquita
Malaria	Malaria
Malaysia	Malaisia - Malaysia
Malaysia	Categoría:Malaisia
Malcolm X	Malcolm X
Maldives	Maldivas - ދިވެހި
Maldives	Categoría:Maldivas
Mali	Malí - Mali
Mallard	Lavanco
Malta	Malta
Malta	Categoría:Malta
Maltese language	Lingua maltesa
Mammal	Mamífero
Mammoth	Mamut
Managua	Managua
Manchester	Manchester
Manchuria	Manchuria
Mandarin (linguistics)	Mandarín
Mandelbrot set	Conxunto de Mandelbrot
Manganese	Manganeso
Mangrove	Mangleiro
Manhattan	Manhattan
Manhattan Project	Proxecto Manhattan
Manichaeism	Maniqueísmo
Manila	Manila
Manitoba	Manitoba
Mannerism	Manierismo
Mantle (geology)	Manto
Mao Zedong	Mao Tse Tung
Maoism	Maoísmo
Map	Mapa
Maputo	Maputo
Marathon	Maratón (atletismo)
Marble	Mármore
Marc Chagall	Marc Chagall
Marcel Duchamp	Marcel Duchamp
Marcel Marceau	Marcel Marceau
Marcel Proust	Marcel Proust
March	Marzo
March 17	17 de marzo
March 19	19 de marzo
March 2	2 de marzo
March 25	25 de marzo
Marche	Marche
Marco Polo	Marco Polo
Marcus Aurelius	Marco Aurelio
Marcus Junius Brutus	Bruto
Margaret Thatcher	Margaret Thatcher
Mariana Islands	Illas Marianas
Marie Curie	Marie Curie
Marilyn Monroe	Marilyn Monroe
Mario Vargas Llosa	Mario Vargas Llosa
Mark Antony	Marco Antonio
Mark Twain	Mark Twain
Market	Mercado
Marketing	Mercadotecnia
Marlene Dietrich	Marlene Dietrich
Marquis de Sade	Marqués de Sade
Mars (disambiguation)	Marte
Mars (mythology)	Marte (deus)
Marseille	Marsella - Marseille
Marshall Islands	Illas Marshall - Marshall Islands
Martin Buber	Martin Buber
Martin Heidegger	Martin Heidegger
Martin Luther	Martiño Lutero
Martin Luther King	Martin Luther King
Martin Scorsese	Martin Scorsese
Martin Van Buren	Martin Van Buren
Martinique	Martinica - Martinique
Marx Brothers	Irmáns Marx
Marxism	Marxismo
Marxism	Categoría:Marxismo
Mary Magdalene	María Magdalena
Mary Shelley	Mary Shelley
Mary Wollstonecraft	Mary Wollstonecraft
Maryland	Maryland
Maseru	Maseru
Mass	Masa
Mass number	Número másico
Massachusetts	Massachusetts
Massachusetts Institute of Technology	Massachusetts Institute of Technology
Masturbation	Masturbación
Match	Misto
Materialism	Materialismo
Mathematics	Matemáticas
Mathematics	Categoría:Matemáticas
Matrix (mathematics)	Matriz (matemáticas)
Matter	Materia
Mauna Kea	Mauna Kea
Mauna Loa	Mauna Loa
Maurice Ravel	Maurice Ravel
Mauritania	Mauritania
Mauritania	Categoría:Mauritania
Mauritius	Mauricio - Maurice
Mauritius	Categoría:Mauricio
Max Born	Max Born
Max Ernst	Max Ernst
Max Planck	Max Planck
Max Weber	Max Weber
Maximian	Maximiano
Maxwell's equations	Ecuacións de Maxwell
May	Maio
May 1	1 de maio
May 24	24 de maio
Mead	Hidromel
Measles	Sarampelo
Meat	Carne
Mecca	A Meca - مكة
Mechanical engineering	Enxeñaría mecánica
Mechanics	Mecánica
Median	Mediana
Medici	Medici
Medicine	Medicina
Medicine	Categoría:Medicina
Medina	Medina
Meditation	Meditación
Mediterranean Sea	Mar Mediterráneo
Meiosis	Meiose
Meitnerium	Meitnerio
Mekong	Río Mekong
Melanesia	Melanesia
Melody	Melodía
Melpomene	Melpómene
Melting point	Punto de fusión
Meme	Meme
Memphis	Menfis
Menachem Begin	Menachem Begin
Mendelevium	Mendelevio
Menelaus	Menelao
Meningitis	Meninxite
Mensa (constellation)	Mensa (constelación)
Menstruation	Menstruación
Mental disorder	Enfermidade mental
Mentha	Menta
Mercenary	Mercenario
Mercury	Mercurio
Mercury (element)	Mercurio (elemento)
Mercury (mythology)	Mercurio (deus)
Mercury (planet)	Mercurio (planeta)
Meridian (geography)	Meridiano
Meritocracy	Meritocracia
Merovingian	Dinastía Merovinxia
Meryl Streep	Meryl Streep
Mescaline	Mescalina
Mesolithic	Mesolítico
Mesopotamia	Mesopotamia
Metabolism	Metabolismo
Metalloid	Metaloide
Metallurgy	Metalurxia
Metamorphic rock	Rocha metamórfica
Metaphor	Metáfora
Metaphysics	Metafísica
Meteor shower	Chuvia de meteoros
Meteorite	Meteorito
Meteorology	Categoría:Meteoroloxía
Meteorology	Meteoroloxía
Methadone	Metadona
Methamphetamine	Metanfetamina
Metonymy	Metonimia
Metre	Metro
Meuse River	Río Mosa
Mexico	México
Mexico	Categoría:México
Mexico City	Cidade de México
Miami	Miami
Mica	Mica
Michael Faraday	Michael Faraday
Michel Ney	Michel Ney
Michelangelo	Michelangelo
Michigan	Michigan
Mickey Mouse	Mickey Mouse
Microbiology	Categoría:Microbioloxía
Micronesia	Micronesia
Microorganism	Microorganismo
Microphone	Micrófono
Microscopium	Microscopium
Microwave	Microondas
Microwave oven	Forno de microondas
Middle Ages	Idade Media
Middle Ages	Categoría:Idade Media
Middle East	Oriente Medio
Miguel de Cervantes	Miguel de Cervantes Saavedra
Mikhail Bakunin	Mikhail Bakunin
Mikhail Gorbachev	Mikhail Gorbachev
Milan	Milán - Milano
Mile	Milla
Miles Davis	Miles Davis
Milk	Leite
Milky Way	Vía Láctea
Millard Fillmore	Millard Fillmore
Millennium	Milenio
Mindanao	Mindanao
Mineral	Mineral
Mineralogy	Mineraloxía
Minimalism	Minimalismo
Minneapolis	Minneapolis, Minnesota
Minnesota	Minnesota
Minoan civilization	Civilización minoica
Minor scale	Escala menor
Minos	Minos
Minotaur	Minotauro
Minsk	Minsk - Мінск
Miracle	Milagre
Mississippi River	Río Mississippi
Missouri	Misuri - Missouri
Mitochondrion	Mitocondria
Mobile phone	Teléfono móbil
Modem	Módem
Modernism	Modernismo
Mogadishu	Mogadixo
Moirae	Moiras
Moldova	Moldova
Moldova	Categoría:Moldova
Mole (unit)	Mol
Molecule	Molécula
Molise	Molise
Molotov cocktail	Cóctel Molotov
Mombasa	Mombasa
Momentum	Cantidade de movemento
Monaco	Mónaco - Monaco
Monarch	Monarca
Monarchy	Monarca
Monastery	Mosteiro
Monday	Luns
Money	Diñeiro
Mongolia	Mongolia - Монгол Улс
Mongolia	Categoría:Mongolia
Monomer	Monómero
Monopoly	Monopolio
Monotheism	Monoteísmo
Monotreme	Monotrema
Monroe Doctrine	Doutrina Monroe
Monrovia	Monrovia
Mons	Mons
Monsoon	Monzón
Mont Blanc	Mont Blanc
Montana	Montana
Montenegro	Montenegro - Црна Гора
Montenegro	Categoría:Montenegro
Monterrey	Monterrey
Montevideo	Montevideo
Montgomery	Montgomery, Alabama
Month	Mes sinódico
Montpelier	Montpelier, Vermont
Montreal	Montreal - Montréal
Montserrat	Montserrat
Moon	Lúa
Moose	Alce
Moravia	Moravia - Morava
Morocco	Marrocos - المغرب
Morocco	Categoría:Marrocos
Morpheme	Morfema
Morphine	Morfina
Morphology	Morfoloxía (homónimos)
Morphology (linguistics)	Morfoloxía (Lingüística)
Morse code	Código Morse
Mosaic	Mosaico
Moscow	Moscova - Москва
Moses	Moisés
Moshe Dayan	Moshé Dayán
Mosque	Mesquita
Motet	Mottetto
Mother's Day	Día da nai
Motorcycle	Motocicleta
Motto	Lema
Mount Ararat	Monte Ararat
Mount Athos	Monte Athos
Mount Etna	Etna
Mount Everest	Everest
Mount Fuji	Monte Fuji
Mount Kilimanjaro	Kilimanjaro
Mount McKinley	Monte McKinley
Mount Rushmore	Monte Rushmore
Mount Vesuvius	Monte Vesubio
Mountain	Montaña
Mouse	Rato
Mouse (computing)	Rato (informática)
Mozambique	Mozambique - Moçambique
Mozambique	Categoría:Mozambique
Mu (letter)	Mi
Muhammad	Mahoma
Muhammad Ali	Muhammad Ali
Mule	Mula
Mumbai	Mumbai - मुम़बई
Munich	Múnic - München
Municipality	Concello
Murmansk	Múrmask
Murray Gell-Mann	Murray Gell-Mann
Musca	Musca
Muscle	Músculo
Muse	Musa
Museum	Museo
Mushroom	Cogomelo
Music	Música
Music	Categoría:Música
Musical Instrument Digital Interface	Musical Instrument Digital Interface
Musical instrument	Instrumento musical
Musical scale	Escala (música)
Mutation	Mutación
Myanmar	Category:Myanmar
Mycenae	Micenas
Myriapoda	Miriápodo
N	N
NASDAQ	NASDAQ
NATO	OTAN
Nadine Gordimer	Nadine Gordimer
Nadir	Nadir
Nagoya	Nagoia - 名古屋市
Nahuatl	Lingua nahuatl
Nairobi	Nairobi
Namibia	Namibia
Namibia	Categoría:Namibia
Namur (city)	Namur
Nancy	Nancy
Nanga Parbat	Nanga Parbat
Nanjing	Nanjing - 南京
Nanotechnology	Nanotecnoloxía
Nantes	Nantes
Naples	Nápoles - Napoli
Nashville	Nashville
Nassau	Nassau
Nation	Nación
National Security Agency	National Security Agency
National anthem	Himno Nacional
National park	Parque Nacional
Nationalism	Nacionalismo
Nationalism	Categoría:Nacionalismo
Natural gas	Gas natural
Natural language processing	Procesamento da linguaxe natural
Natural number	Número natural
Natural selection	Selección natural
Nature	Natureza
Naturism	Naturismo
Nauru	Nauru - Naoero
Navigation	Navegación marítima
Nazi Party	Partido Nacionalsocialista Alemán dos Traballadores
Neanderthal	Home de Neanderthal
Nebraska	Nebrasca
Nebuchadrezzar II	Nabucodonosor II
Nebula	Nebulosa
Neckar	Río Neckar
Necktie	Gravata
Nefertiti	Nefertiti
Neil Armstrong	Neil Armstrong
Nelson Mandela	Nelson Mandela
Nematode	Nematoda
Nemesis (mythology)	Némesis
Neodymium	Neodimio
Neolithic	Neolítico
Neon	Neon
Nepal	Nepal - नेपाल
Nepal	Categoría:Nepal
Neptune	Neptuno (planeta)
Neptunium	Neptunio
Nero	Nerón
Nerva	Nerva
Nervous system	Sistema nervioso
Nestorianism	Nestorianismo
Netherlands	Países Baixos - Nederland
Netherlands	Categoría:Países Baixos
Netherlands Antilles	Antillas Neerlandesas - Nederlandse Antillen
Network topology	Topoloxía de rede
Neutrino	Neutrino
Neutron	Neutrón
Neutron star	Estrela de neutróns
Nevada	Nevada
Neville Chamberlain	Neville Chamberlain
New Brunswick	Nova Brunswick
New Caledonia	Nova Caledonia
New Delhi	Nova Deli - नई दिल्ली
New England	Nova Inglaterra
New Guinea	Illa de Nova Guinea
New Hampshire	Nova Hampshire - New Hampshire
New Jersey	Nova Jersey
New Mexico	Novo México
New Orleans	Nova Orleáns - New Orleans, Luisiana
New South Wales	Nova Gales do Sur
New Testament	Novo Testamento
New York	Estado de Nova York
New York City	Nova York - New York
New York City	Categoría:Nova York
New York Stock Exchange	New York Stock Exchange
New Zealand	Nova Celandia - New Zealand
New Zealand	Categoría:Nova Celandia
Newfoundland (island)	Terra Nova
Newfoundland and Labrador	Terra Nova e Labrador
Newport	Newport
Newton	Newton (unidade)
Niacin	Vitamina B3
Niagara Falls	Cataratas do Niágara
Niamey	Niamey
Nicaragua	Nicaragua
Nicaragua	Categoría:Nicaragua
Nicholas	Petrović Njegoš
Nickel	Níquel
Nicolas Poussin	Nicolas Poussin
Nicolaus Copernicus	Nicolás Copérnico
Nicosia	Nicosia - Λευκωσία
Nicotine	Nicotina
Niels Bohr	Niels Bohr
Niger	Níxer
