Interlingua	English
Otto von Bismarck	Otto von Bismarck
Imperio Ottoman	Ottoman Empire
Oxygeno	Oxygen
Potential de hydrogeno	PH
Pablo Picasso	Pablo Picasso
Oceano Pacific	Pacific Ocean
Categoria:Pictura	Painting
Pakistan	Pakistan
Categoria:Pakistan	Pakistan
Paleontologia	Paleontology
Palermo	Palermo
Palestina	Palestine
Palindromo	Palindrome
Papua Nove Guinea	Papua New Guinea
Categoria:Papua Nove Guinea	Papua New Guinea
Paris	Paris
Physica de particulas	Particle physics
Pedagogia	Pedagogy
Categoria:Gente	People
China	People's Republic of China
Perception	Perception
Tabella periodic del elementos	Periodic table
Perm	Perm
Peru	Peru
Categoria:Peru	Peru
Petroleo	Petroleum
Philadelphia, Pennsylvania	Philadelphia
Philatelia	Philately
Philippinas	Philippines
Categoria:Philippinas	Philippines
Philologia	Philology
Philosophia	Philosophy
Categoria:Philosophia	Philosophy
Phobos (luna)	Phobos (moon)
Phoenix, Arizona	Phoenix
Phonetica	Phonetics
Categoria:Phonetica	Phonetics
Categoria:Photographia	Photography
Photosynthesis	Photosynthesis
Physica	Physics
Categoria:Physica	Physics
Categoria:Physiologia	Physiology
Pi	Pi
Pierre, South Dakota	Pierre
Pittsburgh, Pennsylvania	Pittsburgh
Planeta	Planet
Plancton	Plankton
Plantae	Plant
Plasma	Plasma (physics)
Plachetta	Platelet
Platino	Platinum
Poesia	Poetry
Categoria:Poesia	Poetry
Polonia	Poland
Categoria:Polonia	Poland
Politica	Politics
Categoria:Politica	Politics
Polline	Pollen
Polytheismo	Polytheism
Pompeio Magne	Pompey
Papa	Pope
Portland, Oregon	Portland
Portugal	Portugal
Categoria:Portugal	Portugal
Postmodernismo	Postmodernism
Praetor	Praetor
Praga	Prague
Primate	Primate
Prion	Prion
Linguage de programmation	Programming language
Protestantismo	Protestantism
Proton	Proton
Providence, Rhode Island	Providence
Categoria:Pseudoscientias	Pseudoscience
Pseudoscientia	Pseudoscience
Psychiatria	Psychiatry
Psychologia	Psychology
Categoria:Psychologia	Psychology
Ptolemeo	Ptolemy
Dominio public	Public domain
Porto Rico	Puerto Rico
Categoria:Porto Rico	Puerto Rico
Victoria pyrrhic	Pyrrhic victory
Mechanica quantic	Quantum mechanics
Quaternion	Quaternion
Québec	Quebec
Rabbi	Rabbi
Radioactivitate	Radioactive decay
Radium	Radium
Raleigh, North Carolina	Raleigh
Ratto	Rat
Erythrocyto	Red blood cell
Reincarnation	Reincarnation
Religion	Religion
Categoria:Religion	Religion
Republica	Republic
Republica de China	Republic of China
Republica de Irlanda	Republic of Ireland
Categoria:Irlanda	Republic of Ireland
Republica del Congo	Republic of the Congo
Categoria:Republica del Congo	Republic of the Congo
Categoria:Rhetorica	Rhetoric
Ribosoma	Ribosome
Richmond, Virginia	Richmond
Rio de Janeiro	Rio de Janeiro (state)
Roald Amundsen	Roald Amundsen
Ecclesia Catholic	Roman Catholic Church
Imperio Roman	Roman Empire
Calendario roman	Roman calendar
Mythologia roman	Roman mythology
Categoria:Mythologia roman	Roman mythology
Romania	Romania
Categoria:Romania	Romania
Roma	Rome
Rosa	Rose
Ruby (linguage de programmation)	Ruby (programming language)
Russia	Russia
Categoria:Russia	Russia
Ruanda	Rwanda
Categoria:Ruanda	Rwanda
Sacramento	Sacrament
Sacramento, California	Sacramento
Safari (navigator del web)	Safari (web browser)
Saint Paul, Minnesota	Saint Paul
Salem, Oregon	Salem
San Antonio, Texas	San Antonio
San Diego, California	San Diego
San Francisco, California	San Francisco
San José, California	San Jose
San Marino	San Marino
Categoria:San Marino	San Marino
San Salvador	San Salvador
Sanscrito	Sanskrit
Santa Fe, New Mexico	Santa Fe
Santos	Santos (Săo Paulo)
Sardenia	Sardinia
Satellite	Satellite
Sabbato	Saturday
Saturno (planeta)	Saturn
Saturno (disambiguation)	Saturn (disambiguation)
Arabia Saudi	Saudi Arabia
Categoria:Arabia Saudi	Saudi Arabia
Scandinavia	Scandinavia
Schizophrenia	Schizophrenia
Scholasticismo	Scholasticism
Schola	School
Scientia	Science
Categoria:Scientias	Science
Science-fiction	Science fiction
Scotia	Scotland
Sculptura	Sculpture
Categoria:Sculptura	Sculpture
Mechanismo de recerca	Search engine
Station del anno	Season
Secunda	Second
Secta	Sect
Semantica	Semantics
Categoria:Senegal	Senegal
Seoul	Seoul
Septembre	September
11 de septembre	September 11
17 de septembre	September 17
29 de septembre	September 29
Septuaginta	Septuagint
Serbia	Serbia
Categoria:Serbia	Serbia
Servitor	Server (computing)
Ensemble	Set
Sevilla	Seville
Sexo	Sex
Coito	Sexual intercourse
Sicilia	Sicily
Sigmund Freud	Sigmund Freud
Peccato	Sin
Scepticismo	Skepticism
Slovachia	Slovakia
Categoria:Slovachia	Slovakia
Slovenia	Slovenia
Categoria:Slovenia	Slovenia
Categoria:Societate	Society
Sociologia	Sociology
Categoria:Sociologia	Sociology
Socrates	Socrates
Sofia	Sofia
Categoria:Software	Software
Systema solar	Solar System
Categoria:Systema solar	Solar System
Canto	Song
Sorbonne	Sorbonne
Categoria:Africa del Sud	South Africa
America del Sud	South America
Categoria:America del Sud	South America
Corea del Sud	South Korea
Categoria:Corea del Sud	South Korea
Union Sovietic	Soviet Union
Soya	Soybean
Spatio	Space
Spaghetti	Spaghetti
Espania	Spain
Categoria:Espania	Spain
Spam	Spam (electronic)
Guerra Civil Espaniol	Spanish Civil War
Categoria:Gente espaniol	Spanish people
Relativitate special	Special relativity
Specie	Species
Sphera	Sphere
Sport	Sport
Springfield, Illinois	Springfield
Saint Louis, Missouri	St. Louis
Stella	Star
Statistica	Statistics
Categoria:Statistica	Statistics
Stockholm	Stockholm
Theoria Chorda	String theory
Structuralismo	Structuralism
Patrono:Pecietta	Stub
Sudoku	Sudoku
Sumo	Sumo
Sol	Sun
Dominica	Sunday
Superman	Superman
Supernova	Supernova
Svedia	Sweden
Categoria:Svedia	Sweden
Categoria:Gente switze	Swiss people
Suissa	Switzerland
Categoria:Suissa	Switzerland
Synagoga	Synagogue
Syntaxe	Syntax
Tacito	Tacitus
Taekwondo	Taekwondo
Categoria:Taiwan	Taiwan
Taiwan	Taiwan
Tajikistan	Tajikistan
Categoria:Tajikistan	Tajikistan
Tallahassee, Florida	Tallahassee
Tallinn	Tallinn
Talmud	Talmud
Tampa, Florida	Tampa
Tanzania	Tanzania
Categoria:Tanzania	Tanzania
Taoismo	Taoism
Tasmania	Tasmania
Technologia	Technology
Categoria:Technologia	Technology
Telecommunication	Telecommunication
Television	Television
Categoria:Television	Television
Dece Commandamentos	Ten Commandments
Planeta terrestre	Terrestrial planet
Categoria:Terrorismo	Terrorism
Gambia	The Gambia
Categoria:Gambia	The Gambia
Theatro	Theatre
Categoria:Theatro	Theatre
Theologia	Theology
Categoria:Theologia	Theology
Thorium	Thorium
Pensamento	Thought
Jovedi	Thursday
Tibet	Tibet
Tilia	Tilia
Categoria:Tempore	Time
Fuso horari	Time zone
Tokyo	Tokyo
Lingua (anatomia)	Tongue
Tony Blair	Tony Blair
Topeka, Kansas	Topeka
Categoria:Topologia	Topology
Toronto	Toronto
Tourismo	Tourism
Categoria:Tourismo	Tourism
Tradition	Tradition
Transistor	Transistor
Categoria:Transporto	Transportation
Arbore	Tree
Trenton, New Jersey	Trenton
Triceratops	Triceratops
Trinitate	Trinity
Troposphera	Troposphere
Tsunami	Tsunami
Tuberculosis	Tuberculosis
Martedi	Tuesday
Turchia	Turkey
Categoria:Turchia	Turkey
Categoria:Turkmenistan	Turkmenistan
Toscana	Tuscany
Tuvalu	Tuvalu
Categoria:Tuvalu	Tuvalu
Tycho Brahe	Tycho Brahe
Categoria:Typographia	Typography
Uganda	Uganda
Categoria:Uganda	Uganda
Ukraina	Ukraine
Categoria:Ukraina	Ukraine
Emiratos Arabe Unite	United Arab Emirates
Categoria:Emiratos Arabe Unite	United Arab Emirates
Regno Unite	United Kingdom
Categoria:Regno Unite	United Kingdom
Organisation del Nationes Unite	United Nations
Statos Unite de America	United States
Categoria:Statos Unite de America	United States
Congresso del Statos Unite	United States Congress
Universitate	University
UNIX	Unix
Uzbekistan	Uzbekistan
Categoria:Uzbekistan	Uzbekistan
Vagina	Vagina
Vancouver	Vancouver
Citate del Vaticano	Vatican City
Categoria:Citate del Vaticano	Vatican City
Venezuela	Venezuela
Categoria:Venezuela	Venezuela
Venus (planeta)	Venus
Venus (disambiguation)	Venus (disambiguation)
Venus (mythologia)	Venus (mythology)
Vertebrato	Vertebrate
Vienna	Vienna
Vietnam	Vietnam
Categoria:Vietnam	Vietnam
Violino	Violin
Vulcano	Volcano
Vulcano (mythologia)	Vulcan (mythology)
Latino vulgar	Vulgar Latin
Vulgata	Vulgate
Wahhabismo	Wahhabism
Galles	Wales
Walt Disney	Walt Disney
Guerra	War
Categoria:Guerra	War
Varsovia	Warsaw
Aqua	Water
Navigator web	Web browser
Pagina web	Web page
Sito web	Website
Mercuridi	Wednesday
Septimana	Week
Leucocyto	White blood cell
Wicca	Wicca
William Shakespeare	William Shakespeare
Vino	Wine
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Femina	Woman
Vocabulo	Word
Mundo	World
Prime Guerra Mundial	World War I
Secunde Guerra Mundial	World War II
Categoria:Secunde Guerra Mundial	World War II
World Wide Web	World Wide Web
Tetragrammaton	Yahweh
Anno	Year
Categoria:Annos	Years
Yoga	Yoga
Zambezi	Zambezi
Zebra	Zebra
Zen	Zen
Zeus	Zeus
Zoologia	Zoology
Categoria:Zoologia	Zoology
Zoroastro	Zoroaster
Zoroastrismo	Zoroastrianism
