English	Tagalog
Philosopher's stone	Bato ng pilosopo
Philosophy	Pilosopiya
Philosophy	Category:Pilosopiya
Phnom Penh	Phnom Penh
Phobia	Phobia
Phobos (moon)	Phobos (buwan)
Phoneme	Ponema
Phonology	Ponolohiya
Physics	Pisika
Physiology	Pisyolohiya
Pi	Pi
Piedmont	Piemonte
Pisa	Lungsod ng Pisa
Planet	Planeta
Plant	Halaman
Plastic	Plastik
Plato	Plato (pilosopo)
Pluto	134340 Pluton
Poetry	Panulaan
Poland	Polonya
Poland	Category:Poland
Political science	Agham pampolitika
Politics	Politika
Polymer	Polimero
Pomelo	Suha
Pope	Papa
Pope Alexander VI	Alejandro VI
Population	Populasyon
Port	Pundahang pandagat
Port Louis	Port Louis
Port Moresby	Port Moresby
Port of Spain	Port of Spain
Port-au-Prince	Port-au-Prince
Portugal	Portugal
Potato	Patatas
Prague	Lungsod ng Prague
Praia	Praia
Prayer	Dasal
President	Pangulo
Programming language	Wikang pamprograma
Pseudonym	Alyas
Pseudoscience	Category:Mga seudoagham
Psychology	Sikolohiya
Psychology	Category:Sikolohiya
Public domain	Pampublikong dominyo
Public relations	Ugnayang pampubliko
Puerto Rico	Puerto Rico
Pythagoras	Pythagoras
Q	Q
Qatar	Qatar
Qin Dynasty	Dinastiyang Qin
Quantum mechanics	Quantum mechanics
Quebec	Québec
Quebec	Category:Québec
Quito	Quito
R	R
Rabat	Rabat
Rachel Carson	Rachel Carson
Rain	Ulan
Rainbow	Bahaghari
Ramadan	Ramadan
Ravenna	Lungsod ng Ravenna
Rectangle	Parihaba
Referendum	Reperendum
Religion	Pananampalataya
Republic	Republika
Republic of China	Taiwan
Republic of Ireland	Republika ng Irlanda
Republic of the Congo	Republika ng Congo
Respiratory system	Sistemang respiratoryo
Rhythm and blues	Rhythm and blues
Rice	Palay
Richard Feynman	Richard Feynman
Richard Nixon	Richard Nixon
Richard Wagner	Richard Wagner
Riga	Riga
Rio de Janeiro	Rio de Janeiro
River	Ilog
Riyadh	Riyadh
Roald Amundsen	Roald Amundsen
Robert E. Lee	Robert E. Lee
Roman Catholic Church	Simbahang Katoliko Romano
Roman mythology	Mitolohiyang Romano
Romania	Romania
Romania	Category:Romania
Rome	Roma
Rome	Category:Lungsod ng Roma
Ronald Reagan	Ronald Reagan
Roof	Bubong
Rosa Parks	Rosa Parks
Rose	Rosas (bulaklak)
Roseau	Roseau
Rosh Hashanah	Rosh haShana
Ross Sea	Dagat Ross
Rudyard Kipling	Rudyard Kipling
Russia	Rusya
Russia	Category:Rusya
Rutherford B. Hayes	Rutherford B. Hayes
Rwanda	Rwanda
S	S
Saint	Santo
Saint Kitts and Nevis	San Cristobal at Nieves
Saint Lucia	Santa Lucia (bansa)
Saint Peter	Simón Pedro
Saint Petersburg	Santo Petersburg
Saint Vincent and the Grenadines	San Vicente at ang Kagranadinahan
Salt (chemistry)	Asin
Salzburg	Salzburg (lungsod)
Samoa	Samoa
San Diego	San Diego, California
San Francisco	San Francisco, California
San Juan	San Juan, Puerto Rico
San Marino	San Marino
San Marino	San Marino, San Marino
San Salvador	San Salvador
Sanskrit	Wikang Sanskrit
Santiago	Santiago, Chile
Santo Domingo	Santo Domingo
Sarajevo	Sarajevo
Satan	Satanas
Saturday	Sabado
Saturn	Saturno (planeta)
Saturn (disambiguation)	Saturno
Saudi Arabia	Arabyang Saudi
Scandinavia	Category:Scandinavia
Science	Agham
Science	Category:Agham
Scipio Africanus	Scipio Africanus
Scissors	Gunting
Scorpion	Alakdan
Scotland	Scotland
Scrotum	Bayag
Sculpture	Paglililok
Sculpture	Category:Eskultura
Sea	Dagat
Seed	Buto (ng halaman)
Seismology	Seismology
Semiotics	Semiotika
Senegal	Senegal
Seoul	Seoul
September	Setyembre
September 11	Setyembre 11
September 17	Setyembre 17
September 29	Setyembre 29
Serbia	Serbya
Serbia	Category:Serbia
Serbia and Montenegro	Serbia at Montenegro
Serbia and Montenegro	Category:Serbia at Montenegro
Severe acute respiratory syndrome	SARS
Seville	Sevilla (lungsod)
Sex organ	Kasangkapang pangkasarian
Sexual intercourse	Pagtatalik
Sexuality	Category:Sekswalidad
Seychelles	Seychelles
Shahadah	Shahada
Shanghai	Shanghai
Shark	Pating
Shogun	Shogun
Shrimp	Hipon
Siberia	Siberia
Sichuan	Sichuan
Sicily	Sicilia
Sierra Leone	Sierra Leone
Sigmund Freud	Sigmund Freud
Sikhism	Sikhismo
Silk Road	Daang Seda
Sinclair Lewis	Sinclair Lewis
Singapore	Singapore
Skin	Balat (anatomiya)
Skopje	Skopje
Slovakia	Slovakia
Slovenia	Slovenia
Snake	Ahas
Society of Jesus	Kapisanan ni Hesus
Socrates	Socrates
Sofia	Sofia
Soil	Lupa
Solomon Islands	Kapuluang Solomon
Somalia	Somalia
Sorghum	Batad
Soup	Sabaw
South America	Timog Amerika
South China Sea	Dagat Luzon
South Korea	Timog Korea
Southeast Asia	Timog-silangang Asya
Sovereignty	Soberanya
Soviet Union	Unyong Sobyet
Soybean	Balatong
Spain	Espanya
Spain	Category:Espanya
Spanish people	Category:Mga Kastila
Spanish-American War	Digmaang Espanyol-Amerikano
Special relativity	Espesyal na relativity
Spider	Gagamba
Spinal cord	Kurdong panggulugod
Sport	Palakasan
Square (geometry)	Parisukat
Squirrel	Iskwirel
Sri Lanka	Sri Lanka
Star	Bituin
Starfish	Isdambituin
State	Estado
Statistics	Estadistika
Statistics	Category:Estadistika
Statue of Liberty	Istatwa ng Kalayaan
Stomach	Sikmura
Stone Age	Panahon ng Bato
Strait	Kipot
Strasbourg	Strasbourg
Stub	Template:Stub
Sublimation (chemistry)	Sublimasyon
Subtraction	Pagbabawas
Sucre	Sucre
Sudan	Sudan
Sugar	Asukal
Suharto	Suharto
Sun	Araw (astronomiya)
Sunday	Linggo (araw)
Sunni Islam	Sunni Islam
Superman	Superman
Surgeon	Maninistis
Suriname	Suriname
Suva	Suva
Swan	Gansa (cygnus)
Swaziland	Swaziland
Sweden	Sweden
Switzerland	Switzerland
Switzerland	Category:Switzerland
Syracuse	Lungsod ng Siracusa
Syria	Syria
Syria	Category:Sirya
T	T
Table (furniture)	Hapag
Table tennis	Pingpong
Taekwondo	Taekwondo
Taipei	Taipei
Taiwan	Category:Taiwan
Taj Mahal	Tāj Mahal
Taliban	Taliban
Tallahassee	Tallahassee, Florida
Tallinn	Tallinn
Talmud	Talmud
Tanzania	Tanzania
Tapir	Tapir
Tashkent	Tashkent
Tbilisi	Tbilisi
Technology	Teknolohiya
Tegucigalpa	Tegucigalpa
Tel Aviv	Tel Aviv-Yafo
Telecommunication	Telekomunikasyon
Telephone	Telepono
Television	Telebisyon
Tennessee	Tennessee
Terrorism	Category:Terorismo
Thailand	Thailand
Thales	Thales
The Gambia	Gambia
The Hague	The Hague
Thebe (moon)	Thebe (buwan)
Themistocles	Themistocles
Theology	Teolohiya
Theology	Category:Teolohiya
Thessaloniki	Thessaloníki
Thomas Aquinas	Tomas de Aquino
Thomas Edison	Thomas Edison
Thursday	Huwebes
Tianjin	Tianjin
Tiberius	Tiberius
Tiger	Tigre
Time	Panahon (oras)
Time zone	Sona ng oras
Tirana	Tirana
Titus	Titus
Tofu	Tokwa
Togo	Togo
Tokyo	Tokyo
Tomato	Kamatis
Tonga	Tonga
Tooth	Ngipin
Tornado	Ipo-ipo
Toronto	Toronto
Town	Lungsod
Trade	Kalakalan
Trajan	Trajan
Transportation	Category:Transportasyon
Trinidad and Tobago	Trinidad at Tobago
Trinity	Trinidad
Tripoli	Tripoli
Triskelion	Triskelion
Tropics	Tropiko
Tsar	Tsar
Tuberculosis	Tuberculosis
Tuesday	Martes
Tunis	Tunis
Tunisia	Tunisia
Turin	Lungsod ng Torino
Turkey	Turkiya
Turkey	Category:Turkey
Turkmenistan	Turkmenistan
Tuvalu	Tuvalu
Tycho Brahe	Tycho Brahe
U	U
Uganda	Uganda
Ukraine	Ukraine
Ulan Bator	Ulan Bator
Ulysses S. Grant	Ulysses S. Grant
Umbria	Umbria
United Arab Emirates	United Arab Emirates
United Kingdom	United Kingdom
United Kingdom	Category:UK
United Nations	United Nations
United Nations	Category:Mga Nagkakaisang Bansa
United States	Estados Unidos ng Amerika
United States	Category:Estados Unidos
United States dollar	Dolyar ng Estados Unidos
University	Pamantasan
Uranium	Uranyo
Uruguay	Uruguay
Uzbekistan	Uzbekistan
V	V
Vaduz	Vaduz
Vagina	Puke
Valencia	València (lungsod)
Valencia	Valencia (paglilinaw)
Valentine's Day	Araw ng mga Puso
Valletta	Valletta
Vanuatu	Vanuatu
Vatican City	Lungsod ng Vatican
Venezuela	Venezuela
Venus	Benus (planeta)
Venus (disambiguation)	Venus
Venus (mythology)	Venus (mitolohiya)
Verona	Lungsod ng Verona
Vertebral column	Gulugod
Vertebrate	Vertebrata
Vespasian	Vespasian
Victoria	Victoria, Seychelles
Vientiane	Vientiane
Vietnam	Vietnam
Vietnam War	Digmaang Vietnam
Viking	Viking
Vilnius	Vilnius
Vincent van Gogh	Vincent van Gogh
Vinegar	Suka (sawsawan)
Virgil	Vergilius
Virginia	Virginia (estado)
Vladimir Lenin	Vladimir Lenin
Vladimir Putin	Vladimir Putin
Volcano	Bulkan
Vulva	Bulba
W	W
Wales	Wales
Walt Disney	Walt Disney
Waste	Aa (dumi)
Water	Tubig
Web browser	Web browser
Web page	Pahinang Web
Website	Websayt
Wednesday	Miyerkules
Week	Linggo (panahon)
Welding	Paghihinang
Wellington	Wellington
West Africa	Kanlurang Aprika
West Bank	Kanlurang Pampang
West Bengal	West Bengal
Western Sahara	Kanlurang Sahara
Whale	Balyena
William Howard Taft	William Howard Taft
William Shakespeare	William Shakespeare
Windhoek	Windhoek
Winston Churchill	Winston Churchill
Wisconsin	Category:Wisconsin
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Woman	Babae (kasarian)
Wood	Kahoy
Woodrow Wilson	Woodrow Wilson
Word	Salita
World	Mundo
World Bank	Bangkong Pandaigdig
World Trade Organization	Organisasyon ng Pandaigdigang Kalakalan
World War I	Unang Digmaang Pandaigdig
World War II	Ikalawang Digmaang Pandaigdig
World War II	Category:Ikalawang Digmaang Pandaigdig
Worm	Uod
Wuhan	Wuhan
X	X
Xinjiang	Xinjiang
Y	Y
Yahweh	Jehova
Year	Taon
Yemen	Yemen
Yerevan	Yerevan
Yoko Ono	Yoko Ono
Yokohama	Yokohama
Yom Kippur	Araw ng Pagbabayad-puri
Yunnan	Yunnan
Z	Z
Zagreb	Lungsod ng Zagreb
Zambia	Zambia
Zeus	Zeus
Zeus (disambiguation)	Zeus
Zimbabwe	Zimbabwe
Zoology	Category:Soolohiya
Zoroaster	Zoroaster
Zoroastrianism	Soroastrianismo
