English	Latvian
Mainframe computer	Lieldators
Majorca	Majorka
Malacostraca	Augstākie vēži
Malawi	Kategorija:Malāvija
Malaysia	Malaizija
Malaysia	Kategorija:Malaizija
Maldives	Maldīvija
Maldives	Kategorija:Maldīvija
Mali	Mali
Mali	Kategorija:Mali
Malta	Malta
Malta	Kategorija:Malta
Maltese language	Maltiešu valoda
Mammal	Zīdītāji
Manchester	Mančestra
Mandarin (linguistics)	Mandarīnu valoda
Manganese	Mangāns
Manhattan	Manhetena
Manhattan Project	Manhetenas projekts
Manila	Manila
Mannerism	Manierisms
Mannheim	Manheima
Mao Zedong	Mao Dzeduns
Marathon	Maratons
Marc Chagall	Marks Šagāls
Marcel Duchamp	Marsels Dišāns
Marcel Proust	Marsels Prusts
March	Marts
March 17	17. marts
March 19	19. marts
March 2	2. marts
March 25	25. marts
Marche	Marke
Marcus Aurelius	Marks Aurēlijs
Marduk	Marduks
Margaret Mitchell	Margareta Mičela
Marie Curie	Marija Kirī
Marilyn Monroe	Merilina Monro
Market	Tirgus
Marketing	Mārketings
Marketing	Kategorija:Mārketings
Marriage	Laulība
Mars	Kategorija:Marss (planēta)
Mars (disambiguation)	Marss
Marseille	Marseļa
Marshall Islands	Māršala Salas
Marshall Plan	Maršala plāns
Martin Luther	Mārtiņš Luters
Martin Van Buren	Martins Van Burens
Martinique	Martinika
Marxism	Marksisms
Mary (mother of Jesus)	Jaunava Marija
Mary Shelley	Mērija Šellija
Maryland	Mērilenda
Mashhad	Mešheda
Mass	Masa
Massachusetts	Masačūsetsa
Massachusetts Institute of Technology	Masačūsetsas Tehnoloģiskais institūts
Mathematics	Matemātika
Mathematics	Kategorija:Matemātika
Matter	Matērija
Mauna Loa	Maunaloa
Mauritania	Mauritānija
Mauritania	Kategorija:Mauritānija
Mauritius	Maurīcija
Mauritius	Kategorija:Maurīcija
Max Born	Makss Borns
Max Planck	Makss Planks
Max Weber	Makss Vēbers
Maxwell's equations	Integrālie Maksvela vienādojumi
May	Maijs
May 1	1. maijs
May 24	24. maijs
Mayfly	Viendienīšu kārta
McCarthyism	Makartisms
Measurement	Kategorija:Mērīšana
Mecca	Meka
Mechanics	Kategorija:Mehānika
Mechanics	Mehānika
Medicine	Medicīna
Medicine	Kategorija:Medicīna
Mediterranean	Kategorija:Vidusjūra
Mediterranean Sea	Vidusjūra
Megabyte	Megabaits
Mel Gibson	Mels Gibsons
Melanesia	Melanēzija
Melody	Melodija
Melting	Kušana
Melting point	Kušanas temperatūra
Mendelevium	Mendeļejevijs
Mensa (constellation)	Galds (zvaigznājs)
Mercantilism	Merkantīlisms
Mercury	Merkurs
Mercury (element)	Dzīvsudrabs
Mercury (planet)	Merkurs (planēta)
Mermaid	Nāra
Merovingian	Merovingi
Mesolithic	Mezolīts
Meson	Mezoni
Mesopotamia	Divupe
Mesopotamia	Kategorija:Divupe
Mesosphere	Mezosfēra
Metadata	Metadati
Metal	Metāls
Meteor shower	Meteoru plūsma
Meteorite	Meteorīts
Meteoroid	Meteoroīds
Meteorology	Kategorija:Meteoroloģija
Meteorology	Meteoroloģija
Methanol	Metanols
Methionine	Metionīns
Metis (moon)	Metīda (pavadonis)
Metre	Metrs
Mexico	Meksika
Mexico	Kategorija:Meksika
Mexico City	Mehiko
Michael (archangel)	Miķelis
Michael Faraday	Maikls Faradejs
Michelangelo	Mikelandželo
Michigan	Mičigana
Michigan	Kategorija:Mičigana
Microbiology	Mikrobioloģija
Microbiology	Kategorija:Mikrobioloģija
Microeconomics	Mikroekonomika
Micronesia	Mikronēzija (reģions)
Microorganism	Mikroorganisms
Microphone	Mikrofons
Microscope	Mikroskops
Microscopium	Mikroskops (zvaigznājs)
Microwave	Mikroviļņi
Middle Ages	Viduslaiki
Middle Ages	Kategorija:Viduslaiki
Middle East	Tuvie Austrumi
Middle East	Kategorija:Tuvie Austrumi
Milan	Milāna
Mile	Jūdze
Military	Kategorija:Militārisms
Milk	Piens
Milky Way	Piena Ceļš
Millard Fillmore	Milards Filmors
Millimetre	Milimetrs
Millipede	Tūkstoškāji
Milton Friedman	Miltons Frīdmans
Milwaukee	Milvoki
Mineral	Minerāls
Mineralogy	Mineraloģija
Mineralogy	Kategorija:Mineraloģija
Minimalism	Minimālisms
Minnesota	Minesota
Minsk	Minska
Minute	Minūte
Mirror	Spogulis
Mississippi River	Misisipi (upe)
Missouri	Misūri (štats)
Mitochondrion	Mitohondrijs
Mnemosyne	Mnēmosine
Mobile phone	Mobilais telefons
Modem	Modems
Modernism	Modernisms
Modulation	Modulācija
Mogadishu	Mogadiša
Moldova	Moldova
Moldova	Kategorija:Moldova
Mole (unit)	Mols
Molecule	Molekula
Molise	Molize
Mollusca	Moluski
Molybdenum	Molibdēns
Monaco	Monako
Monaco	Kategorija:Monako
Monarchy	Monarhija
Monarchy	Kategorija:Monarhijas
Monastery	Klosteris
Monday	Pirmdiena
Money	Nauda
Mongolia	Mongolija
Mongolia	Kategorija:Mongolija
Monica Seles	Monika Seleša
Monocotyledon	Viendīgļlapji
Monopoly	Monopols
Monotheism	Monoteisms
Monotreme	Kloākaiņi
Montana	Montāna
Monte Carlo	Montekarlo
Montenegro	Melnkalne
Montenegro	Kategorija:Melnkalne
Month	Mēnesis
Montreal	Monreāla
Moon	Mēness
Morality	Morāle
Morocco	Maroka
Morocco	Kategorija:Maroka
Morphine	Morfīns
Morphology (linguistics)	Morfoloģija
Morse code	Morzes kods
Moscow	Maskava
Moses	Mozus
Mosque	Mošeja
Mosul	Mosula
Mother Teresa	Māte Terēze
Motorcycle	Motocikls
Motto	Devīze
Mount Ararat	Ararats (kalns)
Mount Etna	Etna
Mount Everest	Everests
Mount Kilimanjaro	Kilimandžāro
Mount Vesuvius	Vezuvs
Mouse	Peles
Mouse (computing)	Datorpele
Mozambique	Mozambika
Mozambique	Kategorija:Mozambika
Muhammad	Muhameds
Mumbai	Mumbaja
Mummy	Mūmija
Munich	Minhene
Municipality	Pašvaldība
Muon	Mions
Murray Gell-Mann	Mjurejs Gells-Manns
Musca	Muša (zvaigznājs)
Muscle	Muskuļi
Mushroom	Sēnes
Music	Mūzika
Music	Kategorija:Mūzika
Musical Instrument Digital Interface	MIDI
Musical instrument	Mūzikas instrumenti
Musical scale	Gamma
Musician	Mūziķis
Mutation	Mutācija
Myanmar	Kategorija:Mjanma
Mycology	Mikoloģija
Mycology	Kategorija:Mikoloģija
Myriapoda	Daudzkāji
Mythology	Mitoloģija
Mythology	Kategorija:Mitoloģija
N	N
NATO	NATO
Nairobi	Nairobi
Namibia	Namībija
Namibia	Kategorija:Namībija
Nantes	Nante
Naples	Neapole
National anthem	Valsts himna
National park	Nacionālais parks
Nationalism	Nacionālisms
Natural number	Naturāls skaitlis
Natural science	Dabas zinātne
Nature	Daba
Nature	Kategorija:Daba
Nauru	Nauru
Nauru	Kategorija:Nauru
Nautical mile	Jūras jūdze
Navigation	Kategorija:Navigācija
Navy	Flote
Nazi Party	NSDAP
Nebraska	Nebraska
Nebraska	Kategorija:Nebraska
Nebuchadrezzar II	Nebukadnecars II
Neckar	Nekāra
Neil Armstrong	Nīls Ārmstrongs
Nelson Mandela	Nelsons Mandela
Neodymium	Neodīms
Neolithic	Neolīts
Neon	Neons
Nepal	Nepāla
Nepal	Kategorija:Nepāla
Neptune	Neptūns (planēta)
Neptunium	Neptūnijs
Nereid (moon)	Nereīda (pavadonis)
Nervous system	Nervu sistēma
Nervous system	Kategorija:Nervu sistēma
Netherlands	Nīderlande
Netherlands	Kategorija:Nīderlande
Network topology	Tīkla topoloģija
Neuron	Neirons
Neutrino	Neitrīno
Neutron	Neitrons
Neutron star	Neitronu zvaigzne
Nevada	Nevada
Nevada	Kategorija:Nevada
Neville Chamberlain	Nevils Čemberlens
New Caledonia	Jaunkaledonija
New Guinea	Jaungvineja
New Hampshire	Ņūhempšīra
New Jersey	Ņūdžersija
New Jersey	Kategorija:Ņūdžersija
New Mexico	Ņūmeksika
New York	Ņujorka (štats)
New York	Kategorija:Ņujorka
New York (disambiguation)	Ņujorka
New York City	Ņujorka (pilsēta)
New Zealand	Jaunzēlande
New Zealand	Kategorija:Jaunzēlande
Newton	Ņūtons
Niagara Falls	Niagāras ūdenskritums
Nicaragua	Nikaragva
Nicaragua	Kategorija:Nikaragva
Nice	Nica
Nickel	Niķelis
Nicolaus Copernicus	Nikolajs Koperniks
Niels Bohr	Nīlss Bors
Niger	Nigēra
Niger	Kategorija:Nigēra
Nigeria	Nigērija
Nigeria	Kategorija:Nigērija
Night	Nakts
Nijmegen	Nijmēgena
Nikita Khrushchev	Ņikita Hruščovs
Nikola Tesla	Nikola Tesla
Nile	Nīla
Nile crocodile	Nīlas krokodils
Niobium	Niobijs
Nitric acid	Slāpekļskābe
Nitrogen	Slāpeklis
Nitroglycerin	Nitroglicerīns
Njord	Njords
Noam Chomsky	Noams Čomskis
Nobel Prize	Nobela prēmija
Nobel Prize	Kategorija:Nobela prēmija
Nobelium	Nobēlijs
Noble gas	Cēlgāzes
Nomad	Nomadi
Norfolk	Norfolka, Lielbritānija
Norfolk Island	Norfolkas Sala
Norma (constellation)	Leņķmērs (zvaigznājs)
Normal distribution	Normālsadalījums
Norn	Nornas
Norse mythology	Skandināvu mitoloģija
North America	Ziemeļamerika
North America	Kategorija:Ziemeļamerika
North Carolina	Ziemeļkarolīna
North Dakota	Ziemeļdakota
North Korea	Ziemeļkoreja
North Korea	Kategorija:Ziemeļkoreja
North Pole	Ziemeļpols
North Sea	Ziemeļjūra
North Yorkshire	Nortjorkšīra
Northern Europe	Ziemeļeiropa
Northern Hemisphere	Ziemeļu puslode
Northern Ireland	Ziemeļīrija
Northern Mariana Islands	Ziemeļu Marianas Salas
Norway	Norvēģija
Norway	Kategorija:Norvēģija
Norwegian Sea	Norvēģu jūra
Nouakchott	Nuakšota
Noun	Lietvārds
Novel	Romāns
November	Novembris
November 1	1. novembris
November 2	2. novembris
Novosibirsk	Novosibirska
Nuclear physics	Kategorija:Kodolfizika
Nuclear weapon	Kodolieroči
Nucleic acid	Nukleīnskābes
Nucleon	Nukloni
Number	Skaitlis
Numbers	Kategorija:Skaitļi
Numismatics	Numismātika
Nuremberg	Nirnberga
O	O
OPEC	OPEC
Oak	Ozoli
Oat	Auzas
Ob River	Oba
Oboe	Oboja
Observatory	Observatorija
Ocean	Okeāns
Oceania	Okeānija
Oceania	Kategorija:Okeānija
Oceanography	Okeanogrāfija
Oceanography	Kategorija:Okeanogrāfija
Octans	Oktants (zvaigznājs)
Octave	Oktāva
October	Oktobris
October Revolution	Oktobra revolūcija
Oder River	Odra
Odessa	Odesa
Odin	Odins
Odonata	Spāru kārta
Ohio	Ohaio
Ohm	Oms
Ohm's law	Oma likums
Oklahoma	Oklahoma
Oklahoma	Kategorija:Oklahoma
Old Testament	Vecā Derība
Oligarchy	Oligarhija
Oligopoly	Oligopols
Olympic Games	Olimpiskās spēles
Olympics	Kategorija:Olimpiskās spēles
Oman	Omāna
Oman	Kategorija:Omāna
Omsk	Omska
Onomastics	Onomastika
Opel	Opel
Opera	Opera
Opera (Internet suite)	Opera (interneta pārlūks)
Operating system	Operētājsistēma
Operetta	Operete
Ophiuchus	Čūsknesis
Optics	Optika
Optics	Kategorija:Optika
Oratorio	Oratorija
Orbit	Orbīta
Orca	Zobenvalis
Orchestra	Orķestris
Order of Saint Benedict	Benediktīniešu ordenis
Oregon	Oregona
Organ (anatomy)	Orgāni
Organelle	Šūnas organoīdi
Organic chemistry	Organiskā ķīmija
Organic chemistry	Kategorija:Organiskā ķīmija
Organism	Organisms
Original sin	iedzimtais grēks
Orion (constellation)	Orions
Osaka	Osaka
Osama bin Laden	Osama bin Ladens
Oscar Wilde	Oskars Vailds
Oscillation	Svārstības
Oslo	Oslo
Osman I	Osmans I
Osmium	Osmijs
Osteichthyes	Kaulzivis
Osteoporosis	Osteoporoze
Ostrava	Ostrava
Ottawa	Otava
Otto von Bismarck	Oto fon Bismarks
Ottoman Empire	Osmaņu impērija
Ottoman Empire	Kategorija:Osmaņu impērija
Ovid	Ovīdijs
Oxford	Oksforda
Oxidation state	Oksidēšanas pakāpe
Oxide	Oksīds
Oxygen	Skābeklis
Ozone	Ozons
P	P
PH	PH
Pablo Neruda	Pablo Neruda
Pablo Picasso	Pablo Pikaso
Pacific Ocean	Klusais okeāns
Pacific Ocean	Kategorija:Klusais okeāns
Painting	Kategorija:Glezniecība
Pakistan	Pakistāna
Pakistan	Kategorija:Pakistāna
Palau	Palau
Palau	Kategorija:Palau
Paleolithic	Paleolīts
Paleontology	Kategorija:Paleontoloģija
Palermo	Palermo
Palestine	Kategorija:Palestīna
Palestinian National Authority	Palestīna
Palladium	Pallādijs
Pan (mythology)	Pāns
Panama	Panama
Panama	Kategorija:Panama
Panama Canal	Panamas kanāls
Pandemic	Pandēmija
Pantheism	Panteisms
Papua New Guinea	Papua-Jaungvineja
Papua New Guinea	Kategorija:Papua-Jaungvineja
Paradox	Paradokss
Paraguay	Paragvaja
Paraguay	Kategorija:Paragvaja
Parallax	Paralakse
Parallelogram	Paralelograms
Paris	Parīze
Paris	Kategorija:Parīze
Parmenides	Parmenīds
Parsec	Parseks
Parthenon	Partenons
Pascal	Paskāls (nozīmju atdalīšana)
Pascal (unit)	Paskāls
Passeriformes	Kategorija:Zvirbuļveidīgie
Patras	Patras
Patriarch	Patriarhs
Patrick White	Patriks Vaits
Paul Gauguin	Pols Gogēns
Paul McCartney	Pols Makartnijs
Pavo (constellation)	Pāvs (zvaigznājs)
Pedagogy	Pedagoģija
Pedagogy	Kategorija:Pedagoģija
Pedunculate Oak	Parastais ozols
Pegasus	Pegazs
Pegasus (constellation)	Pegazs (zvaigznājs)
Penguin	Pingvīnu dzimta
Pennsylvania	Pensilvānija
People	Kategorija:Cilvēki
People's Republic of China	Ķīna
Pepin the Short	Pipins Īsais
Percentage	Procents
Peregrine Falcon	Lielais piekūns
Perestroika	Perestroika
Periodic table	Ķīmisko elementu periodiskā tabula
Perm	Perma
Persephone	Persefone
Perseus (constellation)	Persejs
Personal digital assistant	Plaukstdators
Peru	Peru
Peru	Kategorija:Peru
Peter Abelard	Pjērs Abelārs
Petroleum	Nafta
Pharaoh	Faraons
Phenol	Fenols
Phenylalanine	Fenilalanīns
Philadelphia	Filadelfija
Philip II of Macedon	Filips II (Maķedonija)
Philip II of Spain	Felipe II
Philippine Sea	Filipīnu jūra
Philippines	Filipīnas
Philippines	Kategorija:Filipīnas
Philosophy	Filozofija
Philosophy	Kategorija:Filozofija
Phoenicia	Feniķija
Phoenix	Fīniksa
Phoenix	Phoenix
Phoenix (constellation)	Fēnikss (zvaigznājs)
Phoenix (spacecraft)	Phoenix (zonde)
Phoneme	Fonēma
Phonetics	Fonētika
Phonetics	Kategorija:Fonētika
Phosphoric acid	Fosforskābe
Phosphorus	Fosfors
Photography	Fotogrāfija
Photon	Fotons
Photosphere	Fotosfēra
Photosynthesis	Fotosintēze
Phylum	Tips (bioloģija)
Physician	Ārsts
Physics	Fizika
Physics	Kategorija:Fizika
Physiology	Fizioloģija
Physiology	Kategorija:Fizioloģija
Pi	Pī
Piano	Klavieres
Pictor	Gleznotājs (zvaigznājs)
Piedmont	Pjemonta
Pilsen	Plzeņa
Pinaceae	Priežu dzimta
Pindar	Pindars
Pisa	Piza
Pisces (constellation)	Zivis (zvaigznājs)
Piston	Virzulis
Plagiarism	Plaģiāts
Planet	Planēta
Plant	Augi
Plasma (physics)	Plazma
Plate tectonics	Plātņu tektonika
Platinum	Platīns
Plato	Platons
Platypus	Pīļknābis
Playing card	Spēļu kārtis
Pliny the Elder	Plīnijs Vecākais
Plovdiv	Plovdiva
Pluto	Plutons (planēta)
Pluto (disambiguation)	Plutons
Plutonium	Plutonijs
Plymouth	Plimuta
Po River	Po (upe)
Podcast	Podkāsts
Poetry	Dzeja
Poison	Inde
Poker	Pokers
Poland	Polija
Poland	Kategorija:Polija
Polar bear	Polārlācis
Poliomyelitis	Poliomielīts
Political science	Politoloģija
Political science	Kategorija:Politoloģija
Politics	Politika
Politics	Kategorija:Politika
Pollen	Putekšņi
Polonium	Polonijs
Polyethylene	Polietilēns
Polynesia	Polinēzija
Polynomial	Polinoms
Pompeii	Pompeji
Pop music	Popmūzika
Pope	Romas pāvests
Poplar	Apses
Population	Iedzīvotāju skaits
Port Moresby	Portmorsbija
Port-au-Prince	Portofprensa
Porto	Portu
Portugal	Portugāle
Portugal	Kategorija:Portugāle
Poseidon	Poseidons
Potassium	Kālijs
Potassium nitrate	Kālija nitrāts
Pound sterling	Sterliņu mārciņa
Power (physics)	Jauda
Prague	Prāga
Praia	Praja
Praseodymium	Prazeodīms
Precipitation (meteorology)	Nokrišņi
Prehistory	Aizvēsture
Prehistory	Kategorija:Aizvēsture
President	Prezidents
President of the United States	ASV prezidents
Pressure	Spiediens
Price	Cena
Primate	Primāti
Primates	Kategorija:Primāti
Prime Meridian	Griničas meridiāns
Prime minister	Premjerministrs
Prime number	Pirmskaitlis
Prince of Wales	Velsas princis
Principle of relativity	Relativitātes teorija
Printing	Tipogrāfija
Prism (geometry)	Prizma
Probability	Varbūtība
Probability theory	Varbūtību teorija
Probability theory	Kategorija:Varbūtību teorija
Programming language	Programmēšanas valoda
Project	Projekts
Prokaryote	Prokariots
Promethium	Prometijs
Pronoun	Vietniekvārds
Propaganda	Propaganda
Propane	Propāns
Prose	Proza
Protactinium	Protaktīnijs
Protein	Olbaltumvielas
Protestant Reformation	Reformācija
Protestantism	Protestantisms
Proton	Protons
Protozoa	Vienšūņi
Providence	Providensa
Prussia	Prūsija
Pseudoscience	Kategorija:Pseidozinātne
Psychoanalysis	Psihoanalīze
Psychology	Psiholoģija
Psychology	Kategorija:Psiholoģija
Psychosis	Psihoze
Puerto Rico	Puertoriko
Pulsar	Pulsārs
Punctuation	Interpunkcija
Punk rock	Pankroks
Puppis	Kuģa Gals
Pyongyang	Phenjana
Pyrenees	Pireneji
Pythagoras	Pitagors
Pyxis	Kompass (zvaigznājs)
Q	Q
Qatar	Katara
Qatar	Kategorija:Katara
Qin Dynasty	Ciņu dinastija
Quadratic equation	Kvadrātvienādojums
Quadrilateral	Četrstūris
Quantum mechanics	Kvantu mehānika
Quantum mechanics	Category:Kvantu mehānika
Quark	Kvarki
Quartz	Kvarcs
Quasar	Kvazāri
Quechua	Kečvu valoda
Queens	Kvīnsa
Quito	Kito
R	R
RAID	RAID
RNA	Ribonukleīnskābe
Ra	Ra
Rabat	Rabata
Rabbi	Rabīns
Racism	Rasisms
Racism	Kategorija:Rasisms
Radar	Jūras radars
Radio	Kategorija:Radio
Radio telescope	Radioteleskops
Radium	Rādijs
Radius	Rādiuss
Radon	Radons
Rain	Lietus
Rainbow	Varavīksne
Rainer Maria Rilke	Rainers Marija Rilke
Ramesses II	Ramzess Lielais
Random access memory	Brīvpiekļuves atmiņa
Ranunculaceae	Gundegu dzimta
Rational number	Racionāls skaitlis
Rawalpindi	Ravalpindi
Ray Bradbury	Rejs Bredberijs
Read-only memory	Lasāmatmiņa
Real number	Reāls skaitlis
Rectangle	Taisnstūris
Rectifier	Taisngriezis
Red Fox	Rudā lapsa
Red Sea	Sarkanā jūra
Reduced instruction set computer	RISC
Refraction	Gaismas laušana
Refractive index	Laušanas koeficients
Refugee	Bēgļi
Reggae	Regejs
Region	Reģions
Reims	Reimsa
Relativity	Kategorija:Relativitātes teorija
Relay	Relejs
Religion	Reliģija
Religion	Kategorija:Reliģija
Renaissance	Renesanse
Reptile	Rāpuļi
Republic	Republika
Republic of Ireland	Īrija
Republic of Ireland	Kategorija:Īrija
Republic of the Congo	Kongo (valsts)
Republic of the Congo	Kategorija:Kongo Republika
Resistor	Rezistors
Reticulum	Tīkliņš (zvaigznājs)
Revolution	Revolūcija
Rhea (mythology)	Reja
Rhenium	Rēnijs
Rhine	Reina
Rhode Island	Rodailenda
Rhodium	Rodijs
Rhombus	Rombs
Rhythm	Ritms
Rib	Ribas
Richard Nixon	Ričards Niksons
Richard Wagner	Rihards Vāgners
Riga	Rīga
Right ascension	Rektascensija
Ringo Starr	Ringo Stārs
Rio de Janeiro	Riodežaneiro (pilsēta)
Rio de Janeiro (state)	Riodežaneiro (štats)
River	Upe
Riyadh	Rijāda
Roald Amundsen	Roalds Amundsens
Robert A. Heinlein	Roberts Hainlains
Robert Andrews Millikan	Roberts Milikens
Robert Boyle	Roberts Boils
Robert Burns	Roberts Bērnss
Robert De Niro	Roberts De Niro
Robert Louis Stevenson	Roberts Luiss Stīvensons
Robert Oppenheimer	Roberts Openheimers
Robot	Robots
Rock	Akmens, šķēres, papīrīt`s
Rock (geology)	Ieži
Rock and roll	Rokenrols
Rococo	Rokoko
Rodent	Grauzēji
Roman Catholic Church	Romas Katoļu baznīca
Roman Empire	Romas impērija
Romania	Rumānija
Romania	Kategorija:Rumānija
Romansh	Retoromāņu valoda
Romanticism	Romantisms
Rome	Roma
Ronald Reagan	Ronalds Reigans
Roosevelt	Rūzvelts
Rosario	Rosario
Ross Sea	Rosa jūra
Rotterdam	Roterdama
Rubidium	Rubīdijs
Ruby	Rubīns
Rudolf Diesel	Rūdolfs Dīzels
Rugby football	Regbijs
Russia	Krievija
Russia	Kategorija:Krievija
Russian Revolution (1917)	1917. gada Krievijas revolūcija
Ruthenium	Rutēnijs
Rutherford B. Hayes	Raterfords Heiss
Rwanda	Ruanda
Rwanda	Kategorija:Ruanda
S	S
SOS	SOS
Sacramento	Sakramento
Saddam Hussein	Sadams Huseins
Sagitta	Bulta (zvaigznājs)
Sahara	Sahāras tuksnesis
Saint Kitts and Nevis	Sentkitsa un Nevisa
Saint Kitts and Nevis	Kategorija:Sentkitsa un Nevisa
Saint Lucia	Sentlūsija
Saint Lucia	Kategorija:Sentlūsija
Saint Martin	Senmartēna (sala)
Saint Petersburg	Sanktpēterburga
Saint Petersburg	Kategorija:Sanktpēterburga
Saint Vincent and the Grenadines	Sentvinsenta un Grenadīnas
Saint Vincent and the Grenadines	Kategorija:Sentvinsenta un Grenadīnas
Saladin	Saladīns
Saliva	Siekalas
Salman Rushdie	Salmans Rušdi
Salvador	Salvadora (pilsēta)
Salzburg	Zalcburga
Salzburg (state)	Zalcburga (zeme)
Samara	Samāra
Samarium	Samārijs
Samoa	Samoa
Samoa	Kategorija:Samoa
Samuel Taylor Coleridge	Semjuels Kolridžs
San Antonio	Sanantonio
San Diego	Sandjego
San Francisco	Sanfrancisko
San Jose	Sanhosē
San Marino	Sanmarīno
San Marino	Kategorija:Sanmarīno
Sandro Botticelli	Sandro Botičelli
Sanskrit	Sanskrits
Santiago	Santjago
Sapphire	Safīrs
Sappho	Sapfo
Sarajevo	Sarajeva
Saratov	Saratova
Sardinia	Sardīnija
Sari	Sari (pilsēta)
Sarin	Zarīns
Satellite	Mākslīgais pavadonis
Saturday	Sestdiena
Saturn	Saturns (planēta)
Saturn	Kategorija:Saturns (planēta)
Saturn (disambiguation)	Saturns
Saudi Arabia	Saūda Arābija
Saudi Arabia	Kategorija:Saūda Arābija
Saul Bellow	Sols Belovs
Savanna	Savanna
Saxony	Saksija
Saxony	Kategorija:Saksija
Scandinavia	Skandināvija
Scandium	Skandijs
Scholasticism	Sholastika
Science	Zinātne
Science	Kategorija:Zinātne
Science fiction	Zinātniskā fantastika
Science fiction	Kategorija:Zinātniskā fantastika
Scientist	Zinātnieks
Scorpion	Skorpioni
Scorpius	Skorpions (zvaigznājs)
Scotland	Skotija
Scotland	Kategorija:Skotija
Sculpture	Tēlniecība
Sculpture	Kategorija:Tēlniecība
Sea	Jūra
Sea anemone	Jūras anemones
Sea level	Jūras līmenis
Sea of Azov	Azovas jūra
Sea of Japan	Japāņu jūra
Sea of Marmara	Marmora jūra
Sea of Okhotsk	Ohotskas jūra
Search engine	Meklētājprogramma
Season	Gadalaiks
Seattle	Sietla
Second	Sekunde
Second law of thermodynamics	Otrais termodinamikas likums
Security	Kategorija:Drošība
Seismology	Seismoloģija
Seismology	Kategorija:Seismoloģija
Selenium	Selēns
Semantics	Semantika
Semiconductor	Pusvadītājs
Semiotics	Semiotika
Senegal	Senegāla
Senegal	Kategorija:Senegāla
Seoul	Seula
September	Septembris
September 11	2001. gada 11. septembra uzbrukums ASV
Serbia	Serbija
Serbia and Montenegro	Serbija un Melnkalne
Serbia and Montenegro	Kategorija:Serbija un Melnkalne
Sergei Eisenstein	Sergejs Eizenšteins
Serine	Serīns
Serpens	Čūska (zvaigznājs)
Server (computing)	Serveris
Set	Kopa
Sevastopol	Sevastopole
Severe acute respiratory syndrome	SARS
Seville	Seviļa
Seychelles	Seišelu Salas
Seychelles	Kategorija:Seišelu salas
Shah	Šahs (monarhs)
Shahadah	Šahāda
Shanghai	Šanhaja
Sharia	Šariats
Shark	Haizivs
Sheffield	Šefīlda
Shinto	Sintoisms
Ship	Kuģis
Siberia	Sibīrija
Sicily	Sicīlija
Sierra Leone	Sjerraleone
Sierra Leone	Kategorija:Sjerraleone
Sigmund Freud	Zigmunds Freids
Sign language	Žestu valoda
Sigrid Undset	Sigrida Unsete
Sikhism	Sikhisms
Silicon	Silīcijs
Silicon dioxide	Silīcija dioksīds
Silk	Zīds
Silk Road	Zīda ceļš
Silver	Sudrabs
Sin	Grēks
Singapore	Singapūra
Singapore	Kategorija:Singapūra
Six-Day War	Sešu dienu karš
Skin	Āda
Skinhead	Skinhedi
Skopje	Skopje
Skull	Galvaskauss
Skyscraper	Debesskrāpis
Slovakia	Slovākija
Slovakia	Kategorija:Slovākija
Slovenia	Slovēnija
Slovenia	Kategorija:Slovēnija
Smog	Smacenis
Smolensk	Smoļenska
Snake	Čūskas
Snooker	Snūkers
Snow	Sniegs
Socialism	Sociālisms
Socialism	Kategorija:Sociālisms
Society	Kategorija:Sabiedrība
Society of Jesus	Jezuīti
Sociology	Socioloģija
Sociology	Kategorija:Socioloģija
Socrates	Sokrats
Sodium	Nātrijs
Sodium chloride	Nātrija hlorīds
Sodium hydroxide	Nātrija hidroksīds
Sofia	Sofija
Software	Kategorija:Programmatūra
Soil	Augsne
Solar System	Saules sistēma
Solar System	Kategorija:Saules sistēma
Solar cell	Saules baterija
Solar eclipse	Saules aptumsums
Solar wind	Saules vējš
Solid	Cieta viela
Solid state	Cieta viela
Solomon Islands	Zālamana Salas
Solomon Islands	Kategorija:Zālamana salas
Solon	Solons
Solution	Šķīdums
Somalia	Somālija
Somalia	Kategorija:Somālija
Somerset	Somerseta
Sonata	Sonāte
Sonnet	Sonets
Sophism	Sofisms
Sophocles	Sofokls
Soul	Dvēsele
Sound	Skaņa
Soup	Zupa
Source code	Pirmkods
South	Dienvidi
South Africa	Kategorija:Dienvidāfrikas Republika
South America	Dienvidamerika
South America	Kategorija:Dienvidamerika
South Carolina	Dienvidkarolīna
South China Sea	Dienvidķīnas jūra
South Dakota	Dienviddakota
South Korea	Dienvidkoreja
South Korea	Kategorija:Dienvidkoreja
South Pole	Dienvidpols
Southeast Asia	Dienvidaustrumāzija
Southern Hemisphere	Dienvidu puslode
Soviet Union	Padomju Savienība
Soviet Union	Kategorija:Padomju Savienība
Space station	Orbitālā stacija
Spacecraft	Kosmosa kuģis
Spain	Spānija
Spain	Kategorija:Spānija
Spanish Civil War	Spānijas pilsoņu karš
Spanish people	Kategorija:Spānijas cilvēki
Sparta	Sparta
Species	Suga
Speed	Ātrums
Speed of light	Gaismas ātrums
Sperm Whale	Kašalots
Spermatophyte	Sēklaugi
Sphere	Sfēra
Spice	Garšvielas
Spider	Zirnekļi
Spin (physics)	Spins
Split	Splita
Sport	Sports
Spree	Šprē
Spring (season)	Pavasaris
Squamata	Zvīņrāpuļi
Square (geometry)	Kvadrāts
Squash (sport)	Skvošs
Sri Lanka	Šrilanka
Sri Lanka	Kategorija:Šrilanka
