English	Interlingua
Otto von Bismarck	Otto von Bismarck
Ottoman Empire	Imperio Ottoman
Oxygen	Oxygeno
PH	Potential de hydrogeno
Pablo Picasso	Pablo Picasso
Pacific Ocean	Oceano Pacific
Painting	Categoria:Pictura
Pakistan	Pakistan
Pakistan	Categoria:Pakistan
Paleontology	Paleontologia
Palermo	Palermo
Palestine	Palestina
Palindrome	Palindromo
Papua New Guinea	Papua Nove Guinea
Papua New Guinea	Categoria:Papua Nove Guinea
Paris	Paris
Particle physics	Physica de particulas
Pedagogy	Pedagogia
People	Categoria:Gente
People's Republic of China	China
Perception	Perception
Periodic table	Tabella periodic del elementos
Perm	Perm
Peru	Peru
Peru	Categoria:Peru
Petroleum	Petroleo
Philadelphia	Philadelphia, Pennsylvania
Philately	Philatelia
Philippines	Philippinas
Philippines	Categoria:Philippinas
Philology	Philologia
Philosophy	Philosophia
Philosophy	Categoria:Philosophia
Phobos (moon)	Phobos (luna)
Phoenix	Phoenix, Arizona
Phonetics	Phonetica
Phonetics	Categoria:Phonetica
Photography	Categoria:Photographia
Photosynthesis	Photosynthesis
Physics	Physica
Physics	Categoria:Physica
Physiology	Categoria:Physiologia
Pi	Pi
Pierre	Pierre, South Dakota
Pittsburgh	Pittsburgh, Pennsylvania
Planet	Planeta
Plankton	Plancton
Plant	Plantae
Plasma (physics)	Plasma
Platelet	Plachetta
Platinum	Platino
Poetry	Poesia
Poetry	Categoria:Poesia
Poland	Polonia
Poland	Categoria:Polonia
Politics	Politica
Politics	Categoria:Politica
Pollen	Polline
Polytheism	Polytheismo
Pompey	Pompeio Magne
Pope	Papa
Portland	Portland, Oregon
Portugal	Portugal
Portugal	Categoria:Portugal
Postmodernism	Postmodernismo
Praetor	Praetor
Prague	Praga
Primate	Primate
Prion	Prion
Programming language	Linguage de programmation
Protestantism	Protestantismo
Proton	Proton
Providence	Providence, Rhode Island
Pseudoscience	Categoria:Pseudoscientias
Pseudoscience	Pseudoscientia
Psychiatry	Psychiatria
Psychology	Psychologia
Psychology	Categoria:Psychologia
Ptolemy	Ptolemeo
Public domain	Dominio public
Puerto Rico	Porto Rico
Puerto Rico	Categoria:Porto Rico
Pyrrhic victory	Victoria pyrrhic
Quantum mechanics	Mechanica quantic
Quaternion	Quaternion
Quebec	Québec
Rabbi	Rabbi
Radioactive decay	Radioactivitate
Radium	Radium
Raleigh	Raleigh, North Carolina
Rat	Ratto
Red blood cell	Erythrocyto
Reincarnation	Reincarnation
Religion	Religion
Religion	Categoria:Religion
Republic	Republica
Republic of China	Republica de China
Republic of Ireland	Republica de Irlanda
Republic of Ireland	Categoria:Irlanda
Republic of the Congo	Republica del Congo
Republic of the Congo	Categoria:Republica del Congo
Rhetoric	Categoria:Rhetorica
Ribosome	Ribosoma
Richmond	Richmond, Virginia
Rio de Janeiro (state)	Rio de Janeiro
Roald Amundsen	Roald Amundsen
Roman Catholic Church	Ecclesia Catholic
Roman Empire	Imperio Roman
Roman calendar	Calendario roman
Roman mythology	Mythologia roman
Roman mythology	Categoria:Mythologia roman
Romania	Romania
Romania	Categoria:Romania
Rome	Roma
Rose	Rosa
Ruby (programming language)	Ruby (linguage de programmation)
Russia	Russia
Russia	Categoria:Russia
Rwanda	Ruanda
Rwanda	Categoria:Ruanda
Sacrament	Sacramento
Sacramento	Sacramento, California
Safari (web browser)	Safari (navigator del web)
Saint Paul	Saint Paul, Minnesota
Salem	Salem, Oregon
San Antonio	San Antonio, Texas
San Diego	San Diego, California
San Francisco	San Francisco, California
San Jose	San José, California
San Marino	San Marino
San Marino	Categoria:San Marino
San Salvador	San Salvador
Sanskrit	Sanscrito
Santa Fe	Santa Fe, New Mexico
Santos (Săo Paulo)	Santos
Sardinia	Sardenia
Satellite	Satellite
Saturday	Sabbato
Saturn	Saturno (planeta)
Saturn (disambiguation)	Saturno (disambiguation)
Saudi Arabia	Arabia Saudi
Saudi Arabia	Categoria:Arabia Saudi
Scandinavia	Scandinavia
Schizophrenia	Schizophrenia
Scholasticism	Scholasticismo
School	Schola
Science	Scientia
Science	Categoria:Scientias
Science fiction	Science-fiction
Scotland	Scotia
Sculpture	Sculptura
Sculpture	Categoria:Sculptura
Search engine	Mechanismo de recerca
Season	Station del anno
Second	Secunda
Sect	Secta
Semantics	Semantica
Senegal	Categoria:Senegal
Seoul	Seoul
September	Septembre
September 11	11 de septembre
September 17	17 de septembre
September 29	29 de septembre
Septuagint	Septuaginta
Serbia	Serbia
Serbia	Categoria:Serbia
Server (computing)	Servitor
Set	Ensemble
Seville	Sevilla
Sex	Sexo
Sexual intercourse	Coito
Sicily	Sicilia
Sigmund Freud	Sigmund Freud
Sin	Peccato
Skepticism	Scepticismo
Slovakia	Slovachia
Slovakia	Categoria:Slovachia
Slovenia	Slovenia
Slovenia	Categoria:Slovenia
Society	Categoria:Societate
Sociology	Sociologia
Sociology	Categoria:Sociologia
Socrates	Socrates
Sofia	Sofia
Software	Categoria:Software
Solar System	Systema solar
Solar System	Categoria:Systema solar
Song	Canto
Sorbonne	Sorbonne
South Africa	Categoria:Africa del Sud
South America	America del Sud
South America	Categoria:America del Sud
South Korea	Corea del Sud
South Korea	Categoria:Corea del Sud
Soviet Union	Union Sovietic
Soybean	Soya
Space	Spatio
Spaghetti	Spaghetti
Spain	Espania
Spain	Categoria:Espania
Spam (electronic)	Spam
Spanish Civil War	Guerra Civil Espaniol
Spanish people	Categoria:Gente espaniol
Special relativity	Relativitate special
Species	Specie
Sphere	Sphera
Sport	Sport
Springfield	Springfield, Illinois
St. Louis	Saint Louis, Missouri
Star	Stella
Statistics	Statistica
Statistics	Categoria:Statistica
Stockholm	Stockholm
String theory	Theoria Chorda
Structuralism	Structuralismo
Stub	Patrono:Pecietta
Sudoku	Sudoku
Sumo	Sumo
Sun	Sol
Sunday	Dominica
Superman	Superman
Supernova	Supernova
Sweden	Svedia
Sweden	Categoria:Svedia
Swiss people	Categoria:Gente switze
Switzerland	Suissa
Switzerland	Categoria:Suissa
Synagogue	Synagoga
Syntax	Syntaxe
Tacitus	Tacito
Taekwondo	Taekwondo
Taiwan	Categoria:Taiwan
Taiwan	Taiwan
Tajikistan	Tajikistan
Tajikistan	Categoria:Tajikistan
Tallahassee	Tallahassee, Florida
Tallinn	Tallinn
Talmud	Talmud
Tampa	Tampa, Florida
Tanzania	Tanzania
Tanzania	Categoria:Tanzania
Taoism	Taoismo
Tasmania	Tasmania
Technology	Technologia
Technology	Categoria:Technologia
Telecommunication	Telecommunication
Television	Television
Television	Categoria:Television
Ten Commandments	Dece Commandamentos
Terrestrial planet	Planeta terrestre
Terrorism	Categoria:Terrorismo
The Gambia	Gambia
The Gambia	Categoria:Gambia
Theatre	Theatro
Theatre	Categoria:Theatro
Theology	Theologia
Theology	Categoria:Theologia
Thorium	Thorium
Thought	Pensamento
Thursday	Jovedi
Tibet	Tibet
Tilia	Tilia
Time	Categoria:Tempore
Time zone	Fuso horari
Tokyo	Tokyo
Tongue	Lingua (anatomia)
Tony Blair	Tony Blair
Topeka	Topeka, Kansas
Topology	Categoria:Topologia
Toronto	Toronto
Tourism	Tourismo
Tourism	Categoria:Tourismo
Tradition	Tradition
Transistor	Transistor
Transportation	Categoria:Transporto
Tree	Arbore
Trenton	Trenton, New Jersey
Triceratops	Triceratops
Trinity	Trinitate
Troposphere	Troposphera
Tsunami	Tsunami
Tuberculosis	Tuberculosis
Tuesday	Martedi
Turkey	Turchia
Turkey	Categoria:Turchia
Turkmenistan	Categoria:Turkmenistan
Tuscany	Toscana
Tuvalu	Tuvalu
Tuvalu	Categoria:Tuvalu
Tycho Brahe	Tycho Brahe
Typography	Categoria:Typographia
Uganda	Uganda
Uganda	Categoria:Uganda
Ukraine	Ukraina
Ukraine	Categoria:Ukraina
United Arab Emirates	Emiratos Arabe Unite
United Arab Emirates	Categoria:Emiratos Arabe Unite
United Kingdom	Regno Unite
United Kingdom	Categoria:Regno Unite
United Nations	Organisation del Nationes Unite
United States	Statos Unite de America
United States	Categoria:Statos Unite de America
United States Congress	Congresso del Statos Unite
University	Universitate
Unix	UNIX
Uzbekistan	Uzbekistan
Uzbekistan	Categoria:Uzbekistan
Vagina	Vagina
Vancouver	Vancouver
Vatican City	Citate del Vaticano
Vatican City	Categoria:Citate del Vaticano
Venezuela	Venezuela
Venezuela	Categoria:Venezuela
Venus	Venus (planeta)
Venus (disambiguation)	Venus (disambiguation)
Venus (mythology)	Venus (mythologia)
Vertebrate	Vertebrato
Vienna	Vienna
Vietnam	Vietnam
Vietnam	Categoria:Vietnam
Violin	Violino
Volcano	Vulcano
Vulcan (mythology)	Vulcano (mythologia)
Vulgar Latin	Latino vulgar
Vulgate	Vulgata
Wahhabism	Wahhabismo
Wales	Galles
Walt Disney	Walt Disney
War	Guerra
War	Categoria:Guerra
Warsaw	Varsovia
Water	Aqua
Web browser	Navigator web
Web page	Pagina web
Website	Sito web
Wednesday	Mercuridi
Week	Septimana
White blood cell	Leucocyto
Wicca	Wicca
William Shakespeare	William Shakespeare
Wine	Vino
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Woman	Femina
Word	Vocabulo
World	Mundo
World War I	Prime Guerra Mundial
World War II	Secunde Guerra Mundial
World War II	Categoria:Secunde Guerra Mundial
World Wide Web	World Wide Web
Yahweh	Tetragrammaton
Year	Anno
Years	Categoria:Annos
Yoga	Yoga
Zambezi	Zambezi
Zebra	Zebra
Zen	Zen
Zeus	Zeus
Zoology	Zoologia
Zoology	Categoria:Zoologia
Zoroaster	Zoroastro
Zoroastrianism	Zoroastrismo
