English	Esperanto
Humor	Kategorio:Humuro
Humour	Humuro
Humpback Whale	Ĝiba baleno
Humphrey Bogart	Humphrey Bogart
Humus	Humo
Hunan	Hunano
Hundred Years' War	Centjara milito
Hungary	Hungario
Hungary	Kategorio:Hungario
Hunting	Ĉasado
Hutu	Hutuoj
Hybrid	Hibrido
Hyderabad	Hajderabado
Hydra (constellation)	Hidro (konstelacio)
Hydrocarbon	Hidrokarbono
Hydroelectricity	Hidroelektra centralo
Hydrogen	Hidrogeno
Hydrogen bond	Hidrogena ligo
Hydrogen cyanide	Hidrogena cianido
Hydrology	Hidrologio
Hydrology	Kategorio:Hidrologio
Hydrolysis	Hidrolizo
Hydrosphere	Hidrosfero
Hydrus	Virhidro (konstelacio)
Hygiene	Kategorio:Higieno
Hymen	Himeno
Hymenoptera	Kategorio:Himenopteroj
Hymenoptera	Himenopteroj
Hymn	Himno
Hyperbola	Hiperbolo
Hypertension	Alta sangopremo
Hypertext	Hiperteksto
Hypertext Transfer Protocol	Hiperteksto-Transiga Protokolo
Hypnosis	Hipnoto
Hypothesis	Hipotezo
I	I
I. M. Pei	I. M. Pei
IPod	IPod
Ian Fleming	Ian Fleming
Iberian Peninsula	Iberio
Ice	Glacio
Ice age	Glaciepoko
Ice cream	Glaciaĵo
Ice hockey	Glacihokeo
Iceberg	Glacimonto
Iceland	Islando
Iceland	Kategorio:Islando
Icon	Ikono (religio)
Iconoclasm	Ikonoklasmo
Idaho	Idaho
Idaho	Kategorio:Idaho
Ideal gas	Ideala gaso
Idealism	Ideismo
Identity matrix	Identa matrico
Ideology	Ideologio
Ido	Ido (lingvo)
Igloo	Iglo
Ignatius of Loyola	Ignaco Lojola
Igneous rock	Magmaj petroj
Igor Stravinsky	Igor Stravinski
Iguazu Falls	Igŭacuo
Iliad	Iliado
Illinois	Ilinojo
Illinois	Kategorio:Ilinojo
Illyria	Ilirio
Image scanner	Skanilo
Imam	Imamo
Immanuel Kant	Immanuel Kant
Immune system	Imuna sistemo
Immunology	Imunologio
Imperialism	Imperiismo
Impressionism	Impresionismo
Incest	Incesto
Inch	Colo
Incheon	Inĉon
Inclined plane	Dekliva ebenaĵo
Independence	Sendependeco
India	Barato
India	Kategorio:Barato
Indian Ocean	Hinda Oceano
Indian Ocean	Kategorio:Hinda Oceano
Indiana	Indianao
Indiana	Kategorio:Indianao
Indianapolis	Indianapolis (Indianao)
Indira Gandhi	Indira Gandhi
Indium	Indio
Indochina	Hindoĉinio
Indonesia	Indonezio
Indonesia	Kategorio:Indonezio
Inductance	Induktanco
Inductive reasoning	Induktiva logiko
Inductor	Induktilo
Indulgence	Indulgenco
Indus (constellation)	Indiano (konstelacio)
Indus River	Induso
Industrial Revolution	Industria revolucio
Industry	Industrio
Industry	Kategorio:Industrioj
Inequality	Neegalaĵo (pli granda, malpli granda)
Infantry	Infanterio
Infinitive	Infinitivo
Infinity	Senfineco
Inflammation	Inflamo
Inflation	Inflacio
Influenza	Gripo
Information	Informo
Information technology	Informa teknologio
Infrared	Infraruĝa radiado
Infrastructure	Substrukturo
Ingmar Bergman	Ingmar Bergman
Ingrid Bergman	Ingrid Bergman
Inner Mongolia	Interna Mongolio
Innsbruck	Innsbruck
Inorganic chemistry	Neorganika kemio
Inquisition	Inkvizicio
Insect	Insekto
Insectivora	Insektomanĝuloj
Institution	Institucio
Insulin	Insulino
Insurance	Asekuro
Integer	Entjero
Integral	Integralo
Integrated circuit	Integra cirkvito
Intellectual property	Intelekta propraĵo
Intelligence	Intelekto
Intelligence quotient	Intelekta kvociento
Interest	Interezo
Interjection	Interjekcio
Interlingua	Interlingvao
International Atomic Energy Agency	Internacia Atomenergia Organizo
International Civil Aviation Organization	Internacia Civila Aviada Organizo
International Court of Justice	Internacia Kortumo
International Date Line	Internacia datlinio
International Labour Organization	Internacia Organizo de Laboro
International Monetary Fund	Internacia Monunua Fonduso
International System of Units	Sistemo Internacia de Unuoj
International law	Kategorio:Internacia juro
International organization	Internacia organizaĵo
Internet	Interreto
Internet	Kategorio:Interreto
Internet Explorer	Internet Explorer
Intersection (set theory)	Komunaĵo
Interval (music)	Intervalo (muziko)
Intestine	Intesto
Intranet	Intrareto
Invention	Invento
Invertebrate	Senvertebruloj
Io (moon)	Ioo
Io (mythology)	Ioa
Iodine	Jodo
Ion	Jono
Ionia	Ionio
Ionian Sea	Ionia Maro
Ionosphere	Jonosfero
Iota	Joto
Iowa	Iovao
Iowa	Kategorio:Iovao
Iran	Irano
Iran	Kategorio:Irano
Iran-Iraq War	Iraka-irana milito
Iraq	Irako
Iraq	Kategorio:Irako
Ireland	Irlando (insulo)
Ireland	Kategorio:Irlando
Irenaeus	Sankta Ireneo
Iridium	Iridio
Iris (anatomy)	Iriso
Irish Republican Army	IRA (Irlando)
Irish Sea	Irlanda Maro
Irish people	Kategorio:Irlandanoj
Iron	Fero
Iron Age	Ferepoko
Iron Curtain	Fera Kurteno
Iron Maiden	Iron Maiden
Irony	Ironio
Irrational number	Neracionala nombro
Irredentism	Iredentismo
Irtysh River	Irtiŝo
Isaac	Isaak
Isaac Asimov	Isaac Asimov
Isaac Bashevis Singer	Isaac Bashevis Singer
Isaac Newton	Isaac Newton
Isadora Duncan	Isadora Duncan
Ishmael	Iŝmael
Isis	Izisa
Islam	Islamo
Islam	Kategorio:Islamo
Islamabad	Islamabado
Islamic calendar	Islama kalendaro
Island	Insulo
Isle of Man	Manksinsulo
Isle of Man	Kategorio:Manksinsulo
Isle of Wight	Isle of Wight
Isomer	Izomero
Isoroku Yamamoto	Yamamoto Isoroku
Isotope	Izotopo
Israel	Israelo
Israel	Kategorio:Israelo
Istanbul	Istanbulo
Isthmus	Istmo
Isthmus of Panama	Istmo de Panamo
Italian Peninsula	Itala duoninsulo
Italo Calvino	Italo Calvino
Italy	Italio
Italy	Kategorio:Italio
Ithaca	Itako
Ivan Lendl	Ivan Lendl
Ivan Pavlov	Ivan Pavlov
Ivan Turgenev	Ivan Turgenev
Ivory	Eburo
Ivy League	Ivy League
Iwo Jima	Iwo Jima
J	J
J. D. Salinger	Jerome David Salinger
Jack Kerouac	Jack Kerouac
Jack Lemmon	Jack Lemmon
Jack London	Jack London
Jack the Ripper	Ĵakvo la Buĉisto
Jackdaw	Monedo
Jackson	Jackson (Misisipio)
Jackson Pollock	Jackson Pollock
Jacksonville	Jacksonville (Florido)
Jacob	Jakobo
Jacques Cartier	Jacques Cartier
Jacques Derrida	Jacques Derrida
Jacques Offenbach	Jacques Offenbach
Jade	Jado
Jaguar	Jaguaro
Jainism	Ĝajnismo
Jakarta	Ĝakarto
Jamaica	Jamajko
Jamaica	Kategorio:Jamajko
James	Jakobo la Granda
James A. Garfield	James A. Garfield
James Bond	James Bond (fikcia universo)
James Buchanan	James Buchanan
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Franck	James Franck
James Joyce	James Joyce
James K. Polk	James K. Polk
James Madison	James Madison
James Monroe	James Monroe
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Jan Hus	Jan Hus
Jane Austen	Jane Austen
Jane Fonda	Jane Fonda
Janissary	Janiĉaroj
January	Januaro
January 1	1-a de januaro
January 19	19-a de januaro
January 20	20-a de januaro
January 6	6-a de januaro
Japan	Japanio
Japan	Kategorio:Japanio
Jason	Jazono
Jaundice	Iktero
Java	Javo
Java (programming language)	Java
Jawaharlal Nehru	Jawaharlal Nehru
Jazz	Ĵazo
Jazz	Kategorio:Ĵazo
Jean Cocteau	Jean Cocteau
Jean Piaget	Jean Piaget
Jean Racine	Jean Racine
Jean Sibelius	Jean Sibelius
Jean de La Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jean-Philippe Rameau	Jean-Philippe Rameau
Jeddah	Ĝido
Jefferson City	Jefferson City (Misurio)
Jefferson Davis	Jefferson Davis
Jehovah	Jehovo
Jehovah's Witnesses	Atestantoj de Jehovo
Jellyfish	Meduzo
Jena	Jena
Jerez de la Frontera	Jerez de la Frontera
Jericho	Jeriko
Jerome	Sankta Hieronimo
Jersey	Ĵersejo
Jerusalem	Jerusalemo
Jerusalem	Kategorio:Jerusalemo
Jesus	Jesuo Kristo
Jet engine	Jetmotoro
Jew	Judoj
Jihad	Ĝihado
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Joan of Arc	Johana de Arko
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Diderik van der Waals	Johannes Diderik van der Waals
Johannes Gutenberg	Johannes Gutenberg
Johannes Kepler	Keplero
Johannesburg	Johanesburgo
John Adams	John Adams
John Bardeen	John Bardeen
John Cage	John Cage
John Calvin	Kalvino
John Chrysostom	Johano Krizostomo
John Dalton	John Dalton
John Dewey	John Dewey
John Galsworthy	John Galsworthy
John Herschel	John Herschel
John Keats	John Keats
John Lennon	John Lennon
John Locke	John Locke
John Maynard Keynes	John Maynard Keynes
John Milton	John Milton
John Napier	John Napier
John Quincy Adams	John Quincy Adams
John Ruskin	John Ruskin
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Tyler	John Tyler
John Wayne	John Wayne
John Wycliffe	John Wyclif
John the Baptist	Johano la Baptisto
John von Neumann	John von Neumann
Johnny Cash	Johnny Cash
Joint	Artiko
Jonathan Swift	Jonathan Swift
Jordan	Jordanio
Jordan	Kategorio:Jordanio
Jordan River	Jordano
Jorge Luis Borges	Jorge Luis Borges
Joseph Conrad	Joseph Conrad
Joseph Goebbels	Joseph Goebbels
Joseph Haydn	Joseph Haydn
Joseph Louis Gay-Lussac	Louis Joseph Gay-Lussac
Joseph Priestley	Joseph Priestley
Joseph Schumpeter	Joseph Schumpeter
Joseph Smith	Joseph Smith
Joseph Stalin	Josif Stalin
Josephus	Jozefo Flavio
Joule	Ĵulo
Journalism	Kategorio:Ĵurnalistiko
Journalism	Ĵurnalismo
Journalist	Ĵurnalisto
Jovian	Joviano
Joystick	Stirstango
Judaism	Judismo
Judaism	Kategorio:Judismo
Judas Iscariot	Judaso Iskarioto
Judea	Judio
Judo	Ĵudo
Judy Garland	Judy Garland
Jujutsu	Ĵuĵicuo
Jules Verne	Jules Verne
Julian calendar	Julia kalendaro
Julian the Apostate	Juliano la Apostato
Julius Caesar	Julio Cezaro
July	Julio
July 1	1-a de julio
July 4	4-a de julio
June	Junio
June 14	14-a de junio
June 21	21-a de junio
June 23	23-a de junio
June 24	24-a de junio
June 29	29-a de junio
June 3	3-a de junio
Juneau	Juneau (Alasko)
Juniper	Junipero
Juno (mythology)	Juno
Jupiter	Jupitero
Jupiter	Kategorio:Jupitero
Jupiter (mythology)	Jupitero (dio)
Jurassic	Ĵurasio
Justinian I	Justiniano la 1-a
Jutland	Jutlando
K	K
K2	K2
KGB	KGB
Kaaba	Kaaba
Kabbalah	Kabalo
Kabul	Kabulo
Kalahari Desert	Kalaharo
Kamchatka Peninsula	Kamĉatko
Kampala	Kampalo
Kandahar	Kandaharo
Kangaroo	Kanguruo
Kansas	Kansaso
Kansas	Kategorio:Kansaso
Kansas City	Kansasurbo (Misurio)
Kappa	Kapo (litero)
Kara Sea	Karska Maro
Karachi	Karaĉio
Karakoram	Karakorumo
Karaoke	Karaokeo
Karate	Karateo
Karen Blixen	Karen Blixen
Karl Barth	Karl Barth
Karl Jaspers	Karl Jaspers
Karl Marx	Karl Marx
Karl Popper	Karl Popper
Karma	Karmo
Karnataka	Karnatako
Katharine Hepburn	Katharine Hepburn
Kathmandu	Katmanduo
Katowice	Katowice
Kaunas	Kaŭnaso
Kayak	Kajako
Kazakhstan	Kazaĥio
Kazakhstan	Kategorio:Kazaĥio
Kazan	Kazan
Kelvin	Kelvino
Kent	Kent
Kentucky	Kentukio
Kentucky	Kategorio:Kentukio
Kenya	Kenjo
Kenya	Kategorio:Kenjo
Kernel (computer science)	Kerno (operaciumo)
Kerosene	Keroseno
Ketchup	Keĉapo
Ketone	Ketono
Keyboard (computing)	Komputila klavaro
Keyboard instrument	Klavarinstrumento
Khabarovsk	Ĥabarovsk
Kharkiv	Ĥarkivo
Khartoum	Ĥartumo
Khufu	Ĥufu
Kibbutz	Kibuco
Kidney	Reno
Kiev	Kievo
Kigali	Kigalo
Kilobyte	Kilobajto
Kilogram	Kilogramo
Kilometre	Kilometro
Kilometres per hour	Kilometro en horo
Kimono	Kimono
Kindergarten	Infanĝardeno
Kinetic energy	Kineta energio
King (chess)	Reĝo (ŝako)
King Arthur	Reĝo Arturo
King Lear	La Tragedio de Reĝo Lear
Kingdom (biology)	Regno (biologio)
Kingston	Kingstono
Kinshasa	Kinŝaso
Kiribati	Kiribato
Kiribati	Kategorio:Kiribato
Kirkuk	Kirkuk
Kiss	Kiso
Kite	Kajto
Kiwi	Kivio
Knee	Genuo
Knesset	Kneset
Knife	Tranĉilo
Knight	Kavaliro
Knight (chess)	Ĉevalo (ŝako)
Knossos	Knossos
Knot (speed)	Knoto
Knowledge	Scio
Knut Hamsun	Knut Hamsun
Koala	Koalo
Kobe	Kobe
Kola Peninsula	Kola duoninsulo
Kolkata	Kolkato
Komodo dragon	Komoda varano
Konqueror	Konqueror
Konrad Adenauer	Konrad Adenauer
Korea	Koreio
Korea	Kategorio:Koreio
Korean War	Korea milito
Kosovo	Kosovo
Kosovo	Kategorio:Kosovo
Krakatoa	Krakatoa
Krishna	Kriŝno
Krypton	Kriptono
Ku Klux Klan	Ku-Kluks-Klano
Kuala Lumpur	Kuala-Lumpuro
Kublai Khan	Kublaj-Ĥano
Kuiper belt	Kujper-zono
Kung fu (term)	Kungfuo
Kunlun Mountains	Kunlun
Kuomintang	Kuomintango
Kura River	Kura
Kurdistan	Kurdio
Kurdistan	Kategorio:Kurdistano
Kurdistan Workers Party	PKK
Kursk	Kursk
Kurt Vonnegut	Kurt Vonnegut
Kurt Waldheim	Kurt Waldheim
Kuwait	Kuvajto
Kuwait	Kategorio:Kuvajto
Kuwait City	Kuvajto (urbo)
KwaZulu-Natal	Kvazulu-Natalo
Kyoto	Kioto
Kyrgyzstan	Kirgizio
Kyrgyzstan	Kategorio:Kirgizio
L	L
L'Aquila	L'Aquila
La Paz	La-Pazo (Bolivio)
La Plata	La Plata
La Spezia	La Spezia
Laboratory	Laboratorio
Labour Party (UK)	Brita Laborista Partio
Labrador Retriever	Labradora ĉashundo
Lacerta	Lacerto (konstelacio)
Lactic acid	Lakta acido
Lactose	Laktozo
Lady Jane Grey	Jane Grey
Lagomorpha	Leporuloj
Lagos	Lagoso
Lake	Lago
Lake Baikal	Bajkal
Lake Balaton	Balatono
Lake Chad	Ĉada Lago
Lake Constance	Bodenlago
Lake Erie	Eria Lago
Lake Eyre	Eyre
Lake Geneva	Lemano
Lake Huron	Hurona Lago
Lake Ilmen	Ilmenj
Lake Ladoga	Ladoga lago
Lake Malawi	Malavia Lago
Lake Michigan	Miĉigano (lago)
Lake Onega	Onega (lago)
Lake Ontario	Ontario (lago)
Lake Superior	Supra Lago
Lake Tanganyika	Tanganjiko
Lake Victoria	Viktoria-lago
Lambda	Lambdo
Lamiaceae	Lamiacoj
Lammergeier	Ŝafgrifo
Lamprey	Petromizo
Lancashire	Lancashire
Lancelet	Brankiostomulo
Landfill	Rubodeponejo
Language	Lingvo
Languedoc-Roussillon	Langvedoko-Rusiljono
Lansing	Lansing (Miĉigano)
Lanthanide	Lantanoido
Lanthanum	Lantano
Laos	Laoso
Laos	Kategorio:Laoso
Laptop	Tekokomputilo
Larch	Lariko
Larva	Larvo
Larynx	Laringo
Las Vegas	Las Vegas
Lascaux	Groto Lascaux
Laser	Lasero
Lathe	Tornomaŝino
Latin	Latina lingvo
Latin America	Latin-Ameriko
Latin alphabet	Latina alfabeto
Latitude	Latitudo
Latvia	Latvio
Latvia	Kategorio:Latvio
Laughter	Rido
Laurasia	Laŭrazio
Lausanne	Laŭzano
Lava	Lafo
Law	Juro
Law	Kategorio:Juro
Lawrencium	Laŭrencio (elemento)
Lawyer	Advokato
Lazio	Latio
Le Corbusier	Le Corbusier
Le Havre	Havro
Lead	Plumbo
Leaf	Folio
League of Nations	Ligo de Nacioj
Leaning Tower of Pisa	Oblikva turo de Pizo
Leap year	Superjaro
Learning	Lerno
Lebanon	Libano
Lebanon	Kategorio:Libano
Leeds	Leeds
Left-handed	Maldekstramanulo
Legend	Legendo
Legislature	Leĝdona povo
Lego	Lego (ludilo)
Leicester	Leicester
Leiden	Leiden
Leipzig	Leipzig
Lemon	Citrono
Lemon balm	Citronmeliso
Lena River	Leno (rivero)
Length	Longo
Lens (optics)	Lenso (optiko)
Lent	Karesmo
Leo (constellation)	Leono (konstelacio)
Leon Trotsky	Lev Trockij
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Leonid Brezhnev	Leonid Breĵnev
Leopard	Leopardo
Lepidoptera	Papilio
Leprosy	Lepro
Lepton	Leptono
Lepus (constellation)	Leporo (konstelacio)
Lesbian	Lesbanino
Lesotho	Lesoto
Lesotho	Kategorio:Lesoto
Lesser Antilles	Malgrandaj Antiloj
Leto	Leto
Letter (alphabet)	Litero
Leukemia	Leŭkemio
Levant	Levantenio
Lever	Levilo
Leviathan	Levjatano
Leviticus	Levidoj
Lewis Carroll	Lewis Carroll
Lexicology	Leksikologio
Lhasa	Lasao
Lhotse	Lhotse
Liberalism	Liberalismo
Liberalism	Kategorio:Liberalismo
Liberia	Liberio
Liberia	Kategorio:Liberio
Libra (constellation)	Pesilo (konstelacio)
Library	Biblioteko
Library science	Bibliotekscienco
Libreville	Librevilo
Libya	Libio
Libya	Kategorio:Libio
Lichen	Likeno
Lie	Mensogo
Liechtenstein	Liĥtenŝtejno
Liechtenstein	Kategorio:Liĥtenŝtejno
Life	Vivo
Life	Kategorio:Vivo
Light	Lumo
Light-emitting diode	Lum-Elsenda Diodo
Light-year	Lumjaro
Lighthouse	Lumturo
Lightning	Fulmo
Liguria	Ligurujo
Liliaceae	Liliacoj
Lille	Lille
Lilongwe	Lilongwe
Lima	Limo (Peruo)
Limerick	Limerick
Limestone	Kalkoŝtono
Limit (mathematics)	Limeso
Limousin (region)	Limoĝio
Lincoln	Lincoln (Nebrasko)
Lincolnshire	Lincolnshire
Line (mathematics)	Linio
Linear algebra	Lineara algebro
Linear algebra	Kategorio:Lineara algebro
Linear equation	Lineara ekvacio
Lingua franca	Lingvafrankao
Linguistics	Lingvistiko
Linguistics	Kategorio:Lingvistiko
Linus Pauling	Linus Pauling
Linux	Linukso
Linux	Kategorio:Linukso
Linz	Linz
Lion	Leono
Lipid	Lipido
Liqueur	Likvoro
Liquid	Likvaĵo
Liquid crystal display	Likvokristala ekrano
Lisbon	Lisbono
Lise Meitner	Lise Meitner
Lisp (programming language)	LISP (programlingvo)
Literacy	Legopovo
Literature	Literaturo
Literature	Kategorio:Literaturo
Lithium	Litio
Lithography	Litografio
Lithosphere	Litosfero
Lithuania	Litovio
Lithuania	Kategorio:Litovio
Litre	Litro
Little Owl	Noktuo
Liverpool	Liverpool
Lizard	Lacertuloj
Ljubljana	Ljubljano
Llama	Lamo
Local area network	Loka reto
Loch Ness	Loch Ness
Loch Ness Monster	Monstro de Loch Ness
Locomotive	Lokomotivo
Logarithm	Logaritmo
Logic	Logiko
Logic	Kategorio:Logiko
Logistics	Loĝistiko
Logo	Emblemo
Loire	Loire (departemento)
Loire River	Luaro
Loki	Loki
Lombardy	Lombardujo
London	Londono
London	Kategorio:Londono
Long-eared Owl	Orelstrigo
Lope de Vega	Lope de Vega
Lord's Prayer	Patro nia
Lorraine (region)	Loreno
Los Angeles	Los-Anĝeleso (Kalifornio)
Lot (department)	Lot
Loudspeaker	Laŭtparolilo
Louis Aragon	Louis Aragon
Louis Armstrong	Louis Armstrong
Louis Braille	Louis Braille
Louis Pasteur	Louis Pasteur
Louis the Stammerer	Ludoviko la 2-a (Francio)
Louisiana	Luiziano
Louisiana	Kategorio:Luiziano
Louisville	Louisville
Louvre	Luvro
Love	Amo
Low German	Platgermana lingvo
Lower Saxony	Malsupra Saksio
Luanda	Luando
Lublin	Lublin
Lucerne	Lucerno
Luciano Pavarotti	Luciano Pavarotti
Lucifer	Lucifero
Lucretius	Lukrecio
Lucrezia Borgia	Lucrezia Borgia
Ludwig Boltzmann	Ludwig Boltzmann
Ludwig Wittgenstein	Ludwig Wittgenstein
Ludwig van Beethoven	Ludwig van Beethoven
Luigi Galvani	Luigi Galvani
Luigi Pirandello	Luigi Pirandello
Lumen (unit)	Lumeno
Lunar eclipse	Luna eklipso
Lung	Pulmo
Lungfish	Pulmofiŝoj
Lupus (constellation)	Lupo (konstelacio)
Lusaka	Lusako
Lusitania	Luzitanio
Lute	Liuto
Lutetium	Lutecio
Lutheranism	Luteranismo
Luxembourg	Luksemburgo (lando)
Luxembourg	Kategorio:Luksemburgo
Luxembourg (city)	Luksemburgo (urbo)
Luxor	Luksoro
Lychee	Liĉio
Lydia	Lidio
Lynx (constellation)	Linko (konstelacio)
Lyon	Liono
Lyra	Liro (konstelacio)
Lysergic acid diethylamide	LSD
Lysine	Lizino
Lysosome	Lizosomo
M	M
M-theory	M-teorio
MESSENGER	MESSENGER
MIME	MIME
MS-DOS	MS-DOS
Macau	Makao
Macbeth	Makbeto
Macedon	Antikva Makedonio
Macedonia	Makedonio
Macedonia (Greece)	Makedonio (Grekio)
Mach number	Maĥo
Machine	Maŝino
Machine gun	Maŝinpafilo
Machine translation	Maŝintradukado
Machu Picchu	Maĉupikĉuo
Macintosh	Makintoŝo
Macroeconomics	Makroekonomiko
Madagascar	Madagaskaro
Madagascar	Kategorio:Madagaskaro
Madeira	Madejro
Madison	Madison (Viskonsino)
Madonna (entertainer)	Madonna
Madrid	Madrido
Madrid (autonomous community)	Madrida Regiono
Mafia	Mafio
Magazine	Revuo
Maghreb	Magrebo
Magic (paranormal)	Magio
Magic square	Magia kvadrato
Maginot Line	Maginot-linio
Magma	Magmo
Magna Carta	Magna Carta
Magnesium	Magnezio
Magnet	Magneto
Magnetic field	Kampo (magneto)
Magnetic resonance imaging	Magneta resonanca bildigo
Magnetism	Magnetismo
Magnetism	Kategorio:Magnetismo
Magnoliopsida	Kategorio:Magnoliopsidoj
Magpie	Pigoj
Maharashtra	Maharaŝtro
Mahatma Gandhi	Mohandas Karamchand Gandhi
Mahayana	Mahajano
Mail	Poŝto
Main	Majno (rivero)
Main	Ŝablono:Ĉefa
Maine	Majno
Maine	Kategorio:Majno
Maitreya	Majtrejo
Maize	Maizo
Major	Majoro
Majorca	Majorko
Makalu	Makalu
Malabo	Malabo
Malachite	Malakito
Malacostraca	Malakostrakoj
Malaria	Malario
Malawi	Kategorio:Malavio
Malaysia	Malajzio
Malaysia	Kategorio:Malajzio
Malcolm X	Malcolm X
Maldives	Maldivoj
Maldives	Kategorio:Maldivoj
Mali	Malio
Mali	Kategorio:Malio
Mallard	Platbeka anaso
Malta	Malto (lando)
Malta	Kategorio:Malto
Maltese language	Malta lingvo
Maltose	Maltozo
Malvaceae	Malvacoj
Mammal	Mamuloj
Mammoth	Mamuto
Managua	Managvo
Manama	Manamo
Manatee	Manato
Manchester	Manchester
Manchuria	Manĉurio
Mandala	Mandalo
Mandarin orange	Mandarino
Manganese	Mangano
Manhattan	Manhatano
Manhattan Project	Projekto Manhattan
Manichaeism	Manikeismo
Manila	Manilo
Manitoba	Manitobo
Mannerism	Manierismo
Mannheim	Mannheim
Mantle (geology)	Termantelo
Mantra	Mantro
Mantua	Mantovo
Manuel de Falla	Manuel de Falla
Mao Zedong	Mao Zedong
Maoism	Maoismo
Map	Mapo
Maple	Acero
Maputo	Maputo
Marathon	Maratono
Marble	Marmoro
Marc Chagall	Marc Chagall
Marcel Duchamp	Marcel Duchamp
Marcel Marceau	Marcel Marceau
Marcel Proust	Marcel Proust
March	Marto
March 17	17-a de marto
March 19	19-a de marto
March 2	2-a de marto
March 25	25-a de marto
Marche	Markio
Marco Polo	Marko Polo
Marcus Aurelius	Marko Aŭrelio
Marcus Junius Brutus	Marko Bruto
Margaret Mead	Margaret Mead
Margaret Mitchell	Margaret Mitchell
Margaret Thatcher	Margaret Thatcher
Maria Callas	Maria Callas
Mariana Islands	Marianoj
Marie Antoinette	Marie-Antoinette
Marie Curie	Maria Skłodowska-Curie
Mariehamn	Mariehamn
Marilyn Monroe	Marilyn Monroe
Mario Vargas Llosa	Mario Vargas Llosa
Mark Antony	Marko Antonio
Mark Twain	Mark Twain
Market	Merkato
Marketing	Merkatiko
Marketing	Kategorio:Merkatado
Marlene Dietrich	Marlene Dietrich
Marquis de Sade	Markizo de Sade
Marrakech	Marakeŝo
Marriage	Nupto
Mars	Kategorio:Marso
Mars (disambiguation)	Mars
Mars (mythology)	Marso (dio)
Marseille	Marsejlo
Marshall Islands	Marŝala Insularo
Marshall Islands	Kategorio:Marŝaloj
Marshall Plan	Plano Marshall
Marsupial	Marsupiulo
Martin Heidegger	Martin Heidegger
Martin Luther	Marteno Lutero
Martin Luther King	Martin Luther King
Martin Scorsese	Martin Scorsese
Martin Van Buren	Martin Van Buren
Martinique	Martiniko
Martyr	Martiro
Marx Brothers	Fratoj Marx
Marxism	Marksismo
Marxism	Kategorio:Marksismo
Mary (mother of Jesus)	Dipatrino
Mary Magdalene	Maria Magdalena
Mary Shelley	Mary Shelley
Mary Wollstonecraft	Mary Wollstonecraft
Maryland	Marilando
Maryland	Kategorio:Marilando
Maseru	Maseruo
Mashhad	Maŝhado
Mass	Maso
Mass (liturgy)	Meso (diservo)
Mass number	Masnumero
Massachusetts	Masaĉuseco
Massachusetts	Kategorio:Masaĉuseco
Massachusetts Institute of Technology	Masaĉuseca Instituto de Teknologio
Masturbation	Sinmasturbado
Mata Hari	Mata Hari
Match	Alumeto
Materialism	Materialismo
Mathematical logic	Matematika logiko
Mathematical logic	Kategorio:Matematika logiko
Mathematical proof	Matematika pruvo
Mathematics	Matematiko
Mathematics	Kategorio:Matematiko
Matrix (mathematics)	Matrico
Matter	Materio
Matterhorn	Materhorno
Mauna Kea	Mauna Kea
Maurice Ravel	Maurice Ravel
Mauritania	Maŭritanio
Mauritania	Kategorio:Maŭritanio
Mauritius	Maŭricio
Mauritius	Kategorio:Maŭricio
Max Born	Max Born
Max Bruch	Max Bruch
Max Ernst	Max Ernst
Max Planck	Max Planck
Max Weber	Maximiliam Weber
Maximian	Maksimiano
Maxwell's equations	Ekvacioj de Maxwell
May	Majo
May 1	1-a de majo
May 24	24-a de majo
Mayenne	Mayenne
Mayfly	Efemeroj
Mayonnaise	Majonezo
Mayor	Urbestro
Mbabane	Mbabano
McCarthyism	Makartiismo
Mead	Medo
Measles	Morbilo
Measurement	Kategorio:Mezuro
Measurement	Mezuro
Meat	Viando
Mecca	Mekao
Mechanical engineering	Kategorio:Mekanika inĝenierado
Mechanics	Kategorio:Mekaniko
Mechanics	Mekaniko
Median	Mediano (statistiko)
Medication	Kuracilo
Medici	Mediĉoj
Medicine	Medicino
Medicine	Kategorio:Medicino
Medina	Medino
Meditation	Meditado
Mediterranean Sea	Mediteraneo
Medusa	Meduzo (mitologio)
Meerkat	Surikato
Meiosis	Mejozo
Meister Eckhart	Majstro Eckhart
Meitnerium	Mejtnerio
Mekong	Mekongo
Mel Gibson	Mel Gibson
Melanesia	Melanezio
Melody	Melodio
Melon	Melono (Frukto)
Melpomene	Melpomeno
Melting point	Frostopunkto
Meme	Memeo
Memory	Memoro
Memphis	Memphis (Tenesio)
Memphis	Memfiso (Egiptio)
Menachem Begin	Menaĥem Begin
Mendelevium	Mendelevio
Meningitis	Meningito
Mensa (constellation)	Tablomonto (konstelacio)
Menstrual cycle	Menstruo
Menstruation	Menstruo
Mental disorder	Psika malsano
