English	Malay
Fog	Kabut
Folk music	Lagu Kedaerahan
Food and Agriculture Organization	Pertubuhan Makanan dan Pertanian
Foot	Kaki
Football (soccer)	Bola sepak
Football (soccer)	Kategori:Bola sepak
Football (soccer) players	Kategori:Pemain bola sepak
Force	Daya (fizik)
Forest	Hutan
Fork	Garpu
Fortran	FORTRAN
Fourth Crusade	Perang Salib Keempat
France	Perancis
France	Kategori:Perancis
Francis Drake	Francis Drake
Francisco Franco	Francisco Franco
Francium	Fransium
Frankfurt	Frankfurt
Franklin Pierce	Franklin Pierce
Franz Kafka	Franz Kafka
Freemasonry	Pergerakan Freemasonry
Freeware	Freeware
French Polynesia	Polinesia Perancis
French Revolution	Revolusi Perancis
Frequency	Frekuensi
Friction	Geseran
Friday	Jumaat
Friedrich Engels	Friedrich Engels
Frog	Katak
Fructose	Fruktosa
Fruit	Buah
Fruit	Kategori:Buah
Fundamentalism	Fundamentalisme
Fungus	Kulat
G	G
GNU	GNU
Gabon	Gabon
Gabon	Kategori:Gabon
Gabriel	Malaikat Jibril
Gaetano Donizetti	Gaetano Donizetti
Galaxy	Galaksi
Galicia (Spain)	Galicia
Galileo Galilei	Galileo Galilei
Gallbladder	Pundi hempedu
Gamal Abdel Nasser	Gamal Abdel Nasser
Gambling	Judi
Game	Permainan
Gamma	Gama
Ganesha	Bentara Ganesha
Gansu	Gansu
Garfield	Garfield
Garlic	Bawang putih
Gas	Gas
Gas giant	Gergasi gas
Gasoline	Petrol
Gaul	Gaul
Gautama Buddha	Gautama Buddha
Gay	Gay
Gaza Strip	Gaza
Geisha	Geisha
Gene	Gen
General Officer	Jeneral
Genesis	Injil Genesis
Genetics	Genetik
Genetics	Kategori:Genetik
Geneva	Geneva
Genie	Jin
Genoa	Genoa
Genocide	Pembasmian kaum
Genocide	Kategori:Penghapusan etnik
Genome	Genom
Genus	Genus
Geodesy	Geodesi
Geography	Geografi
Geography	Kategori:Geografi
Geography	Portal:Geografi
Geology	Kategori:Geologi
Geometry	Geometri
Geometry	Kategori:Geometri
Geophysics	Geofizik
Geopolitics	Geopolitik
George Frideric Handel	Georg Friedrich Händel
George Lucas	George Lucas
George Orwell	George Orwell
George W. Bush	George W. Bush
George Washington	George Washington
Georges Bizet	Georges Bizet
Georgia (U.S. state)	Georgia, Amerika Syarikat
Georgia (country)	Georgia (negara)
Georgia (country)	Kategori:Georgia
Gerald Ford	Gerald Ford
Gerard Kuiper	Gerard Kuiper
German language	Bahasa Jerman
Germanium	Germanium
Germany	Jerman
Germany	Kategori:Jerman
Ghana	Ghana
Ghana	Kategori:Ghana
Ghost	Hantu
Giacomo Puccini	Giacomo Puccini
Giant Panda	Panda Gergasi
Gibbon	Kelawat
Gibraltar	Gibraltar
Gigabyte	Gigabait
Ginger	Pokok Halia
Giraffe	Zirafah
Giraffidae	Keluarga Zirafah
Giuseppe Verdi	Giuseppe Verdi
Giza	Giza
Glacier	Glasier
Glasgow	Glasgow
Glass	Kaca
Global Positioning System	Sistem Kedudukan Sejagat
Globalization	Globalisasi
Glucagon	Glukagon
Glucose	Glukosa
Glycogen	Glikogen
Gnosticism	Gnostikisme
Go (board game)	Go
Goa	Goa
Goat	Kambing
God	Tuhan
Golan Heights	Bukit Golan
Gold	Emas
Golf	Golf
Golf	Kategori:Golf
Golgi apparatus	Jasad Golgi
Google	Google
Google	Kategori:Google
Gout	Gout
Government	Kerajaan
Grand Canyon	Grand Canyon
Grape	Anggur
Gravitation	Graviti
Great Wall of China	Tembok Besar China
Greece	Greece
Greece	Kategori:Greece
Greek alphabet	Huruf Yunani
Greek alphabet	Kategori:Abjad Yunani
Green	Hijau
Greenhouse effect	Kesan rumah hijau
Greenland	Greenland
Greenwich Mean Time	Waktu Min Greenwich
Gregorian calendar	Kalendar Gregory
Grenada	Kategori:Grenada
Grey	Kelabu
Grover Cleveland	Grover Cleveland
Guadeloupe	Guadeloupe
Guam	Guam
Guangdong	Guangdong
Guangzhou	Guangzhou
Guatemala	Kategori:Guatemala
Guayaquil	Guayaquil
Guernsey	Guernsey
Guinea	Guinea
Guinea pig	Tikus Belanda
Guinea-Bissau	Guinea-Bissau
Guinea-Bissau	Kategori:Guinea-Bissau
Guitar	Gitar
Gujarat	Gujarat
Guyana	Kategori:Guyana
Gymnastics	Gimnastik
H	H
HTML	HTML
Hadean	Hadean
Hadith	Hadis
Hadrian's Wall	Tembok Hadrian
Hagia Sophia	Hagia Sophia
Haifa	Haifa
Haiku	Haiku
Hair	Rambut
Haiti	Haiti
Haiti	Kategori:Haiti
Hajj	Haji
Halal	Halal
Half-life	Separuh hayat
Halloween	Halloween
Halogen	Halogen
Hamas	Hamas
Hamburger	Hamburger
Hand grenade	Bom tangan
Hanging Gardens of Babylon	Taman Tergantung Babylon
Hanoi	Hanoi
Hanover	Hanover
Hans Christian Andersen	Hans Christian Andersen
Hanukkah	Hanukkah
Hanuman	Dewa Hanuman
Happiness	Kebahagiaan
Harem	Harem
Haute-Normandie	Haute-Normandie
Havana	Havana
Hawaii	Hawaii
Head	Kepala
Health	Kesihatan
Health	Kategori:Kesihatan
Heart	Jantung
Hebei	Hebei
Hebrew alphabet	Abjad Ibrani
Hectare	Hektar
Hedonism	Hedonisme
Heinrich Hertz	Heinrich Hertz
Helicopter	Helikopter
Helium	Helium
Helsinki	Helsinki
Hemoglobin	Hemoglobin
Hemorrhoid	Penyakit Buasir
Henry Ford	Henry Ford
Hepatitis	Penyakit Hepatitis
Herat	Herat
Herbert Hoover	Herbert Hoover
Herodotus	Herodotus
Heroin	Heroin
Hertz	Hertz
Hesse	Hesse
Hexadecimal	Nombor perenambelasan
Hexagon	Heksagon
Hezbollah	Hizbullah
Himalayas	Himalaya
Hinduism	Hinduisme
Hinduism	Kategori:Hinduisme
Hippocrates	Hippocrates
Hirohito	Hirohito
Histology	Histologi
History	Sejarah
History	Kategori:Sejarah
History	Portal:Sejarah
Ho Chi Minh City	Bandar Raya Ho Chi Minh
Hobart	Hobart
Hobby	Hobi
Holiday	Hari perayaan
Hollywood	Hollywood
Holy Grail	Holy Grail
Holy Roman Empire	Empayar Rom Suci
Holy Spirit	Roh Kudus
Homeostasis	Homeostasis
Homer	Homer
Homo erectus	Homo erectus
Homosexuality	Homoseksual
Honduras	Honduras
Honduras	Kategori:Honduras
Hong Kong	Hong Kong
Hong Kong	Kategori:Hong Kong
Honiara	Honiara
Hoopoe	Burung hud-hud
Horatio Nelson	Horatio Nelson
Horizon	Horizon
Hormone	Hormon
Horn (anatomy)	Tanduk
Horoscope	Horoskop
Horsepower	Kuasa kuda
Hosni Mubarak	Hosni Mubarak
Hospital	Hospital
House	Rumah
Hugh Capet	Hugh Capet dari Perancis
Human	Manusia
Humus	Humus
Hunan	Hunan
Hungary	Hungary
Hungary	Kategori:Hungary
Hyderabad	Hyderabad, Andhra Pradesh
Hydrocarbon	Hidrokarbon
Hydrochloric acid	Asid hidroklorik
Hydroelectricity	Hidroelektrik
Hydrogen	Hidrogen
Hydrology	Hidrologi
Hyperion (moon)	Hyperion (bulan)
Hypertension	Darah tinggi
Hypertext Transfer Protocol	HTTP
Hypothesis	Hipotesis
I	I
IPod	IPod
Iapetus (moon)	Iapetus (bulan)
Ibuprofen	Ibuprofen
Ice	Ais
Ice age	Zaman Air Batu
Ice cream	Aiskrim
Iceland	Iceland
Iceland	Kategori:Iceland
Idaho	Idaho
Ideology	Ideologi
Ido	Bahasa Ido
Iliad	Iliad
Illinois	Illinois
Image scanner	Pengimbas
Imam	Imam
Immanuel Kant	Immanuel Kant
Immunology	Immunologi
Imperialism	Imperialisme
Incest	Sumbang muhrim
Inch	Inci
Independence	Kemerdekaan
India	India
India	Kategori:India
Indian Ocean	Lautan Hindi
Indian Ocean	Kategori:Lautan Hindi
Indiana	Indiana
Indira Gandhi	Indira Gandhi
Indonesia	Indonesia
Indonesia	Kategori:Indonesia
Inductance	Induktans
Inductor	Peraruh
Indus River	Sungai Indus
Industry	Industri
Inertia	Inersia
Inflammation	Keradangan
Inflation	Inflasi
Influenza	Influenza
Information	Maklumat
Information technology	Teknologi maklumat
Infrared	Sinar inframerah
Infrastructure	Infrastruktur
Inorganic chemistry	Kimia tak organik
Insect	Serangga
Institution	Institusi
Insulin	Insulin
Insurance	Insurans
Integrated circuit	Litar bersepadu
Intellectual property	Harta intelek
Intercontinental ballistic missile	Peluru berpandu balistik antara benua
Interjection	Kata seru
International Atomic Energy Agency	Agensi Tenaga Atom Antarabangsa
International Civil Aviation Organization	Pertubuhan Penerbangan Awam Antarabangsa
International Court of Justice	Mahkamah Keadilan Antarabangsa
International Date Line	Garisan Tarikh Antarabangsa
International Labour Organization	Pertubuhan Buruh Antarabangsa
International System of Units	Sistem Unit Antarabangsa
International law	Kategori:Undang-undang antarabangsa
Internet	Internet
Internet	Kategori:Internet
Internet Explorer	Internet Explorer
Intranet	Intranet
Invertebrate	Invertebrat
Io (moon)	Io (bulan)
Ion	Ion
Iota	Iota
Iowa	Iowa
Iran	Iran
Iran	Kategori:Iran
Iran-Iraq War	Perang Iran-Iraq
Iraq	Iraq
Iraq	Kategori:Iraq
Iron	Besi
Iron Age	Zaman Besi
Isaac Asimov	Isaac Asimov
Isaac Newton	Isaac Newton
Ishmael	Nabi Ismail a.s.
Islam	Islam
Islam	Kategori:Islam
Islamabad	Islamabad
Islamic calendar	Takwim Hijrah
Island	Pulau
Isle of Man	Kategori:Isle of Man
Isomer	Isomer
Isoroku Yamamoto	Isoroku Yamamoto
Isotope	Isotop
Israel	Israel
Israel	Kategori:Israel
Istanbul	Istanbul
Italy	Itali
Italy	Kategori:Itali
J	J
Jacques Cartier	Jacques Cartier
Jade	Jed
Jainism	Jainisme
Jakarta	Jakarta
Jalalabad	Jalalabad
Jamaica	Jamaika
Jamaica	Kategori:Jamaica
James A. Garfield	James Garfield
James Buchanan	James Buchanan
James Cook	James Cook
James K. Polk	James K. Polk
James Madison	James Madison
James Monroe	James Monroe
James Prescott Joule	James Prescott Joule
Jammu and Kashmir	Jammu dan Kashmir
Jane Austen	Jane Austen
January	Januari
January 1	1 Januari
January 19	19 Januari
January 20	20 Januari
January 6	6 Januari
Japan	Jepun
Japan	Kategori:Jepun
Jaundice	Demam kuning jaundis
Java	Jawa
Java (programming language)	Java
Jawaharlal Nehru	Jawaharlal Nehru
Jeddah	Jeddah
Jehovah's Witnesses	Saksi-Saksi Yehuwa
Jellyfish	Ampai-ampai
Jersey	Jersi
Jerusalem	Baitulmuqaddis
Jesus	Jesus Christ
Jew	Yahudi
Jihad	Jihad
Jimmy Carter	Jimmy Carter
Joan of Arc	Jeanne d'Arc
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Gutenberg	Johannes Gutenberg
Johannesburg	Johannesburg
John Adams	John Adams
John Dalton	John Dalton
John Lennon	John Lennon
John Major	John Major
John Quincy Adams	John Quincy Adams
John Tyler	John Tyler
John the Baptist	John Pembaptis
Jordan	Jordan
Jordan	Kategori:Jordan
Joseph Priestley	Joseph Priestley
Joseph Stalin	Joseph Stalin
Joule	Joule
Joystick	Kayu ria
Judaism	Agama Yahudi
Judo	Judo
Julian calendar	Takwim Julius
Julius Caesar	Julius Caesar
July	Julai
July 1	1 Julai
July 4	4 Julai
June	Jun
June 14	14 Jun
June 21	21 Jun
June 23	23 Jun
June 24	24 Jun
June 29	29 Jun
June 3	3 Jun
Jupiter	Musytari
K	K
Kaaba	Kaabah
Kabul	Kabul
Kandahar	Kandahar
Kangaroo	Kanggaru
Kansas	Kansas
Kappa	Kapa
Karachi	Karachi
Karaoke	Karaoke
Karate	Karate
Karl Marx	Karl Marx
Karma	Karma
Karnataka	Karnataka
Kathmandu	Kathmandu
Katowice	Katowice
Kayak	Kayak
Kazakhstan	Kazakhstan
Kazakhstan	Kategori:Kazakhstan
Kelvin	Kelvin
Kentucky	Kentucky
Kenya	Kenya
Kenya	Kategori:Kenya
Kernel (computer science)	Inti (sains komputer)
Ketchup	Sos tomato
Ketone	Keton
Khufu	Khufu
Kidney	Buah pinggang
Kilogram	Kilogram
Kilometres per hour	Kilometer sejam
Kimono	Kimono
Kinematics	Kinematik
Kinetic energy	Tenaga kinetik
King Arthur	Raja Arthur
Kinshasa	Kinshasa
Kiribati	Kiribati
Kiribati	Kategori:Kiribati
Kite	Layang-layang
Kiwi	Burung Kiwi
Knesset	Knesset
Kobe	Kobe
Kolkata	Kolkata
Komodo dragon	Biawak Komodo
Korea	Korea
Korea	Kategori:Korea
Korean War	Perang Korea
Kosovo	Kosovo
Krakatoa	Krakatau
Krishna	Dewa Krishna
Krypton	Kripton
Ku Klux Klan	Ku Klux Klan
Kuala Lumpur	Kuala Lumpur
Kuiper belt	Lingkaran Kuiper
Kumquat	Pokok Limau Kumkuat
Kung fu (term)	Kung Fu
Kuomintang	Kuomintang
Kurdistan	Kurdistan
Kurt Waldheim	Kurt Waldheim
Kuwait	Kuwait
Kuwait	Kategori:Kuwait
Kyrgyzstan	Kyrgyzstan
Kyrgyzstan	Kategori:Kyrgyzstan
L	L
LAMP (software bundle)	LAMP
La Paz	La Paz
LaTeX	LaTeX
Lactose	Laktosa
Lagos	Lagos
Lahore	Lahore
Laissez-faire	Laissez-faire
Lake Tanganyika	Tasik Tanganyika
Lakshmi	Lakshmi
Lambda	Lambda
Lamiaceae	Lamiaceae
Language	Bahasa
Languedoc-Roussillon	Languedoc-Roussillon
Lanthanide	Lantanida
Laos	Laos
Laos	Kategori:Laos
Laptev Sea	Laut Laptev
Laptop	Komputer riba
Las Vegas	Las Vegas, Nevada
Laser	Laser
Latin	Bahasa Latin
Latin America	Amerika Latin
Latin alphabet	Huruf Rumi
Latvia	Latvia
Latvia	Kategori:Latvia
Lava	Lava
Law	Undang-undang
Law	Kategori:Undang-undang
Law enforcement	Kategori:Polis
Le Corbusier	Le Corbusier
Leaf	Daun
League of Nations	Liga Bangsa
Lebanon	Lubnan
Lebanon	Kategori:Lubnan
Lee Harvey Oswald	Lee Harvey Oswald
Legislature	Legislatif
Lego	Lego
Leipzig	Leipzig
Length	Panjang
Lens (optics)	Kanta
Leon Trotsky	Leon Trotsky
Leonardo da Vinci	Leonardo Da Vinci
Leopard	Harimau Bintang
Leprosy	Penyakit kusta
Lesotho	Lesotho
Lesotho	Kategori:Lesotho
Leukemia	Leukemia
Lhasa	Lhasa
Liberalism	Liberalisme
Liberia	Liberia
Library	Perpustakaan
Libretto	Libreto
Libya	Libya
Libya	Kategori:Libya
Liechtenstein	Liechtenstein
Liechtenstein	Kategori:Liechtenstein
Lieutenant	Leftenan
Life	Hidupan
Light	Cahaya
Light-emitting diode	Diod pemancar cahaya
Light-year	Tahun cahaya
Lighthouse	Rumah api
Lightning	Kilat
Lima	Lima
Limnology	Limnologi
Limousin (region)	Limousin
Linguistics	Linguistik
Linux	Linux
Linux	Kategori:Linux
Lion	Singa
Liquid	Cecair
Liquid crystal display	Paparan hablur cecair
Liquorice	Pokok Akar Manis
Lisbon	Lisbon
Lisp (programming language)	LISP
Literature	Kesusasteraan
Literature	Kategori:Kesusasteraan
Literature	Portal:Sastera
Lithium	Litium
Lithuania	Lithuania
Lithuania	Kategori:Lithuania
Litre	Liter
Liverpool	Liverpool
Logarithm	Logaritma
Logic	Logik
Logic gate	Get logik
Logo	Logo
London	London
Long jump	Lompat jauh
Long-eared Owl	Burung Hantu Telinga Panjang
Lorraine (region)	Lorraine
Los Angeles	Los Angeles
Louis Braille	Louis Braille
Louis Pasteur	Louis Pasteur
Louisiana	Louisiana
Luciano Pavarotti	Luciano Pavarotti
Ludwig van Beethoven	Ludwig van Beethoven
Lumen (unit)	Lumen
Lunar eclipse	Gerhana bulan
Lung	Paru-paru
Lung cancer	Penyakit barah paru-paru
Lux	Lux
Luxembourg	Luxembourg
Luxembourg	Kategori:Luxembourg
Lychee	Pokok Laici
MS-DOS	MS-DOS
Macau	Macau
Machine	Mesin
Machine translation	Terjemahan mesin
Madagascar	Madagaskar
Madagascar	Kategori:Madagaskar
Madeira	Madeira
Madrid	Madrid
Madrid (autonomous community)	Madrid (Komuniti berautonomi)
Mafia	Mafia
Magazine	Majalah
Maginot Line	Garis Maginot
Magma	Magma
Magna Carta	Magna Carta
Magnesium	Magnesium
Magnetic resonance imaging	MRI
Magnifying glass	Kanta pembesar
Magnoliopsida	Kategori:Magnoliopsida
Maharashtra	Maharashtra
Mahatma Gandhi	Mahatma Gandhi
Maine	Maine
Maize	Pokok Jagung
Malaria	Malaria
Malawi	Kategori:Malawi
Malayan Tapir	Tenuk Malaysia
Malaysia	Malaysia
Malaysia	Kategori:Malaysia
Malcolm X	Malcolm X
Maldives	Maldives
Maldives	Kategori:Maldives
Mali	Mali
Mali	Kategori:Mali
Malta	Malta
Malta	Kategori:Malta
Maltese language	Bahasa Malta
Maltose	Maltosa
Mammal	Mamalia
Managua	Managua
Manama	Manama
Manatee	Manatee
Manchester	Manchester
Mandarin (linguistics)	Bahasa Mandarin
Mandarin orange	Limau mandarin
Mango	Pokok Buah Mangga
Mangrove	Pokok Bakau
Manila	Manila
Manipur	Manipur
Mao Zedong	Mao Zedong
Maoism	Maoisme
Map	Peta
Marathon	Maraton
March	Mac
March 17	17 Mac
March 19	19 Mac
March 2	2 Mac
March 25	25 Mac
Marco Polo	Marco Polo
Marcus Junius Brutus	Marcus Junius Brutus
Margaret Mitchell	Margaret Mitchell
Margaret Thatcher	Margaret Thatcher
Maria Callas	Maria Callas
Marilyn Monroe	Marilyn Monroe
Mark Antony	Marcus Antonius
Mark Twain	Mark Twain
Marketing	Pemasaran
Markup language	Bahasa markap
Marshall Islands	Kepulauan Marshall
Marshall Islands	Kategori:Kepulauan Marshall
Marshall Plan	Rancangan Marshall
Martin Luther	Martin Luther
Martin Luther King	Martin Luther King
Martin Van Buren	Martin Van Buren
Marxism	Marxisme
Mary Wollstonecraft	Mary Wollstonecraft
Maryland	Maryland
Mashhad	Mashad
Mass	Jisim
Massachusetts	Massachusetts
Mata Hari	Mata Hari
Match	Mancis
Mathematics	Matematik
Mathematics	Kategori:Matematik
Mathematics	Portal:Matematik
Matrix (mathematics)	Matriks (matematik)
Matter	Jirim
Mauritania	Mauritania
Mauritania	Kategori:Mauritania
Mauritius	Mauritius
Mauritius	Kategori:Mauritius
May	Mei
May 1	1 Mei
May 24	24 Mei
Mayonnaise	Mayonis
Measurement	Kategori:Ukuran
Meat	Daging
Mecca	Makkah al-Mukarramah
Mechanical engineering	Kejuruteraan mekanik
Medicine	Perubatan
Medicine	Kategori:Perubatan
Medina	Madinah al-Munawwarah
Mediterranean Sea	Laut Mediterranean
Meiosis	Meiosis
Mekong	Sungai Mekong
Melody	Melodi
Melting point	Takat lebur
Menachem Begin	Menachem Begin
Meningitis	Meningitis
Mercantilism	Merkantilisme
Mercury (element)	Raksa
Mercury (planet)	Utarid
Mermaid	Ikan duyung
Mesopotamia	Mesopotamia
Mesosphere	Mesosfera
Mesozoic	Mesozoik
Messiah	Al-Masih
Metabolism	Metabolisme
Metal	Logam
Metalloid	Metaloid
Metallurgy	Metalurgi
Metamorphic rock	Batuan metamorfosis
Metaphysics	Metafizik
Metastasis	Metastasis
Meteorite	Meteorit
Meteoroid	Meteoroid
Meteorology	Kategori:Meteorologi
Meteorology	Meteorologi
Methamphetamine	Metamfetamin
Metre	Meter
Mexico	Mexico
Mexico	Kategori:Mexico
Mexico City	Bandar Raya Mexico
Michael (archangel)	Malaikat Mikail
Michelangelo	Michelangelo
Michigan	Michigan
Michigan	Kategori:Michigan
Mickey Mouse	Mickey Mouse
Micronesia	Micronesia
Microscope	Mikroskop
Microwave	Mikrogelombang
Middle East	Kategori:Timur Tengah
Mikhail Gorbachev	Mikhail Gorbachev
Milan	Milan
Milky Way	Bima Sakti
Millard Fillmore	Millard Fillmore
Millennium	Alaf
Millipede	Gonggok
Mindanao	Mindanao
Mineral	Mineral
Ming Dynasty	Dinasti Ming
Minimalism	Minimalisme
Minneapolis	Minneapolis, Minnesota
Minnesota	Minnesota
Minor scale	Skala minor
Minute	Minit
Miracle	Mukjizat
Mirror	Cermin
Mississippi River	Sungai Mississippi
Missouri	Missouri
Mitochondrion	Mitokondrion
Mobile phone	Telefon bimbit
Modem	Modem
Modernism	Modenisme
Moldova	Moldova
Moldova	Kategori:Moldova
Mole (unit)	Mol
Molecular biology	Biologi skala molekul
Molecule	Molekul
Molotov cocktail	Bom petrol
Momentum	Momentum
Monaco	Monaco
Monaco	Kategori:Monaco
Monarchy	Monarki
Monarchy	Kategori:Pemerintahan beraja
Monday	Isnin
Money	Wang
Mongolia	Mongolia
Mongolia	Kategori:Mongolia
Monocotyledon	Monokotiledon
Monopoly (game)	Monopoly
Monosaccharide	Monosakarida
Monosodium glutamate	Monosodium glutamat
Monotheism	Monotheisme
Montana	Montana
Montenegro	Montenegro
Montenegro	Kategori:Montenegro
Moon	Bulan (satelit)
Morality	Moral
Morocco	Maghribi
Morphine	Morfina
Morse code	Kod Morse
Moscow	Moscow
Moses	Nabi Musa a.s.
Moshe Dayan	Moshe Dayan
Mosque	Masjid
Mosquito	Nyamuk
Mossad	Mossad
Mother Teresa	Agnes Gonxha Bojaxhiu
Mother's Day	Hari Ibu
Motorcycle	Motosikal
Mount Everest	Gunung Everest
Mount Fuji	Gunung Fuji
Mountain	Gunung
Mouse	Mus
Mouse (computing)	Tetikus
Mozambique	Mozambique
Muezzin	Bilal
Muhammad	Nabi Muhammad s.a.w.
Muhammad Ali	Muhammad Ali
Mule	Baghal
Mumbai	Mumbai
Municipality	Kotamadya
Musa (genus)	Musa
Muscle	Otot
Museum	Muzium
Mushroom	Cendawan
Music	Muzik
Music	Kategori:Muzik
Musical instrument	Alat muzik
Musician	Pemuzik
Mutation	Mutasi
Myanmar	Kategori:Myanmar
Myopia	Miopia
Mysticism	Mistisisme
Mythology	Kategori:Mitos
N'Djamena	N'Djamena
NATO	Pertubuhan Perjanjian Atlantik Utara
Namib Desert	Gurun Namib
Namibia	Namibia
Namibia	Kategori:Namibia
Nanjing	Nanjing
Nanotechnology	Nanoteknologi
National anthem	Lagu kebangsaan
Nationalism	Nasionalisme
Natural gas	Gas asli
Natural number	Nombor tabii
Nature	Alam semula jadi
Nature	Kategori:Alam semulajadi
Nauru	Nauru
Nauru	Kategori:Nauru
Nazi Germany	Jerman Nazi
Nazi Party	Parti Buruh Jerman Sosialis Nasional
Nebraska	Nebraska
Nefertiti	Nefertiti
Nelson Mandela	Nelson Mandela
Nematode	Cacing Gelang
Neon	Neon
Nepal	Nepal
Nepal	Kategori:Nepal
Neptune	Neptun
Nero	Nero
Netherlands	Belanda
Netherlands	Kategori:Belanda
Netherlands Antilles	Antillen Belanda
Neutrino	Neutrino
Neutron	Neutron
Neutron star	Bintang neutron
Nevada	Nevada
Nevada	Kategori:Nevada
New Caledonia	New Caledonia
New Delhi	New Delhi
New Hampshire	New Hampshire
New Jersey	New Jersey
New Mexico	New Mexico
New Mexico	Kategori:New Mexico
New Testament	Perjanjian Baru
New World	Dunia Baru
New Year	Tahun Baru
New York	New York
New York City	Bandar raya New York
New York Stock Exchange	Bursa Saham New York
New Zealand	New Zealand
New Zealand	Kategori:New Zealand
Newton	Newton
Nicaragua	Nicaragua
Nicaragua	Kategori:Nicaragua
Nicene Creed	Pengakuan Iman Nicea
Nicholas	Petrović Njegoš
Nicotine	Nikotin
Niels Bohr	Niels Bohr
Niger	Niger
Niger	Kategori:Niger
Nigeria	Nigeria
Nigeria	Kategori:Nigeria
Nikola Tesla	Nikola Tesla
Nile	Sungai Nil
Ninja	Ninja
Nitric acid	Asid nitrik
Noah	Nabi Nuh a.s.
Nobel Prize	Hadiah Nobel
Nobel Prize	Kategori:Hadiah Nobel
Noble gas	Gas adi
Nonmetal	Bukan logam
Norse mythology	Mitos Norse
North	Utara
North Africa	Afrika Utara
North America	Amerika Utara
North America	Kategori:Amerika Utara
North Carolina	Carolina Utara
North Dakota	Dakota Utara
North Korea	Korea Utara
North Korea	Kategori:Korea Utara
North Sea	Laut Utara
Northern Hemisphere	Hemisfera Utara
Northern Ireland	Ireland Utara
Northern Mariana Islands	Kepulauan Mariana Utara
Norway	Norway
Norway	Kategori:Norway
Nose	Hidung
Nostradamus	Nostradamus
November	November
November 1	1 November
November 11	11 November
November 2	2 November
November 5	5 November
Nu (letter)	Nu (huruf)
Nuclear physics	Fizik nuklear
Nuclear weapon	Senjata nuklear
Nucleic acid	Asid nukleik
Nucleotide	Nukleotida
Number	Nombor
Numbers	Kategori:Nombor
Nut (fruit)	Kacang
OPEC	Pertubuhan Negara-negara Pengeksport Petroleum
Oat	Oat
Obesity	Obesiti
Object-oriented programming	Pengaturcaraan Berorientasikan Objek
Ocean	Lautan
Oceania	Oceania
Oceania	Kategori:Oceania
Oceanography	Oseanografi
October	Oktober
October 12	12 Oktober
October 24	24 Oktober
Odyssey	Odyssey
Ohio	Ohio
Ohm's law	Hukum Ohm
Oil	Minyak
Oil (disambiguation)	Minyak (nyahkekaburan)
Oklahoma	Oklahoma
Old Testament	Perjanjian Lama
Oligarchy	Oligarki
Olive	Zaitun
Olympic Games	Sukan Olimpik
Olympics	Kategori:Sukan Olimpik
Oman	Oman
Oman	Kategori:Oman
Omega	Omega
Omicron	Omikron
Oncology	Kategori:Onkologi
Onion	Bawang
Oort cloud	Awan Oort
Opera	Opera
Operating system	Sistem pengendalian
Operetta	Opereta
Opium	Candu
Optics	Optik
Optics	Kategori:Optik
Oral sex	Seks oral
Orange (colour)	Jingga
Orangutan	Orang utan
Oratorio	Oratorio
Orchestra	Orkestra
Orchidaceae	Pokok Bunga Anggerik
Order (biology)	Order
Oregon	Oregon
Organ (music)	Organ (muzik)
Organelle	Organel
Organic chemistry	Kimia organik
Organization of American States	Pertubuhan Negara-negara Amerika
Origami	Origami
Osaka	Osaka
Osama bin Laden	Osama bin Laden
Oscar Wilde	Oscar Wilde
Oscillation	Ayunan
Oslo	Oslo
Osman I	Uthman I
Ostrich	Burung Unta
Otto von Bismarck	Otto von Bismarck
Ottoman Empire	Empayar Turki Uthmaniyyah
Ottoman Empire	Kategori:Turki Uthmaniyyah
Ounce	Auns
Owl	Burung Hantu
Oxygen	Oksigen
Ozone	Ozon
Ozone layer	Lapisan ozon
PAL	PAL
PH	PH
Pacific Ocean	Lautan Pasifik
Pakistan	Pakistan
Pakistan	Kategori:Pakistan
Palace of Versailles	Istana Versailles
Palau	Palau
Palau	Kategori:Palau
Paleolithic	Zaman Paleolitik
Palestine	Palestin
Palestine Liberation Organization	Pertubuhan Pembebasan Palestin
Palestinian National Authority	Pihak Berkuasa Palestin
Panama	Panama
Panama	Kategori:Panama
Papua New Guinea	Papua New Guinea
Papua New Guinea	Kategori:Papua New Guinea
Paracelsus	Paracelsus
Paraguay	Paraguay
Paraguay	Kategori:Paraguay
Paris	Paris
Parkinson's disease	Penyakit Parkinson
Parliament	Parlimen
Parsec	Parsek
Parthia	Parthia
Particle physics	Fizik zarah
Passport	Pasport
Password	Kata laluan
Patent	Paten
Pathology	Patologi
Patriotism	Patriotisme
Pauli exclusion principle	Prinsip pengecualian Pauli
Pays de la Loire	Pays de la Loire
Peanut	Kacang Tanah
Pearl	Mutiara
Pedagogy	Pedagogi
Pencil	Pensil
Pendulum	Bandul
Pennsylvania	Pennsylvania
People	Kategori:Tokoh
People's Republic of China	Republik Rakyat China
Pepsi	Pepsi-Cola
Period (periodic table)	Kala jadual berkala
Periodic table	Jadual berkala
Persepolis	Persepolis
Persian Empire	Empayar Parsi
Persian Gulf	Teluk Parsi
Perth	Perth, Australia Barat
Peru	Peru
Petroleum	Petroleum
Phanerozoic	Fanerozoik
Pharaoh	Firaun
Pharmacology	Farmakologi
Phi (letter)	Fi (huruf)
