Czech	English
Edinburgh	Edinburgh
Edirne	Edirne
Edmund Halley	Edmond Halley
Edmonton	Edmonton
Edmund Burke	Edmund Burke
Edmund Hillary	Edmund Hillary
Edmund Husserl	Edmund Husserl
Edo	Edo
Eduard Buchner	Eduard Buchner
Vzdělání	Education
Kategorie:Vzdělávání	Education
Edvard Grieg	Edvard Grieg
Edvard Munch	Edvard Munch
Edward Jenner	Edward Jenner
Eduard III. Vyznavač	Edward the Confessor
Edwin Hubble	Edwin Hubble
Holobřiší	Eel
Vejce	Egg (biology)
Lilek vejcoplodý	Eggplant
Egypt	Egypt
Kategorie:Egypt	Egypt
Egyptská libra	Egyptian pound
Egyptologie	Egyptology
Eiffelova věž	Eiffel Tower
Eindhoven	Eindhoven
Einsteinium	Einsteinium
Ejakulace	Ejaculation
Cid	El Cid
El Greco	El Greco
El Paso	El Paso
Salvador	El Salvador
Kategorie:Salvador	El Salvador
Elam	Elam
Labe	Elbe
Eleanor Roosevelt	Eleanor Roosevelt
Volby	Election
Élektra	Electra
Elektrický náboj	Electric charge
Elektrický proud	Electric current
Elektrické pole	Electric field
Elektrická kytara	Electric guitar
Elektromotor	Electric motor
Kategorie:Elektrotechnika	Electrical engineering
Elektrotechnika	Electrical engineering
Elektrický odpor	Electrical resistance
Elektřina	Electricity
Kategorie:Elektřina	Electricity
Elektrokardiogram	Electrocardiogram
Elektrochemie	Electrochemistry
Kategorie:Elektrochemie	Electrochemistry
Elektrolýza	Electrolysis
Elektrolyt	Electrolyte
Elektromagnetické záření	Electromagnetic radiation
Elektromagnetické spektrum	Electromagnetic spectrum
Elektromagnetismus	Electromagnetism
Kategorie:Elektromagnetismus	Electromagnetism
Elektron	Electron
Elektronový mikroskop	Electron microscope
Elektronegativita	Electronegativity
Elektronika	Electronics
Kategorie:Elektronika	Electronics
Elegie	Elegy
Elementární částice	Elementary particle
Slon	Elephant
Výtah	Elevator
Elf	Elf
Elias Canetti	Elias Canetti
Elijáš	Elijah
Ella Fitzgeraldová	Ella Fitzgerald
Elipsa	Ellipse
Výpustka	Ellipsis
Jilm	Elm
Elvis Presley	Elvis Presley
Embryo	Embryo
Embryologie	Embryology
Smaragd	Emerald
Emilia-Romagna	Emilia-Romagna
Emiliano Zapata	Emiliano Zapata
Emily Dickinsonová	Emily Dickinson
Emír	Emir
Emma Goldmanová	Emma Goldman
Emotikon	Emoticon
Kategorie:Emoce	Emotion
Empatie	Empathy
Empedoklés	Empedocles
Císař	Emperor
Tučňák císařský	Emperor Penguin
Empire State Building	Empire State Building
Empirismus	Empiricism
Emu hnědý	Emu
Emulátor	Emulator
Emulze	Emulsion
Encyklopedie	Encyclopedia
Endemit	Endemism
Soustava žláz s vnitřní sekrecí	Endocrine system
Endokrinologie	Endocrinology
Kategorie:Endokrinologie	Endocrinology
Energie	Energy
Kategorie:Energie	Energy
Energie	Energy (society)
Motor	Engine
Inženýr	Engineer
Inženýrství	Engineering
Kategorie:Inženýrství	Engineering
Anglie	England
Kategorie:Anglie	England
Lamanšský průliv	English Channel
Anglická občanská válka	English Civil War
Angličtina	English language
Kategorie:Angličtina	English language
Kategorie:Angličané	English people
Angličané	English people
Enki	Enki
Enrico Caruso	Enrico Caruso
Enrico Fermi	Enrico Fermi
Kategorie:Zábava a volný čas	Entertainment
Entalpie	Enthalpy
Entomologie	Entomology
Kategorie:Entomologie	Entomology
Entropie	Entropy
Kategorie:Životní prostředí	Environment
Životní prostředí	Environment
Enzym	Enzyme
Eocén	Eocene
Eon	Eon (geology)
Éós	Eos
Efesos	Ephesus
Epos	Epic poetry
Epicentrum	Epicenter
Epiktétos	Epictetus
Epikúros	Epicurus
Epidemie	Epidemic
Epidemiologie	Epidemiology
Epigrafika	Epigraphy
Epilepsie	Epilepsy
Epimétheus	Epimetheus (mythology)
Adrenalin	Epinephrine
Epifanie	Epiphany (Christian)
Epirus	Epirus (periphery)
Gnozeologie	Epistemology
List Galatským	Epistle to the Galatians
List Římanům	Epistle to the Romans
Epitelová tkáň	Epithelium
Rovnice	Equation
Rovník	Equator
Rovníková Guinea	Equatorial Guinea
Kategorie:Rovníková Guinea	Equatorial Guinea
Koňovití	Equidae
Rovnodennost	Equinox
Přeslička	Equisetum
Erasure	Erasure
Erató	Erato
Eratosthenés z Kyrény	Eratosthenes
Erbium	Erbium
Erebos	Erebus
Erektilní dysfunkce	Erectile dysfunction
Erekce	Erection
Souhvězdí Eridana	Eridanus (constellation)
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Erik Satie	Erik Satie
Eris (plutoid)	Eris (dwarf planet)
Eris	Eris (mythology)
Kategorie:Eritrea	Eritrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Ernst Werner von Siemens	Ernst Werner von Siemens
Erós	Eros (mythology)
Eroze	Erosion
Erotika	Erotica
Erwin Rommel	Erwin Rommel
Úniková rychlost	Escape velocity
Eschatologie	Eschatology
Escherichia coli	Escherichia coli
Isfahán	Esfahan
Jícen	Esophagus
Esperanto	Esperanto
Kategorie:Esperanto	Esperanto
Špionáž	Espionage
Espoo	Espoo
Espresso	Espresso
Esej	Essay
Essen	Essen
Silice	Essential oil
Essex	Essex
Estery	Ester
Kategorie:Estonsko	Estonia
Estrogen	Estrogen
Lept	Etching
Ethan	Ethane
Ethanol	Ethanol
Ethery	Ether
Ethernet	Ethernet
Etika	Ethics
Kategorie:Etika	Ethics
Etiopie	Ethiopia
Kategorie:Etiopie	Ethiopia
Etnikum	Ethnic group
Etnografie	Ethnography
Kategorie:Etnologie	Ethnology
Etologie	Ethology
Ethen	Ethylene
Etymologie	Etymology
Blahovičník	Eucalyptus
Eucharistie	Eucharist
Eukleidés	Euclid
Euklidovská geometrie	Euclidean geometry
Eugene O'Neill	Eugene O'Neill
Eukaryota	Eukaryote
Eunuch	Eunuch
Eufemismus	Euphemism
Eufrat	Euphrates
Eurasie	Eurasia
Jezevec lesní	Eurasian Badger
Eurípidés	Euripides
Euro	Euro
Europa (měsíc)	Europa (moon)
Európa	Europa (mythology)
Evropa	Europe
Kategorie:Evropa	Europe
Evropská centrální banka	European Central Bank
Evropské společenství	European Community
Straka obecná	European Magpie
Evropská unie	European Union
Kategorie:Evropská unie	European Union
Europium	Europium
Eusebios z Kaisareie	Eusebius of Caesarea
Euterpé	Euterpe
Eutanazie	Euthanasia
Eva Braunová	Eva Braun
Evanescence	Evanescence
Vypařování	Evaporation
Sudokopytníci	Even-toed ungulate
Evoluce	Evolution
Měnový kurz	Exchange rate
Vykřičník	Exclamation mark
Exkomunikace	Excommunication
Existencialismus	Existentialism
Exodus	Exodus
Střední hodnota	Expected value
Pokus	Experiment
Výbuch	Explosion
Světová výstava	Expo (exhibition)
Exponenciální funkce	Exponential function
Umocňování	Exponentiation
Expresionismus	Expressionism
Vyhynulý	Extinction
Oko	Eye
Ezra Pound	Ezra Pound
F	F
Francis Scott Fitzgerald	F. Scott Fitzgerald
Bobovité	Fabaceae
Bajka	Fable
Tvář	Face
Šablona:Doplňte zdroj	Fact
Faktoriál	Factorial
Továrna	Factory
Sluneční skvrna	Facula
Fado	Fado
Kategorie:Bukovité	Fagaceae
Stupeň Fahrenheita	Fahrenheit
Fair use	Fair use
Víla	Fairy
Pohádka	Fairy tale
Dravci	Falconiformes
Falklandy	Falkland Islands
Logický klam	Fallacy
Vejcovod	Fallopian tube
Daněk evropský	Fallow Deer
Falun Gong	Falun Gong
Kategorie:Rodina	Family
Čeleď (biologie)	Family (biology)
Genealogie	Family history
Příjmení	Family name
Fantasy	Fantasy
Dálný východ	Far East
Farad	Farad
Kategorie:Faerské ostrovy	Faroe Islands
Fašismus	Fascism
Kategorie:Fašismus	Fascism
Kategorie:Móda	Fashion
Móda	Fashion
Fast food	Fast food
Fatah	Fatah
Mastná kyselina	Fatty acid
Zlom	Fault (geology)
Fauna	Fauna
Fauvismus	Fauvism
Fax	Fax
Strach	Fear
Peří	Feather
Únor	February
12. únor	February 12
14. únor	February 14
2. únor	February 2
22. únor	February 22
29. únor	February 29
Únorová revoluce	February Revolution
Výkal	Feces
FBI	Federal Bureau of Investigation
Federativní státy Mikronésie	Federated States of Micronesia
Kategorie:Federativní státy Mikronésie	Federated States of Micronesia
Federace	Federation
Federico Fellini	Federico Fellini
Fedora	Fedora (Linux distribution)
Zpětná vazba	Feedback
Živec	Feldspar
Kočkovití	Felidae
Felix Mendelssohn-Bartholdy	Felix Mendelssohn
Feminismus	Feminism
Kategorie:Feminismus	Feminism
Šerm	Fencing
Feng-šuej	Feng shui
Fenykl obecný	Fennel
Fenrir	Fenrir
Pískavice (koření)	Fenugreek
Ferdinand II. Štýrský	Ferdinand II
Fernão de Magalhães	Ferdinand Magellan
Ferdinand de Saussure	Ferdinand de Saussure
Kvašení	Fermentation (biochemistry)
Kvašení	Fermentation (food)
Fermion	Fermion
Fermium	Fermium
Kapraďorosty	Fern
Ferrara	Ferrara
Přívoz	Ferry
Úrodný půlměsíc	Fertile Crescent
Oplodnění	Fertilisation
Hnojivo	Fertilizer
Fétus	Fetus
Feudalismus	Feudalism
Horečka	Fever
FIAT (automobil)	Fiat
Fibonacciho posloupnost	Fibonacci number
Fiktivní postava	Fictional character
Fidel Castro	Fidel Castro
Těleso (algebra)	Field (mathematics)
Pozemní hokej	Field hockey
Stíhací letoun	Fighter aircraft
Krasobruslení	Figure skating
Fidži	Fiji
Kategorie:Fidži	Fiji
File Allocation Table	File Allocation Table
File Transfer Protocol	File Transfer Protocol
Souborový systém	File system
Filippo Brunelleschi	Filippo Brunelleschi
Kategorie:Film	Film
Film	Film
Plejtvák myšok	Fin Whale
Prst	Finger
Daktyloskopie	Fingerprint
Finsko	Finland
Kategorie:Finsko	Finland
Jedle	Fir
Oheň	Fire
Palná zbraň	Firearm
Hasič	Firefighter
Firewall	Firewall (networking)
Firmware	Firmware
1. konstantinopolský koncil	First Council of Constantinople
1. nikajský koncil	First Council of Nicaea
První křížová výprava	First Crusade
První list Korintským	First Epistle to the Corinthians
První pomoc	First aid
Mateřský jazyk	First language
Rybolov	Fishing
Kategorie:Rybářství	Fishing
Fjord	Fjord
Vlajka	Flag
Bičík	Flagellum
Flamenco	Flamenco
Plameňáci	Flamingo
Vlámsko	Flanders
Flash paměť	Flash memory
Flatus	Flatulence
Ploštěnci	Flatworm
Blechy	Flea
Pazourek	Flint
Klopný obvod	Flip-flop (electronics)
Povodeň	Flood
Disketa	Floppy disk
Florencie	Florence
Florence Nightingalová	Florence Nightingale
Florida	Florida
Kategorie:Florida	Florida
Mouka	Flour
Květ	Flower
Krytosemenné	Flowering plant
Tekutina	Fluid
Mechanika tekutin	Fluid mechanics
Fluorit	Fluorite
Flétna	Flute
Mlha	Fog
Kyselina listová	Folic acid
Folk	Folk music
Folklór	Folklore
Kategorie:Folklór	Folklore
Potravina	Food
Přídatné látky	Food additive
Organizace pro výživu a zemědělství	Food and Agriculture Organization
Potravní řetězec	Food chain
Stopa (jednotka délky)	Foot (unit of length)
Fotbal	Football (soccer)
Kategorie:Fotbal	Football (soccer)
Kategorie:Fotbalové kluby	Football (soccer) clubs
Kategorie:Fotbaloví trenéři	Football (soccer) managers
Kategorie:Fotbalisté	Football (soccer) players
Kategorie:Fotbalové stadiony	Football (soccer) venues
Zakázané město	Forbidden City
Síla	Force
Les	Forest
Lesnictví	Forestry
Vidlička	Fork
Formaldehyd	Formaldehyde
Kyselina mravenčí	Formic acid
Souhvězdí Pece	Fornax
Fort Worth	Fort Worth
Pevnost (stavba)	Fortification
Fortran	Fortran
Fosílie	Fossil
Fosilní palivo	Fossil fuel
Foucaultovo kyvadlo	Foucault pendulum
Fontána	Fountain
Fourierova řada	Fourier series
Čtvrtá křížová výprava	Fourth Crusade
Liška (říše živočichů)	Fox
Fraktál	Fractal
Zlomek	Fraction (mathematics)
Francie	France
Kategorie:Francie	France
Francis Bacon	Francis Bacon
Francis Crick	Francis Crick
Francis Drake	Francis Drake
František I.	Francis II
Francis Poulenc	Francis Poulenc
František z Assisi	Francis of Assisi
Řád menších bratří	Franciscan
Francisco Franco	Francisco Franco
Francisco Goya	Francisco Goya
Francisco Pizarro	Francisco Pizarro
Francium	Francium
Prusko-francouzská válka	Franco-Prussian War
Frank Lloyd Wright	Frank Lloyd Wright
Frank Sinatra	Frank Sinatra
Frankfurt nad Mohanem	Frankfurt
Kategorie:Frankfurt nad Mohanem	Frankfurt
Frankfurt	Frankfurt (disambiguation)
Franklin Pierce	Franklin Pierce
Frans Hals	Frans Hals
Franz Kafka	Franz Kafka
Ferenc Liszt	Franz Liszt
Franz Schubert	Franz Schubert
Fridrich I. Barbarossa	Frederick I
Fridrich II. Štaufský	Frederick II
Frederick Sanger	Frederick Sanger
Fredericton	Fredericton
Svobodný stát (provincie)	Free State
Svoboda	Freedom (philosophy)
Svoboda projevu	Freedom of speech
Svobodné zednářství	Freemasonry
Freetown	Freetown
Freeware	Freeware
Francouzská Polynésie	French Polynesia
Kategorie:Francouzská Polynésie	French Polynesia
Velká francouzská revoluce	French Revolution
Kategorie:Velká francouzská revoluce	French Revolution
Francouzský frank	French franc
Kategorie:Francouzi	French people
Frekvence	Frequency
Freska	Fresco
Fresno	Fresno
Freya	Freyja
Frey	Freyr
Tření	Friction
Pátek	Friday
Fridtjof Nansen	Fridtjof Nansen
Friedrich Engels	Friedrich Engels
Frísko	Friesland
Fregata	Frigate
Frigg	Frigg
Fritz Haber	Fritz Haber
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Žáby	Frog
Fruktóza	Fructose
Ovoce	Fruit
Kategorie:Ovoce	Fruit
Fucking	Fucking
Palivo	Fuel
Palivový článek	Fuel cell
Fukuoka	Fukuoka
Úplněk	Full moon
Funafuti	Funafuti
Funkce (matematika)	Function (mathematics)
Kategorie:Hlavní strana	Fundamental
Základní interakce	Fundamental interaction
Fundamentalismus	Fundamentalism
Kategorie:Houby	Fungi
Houby	Fungus
Pozemní lanová dráha	Funicular
Funk	Funk
Kategorie:Nábytek	Furniture
Nábytek	Furniture
Budoucnost	Future
Futurismus	Futurism (art)
Fuzzy logika	Fuzzy logic
Fjodor Michajlovič Dostojevskij	Fyodor Dostoevsky
G	G
GIMP	GIMP
GNOME	GNOME
Gabon	Gabon
Kategorie:Gabon	Gabon
Gaborone	Gaborone
Archanděl Gabriel	Gabriel
Gabriel Lippmann	Gabriel Lippmann
Gadolinium	Gadolinium
Gaetano Donizetti	Gaetano Donizetti
Gaia	Gaia (mythology)
Galatie	Galatia
Galaxie	Galaxy
Claudius Galén	Galen
Galenit	Galena
Halič	Galicia (Central Europe)
Galicie	Galicia (Spain)
Galilea	Galilee
Sonda Galileo	Galileo (spacecraft)
Galileo Galilei	Galileo Galilei
Žlučník	Gallbladder
Galéra	Galley
Hrabaví	Galliformes
Kategorie:Hrabaví	Galliformes
Gallium	Gallium
Galon	Gallon
Galway	Galway
Gamál Násir	Gamal Abdel Nasser
Hazardní hra	Gambling
Hra	Game
Teorie her	Game theory
Záření gama	Gamma ray
Ganéša	Ganesha
Ganga	Ganges
Gəncə	Ganja
Kan-su	Gansu
Ganymédés	Ganymede
Ganymed (měsíc)	Ganymede (moon)
Gap	Gap
Zahrada	Garden
Zahradnictví	Gardening
Garfield	Garfield
Chrlič	Gargoyle
Česnek kuchyňský	Garlic
Granát (minerál)	Garnet
Garonna	Garonne
Plyn	Gas
Molární plynová konstanta	Gas constant
Plynný obr	Gas giant
Benzín	Gasoline
Trávicí soustava	Gastrointestinal tract
Plži	Gastropoda
Galie	Gaul
Gautama Buddha	Gautama Buddha
Gaza	Gaza
Pásmo Gazy	Gaza Strip
Ozubené kolo	Gear
Geb	Geb
Gejša	Geisha
Souhvězdí Blíženců	Gemini (constellation)
Drahokam	Gemstone
Gen	Gene
Genealogie	Genealogy
Kategorie:Genealogie	Genealogy
GATT	General Agreement on Tariffs and Trade
Generál	General Officer
Obecná teorie relativity	General relativity
Genesis	Genesis
Genetický kód	Genetic code
Genetika	Genetics
Kategorie:Genetika	Genetics
Ženeva	Geneva
Genitiv	Genitive case
Janov (Itálie)	Genoa
Genocida	Genocide
Kategorie:Genocidy	Genocide
Genom	Genome
Genotyp	Genotype
Rod (biologie)	Genus
Geochemie	Geochemistry
Geodézie	Geodesy
Kategorie:Geodézie	Geodesy
Geoffrey Chaucer	Geoffrey Chaucer
Geografie	Geography
Kategorie:Geografie	Geography
Portál:Geografie	Geography
Kategorie:Geologie	Geology
Geologie	Geology
Geometrická posloupnost	Geometric progression
Geometrie	Geometry
Kategorie:Geometrie	Geometry
Geomorfologie	Geomorphology
Kategorie:Geomorfologie	Geomorphology
Geofyzika	Geophysics
Kategorie:Geofyzika	Geophysics
Georg Philipp Telemann	Georg Philipp Telemann
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Berkeley	George Berkeley
George Bernard Shaw	George Bernard Shaw
George Boole	George Boole
George Bush	George Bush
Georg Friedrich Händel	George Frideric Handel
George Gershwin	George Gershwin
George Harrison	George Harrison
George Lucas	George Lucas
George Catlett Marshall	George Marshall
George Orwell	George Orwell
George Paget Thomson	George Paget Thomson
George Sandová	George Sand
George Stephenson	George Stephenson
George W. Bush	George W. Bush
George Washington	George Washington
Georges Bizet	Georges Bizet
Georges Braque	Georges Braque
Georges Clemenceau	Georges Clemenceau
Georgetown	Georgetown
Georgie	Georgia (U.S. state)
Kategorie:Georgie	Georgia (U.S. state)
Gruzie	Georgia (country)
Kategorie:Gruzie	Georgia (country)
Gerald Ford	Gerald Ford
Gerard Kuiper	Gerard Kuiper
Německý ovčák	German Shepherd Dog
Němčina	German language
Kategorie:Němčina	German language
Německá marka	German mark
Germanium	Germanium
Německo	Germany
Kategorie:Německo	Germany
Geronimo	Geronimo
Gestapo	Gestapo
Gejzír	Geyser
Ghana	Ghana
Kategorie:Ghana	Ghana
Gent	Ghent
Ghetto	Ghetto
Duch	Ghost
Giacomo Puccini	Giacomo Puccini
Panda velká	Giant Panda
Gibraltar	Gibraltar
Kategorie:Gibraltar	Gibraltar
Gilgameš	Gilgamesh
Zázvor (koření)	Ginger
Jinan dvoulaločný	Ginkgo
Giordano Bruno	Giordano Bruno
Giorgio Vasari	Giorgio Vasari
Giotto di Bondone	Giotto di Bondone
Giovanni Boccaccio	Giovanni Boccaccio
Žirafa	Giraffe
Žirafovití	Giraffidae
Girolamo Savonarola	Girolamo Savonarola
Gironde (departement)	Gironde
Giuseppe Garibaldi	Giuseppe Garibaldi
Giuseppe Verdi	Giuseppe Verdi
Gíza	Giza
Ledovec	Glacier
Gladiátor	Gladiator
Žláza	Gland
Glasgow	Glasgow
Glasnosť	Glasnost
Sklo	Glass
Brýle	Glasses
Kluzák	Glider
Global Positioning System	Global Positioning System
Globální oteplování	Global warming
Globalizace	Globalization
Artyčok	Globe artichoke
Glukagon	Glucagon
Glukóza	Glucose
Gluon	Gluon
Kyselina glutamová	Glutamic acid
Glycerol	Glycerol
Glycin	Glycine
Glykogen	Glycogen
Glykolýza	Glycolysis
Rula (hornina)	Gneiss
Gnosticismus	Gnosticism
Go	Go (board game)
Goa (stát)	Goa
Brankář	Goalkeeper
Gobi	Gobi Desert
Bůh	God
Golanské výšiny	Golan Heights
Zlato	Gold
Golda Meirová	Golda Meir
Orel skalní	Golden Eagle
Golden Gate Bridge	Golden Gate Bridge
Zlatá horda	Golden Horde
Zlatý retrívr	Golden Retriever
Golf	Golf
Kategorie:Golf	Golf
Golgiho aparát	Golgi apparatus
Homel	Gomel
Velký pátek	Good Friday
Google	Google
Kategorie:Google	Google
Googol	Googol
Gorgony	Gorgon
Gorila	Gorilla
Jestřáb lesní	Goshawk
Evangelium	Gospel
Evangelium podle Lukáše	Gospel of Luke
Göteborg	Gothenburg
Gotická architektura	Gothic architecture
Gotthold Ephraim Lessing	Gotthold Ephraim Lessing
Gottlieb Daimler	Gottlieb Daimler
Dna	Gout
Vláda	Government
Grace Kellyová	Grace Kelly
Gradient	Gradient
Graffiti	Graffiti
Graham Greene	Graham Greene
Mluvnice	Grammar
Kategorie:Gramatika	Grammar
Jmenný rod	Grammatical gender
Granada	Granada
Grand Canyon	Grand Canyon
Grand Slam (tenis)	Grand Slam (tennis)
Šachový velmistr	Grandmaster (chess)
Žula	Granite
Grapefruit	Grapefruit
Grafický design	Graphic design
Grafické uživatelské rozhraní	Graphical user interface
Grafit	Graphite
Gravitace	Gravitation
Gravitační konstanta	Gravitational constant
Graviton	Graviton
Gray	Gray (unit)
Vlk obecný	Gray Wolf
Štýrský Hradec	Graz
Velký bariérový útes	Great Barrier Reef
Velká Británie (ostrov)	Great Britain
Potápka roháč	Great Crested Grebe
Velká hospodářská krize	Great Depression
Velká jezera	Great Lakes
Velká příkopová propadlina	Great Rift Valley
Velká čínská zeď	Great Wall of China
Žralok bílý	Great white shark
Velké Antily	Greater Antilles
Velký Londýn	Greater London
Největší společný dělitel	Greatest common divisor
Potápky	Grebe
Řecko	Greece
Kategorie:Řecko	Greece
Řecká abeceda	Greek alphabet
Řecký oheň	Greek fire
Řecká mytologie	Greek mythology
Kategorie:Řecká mytologie	Greek mythology
Zelená	Green
Skleník	Greenhouse
Skleníkový efekt	Greenhouse effect
Skleníkový plyn	Greenhouse gas
Grónsko	Greenland
Kategorie:Grónsko	Greenland
Grónské moře	Greenland Sea
Greenpeace	Greenpeace
Gregor Mendel	Gregor Mendel
Gregoriánský kalendář	Gregorian calendar
Kategorie:Grenada	Grenada
Grenoble	Grenoble
Šedá	Grey
Husa velká	Greylag Goose
Gryf	Griffin
Sup bělohlavý	Griffon Vulture
Hrubý domácí produkt	Gross domestic product
Skupina	Group
Grupa	Group (mathematics)
Skupina (periodická tabulka)	Group (periodic table)
Teorie grup	Group theory
Grover Cleveland	Grover Cleveland
Groznyj	Grozny
Krátkokřídlí	Gruiformes
Souhvězdí Jeřába	Grus (constellation)
Guadalajara (Mexiko)	Guadalajara
Guadeloupe	Guadeloupe
Guam	Guam
Kuang-tung	Guangdong
Kanton (Čína)	Guangzhou
Guanin	Guanine
Guáno	Guano
Kategorie:Guatemala	Guatemala
Ciudad de Guatemala	Guatemala City
Guayaquil	Guayaquil
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Cech	Guild
Guillaume Apollinaire	Guillaume Apollinaire
Gilotina	Guillotine
Guinea	Guinea
Kategorie:Guinea	Guinea
Morče domácí	Guinea pig
Guinea-Bissau	Guinea-Bissau
Kategorie:Guinea-Bissau	Guinea-Bissau
Kytara	Guitar
Gudžarát	Gujarat
Gulag	Gulag
Golfský proud	Gulf Stream
Válka v Zálivu	Gulf War
Adenský záliv	Gulf of Aden
Akabský záliv	Gulf of Aqaba
Botnický záliv	Gulf of Bothnia
Finský záliv	Gulf of Finland
Guinejský záliv	Gulf of Guinea
Mexický záliv	Gulf of Mexico
Ománský záliv	Gulf of Oman
Rižský záliv	Gulf of Riga
Střelný prach	Gunpowder
Živorodka duhová	Guppy
Gustav Klimt	Gustav Klimt
Gustav Ludwig Hertz	Gustav Ludwig Hertz
Gustav Mahler	Gustav Mahler
Gustave Courbet	Gustave Courbet
Gustave Flaubert	Gustave Flaubert
Guy Fawkes	Guy Fawkes
Guy de Maupassant	Guy de Maupassant
Kategorie:Guyana	Guyana
Gymnastika	Gymnastics
Nahosemenné	Gymnosperm
Gynekologie	Gynaecology
Sádrovec	Gypsum
Gyroskop	Gyroscope
H	H
Herbert George Wells	H. G. Wells
HIV	HIV
HyperText Markup Language	HTML
Hacker	Hacker
Hadaikum	Hadean
Hádés	Hades
Publius Aelius Hadrianus	Hadrian
Hadriánův val	Hadrian's Wall
Hadron	Hadron
Hemofilie	Haemophilia
Hafnium	Hafnium
Hagia Sofia	Hagia Sophia
Haifa	Haifa
Haiku	Haiku
Kroupy (meteorologie)	Hail
Ave Maria	Hail Mary
Vlas	Hair
Haiti	Haiti
Kategorie:Haiti	Haiti
Hadždž	Hajj
Halapartna	Halberd
Poločas přeměny	Half-life
Halle	Halle
Halloween	Halloween
Halucinace	Hallucination
Halogen	Halogen
Hamas	Hamas
Hamburk	Hamburg
Kategorie:Hamburk	Hamburg
Hamburger	Hamburger
Hamlet	Hamlet
Kladivo	Hammer
Srp a kladivo	Hammer and sickle
Chammurapi	Hammurabi
Křeček	Hamster
Ruka	Hand
Granát (zbraň)	Hand grenade
Pistole	Handgun
Oběšení	Hanging
Visuté zahrady Semiramidiny	Hanging Gardens of Babylon
Hannah Arendtová	Hannah Arendt
Hannibal	Hannibal
Hanoj	Hanoi
Hannover	Hanover
Hans Bethe	Hans Bethe
Hans Christian Andersen	Hans Christian Andersen
Hanza	Hanseatic League
Chanuka	Hanukkah
Harare	Harare
Tvrdost kovů	Hardness
Harém	Harem
Harlem	Harlem
Harmonika	Harmonica
Harmonie	Harmony
Harold Pinter	Harold Pinter
Harfa	Harp
Cembalo	Harpsichord
Harpyje	Harpy
Hartford	Hartford
Hassium	Hassium
Horní Normandie	Haute-Normandie
Havana	Havana
Havaj	Hawaii
Kategorie:Havaj	Hawaii
Hlava (člověk)	Head
Hlava státu	Head of state
Zdraví	Health
Kategorie:Zdraví	Health
Srdce	Heart
Teplo	Heat
Tepelný stroj	Heat engine
Nebe	Heaven
Kategorie:Heavy metal	Heavy metal
Heavy metal	Heavy metal music
Těžká voda	Heavy water
Hébé	Hebe (mythology)
Che-pej	Hebei
Hebrejské písmo	Hebrew alphabet
Židovský kalendář	Hebrew calendar
Hekaté	Hecate
Hektar	Hectare
Hektór	Hector
Hector Berlioz	Hector Berlioz
Ježkové	Hedgehog
Hédonismus	Hedonism
Heimdall	Heimdall
Heinrich Rudolf Hertz	Heinrich Hertz
Heinrich Himmler	Heinrich Himmler
Heinrich Schliemann	Heinrich Schliemann
Hel	Hel (being)
Helena (mytologie)	Helen
Helen Kellerová	Helen Keller
Vrtulník	Helicopter
Hélios	Helios
Helium	Helium
Peklo	Hell
Helsinky	Helsinki
Hematit	Hematite
Hematologie	Hematology
Kategorie:Hematologie	Hematology
Hemoglobin	Hemoglobin
Hemoroid	Hemorrhoid
Henri Becquerel	Henri Becquerel
Henri Bergson	Henri Bergson
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henry	Henry (unit)
Henry Cavendish	Henry Cavendish
Henry David Thoreau	Henry David Thoreau
Henry Ford	Henry Ford
Henry James	Henry James
Henry Kissinger	Henry Kissinger
Henry Miller	Henry Miller
Henry Purcell	Henry Purcell
Hepatitida	Hepatitis
Héfaistos	Hephaestus
Héra	Hera
Héraklés	Heracles
Hérakleitos	Heraclitus
Heraldika	Heraldry
Kategorie:Heraldika	Heraldry
Herbert Hoover	Herbert Hoover
Herbert Marcuse	Herbert Marcuse
Herbert Spencer	Herbert Spencer
Héraklés	Hercules
Souhvězdí Herkula	Hercules (constellation)
Hereze	Heresy
Herman Melville	Herman Melville
Hermann Hesse	Hermann Hesse
Hermann Minkowski	Hermann Minkowski
Hermann von Helmholtz	Hermann von Helmholtz
Hermafrodit'	Hermaphrodite
Hermeneutika	Hermeneutics
Hermés	Hermes
Hrdina	Hero
Heron z Alexandrie	Hero of Alexandria
Herodes Veliký	Herod the Great
Hérodotos	Herodotus
Heroin	Heroin
Racek stříbřitý	Herring Gull
Hertz	Hertz
Hésiodos	Hesiod
Hesperidky	Hesperides
Hesensko	Hesse
Kategorie:Hesensko	Hesse
Hestiá	Hestia
Heterosexualita	Heterosexuality
Heterotrofie	Heterotroph
Hexadecimální soustava	Hexadecimal
Šestiúhelník	Hexagon
Hizballáh	Hezbollah
Hibernace	Hibernation
Hideki Jukawa	Hideki Yukawa
Hieronymus Bosch	Hieronymus Bosch
Hilbertův prostor	Hilbert space
Himálaj	Himalayas
Hindúkuš	Hindu Kush
Hinduismus	Hinduism
