Arabic	English
جداء ديكارتي	Cartesian product
قرطاج	Carthage
علم الخرائط	Cartography
الدار البيضاء	Casablanca
كاشو	Cashew
بحر قزوين	Caspian Sea
كاستيا (منطقة تاريخية)	Castile (historical region)
قلعة	Castle
قط	Cat
كاتالونيا	Catalonia
الساد	Cataract
قرموط	Catfish
كاثار	Catharism
كاتدرائية	Cathedral
كاترين بار	Catherine Parr
كاترين من أراغون	Catherine of Aragon
بقرة	Cattle
أبو قردان	Cattle Egret
تصنيف:القوقاز	Caucasus
القوقاز	Caucasus Mountains
قنبيط	Cauliflower
سببية	Causality
كهف	Cave
خبياري	Caviar
سيسل رودس	Cecil Rhodes
أرز (شجرة)	Cedar
كرفس	Celery
تصنيف:ميكانيكا سماوية	Celestial mechanics
خلية	Cell (biology)
غشاء خلوي	Cell membrane
نواة (خلية)	Cell nucleus
جدار خلوي	Cell wall
كمان جهير	Cello
سليولوز	Cellulose
سيلزيوس	Celsius
إسمنت	Cement
مقبرة	Cemetery
حقبة السينوزوي	Cenozoic
تعداد السكان	Census
قنطور	Centaur
محور ثقل	Center of mass
سنتيمتر	Centimetre
وسط أفريقيا	Central Africa
جمهورية أفريقيا الوسطى	Central African Republic
أمريكا الوسطى	Central America
وكالة المخابرات المركزية	Central Intelligence Agency
سنترل بارك	Central Park
قوات المحور	Central Powers
بنك مركزي	Central bank
جهاز عصبي مركزي	Central nervous system
وحدة المعالجة المركزية	Central processing unit
جسم مركزي	Centriole
قرن (زمن)	Century
المواد السيراميكية	Ceramic
حبوب	Cereal
مخيخ	Cerebellum
سيريس (كوكب قزم)	Ceres (dwarf planet)
سيريوم	Cerium
سيزار بورجيا	Cesare Borgia
حيتانيات	Cetacea
تشاد	Chad
تصنيف:تشاد	Chad
كرسي	Chair
شامبانيا	Champagne (wine)
نفق المانش	Channel Tunnel
قطقاطيات	Charadriiformes
شارلمان	Charlemagne
الأمير تشارلز	Charles
شارل بودلير	Charles Baudelaire
تشارلز داروين	Charles Darwin
تشارلز ديكنز	Charles Dickens
شارل فورييه	Charles Fourier
شارل ديغول	Charles de Gaulle
تشارلستون، فيرجينيا الغربية	Charleston
تشارلي تشابلن	Charlie Chaplin
تشارلوت، كارولاينا الشمالية	Charlotte
المسحورات	Charmed
شرن	Charon (moon)
شوفينية	Chauvinism
إرنستو تشي جيفارا	Che Guevara
شيشان	Chechnya
تصنيف:شيشان	Chechnya
جبن	Cheese
فهد	Cheetah
تشيليابينسك	Chelyabinsk
رابطة كيميائية	Chemical bond
مركب كيميائي	Chemical compound
عنصر كيميائي	Chemical element
هندسة كيميائية	Chemical engineering
صيغة كيميائية	Chemical formula
تفاعل كيميائي	Chemical reaction
أسلحة كيميائية	Chemical warfare
كيمياء	Chemistry
تصنيف:كيمياء	Chemistry
بوابة:كيمياء	Chemistry
شيمنتس	Chemnitz
تشيناي	Chennai
شيك	Cheque
تشيرنوبيل	Chernobyl
كرز	Cherry
شطرنج	Chess
تصنيف:شطرنج	Chess
تشستر آرثر	Chester A. Arthur
الكستناءه	Chestnut
علك	Chewing gum
شايان، وايومنغ	Cheyenne
كاي (حرف إغريقي)	Chi (letter)
شيانج كاي شيك	Chiang Kai-shek
شيكاغو	Chicago
دجاجة	Chicken
جدري الماء	Chickenpox
حمص (نبات)	Chickpea
ولاية شيواوا	Chihuahua
طفل	Child
تشيلي	Chile
تصنيف:تشيلي	Chile
شمبانزي	Chimpanzee
تصنيف:الصين	China
الصين (منطقة)	China
كلور	Chlorine
كلوروفيل	Chlorophyll
صانعات يخضورية	Chloroplast
شوكولاتة	Chocolate
كوليرا	Cholera
كولسترول	Cholesterol
تشونغتشينغ	Chongqing
حبليات	Chordate
مسيحية	Christianity
تصنيف:مسيحية	Christianity
عيد الميلاد	Christmas
كريستوفر كولومبوس	Christopher Columbus
كروماتوجرافيا	Chromatography
كروم	Chromium
صبغي	Chromosome
تصنيف:كرونولوجيا	Chronology
كنيسة	Church
الأنجليكانية	Church of England
شيشرون	Cicero
لقلقيات	Ciconiiformes
سيدر	Cider
سيجارة	Cigarette
سندريلا	Cinderella
قرفة	Cinnamon
دائرة	Circle
جهاز الدوران	Circulatory system
ختان	Circumcision
سيرك	Circus
تشمع الكبد	Cirrhosis
حمض ستريك	Citric acid
دورة حمض الستريك	Citric acid cycle
حمضيات	Citrus
دولة مدينة	City-state
حرب أهلية	Civil war
حضارة	Civilization
كلارينيت	Clarinet
كلارك غيبل	Clark Gable
طائفة (تصنيف)	Class (biology)
ميكانيكا كلاسيكية	Classical mechanics
موسيقى كلاسيكية	Classical music
تصنيف:موسيقى كلاسيكية	Classical music
كلاسيكية	Classicism
كلود مونيه	Claude Monet
كلود شانون	Claude Shannon
كلاوديو مونتيفيردي	Claudio Monteverdi
كلوديوس	Claudius
ترقوة	Clavicle
طين	Clay
مفتاح موسيقي	Clef
كليفلاند، أوهايو	Cleveland
مناخ	Climate
الاكتئاب عند الإنسان	Clinical depression
كليو	Clio
بظر	Clitoris
ساعة (آلة)	Clock
بيج بن	Clock Tower
استنساخ	Cloning
تصنيف:ملابس	Clothing
ملابس	Clothing
سحاب	Cloud
قرنفل	Clove
برسيم	Clover
كلوفيس الأول	Clovis I
لاسعات	Cnidaria
فحم حجري	Coal
كوبالت	Cobalt
كوكايين	Cocaine
صرصور	Cockroach
كوكتيل	Cocktail
جزر كوكس	Cocos (Keeling) Islands
كودين	Codeine
قهوة	Coffee
علوم استعرافية	Cognitive science
كولا	Cola
حرب باردة	Cold War
تصنيف:الحرب الباردة	Cold War
كولن باول	Colin Powell
كولاج	Collage
كولاجين	Collagen
غرويد	Colloid
كولونيا	Cologne
كولومبيا	Colombia
تصنيف:كولومبيا	Colombia
كولومبو	Colombo
لون	Color
عمى الألوان	Color blindness
كولورادو	Colorado
نهر كولورادو	Colorado River
كولوسيوم	Colosseum
أبولو رودس	Colossus of Rhodes
كولومبيا، كارولاينا الجنوبية	Columbia
كولومبيا (توضيح)	Columbia
جامعة كولومبيا	Columbia University
حمام (طير)	Columbidae
حماميات	Columbiformes
كولومبوس، أوهايو	Columbus
كولومبوس	Columbus
احتراق	Combustion
كوميديا	Comedy
مذنب	Comet
تصنيف:تجارة	Commerce
تين	Common Fig
زكام	Common cold
اتحاد الدول المستقلة	Commonwealth of Independent States
دول الكومنولث	Commonwealth of Nations
تصنيف:اتصالات	Communication
اتصال	Communication
شيوعية	Communism
تصنيف:شيوعية	Communism
جزر القمر	Comoros
تصنيف:جزر القمر	Comoros
قرص مضغوط	Compact Disc
بوصلة	Compass
مصرف (برمجة)	Compiler
تقنية حاسب مجموعة التعليمات المعقدة	Complex instruction set computer
عدد عقدي	Complex number
ملحن	Composer
مادة مركبة	Composite material
عدد مركب	Composite number
لسانيات حاسوبية	Computational linguistics
أشعة مقطعية	Computed tomography
حاسوب	Computer
معمارية الحاسوب	Computer architecture
شاشة	Computer display
تصنيف:رسوميات الحاسوب	Computer graphics
عتاد الحاسوب	Computer hardware
تصنيف:عتاد الحاسوب	Computer hardware
شبكة كمبيوتر	Computer network
برمجة	Computer programming
تصنيف:برمجة	Computer programming
معلوماتية	Computer science
تصنيف:حوسبة	Computer science
برمجيات	Computer software
فيروس الحاسوب	Computer virus
تصنيف:حاسوبية	Computing
كوناكري	Conakry
كونشرتو	Concerto
كونكورد، نيوهامبشر	Concord
خرسانة	Concrete
واقي	Condom
مخروط	Cone (geometry)
الولايات الكونفدرالية الأمريكية	Confederate States of America
سر الميرون	Confirmation
صراع	Conflict
كونفشيوسية	Confucianism
كونفوشيوس	Confucius
نهر الكونغو	Congo River
قطع مخروطي	Conic section
كونيتيكت	Connecticut
نسيج ضام	Connective tissue
بقاء الطاقة	Conservation of energy
سياسة محافظة	Conservatism
قسطنطين الأول	Constantine I
القسطنطينية	Constantinople
كوكبة	Constellation
دستور	Constitution (political)
عدسات لاصقة	Contact lens
قارة	Continent
نظرية الانجراف القاري	Continental drift
عقد (قانون)	Contract
طبخ	Cooking
توقيت عالمي منسق	Coordinated Universal Time
كوبنهاغن	Copenhagen
نحاس	Copper
حقوق النسخ	Copyright
ضؤضئيات	Coraciiformes
شعاب مرجانية	Coral reef
كزبرة	Coriander
كورنث	Corinth
كورك	Cork (city)
قرنية	Cornea
جامعة كورنيل	Cornell University
كورنوال	Cornwall
تآكل	Corrosion
كورسيكا	Corsica
علم الكون الفيزيائي	Cosmology
تصنيف:علم الكون	Cosmology
كوستاريكا	Costa Rica
تصنيف:كوستاريكا	Costa Rica
قطن	Cotton
كولوم	Coulomb
قانون كولوم	Coulomb's law
مجمع خلقيدونية	Council of Chalcedon
مجمع أفسس	Council of Ephesus
بلد (مصطلح)	Country
موسيقى الريف	Country music
رابطة تساهمية	Covalent bond
كوفنتري	Coventry
ذئب البراري	Coyote
نظرية الخلق	Creationism
كريمونا	Cremona
إقريطش	Crete
كريكيت	Cricket
جريمة	Crime
القرم (شبه جزيرة)	Crimea
حرب القرم	Crimean War
علم الإجرام	Criminology
كرواتيا	Croatia
تصنيف:كرواتيا	Croatia
تمساح	Crocodile
صلب المسيح	Crucifixion
قشرة أرضية	Crust (geology)
قشريات	Crustacean
صليب جنوبي	Crux
علم التعمية	Cryptography
بلورة	Crystal
علم البلورات	Crystallography
تصنيف:علم البلورات	Crystallography
كوبا	Cuba
تصنيف:كوبا	Cuba
مكعب	Cube
مدرسة تكعيبية	Cubism
واقواقيات	Cuculiformes
خيار	Cucumber
ثقافة	Culture
تصنيف:ثقافة	Culture
كوريتيبا	Curitiba
كوريوم	Curium
كيرلنج	Curling
تصنيف:عملات	Currency
عملة	Currency
كوزكو	Cusco
سيانيد	Cyanide
سبرانية	Cybernetics
كيكلادس	Cyclades
ركوب الدراجات	Cycling
زوبعة	Cyclone
صقلوب	Cyclops
الدجاجة (كوكبة)	Cygnus (constellation)
أسطوانة (هندسة رياضية)	Cylinder (geometry)
عائلة الشبوطيات	Cyprinid
أشكال الشبوطيات	Cypriniformes
قبرص	Cyprus
تصنيف:قبرص	Cyprus
أبجدية سريلية	Cyrillic alphabet
كورش الكبير	Cyrus the Great
تليف كيسي	Cystic fibrosis
هيولى (خلية)	Cytoplasm
هيكل خلوي	Cytoskeleton
تشيك	Czech Republic
تصنيف:التشيك	Czech Republic
تشيكوسلوفاكيا	Czechoslovakia
D	D
ديفيد هربرت لورانس	D. H. Lawrence
حمض نووي ريبي منقوص الأكسجين	DNA
دوس	DOS
دي في دي	DVD
دادا	Dada
خنجر	Dagger
داجيروتيب	Daguerreotype
داليا (زهرة)	Dahlia
داكار	Dakar
الدالاي لاما	Dalai Lama
دالاس، تكساس	Dallas
دالماسيا	Dalmatia
سد	Dam
دمشق	Damascus
رقص	Dance
تصنيف:رقص	Dance
دانييل برنولي	Daniel Bernoulli
دانييل ديفو	Daniel Defoe
دانييل أورتيغا	Daniel Ortega
دانتي أليغييري	Dante Alighieri
دانوب	Danube
دافني	Daphne
دار السلام (تنزانيا)	Dar es Salaam
الدردنيل	Dardanelles
دار فور	Darfur
مادة مظلمة	Dark matter
دارمشتاتيوم	Darmstadtium
رأس المال (كتاب)	Das Kapital
بيانات	Data
تنقيب في البيانات	Data mining
بنية البيانات	Data structure
قاعدة بيانات	Database
نظام تسيير قواعد البيانات	Database management system
نخلة	Date Palm
داود	David
ديفيد هيلبرت	David Hilbert
ديفيد ليفينغستون	David Livingstone
دافيد ريكاردو	David Ricardo
يوم	Day
شماس	Deacon
بحر ميت	Dead Sea
مخطوطات البحر الميت	Dead Sea scrolls
موت	Death
تصنيف:موت	Death
ديسمبر	December
31 ديسمبر	December 31
8 ديسمبر	December 8
ديسيبل	Decibel
نظام عد عشري	Decimal
ديكيوس	Decius (emperor)
میل	Declination
ديكو	Deco
تفكيكية	Deconstruction
أيل	Deer
درجة (زاوية)	Degree (angle)
ربوبية	Deism
ديلاوير	Delaware
دلهي	Delhi
ديل	Dell
دلتا (حرف إغريقي)	Delta (letter)
ديماغوجيا	Demagogy
ديميتر	Demeter
ديمقراطية	Democracy
الحزب الديموقراطي (أمريكا)	Democratic Party (United States)
جمهورية الكونغو الديمقراطية	Democratic Republic of the Congo
تصنيف:جمهورية الكونغو الديمقراطية	Democratic Republic of the Congo
ديموقريطوس	Democritus
دراسات سكانية	Demography
ديموستيني	Demosthenes
حمى الدنك	Dengue fever
دنيس ديدرو	Denis Diderot
الدانمارك	Denmark
تصنيف:دانمارك	Denmark
دنيس غابور	Dennis Gabor
كثافة	Density
نخر الأسنان	Dental caries
طب أسنان	Dentistry
دنفر، كولورادو	Denver
اشتقاق (رياضيات)	Derivative
دي موين، آيوا	Des Moines
صحراء	Desert
تصنيف:صحاري	Deserts
إيرازموس	Desiderius Erasmus
تصنيف:تصميم	Design
ديزموند توتو	Desmond Tutu
محدد	Determinant
حتمية	Determinism
ديترويت، ميشيغان	Detroit
ديوتريوم	Deuterium
سفر التثنية	Deuteronomy
علم النفس التنموي	Developmental psychology
ديفون	Devon
ندى	Dew
تصنيف ديوي العشري	Dewey Decimal Classification
دكا	Dhaka
دارما	Dharma
السكري	Diabetes mellitus
فتحة لاتينية	Diacritic
لهجة	Dialect
ديالكتيك	Dialectic
مادية جدلية	Dialectical materialism
قطر الدائرة	Diameter
ألماس	Diamond
ديانا سبينسر	Diana
إسهال	Diarrhea
الشتات	Diaspora
نرد	Dice
ثنائيات الفلقة	Dicotyledon
ديكتاتورية	Dictatorship
قاموس	Dictionary
محرك ديزل	Diesel engine
معادلات تفاضلية	Differential equation
هضم	Digestion
نظام رقمي	Digital
كاميرا رقمية	Digital camera
تصوير رقمي	Digital photography
خط المشترك الرقمي	Digital subscriber line
شبت	Dill
بعد	Dimension
ديناصور	Dinosaur
ديوكلتيانوس	Diocletian
ثنائي	Diode
دفتيريا	Diphtheria
ديبلودوكس	Diplodocus
دبلوماسية	Diplomacy
تيار مستمر	Direct current
سكر ثنائي	Disaccharide
تصنيف:صفحات توضيح	Disambiguation
دي جي	Disc jockey
تمييز	Discrimination
مرض	Disease
مسافة	Distance
فرقة (وحدة عسكرية)	Division (military)
طلاق	Divorce
تصنيف:جيبوتي	Djibouti
ديميترى مندلييف	Dmitri Mendeleev
دوديكانيسيا	Dodecanese
دودو	Dodo
دودوما	Dodoma
كلب (حيوان)	Dog
الدوحة	Doha
دولار	Dollar
النعجة دولي	Dolly (sheep)
دلفين	Dolphin
نطاق (تصنيف)	Domain (biology)
مجال انترنت	Domain name
قبة	Dome
كتاب ونشيستر	Domesday Book
استئناس	Domestication
دومينيكا	Dominica
تصنيف:دومينيكا	Dominica
جمهورية الدومنيكان	Dominican Republic
تصنيف:جمهورية الدومنيكان	Dominican Republic
دوميتيان	Domitian
دون كيخوتى	Don Quixote
بطوط	Donald Duck
دوناتيلو	Donatello
حمار	Donkey
باب	Door
تأثير دوبلر	Doppler effect
دوريس ليسينغ	Doris Lessing
دورتموند	Dortmund
كونترباص	Double bass
دوفر، ديلاوير	Dover
دوفر	Dover
متلازمة داون	Down syndrome
دراكولا (رواية)	Dracula
تنين	Dragon
مستجمع مائي	Drainage basin
دراما	Drama
حلم	Dream
دريسدن	Dresden
جمل عربي	Dromedary
طبلة	Drum
مثنوية	Dualism
مثنوية (فلسفة العقل)	Dualism (philosophy of mind)
إمارة دبي	Dubai
دبلن	Dublin
دبنيوم	Dubnium
بط	Duck
أطوم	Dugong
دوق	Duke
جامعة دوك	Duke University
عفج	Duodenum
ديربان	Durban
دستين هوفمان	Dustin Hoffman
دوايت أيزنهاور	Dwight D. Eisenhower
علم التحريك	Dynamics (physics)
سلالة حاكمة	Dynasty
ديسبروسيوم	Dysprosium
ديستوبيا	Dystopia
E	E
إي (ثابت رياضي)	E (mathematical constant)
بريد إلكتروني	E-mail
إيتا	ETA
عقاب	Eagle
أذن	Ear
أرض	Earth
تصنيف:أرض	Earth
علوم الأرض	Earth science
زلزال	Earthquake
شرق	East
شرق أفريقيا	East Africa
ألمانيا الشرقية	East Germany
شرق ساسكس	East Sussex
تيمور الشرقية	East Timor
عيد القيامة	Easter
أرثوذوكسية شرقية	Eastern Orthodox Church
إيبولا	Ebola
أبرة	Ebro
لا مركزية (رياضيات)	Eccentricity (mathematics)
سفر الجامعة	Ecclesiastes
نضناض	Echidna
شوكيات الجلد	Echinoderm
كسوف الشمس	Eclipse
إكليبس	Eclipse (software)
علم البيئة	Ecology
تصنيف:علم البيئة	Ecology
اقتصاد قياسي	Econometrics
اقتصاد	Economics
تصنيف:اقتصاد	Economics
اقتصاد	Economy
نظام بيئي	Ecosystem
إكوادور	Ecuador
تصنيف:إكوادور	Ecuador
مجمع مسكوني	Ecumenical council
إدغار آلان بو	Edgar Allan Poe
إدنبرة	Edinburgh
أدرنة	Edirne
آدموند هالي	Edmond Halley
أدمونتون	Edmonton
إدموند بيرك	Edmund Burke
إدموند هيلاري	Edmund Hillary
إيدو	Edo
إدوارد بوخنر	Eduard Buchner
تعليم	Education
تصنيف:تعليم	Education
إدفارت مونك	Edvard Munch
إدوارد جيبون	Edward Gibbon
إدوارد جينر	Edward Jenner
إدوارد المعترف	Edward the Confessor
إدوين هابل	Edwin Hubble
بيضة (أحياء)	Egg (biology)
باذنجان	Eggplant
مصر	Egypt
تصنيف:مصر	Egypt
جنيه مصري	Egyptian pound
علوم المصريات	Egyptology
برج إيفل	Eiffel Tower
أينشتاينيوم	Einsteinium
قذف (أحياء)	Ejaculation
إل غريكو	El Greco
إل باسو، تكساس	El Paso
إلسلفادور	El Salvador
تصنيف:إلسلفادور	El Salvador
حضارة عيلام	Elam
إلبه	Elbe
إليانور روزفلت	Eleanor Roosevelt
شحنة كهربائية	Electric charge
تيار كهربائي	Electric current
حقل كهربائي	Electric field
محرك كهربائي	Electric motor
هندسة كهربائية	Electrical engineering
مقاومة كهربائية	Electrical resistance
كهرباء	Electricity
تصنيف:كهرباء	Electricity
مخطط قلب كهربائي	Electrocardiogram
كيمياء كهربية	Electrochemistry
تصنيف:كيمياء كهربائية	Electrochemistry
موجة كهرومغناطيسية	Electromagnetic radiation
الطّيف الكهرومغناطيسي	Electromagnetic spectrum
كهرومغناطيسية	Electromagnetism
تصنيف:كهرومغناطيسية	Electromagnetism
إلكترون	Electron
مجهر إلكتروني	Electron microscope
كهرسلبية	Electronegativity
إلكترونيات	Electronics
تصنيف:إلكترونيات	Electronics
جسيم أولي	Elementary particle
فيل	Elephant
مصعد	Elevator
إيليا كازان	Elia Kazan
إلياس كانيتي	Elias Canetti
إيليا	Elijah
إليزابيث تايلور	Elizabeth Taylor
إلا فيتزجيرالد	Ella Fitzgerald
قطع ناقص	Ellipse
إلفيس بريسلي	Elvis Presley
جنين	Embryo
علم الجنين	Embryology
زمرد	Emerald
إميليا رومانيا	Emilia-Romagna
إيمليانو زاباتا	Emiliano Zapata
إيميلي ديكنسون	Emily Dickinson
أمير	Emir
إيما جولدمان	Emma Goldman
^ ^	Emoticon
مشاعر	Emotion
تصنيف:عاطفة	Emotion
إمبراطور	Emperor
بطريق إمبراطوري	Emperor Penguin
إمبراطورية	Empire
مبنى إمباير ستيت	Empire State Building
موسوعة	Encyclopedia
جهاز غدد صماء	Endocrine system
علم الغدد الصم	Endocrinology
طاقة	Energy
تصنيف:طاقة	Energy
طاقة	Energy (society)
محرك	Engine
هندسة تطبيقية	Engineering
تصنيف:هندسة تطبيقية	Engineering
إنجلترا	England
القناة الإنجليزية	English Channel
حرب أهلية إنجليزية	English Civil War
لغة إنجليزية	English language
إنريكو فيرمي	Enrico Fermi
تصنيف:ترفيه	Entertainment
إنتالبية	Enthalpy
إنتروبية (تحريك حراري)	Entropy
تصنيف:بيئة	Environment
بيئة	Environment
إنزيم	Enzyme
أفسس	Ephesus
أبكتاتوس	Epictetus
وباء	Epidemic
وبائيات	Epidemiology
ابيغرافيا	Epigraphy
صرع	Epilepsy
أدرينالين	Epinephrine
إبيروس (إقليم)	Epirus (periphery)
نظرية المعرفة	Epistemology
رسالة بولس الرسول إلى أهل غلاطية	Epistle to the Galatians
رسالة بولس الرسول إلى أهل رومية	Epistle to the Romans
إبسيلون (حرف إغريقي)	Epsilon
معادلة	Equation
خط الاستواء	Equator
غينيا الاستوائية	Equatorial Guinea
تصنيف:غينيا الاستوائية	Equatorial Guinea
أذناب الخيليات	Equisetum
إراتو	Erato
إراتوستينس	Eratosthenes
إربيوم	Erbium
اريك أكسل كارلفلت	Erik Axel Karlfeldt
إريس	Eris (dwarf planet)
إريس (ميثولوجيا)	Eris (mythology)
تصنيف:إريتريا	Eritrea
إرنست همنجواي	Ernest Hemingway
إرنست رذرفورد	Ernest Rutherford
إيروس	Eros (mythology)
تعرية	Erosion
إيرفن رومل	Erwin Rommel
إشريكية قولونية	Escherichia coli
أصفهان (مدينة)	Esfahan
مريء	Esophagus
إسبرانتو	Esperanto
تصنيف:إسبرانتو	Esperanto
تجسس	Espionage
إسبو	Espoo
إسن	Essen
إسكس	Essex
إستر	Ester
تصنيف:إستونيا	Estonia
إستروجين	Estrogen
اتا (حرف إغريقي)	Eta (letter)
إيثان	Ethane
الإثانول	Ethanol
إيثر	Ether
إيثرنت	Ethernet
أخلاق	Ethics
تصنيف:أخلاق	Ethics
إثيوبيا	Ethiopia
تصنيف:إثيوبيا	Ethiopia
عرق (علم الإنسان)	Ethnic group
تصنيف:علم الأعراق	Ethnology
إيثولوجيا	Ethology
إثيلين	Ethylene
علم تاريخ الألفاظ	Etymology
كالتوس	Eucalyptus
افخارستيا	Eucharist
إقليدس	Euclid
هندسة إقليدية	Euclidean geometry
أوجين أونيل	Eugene O'Neill
حقيقيات النوى	Eukaryote
الفرات	Euphrates
أوراسيا	Eurasia
يورو	Euro
أوروبا (قمر)	Europa (moon)
أوروبا	Europe
تصنيف:أوروبا	Europe
الاتحاد الأوروبي	European Union
تصنيف:اتحاد أوروبي	European Union
يوروبيوم	Europium
يوسابيوس القيصري	Eusebius of Caesarea
يوتيربي	Euterpe
قتل رحيم	Euthanasia
إيفا براون	Eva Braun
إڤانيسنس	Evanescence
تبخر	Evaporation
شفعيات الأصابع	Even-toed ungulate
نظرية التطور	Evolution
علامة التعجب (علامة ترقيم)	Exclamation mark
سلطة تنفيذية	Executive (government)
استعرائية	Exhibitionism
وجودية	Existentialism
سفر الخروج	Exodus
قيمة متوقعة	Expected value
تجربة	Experiment
انفجار	Explosion
أس	Exponentiation
تعبيرية	Expressionism
انقراض	Extinction
عين	Eye
تصنيف:عين	Eye
عزرا باوند	Ezra Pound
F	F
فرنسيس سكات فيتزجيرالد	F. Scott Fitzgerald
قرنيات	Fabaceae
وجه	Face
قالب:حقيقة	Fact
عاملي	Factorial
مصنع	Factory
صياخد	Facula
فادو	Fado
استعمال عادل	Fair use
صقر	Falcon
صقريات	Falconiformes
جزر فوكلاند	Falkland Islands
سفسطة	Fallacy
قناة فالوب	Fallopian tube
أيل أسمر أوروبي	Fallow Deer
تصنيف:عائلة	Family
فصيلة (تصنيف)	Family (biology)
علم الأنساب	Family history
فاراد	Farad
فاشية	Fascism
تصنيف:فاشية	Fascism
تصنيف:زي	Fashion
موضة	Fashion
وجبات سريعة	Fast food
صوم	Fasting
حركة فتح	Fatah
حمض دهني	Fatty acid
فالق	Fault (geology)
فاكس	Fax
خوف	Fear
ريش	Feather
فبراير	February
12 فبراير	February 12
14 فبراير	February 14
2 فبراير	February 2
22 فبراير	February 22
29 فبراير	February 29
براز	Feces
مكتب التحقيقات الفيدرالي	Federal Bureau of Investigation
ولايات ميكرونيسيا المتحدة	Federated States of Micronesia
فيدرالية	Federation
فدريكو فلليني	Federico Fellini
فيدورا كور	Fedora (Linux distribution)
مجموعة الفلدسبار	Feldspar
سنوريات	Felidae
فيلكس مندلسون	Felix Mendelssohn
أنثوية	Feminism
فينسنج	Fencing
فينج شوي	Feng shui
شومر	Fennel
فنرير	Fenrir
ماجلان	Ferdinand Magellan
فريديناند دي سوسير	Ferdinand de Saussure
فرميون	Fermion
فرميوم	Fermium
سراخس	Fern
فيرارا	Ferrara
الهلال الخصيب	Fertile Crescent
سماد	Fertilizer
جنين حي	Fetus
إقطاعية	Feudalism
حمى	Fever
فيات	Fiat
متتالية فيبوناتشي	Fibonacci number
تصنيف:خيال	Fiction
شخصية خيالية	Fictional character
فيدل كاسترو	Fidel Castro
حقل (رياضيات)	Field (mathematics)
هوكي أرضي	Field hockey
مقاتلة	Fighter aircraft
التزلج الفني على الجليد	Figure skating
فيجي	Fiji
تصنيف:فيجي	Fiji
جدول توزيع الملف	File Allocation Table
إف‌.تي.‌بي	File Transfer Protocol
نظام الملفات	File system
تصنيف:سينما	Film
فيلم	Film
بوابة:سينما	Film
حوت زعنفي	Fin Whale
تصنيف:مالية	Finance
تمويل	Finance
إصبع	Finger
بصمة الأصبع	Fingerprint
فنلندا	Finland
تصنيف:فنلندا	Finland
حريق	Fire
سلاح ناري	Firearm
جدار ناري	Firewall (networking)
البرنامج الثابت	Firmware
مجمع القسطنطينية الأول	First Council of Constantinople
مجمع نيقية	First Council of Nicaea
الحملة الصليبية الأولى	First Crusade
رسالة بولس الرسول الأولى إلى أهل كورنثوس	First Epistle to the Corinthians
إسعافات أولية	First aid
لغة أولى	First language
سمك	Fish
تصنيف:أسماك	Fish
صيد السمك	Fishing
علم (راية)	Flag
سوط (أحياء)	Flagellum
نحام وردي	Flamingo
ذاكرة وميضية	Flash memory
ضرطة	Flatulence
برغوث	Flea
قلاب	Flip-flop (electronics)
فيضان	Flood
قرص مرن	Floppy disk
فلورنسا	Florence
فلورنس نايتينجيل	Florence Nightingale
فلوريدا	Florida
زهرة	Flower
مغطاة البذور	Flowering plant
مائع	Fluid
ميكانيكا الموائع	Fluid mechanics
فلورايت	Fluorite
فلوت	Flute
ضباب	Fog
حمض فوليك	Folic acid
موسيقى فلكرولية	Folk music
فلكلور	Folklore
تصنيف:فلكلور	Folklore
غذاء	Food
المواد المضافة للطعام	Food additive
منظمة الأغذية والزراعة	Food and Agriculture Organization
سلسلة الطعام	Food chain
قدم (وحدة قياس)	Foot (unit of length)
كرة القدم	Football (soccer)
تصنيف:كرة قدم	Football (soccer)
تصنيف:كرة قدم حسب البلد	Football (soccer) by country
تصنيف:أندية كرة قدم	Football (soccer) clubs
تصنيف:مدربو كرة قدم	Football (soccer) managers
تصنيف:لاعبو كرة قدم	Football (soccer) players
المدينة المحرمة	Forbidden City
قوة	Force
غابة	Forest
شوكة	Fork
حمض فورميك	Formic acid
فورت وورث، تكساس	Fort Worth
فورتران	Fortran
مستحثات	Fossil
وقود أحفوري	Fossil fuel
نافورة	Fountain
متسلسلة فورييه	Fourier series
حملة صليبية رابعة	Fourth Crusade
ثعلب	Fox
هندسة كسيرية	Fractal
كسر	Fraction (mathematics)
فرنسا	France
تصنيف:فرنسا	France
فرانسيس بيكون	Francis Bacon
فرنسيس كريك	Francis Crick
فرانسيس دريك	Francis Drake
فرانسيس فورد كوبولا	Francis Ford Coppola
فرانسيس الثاني	Francis II
فرنسيس الأسيزي	Francis of Assisi
فرانسيسكو فرانكو	Francisco Franco
فرانسيسكو غويا	Francisco Goya
فرانسيوم	Francium
فرانك لويد رايت	Frank Lloyd Wright
فرانك سيناترا	Frank Sinatra
فرانكفورت، كنتاكي	Frankfort
فرانكفورت	Frankfurt
تصنيف:فرانكفورت	Frankfurt
فرانكلين بيرس	Franklin Pierce
فرانتس كافكا	Franz Kafka
فرانز شوبرت	Franz Schubert
فريد أستير	Fred Astaire
فريدريك الأول بربروسا	Frederick I
فريدريك الثاني	Frederick II
فردريك سانغر	Frederick Sanger
فردريك سودي	Frederick Soddy
فري ستيت	Free State
إرادة حرة	Free will
حرية	Freedom (philosophy)
حرية التعبير	Freedom of speech
ماسونية	Freemasonry
فريتاون	Freetown
برامج مجانية	Freeware
بولينسيا الفرنسية	French Polynesia
