English	Indonesian
Frankfurt	Kategori:Frankfurt
Frankfurt (Oder)	Frankfurt an der Oder
Franklin Pierce	Franklin Pierce
Franz Kafka	Franz Kafka
Franz Schubert	Franz Schubert
Fred Astaire	Fred Astaire
Frederick I	Friedrich I, Kaisar Romawi Suci
Frederick II	Frederick II, Kaisar Romawi Suci
Frederick Sanger	Frederick Sanger
Frederick Soddy	Frederick Soddy
Fredericton	Fredericton
Free State	Free State
Freemasonry	Freemasonry
Freetown	Freetown
Freeware	Freeware
French Polynesia	Polinesia Perancis
French Polynesia	Kategori:Polinesia Perancis
French Revolution	Revolusi Perancis
French Revolution	Kategori:Revolusi Perancis
French people	Kategori:Tokoh Perancis
Frequency	Frekuensi
Fresco	Fresko
Freshwater	Air tawar
Fresno	Fresno
Freyja	Freyja
Friction	Gaya gesek
Friday	Jumat
Fridtjof Nansen	Fridtjof Wedel-Jarlsberg Nansen
Friedrich Engels	Friedrich Engels
Friesland	Friesland
Frigate	Fregat
Frigg	Frigg
Fritz Haber	Fritz Haber
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Frog	Kodok dan katak
Fructose	Fruktosa
Fruit	Buah
Fruit	Kategori:Buah-buahan
Fucking	Fucking, Austria
Fuel	Bahan bakar
Fuel cell	Sel bahan bakar
Fukuoka	Fukuoka, Fukuoka
Full moon	Bulan purnama
Function (mathematics)	Fungsi
Fundamental	Kategori:Utama
Fundamental interaction	Interaksi dasar
Fundamentalism	Fundamentalisme
Fungi	Kategori:Fungi
Fungus	Fungi
Funk	Funk
Furniture	Kategori:Mebel
Fuzzy logic	Logika Fuzzy
Fyodor Dostoevsky	Fyodor Dostoyevsky
GNOME	GNOME
GNU	GNU
Gabon	Gabon
Gabon	Kategori:Gabon
Gaborone	Gaborone
Gabriel	Jibril
Gabriel Lippmann	Gabriel Lippmann
Gadolinium	Gadolinium
Gaia (mythology)	Gaia
Galatia	Galatia
Galaxy	Galaksi
Galen	Galenus
Galicia (Central Europe)	Galisia (Eropa Tengah)
Galicia (Spain)	Galicia (Spanyol)
Galilee	Galilea
Galileo (spacecraft)	Galileo (wahana antariksa)
Galileo Galilei	Galileo Galilei
Gallbladder	Kantung empedu
Galliformes	Galliformes
Gallium	Galium
Galway	Galway
Gamal Abdel Nasser	Gamal Abdul Nasir
Game	Permainan
Game theory	Teori permainan
Gamma	Gamma (huruf Yunani)
Gamma ray	Sinar gamma
Ganesha	Ganesa
Ganges	Sungai Gangga
Ganja	Ganja (kota)
Gansu	Gansu
Gap	Gap, Hautes-Alpes
Garden	Taman
Garden of Eden	Taman Eden
Garfield	Garfield
Garlic	Bawang putih
Gas	Gas
Gas giant	Raksasa gas
Gasoline	Petrol
Gastrointestinal tract	Saluran pencernaan
Gaul	Galia
Gautama Buddha	Siddhartha Gautama
Gaza	Gaza
Gaza Strip	Jalur Gaza
Geisha	Geisha
Gemini (constellation)	Gemini
Gemstone	Batu permata
Gene	Gen
General Agreement on Tariffs and Trade	GATT
General Officer	Jenderal
General relativity	Relativitas umum
Genesis	Kitab Kejadian
Genetic engineering	Rekayasa genetika
Genetics	Genetika
Geneva	Jenewa
Genie	Jin
Genoa	Genova
Genocide	Genosida
Genocide	Kategori:Genosida
Genome	Genom
Genus	Genus
Geochemistry	Geokimia
Geoffrey Chaucer	Geoffrey Chaucer
Geography	Geografi
Geography	Kategori:Geografi
Geography	Portal:Geografi
Geology	Kategori:Geologi
Geology	Geologi
Geometric progression	Deret ukur
Geometry	Geometri
Geometry	Kategori:Geometri
Geomorphology	Geomorfologi
Geomorphology	Kategori:Geomorfologi
Geophysics	Geofisika
Geophysics	Kategori:Geofisika
Georg Philipp Telemann	Georg Philipp Telemann
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Bernard Shaw	George Bernard Shaw
George Frideric Handel	Georg Friedrich Händel
George Gershwin	George Gershwin
George Harrison	George Harrison
George Lucas	George Lucas
George Marshall	George C. Marshall
George Orwell	George Orwell
George Stephenson	George Stephenson
George W. Bush	George W. Bush
George Washington	George Washington
Georges Clemenceau	Georges Clemenceau
Georgetown	Georgetown, Guyana
Georgia (U.S. state)	Georgia, Amerika Serikat
Georgia (U.S. state)	Kategori:Georgia, Amerika Serikat
Georgia (country)	Georgia
Georgia (country)	Kategori:Georgia
Gerald Ford	Gerald Ford
Gerard Kuiper	Gerard Kuiper
German language	Bahasa Jerman
German language	Kategori:Bahasa Jerman
German mark	Deutsche Mark
Germanium	Germanium
Germany	Jerman
Germany	Kategori:Jerman
Geronimo	Geronimo
Gestapo	Gestapo
Geyser	Geyser
Ghana	Ghana
Ghana	Kategori:Ghana
Ghent	Gent
Ghost	Hantu
Giacomo Puccini	Giacomo Puccini
Giant Panda	Panda
Gibraltar	Gibraltar
Gibraltar	Kategori:Gibraltar
Gigabyte	Gigabita
Gilgamesh	Gilgames
Ginger	Jahe
Ginkgo	Ginkgo
Giordano Bruno	Giordano Bruno
Giorgio Vasari	Giorgio Vasari
Giotto di Bondone	Giotto di Bondone
Giraffe	Jerapah
Giraffidae	Giraffidae
Gironde	Gironde
Giuseppe Garibaldi	Giuseppe Garibaldi
Giuseppe Verdi	Giuseppe Verdi
Giza	Giza
Glacier	Gletser
Gladiator	Gladiator
Gland	Kelenjar
Glasgow	Glasgow
Glass	Kaca
Glasses	Kacamata
Glider	Glider
Global Positioning System	Global Positioning System
Global warming	Pemanasan global
Globalization	Globalisasi
Gloucestershire	Gloucestershire
Glucagon	Glukagon
Glucose	Glukosa
Glutamic acid	Asam glutamat
Glycine	Glisin
Glycogen	Glikogen
Glycolysis	Glikolisis
Go (board game)	Igo
Goa	Goa, India
Goalkeeper	Penjaga gawang
Goat	Kambing
Gobi Desert	Gurun Gobi
God	Tuhan
Golan Heights	Dataran Tinggi Golan
Gold	Emas
Golda Meir	Golda Meir
Golden Eagle	Elang emas
Golden Gate Bridge	Jembatan Golden Gate
Golf	Golf
Golf	Kategori:Golf
Golgi apparatus	Badan Golgi
Gomel	Homyel
Good Friday	Jumat Agung
Google	Google
Google	Kategori:Google
Googol	Googol
Gorilla	Gorila
Gospel	Injil
Gospel of Luke	Injil Lukas
Gothenburg	Göteborg
Gothic	Gothik
Gothic architecture	Arsitektur Gothik
Gottlieb Daimler	Gottlieb Daimler
Gout	Pirai
Government	Pemerintah
Grace Kelly	Grace Kelly
Gradient	Gradien
Graffiti	Grafiti
Grammar	Tata bahasa
Grammar	Kategori:Tata bahasa
Granada	Granada
Grand Canyon	Grand Canyon
Grand Slam (tennis)	Grand Slam
Grandmaster (chess)	Grandmaster
Granite	Granit
Grape	Anggur
Graphic design	Kategori:Desain grafis
Graphic design	Desain grafis
Graphical user interface	Antarmuka pengguna grafis
Graphite	Grafit
Gravitation	Gravitasi
Gray Wolf	Serigala abu-abu
Graz	Graz
Great Barrier Reef	Karang Penghalang Besar
Great Britain	Pulau Britania Raya
Great Depression	Depresi Besar
Great Lakes	Danau-Danau Besar
Great Rift Valley	Great Rift Valley
Great Wall of China	Tembok Raksasa Cina
Greater Antilles	Antilles Besar
Greater London	Greater London
Greatest common divisor	Faktor persekutuan terbesar
Greece	Yunani
Greece	Kategori:Yunani
Greek alphabet	Huruf Yunani
Greek fire	Api Yunani
Greek mythology	Mitologi Yunani
Greek mythology	Kategori:Mitologi Yunani
Green	Hijau
Greenhouse	Rumah kaca
Greenhouse effect	Efek rumah kaca
Greenhouse gas	Gas rumah kaca
Greenland	Greenland
Greenland	Kategori:Greenland
Greenland Sea	Laut Greenland
Greenpeace	Greenpeace
Greenwich	Greenwich
Greenwich Mean Time	GMT
Gregor Mendel	Gregor Mendel
Gregorian calendar	Kalender Gregorian
Grenada	Kategori:Grenada
Grenoble	Grenoble
Grey	Abu-abu
Griffin	Griffin
Gross domestic product	Produk domestik bruto
Group (mathematics)	Grup (matematika)
Group (periodic table)	Golongan tabel periodik
Grover Cleveland	Grover Cleveland
Grozny	Grozny
Guadalajara	Guadalajara
Guadeloupe	Guadeloupe
Guam	Guam
Guangdong	Guangdong
Guangzhou	Guangzhou
Guanine	Guanin
Guatemala	Kategori:Guatemala
Guatemala City	Kota Guatemala
Guayaquil	Guayaquil
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Guillotine	Guillotine
Guinea	Guinea
Guinea	Kategori:Guinea
Guinea pig	Marmut
Guinea-Bissau	Guinea-Bissau
Guinea-Bissau	Kategori:Guinea-Bissau
Guitar	Gitar
Gujarat	Gujarat
Gulag	Gulag
Gulf War	Perang Teluk I
Gulf of Aden	Teluk Aden
Gulf of Aqaba	Teluk Aqaba
Gulf of Bothnia	Teluk Bothnia
Gulf of Finland	Teluk Finlandia
Gulf of Mexico	Teluk Meksiko
Gulf of Oman	Teluk Oman
Gulf of Thailand	Teluk Thailand
Gunpowder	Bubuk mesiu
Gunpowder Plot	Plot Bubuk Mesiu
Guppy	Guppy
Gustav Klimt	Gustav Klimt
Gustav Ludwig Hertz	Gustav Hertz
Gustav Mahler	Gustav Mahler
Guyana	Kategori:Guyana
Gymnosperm	Tumbuhan berbiji terbuka
Gynaecology	Ginekologi
HIV	HIV
HTML	Hypertext markup language
Habitat	Habitat
Hacker	Peretas
Hadean	Hadean
Hades	Hades
Hadith	Hadits
Hadrian	Hadrian
Haemophilia	Hemofilia
Hafnium	Hafnium
Hagia Sophia	Hagia Sophia
Haifa	Haifa
Haiku	Haiku
Hail Mary	Salam Maria
Hair	Rambut
Haiti	Haiti
Haiti	Kategori:Haiti
Hajj	Haji
Halal	Halal
Half-life	Waktu paruh
Halle	Halle (Saale)
Halloween	Halloween
Hallucination	Halusinasi
Halogen	Halogen
Hamas	Hamas
Hamburg	Hamburg
Hamburger	Hamburger
Hamlet	Hamlet
Hammer and sickle	Palu arit
Hammurabi	Hammurabi
Hampshire	Hampshire
Hamster	Hamster
Han Dynasty	Dinasti Han
Hand	Tangan
Hand grenade	Granat tangan
Handgun	Pistol
Hanging	Hukuman gantung
Hanging Gardens of Babylon	Taman Gantung Babilonia
Hannah Arendt	Hannah Arendt
Hannibal	Hannibal
Hanoi	Hanoi
Hanover	Hannover
Hans Bethe	Hans Bethe
Hans Christian Andersen	Hans Christian Andersen
Hanukkah	Hari raya Pentahbisan
Hanuman	Hanoman
Harare	Harare
Harem	Harem
Harmonica	Harmonika
Harmony	Harmoni (musik)
Harold Pinter	Harold Pinter
Harp	Harpa
Harpy	Harpy
Harriet Beecher Stowe	Harriet Beecher Stowe
Harriet Tubman	Harriet Tubman
Harrisburg	Harrisburg, Pennsylvania
Harry Houdini	Harry Houdini
Hartford	Hartford, Connecticut
Hatred	Benci
Haute-Normandie	Haute-Normandie
Havana	Havana
Hawaii	Hawaii
Hawaii	Kategori:Hawaii
Head	Kepala
Head of state	Kepala negara
Health	Kesehatan
Health	Kategori:Kesehatan
Heart	Jantung
Heat	Panas
Heat engine	Mesin kalor
Heaven	Sorga
Heavy metal	Kategori:Heavy metal
Heavy metal music	Heavy metal
Heavy water	Air berat
Hebei	Hebei
Hectare	Hektare
Hector Berlioz	Hector Berlioz
Heinrich Hertz	Heinrich Rudolf Hertz
Heinrich Himmler	Heinrich Himmler
Helen	Helena (mitologi)
Helen Keller	Helen Keller
Helena	Helena, Montana
Helicopter	Helikopter
Helios	Helios
Helium	Helium
Hell	Neraka
Helmut Schmidt	Helmut Schmidt
Helsinki	Helsinki
Hematology	Hematologi
Hematology	Kategori:Hematologi
Hemoglobin	Hemoglobin
Hemorrhoid	Wasir
Henri Becquerel	Henri Becquerel
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henry (unit)	Henry (induktansi)
Henry Fonda	Henry Fonda
Henry Ford	Henry Ford
Henry Kissinger	Henry Alfred Kissinger
Henry Miller	Henry Miller
Hepatitis	Hepatitis
Hephaestus	Hefestus
Hera	Hera
Heracles	Herakles
Heraclitus	Herakleitos
Herat	Provinsi Herat
Herbert Hoover	Herbert Hoover
Herbert Spencer	Herbert Spencer
Hercules	Hercules (tokoh)
Hercules (constellation)	Hercules (rasi bintang)
Heresy	Ajaran sesat
Herman Melville	Herman Melville
Hermann Hesse	Hermann Hesse
Hermann Minkowski	Hermann Minkowski
Hermeneutics	Hermeneutika
Hermes	Hermes
Hero	Pahlawan
Herod the Great	Herodes Agung
Herodotus	Herodotus
Heroin	Heroin
Heron	Kuntul
Hertfordshire	Hertfordshire
Hertz	Hertz
Hesse	Hessen
Hesse	Kategori:Hessen
Heterosexuality	Heteroseksual
Heterotroph	Heterotrof
Hexadecimal	Heksadesimal
Hezbollah	Hizbullah (Lebanon)
Hideki Yukawa	Hideki Yukawa
Himalayas	Pegunungan Himalaya
Hinduism	Umat Hindu
Hinduism	Kategori:Hindu
Hipparchus	Hipparchus
Hippocrates	Hippokrates
Hippocratic Oath	Sumpah Hippokrates
Hippopotamus	Kuda Nil
Hirohito	Hirohito
Hiroshima	Hiroshima, Hiroshima
Hispaniola	Hispaniola
Histidine	Histidin
Histology	Histologi
Histology	Kategori:Histologi
Historiography	Historiografi
History	Sejarah
History	Kategori:Sejarah
History	Portal:Sejarah
Ho Chi Minh	Ho Chi Minh
Ho Chi Minh City	Kota Ho Chi Minh
Hobart	Hobart
Hobby	Hobi
Hokusai	Katsushika Hokusai
Holiday	Hari raya
Hollywood	Hollywood
Holmium	Holmium
Holocene	Holosen
Holy Grail	Piala Suci
Holy Roman Empire	Kekaisaran Romawi Suci
Holy Roman Empire	Kategori:Kekaisaran Romawi Suci
Holy Spirit	Allah Roh Kudus
Homeostasis	Homeostasis
Homer	Homerus
Homo (genus)	Homo (genus)
Homo erectus	Homo erectus
Homo habilis	Homo habilis
Homosexuality	Homoseksualitas
Honduras	Honduras
Honduras	Kategori:Honduras
Honey	Madu
Hong Kong	Hong Kong
Hong Kong	Kategori:Hong Kong
Honiara	Honiara
Honolulu	Honolulu
Horace	Horatius
Horatio Nelson	Horatio Nelson
Horizon	Horizon
Hormone	Hormon
Horn (anatomy)	Tanduk
Horn of Africa	Tanduk Afrika
Horoscope	Horoskop
Horse	Kuda
Horse racing	Pacuan kuda
Hosni Mubarak	Hosni Mubarak
Hospital	Rumah sakit
Hotel	Hotel
House	Rumah
House (TV series)	House
House Mouse	Mencit
Houston	Houston, Texas
Hovercraft	Kapal bantalan udara
Howard Carter (archaeologist)	Howard Carter
Hubble's law	Hukum Hubble
Hudson Bay	Teluk Hudson
Hugh Capet	Hugh Capet dari Perancis
Human	Manusia
Humanism	Humanisme
Humerus	Tulang lengan atas
Humidity	Kelembapan
Humor	Kategori:Humor
Humpback Whale	Paus Bungkuk
Humphrey Bogart	Humphrey Bogart
Hunan	Hunan
Hundred Years' War	Perang Seratus Tahun
Hungary	Hongaria
Hungary	Kategori:Hongaria
Hunger	Kelaparan
Hunting	Perburuan
Hutu	Hutu
Hybrid	Hibrida
Hyderabad	Hyderabad
Hydrocarbon	Hidrokarbon
Hydroelectricity	Hidroelektrisitas
Hydrogen	Hidrogen
Hydrogen bond	Ikatan hidrogen
Hydrogen peroxide	Hidrogen peroksida
Hydrology	Hidrologi
Hydrology	Kategori:Hidrologi
Hydroxide	Hidroksida
Hyena	Hyena
Hymen	Selaput dara
Hymenoptera	Hymenoptera
Hymn	Himne
Hyperbola	Hiperbola (matematika)
Hyperion (moon)	Hyperion (bulan)
Hypertension	Tekanan darah tinggi
Hypertext	Hiperteks
Hypertext Transfer Protocol	HTTP
Hypnosis	Hipnosis
Hypothesis	Hipotesis
IPod	IPod
Iapetus (moon)	Iapetus
Iberian Peninsula	Iberia
Ibuprofen	Ibuprofen
Ice	Es
Ice age	Zaman es
Ice cream	Es krim
Ice hockey	Hoki es
Iceberg	Gunung es
Iceland	Islandia
Iceland	Kategori:Islandia
Ichthyology	Iktiologi
Idaho	Idaho
Idaho	Kategori:Idaho
Ideology	Ideologi
Ido	Bahasa Ido
Igloo	Igloo
Ignatius of Loyola	Ignatius Loyola
Igneous rock	Batuan beku
Iguazu Falls	Air terjun Iguazu
Iliad	Iliad
Illinois	Illinois
Illinois	Kategori:Illinois
Image scanner	Pemindai
Imam	Imam
Immanuel Kant	Immanuel Kant
Immune system	Imunitas
Immunology	Imunologi
Immunology	Kategori:Imunologi
Imperialism	Imperialisme
Impressionism	Impresionisme
Incest	Hubungan sedarah
Inch	Inci
Incheon	Incheon
Inclined plane	Bidang miring
Independence	Kemerdekaan
India	India
India	Kategori:India
Indian Ocean	Samudra Hindia
Indian Ocean	Kategori:Samudra Hindia
Indiana	Indiana
Indiana	Kategori:Indiana
Indianapolis	Indianapolis
Indira Gandhi	Indira Gandhi
Indium	Indium
Indochina	Indochina
Indonesia	Indonesia
Indonesia	Kategori:Indonesia
Indra	Indra
Inductor	Induktor
Indulgence	Indulgensi
Indus River	Sungai Sindhu
Industrial Revolution	Revolusi Industri
Industry	Industri
Inequality	Pertidaksamaan
Infantry	Infanteri
Infectious disease	Penyakit menular
Infinity	Tak hingga
Inflammation	Radang
Inflation	Inflasi
Influenza	Influensa
Information	Informasi
Information technology	Teknologi informasi
Information theory	Teori informasi
Infrared	Inframerah
Ingmar Bergman	Ingmar Bergman
Ingrid Bergman	Ingrid Bergman
Inner Mongolia	Mongolia Dalam
Innsbruck	Innsbruck
Inorganic chemistry	Kimia anorganik
Inorganic chemistry	Kategori:Kimia anorganik
Inquisition	Inkuisisi
Insect	Serangga
Insulin	Insulin
Insurance	Asuransi
Integer	Bilangan bulat
Integral	Integral
Integrated circuit	Sirkuit terpadu
Intellectual property	Kekayaan intelektual
Intelligence	Kecerdasan
Interest	Suku bunga
Interference	Interferensi
Interjection	Interjeksi
International Atomic Energy Agency	Badan Tenaga Atom Internasional
International Civil Aviation Organization	International Civil Aviation Organization
International Court of Justice	Mahkamah Internasional
International Date Line	Batas penanggalan internasional
International Labour Organization	Organisasi Buruh Internasional
International Monetary Fund	Dana Moneter Internasional
International System of Units	Sistem Internasional Satuan
International law	Kategori:Hukum internasional
Internet	Internet
Internet	Kategori:Internet
Internet Explorer	Internet Explorer
Internment	Kamp konsentrasi
Interval (music)	Interval (musik)
Intestine	Usus
Intranet	Intranet
Invention	Penemuan
Invertebrate	Invertebrata
Iodine	Yodium
Ion	Ion
Ionian Sea	Laut Ionia
Ionosphere	Ionosfer
Iowa	Iowa
Iowa	Kategori:Iowa
Iran	Iran
Iran	Kategori:Iran
Iran-Iraq War	Perang Iran-Irak
Iraq	Irak
Iraq	Kategori:Irak
Ireland	Pulau Irlandia
Ireland	Kategori:Irlandia
Irenaeus	Ireneus
Iridium	Iridium
Irish people	Kategori:Tokoh Republik Irlandia
Iron	Besi
Iron Age	Zaman Besi
Iron Maiden	Iron Maiden
Irony	Ironi
Irrational number	Bilangan irasional
Isaac	Ishak
Isaac Asimov	Isaac Asimov
Isaac Bashevis Singer	Isaac Bashevis Singer
Isaac Newton	Isaac Newton
Isadora Duncan	Isadora Duncan
Ishmael	Isma'il
Islam	Islam
Islam	Kategori:Islam
Islamabad	Islamabad
Islamic calendar	Kalender Hijriyah
Island	Pulau
Isle of Man	Pulau Man
Isle of Man	Kategori:Pulau Man
Isle of Wight	Isle of Wight
Isomer	Isomer
Isoroku Yamamoto	Isoroku Yamamoto
Isotope	Isotop
Israel	Israel
Israel	Kategori:Israel
Istanbul	Istanbul
Isthmus	Tanah genting
Isthmus of Panama	Tanah Genting Panama
Italian Peninsula	Semenanjung Italia
Italy	Italia
Italy	Kategori:Italia
Ithaca	Ithaki
Ivan Lendl	Ivan Lendl
Ivan Pavlov	Ivan Pavlov
Ivan Turgenev	Ivan Turgenev
Ivy League	Ivy League
Iwo Jima	Iwo Jima
J. M. Barrie	J. M. Barrie
Jack Kerouac	Jack Kerouac
Jack Lemmon	Jack Lemmon
Jack London	Jack London
Jack the Ripper	Jack the Ripper
Jackson	Jackson, Mississippi
Jackson Pollock	Paul Jackson Pollock
Jacksonville	Jacksonville, Florida
Jacob	Yakub
Jacques Cartier	Jacques Cartier
Jacques Derrida	Jacques Derrida
Jade	Giok
Jainism	Jainisme
Jakarta	Daerah Khusus Ibukota Jakarta
Jalalabad	Jalalabad
Jamaica	Jamaika
Jamaica	Kategori:Jamaika
James	Yakobus
James A. Garfield	James A. Garfield
James Bond	James Bond
James Buchanan	James Buchanan
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Franck	James Franck
James Joyce	James Joyce
James K. Polk	James Knox Polk
James Madison	James Madison
James Monroe	James Monroe
James Naismith	James Naismith
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Jammu and Kashmir	Jammu dan Kashmir
Jan Hus	Jan Hus
Jane Austen	Jane Austen
Jane Fonda	Jane Fonda
Janissary	Yanisari
January	Januari
January 1	1 Januari
January 19	19 Januari
January 20	20 Januari
January 6	6 Januari
Japan	Jepang
Japan	Kategori:Jepang
Java	Pulau Jawa
Java (programming language)	Java
Jawaharlal Nehru	Jawaharlal Nehru
Jazz	Jazz
Jean Piaget	Jean Piaget
Jean Sibelius	Jean Sibelius
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jeddah	Jeddah
Jefferson City	Jefferson City, Missouri
Jefferson Davis	Jefferson Finis Davis
Jehovah's Witnesses	Saksi-Saksi Yehuwa
Jellyfish	Ubur-ubur
Jena	Jena
Jerez de la Frontera	Jerez de la Frontera
Jericho	Yerikho
Jerome	Hieronimus
Jersey	Jersey
Jerusalem	Yerusalem
Jesus	Yesus
Jet engine	Mesin jet
Jew	Yahudi
Jihad	Jihad
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Joan of Arc	Jeanne d'Arc
Johann Bernoulli	Johann Bernoulli
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Diderik van der Waals	Johannes Diderik van der Waals
Johannes Gutenberg	Johann Gutenberg
Johannes Kepler	Johannes Kepler
Johannes Vilhelm Jensen	Johannes Vilhelm Jensen
Johannesburg	Johannesburg
John Adams	John Adams
John Bardeen	John Bardeen
John Calvin	Yohanes Calvin
John Chrysostom	Yohanes Krisostomus
John Dalton	John Dalton
John Galsworthy	John Galsworthy
John Lennon	John Lennon
John Locke	John Locke
John Major	John Major
John Maynard Keynes	John Maynard Keynes
John Milton	John Milton
John Napier	John Napier
John Quincy Adams	John Quincy Adams
John Steinbeck	John Ernst Steinbeck
John Tyler	John Tyler
John Wayne	John Wayne
John Wycliffe	John Wycliffe
John the Baptist	Yohanes Pembaptis
John von Neumann	John von Neumann
Johnny Cash	Johnny Cash
Joint	Sendi
Jonathan Swift	Jonathan Swift
Jordan	Yordania
Jordan	Kategori:Yordania
Jordan River	Sungai Yordan
Jorge Luis Borges	Jorge Luis Borges
Joseph Goebbels	Joseph Goebbels
Joseph Haydn	Joseph Haydn
Joseph Louis Gay-Lussac	Joseph Louis Gay-Lussac
Joseph McCarthy	Joseph Raymond McCarthy
Joseph Smith	Joseph Smith, Jr.
Joseph Stalin	Josef Stalin
Josephus	Flavius Yosefus
Joule	Joule
Journalism	Kategori:Jurnalisme
Journalism	Jurnalisme
Journalist	Wartawan
Joystick	Tuas kontrol
Judaism	Agama Yahudi
Judaism	Kategori:Yudaisme
Judas Iscariot	Yudas Iskariot
Judo	Judo
Jujutsu	Jujitsu
Jules Verne	Jules Verne
Julian calendar	Kalender Julian
Julius Caesar	Julius Caesar
July	Juli
July 1	1 Juli
July 4	4 Juli
June	Juni
June 14	14 Juni
June 21	21 Juni
June 23	23 Juni
June 24	24 Juni
June 29	29 Juni
June 3	3 Juni
Juneau	Juneau, Alaska
Jupiter	Yupiter
Jupiter	Kategori:Yupiter
Jurassic	Jura (periode)
Justinian I	Justinianus I
Jutland	Jutlandia
KGB	KGB
Kaaba	Ka'bah
Kabbalah	Kabala
Kabul	Kabul, Afganistan
Kamchatka Peninsula	Semenanjung Kamchatka
Kamikaze	Kamikaze
Kampala	Kampala
Kandahar	Provinsi Kandahar
Kangaroo	Kanguru
Kansas	Kansas
Kansas	Kategori:Kansas
Kansas City	Kansas City, Missouri
Kara Sea	Laut Kara
Karachi	Karachi
Karaoke	Karaoke
Karate	Karate
Karl Barth	Karl Barth
Karl Marx	Karl Marx
Karl Popper	Karl Popper
Karma	Karma
Karnataka	Karnataka
Katharine Hepburn	Katharine Hepburn
Kathmandu	Kathmandu
Katowice	Katowice
Kaunas	Kaunas
Kayak	Kayak
Kazakhstan	Kazakhstan
Kazakhstan	Kategori:Kazakhstan
Kazan	Kazan
Kelvin	Kelvin
Kent	Kent
Kentucky	Kentucky
Kentucky	Kategori:Kentucky
Kenya	Kenya
Kenya	Kategori:Kenya
Kernel (computer science)	Kernel (ilmu komputer)
Kerosene	Minyak tanah
Ketchup	Saus tomat
Ketone	Keton
Keyboard (computing)	Papan ketik
Khabarovsk	Khabarovsk
Khartoum	Khartoum
Khmer Rouge	Khmer Merah
Khufu	Khufu
Kibbutz	Kibbutz
Kidney	Ginjal
Kiev	Kiev
Kigali	Kigali
Kilobyte	Kilobita
Kilogram	Kilogram
Kilometre	Kilometer
Kilometres per hour	Kilometer per jam
Kimono	Kimono
Kindergarten	Taman Kanak-kanak
Kinematics	Kinematika
Kinetic energy	Energi kinetis
King Arthur	Raja Arthur
King Lear	Raja Lear
Kingdom (biology)	Kerajaan (biologi)
Kingston	Kingston, Jamaika
Kingstown	Kingstown
Kinshasa	Kinshasa
Kiribati	Kiribati
Kiribati	Kategori:Kiribati
Kirkuk	Kirkuk
Kite	Layang-layang
Kiwi	Kiwi
Knee	Lutut
Knesset	Knesset
Knife	Pisau
Knight	Kesatria
Knot (speed)	Knot (kecepatan)
Knowledge	Pengetahuan
Knut Hamsun	Knut Hamsun
Koala	Koala
Kobe	Kobe, Hyogo
Kola Peninsula	Semenanjung Kola
Kolkata	Kolkata
Komodo dragon	Biawak Komodo
Konqueror	Konqueror
Konrad Adenauer	Konrad Adenauer
Korea	Korea
Korea	Kategori:Korea
Korean War	Perang Korea
Kosovo	Kosovo
Kosovo	Kategori:Kosovo
Krakatoa	Gunung Krakatau
Krishna	Kresna
Krypton	Kripton
Ku Klux Klan	Ku Klux Klan
Kuala Lumpur	Kuala Lumpur
Kublai Khan	Kubilai Khan
Kuiper belt	Sabuk Kuiper
Kumquat	Buah Kumquat
Kung fu (term)	Kung fu
Kuomintang	Kuomintang
Kura River	Sungai Kura
Kurdistan	Kategori:Kurdistan
Kurdistan Workers Party	Partai Pekerja Kurdistan
Kursk	Kursk
Kurt Vonnegut	Kurt Vonnegut
Kurt Waldheim	Kurt Waldheim
Kuwait	Kuwait
Kuwait	Kategori:Kuwait
Kuwait City	Kuwait City
KwaZulu-Natal	KwaZulu-Natal
Kyoto	Kyoto
Kyrgyzstan	Kirgizstan
Kyrgyzstan	Kategori:Kirgizstan
L'Aquila	L'Aquila
LAMP (software bundle)	LAMP
La Paz	La Paz, Bolivia
La Plata	La Plata
La Spezia	La Spezia
Laboratory	Laboratorium
Labour Party (UK)	Partai Buruh (Britania Raya)
Labrador Retriever	Labrador Retriever
Lacerta	Lacerta
Lagos	Lagos
Laissez-faire	Laissez-faire
Lake	Danau
Lake Baikal	Danau Baikal
Lake Balaton	Danau Balaton
Lake Chad	Danau Chad
Lake Erie	Danau Erie
Lake Huron	Danau Huron
Lake Michigan	Danau Michigan
Lake Ontario	Danau Ontario
Lake Superior	Danau Superior
Lake Tanganyika	Danau Tanganyika
Lake Victoria	Danau Victoria
Lakshmi	Laksmi
Lamprey	Lamprey
Lancashire	Lancashire
Language	Bahasa
Languedoc-Roussillon	Languedoc-Roussillon
Lansing	Lansing, Michigan
Lanthanide	Lantanida
Lanthanum	Lantanum
Laos	Laos
Laos	Kategori:Laos
