English	Chinese
size	大小 [dà xiǎo], 尺寸 [chǐ cun]
sound	声音 [shēng yīn]
steam	蒸汽 [zhēng qì]
strength	力 [lì]
time	时间 [shí jiān]
unit	计量单位 [jì liàng dān wèi]
weight	重力 [zhòng lì]
boyfriend	男朋友 [nán péng you]
date	约会 [yuē huì]
girlfriend	女朋友 [nǚ péng you]
guest	客人 [kè rén]
honey	亲爱的 [qīn ài de]
kiss	吻 [wěn]
party	聚会 [jù huì], 派对 [pài duì]
sex	性行为 [xìng xíng wéi], 做爱 [zuò ài]
smile	微笑 [wēi xiào]
surprise	惊奇 [jīng qí], 诧异 [chà yì]
visit	拜访 [bài fǎng], 参观 [cān guān]
biology	生物学 [shēng wù xué]
cause	原因 [yuán yīn]
chemistry	化学 [huà xué]
comparison	比较 [bǐ jiào]
consequence	结果 [jié guǒ]
discipline	学科 [xué kē]
discovery	发现 [fā xiàn]
discovery	发现 [fā xiàn]
event	事件
evidence	证据 [zhèng jù]
example	例子 [lì zi]
fact	事实 [shì shí]
issue	问题 [wèn tí]
kernel	内核
method	方法 [fāng fǎ]
phase	时期 [shí qī]
procedure	过程
production	生产
program	程序
project	项目 [xiàng mù]
range	范围
research	研究 [yán jiū]
research	调查 [diào chá]
science	科学 [kē xué]
society	社会 [shè huì]
system	系统 [xì tǒng]
technology	科技 [kē jì], 工艺 [gōng yì]
theory	理论 [lǐ lùn]
trend	趋势 [qū shì]
trouble	问题 [wèn tí]
user	用户 [yòng hù]
army	军队 [jūn duì]
base	军事基地 [jūn shì jī dì]
club	俱乐部 [jù lè bù]
company	陪伴 [péi bàn]
contest	竞争 [jìng zhēng], 竞赛 [jìng sài]
country	国家 [guó jiā]
court	法院 [fǎ yuàn]
crime	犯罪 [fàn zuì]
culture	文明 [wén míng]
democracy	民主共和国
dominion	统治 [tǒng zhì]
election	选举 [xuǎn jǔ]
existence	存在 [cún zài]
female	女性 [nǚ xìng]
government	政府 [zhèng fǔ]
history	历史 [lì shǐ]
individual	个体 [gè tǐ]
institution	机构 [jī gòu]
king	国王 [guó wáng]
male	男性 [nán xìng]
member	成员 [chéng yuán]
nation	国民 [guó mín]
news	新闻 [xīn wén]
noise	噪音 [zào yīn]
order	命令 [mìng lìng]
organization	组织 [zǔ zhī], 机构 [jī gòu]
pass	通行证 [tōng xíng zhèng], 许可证 [xǔ kě zhèng]
passport	护照 [hù zhào]
peace	和平 [hé píng]
people	人群 [rén qún], 群体 [qún tǐ]
police	警方 [jǐng fāng], 警察机关
policy	政策 [zhèng cè]
population	人口 [rén kǒu]
public	人民 [rén mín]
punishment	惩罚 [chéng fá]
religion	信仰 [xìn yǎng]
religion	宗教信仰
state	政区
title	标题 [biāo tí]
union	联合 [lián hé]
war	战争 [zhàn zhēng]
will	意志 [yì zhì]
will	遗嘱 [yí zhǔ]
award	奖品
ball	球 [qiú]
baseball	棒球 [bàng qiú]
bike	自行车 [zì xíng chē]
championship	冠军 [guàn jūn]
competitor	竞争对手
cup	奖杯
football	足球 [zú qiú]
game	比赛 [bǐ sài], 游戏 [yóu xì]
goal	球门 [qiú mén]
goal	目的地 [mù dì dì]
gold	黄金 [huáng jīn]
golf	高尔夫球 [gāo ěr fū qiú]
match	竞赛 [jìng sài], 比赛 [bǐ sài]
player	参赛者 [cān sài zhě]
record	记录 [jì lù]
silver	银 [yín]
tennis	网球 [wǎng qiú]
throw	投 [tóu], 扔 [rēng]
win	赢 [yíng], 胜利 [shèng lì]