Verb, Root, Form, Translation
تَسْتَقْسِمُ (tastaqsimu) ‎, ق س م (q s m), X, to seek division,
تَقْشَعِرُّ (taqšaʿirru) ‎, ق ش ع ر (q š ʿ r), IV, to shiver,
ٱقْصِدْ (qṣid) ‎, ق ص د (q ṣ d), I, to be moderate,
تَقْصُرُ (taqṣuru) ‎, ق ص ر (q ṣ r), I, to shorten,
يُقْصِرُ (yuqṣiru) ‎, ق ص ر (q ṣ r), IV, to cease,
قَصَمْ (qaṣam) ‎, ق ص م (q ṣ m), I, to shatter,
يَنقَضَّ ‎, ق ض ض (q ḍ ḍ), VII, to collapse,
تَقْفُ (taqfu) ‎, ق ف و (q f w), I, to pursue,
تُقْلَبُ (tuqlabu) ‎, ق ل ب (q l b), I, to return,
تَتَقَلَّبُ (tataqallabu) ‎, ق ل ب (q l b), V, to turn around,
أَقْلِعِ (ʾaqliʿi) ‎, ق ل ع (q l ʿ), IV, to withhold,
قَلَّ (qalla) ‎, ق ل ل (q l l), I, to be little,
يُقَلِّلُ (yuqallilu) ‎, ق ل ل (q l l), II, to make few,
أَقَلَّتْ (ʾaqallat) ‎, ق ل ل (q l l), IV, to carry,
قَلَىٰ (qalā) ‎, ق ل ي (q l y), I, to be displeased,
تَقْهَرْ (taqhar) ‎, ق ه ر (q h r), I, to oppress,
كُبَّتْ (kubbat) ‎, ك ب ب (k b b), I, to cast,
أَكْبَرْ (ʾakbar) ‎, ك ب ر (k b r), IV, to admire greatly,
كُبْكِبُ (kubkibu) ‎, ك ب ك ب (k b k b), I, to overturn,
كَاتِبُ (kātibu) ‎, ك ت ب (k t b), III, to give writing,
ٱكْتَتَبَ (ktataba) ‎, ك ت ب (k t b), VIII, to write,
كَثَّرَ (kaṯṯara) ‎, ك ث ر (k ṯ r), II, to increase,
ٱنكَدَرَتْ ‎, ك د ر (k d r), VII, to fall and lose luster,
أَكْدَىٰٓ ‎, ك د ي (k d y), IV, to withhold,
كَرَّهَ (karraha) ‎, ك ر ه (k r h), II, to make hateful,
كُشِطَتْ (kušiṭat) ‎, ك ش ط (k š ṭ), I, to strip away,
أَكْفَرَ (ʾakfara) ‎, ك ف ر (k f r), IV, to be ngrateful, to deny
كَفَّلَ (kaffala) ‎, ك ف ل (k f l), II, to put in care,
أَكْفِلْ (ʾakfil) ‎, ك ف ل (k f l), IV, to entrust,
يَكْلَؤُ (yaklaʾu) ‎, ك ل ا, I, to protect,
تُكْوَىٰ (tukwā) ‎, ك و ي (k w y), I, to brand,
تَلَذُّ (talaḏḏu) ‎, ل ذ ذ (l ḏ ḏ), I, to delight,
يَتَلَطَّفْ (yatalaṭṭaf) ‎, ل ط ف (l ṭ f), V, to be cautious,
تَلَظَّىٰ (talaẓẓā) ‎, ل ظ ي (l ẓ y), I, to blaze,
ٱلْغَ (l-ḡa) ‎, ل غ و (l ḡ w), I, to make noise,
تَلْفِتَ (talfita) ‎, ل ف ت (l f t), I, to turn away,
تَلْفَحُ (talfaḥu) ‎, ل ف ح (l f ḥ), I, to burn,
يَلْفِظُ (yalfiẓu) ‎, ل ف ظ (l f ẓ), I, to utter,
ٱلْتَفَّتِ (l-taffati) ‎, ل ف ف (l f f), VIII, to wind,
ٱلْتَقَمَ (l-taqama) ‎, ل ق م (l q m), VIII, to swallow,
ٱلْتَمِسُ (l-tamisu) ‎, ل م س (l m s), VIII, to seek,
أَلْهَمَ (ʾalhama) ‎, ل ه م (l h m), IV, to inspire,
تَلَهَّىٰ (talahhā) ‎, ل ه و (l h w), I, to distract, to divert
لَاتَ (lāta) ‎, ل و ت (l w t), I, to not be,
يَتَلَٰوَمُ (yatalāwamu) ‎, ل و م (l w m), VI, to blame,
لَوَّ (lawwa) ‎, ل و ي (l w y), II, to turn aside,
يَلِتْ (yalit) ‎, ل ي ت (l y t), I, to deprive,
أَلَ (ʾala) ‎, ل ي ن (l y n), IV, to make pliable,
تَمَثَّلَ (tamaṯṯala) ‎, م ث ل (m ṯ l), V, to assume a likeness,
تَمْرَحُ (tamraḥu) ‎, م ر ح (m r ḥ), I, to be insolent,
مَرَدُ (maradu) ‎, م ر د (m r d), I, to persist,
مَرِضْ (mariḍ) ‎, م ر ض (m r ḍ), I, to be ill,
تُمَارِ (tumāri) ‎, م ر ي (m r y), III, to argue,
مَسَخْ (masaḵ) ‎, م س خ (m s ḵ), I, to transform,
يُمَسِّكُ (yumassiku) ‎, م س ك (m s k), II, to hold fast,
تُمْسُ (tumsu) ‎, م س و (m s w), IV, to reach evening,
يَتَمَطَّىٰٓ ‎, م ط و (m ṭ w), V, to swagger,
أَمْكَنَ (ʾamkana) ‎, م ك ن (m k n), IV, to give power,
ٱمْتَلَأْ (mtalaʾ) ‎, م ل ا, VIII, to fill,
يَمْهَدُ (yamhadu) ‎, م ه د (m h d), I, to prepare,
مَهَّد (mahhad) ‎, م ه د (m h d), II, to spread,
أَمْهِلْ (ʾamhil) ‎, م ه ل (m h l), IV, to give respite,
يَمُوجُ (yamūju) ‎, م و ج (m w j), I, to surge,
نَمِيرُ (namīru) ‎, م ي ر (m y r), I, to get provision,
تَمَيَّزُ (tamayyazu) ‎, م ي ز (m y z), V, to burst,
ٱمْتَٰزُ (mtāzu) ‎, م ي ز (m y z), VIII, to stand apart,
يَسْتَنۢبِـُٔ ‎, ن ب ا, X, to ask to inform,
تَنۢبُتُ ‎, ن ب ت (n b t), I, to produce,
تَنَابَزُ (tanābazu) ‎, ن ب ز (n b z), VI, to call,
يَسْتَنۢبِطُ ‎, ن ب ط (n b ṭ), X, to draw correct conclusion,
نَتَقْ (nataq) ‎, ن ت ق (n t q), I, to raise,
ٱنتَثَرَتْ ‎, ن ث ر (n ṯ r), VIII, to scatter,
نَٰجَيْ (nājay) ‎, ن ج و (n j w), III, to consult privately,
ٱنْحَرْ (nḥar) ‎, ن ح ر (n ḥ r), I, to sacrifice,
تَنَادَ (tanāda) ‎, ن د و (n d w), I, to call,
يُنَٰزِعُ (yunāziʿu) ‎, ن ز ع (n z ʿ), III, to dispute,
نَسْتَنسِخُ ‎, ن س خ (n s ḵ), X, to transcribe,
يُنَشَّؤُا۟ ‎, ن ش ا, II, to bring up,
نُنشِزُ ‎, ن ش ز (n š z), IV, to raise,
تَنَاصَرُ (tanāṣaru) ‎, ن ص ر (n ṣ r), VI, to help,
نَضِجَتْ (naḍijat) ‎, ن ض ج (n ḍ j), I, to roast,
يَنْعِقُ (yanʿiqu) ‎, ن ع ق (n ʿ q), I, to shout,
نَعَّمَ (naʿʿama) ‎, ن ع م (n ʿ m), II, to favor,
يُنْغِضُ (yunḡiḍu) ‎, ن غ ض (n ḡ ḍ), IV, to shake,
تَنَفَّسَ (tanaffasa) ‎, ن ف س (n f s), V, to breathe,
يَتَنَافَسِ (yatanāfasi) ‎, ن ف س (n f s), VI, to aspire,
نَفَشَتْ (nafašat) ‎, ن ف ش (n f š), I, to pasture,
يُنفَ ‎, ن ف ي (n f y), I, to exile,
نَقَّبُ (naqqabu) ‎, ن ق ب (n q b), II, to explore,
يَسْتَنقِذُ ‎, ن ق ذ (n q ḏ), X, to take back,
نُقِرَ (nuqira) ‎, ن ق ر (n q r), I, to blow,
أَنقَضَ ‎, ن ق ض (n q ḍ), IV, to weigh,
يَسْتَنكِحَ ‎, ن ك ح (n k ḥ), X, to marry,
نَكِرَ (nakira) ‎, ن ك ر (n k r), I, to feel unfamiliar,
نَكِّرُ (nakkiru) ‎, ن ك ر (n k r), II, to disguise,
نُكِسُ (nukisu) ‎, ن ك س (n k s), I, to turn,
نُنَكِّسْ (nunakkis) ‎, ن ك س (n k s), II, to reverse,
يَتَنَاهَ (yatanāha) ‎, ن ه ي (n h y), VI, to forbid,
تَنُوٓأُ ‎, ن و ا, I, to burden,
تَهَجَّدْ (tahajjad) ‎, ه ج د (h j d), V, to arise from sleep for prayer,
يَهْجَعُ (yahjaʿu) ‎, ه ج ع (h j ʿ), I, to sleep,
هُدِّمَتْ (huddimat) ‎, ه د م (h d m), II, to demolish,
هُزِّ (huzzi) ‎, ه ز ز (h z z), I, to shake,
أَهُشُّ (ʾahuššu) ‎, ه ش ش (h š š), I, to bring down leaves,
أَهَمَّتْ (ʾahammat) ‎, ه م م (h m m), IV, to worry,
ٱنْهَارَ (nhāra) ‎, ه و ر (h w r), VII, to collapse,
ٱسْتَهْوَتْ (stahwat) ‎, ه و ي (h w y), X, to entice,
هَيْتَ (hayta) ‎, ه ي ت (h y t), I, to Come on,
يَهِيمُ (yahīmu) ‎, ه ي م (h y m), I, to roam,
يُوبِقْ (yūbiq) ‎, و ب ق (w b q), IV, to destroy,
يَتِرَ (yatira) ‎, و ت ر (w t r), I, to deprive,
وَاثَقَ (wāṯaqa) ‎, و ث ق (w ṯ q), III, to bound,
يُوثِقُ (yūṯiqu) ‎, و ث ق (w ṯ q), IV, to bind,
وَجَبَتْ (wajabat) ‎, و ج ب (w j b), I, to be down,
أَوْجَفْ (ʾawjaf) ‎, و ج ف (w j f), IV, to make expedition,
تَوَجَّهَ (tawajjaha) ‎, و ج ه (w j h), V, to turn,
دَعْ (daʿ) ‎, و د ع (w d ʿ), I, to disregard,
وَدَّعَ (waddaʿa) ‎, و د ع (w d ʿ), II, to forsake,
أَوْرَدَ (ʾawrada) ‎, و ر د (w r d), IV, to lead,
تُورُ (tūru) ‎, و ر ي (w r y), IV, to ignite,
وَسَطْ (wasaṭ) ‎, و س ط (w s ṭ), I, to penetrate the center,
وَسَقَ (wasaqa) ‎, و س ق (w s q), I, to envelops,
ٱتَّسَقَ (ttasaqa) ‎, و س ق (w s q), VIII, to be full,
نَسِمُ (nasimu) ‎, و س م (w s m), I, to brand,
وَصَّلْ (waṣṣal) ‎, و ص ل (w ṣ l), II, to convey,
يُوصِي (yūṣī) ‎, و ص ي (w ṣ y), I, to make,
أَوْضَعُ (ʾawḍaʿu) ‎, و ض ع (w ḍ ʿ), IV, to be active,
يُوَاطِـُٔ ‎, و ط ا, III, to adjust,
تُوعِدُ (tūʿidu) ‎, و ع د (w ʿ d), IV, to threaten,
تَوَاعَد (tawāʿad) ‎, و ع د (w ʿ d), VI, to make an appointment,
تَعِيَ (taʿiya) ‎, و ع ي (w ʿ y), I, to be conscious,
يُوفِضُ (yūfiḍu) ‎, و ف ض (w f ḍ), IV, to hasten,
يُوَفِّقِ (yuwaffiqi) ‎, و ف ق (w f q), II, to cause reconciliation,
يَسْتَوْفُ (yastawfu) ‎, و ف ي (w f y), X, to take in full,
وَقَبَ (waqaba) ‎, و ق ب (w q b), I, to spread,
أُقِّتَتْ (ʾuqqitat) ‎, و ق ت (w q t), II, to be gathered to an appointed time,
ٱسْتَوْقَدَ (stawqada) ‎, و ق د (w q d), X, to kindle,
تُوَقِّرُ (tuwaqqiru) ‎, و ق ر (w q r), II, to respect,
يُوقِعَ (yūqiʿa) ‎, و ق ع (w q ʿ), IV, to cause,
أَتَوَكَّؤُا۟ ‎, و ك ا, V, to lean,
يَتَّكِـُٔ ‎, و ك ا, VIII, to recline,
وَكَزَ (wakaza) ‎, و ك ز (w k z), I, to strike,
يَلُ (yalu) ‎, و ل ي (w l y), I, to be close,
تَنِيَ (taniya) ‎, و ن ي (w n y), I, to slacken,
