مِن (min)‎, preposition
ذِلَّة (ḏilla)‎, noun
رِّبَوٰا‎, noun
رُّءْيَا (rruʾyā)‎, noun
زُبُر (zubur)‎, noun
زَكَرِيَّا (zakariyyā)‎, proper noun
سَآئِل (saʾāʾil)‎, noun
سَابِق (sābiq)‎, noun
سِتَّة (sitta)‎, noun
سَفَر (safar)‎, noun
سَفِيه (safīh)‎, noun
سَنَة (sana)‎, noun
شَجَر (šajar)‎, noun
شِقَاق (šiqāq)‎, noun
صَفّ (ṣaff)‎, noun
ضِعْف (ḍiʿf)‎, noun
ضَعِيف (ḍaʿīf)‎, noun
عَاكِف (ʿākif)‎, noun
عُمُر (ʿumur)‎, noun
غَٰبِرِين (ḡābirīn)‎, noun
فَحْشَآء (faḥšaʾāʾ)‎, noun
فُرْقَان (furqān)‎, noun
قَاعِد (qāʿid)‎, noun
قِبْلَة (qibla)‎, noun
قَدْر (qadr)‎, noun
كَٰرِهُون (kārihūn)‎, noun
كَأَيِّن (kaʾayyin)‎, noun
كَبِيرَة (kabīra)‎, noun
كَى (kā)‎, subordinating conjunction
لَيْلَة (layla)‎, noun
مُرِيب (murīb)‎, noun
مَّطَر (mmaṭar)‎, noun
مَفْعُول (mafʿūl)‎, noun
مُقَرَّبُون (muqarrabūn)‎, noun
مِهَٰد (mihād)‎, noun
مُّهِين (mmuhīn)‎, adjective
مُّهِين (mmuhīn)‎, noun
مُؤْمِن (muʾmin)‎, adjective
نَاقَة (nāqa)‎, noun
نَّخِيل (nnaḵīl)‎, noun
هَاد (hād)‎, noun
هَدْي (hady)‎, noun
هُود (hūd)‎, proper noun
وَاد (wād)‎, noun
وَارِث (wāriṯ)‎, noun
وَلِيد (walīd)‎, noun
يُسْر (yusr)‎, noun
أَبْكَم (ʾabkam)‎, noun
أَخْذ (ʾaḵḏ)‎, noun
إِخْرَاج (ʾiḵrāj)‎, noun
أَرْبَع (ʾarbaʿ)‎, noun
إِسْلَٰم (ʾislām)‎, proper noun
أَعْلَىٰ (ʾaʿlā)‎, noun
أُمْنِيَّت (ʾumniyyat)‎, noun
أُنثَيَيْن‎, noun
أَندَاد‎, noun
بَٰلِغ (bāliḡ)‎, noun
بَعْل (baʿl)‎, noun
بُكْرَة (bukra)‎, time adverb
بَلَآء (balaʾāʾ)‎, noun
بُهْتَٰن (buhtān)‎, noun
تَحِيَّة (taḥiyya)‎, noun
ثَّقَلَان (ṯṯaqalān)‎, noun
جَاعِل (jāʿil)‎, noun
حَدِيد (ḥadīd)‎, noun
حَلَٰل (ḥalāl)‎, noun
حُلُم (ḥulum)‎, noun
حَمِيم (ḥamīm)‎, adjective
خِلَٰف (ḵilāf)‎, noun
خَلَٰق (ḵalāq)‎, noun
خُلْد (ḵuld)‎, noun
خَمْر (ḵamr)‎, noun
خِيفَة (ḵīfa)‎, noun
دَعْوَة (daʿwa)‎, noun
ذَرَّة (ḏarra)‎, noun
رَّٰحِمِين (rrāḥimīn)‎, noun
رَّٰزِقِين (rrāziqīn)‎, noun
رِسَٰلَٰت (risālāt)‎, noun
رُشْد (rušd)‎, noun
سَّبْت (ssabt)‎, noun
سِّجْن (ssijn)‎, noun
سُرُر (surur)‎, noun
سَعَة (saʿa)‎, noun
سَكِينَة (sakīna)‎, noun
سِيمَٰ (sīmā)‎, noun
طَرْف (ṭarf)‎, noun
ظُلَّة (ẓulla)‎, noun
عَاد (ʿād)‎, noun
عِبْرَة (ʿibra)‎, noun
عَدَٰوَة (ʿadāwa)‎, noun
عَرَض (ʿaraḍ)‎, noun
عُقْبَى (ʿuqbā)‎, noun
غَٰوِين (ḡāwīn)‎, noun
غَمّ (ḡamm)‎, noun
غَيْظ (ḡayẓ)‎, noun
فَاطِر (fāṭir)‎, noun
فَجْر (fajr)‎, noun
فَرِح (fariḥ)‎, noun
فَرِيضَة (farīḍa)‎, noun
فِضَّة (fiḍḍa)‎, noun
قَبْر (qabr)‎, noun
قَرْض (qarḍ)‎, noun
قَصَص (qaṣaṣ)‎, noun
قَمِيص (qamīṣ)‎, noun
قَهَّار (qahhār)‎, adjective
كَأْس (kaʾs)‎, noun
كِبَر (kibar)‎, noun
كُبْرَىٰ (kubrā)‎, adjective
كَرَّة (karra)‎, noun
كَفُور (kafūr)‎, adjective
كَفُور (kafūr)‎, noun
كَنز‎, noun
كَهْف (kahf)‎, noun
لَّعَلّ (llaʿall)‎, accusative particle
لُؤْلُؤ (luʾluʾ)‎, noun
مُبَارَك (mubārak)‎, noun
مُتَكَبِّر (mutakabbir)‎, noun
مُّدَّكِر (mmuddakir)‎, noun
مَرَدّ (maradd)‎, noun
مُسْتَكْبِر (mustakbir)‎, noun
مُعْتَدِين (muʿtadīn)‎, noun
مَقْت (maqt)‎, noun
مَنّ (mann)‎, noun
مُنتَظِرُون‎, noun
مُنظَرُون‎, noun
مُّنِيب (mmunīb)‎, noun
مُهَاجِر (muhājir)‎, noun
مَوْج (mawj)‎, noun
مِّيعَاد (mmīʿād)‎, noun
نَاصِح (nāṣiḥ)‎, noun
نِصْف (niṣf)‎, noun
هَٰمَٰن (hāmān)‎, proper noun
وَٰحِد (wāḥid)‎, noun
وَحْد (waḥd)‎, noun
وَحْى‎, noun
وَعِيد (waʿīd)‎, noun
وَقْر (waqr)‎, noun
يَقِين (yaqīn)‎, noun
أَبْيَض (ʾabyaḍ)‎, noun
أَحَقّ (ʾaḥaqq)‎, noun
أَحَقّ (ʾaḥaqq)‎, adjective
أَرَآئِك (ʾaraʾāʾik)‎, noun
أَسَاوِر (ʾasāwir)‎, noun
أَسْبَاط (ʾasbāṭ)‎, noun
أَصْنَام (ʾaṣnām)‎, noun
ٱللَّهُمَّ (l-lahumma)‎, proper noun
ٱمْرِئ (mriʾ)‎, noun
أَمْن (ʾamn)‎, noun
إِن (ʾin)‎, particle of certainty
أَوَّاب (ʾawwāb)‎, noun
أَيَّان (ʾayyān)‎, interogative particle
بَرْق (barq)‎, noun
بِضَٰعَة (biḍāʿa)‎, noun
بَعِيد (baʿīd)‎, noun
بَغْضَآء (baḡḍaʾāʾ)‎, noun
بَلْدَة (balda)‎, noun
تَحْرِير (taḥrīr)‎, noun
تِسْع (tisʿ)‎, noun
تَفْصِيل (tafṣīl)‎, noun
تَقْدِير (taqdīr)‎, noun
تَقَلُّب (taqallub)‎, noun
ثُّلُث (ṯṯuluṯ)‎, noun
ثَمَر (ṯamar)‎, noun
جَٰثِمِين (jāṯimīn)‎, noun
جَبَّار (jabbār)‎, adjective
جَبَّار (jabbār)‎, noun
جَرَم (jaram)‎, noun
جَهْد (jahd)‎, noun
حَٰكِمِين (ḥākimīn)‎, noun
حَبَّة (ḥabba)‎, noun
حَرِيق (ḥarīq)‎, noun
حَفِيظ (ḥafīẓ)‎, adjective
حَقّ (ḥaqq)‎, adjective
حِلّ (ḥill)‎, noun
حِمَار (ḥimār)‎, noun
حَوَارِيُّون (ḥawāriyyūn)‎, noun
حُوت (ḥūt)‎, noun
خَٰطِـِٔين‎, noun
خَالِصَة (ḵāliṣa)‎, noun
خُرُوج (ḵurūj)‎, noun
خَصِيم (ḵaṣīm)‎, noun
خَطْب (ḵaṭb)‎, noun
خُطُوَٰت (ḵuṭuwāt)‎, noun
خَلْف (ḵalf)‎, location adverb
خِنزِير‎, noun
خَيْل (ḵayl)‎, noun
دَيْن (dayn)‎, noun
ذَا (ḏā)‎, demonstrative pronoun
رَشَد (rašad)‎, noun
رُعْب (ruʿb)‎, noun
رَقِيب (raqīb)‎, noun
زَّيْتُون (zzaytūn)‎, noun
سَاجِد (sājid)‎, adjective
سَلَم (salam)‎, noun
سَوْءَٰت (sawʾāt)‎, noun
شَّٰرِبِين (ššāribīn)‎, noun
شَاعِر (šāʿir)‎, noun
شِرْك (širk)‎, noun
شَطْر (šaṭr)‎, location adverb
صَٰغِرُون (ṣāḡirūn)‎, noun
صَٰلِح (ṣāliḥ)‎, adjective
صَدَقَة (ṣadaqa)‎, noun
صِدِّيق (ṣiddīq)‎, noun
صَيْد (ṣayd)‎, noun
ضَيْف (ḍayf)‎, noun
طَٰٓئِر‎, noun
طَرَف (ṭaraf)‎, noun
طَرِيقَة (ṭarīqa)‎, noun
ظَلَّٰم (ẓallām)‎, noun
عَدَد (ʿadad)‎, noun
عَزْم (ʿazm)‎, noun
عُسْر (ʿusr)‎, noun
عَشْر (ʿašr)‎, noun
عَطَآء (ʿaṭaʾāʾ)‎, noun
عَفُوّ (ʿafuww)‎, noun
عَلَقَة (ʿalaqa)‎, noun
غَد (ḡad)‎, noun
غُدُوّ (ḡuduww)‎, noun
غُرْفَة (ḡurfa)‎, noun
غَفْلَة (ḡafla)‎, noun
فَوْج (fawj)‎, noun
قَآئِل (qaʾāʾil)‎, noun
قَارِعَة (qāriʿa)‎, noun
قَيِّم (qayyim)‎, adjective
كَآفَّة (kaʾāffa)‎, noun
كَاتِب (kātib)‎, noun
كَرْه (karh)‎, noun
كَلْب (kalb)‎, noun
كَوْكَب (kawkab)‎, noun
لَوْح (lawḥ)‎, noun
مُبْطِلُون (mubṭilūn)‎, noun
مُتْرَفِين (mutrafīn)‎, noun
مُتَشَٰبِه (mutašābih)‎, noun
مَّحِيص (mmaḥīṣ)‎, noun
مُخْرَج (muḵraj)‎, noun
مَرْضَات (marḍāt)‎, noun
مِرْيَة (mirya)‎, noun
مُّسَمًّى (mmusamman)‎, adjective
مَسْـُٔول‎, noun
مُصْبِحِين (muṣbiḥīn)‎, noun
مُصْلِح (muṣliḥ)‎, noun
مُّطَهَّرَة (mmuṭahhara)‎, adjective
مَع (maʿ)‎, preposition
مَّعْدُودَة (mmaʿdūda)‎, adjective
مَكَانَت (makānat)‎, noun
مَلُوم (malūm)‎, noun
مُنَٰفِقَٰت (munāfiqāt)‎, noun
مُنذَرِين‎, noun
مُنزِلِين‎, noun
مُّنِير (mmunīr)‎, noun
مَهْد (mahd)‎, noun
مُهْلِك (muhlik)‎, noun
مُّوقِنِين (mmūqinīn)‎, noun
مَيْتَة (mayta)‎, noun
نَٰدِمِين (nādimīn)‎, noun
نَٰظِرِين (nāẓirīn)‎, noun
نُّبُوَّة (nnubuwwa)‎, noun
نُشُور (nušūr)‎, noun
نُفُور (nufūr)‎, noun
نِكَاح (nikāḥ)‎, noun
وَازِرَة (wāzira)‎, noun
وَاقِع (wāqiʿ)‎, noun
وُسْع (wusʿ)‎, noun
يَحْيَىٰ (yaḥyā)‎, proper noun
يَسِير (yasīr)‎, noun
أَحْبَار (ʾaḥbār)‎, noun
أَخْسَرِين (ʾaḵsarīn)‎, noun
أَرْحَم (ʾarḥam)‎, noun
أَرْذَل (ʾarḏal)‎, noun
أَزْكَىٰ (ʾazkā)‎, noun
إِسْتَبْرَق (ʾistabraq)‎, noun
أَسْلِحَت (ʾasliḥat)‎, noun
أَسِير (ʾasīr)‎, noun
أَصِيل (ʾaṣīl)‎, time adverb
أَطْهَر (ʾaṭhar)‎, noun
أَقْوَم (ʾaqwam)‎, noun
أَكْل (ʾakl)‎, noun
أَكِنَّة (ʾakinna)‎, noun
أَكْوَاب (ʾakwāb)‎, noun
ٱلَّٰٓـِٔى‎, relative pronoun
أَمَٰنَٰت (ʾamānāt)‎, noun
أَمَد (ʾamad)‎, noun
أَمْس (ʾams)‎, noun
أُمِّىّ‎, noun
ٱنتِقَام‎, noun
أَيْكَة (ʾayka)‎, noun
أَيْن (ʾayn)‎, location adverb
أَيُّوب (ʾayyūb)‎, proper noun
بَأْسَآء (baʾsaʾāʾ)‎, noun
