English	Serbian
forgery	krivotvoriti
fork	виле (f)
forty	четрдесет (četrdeset)
forward	проследити (proslediti); отпослати (otposlati)
frame	сместити (smestiti)
francium	францијум (francijum) (m)
fratricide	братоубица (n) (bratoubica)
freckle	пега (pega)
free	osloboditi 
freeway	аутоцеста (f) (autocesta)
frequency	učestalost (f); čestoća (f); čestost (f); učestanost
fridge	hladnjak (m)
friend	drug (m); drugar (m); drugarica (f); prijatelj (m); prijateljica (f)
friendship	пријатељство 
from time to time	časomice, s vremena na vreme
fuck	набити; nabiti; пунити; трпати
fuck you	jebi se
fuel	palivo (n); gorivo (n); ogrev (m); toplivo (n)
fugitive	begunac (m); begunica (f); begunka (f)
full stop	tačka (f)
fur coat	bunda (f)
gadolinium	гадолиниjум (gadolinijum) (m)
galleon	галеон (m)
gallium	галиjум (galijum) (m)
gallows	šibenica (f), vešala (f)
gambler	kockar (m)
gangrene	vučac (m)
garden	vrtnjak, povrtnjak, sad, sadnjak, posadnjak
gardener	vrtlar, sadnik
gas	plin (m)
gear	степен преноса (m) (stepen prenosa)
genealogy	rodopis (m), rodoslov (m), rodoslovlje (n)
genocide	genocid (m)
geranium	zdravnjak
germanium	германиjум (germanijum) (m)
geyser	гејзир (m)
ghost	duh (m); sablast (f); utvara (f); priviđenje (n); avet (m); avetinja (f); sen (f); upirina (f)
giant	div; gorostas
gift	поклон (m); дар (m)
gig	свирка (f) (svirka)
giraffe	жирафа
glacier	ledenjak (m), lednik (m)
gland	žlezda (f)
global warming	globalno zatopljenje (n)
glockenspiel	zvonoigra
glue	lepak, tutkalo
glutton	ždera (f)
gluttony	neumerenost, crevougodstvo, proždrljivost
gnat	mušica (f), komarac (m)
go	izaći
go away	одлази (odlazi)
goalkeeper	golman (Montenegrin)
gold	zlatnik (m)
golden eagle	zlataš (m), crni orao
goldsmith	zlatar (m), zlatarka (f)
gondola	гондола (f)
gonorrhea	гонореја (f) 
good	valjan, dobar, pouzdan
good day	добар дан; dobar dan
google	guglati
gooseberry	ogroz (m), ogrozd (m), kosmulja (f)
goshawk	jастреб кокошар
gout	kostobolja (f)
grandmother	баба (f) (baba); старамајка (f) (staramajka)
grater	trenica (f), rende (n)
gravel	шљунак (m)
great	čukundeda (m)
great spotted woodpecker	велики детлић (veliki detlić)
great tit	сеница (senica)
greed	pohlepa, gramžljivost, grabežljivost, halapljivost, srebroljublje, škrtost, požuda
green	zeleni (зелени)
green woodpecker	зелена жуња (zelena žunja)
greengrocer	пиљар (m) (piljar)
greenhouse	staklenik (m)
greylag goose	дивља гуска (f)
griffon vulture	белоглави суп (bjeloglavi sup)
grindstone	brus (m), točilo (n)
groin	препоне (f)
groom	mladoženja (m); ženik (m)
grove	луг 
growl	режати (režati)
guardian	staratelj (m); staralac (m); hranitelj (m)
guest	gost (m); gošća (f)
guilt	кривица (krivica); кривња (krivnja)
gull	галеб (galeb) (m)
gymnastics	гимнастика (f) (gimnastika)
habit	navika (f), privika (f)
hafnium	хафниjум (hafnijum) (m)
hajduk	хајдук (m); hajduk (m)
hallow	светац (m) (svetac)
hammock	visaljka (f)
handicapped	хендикепиран (m) (hendikepiran)
handwriting	rukopis (m)
handy	приручан (m); приручна (f); приручно (n)
happily ever after	и живели су срећно до краја живота (and they lived happily till the end of (their) life)
harbour	pristanište (n)
hard drive	тврди диск (m) (tvrdi disk)
hardware	sklopovlje, čvrstovlje, tvrdovlje, strojevina, tvrdotvorina
hardworking	trudoljubiv (m), trudoljubiva (f)
harmony	sazvučje (n)
harrier	zečar
harrow	drljača (f)
harvestman	putnik (m), pauk kosac (m), kosac (m)
hassium	хасиjум (m); hasijum (m)
hatter	klobučar (m)
haystack	стог (m); пласт (m)
headache	glavobolja (f)
headmaster	director (m)
health	здравље (zdravlje) (n)
health care	zdravstvo
hearse	odar (m)
heaven	raj (f)
hedge	živica (f), živičnjak (m)
hegemony	hegemonija (f), nadvlada (f)
height	visina (f)
heir	naslednik (m); naslednica (f)
hello	хало#Serbian'хало? / halo#Serbian'halo?
helm	kormilo (n)
helmet	šlem; kaciga
heptagon	sedmougao, sedmokut
heptagonal	sedmougaoni, sedmokrak
herald	glasnik, vesnik
herbivore	biljožder, biljojedac, biljojed
herd	stado (n)
heretic	krivoveran (m), krivoverna (f)
heritage	nasledstvo (n)
hermaphrodite	hermafrodit, dvopolac (m), dvopolnik (m)
hernia	kila (f)
hero	uzor
hi	ćao; zdravo
hide and seek	žmura (f), žmurka (f)
hind	кошута (košuta)
hip	kuk
hippopotamus	povodni konj (m), nilski konj (m)
hive	кошница (f)
holiday	odmor (m), raspust (m) ('of students')
holmium	холмиjум (holmijum) (m)
hometown	родно место (n)
homicide	ubica
homogeneity	istorodnost (f)
honor	čast (f)
honour	čast (f)
horsepower	konjska snaga 
horseshoe	потковица (f)
horticulture	cvećarstvo, vrtarstvo
hose	crevo (n); црево (n)
hospitality	gostoprimstvo
hostage	taoc, talac
hourglass	peščanik (m)
housewife	domaćica (f)
hover	лебдети
how are you	како си?, kako si? ('informal singular'); како сте?, kako ste? ('formal or plural')
however	međutim
hubris	oholost (f), visokomerje (n)
hug	загрљај (zagrljaj)
humanism	хуманизам
humiliation	понижавање (n) (ponižavanje)
humility	poniznost, skromnost, smernost, skrušenost
hundred	сто (sto)
hunger	gladovati
hungry	гладан (gladan)
hurt	рањен (m) (ranjen); повређен (m) (povređen)
hymen	čednjak, devičnjak
hymn	slavopojka (f), slavopev (m), slavopevka (f)
hypocrite	licemer (m), licemerka (f), dvoličnik (m), dvoličnjak (m), dvoličnjakinja (f), himbenik (m)
icon	иконица (f) (ikonica)
idea	pomisao (f); zamisao (f)
idiot	абдал (m)
igneous rock	магматске стене
ignorance is bliss	Незнање је врлина
ikebana	икебана (ikebana)
illiteracy	nepismenost (f)
illness	болест (bolest)
illumination	prosvetljenje (n)
illusion	opsena (f)
image	predstava
imagination	mašta (f)
immigrant	doseljenik (m); doseljenica (f)
import	: uvoziti
in fact	у ствари (u stvari)
in the land of the blind, the one	у земљи слепих, ћорави су краљеви
independent	samostalan (m), samostalna (f), samostalno (n), nezavisno (n), nezavisan (m), nezavisna (f)
indigenous	urođen
indium	индиjум (indijum) (m)
individual	pojedinac (m), pojedinka (f)
industrious	trudoljubiv (m), trudoljubiva (f), marljiv (m), marljiva (f)
infallible	nepogrešiv
infanticide	čedoubistvo
infinity	beskonačnost (f)
influential	утицајан#Serbian'утицајан, uticajan#Serbian'uticajan
information	informacija (f)
inhabitant	stanovnik (m), stanovnica (f), žitelj (m), žiteljka (f)
inheritance	nasledstvo (n)
innumerable	без броја (bez broja); безбројно (n) (bezbrojno)
insanity	лудило (ludilo)
insectivore	kukcožder, kukcojedac, kukcojed
inside	unutrašnjost; unutra
inspiration	nadahnuće (n), zadahnuće (n), udahnuće (n)
institute	zavod
institution	институција (f) (institucija)
instrument	алат (m); alat (m) 
instrumental case	инструментал (instrumental) (m)
insulator	изолатор (m) (izolator)
insurgent	побуњеник (m) (pobunjenik)
intelligent design	inteligentni dizajn (m)
intercourse	polni snošaj
interest	kamata (камата)
internal combustion engine	motor sa unutrašnjim sagorevanjem (m)
intuition	predosećaj (m), domišljaj (m)
invertebrate	beskičmenjak (m), beskičmen (m)
iodine	jод (jod) (m)
ion	јон (m) (jon)
ionization	јонизација (f) (jonizacija)
iridium	иридиjум (iridijum) (m)
iris	perunika (f)
islander	ostrvljanin (m), ostrvljanka (f), otočanin (m), otočanka (f)
isthmus	zemljouz
ivy	bršljan (m)
jackass	idiot
janissary	јањичар, јanjičar
jeans	kravarke
jester	šutnik, šašavac, dvorska luda, luda
jet	mlaz (m)
jewellery	nakit (m)
jigsaw puzzle	slagarica (f), slagalica (f)
joker	vragolan, šutnik, šaljivac
journalist	novinar (m), novinarka (f), dopisnik (m), dopisnica (f), izveštač (m)
jump	skok
junk	отпад (otpad)
just	skoro
kestrel	соко; (m)
kidnap	otmica (f)
kin	srod (m)
kind	prijatan, ljubazan, dobrodušan
kindergarten	вртић (m) (vrtić); обданиште (m) (obdanište); забавиште (m) (zabavište)
kindness	ljubaznost dobrota, milosrđe, čovekoljublje
kinship	srodstvo (n)
kiosk	киоск (m); трафика (f)
kiss	пољубац/poljubac (m)
kite	lunja (f)
knee	колено (n) (koleno)
knowledge is power	знање је моћ (znanje je moć)
krypton	криптон (kripton) (m)
label	nalepnica
lace	чипка (f)
ladle	сусак (m) (susak)
lamp	svetiljka (f); lampa (f)
lamprey	zmijuljica (f)
land	земља; zemlja
landlocked	континентални
landlord	stanodavac
landslide	odron (m), osulina (f)
language	језик (m); jezik (m)
lanthanum	лантан (lantan) (m)
larch	ариш (ariš)
large	велик; velik
last night	sinoć, preksinoć ('night before last night'), naksinoć ('two nights before last night')
later	kasnije; касније
lathe	strugalica (f), strug (m)
lava	лава (f)
law	zakon (m)
lawn	travnjak (m)
lawnmower	kosilica (f)
lawrencium	лавренциjум (lavrencijum) (m)
layman	svetovnjak (m)
lead	олово (n); olovo (n)
leash	поводац (m) (povodac)
least weasel	ласица (lasica)
leech	пијавица (f)
legend	gatka (f), kaža (f)
leisure	слободно време (n) (slobodno vreme)
length	дужина
lens	sočivo (n)
leper	gubavac (m), gubavica (f)
leprosy	guba (f); prokaza (f)
lesser spotted woodpecker	мали детлић; mali detlić
letter	писмо (n) (pismo)
level	ниво (m) (nivo)
lever	poluga (f)
liberty	sloboda (f) (слобода)
licorice	sladić (m)
lieutenant	poručnik (m)
life	življenje (n)
lifeboat	чамац за спасавање (čamac za spasavanje)
lighter	upaljač (m)
lightning rod	gromobran, munjobran, gromosvod
like father, like son	какав отац, такав син (kakav otac, takav sin)
lime	(n) (vapno)
limestone	кречњак (krečnjak) (m)
linen	platno, prten
lioness	lavica (f)
liquorice	sladić (m)
listen	чути; čuti
literacy	pismenost (f)
literally	bukvalno; doslovno; tacno tako
litter	nosiljka (f)
little owl	кукумавка (kukumavka)
loaf	vekna; veknica
loan	pozajmiti
locative case	локатив (lokativ) (m)
loin	hrbat (m), hrptenjača (f)
lollipop	lizalica (f)
long	мала ушара
loquacious	pričljiv (m), pričljiva (f), pričljivo (n)
love	voleti; волети; ljubiti; љубити
love triangle	ljubavni trougao
lover	љубитељ (m) (ljubitelj)
lucky	срећaн (srećan)
luggage	prtljag (m)
lullaby	uspavanka (f), uljuljka (f), ukolevka
lumberjack	drvoseča (m)
lunch	ručak (m); obed (m)
lust	pohota (f)
lutetium	лутециjум (lutecijum) (m)
macroeconomics	макроекономија/makroekonomija
magazine	časopis (m), vremepis (m)
magma	магма (f)
magnificent	veličanstven
magpie	сврака (f) (svraka)
maid	deva (f); devojka; moma (f)
mail	послати (poslati)
mailman	listonoša
malice	pakost, zloba, zlonamernost, zlurad
mallard	патка глувара (patka gluvara)
mallow	slez (m)
manage	постићи
manager	пословођа (m) (poslovođa)
manual	priručnik (m)
manuscript	рукописни (rukopisni); руком писани (rukom pisani)
map	zemljovid
march	koračati
marigold	neven (m)
market	trgovina (f)
marrow	moždina (f), koštana srž (f)
marshmallow	бели слез (m)
mask	кринка (f); маска (f); крабуља (f); ličina (f); obrazina (f)
master	газда (m) (gazda)
masterpiece	ремек-дело (n) (remek-delo)
masturbation	rukoblud, samoblud, drkanje 'vulgar'
mathematics	математика
matter	tvar (f)
mea culpa	moja greška
mead	medovina (f)
meal	оброк (obrok) (m), jelo (n)
measure	mera (f)
mechanism	механизам (m) (mehanizam)
medicine	lek (m); zdravilo (n)
meeting	sret (m), sretaj (m), susret (m)
meitnerium	мајтнеријум (majtnerijum) (m)
mendelevium	мендељевиjум (mendeljevijum) (m)
menstruation	mesečnica (f), менструација (f)
menu	jelovnik (m)
meow	мјаукати (mjaukati); мјаукнути (mjauknuti)
mercury	жива (živa) (f)
merry	вртешка (f) (vrteška); обртаљка (f) (obrtaljka)
message	poruka (f); poslanica (f)
messenger	glasnik (m), glasnica (f)
metastasis	splavina (f)
metempsychosis	метемпсихоза (f)
methionine	метионин (m)
metrosexual	метросексуалан
middle finger	srednjak (m), srednji prst (m)
middle of nowhere	усред ничега (usred ničega)
midwife	бабица (babica)
milestone	prekretnica (f)
millennium	тисућлеће (n), tisućleće (n)
millstone	žrvanj (m)
mind	um (m); razum (m)
mineralogy	минералогија (f) (mineralogija)
minion	љубимац (ljubimac)
mink	lasica (f)
mint	нана (nana)
misanthrope	čovekomrzac (m)
miscarriage	pobačaj (m)
misogynist	ženomrzac (m)
mist	sumaglica
mistletoe	имела (f)
mistress	газдарица (f) (gazdarica); господарица (f) (gospodarica)
mitochondrion	митохондрије, (mitohondrije) (f)
mixer	mešalica (f), mešalo (n), sokovnik (m) (italbrac'juicer)
mixture	smesa (f); mešavina (f)
moat	шанац (m)
mold	plesan, buđa
molybdenum	молибден (molibden) (m)
moment	trenutak (m); časak (m)
monk	monah (m); redovnik (m)
monocle	naočnik (m)
monster	zver (f); zverka (f); čudovište (n); neman (f)
moo	мукање (n) (mukanje)
moon	месец (m)
moonrise	izlazak meseca
morality	етика (etika)
more or less	manje-više
morning star	јутарње звезде
mortal	smrtan, zemnik
mortality	smrtnost (f)
mortar	stupa (f); avan (m)
mosquito	komarac (m); komarica (f)
moss	mah (m); mahovina (f)
mostly	prevashodno, превасходно
mother	mat; mati; mater; majka (f); roditeljica (f); rođenica (f)
motherboard	матична плоча (f) (matična ploča)
motherfucker	бабојебац (babojebac), зајебант (zajebant)
mountainous	gorovit
moustache	brk (m's), brkovi (m'p)
mucous membrane	cлузокожа (f), слузница (f)
mule	mazga
multiverse	мултиверзум (multiverzum) (m)
musical	glazbenski, glazbenik
mustard	gorčica (f), slačica (f)
myopia	kratkovidost (f)
myrrh	измирна (f)
mysterious	тајанствен
nakedness	golotinja (f), goloća (f)
nap	дремка (f) (dremka)
napkin	ubručić (m), ubrusac (m), rubac (m)
narcissism	samodopadljivost, samoljublje
native	starosedeoc, samorodan
natural	prirodno; normalno
natural language	природни језик (m)
nature	narav; priroda
nebula	маглина (f) (maglina)
necromancy	некромантија (f)
negligible	занемарљив (m) (zanemárljiv)
negotiation	pregovor (m)
neigh	њиштати (njištati)
neither	niti, ni
neodymium	неодиjум (neodijum) (m)
neon	неон (m) (neon)
nephew	bratanac (m); sinovac (m); sestrić (m); nećak (m)
neptunium	нептуниjум (neptunijum) (m)
nerve	živac (m)
nevertheless	ipak
newborn	novorođenče, rođenče
nickel	никал (nikal) (m)
niece	bratanica ('fraternal'), sinovka ('fraternal'), sestričina ('sororal'), nećaka, nećakinja, bratičina (f)
nigh	blizu
night owl	docnogledac
ninety	деведесет (devedeset)
niobium	ниобиjум (niobijum) (m)
nipple	sisak (m); bradavica (f)
nitrogen	азот (m) (azot)
no smoking	забрањено пушење (zabranjeno pušenje)
nobelium	нобелиjум (nobelijum) (m)
nobility	племство (n) (plemstvo); властела (f) (vlastela)
noise	шум (šum) (m)
non	невладина организација (f)
nonviolence	nenasilje (n)
noodle	резанац (m) (rezanac)
noon	подне (podne) (n)
nostril	nozdrva (f), nosnica (f), nozdra (f)
notebook	писанка (pisanka) (f), бележница (beležnica) (f)
nouveau riche	skorojević (m), skorojevićka (f)
nude	go; nag
nudity	nagota (f), nagost (f)
nudiustertian	prekjuče, nakjuče ('two days before yesterday')
number	broj (m), čislo (n)
numerator	бројилац (m) (brojilac)
numismatics	нумизматика (f) (numizmatika)
nutcracker	krcaljka, krckalica, krcalica
nymph	rusalka (f), vila (f)
oak tree	храст (m)
oar	veslo, vesla (p)
obesity	гојазност
obsession	opsednutost (f)
occult	окултизам
ochre	oker
octagon	осмоугао (m) (osmougao)
offer	понуда (f)
offside	ofsajd (m)
oink	грок (grok)
ointment	melem (m)
old age	starost (f)
omnipotence	svemoć; svemoguć; svemogućnost (f)
omnipotent	svemoguć; svemoćan
omnipresent	sveprisutan
omniscience	sveznanje, sveznalaštvo
omnivore	svaštožder, svaštojedac, svaštojed
opera	опера (f) (opera)
or	или ({{t)
orbit	kružnica (f)
orc	орк (m) (ork)
orchard	voćnjak (m)
orchid	orhideja (f), kaćun (m)
original	свеж (svež)
oriole	zlatka (f)
ornithopter	орнитхоптер (ornithopter)
orphanage	sirotište (n)
orthodoxy	православље (pravoslavlje); ортодоксија
orthography	pravopis (m)
osmium	осмиjум (osmijum) (m)
ostrich	ноj (noj)
outer space	vasiona (f), vaseljena (f), svemir (m)
overmorrow	preksutra, naksutra ('two days after tomorrow')
ovum	jajašce (n)
oxygen	кисеоник (m) (kiseonik)
pacifier	лажа (f) (laža)
package	pošiljka (f)
paint	risovanje
painter	сликар (m) (slikar); сликарка (f) (slikarka)
pair of compasses	šestar (m)
palanquin	nosiljka (f)
palate	nepce (n)
pale	bled
palladium	паладиjум (m); paladijum (m)
pancreas	гуштерача (f)
pant leg	nogav
pantry	ostava (f)
parade	поворка (f) (povorka); парада (f) (parada)
paradox	парадокс (m)
parasite	gotovan (m), gotovanka (f)
parsley	першун
part	razdeljak (m)
partridge	jаребица (f) (jarebica)
party	slaviti; proslaviti
password	javka (f), geslo (n), lozinka (f)
past	prošli (m), prošla (f), próšlo (n)
pasta	testenina (f)
patience	krotost (f), trpeljivost (f), strpljenje (n)
patiently	стрпљиво
patriot	domoljub (m), domoljubac (m), rodoljub (m), rodoljubac (m)
pause	stanka
peace	cпокоj (m); pokoj (m)
pedestrian	пешак (m)
pelvis	karlica (f), zdelica (f)
pencil	olovka (f); pisaljka (f)
peony	božur (m)
percent	posto; odsto; postotak (m)
perfection	savršenstvo (n)
perjury	krivokletstvo, krivorečstvo
permanent	dugotrajan, trajan
persimmon	персимон (persimon); каки (kaki)
person	особа (osoba) (f), човек (čovek) (m), личност (ličnost) (f)
petal	latica (f)
phenomenon	pojava (f)
philanthropy	čovekoljublje, čovekoljubivost
philosophy	filozofija (f) (филозофија)
phobia	fobija (f)
phoenix	žar-ptica (f)
phosphorylation	fosforilacija (f)
photograph	slika (f)
photophobia	фотофобија (fotofobija)
pianist	пијаниста (m) (pijanista)
pickaxe	kramp (m), budak (m), pijuk (m), nadžak (m)
picture	slika (f); obrazac (m)
piece	parče (n); deo (m); čast (f); komad (m)
piglet	prase (n), svinjče (n), odojak (m)
pigsty	svinjac (m)
pilgrim	hodočasnik (m), hodočasnica (f), poklonik (m), poklonica (f)
pilgrimage	hodočašće (n), hodočast (f)
pillar	stup (m), stub (m), stubac (m), stupac (m)
pimp	svodnik, poslovodnik
pimple	бубуљица (f) (bubuljica); prišt (m)
pin	клин (m) (klin)
pine	bor (m)
placate	umiriti; умирити; smiriti; смирити
plane	strug; rende
plank	планка (f) (planka); фосна (f) (fosna); талпа (f) (talpa)
plant	raslina (f), biljka (f)
plate	pločast, tanjirast
plateau	visija (f), visoravan (f), zaravan (f)
platinum	платина (platina) (f)
platypus	kljunar (m)
please	zadovoljiti; ugoditi
pleasure	задовољство (n) (zadovoljstvo); ужитак (m) (užitak)
plectrum	трзаљка (f); трзалица (f)
pledge	zavet (m)
plug	čep (m), zapušač (m)
plutonium	плутониjум (plutonijum) (m)
pocketknife	britva (f)
poet	pesnik (m); pesnikinja (f)
polar bear	поларни медвед (m), polarni medved (m)
polecat	твор (-мрки) (tvor (-mrki))
policeman	milicioner (m); milicionerka (f)
polonium	полониjум (polonijum) (m)
polyandry	mnogomuštvo (n); višemuštvo (n)
polygon	mnogokut (m), mnogougao (m), višekut (m), višeugao (m)
poor	siromašan (m); ubog (m); bedan (m)
porcupine	dikobraz (m)
pork	svinjetina (f)
portable	nosivo, nosiv
portmanteau	кожни кофер (m) (kožni kofer)
portmanteau word	кованица (f) (kovanica)
postmodernism	постмодернизам (m)
pot calling the kettle black	ругала се шерпа лонцу широка му уста
potassium	калијум (m) (kalijum)
powder	prašak (m); prašina (f); prah (m)
practice makes perfect	вежба чини мајстора (vežba čini majstora)
praseodymium	празеодиjум (prazeodijum) (m)
prayer	molitva (f)
precisely	tačno; тачно
prejudice	предрасуда (f) (predrasuda)
premonition	predosećaj
presence	prisustvo (n)
prey	plen (m)
priest	sveštenik (m); pop (m); svećenik (m) 
prime number	прост број (m)
primer	bukvar (m)
prince	краљевић (m) (kraljević); царевић (m) (carević)
printer	štampač (m)
prisoner	zarobljenik; uznik
proactive	proaktivan
probably	verovatno
progenitor	претеча (m)
progeny	potomstvo (n)
program	програмирати
promethium	прометиjум (prometijum) (m)
property	власништво (n) (vlasništvo); посед (m) (posed); својина (f) (svoijna)
prophet	пророк (prorok)
prosperity	imućstvo (n)
prostate	korenjača (f)
protactinium	протоактиниjум (protoaktinijum) (m)
protein	belančevina
protest	протест (m) (protest)
proverb	poslovica (f)
province	паланка (palanka); област (oblast)
prow	pramac (m)
pseudo	nadri-
pseudoscience	nadrinauka (f)
psychokinesis	telekineza, телекинеза
psychosomatic	психосоматски (m)
ptarmigan	snežnica
pubis	tidna kost (f); preponjača
puck	pločica (f)
pumice	пловућац (m)
pumpkin	bundeva (f); tikva (f)
pupil	zenica (f); zena (f)
purr	предење (n) (predenje)
pursue	гонити (goniti)
putsch	prevrat (m)
pâté	паштета (f)
quail	препелица (prepelica) (f)
quantity	količina (f)
quarry	kamenolom
quay	пристаниште (m); док (m); мол (m); кеј
queen bee	матица (f) (matica)
quilt	poplun (m)
quiz	квиз (m) (kviz)
quote	navod
rabies	беснило (n) (besnilo)
radioactive fallout	нуклеарне падавине
radius	žbica (f)
radon	радон (m) (radon)
rage	ljutost, goropadnost, goropad, jarost, bes, besnost
rain	kišiti
raise	podici
rake	grabulja (f)
random	nasumice, proizvoljno
rattle	zvečka (f)
rattlesnake	zvečarka (f)
raven	гавран (gavran)
raw material	сировина (f) (sirovina)
razor	brijač (m)
ready	spreman (m), spremna (f), spremno (n)
real	pravi (m); prava (f); pravo (n)
reality	стварност (f) (stvarnost); реалност (f) (realnost)
realize	ostvariti
rebellion	ustanak (m); buna (f)
rebirth	preporod (m)
recent	недавни (nedavni)
reception	prijem
red deer	jелен (jelen)
red dwarf	црвени патуљак (m) (crveni patuljak)
reflection	odbles (m), odsjaj (m), odblesak (m), odraz (m)
regicide	kraljoubica, careubica
region	oblast
reindeer	irvas (m), sob (m)
representative	poslanik
reptile	гмаз (m) (gmaz); гмизавац (m) (gmizavac)
requiem	opelo
residence	obitavalište; boravište; stan; prebivalište; stanište
resistor	отпорник (m) (otpornik)
resource	средство (m) (sredstvo); ресурс (m) (resurs)
resurrection	vaskrsenje (n), uskrsnuće (n)
retina	mrežnjača (f), mrežnica (f)
revenge	освета (f); (f) (f)
rewind	premotati
rhenium	рениjум (renijum) (m)
rhodium	родиjум (rodijum) (m)
rhododendron	sleč (m)
rhyme	slikovati; srokovati
rib	ребро (n) (rebro)
ribbon	pantljika (f)
rich	bogat (m), imućan (m)
riddle	zagonetka (f)
rifle	puška (f)
right	ispravno (n) (исправно)
right angle	прави угао (m) (pravi ugao)
right now	управо сада (upravo sada)
rim	rub, ivica, obod, naplatak (of wheel) (m), gobela (of wheel) (f)
ring finger	prstenjak (m)
rite	obred (m), otajstvo (n)
ritual	obred (m)
river	reka 
robe	odora (f), odežda (f)
rock	drmati, uzdrmati
rock dove	дивљи голуб (divlji golub) (m)
rocking chair	ljuljača (f)
rod	prut, štap, rozga, šiba, batina
roe deer	срна (srna)
roentgenium	рентгенијум (rentgenijum) (m)
role	uloga (f)
roller skate	koturaljka (f's), koturaljke (f'p)
room	soba (f); prostorija (f); odaja (f)
rouge	rumenilo (n), zarudak (m), crvenilo (n)
roundabout	krugotok (m)
rowan	oskoruša (f)
rub	trljati, ribati, očešati, trti, tare
rubidium	рубидиjум (rubidijum) (m)
ruby	рубин (m) (rubin)
rue	rutvica (f)
ruin	ruševina (f), podor (m), podorina (f), razvalina (f), provalina (f), razval (m), razvala (f)
run	proticati; strujati
ruthenium	рутениjум (rutenijum) (m)
rutherfordium	ратерфордиjум (raterfordijum) (m)
sack	врећа (f) (vreća)
sacrilege	светогрђе (n) (svetogrđe)
sacrum	krstača (f)
saddle	sedlo; sedište
sail	jedrenje
sailboat	кутер (m) 
sailing ship	једрењак (m)
samarium	самариjум (samarijum) (m)
sandpit	; peščara (f)
saucepan	šerpa, lonac, šerpenja
savage	divlje
saying	poslovica, izreka (f)
scale	stupnice
scalp	vlasište (n), vlasnik (f)
scandal	sablazan (f)
scandium	скандиjум (skandijum) (m)
scapula	lopatica (f), plećka (f)
scarecrow	strašilo 
sceptre	žezlo (n)
schadenfreude	злорадoст (f) (zloradost); злyрад (f) (zlurad)
school	јато (n) (jato)
schoolchild	ученик (m) (učenik); ученица (f) (učenica)
schooner	шкуна (f)
scimitar	ханџар
scream	vrisak (m)
screech owl	kukuvija (f)
screen	ekran (m)
screwdriver	odvrtka (f)
scribe	pisar (m), pisarica (f)
sculpture	вајарство (n) (vajarstvo)
seaborgium	сиборгиjум (siborgijum) (m)
seagull	galeb (m)
seal	tuljan
seaman	mornar (m); pomorac (m); moreplovac (m)
season	doba (n)
sebaceous gland	salovnica (f)
secretly	krišom, tajom
sediment	талог (m) (talog)
seductress	заводница (f) (zavodnica)
see	схватити (shvatiti)
seesaw	klackalica (f)
selenium	селен (selen) (m)
self	аутопортрет (m)
semelfactive	једнократни (jednokratni) (m)
sentence	реченица (f)
sequence	niz; redosled
serenade	podoknica (f)
serf	kmet (m), kmetica (f)
sergeant	vodnik (m)
service	експлоатација (eksploatacija) (f)
sesame	сусам (m)
seventy	седамдесет (sedamdeset)
shadow	senka (f), sena (f) (poetic)
shalom	шалом
shard	krhotina
shawl	podbradača (f), podbradka (f)
she	вучица (f)
shear	исећи (iseći)
shin	golenjača (f), gnjat (m), golen (m)
shipyard	brodogradilište (n)
shoe	обућа (f); ципела (f); патика (f)
shogun	шогун (m) (šogun)
shuttlecock	лоптица (f) (loptica)
sickness	bolest (f)
side	stranica (f)
sight	vizir (m)
silicon	силицијум (m) (silicijum)
silkworm	svilobuba (f), sviloprelja (f)
silver	srebrnina (f), srebrnarija (f)
silversmith	kujundžija (m)
sink	sudopera (f)
siren	sirena (f)
sister	svast (f); svastika (f); svakinja
sit down	sesti
site map	mapa sajta
sixty	шездесет (šezdeset)
skater	klizač (m)
skeleton	kostur (m); okostje (n)
sketch	nacrt; skica
skylark	по љска шева
slaughter	покољ (m) (pokolj); клање (n) (klanje)
slave	роб (m) (rob)
sled	sanke, saonice, saone, sanjke, sanje
sleepy	pospan, sanjiv, dremljiv
sleet	susnežica (f)
slice	kriška (f)
sling	praćka (f), praća (f)
sloop	слуп (m)
sloth	лењост (f)
sluice	ustava (f) 
slumber	dremež (m)
smith	kovač (m)
smuggle	krijumčariti
snack	zakuska (f); užina (f)
snob	сноб (m)
snow leopard	снежни леопард (m)
snowflake	snegulja, sneguljica
sofa	ležaj (m)
software	softver
soil	земља (f)
soldier	војник (m) (vojnik); војникиња (m) (vojnikinja); војнослужац (m) (vojnoslužac)
solid	čvrsto, kršno, krupno
solipsism	солипсизам (m) (solipsízam)
solstice	suncostaj (m)
somehow	nekako
something	неко (n); (n) (n) (n)
something is rotten in the state of Denmark	има нешто труло у држави Данској (ima nešto trulo u državi Danskoj)
sorcerer	vrač (m); vračar (m); vračara (f); vračarica (f); bajač (m); bajačica (f); bajalica (m)
sorrel	kiseljak (m)
sorry	molim?
soup	supa (f); čorba (f)
sour cream	pavlaka, vrhnje, mileram
sow	krmača (f), prasica (f)
sow the wind, reap the whirlwind	ко сеје ветар, жање олују (ko seje vetar, žanje oluju)
sparrow hawk	кобац
speak of the devil	ми о вуку (mi o vuku)
spear	копље (n) (koplje)
speed of sound	брзина звука (brzina zvuka) (f)
spell	sricati
spelt	прапшеница (f) (prapšenica)
spiderweb	paučina (f)
spindle	vreteno (n)
spinster	babadevojka (f)
spiral	спирала (f) (spirala)
spirit	alkohol (m)
spirit level	Расположење
spittoon	pljuvačnica (f)
spleen	слезина (f); slezina (f)
