Scottish	﻿English
mil#Scottish Gaelic'mil (f)	honey
onair (f)	honor
onair (f)	honour
ladhar (m); ìne (f)	hoof
cromag (f); dubhan (m)	hook
dòchas (m)	hope
connspeach (f)	hornet
drùiseil	horny
each	horse
crudha (m)	horseshoe
taigh-leighis (m); taigh-eiridinn (m); taigh-tinnis (m); ospadal (m)	hospital
teth	hot
taigh-òsda (m)	hotel
uair (f)	hour
taigh (m)	house
abair	how
ciamar a tha thu 	how are you
cia mheud	how much
dè; e 	how much does it cost
ge-tà	however
daonnaireachd (f)	humanism
ceud (m)	hundred
acras (m)	hunger
sealg (f)	hunt
doineann (f), saighnean (m)	hurricane
fear-cèile (m); fear-pòsda (f)	husband
haidreagain	hydrogen
maighdeannas (f), òigheachd (f)	hymen
eigh (f); deigh (f)	ice
reòiteag (f); reòtagan (m)	ice cream
eigh-bheinn (f)	iceberg
caisean-reòta (m)	icicle
beachd (m); smaoin (f); beachd-smaoin (f)	idea
gnàthas-cainnt (m)	idiom
burraidh (m)	idiot
ma#Scottish Gaelic'ma, nan#Scottish Gaelic'nan, (subjunctive)	if
leig seachad	ignore
tinn	ill
trioblaid (f); galar (m); tinneas (m); euslaint (f)	illness
dealbh (m'f)	image
anns a' bhad; sa bhad	immediately
inimrich (f); imrich a-steach (f)	immigration
do-dhèanta	impossible
ann an; ann am; anns	in
neo-eisimeileach	independent
clàr-amais (m)	index
indiam	indium
cnatan mòr (m)	influenza
cron (m)	injury
dubh (m); inc (m)	ink
meanbh-fhrìde (f); frìde (f); biastag (f)	insect
bacadh-cadail (m)	insomnia
suim (f)	interest
inntinneach	interesting
eadarnàiseanta	international
caolan (m), greallach (f), mionach (m), innidh (f)	intestine
ìodain	iodine
iridiam	iridium
iarann (m)	iron
tha	is
eilean (m); innis (f)	island
e 'm non-emphatic', esan 'm emphatic', i 'f non-emphatic', ise 'f emphatic'	it
cadhag (f); cathag (f)	jackdaw
cosnadh (m); obair (f); dreuchd (f); car (m)	job
naidheachdair (m); neach-naidheachd (m)	journalist
slighe (f); cuairt (f); turas (m); taisteal (m)	journey
àigh (m); sogan (m)	joy
britheamh (m)	judge
sùgh (m)	juice
leum	jump
aiteann (m)	juniper
cangaru (m)	kangaroo
speireag ruadh (f)	kestrel
meur (f)	key
meur-chlàr (m)	keyboard
breab	kick
dubhag (f)	kidney
marbh, cuir gu bàs	kill
mada-chuain (m); cana (m)	killer whale
cilemeatair (m)	kilometre
gnè (f), seòrsa (m)	kind
rìgh (m)	king
rìoghachd (f)	kingdom
pòg (f)	kiss
cidsin (m)	kitchen
iteileag (f)	kite
piseag (f)	kitten
glùn (f)	knee
sgian (f)	knife
ridire (m)	knight
snaidhm (m)	knot
bi eòlach air	know
fios (m)	knowledge
criopton	krypton
deuchainn-lann (m); obair-lann (m)	laboratory
àradh (m)	ladder
daolag bhreac dhearg (f)	ladybird
uan (m)	lamb
talamh (m), tìr (f)	land
cainnt (f)	language
lantanam	lanthanum
learag (f)	larch
tomadach	large
uiseag (f)	lark
deireannach; mu dheireadh	last
a-raoir	last night
an-uiridh	last year
dèan gàire	laugh
làirinciam	lawrencium
leisg	lazy
luaidhe	lead
ceannard (m)	leader
duilleag (f)	leaf
leum	leap
bliadhna-leum (f)	leap year
ionnsaich	learn
neas bheag	least weasel
fàg	leave
creamh-gàrraidh (m)	leek
ceàrr; clì	left
cas (f)	leg
liomaid (f)	lemon
fad	length
leasbach (f)	lesbian
leasan (m)	lesson
leig le	let
litir (f)	letter
faclaireachd (f)	lexicography
saorsa (f)	liberty
leabharlann (f)	library
imlich	lick
mullach (m)	lid
laigh	lie
beatha (f)	life
lioft (m)	lift
solas (m); soillse (f)	light
bolgan (m)	light bulb
dealanach (m)	lightning
iomall (m)	limit
cainntear (m); cànanaiche (m); teangaiche (m); teangair (m)	linguist
leòmhann (m)	lion
bile (f)	lip
liosta (f)	list
èisd	listen
litreachas (m)	literature
litiam	lithium
beagan	little
lùdag (f)	little finger
fuirich; còmhnaich	live
grùthan (m); adha (m)	liver
seòmar-suidhe (m)	living room
laghairt; dearc-luachrach (f)	lizard
giomach (m)	lobster
ionadail	local
glas (f)	lock
comhachag-adharcach (f)	long
bi coltach	look
lorg; sir; iarr	look for
caill	lose
mial (f)	louse
gràdh neo-mheasarra (m), leannanachd (f)	love
cuspair (m)	lover
ìosal; ìseal	low
flodach	lukewarm
òran tàlaidh (m)	lullaby
luitèitiam	lutetium
lioncs (m)	lynx
inneal (m)	machine
rionnach	mackerel
às a ciall (f), às a chiall (m)	mad
iris (f); ràitheachan (m)	magazine
maignèisiam	magnesium
magnait (m)	magnet
posta (m)	mailman
coirce Innseanach (m)	maize
dèan	make
duine (m)	man
mangaineis	manganese
buachar (m); leasachadh (m)	manure
iomadh	many
map (m); mapa (m)	map
marmor (m)	marble
làir (f)	mare
margadh (m); fèill (f)	market
pòsadh (m)	marriage
pòsda; pòsta	married
lèana (m); boglach (f)	marsh
martair (m)	martyr
fireann	masculine
sgàile (f)	mask
brod	masturbate
brodadh (m); fèin-bhrodadh (m)	masturbation
lasadan (m)	match
piuthar-màthar (f)	maternal aunt
seanair màithreil (m)	maternal grandfather
bràthair-màthar (m)	maternal uncle
matamataig	mathematics
's dòcha; 's mathaid	maybe
gam	me
meadh (m)	mead
lèana (m)	meadow
biadh (m)	meal
feòil (f)	meat
eòlas-leigheas (m)	medicine
tachair	meet
coinneamh (f)	meeting
mèitneiriam	meitnerium
fonn (m); port (m); mànran (m)	melody
cuimhne (f)	memory
meindilèiviam	mendelevium
fuil-mhìos (f)	menstruation
miamha	meow
airgead-beò (m)	mercury
maighdeann-mhara (f)	mermaid
fios (m)	message
cor (m); modh (m); dòigh (f)	method
meadhan (m)	middle
gunna fada (m)	middle finger
meadhan-oidhche (m)	midnight
muime (f), bean-ghlùine (f)	midwife
mìle (f)	mile
bleoghainn	milk
banarach (f), banchaig (f), nighean-bhleoghainn (f)	milkmaid
muileann (m)	mill
billean	milliard
millean (m); muillean (m)	million
aire (f)	mind
agamsa; leamsa	mine
ministear (m)	minister
mionaid (f)	minute
mìorbhail (f)	miracle
sgàthan (m)	mirror
ionndrainn	miss
Maighstir (m)	mister
uil-ìoc (m)	mistletoe
nodha; ùr-nodha	modern
famh (m)	mole
molaibdeanam	molybdenum
greis (f); mòmaid (f)	moment
manachainn (f)	monastery
airgead (m); airgiod (m)	money
manach (m)	monk
uile-bheist (m)	monster
mìos (m)	month
gealach	moon
madainn (f)	morning
mosg	mosque
mosgìoto (m)	mosquito
còinneach (f)	moss
leòman (m)	moth
màthair-chèile	mother
beinn (f); sliabh (m)	mountain
luch (f)	mouse
mustais (f)	moustache
beul (m)	mouth
gluais	move
clàbar (m)	mud
mamaidh (f), màmag (f)	mum
mort; murt	murder
murtair (m)	murderer
ceòl (m)	music
ionnsramaid (f); inneal-ciùil (m)	musical instrument
ceòladair (m), neach-ciùil (m)	musician
mustard (m)	mustard
mo	my
dìomhair	mysterious
tarag (f)	nail
lomnochd; rùisgte; lom	naked
ainmich	name
caol, cumhang	narrow
nàisean (m)	nation
nàiseantachd (f)	nationalism
nàdarrach	natural
nàdar (m)	nature
cabhlach (m)	navy
deatamach; riatanach	necessary
amhach (f); muineal (m)	neck
taidh (f)	necktie
feum (m)	need
snàthad (f)	needle
nàbaidh (m)	neighbour
neoidimiam	neodymium
neon	neon
mac-bràthair (m); mac-peathar (m)	nephew
neiptiùiniam	neptunium
nead (m)	nest
deanntag (f)	nettle
a-chaoidh; gu bràth; riamh	never
ùr	new
naidheachdan	news
pàipear-naidheachd (m)	newspaper
ath	next
nicil	nickel
nighean-bràthar (f) ('fraternal'), nighean-peathar (f) ('sororal')	niece
oidhche (f)	night
spideag (f), beul-binn (m)	nightingale
mearan-cadail, trom-laighe	nightmare
naoinear (m)	nine
naoi; deug	nineteen
ceithir; fichead; 's; a; deich; naochad	ninety
naoidheamh 	ninth
niòibiam	niobium
sine#Irish and Scots Gaelic'sine (f), ceann-na-cìche (m)	nipple
sneadh (f)	nit
nìtrigin	nitrogen
smocadh toirmisgte	no smoking
nòbailiam	nobelium
fuaim (m); faram (m)	noise
tuiseal ainmneach (m); ainmneach	nominative case
amaideas (m)	nonsense
nùdail (f)	noodle
meadhan-là (m)	noon
tuath (f)	north
sròn (f)	nose
cuinnean (m)	nostril
chan eil, chan#Scottish Gaelic'chan, cha#Scottish Gaelic'cha	not
ainmear (m)	noun
nobhail (f)	novel
a-nis	now
lom; rùisgte; lomnochd	nude
luime (f)	nudity
àireamh (f)	number
cailleach dhubh (f), bean-chràbhaidh (f)	nun
muime (f), banaltraim (f), màthair-altraim (f)	nurse
cnò (f)	nut
darach (m)	oak
darach (m); darag (f); rìgh-na-coille (m)	oak tree
ràmh (m)	oar
cuan (m), fairge (f), tàbh (m), cuan mòr (m)	ocean
slugan (m); sgòrnan (m)	oesophagus
de	of
oifis (f)	office
gu tric; tric	often
ola (f)	oil
sean, aosda, aosmhor	old
bonnach-uighe (m)	omelette
air	on
bha siud ann uaireigin	once upon a time
aon; aonar (m); aonan (m)	one
uinnean (m)	onion
fosgailte	open
barail (f); beachd (m)	opinion
no; neo; air neo	or
orainds	orange
òrdugh (m)	order
dìlleachd (m); dìlleachdan (m); tàcharan (m)	orphan
oismiam	osmium
iolair-uisge (f); iolair-iasgaich (f)	osprey
struth	ostrich
eile	other
dobhar-chù (m); madadh donn (m); dòbhran (m)	otter
ar#Scottish Gaelic'ar	our
ughag (f), ughlann (f), uigheagan (m)	ovary
àmhainn (f)	oven
cailleach-oidhche (f); comhachag (f)	owl
damh (m)	ox
ogsaidean	oxygen
taobh-duilleige (m)	page
pian (f); cràdh (m)	pain
peant	paint
lì-dhealbhadair (m), dealbhadair (m)	painter
lì-dhealbh (m'f)	painting
pallaidiam	palladium
bas (f)	palm
briogais (f), triubhas (m)	pants
pàipear (m)	paper
paradacs (m); frith-chosamhlachd (f)	paradox
pàirc (f)	park
pàrlamaid	parliament
pitheid (f)	parrot
cuid (f); pàirt (f); earrann (f); cuibhreann (m)	part
peurtag	partridge
facal-faire (m)	password
piuthar-athar (f)	paternal aunt
seanair athaireil (m)	paternal grandfather
bràthair-athar (m)	paternal uncle
slighe (f)	path
pàigh	pay
sìth (f)	peace
peucag (f)	peacock
peur (f)	pear
neamhnaid (f)	pearl
peann (m)	pen
leth-eilean (m)	peninsula
bod (m); bigealas (m); crom-odhar (m); cliospairneach (m); gogan (m)	penis
piobar (m)	pepper
às a' cheud	percent
seabhag-ghorm (f)	peregrine falcon
's dòcha; 's mathaid	perhaps
stad-phuing (f)	period
pearsa (m)	person
feallsanach (m)	philosopher
feallsanachd (f)	philosophy
fòn	phone
fosfaras	phosphorus
tog dealbh	photograph
dealbhaiche (m); dealbhadair (m)	photographer
foto-cho-chur (m)	photosynthesis
abairt (f)	phrase
lighiche (m); dotair (m)	physician
piàna (m)	piano
dealbh (m'f)	picture
bìdeag (f); criomag (f); mìr (m); pìos (m)	piece
muc (f)	pig
geadas (m)	pike
eilthireach (m)	pilgrim
drùisear (m)	pimp
pluc (m)	pimple
dealg (f)	pin
giuthas (m)	pine
teanas-bùird (m)	ping pong
bàn-dhearg	pink
daga (m)	pistol
sloc (m)	pit
àite (m); ionad (m)	place
mias (f), soitheach (f), truinnsear (m)	plate
platanam	platinum
cleasachd (f)	play
cairt-chluiche (f)	playing card
le do thoil '(s., informal)', le ur toil '(pl., formal)', ma 's e do thoil e '(s., informal)', ma 's e ur toil e '(pl., formal)'	please
tlachd (f)	pleasure
plumas (m)	plum
iolra (m)	plural
plutòiniam	plutonium
pòcaid (f); pòca (m); pòcaid-bhroillich (f); pòcaid-achlais (f)	pocket
dàn (m); duan (m); òran (m)	poem
bard (m)	poet
puing (m)	point
nimh (m); puinnsean (m)	poison
feòcallan	polecat
poileas (m)	police
earraid (m)	police officer
maor-sìth (m); poileas (m)	policeman
modhail, suairc, cùirteil	polite
fear-poilitigs (m)	politician
sluagh-iùl (m)	politics
polòiniam	polonium
poileagan	polygon
linne (f)	pond
truagh	poor
pàp (m)	pope
critheann (m)	poplar
drùiseantachd (f), drabasdachd (f)	pornography
port (m); cala (m); acarsaid (f)	port
cairt-phuist (f)	postcard
còd postachd (m)	postcode
potaisiam	potassium
buntàta (m)	potato
not (m); punnd (m); nota (m)	pound
bochdainn (m), truaighe (f)	poverty
fùdar (m)	powder
cumhachd (m)	power
praiseoidimiam	praseodymium
searmonaiche (m)	preacher
ro-leasachan (m)	prefix
leatrom (m), leatromachd (f), torraicheas (m)	pregnancy
torrach; trom	pregnant
roimhear (m)	preposition
tiodhlac (m)	present
ceann-suidhe (m)	president
snog	pretty
prìs (f)	price
bod	prick
sagart (m)	priest
prìomhair (m)	prime minister
prìomh-àireamh (f)	prime number
clò-bhuail	print
prìosanach-chogaidh (m)	prisoner of war
duilgheadas (m); staing (f)	problem
dreuchd (f)	profession
àrd-ollamh (m)	professor
math (m); prothaid (f)	profit
promèitiam	promethium
gealltanas (m)	promise
riochdair	pronoun
ainmear sònrachaidh (m)	proper noun
siùrsach (f), strìopach (f)	prostitute
strìopachas (m), siùrsachd (f)	prostitution
pròtactainiam	protactinium
dìon	protect
dìon (m), sgiath (f), sgàth (m), dìdean (m), tèarmann (m)	protection
seanfhacal (m)	proverb
eòlas-inntinn (m)	psychology
slaod; tarraing	pull
cainnt-chluich (f)	pun
clach na sùla (f); dubh (m)	pupil
cuilean (m)	puppy
purpar; purpaidh (m); còrcair	purple
stob	push
cuir	put
ceathramh (m); cairteal (m)	quarter
èiteag (f)	quartz
cuasar (m)	quasar
banrigh (f)	queen
ceist (f)	question
comharradh-ceiste (m)	question mark
gu grad	quickly
sèimh, sàmhach, socair, ciùin	quiet
cromagan turrach (f) 	quotation marks
coineanach (m); rabaid (m)	rabbit
gràin-cinnidh (f)	racism
rèidio (m)	radio
rathad-iarainn (m)	railway
fras	rain
bogha-frois (m)	rainbow
rùda (m)	ram
èignich	rape
sùbh-craoibh (f)	raspberry
radan	rat
fitheach (m)	raven
leugh	read
adhbhar (m)	reason
reasabaidh (m)	recipe
cleasachd (f)	recreation
dronn-uileannag (f), ceart-cheàrnach (m)	rectangle
ruadh	red
fìon dearg (m)	red wine
fiadh Lochlannach (m); fiadh-sneachda (m)	reindeer
caraid (m)	relative
cuimhnich; meòraich; bi cuimhne aig	remember
iomradh (m)	report
snàigean (m); pèist (f)	reptile
poblachd (f)	republic
onair (f); urram (m); suim (f)	respect
taigh-bìdh (m)	restaurant
dìoghaltas (m)	revenge
rèabhlaid (f)	revolution
rèiniam	rhenium
ròidiam	rhodium
asna (f)	rib
rus (m)	rice
beairteach	rich
dubh-fhacal (m)	riddle
gunna-peilear (m); isneach (f)	rifle
còir (f)	right
fàinne (f)	ring
mac-an-aba (m)	ring finger
abhainn (f)	river
slighe (f)	road
brù-dhearg	robin
creag (f)	rock
earb (f)	roe deer
mullach (m)	roof
rùm (m)	room
coileach (m)	rooster
freumh (m)	root
ròp (m); ròpa (m)	rope
grod; lobhte	rotten
rìoghail	royal
rubaidiam	rubidium
ruith	run
ruitèiniam	ruthenium
rutarfoirdiam	rutherfordium
seagal (m)	rye
claidheamh crom (m)	sabre
poca (m); baga (m); màileid (f)	sack
ìobairt (f)	sacrifice
brònach; dubhach; gruamach	sad
seòl (m)	sail
bàta-siùil	sailboat
seòladair (m), loingear (m), muireach (m), maraiche (m)	sailor
tuarasdal (m)	salary
bradan (m)	salmon
saill	salt
samairiam	samarium
aon; ceart; ceudna; dearbh	same
gainmheach (f)	sand
cuaran (m)	sandal
ceapaire (m)	sandwich
sùgh (m)	sauce
isbean (m)	sausage
sàbh	saw
abair; can	say
duille (f); fraighe (f)	scabbard
scaindiam	scandium
leòn (m)	scar
dà-urrachas (m)	schizophrenia
sgoil	school
eòlas (m)	science
eòlaiche (m)	scientist
comhachag	screech owl
muir (m'f), fairge (f), cuan (m)	sea
seaboirgiam	seaborgium
faoileann, faoileag (f)	seagull
ròn (m)	seal
aimsir (f); ràith (f)	season
feamainn (f)	seaweed
soiceand (m)	second
dìomhair; prìobhaideach; uaigneach	secret
rùnaire (m); clèireach (m)	secretary
faic	see
ainneamh	seldom
seilèiniam	selenium
leth-chòilean (m)	semicolon
rosg-rann (f); seantans (m)	sentence
seirbheis (f)	service
seachd; seachdnar (m)	seven
seachd peacaidhean-bàis	seven deadly sins
seachd; deug	seventeen
seachdamh	seventh
trì; fichead; 's; deich; seachdad	seventy
gnè (f)	sex
faileas (m); dubhar (m); sgàile (f)	shadow
cumadh (m); cruth (m)	shape
siorc (m); cearban (m)	shark
geur, biorach, searbh	sharp
i 'nonemphatic', ise 'emphatic'	she
caora (f)	sheep
siota (f)	sheet
buachaille-chaorach (m); cìobair (m)	shepherd
sgiath (f)	shield
deàrrs, deàlraich, boillsg	shine
long (f)	ship
lèine 	shirt
cac	shit
bròg (f)	shoe
bùth (m)	shop
cladach (m)	shore
beag	short
gualann (f); slinnean (m)	shoulder
ràn	shout
seall	show
fras (f); fras-ionnlaid (f)	shower
dallag-an-fhraoich (f)	shrew
dùin	shut
tinn	sick
sealladh (m)	sight
tosd (m); sàmhchair (f)	silence
sileacon	silicon
sìoda (m); sròl (m)	silk
airgead	silver
coltach	similar
sìmplidh	simple
peacaich	sin
ceileir	sing
seinneadair; òranaiche (m); neach-seinn (m)	singer
peacach (m)	sinner
piuthar-chèile (f)	sister
sia; sianar (m)	six
sia; deug	sixteen
siathamh	sixth
trì; fichead; seasgad	sixty
cnàimhneach (m)	skeleton
craiceann (m)	skin
claigeann (m)	skull
uiseag (f); topag (f)	skylark
tràill (m)	slave
cadal (m)	sleep
mall; slaodach	slow
seilcheag (f)	slug
beag	small
dèan gàire, dèan snodha-gàire, dèan fàite-gàire	smile
gobha (m), ceàrd (m)	smith
toit (f)	smoke
mìn, sèimh, socrach, tlàth	smooth
seilcheag (f)	snail
nathair (f)	snake
sreothart (m)	sneeze
snucair (m)	snooker
cuir an t-sneachda	snow
bodach-sneachda (m)	snowman
siabann (m)	soap
ball-coise (m)	soccer
socais (f); stocainn (f)	sock
sòidiam	sodium
langasaid (f), suaineachan (m), sunnag (f)	sofa
bog#Scottish Gaelic'bog, maoth, sèimh	soft
bathar-bog (m)	software
talamh (m); ùir (f)	soil
gaoth-ghrèine (f)	solar wind
saighdear (m)	soldier
fuasgladh (m)	solution
cuideigin; duin'-eigin; feareigin; tè-eigin	somebody
cuideigin; duin'-eigin; feareigin; tè-eigin	someone
rudeigin	something
uaireannan	sometimes
mac-cèile (m), ban-sgoth (m), cliamhainn (m)	son
mac na galla (m), mac strìopaich (m)	son of a bitch
òran (m), luinneag (f)	song
a dh'aithghearr	soon
b' àill leat 	sorry
anam (m)	soul
fuaim (m)	sound
brot (m)	soup
goirt	sour
deas; a deas	south
sìol	sow
spaid (f)	spade
gealbhonn	sparrow
speireag (f)	sparrow hawk
bruidhinn	speak
sònraichte; àraidh; air leth	special
speuclairean (m)	spectacles
litrich	spell
spìosradh (m)	spice
damhan-allaidh (m), fìgheadair (m)	spider
sgàile (f)	spirit
spealg (f)	splinter
spàin (f)	spoon
spòrs (f)	sport
cèile (m'n), fear-cèile (m), bean chèile'bean-chèile (f)	spouse
fuaran (m)	spring
giuthas (m)	spruce
ceàrnag (f)	square
feòrag	squirrel
àrd-ùrlar (m)	stage
stob (m)	stake
seas	stand
reul (f), rionnag (f)	star
druid (f)	starling
cor (m)	state
buinne (f); ìomhaigh (f)	statue
staoig (f)	steak
goid	steal
bàta-smùide (m)	steamship
stàilinn (f)	steel
oide (m), leas-athair (m)	stepfather
muime (f), leas-mhàthair (f)	stepmother
brù (f); balg (m)	stomach
clach (f)	stone
stad	stop
corra-ghrian	stork
sgeulachd (f); sgeul (m); naidheachd (f)	story
stòbh (m)	stove
dìreach	straight
annasach; neònach; coimheach	strange
sùbh-làir (m)	strawberry
sruth (m)	stream
sràid (f)	street
lùths (m), neart (m)	strength
stailc (f)	strike
làidir	strong
strointiam	strontium
rag-mhuinealach; rag	stubborn
oileanach (m)	student
stoidhle (f); modh (m)	style
cuspair (m)	subject
bàt'-aigeil (m); bàta-tumaidh (m)	submarine
gu h-obann; gu grad	suddenly
iar-leasachan (m); iar-mhìr (m)	suffix
fèin-mhurtair (m)	suicide
baga (m); màileid (f)	suitcase
pronnasdail (m); pronnasg (m); pronnastan (m)	sulfur
samhradh (m)	summer
grian (f)	sun
neòinean-grèine (m)	sunflower
speuclairean-grèine (m); glainneachan-grèine (f)	sunglasses
saobh-chràbhadh (m)	superstition
sloinneadh (m)	surname
sluig	swallow
boglach (f)	swamp
eala	swan
milis; mealach	sweet
sèid	swell
snàmh	swim
claidheamh (m); slòighre (f)	sword
lide (f)	syllable
siostam (m)	system
bòrd (m), clàr (m)	table
eàrr (m)	tail
tàillear (m)	tailor
gabh	take
tantalam	tantalum
blais	taste
comhachag-dhonn (f)	tawny owl
càin (f); cìs (f)	tax
tagsaidh (m)	taxi
tì (m)	tea
teagaisg, foghlaim	teach
fear-teagaisg (m); bean-teagaisg (f); neach-teagaisg (m); muinear (m)	teacher
deur (m)	tear
spàin-teatha (f)	teaspoon
teicnèitiam	technetium
teicneolas (m)	technology
fòn	telephone
glainne-amhairc (f)	telescope
telebhisean (m)	television
teallùiriam	tellurium
deichnear	ten
teanas (m)	tennis
pùball (m)	tent
deicheamh	tenth
teirbiam	terbium
dùthaich (f); talamh (m); tìr (f)	territory
magairle (m'f), clach (f) (vulgar)	testicle
teacsa (m)	text
tailliam	thallium
na	than
tapadh leat; tapadh leibh; taing	thank you
taing	thanks
sin#Scottish Gaelic'sin, siud	that
an; am; a'; na	the
meirle (m); gadachd (f); goid (f)	theft
ma-thà; a-rèist	then
an sin	there
tha	there is
teas-mheidh (f)	thermometer
iad (nonemphatic), iadsan (emphatic)	they
tiugh	thick
mèirleach (m)	thief
sliasaid (f)	thigh
meuran (m)	thimble
rud (m)	thing
smaoinich; saoil	think
treas; trìtheamh	third
pathadh (m)	thirst
trì; deug	thirteen
deug; air fhichead; trìthead	thirty
seo	this
tòiriam	thorium
stob (m); droigheann (m); dealg (f)	thorn
thu, tu#Scottish Gaelic'tu	thou
beachd (m); dùil (f); smaoin (f)	thought
mìle	thousand
stìom (f)	thread
trì; triùir (m)	three
sgòrnan (m)	throat
rìgh-chathair (m)	throne
tilg	throw
tùiliam	thulium
òrdag (f)	thumb
tàirneanach (m)	thunder
uair (f); turas (m)	time
staoin	tin
maothran (m)	tissue
cìoch (f)	tit
tìotainiam	titanium
gu	to
losgann dubh (m); muile-mhàg (f)	toad
tombaca (m)	tobacco
an-diugh	today
meur-coise	toe
cuideachd	together
taigh beag (m)	toilet
tomàto (m)	tomato
a-màireach	tomorrow
teanga (f)	tongue
a-nochd	tonight
cuideachd; mar an ceudna	too
inneal (m)	tool
fiacail (f)	tooth
crùban-coille (m); sligeanach (m)	tortoise
tùr (m)	tower
baile#Scottish Gaelic'baile (m)	town
àilleagan (m); cluicheag (f); dèideag (f)	toy
dualchas (m), beul-aithris (f), beul-oideas (m), seachadas (m)	tradition
trèan (f)	train
eadar-theangaich	translate
eadar-theangachadh (m)	translation
eadar-theangair (m)	translator
trìd-shoilleir 	transparent
ionmhas (m)	treasure
craobh (f)	tree
trì-cheàrnag (f), trì-oinnsinneach (m), trì-oisinneag (f), triantan (m)	triangle
treubh (f)	tribe
cuairt (f); turas (m)	trip
briogais (f), triubhas (m)	trousers
breac (m)	trout
fìor	true
stoc (m)	trunk
fìrinn (f)	truth
feuch	try
caitheamh (f)	tuberculosis
tungstan	tungsten
coileach-Frangach (m); cearc-Fhrangach (f)	turkey
snèap (f)	turnip
crùban-coille (m); sligeanach (m)	turtle
dà dheug; dhà dheug	twelve
fichead	twenty
dà; uair	twice
leth-aon (m)	twin
dhà	two
clò-sgrìobhadair (m)	typewriter
taidhr (f)	tyre
sgàilean (m)	umbrella
bràthair-athar (m); bràthair-màthar (m); uncail (m) 	uncle
fo-aodach (m)	underwear
cion-cosnaidh (m)	unemployment
aon-adharcach (m), sròin-adharcach (m), biast-na-sgrogaig (f)	unicorn
èideadh (m); culaidh (f)	uniform
domhan (m); cruinne-cè (m); saoghal (m)	universe
oilthigh (m)	university
suas; a-nìos; shuas 	up
uràiniam	uranium
aotroman (m)	urinary bladder
mùn (m); fual (m)	urine
dèan feum de; cleachd; iomair	use
goireasach	useful
gun fheum	useless
cleachdaiche (m)	user
machlag (f); brù (f)	uterus
faighean (m); truiteag (f); geobag (f); duillef	vagina
fiach (m); luach (m)	value
cìs luach-leasaichte (f)	value added tax
bhampair	vampire
vanaidiam	vanadium
glasraich (f), luibh-gàraidh (f), luiseanachd (f)	vegetable
feòil-sheachnair (m), glasraichear (m), lusair (m)	vegetarian
cuisle (f)	vein
meileabhaid (f)	velvet
puinnsean (m); nimh (m)	venom
gnìomhair	verb
cnàimh an droma (m), dromaltach (m)	vertebra
glè; ro; fìor	very
baile beag (m), clachan (m), baile-dùthchail (m)	village
fìon-geur (m)	vinegar
fidheall (f)	violin
ainnir (f)	virgin
tadhail	visit
tuiseal gairmeach (m)	vocative case
guth (m)	voice
beinn-theine (f); bholcàno (m)	volcano
fang (f)	vulture
pit (f)	vulva
cosnadh (m); pàigh (m); tuarasdal (m)	wage
meadhan (m)	waist
gille-frithealaidh (m)	waiter
maighdeann-frithealaidh (f)	waitress
coisich	walk
gàrradh (m); mùr (m)	wall
màileid (f); màileid-pòca (f)	wallet
crann ghall-chnò (m)	walnut
iarr	want
cogadh (m)	war
blàth	warm
gaisgeach (m); laoch (m)	warrior
nigh#Irish'nigh	wash
speach (f)	wasp
coimhead 	watch
uisge (m)	water
linne (f); eas (m)	waterfall
tonn (m)	wave
dòigh (f); modh (m)	way
sinn 'nonemphatic', sinne 'emphatic'	we
lag	weak
arm (m)	weapon
neas (f); neas bheag (f)	weasel
aimsir (f); sìde (f)	weather
làrach-lìn (f); ionad (m) 	web site
banais (f); pòsadh (m)	wedding
luibh (m); lus (m)	weed
seachdain (f)	week
deireadh-seachdain (m)	weekend
cudrom (m)	weight
cuir fàilte air	welcome
math	well
fear-faol (m)	werewolf
iar (f)	west
fliuch	wet
muc-mhara (f)	whale
dè	what
dè 'n t-ainm a tha ort; dè 'n t-ainm a tha oirbh	what is your name
cruithneachd (m)	wheat
roth (m)	wheel
cathair-cuibhle (f)	wheelchair
nuair a	when
càite	where
càit a bheil an taigh beag?	where is the toilet
uisge beatha (m)	whiskey
uisge-beatha (m)	whisky
cagair	whisper
feadag (f); feadan (m)	whistle
geal; bàn; fionn	white
cò	who
sgliùrach (f); strìopach (f); reipseach (f)	whore
carson	why
leathann; farsaing; a leud	wide
banntrach (f)	widow
bean-chèile (f), bean-phòsda (f)	wife
allaidh; fiadhaich	wild
torc allaidh (m); torc fiadhaich (m)	wild boar
tiomnadh (m)	will
seileach (m)	willow
gaoth (f)	wind
uinneag (f)	window
fìon (m)	wine
sgiath (f)	wing
geamhradh (m)	winter
sguab	wipe
uèir (f)	wire
crìonna; glic; seanacheannach	wise
ban-draoidh (f), buidseach (f), bana-bhuidseach (f)	witch
le	with
gun; às aonais	without
buidseach (m)	wizard
faol (m); madadh allaidh (m)	wolf
bean (f); boireannach (m) 	woman
machlag (f), broinn (f), brù (f)	womb
mìorbhaileach	wonderful
fiodh (m)	wood
facal (m), briathar (m)	word
obair (f)	work
obraiche (m); neach-obrach (m)	worker
saoghal (m); cruinne-cè (m)	world
baoiteag (f); biastag (f); boiteag (f); brùiteag (f); brutag (f); cnuimh (f); daolag (f); durrag (f)	worm
leòn (m)	wound
caol-dùirn (m)	wrist
sgrìobhadair (m); sgrìobhaiche (m)	writer
ceàrr	wrong
xeanon	xenon
gheat (f); sgoth-long (f)	yacht
bliadhna	year
