Serbian	English
krivotvoriti	forgery
виле (f)	fork
четрдесет (četrdeset)	forty
проследити (proslediti); отпослати (otposlati)	forward
сместити (smestiti)	frame
францијум (francijum) (m)	francium
братоубица (n) (bratoubica)	fratricide
пега (pega)	freckle
osloboditi 	free
аутоцеста (f) (autocesta)	freeway
učestalost (f); čestoća (f); čestost (f); učestanost	frequency
hladnjak (m)	fridge
drug (m); drugar (m); drugarica (f); prijatelj (m); prijateljica (f)	friend
пријатељство 	friendship
časomice, s vremena na vreme	from time to time
набити; nabiti; пунити; трпати	fuck
jebi se	fuck you
palivo (n); gorivo (n); ogrev (m); toplivo (n)	fuel
begunac (m); begunica (f); begunka (f)	fugitive
tačka (f)	full stop
bunda (f)	fur coat
гадолиниjум (gadolinijum) (m)	gadolinium
галеон (m)	galleon
галиjум (galijum) (m)	gallium
šibenica (f), vešala (f)	gallows
kockar (m)	gambler
vučac (m)	gangrene
vrtnjak, povrtnjak, sad, sadnjak, posadnjak	garden
vrtlar, sadnik	gardener
plin (m)	gas
степен преноса (m) (stepen prenosa)	gear
rodopis (m), rodoslov (m), rodoslovlje (n)	genealogy
genocid (m)	genocide
zdravnjak	geranium
германиjум (germanijum) (m)	germanium
гејзир (m)	geyser
duh (m); sablast (f); utvara (f); priviđenje (n); avet (m); avetinja (f); sen (f); upirina (f)	ghost
div; gorostas	giant
поклон (m); дар (m)	gift
свирка (f) (svirka)	gig
жирафа	giraffe
ledenjak (m), lednik (m)	glacier
žlezda (f)	gland
globalno zatopljenje (n)	global warming
zvonoigra	glockenspiel
lepak, tutkalo	glue
ždera (f)	glutton
neumerenost, crevougodstvo, proždrljivost	gluttony
mušica (f), komarac (m)	gnat
izaći	go
одлази (odlazi)	go away
golman (Montenegrin)	goalkeeper
zlatnik (m)	gold
zlataš (m), crni orao	golden eagle
zlatar (m), zlatarka (f)	goldsmith
гондола (f)	gondola
гонореја (f) 	gonorrhea
valjan, dobar, pouzdan	good
добар дан; dobar dan	good day
guglati	google
ogroz (m), ogrozd (m), kosmulja (f)	gooseberry
jастреб кокошар	goshawk
kostobolja (f)	gout
баба (f) (baba); старамајка (f) (staramajka)	grandmother
trenica (f), rende (n)	grater
шљунак (m)	gravel
čukundeda (m)	great
велики детлић (veliki detlić)	great spotted woodpecker
сеница (senica)	great tit
pohlepa, gramžljivost, grabežljivost, halapljivost, srebroljublje, škrtost, požuda	greed
zeleni (зелени)	green
зелена жуња (zelena žunja)	green woodpecker
пиљар (m) (piljar)	greengrocer
staklenik (m)	greenhouse
дивља гуска (f)	greylag goose
белоглави суп (bjeloglavi sup)	griffon vulture
brus (m), točilo (n)	grindstone
препоне (f)	groin
mladoženja (m); ženik (m)	groom
луг 	grove
режати (režati)	growl
staratelj (m); staralac (m); hranitelj (m)	guardian
gost (m); gošća (f)	guest
кривица (krivica); кривња (krivnja)	guilt
галеб (galeb) (m)	gull
гимнастика (f) (gimnastika)	gymnastics
navika (f), privika (f)	habit
хафниjум (hafnijum) (m)	hafnium
хајдук (m); hajduk (m)	hajduk
светац (m) (svetac)	hallow
visaljka (f)	hammock
хендикепиран (m) (hendikepiran)	handicapped
rukopis (m)	handwriting
приручан (m); приручна (f); приручно (n)	handy
и живели су срећно до краја живота (and they lived happily till the end of (their) life)	happily ever after
pristanište (n)	harbour
тврди диск (m) (tvrdi disk)	hard drive
sklopovlje, čvrstovlje, tvrdovlje, strojevina, tvrdotvorina	hardware
trudoljubiv (m), trudoljubiva (f)	hardworking
sazvučje (n)	harmony
zečar	harrier
drljača (f)	harrow
putnik (m), pauk kosac (m), kosac (m)	harvestman
хасиjум (m); hasijum (m)	hassium
klobučar (m)	hatter
стог (m); пласт (m)	haystack
glavobolja (f)	headache
director (m)	headmaster
здравље (zdravlje) (n)	health
zdravstvo	health care
odar (m)	hearse
raj (f)	heaven
živica (f), živičnjak (m)	hedge
hegemonija (f), nadvlada (f)	hegemony
visina (f)	height
naslednik (m); naslednica (f)	heir
хало#Serbian'хало? / halo#Serbian'halo?	hello
kormilo (n)	helm
šlem; kaciga	helmet
sedmougao, sedmokut	heptagon
sedmougaoni, sedmokrak	heptagonal
glasnik, vesnik	herald
biljožder, biljojedac, biljojed	herbivore
stado (n)	herd
krivoveran (m), krivoverna (f)	heretic
nasledstvo (n)	heritage
hermafrodit, dvopolac (m), dvopolnik (m)	hermaphrodite
kila (f)	hernia
uzor	hero
ćao; zdravo	hi
žmura (f), žmurka (f)	hide and seek
кошута (košuta)	hind
kuk	hip
povodni konj (m), nilski konj (m)	hippopotamus
кошница (f)	hive
odmor (m), raspust (m) ('of students')	holiday
холмиjум (holmijum) (m)	holmium
родно место (n)	hometown
ubica	homicide
istorodnost (f)	homogeneity
čast (f)	honor
čast (f)	honour
konjska snaga 	horsepower
потковица (f)	horseshoe
cvećarstvo, vrtarstvo	horticulture
crevo (n); црево (n)	hose
gostoprimstvo	hospitality
taoc, talac	hostage
peščanik (m)	hourglass
domaćica (f)	housewife
лебдети	hover
како си?, kako si? ('informal singular'); како сте?, kako ste? ('formal or plural')	how are you
međutim	however
oholost (f), visokomerje (n)	hubris
загрљај (zagrljaj)	hug
хуманизам	humanism
понижавање (n) (ponižavanje)	humiliation
poniznost, skromnost, smernost, skrušenost	humility
сто (sto)	hundred
gladovati	hunger
гладан (gladan)	hungry
рањен (m) (ranjen); повређен (m) (povređen)	hurt
čednjak, devičnjak	hymen
slavopojka (f), slavopev (m), slavopevka (f)	hymn
licemer (m), licemerka (f), dvoličnik (m), dvoličnjak (m), dvoličnjakinja (f), himbenik (m)	hypocrite
иконица (f) (ikonica)	icon
pomisao (f); zamisao (f)	idea
абдал (m)	idiot
магматске стене	igneous rock
Незнање је врлина	ignorance is bliss
икебана (ikebana)	ikebana
nepismenost (f)	illiteracy
болест (bolest)	illness
prosvetljenje (n)	illumination
opsena (f)	illusion
predstava	image
mašta (f)	imagination
doseljenik (m); doseljenica (f)	immigrant
: uvoziti	import
у ствари (u stvari)	in fact
у земљи слепих, ћорави су краљеви	in the land of the blind, the one
samostalan (m), samostalna (f), samostalno (n), nezavisno (n), nezavisan (m), nezavisna (f)	independent
urođen	indigenous
индиjум (indijum) (m)	indium
pojedinac (m), pojedinka (f)	individual
trudoljubiv (m), trudoljubiva (f), marljiv (m), marljiva (f)	industrious
nepogrešiv	infallible
čedoubistvo	infanticide
beskonačnost (f)	infinity
утицајан#Serbian'утицајан, uticajan#Serbian'uticajan	influential
informacija (f)	information
stanovnik (m), stanovnica (f), žitelj (m), žiteljka (f)	inhabitant
nasledstvo (n)	inheritance
без броја (bez broja); безбројно (n) (bezbrojno)	innumerable
лудило (ludilo)	insanity
kukcožder, kukcojedac, kukcojed	insectivore
unutrašnjost; unutra	inside
nadahnuće (n), zadahnuće (n), udahnuće (n)	inspiration
zavod	institute
институција (f) (institucija)	institution
алат (m); alat (m) 	instrument
инструментал (instrumental) (m)	instrumental case
изолатор (m) (izolator)	insulator
побуњеник (m) (pobunjenik)	insurgent
inteligentni dizajn (m)	intelligent design
polni snošaj	intercourse
kamata (камата)	interest
motor sa unutrašnjim sagorevanjem (m)	internal combustion engine
predosećaj (m), domišljaj (m)	intuition
beskičmenjak (m), beskičmen (m)	invertebrate
jод (jod) (m)	iodine
јон (m) (jon)	ion
јонизација (f) (jonizacija)	ionization
иридиjум (iridijum) (m)	iridium
perunika (f)	iris
ostrvljanin (m), ostrvljanka (f), otočanin (m), otočanka (f)	islander
zemljouz	isthmus
bršljan (m)	ivy
idiot	jackass
јањичар, јanjičar	janissary
kravarke	jeans
šutnik, šašavac, dvorska luda, luda	jester
mlaz (m)	jet
nakit (m)	jewellery
slagarica (f), slagalica (f)	jigsaw puzzle
vragolan, šutnik, šaljivac	joker
novinar (m), novinarka (f), dopisnik (m), dopisnica (f), izveštač (m)	journalist
skok	jump
отпад (otpad)	junk
skoro	just
соко; (m)	kestrel
otmica (f)	kidnap
srod (m)	kin
prijatan, ljubazan, dobrodušan	kind
вртић (m) (vrtić); обданиште (m) (obdanište); забавиште (m) (zabavište)	kindergarten
ljubaznost dobrota, milosrđe, čovekoljublje	kindness
srodstvo (n)	kinship
киоск (m); трафика (f)	kiosk
пољубац/poljubac (m)	kiss
lunja (f)	kite
колено (n) (koleno)	knee
знање је моћ (znanje je moć)	knowledge is power
криптон (kripton) (m)	krypton
nalepnica	label
чипка (f)	lace
сусак (m) (susak)	ladle
svetiljka (f); lampa (f)	lamp
zmijuljica (f)	lamprey
земља; zemlja	land
континентални	landlocked
stanodavac	landlord
odron (m), osulina (f)	landslide
језик (m); jezik (m)	language
лантан (lantan) (m)	lanthanum
ариш (ariš)	larch
велик; velik	large
sinoć, preksinoć ('night before last night'), naksinoć ('two nights before last night')	last night
kasnije; касније	later
strugalica (f), strug (m)	lathe
лава (f)	lava
zakon (m)	law
travnjak (m)	lawn
kosilica (f)	lawnmower
лавренциjум (lavrencijum) (m)	lawrencium
svetovnjak (m)	layman
олово (n); olovo (n)	lead
поводац (m) (povodac)	leash
ласица (lasica)	least weasel
пијавица (f)	leech
gatka (f), kaža (f)	legend
слободно време (n) (slobodno vreme)	leisure
дужина	length
sočivo (n)	lens
gubavac (m), gubavica (f)	leper
guba (f); prokaza (f)	leprosy
мали детлић; mali detlić	lesser spotted woodpecker
писмо (n) (pismo)	letter
ниво (m) (nivo)	level
poluga (f)	lever
sloboda (f) (слобода)	liberty
sladić (m)	licorice
poručnik (m)	lieutenant
življenje (n)	life
чамац за спасавање (čamac za spasavanje)	lifeboat
upaljač (m)	lighter
gromobran, munjobran, gromosvod	lightning rod
какав отац, такав син (kakav otac, takav sin)	like father, like son
(n) (vapno)	lime
кречњак (krečnjak) (m)	limestone
platno, prten	linen
lavica (f)	lioness
sladić (m)	liquorice
чути; čuti	listen
pismenost (f)	literacy
bukvalno; doslovno; tacno tako	literally
nosiljka (f)	litter
кукумавка (kukumavka)	little owl
vekna; veknica	loaf
pozajmiti	loan
локатив (lokativ) (m)	locative case
hrbat (m), hrptenjača (f)	loin
lizalica (f)	lollipop
мала ушара	long
pričljiv (m), pričljiva (f), pričljivo (n)	loquacious
voleti; волети; ljubiti; љубити	love
ljubavni trougao	love triangle
љубитељ (m) (ljubitelj)	lover
срећaн (srećan)	lucky
prtljag (m)	luggage
uspavanka (f), uljuljka (f), ukolevka	lullaby
drvoseča (m)	lumberjack
ručak (m); obed (m)	lunch
pohota (f)	lust
лутециjум (lutecijum) (m)	lutetium
макроекономија/makroekonomija	macroeconomics
časopis (m), vremepis (m)	magazine
магма (f)	magma
veličanstven	magnificent
сврака (f) (svraka)	magpie
deva (f); devojka; moma (f)	maid
послати (poslati)	mail
listonoša	mailman
pakost, zloba, zlonamernost, zlurad	malice
патка глувара (patka gluvara)	mallard
slez (m)	mallow
постићи	manage
пословођа (m) (poslovođa)	manager
priručnik (m)	manual
рукописни (rukopisni); руком писани (rukom pisani)	manuscript
zemljovid	map
koračati	march
neven (m)	marigold
trgovina (f)	market
moždina (f), koštana srž (f)	marrow
бели слез (m)	marshmallow
кринка (f); маска (f); крабуља (f); ličina (f); obrazina (f)	mask
газда (m) (gazda)	master
ремек-дело (n) (remek-delo)	masterpiece
rukoblud, samoblud, drkanje 'vulgar'	masturbation
математика	mathematics
tvar (f)	matter
moja greška	mea culpa
medovina (f)	mead
оброк (obrok) (m), jelo (n)	meal
mera (f)	measure
механизам (m) (mehanizam)	mechanism
lek (m); zdravilo (n)	medicine
sret (m), sretaj (m), susret (m)	meeting
мајтнеријум (majtnerijum) (m)	meitnerium
мендељевиjум (mendeljevijum) (m)	mendelevium
mesečnica (f), менструација (f)	menstruation
jelovnik (m)	menu
мјаукати (mjaukati); мјаукнути (mjauknuti)	meow
жива (živa) (f)	mercury
вртешка (f) (vrteška); обртаљка (f) (obrtaljka)	merry
poruka (f); poslanica (f)	message
glasnik (m), glasnica (f)	messenger
splavina (f)	metastasis
метемпсихоза (f)	metempsychosis
метионин (m)	methionine
метросексуалан	metrosexual
srednjak (m), srednji prst (m)	middle finger
усред ничега (usred ničega)	middle of nowhere
бабица (babica)	midwife
prekretnica (f)	milestone
тисућлеће (n), tisućleće (n)	millennium
žrvanj (m)	millstone
um (m); razum (m)	mind
минералогија (f) (mineralogija)	mineralogy
љубимац (ljubimac)	minion
lasica (f)	mink
нана (nana)	mint
čovekomrzac (m)	misanthrope
pobačaj (m)	miscarriage
ženomrzac (m)	misogynist
sumaglica	mist
имела (f)	mistletoe
газдарица (f) (gazdarica); господарица (f) (gospodarica)	mistress
митохондрије, (mitohondrije) (f)	mitochondrion
mešalica (f), mešalo (n), sokovnik (m) (italbrac'juicer)	mixer
smesa (f); mešavina (f)	mixture
шанац (m)	moat
plesan, buđa	mold
молибден (molibden) (m)	molybdenum
trenutak (m); časak (m)	moment
monah (m); redovnik (m)	monk
naočnik (m)	monocle
zver (f); zverka (f); čudovište (n); neman (f)	monster
мукање (n) (mukanje)	moo
месец (m)	moon
izlazak meseca	moonrise
етика (etika)	morality
manje-više	more or less
јутарње звезде	morning star
smrtan, zemnik	mortal
smrtnost (f)	mortality
stupa (f); avan (m)	mortar
komarac (m); komarica (f)	mosquito
mah (m); mahovina (f)	moss
prevashodno, превасходно	mostly
mat; mati; mater; majka (f); roditeljica (f); rođenica (f)	mother
матична плоча (f) (matična ploča)	motherboard
бабојебац (babojebac), зајебант (zajebant)	motherfucker
gorovit	mountainous
brk (m's), brkovi (m'p)	moustache
cлузокожа (f), слузница (f)	mucous membrane
mazga	mule
мултиверзум (multiverzum) (m)	multiverse
glazbenski, glazbenik	musical
gorčica (f), slačica (f)	mustard
kratkovidost (f)	myopia
измирна (f)	myrrh
тајанствен	mysterious
golotinja (f), goloća (f)	nakedness
дремка (f) (dremka)	nap
ubručić (m), ubrusac (m), rubac (m)	napkin
samodopadljivost, samoljublje	narcissism
starosedeoc, samorodan	native
prirodno; normalno	natural
природни језик (m)	natural language
narav; priroda	nature
маглина (f) (maglina)	nebula
некромантија (f)	necromancy
занемарљив (m) (zanemárljiv)	negligible
pregovor (m)	negotiation
њиштати (njištati)	neigh
niti, ni	neither
неодиjум (neodijum) (m)	neodymium
неон (m) (neon)	neon
bratanac (m); sinovac (m); sestrić (m); nećak (m)	nephew
нептуниjум (neptunijum) (m)	neptunium
živac (m)	nerve
ipak	nevertheless
novorođenče, rođenče	newborn
никал (nikal) (m)	nickel
bratanica ('fraternal'), sinovka ('fraternal'), sestričina ('sororal'), nećaka, nećakinja, bratičina (f)	niece
blizu	nigh
docnogledac	night owl
деведесет (devedeset)	ninety
ниобиjум (niobijum) (m)	niobium
sisak (m); bradavica (f)	nipple
азот (m) (azot)	nitrogen
забрањено пушење (zabranjeno pušenje)	no smoking
нобелиjум (nobelijum) (m)	nobelium
племство (n) (plemstvo); властела (f) (vlastela)	nobility
шум (šum) (m)	noise
невладина организација (f)	non
nenasilje (n)	nonviolence
резанац (m) (rezanac)	noodle
подне (podne) (n)	noon
nozdrva (f), nosnica (f), nozdra (f)	nostril
писанка (pisanka) (f), бележница (beležnica) (f)	notebook
skorojević (m), skorojevićka (f)	nouveau riche
go; nag	nude
nagota (f), nagost (f)	nudity
prekjuče, nakjuče ('two days before yesterday')	nudiustertian
broj (m), čislo (n)	number
бројилац (m) (brojilac)	numerator
нумизматика (f) (numizmatika)	numismatics
krcaljka, krckalica, krcalica	nutcracker
rusalka (f), vila (f)	nymph
храст (m)	oak tree
veslo, vesla (p)	oar
гојазност	obesity
opsednutost (f)	obsession
окултизам	occult
oker	ochre
осмоугао (m) (osmougao)	octagon
понуда (f)	offer
ofsajd (m)	offside
грок (grok)	oink
melem (m)	ointment
starost (f)	old age
svemoć; svemoguć; svemogućnost (f)	omnipotence
svemoguć; svemoćan	omnipotent
sveprisutan	omnipresent
sveznanje, sveznalaštvo	omniscience
svaštožder, svaštojedac, svaštojed	omnivore
опера (f) (opera)	opera
или ({{t)	or
kružnica (f)	orbit
орк (m) (ork)	orc
voćnjak (m)	orchard
orhideja (f), kaćun (m)	orchid
свеж (svež)	original
zlatka (f)	oriole
орнитхоптер (ornithopter)	ornithopter
sirotište (n)	orphanage
православље (pravoslavlje); ортодоксија	orthodoxy
pravopis (m)	orthography
осмиjум (osmijum) (m)	osmium
ноj (noj)	ostrich
vasiona (f), vaseljena (f), svemir (m)	outer space
preksutra, naksutra ('two days after tomorrow')	overmorrow
jajašce (n)	ovum
кисеоник (m) (kiseonik)	oxygen
лажа (f) (laža)	pacifier
pošiljka (f)	package
risovanje	paint
сликар (m) (slikar); сликарка (f) (slikarka)	painter
šestar (m)	pair of compasses
nosiljka (f)	palanquin
nepce (n)	palate
bled	pale
паладиjум (m); paladijum (m)	palladium
гуштерача (f)	pancreas
nogav	pant leg
ostava (f)	pantry
поворка (f) (povorka); парада (f) (parada)	parade
парадокс (m)	paradox
gotovan (m), gotovanka (f)	parasite
першун	parsley
razdeljak (m)	part
jаребица (f) (jarebica)	partridge
slaviti; proslaviti	party
javka (f), geslo (n), lozinka (f)	password
prošli (m), prošla (f), próšlo (n)	past
testenina (f)	pasta
krotost (f), trpeljivost (f), strpljenje (n)	patience
стрпљиво	patiently
domoljub (m), domoljubac (m), rodoljub (m), rodoljubac (m)	patriot
stanka	pause
cпокоj (m); pokoj (m)	peace
пешак (m)	pedestrian
karlica (f), zdelica (f)	pelvis
olovka (f); pisaljka (f)	pencil
božur (m)	peony
posto; odsto; postotak (m)	percent
savršenstvo (n)	perfection
krivokletstvo, krivorečstvo	perjury
dugotrajan, trajan	permanent
персимон (persimon); каки (kaki)	persimmon
особа (osoba) (f), човек (čovek) (m), личност (ličnost) (f)	person
latica (f)	petal
pojava (f)	phenomenon
čovekoljublje, čovekoljubivost	philanthropy
filozofija (f) (филозофија)	philosophy
fobija (f)	phobia
žar-ptica (f)	phoenix
fosforilacija (f)	phosphorylation
slika (f)	photograph
фотофобија (fotofobija)	photophobia
пијаниста (m) (pijanista)	pianist
kramp (m), budak (m), pijuk (m), nadžak (m)	pickaxe
slika (f); obrazac (m)	picture
parče (n); deo (m); čast (f); komad (m)	piece
prase (n), svinjče (n), odojak (m)	piglet
svinjac (m)	pigsty
hodočasnik (m), hodočasnica (f), poklonik (m), poklonica (f)	pilgrim
hodočašće (n), hodočast (f)	pilgrimage
stup (m), stub (m), stubac (m), stupac (m)	pillar
svodnik, poslovodnik	pimp
бубуљица (f) (bubuljica); prišt (m)	pimple
клин (m) (klin)	pin
bor (m)	pine
umiriti; умирити; smiriti; смирити	placate
strug; rende	plane
планка (f) (planka); фосна (f) (fosna); талпа (f) (talpa)	plank
raslina (f), biljka (f)	plant
pločast, tanjirast	plate
visija (f), visoravan (f), zaravan (f)	plateau
платина (platina) (f)	platinum
kljunar (m)	platypus
zadovoljiti; ugoditi	please
задовољство (n) (zadovoljstvo); ужитак (m) (užitak)	pleasure
трзаљка (f); трзалица (f)	plectrum
zavet (m)	pledge
čep (m), zapušač (m)	plug
плутониjум (plutonijum) (m)	plutonium
britva (f)	pocketknife
pesnik (m); pesnikinja (f)	poet
поларни медвед (m), polarni medved (m)	polar bear
твор (-мрки) (tvor (-mrki))	polecat
milicioner (m); milicionerka (f)	policeman
полониjум (polonijum) (m)	polonium
mnogomuštvo (n); višemuštvo (n)	polyandry
mnogokut (m), mnogougao (m), višekut (m), višeugao (m)	polygon
siromašan (m); ubog (m); bedan (m)	poor
dikobraz (m)	porcupine
svinjetina (f)	pork
nosivo, nosiv	portable
кожни кофер (m) (kožni kofer)	portmanteau
кованица (f) (kovanica)	portmanteau word
постмодернизам (m)	postmodernism
ругала се шерпа лонцу широка му уста	pot calling the kettle black
калијум (m) (kalijum)	potassium
prašak (m); prašina (f); prah (m)	powder
вежба чини мајстора (vežba čini majstora)	practice makes perfect
празеодиjум (prazeodijum) (m)	praseodymium
molitva (f)	prayer
tačno; тачно	precisely
предрасуда (f) (predrasuda)	prejudice
predosećaj	premonition
prisustvo (n)	presence
plen (m)	prey
sveštenik (m); pop (m); svećenik (m) 	priest
прост број (m)	prime number
bukvar (m)	primer
краљевић (m) (kraljević); царевић (m) (carević)	prince
štampač (m)	printer
zarobljenik; uznik	prisoner
proaktivan	proactive
verovatno	probably
претеча (m)	progenitor
potomstvo (n)	progeny
програмирати	program
прометиjум (prometijum) (m)	promethium
власништво (n) (vlasništvo); посед (m) (posed); својина (f) (svoijna)	property
пророк (prorok)	prophet
imućstvo (n)	prosperity
korenjača (f)	prostate
протоактиниjум (protoaktinijum) (m)	protactinium
belančevina	protein
протест (m) (protest)	protest
poslovica (f)	proverb
паланка (palanka); област (oblast)	province
pramac (m)	prow
nadri-	pseudo
nadrinauka (f)	pseudoscience
telekineza, телекинеза	psychokinesis
психосоматски (m)	psychosomatic
snežnica	ptarmigan
tidna kost (f); preponjača	pubis
pločica (f)	puck
пловућац (m)	pumice
bundeva (f); tikva (f)	pumpkin
zenica (f); zena (f)	pupil
предење (n) (predenje)	purr
гонити (goniti)	pursue
prevrat (m)	putsch
паштета (f)	pâté
препелица (prepelica) (f)	quail
količina (f)	quantity
kamenolom	quarry
пристаниште (m); док (m); мол (m); кеј	quay
матица (f) (matica)	queen bee
poplun (m)	quilt
квиз (m) (kviz)	quiz
navod	quote
беснило (n) (besnilo)	rabies
нуклеарне падавине	radioactive fallout
žbica (f)	radius
радон (m) (radon)	radon
ljutost, goropadnost, goropad, jarost, bes, besnost	rage
kišiti	rain
podici	raise
grabulja (f)	rake
nasumice, proizvoljno	random
zvečka (f)	rattle
zvečarka (f)	rattlesnake
гавран (gavran)	raven
сировина (f) (sirovina)	raw material
brijač (m)	razor
spreman (m), spremna (f), spremno (n)	ready
pravi (m); prava (f); pravo (n)	real
стварност (f) (stvarnost); реалност (f) (realnost)	reality
ostvariti	realize
ustanak (m); buna (f)	rebellion
preporod (m)	rebirth
недавни (nedavni)	recent
prijem	reception
jелен (jelen)	red deer
црвени патуљак (m) (crveni patuljak)	red dwarf
odbles (m), odsjaj (m), odblesak (m), odraz (m)	reflection
kraljoubica, careubica	regicide
oblast	region
irvas (m), sob (m)	reindeer
poslanik	representative
гмаз (m) (gmaz); гмизавац (m) (gmizavac)	reptile
opelo	requiem
obitavalište; boravište; stan; prebivalište; stanište	residence
отпорник (m) (otpornik)	resistor
средство (m) (sredstvo); ресурс (m) (resurs)	resource
vaskrsenje (n), uskrsnuće (n)	resurrection
mrežnjača (f), mrežnica (f)	retina
освета (f); (f) (f)	revenge
premotati	rewind
рениjум (renijum) (m)	rhenium
родиjум (rodijum) (m)	rhodium
sleč (m)	rhododendron
slikovati; srokovati	rhyme
ребро (n) (rebro)	rib
pantljika (f)	ribbon
bogat (m), imućan (m)	rich
zagonetka (f)	riddle
puška (f)	rifle
ispravno (n) (исправно)	right
прави угао (m) (pravi ugao)	right angle
управо сада (upravo sada)	right now
rub, ivica, obod, naplatak (of wheel) (m), gobela (of wheel) (f)	rim
prstenjak (m)	ring finger
obred (m), otajstvo (n)	rite
obred (m)	ritual
reka 	river
odora (f), odežda (f)	robe
drmati, uzdrmati	rock
дивљи голуб (divlji golub) (m)	rock dove
ljuljača (f)	rocking chair
prut, štap, rozga, šiba, batina	rod
срна (srna)	roe deer
рентгенијум (rentgenijum) (m)	roentgenium
uloga (f)	role
koturaljka (f's), koturaljke (f'p)	roller skate
soba (f); prostorija (f); odaja (f)	room
rumenilo (n), zarudak (m), crvenilo (n)	rouge
krugotok (m)	roundabout
oskoruša (f)	rowan
trljati, ribati, očešati, trti, tare	rub
рубидиjум (rubidijum) (m)	rubidium
рубин (m) (rubin)	ruby
rutvica (f)	rue
ruševina (f), podor (m), podorina (f), razvalina (f), provalina (f), razval (m), razvala (f)	ruin
proticati; strujati	run
рутениjум (rutenijum) (m)	ruthenium
ратерфордиjум (raterfordijum) (m)	rutherfordium
врећа (f) (vreća)	sack
светогрђе (n) (svetogrđe)	sacrilege
krstača (f)	sacrum
sedlo; sedište	saddle
jedrenje	sail
кутер (m) 	sailboat
једрењак (m)	sailing ship
самариjум (samarijum) (m)	samarium
; peščara (f)	sandpit
šerpa, lonac, šerpenja	saucepan
divlje	savage
poslovica, izreka (f)	saying
stupnice	scale
vlasište (n), vlasnik (f)	scalp
sablazan (f)	scandal
скандиjум (skandijum) (m)	scandium
lopatica (f), plećka (f)	scapula
strašilo 	scarecrow
žezlo (n)	sceptre
злорадoст (f) (zloradost); злyрад (f) (zlurad)	schadenfreude
јато (n) (jato)	school
ученик (m) (učenik); ученица (f) (učenica)	schoolchild
шкуна (f)	schooner
ханџар	scimitar
vrisak (m)	scream
kukuvija (f)	screech owl
ekran (m)	screen
odvrtka (f)	screwdriver
pisar (m), pisarica (f)	scribe
вајарство (n) (vajarstvo)	sculpture
сиборгиjум (siborgijum) (m)	seaborgium
galeb (m)	seagull
tuljan	seal
mornar (m); pomorac (m); moreplovac (m)	seaman
doba (n)	season
salovnica (f)	sebaceous gland
krišom, tajom	secretly
талог (m) (talog)	sediment
заводница (f) (zavodnica)	seductress
схватити (shvatiti)	see
klackalica (f)	seesaw
селен (selen) (m)	selenium
аутопортрет (m)	self
једнократни (jednokratni) (m)	semelfactive
реченица (f)	sentence
niz; redosled	sequence
podoknica (f)	serenade
kmet (m), kmetica (f)	serf
vodnik (m)	sergeant
експлоатација (eksploatacija) (f)	service
сусам (m)	sesame
седамдесет (sedamdeset)	seventy
senka (f), sena (f) (poetic)	shadow
шалом	shalom
krhotina	shard
podbradača (f), podbradka (f)	shawl
вучица (f)	she
исећи (iseći)	shear
golenjača (f), gnjat (m), golen (m)	shin
brodogradilište (n)	shipyard
обућа (f); ципела (f); патика (f)	shoe
шогун (m) (šogun)	shogun
лоптица (f) (loptica)	shuttlecock
bolest (f)	sickness
stranica (f)	side
vizir (m)	sight
силицијум (m) (silicijum)	silicon
svilobuba (f), sviloprelja (f)	silkworm
srebrnina (f), srebrnarija (f)	silver
kujundžija (m)	silversmith
sudopera (f)	sink
sirena (f)	siren
svast (f); svastika (f); svakinja	sister
sesti	sit down
mapa sajta	site map
шездесет (šezdeset)	sixty
klizač (m)	skater
kostur (m); okostje (n)	skeleton
nacrt; skica	sketch
по љска шева	skylark
покољ (m) (pokolj); клање (n) (klanje)	slaughter
роб (m) (rob)	slave
sanke, saonice, saone, sanjke, sanje	sled
pospan, sanjiv, dremljiv	sleepy
susnežica (f)	sleet
kriška (f)	slice
praćka (f), praća (f)	sling
слуп (m)	sloop
лењост (f)	sloth
ustava (f) 	sluice
dremež (m)	slumber
kovač (m)	smith
krijumčariti	smuggle
zakuska (f); užina (f)	snack
сноб (m)	snob
снежни леопард (m)	snow leopard
snegulja, sneguljica	snowflake
ležaj (m)	sofa
softver	software
земља (f)	soil
војник (m) (vojnik); војникиња (m) (vojnikinja); војнослужац (m) (vojnoslužac)	soldier
čvrsto, kršno, krupno	solid
солипсизам (m) (solipsízam)	solipsism
suncostaj (m)	solstice
nekako	somehow
неко (n); (n) (n) (n)	something
има нешто труло у држави Данској (ima nešto trulo u državi Danskoj)	something is rotten in the state of Denmark
vrač (m); vračar (m); vračara (f); vračarica (f); bajač (m); bajačica (f); bajalica (m)	sorcerer
kiseljak (m)	sorrel
molim?	sorry
supa (f); čorba (f)	soup
pavlaka, vrhnje, mileram	sour cream
krmača (f), prasica (f)	sow
ко сеје ветар, жање олују (ko seje vetar, žanje oluju)	sow the wind, reap the whirlwind
кобац	sparrow hawk
ми о вуку (mi o vuku)	speak of the devil
копље (n) (koplje)	spear
брзина звука (brzina zvuka) (f)	speed of sound
sricati	spell
прапшеница (f) (prapšenica)	spelt
paučina (f)	spiderweb
vreteno (n)	spindle
babadevojka (f)	spinster
спирала (f) (spirala)	spiral
alkohol (m)	spirit
Расположење	spirit level
pljuvačnica (f)	spittoon
слезина (f); slezina (f)	spleen
